Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000171680,PLEKHG5,1,-3.9248,4,-2.3409,27,0.32622,32,0.60635,46,1.19595,23,0.09274,29,0.40100,27,0.29362,9,-1.3017
ENSG00000162408,NOL9,20,-0.4403,24,-0.1363,31,0.22256,26,-0.0556,26,-0.0270,31,0.30995,22,-0.2715,24,-0.1568,30,0.17303
ENSG00000162413,KLHL21,34,0.30440,38,0.50775,27,-0.0659,28,0.01722,32,0.24578,25,-0.1526,23,-0.2963,27,-0.0565,18,-0.6443
ENSG00000116273,PHF13,14,-0.2396,18,0.19734,18,0.17376,20,0.35371,11,-0.5848,19,0.28209,11,-0.5595,14,-0.2635,18,0.12936
ENSG00000041988,THAP3,28,0.43808,18,-0.3016,21,-0.0222,21,-0.0218,30,0.50860,29,0.53259,21,-0.0728,8,-1.4116,11,-1.0337
ENSG00000007923,DNAJC11,12,-1.1860,33,0.37070,36,0.50047,26,-0.0451,25,-0.0490,27,0.03770,25,-0.0929,26,-0.0099,26,-0.0024
ENSG00000171735,CAMTA1,90,-1.0236,233,0.46996,194,0.16765,107,-0.7586,126,-0.5132,198,0.23091,123,-0.5446,269,0.71085,207,0.27483
ENSG00000049245,VAMP3,150,2.77764,86,1.57759,9,-1.9889,15,-1.2900,14,-1.3408,13,-1.6117,16,-1.1190,14,-1.3928,14,-1.3804
ENSG00000049246,PER3,27,0.38624,6,-1.8242,17,-0.3338,27,0.35871,19,-0.1911,21,0.01385,18,-0.2423,25,0.23778,31,0.61128
ENSG00000116288,PARK7,288,-0.4555,488,0.38776,377,-0.0307,364,-0.0868,408,0.09715,397,0.05820,379,-0.0213,297,-0.4088,448,0.24918
ENSG00000116285,ERRFI1,14,-0.3131,23,0.38422,24,0.50007,11,-0.7049,25,0.58291,17,-0.0703,14,-0.4133,13,-0.4378,18,0.06060
ENSG00000162426,SLC45A1,15,-0.9081,14,-1.0283,37,0.51631,33,0.32081,48,0.97353,29,0.12270,17,-0.6936,29,0.12516,18,-0.6064
ENSG00000142599,RERE,81,-0.2971,107,0.14202,81,-0.2974,123,0.37836,89,-0.1540,114,0.28903,73,-0.4582,83,-0.2523,111,0.20913
ENSG00000074800,ENO1,447,-0.4553,895,0.66621,753,0.37708,522,-0.2114,483,-0.3350,587,-0.0297,673,0.19397,466,-0.3918,555,-0.1164
ENSG00000171612,SLC25A33,19,-0.8984,17,-1.0061,31,-0.0911,25,-0.4728,34,0.04410,35,0.09731,63,1.05449,30,-0.1583,44,0.43880
ENSG00000188807,TMEM201,13,0.29990,6,-0.8007,13,0.33316,9,-0.1544,8,-0.3923,16,0.80391,5,-1.1121,11,0.09715,7,-0.5807
ENSG00000171608,PIK3CD,2,-2.1167,10,0.06006,14,0.65813,1,-2.7441,2,-2.0535,11,0.26360,2,-2.1438,16,0.81484,25,1.66678
ENSG00000171603,CLSTN1,161,-2.0715,628,0.00676,950,0.68817,644,0.04646,855,0.51074,807,0.47585,426,-0.6021,525,-0.2787,452,-0.5122
ENSG00000178585,CTNNBIP1,51,0.46704,36,-0.0628,41,0.13305,16,-1.3515,24,-0.7207,44,0.25821,36,-0.0839,31,-0.3060,57,0.66402
ENSG00000162441,LZIC,70,1.27291,45,0.52508,26,-0.3532,21,-0.7052,20,-0.7367,30,-0.1659,26,-0.3540,36,0.16109,23,-0.5303
ENSG00000130939,UBE4B,26,-0.4877,55,0.72574,48,0.48692,17,-1.1182,23,-0.6885,44,0.38524,34,-0.0837,29,-0.3179,36,0.00868
ENSG00000054523,KIF1B,274,0.18369,380,0.72662,246,0.00897,152,-0.7462,180,-0.4781,221,-0.1799,189,-0.4033,320,0.44013,261,0.10571
ENSG00000142657,PGD,34,-0.4510,86,1.05729,64,0.54095,34,-0.4502,32,-0.5539,50,0.17911,31,-0.5918,32,-0.5335,42,-0.1374
ENSG00000175279,CENPS,6,-0.6178,2,-2.0738,7,-0.4278,12,0.34660,9,-0.0077,15,0.92388,7,-0.4237,10,0.08257,10,0.05810
ENSG00000241563,CORT,7,-4.1108,76,-0.6856,35,-1.8411,35,-1.8616,14,-3.1944,404,3.08765,41,-1.6291,30,-2.0951,139,0.25691
ENSG00000160049,DFFA,61,1.02549,45,0.50461,34,0.07683,28,-0.2333,20,-0.7289,23,-0.6148,34,0.03214,30,-0.1239,30,-0.1609
ENSG00000142655,PEX14,25,0.15643,13,-0.8602,33,0.64494,29,0.40080,32,0.59256,21,-0.0587,15,-0.5826,18,-0.3655,16,-0.5473
ENSG00000120948,TARDBP,62,0.29420,58,0.18614,52,0.01445,58,0.18891,57,0.16270,50,-0.0506,30,-0.8496,40,-0.3891,59,0.20008
ENSG00000116649,SRM,48,-0.9428,90,0.03548,88,0.00554,110,0.35670,116,0.44908,77,-0.2311,92,0.06738,63,-0.5152,119,0.48408
ENSG00000171824,EXOSC10,23,0.22847,27,0.44728,24,0.26620,28,0.55158,15,-0.4962,12,-0.8327,19,-0.0587,20,0.00713,21,0.03774
ENSG00000198793,MTOR,15,-1.3226,51,0.60654,47,0.44969,39,0.15798,43,0.31702,33,-0.1313,37,0.07176,27,-0.4212,29,-0.3127
ENSG00000120942,UBIAD1,29,1.78876,7,-0.5512,11,0.19237,12,0.34989,6,-0.7812,6,-0.7360,9,-0.2210,7,-0.5079,6,-0.6842
ENSG00000116661,FBXO2,189,-0.0059,91,-1.1262,200,0.08469,204,0.12192,252,0.46402,198,0.07735,278,0.63020,151,-0.3567,133,-0.5516
ENSG00000132879,FBXO44,37,-1.7273,60,-1.0183,172,0.65574,153,0.46113,133,0.22991,157,0.58470,83,-0.5186,122,0.09121,78,-0.6043
ENSG00000116670,MAD2L2,43,1.22627,17,-0.2743,19,-0.1270,39,1.07264,25,0.33156,9,-1.2750,26,0.38057,8,-1.3226,8,-1.3217
ENSG00000177000,MTHFR,10,-0.4592,13,0.01514,16,0.25227,10,-0.4255,17,0.38293,12,-0.2062,9,-0.6047,19,0.56623,16,0.25363
ENSG00000011021,CLCN6,27,-0.8426,35,-0.4636,48,0.04007,45,-0.0723,46,-0.0433,55,0.30563,37,-0.3805,61,0.42828,60,0.38757
ENSG00000175206,NPPA,2,-2.1084,0,-7.8055,9,-0.3175,39,2.27407,22,1.20573,10,-0.1557,9,-0.1950,4,-1.2957,2,-2.1819
ENSG00000116685,KIAA2013,45,0.52482,44,0.49072,32,-0.0051,22,-0.5837,29,-0.1634,37,0.22568,17,-0.9606,30,-0.1222,31,-0.0764
ENSG00000083444,PLOD1,31,0.75520,41,1.27950,23,0.28368,15,-0.3703,15,-0.4042,15,-0.4233,14,-0.4907,9,-1.0583,14,-0.5000
ENSG00000116688,MFN2,59,-0.4653,102,0.39491,123,0.70906,95,0.27637,85,0.09516,79,-0.0224,51,-0.7104,51,-0.6865,75,-0.0999
ENSG00000116691,MIIP,17,0.22100,14,-0.0314,16,0.10872,13,-0.1894,16,0.14221,13,-0.2657,9,-0.6911,17,0.26441,19,0.40179
ENSG00000048707,VPS13D,40,-0.2408,37,-0.3649,60,0.40275,48,0.03115,57,0.31532,51,0.12999,32,-0.6170,44,-0.1142,51,0.11910
ENSG00000162496,DHRS3,23,1.09853,12,0.04075,8,-0.6032,10,-0.1848,7,-0.7514,10,-0.2381,18,0.71001,6,-0.8888,12,0.01298
ENSG00000116731,PRDM2,60,-0.3603,68,-0.1783,99,0.43382,76,-0.0006,78,0.04220,69,-0.1540,45,-0.8004,87,0.22865,106,0.54113
ENSG00000189337,KAZN,74,0.61123,82,0.78629,55,0.13291,28,-0.9406,33,-0.6623,59,0.28104,40,-0.3966,24,-1.1563,55,0.10665
ENSG00000142634,EFHD2,19,-2.9655,476,2.21368,205,0.62940,24,-2.6207,41,-1.8702,107,-0.4593,41,-1.8684,200,0.58880,175,0.36775
ENSG00000132906,CASP9,12,0.61647,8,-0.0875,13,0.80393,10,0.25353,7,-0.1175,4,-1.2300,5,-0.5718,12,0.56434,6,-0.3446
ENSG00000116138,DNAJC16,16,-0.5062,32,0.58596,31,0.56023,26,0.25080,21,-0.0579,19,-0.2923,24,0.11871,13,-0.7735,20,-0.1278
ENSG00000197312,DDI2,15,-0.5197,18,-0.1831,27,0.44604,21,0.02681,15,-0.4643,27,0.51714,11,-1.0080,25,0.33332,19,-0.1228
ENSG00000116786,PLEKHM2,42,-0.6148,47,-0.4229,76,0.33150,59,-0.0804,51,-0.2918,67,0.15147,78,0.37314,70,0.19398,61,-0.0169
ENSG00000065526,SPEN,60,0.90994,34,-0.0404,23,-0.6013,20,-0.8603,30,-0.2173,28,-0.3463,21,-0.7690,56,0.79077,45,0.42568
ENSG00000116809,ZBTB17,23,0.76019,9,-0.7092,12,-0.2858,15,0.06797,21,0.56508,14,-0.0274,11,-0.4701,15,0.01477,11,-0.4174
ENSG00000185519,FAM131C,4,-1.7263,7,-1.0795,20,0.49681,10,-0.6097,4,-1.8143,17,0.26754,13,-0.2362,15,-0.0076,40,1.70917
ENSG00000037637,FBXO42,16,-0.3032,11,-0.7736,24,0.37098,16,-0.2704,20,0.09038,29,0.81080,16,-0.2461,20,0.04425,9,-1.1626
ENSG00000055070,SZRD1,50,1.43080,23,0.08848,13,-0.8020,22,0.00848,13,-0.7617,18,-0.2838,22,0.03726,16,-0.4123,20,-0.1308
ENSG00000157191,NECAP2,38,1.81649,31,1.41186,5,-1.2978,8,-0.7224,6,-1.0572,7,-1.0541,11,-0.2208,8,-0.7451,10,-0.4163
ENSG00000219481,NBPF1,26,1.56324,18,0.92117,6,-0.7636,6,-0.7120,3,-1.5879,9,-0.2504,9,-0.2681,8,-0.4469,9,-0.2602
ENSG00000058453,CROCC,7,-0.5633,7,-0.5662,12,0.16775,12,0.13279,18,0.81723,10,-0.1637,8,-0.4148,4,-1.3361,19,0.93724
ENSG00000238142,BX284668.5,8,-0.0866,14,0.89712,8,-0.0399,5,-0.5859,8,-0.1070,7,-0.2329,14,0.81360,4,-0.8544,6,-0.4102
ENSG00000159363,ATP13A2,38,-1.7401,115,-0.0554,171,0.58984,106,-0.1910,124,0.05767,153,0.46811,92,-0.4035,122,0.03704,118,-0.0191
ENSG00000117118,SDHB,67,-0.5077,111,0.30013,112,0.31655,115,0.35745,83,-0.1631,97,0.08751,78,-0.2599,75,-0.3300,87,-0.0864
ENSG00000117115,PADI2,246,3.10707,63,0.38821,13,-2.0597,21,-1.3195,12,-2.1306,18,-1.6919,37,-0.4615,28,-0.9106,44,-0.1978
ENSG00000179051,RCC2,26,1.07356,6,-1.0746,9,-0.5292,11,-0.2574,20,0.65987,16,0.29432,10,-0.4963,11,-0.2696,8,-0.7382
ENSG00000074964,ARHGEF10L,18,0.27443,18,0.26300,12,-0.3227,10,-0.6011,10,-0.6474,22,0.63046,12,-0.3278,16,0.10980,12,-0.3457
ENSG00000117154,IGSF21,19,-2.1342,148,1.08534,117,0.67869,80,0.04738,90,0.24334,71,-0.1596,50,-0.6685,65,-0.2880,64,-0.3020
ENSG00000159423,ALDH4A1,43,0.75831,45,0.80901,12,-1.2498,22,-0.3567,8,-1.8459,23,-0.3229,37,0.50693,29,0.09498,31,0.23113
ENSG00000169991,IFFO2,9,-0.0360,16,0.87159,10,0.12210,8,-0.2922,8,-0.2261,6,-0.5805,3,-1.5810,9,-0.0613,17,0.98399
ENSG00000127463,EMC1,18,-0.7364,47,0.79408,40,0.49972,30,0.06612,31,0.12088,32,0.18668,18,-0.7180,16,-0.8998,25,-0.2183
ENSG00000053372,MRTO4,22,-0.6860,28,-0.3170,48,0.57107,35,0.04792,38,0.17377,35,0.07391,30,-0.2160,31,-0.1274,37,0.14581
ENSG00000053371,AKR7A2,65,0.56500,60,0.43638,46,0.00432,50,0.12222,36,-0.3922,37,-0.4005,43,-0.0909,38,-0.3169,49,0.09863
ENSG00000040487,SLC66A1,6,-0.5868,12,0.54380,15,0.84043,9,0.07467,5,-0.6951,6,-0.6613,9,0.07803,6,-0.5269,13,0.59531
ENSG00000077549,CAPZB,140,-0.4728,175,-0.1180,244,0.41502,224,0.27404,207,0.14930,209,0.18022,164,-0.2278,152,-0.3447,166,-0.2041
ENSG00000173436,MICOS10,310,-0.0581,306,-0.0815,269,-0.2822,343,0.10325,309,-0.0656,342,0.11293,328,0.03022,288,-0.1761,380,0.26741
ENSG00000158747,NBL1,79,-1.3781,203,0.07578,226,0.24437,238,0.33303,233,0.29786,180,-0.1291,194,0.00048,197,0.02236,208,0.11518
ENSG00000169914,OTUD3,9,-0.4979,12,-0.0092,26,1.20338,9,-0.4215,15,0.31404,9,-0.5446,8,-0.6213,15,0.33124,11,-0.1748
ENSG00000162545,CAMK2N1,874,-0.5519,503,-1.3927,959,-0.4071,1954,0.75068,2045,0.82856,1191,-0.0731,1543,0.35402,1189,-0.0678,957,-0.4110
ENSG00000090432,MUL1,26,0.04867,45,0.92962,28,0.13640,30,0.24833,31,0.30907,20,-0.4458,17,-0.6101,23,-0.1814,16,-0.7089
ENSG00000183114,FAM43B,3,-2.1411,29,1.19488,18,0.35985,4,-1.7030,3,-2.1187,18,0.46705,11,-0.4065,13,-0.1958,24,0.85472
ENSG00000158828,PINK1,218,-0.8206,324,-0.2069,547,0.64720,308,-0.2871,402,0.13764,454,0.38369,314,-0.2560,259,-0.5556,410,0.16904
ENSG00000244038,DDOST,22,-0.1585,24,-0.0564,28,0.19474,34,0.49708,29,0.22944,25,0.04411,22,-0.1688,14,-0.8368,24,-0.0678
ENSG00000117245,KIF17,4,-2.5134,8,-1.4288,42,1.14220,13,-0.7620,20,-0.0692,29,0.61376,10,-1.1854,24,0.17040,33,0.69723
ENSG00000189410,SH2D5,3,-3.2435,14,-1.2597,50,0.72153,43,0.46865,50,0.72100,41,0.42520,31,-0.0638,27,-0.2622,22,-0.5852
ENSG00000127483,HP1BP3,176,0.30471,187,0.40787,157,0.11822,151,0.05558,119,-0.3148,142,-0.0431,100,-0.5850,104,-0.5366,178,0.32710
ENSG00000075151,EIF4G3,67,-0.8343,95,-0.3018,197,0.89877,119,0.05419,117,0.03249,144,0.42626,85,-0.4665,92,-0.3473,86,-0.4471
ENSG00000117298,ECE1,38,1.58119,17,0.19213,12,-0.3717,12,-0.3840,11,-0.5013,11,-0.5292,17,0.17086,8,-1.0007,14,-0.0637
ENSG00000162551,ALPL,5,-1.0683,7,-0.6388,17,0.65629,5,-1.0792,8,-0.4685,12,0.16788,13,0.26252,13,0.22406,18,0.75618
ENSG00000076864,RAP1GAP,34,-2.0422,264,1.17728,216,0.82351,102,-0.3930,141,0.11770,145,0.18288,65,-1.0807,140,0.10220,59,-1.2219
ENSG00000090686,USP48,61,0.50609,77,0.89243,47,0.07360,40,-0.1612,41,-0.1282,39,-0.2261,29,-0.6926,40,-0.1840,34,-0.4367
ENSG00000070831,CDC42,222,0.03541,266,0.32966,286,0.44485,148,-0.6016,259,0.28639,249,0.24869,142,-0.6717,204,-0.1032,148,-0.5988
ENSG00000173372,C1QA,46,1.63476,14,-0.3117,5,-1.8853,19,0.15381,12,-0.5249,9,-1.1326,28,0.72856,10,-0.9002,24,0.50727
ENSG00000159189,C1QC,42,1.50618,16,-0.1380,5,-1.9102,16,-0.0765,8,-1.0631,9,-0.9838,29,0.86947,11,-0.6186,25,0.61476
ENSG00000173369,C1QB,56,1.60552,22,-0.0026,7,-1.6717,19,-0.1951,14,-0.6960,11,-1.1367,43,1.13945,17,-0.3938,18,-0.2690
ENSG00000133216,EPHB2,8,-0.5496,10,-0.2814,11,-0.1409,8,-0.5262,23,1.05904,16,0.49609,8,-0.5221,11,-0.1084,8,-0.5933
ENSG00000004487,KDM1A,29,-0.5390,64,0.72221,47,0.21438,40,-0.0429,57,0.53002,39,-0.0685,36,-0.1837,31,-0.4125,27,-0.6624
ENSG00000169641,LUZP1,10,-2.1617,28,-0.6704,66,0.69417,36,-0.2654,60,0.52478,48,0.19689,31,-0.5240,51,0.28385,53,0.32371
ENSG00000125944,HNRNPR,109,0.10206,157,0.71378,113,0.16236,118,0.23139,81,-0.3703,95,-0.1283,63,-0.7363,89,-0.2198,100,-0.0257
ENSG00000125945,ZNF436,9,-0.7487,15,-0.0175,29,1.03615,13,-0.3163,23,0.66833,16,0.02666,11,-0.5291,14,-0.0999,8,-0.9869
ENSG00000249087,ZNF436-AS1,6,-0.6672,1,-3.2406,7,-0.4902,9,-0.0795,9,-0.1715,19,1.27655,13,0.44156,9,-0.0958,6,-0.7428
ENSG00000204219,TCEA3,12,0.43154,10,0.10581,7,-0.3141,2,-1.9329,5,-0.9552,4,-1.2371,12,0.46591,4,-1.1540,30,2.09486
ENSG00000117318,ID3,89,3.65566,24,0.77419,0,-4.5110,3,-2.4340,2,-2.8937,0,-4.5661,20,0.45509,2,-2.7104,8,-0.8546
ENSG00000142676,RPL11,916,1.50250,535,0.55126,191,-1.0783,328,-0.2438,252,-0.6516,297,-0.4432,384,0.00561,283,-0.4716,340,-0.1879
ENSG00000011007,ELOA,22,0.45657,33,1.15174,15,-0.1639,12,-0.4945,18,0.11419,13,-0.4466,10,-0.7587,18,0.13858,12,-0.4877
ENSG00000057757,PITHD1,115,-0.7442,160,-0.2256,301,0.80652,153,-0.3011,194,0.07553,235,0.44324,148,-0.3493,154,-0.2939,155,-0.2812
ENSG00000011009,LYPLA2,10,-1.8491,39,0.24855,44,0.43814,29,-0.2105,53,0.76163,32,-0.0713,31,-0.1470,29,-0.2432,36,0.11326
ENSG00000117308,GALE,7,-1.0591,7,-1.1539,22,0.61544,10,-0.5701,26,0.90860,21,0.60732,11,-0.4299,12,-0.3108,12,-0.3551
ENSG00000117305,HMGCL,28,0.47767,30,0.58872,17,-0.2484,17,-0.3052,19,-0.1212,20,-0.0329,16,-0.3988,12,-0.7890,26,0.39650
