Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to7,Feature log2 fold change topic 4to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000117713,ARID1A,284,2.41650,1,-5.3037,2,-4.8319,42,-1.0219,108,0.64364,31,-1.2883,59,-0.3156,202,1.73618,8,-3.2586
ENSG00000090273,NUDC,284,0.97220,3,-5.4838,434,1.72898,60,-1.7495,103,-0.6337,109,-0.5493,154,-0.0175,383,1.49623,159,0.03556
ENSG00000186501,TMEM222,284,2.11875,2,-5.4637,16,-2.4476,37,-1.5275,181,1.28080,78,-0.1057,167,1.13498,88,0.09440,37,-1.2440
ENSG00000158195,WASF2,284,1.89490,27,-1.8658,128,0.49889,26,-2.2670,219,1.41438,97,0.06717,15,-2.7322,140,0.65026,106,0.20220
ENSG00000126709,IFI6,284,-0.2917,209,-0.7572,715,1.21305,100,-2.2014,68,-2.4209,90,-2.0190,161,-1.1556,690,1.15123,1487,2.64116
ENSG00000117758,STX12,284,1.93055,1,-5.6488,65,-0.5166,28,-2.1186,105,0.21406,61,-0.6303,74,-0.3219,300,2.04025,96,0.06828
ENSG00000126698,DNAJC8,284,1.31673,131,0.04191,360,1.74997,57,-1.5196,126,-0.0213,114,-0.1786,139,0.13049,103,-0.3392,50,-1.4129
ENSG00000130770,ATP5IF1,284,0.52137,54,-1.9944,474,1.39500,85,-1.6222,188,-0.1295,146,-0.5230,195,-0.0729,495,1.47300,276,0.47694
ENSG00000116350,SRSF4,284,2.58449,1,-5.1925,10,-2.8454,24,-1.8348,42,-0.6890,42,-0.6968,63,-0.0785,183,1.70204,76,0.21116
ENSG00000162512,SDC3,284,1.69406,77,-0.4583,2,-5.3569,75,-0.6502,41,-1.3973,34,-1.6982,141,0.48544,261,1.54459,104,0.00673
ENSG00000134644,PUM1,284,1.86524,12,-3.0204,231,1.48787,35,-1.7929,60,-0.6924,59,-0.7305,181,1.05931,98,0.05518,68,-0.5084
ENSG00000121766,ZCCHC17,284,2.11593,80,-0.0698,2,-5.0415,48,-1.0773,32,-1.4528,69,-0.2812,186,1.32529,77,-0.1237,79,-0.0835
ENSG00000121769,FABP3,284,3.00397,2,-4.9214,2,-4.4624,22,-1.7114,18,-1.6479,16,-1.8744,257,2.77050,2,-4.9229,0,-7.4628
ENSG00000162517,PEF1,284,2.57792,1,-5.1967,127,1.03975,14,-2.7396,109,0.79185,23,-1.6030,112,0.83951,25,-1.4534,65,-0.0350
ENSG00000084636,COL16A1,284,2.31564,2,-5.0620,95,0.36359,18,-2.5431,164,1.28016,34,-1.2058,47,-0.7391,204,1.66507,7,-3.5327
ENSG00000121753,ADGRB2,284,2.02233,1,-5.5810,2,-5.1053,66,-0.5695,36,-1.3583,39,-1.2134,306,2.17153,94,0.11062,23,-2.0245
ENSG00000184007,PTP4A2,284,0.07181,127,-1.1543,3,-6.4115,162,-1.0041,659,1.48129,1240,2.75802,80,-1.8502,63,-2.1935,148,-0.9270
ENSG00000121774,KHDRBS1,284,1.30209,110,-0.2444,280,1.27695,50,-1.7543,140,0.13254,42,-1.6733,152,0.26464,303,1.42264,36,-1.9328
ENSG00000084623,EIF3I,284,2.16148,1,-5.4806,80,-0.0334,40,-1.3456,57,-0.5573,32,-1.4046,89,0.14337,147,0.95280,128,0.72480
ENSG00000175130,MARCKSL1,284,-0.6493,69,-2.7417,153,-1.5774,220,-1.2858,2076,2.87747,564,0.42565,155,-1.5607,696,0.77171,303,-0.5489
ENSG00000160058,BSDC1,284,2.83471,1,-5.0352,77,0.40913,24,-1.6951,65,0.14071,48,-0.3357,98,0.79457,3,-4.2250,45,-0.4346
ENSG00000162521,RBBP4,284,2.00002,85,-0.0539,91,0.05216,39,-1.5069,117,0.44309,31,-1.5582,71,-0.3356,165,1.01193,58,-0.6435
ENSG00000134684,YARS,284,2.66578,1,-5.1402,131,1.15981,25,-1.7515,65,0.02800,13,-2.3274,114,0.92928,11,-2.6154,53,-0.3022
ENSG00000121905,HPCA,284,1.96232,1,-5.6245,2,-5.1536,69,-0.5286,5,-4.0664,19,-2.3344,485,3.15263,3,-4.7964,3,-4.8104
ENSG00000121900,TMEM54,284,2.58830,1,-5.1900,2,-4.7181,46,-0.7325,37,-0.8794,38,-0.8472,29,-1.2305,157,1.41851,65,-0.0386
ENSG00000134686,PHC2,284,1.87541,130,0.51338,105,0.16928,26,-2.2625,159,0.85049,85,-0.1551,75,-0.3524,13,-2.9681,174,0.99767
ENSG00000116544,DLGAP3,284,3.56927,1,-4.6341,2,-4.1615,34,-0.5413,0,-7.8011,0,-7.8929,116,1.56896,0,-6.2972,1,-5.3671
ENSG00000116560,SFPQ,284,0.85091,496,1.84420,79,-1.1466,50,-2.1770,260,0.70580,101,-0.7829,103,-0.7543,281,0.83739,209,0.35026
ENSG00000020129,NCDN,284,1.23389,1,-6.1957,66,-1.0886,70,-1.2400,93,-0.5655,22,-2.6666,567,2.57942,203,0.66748,91,-0.5971
ENSG00000126067,PSMB2,284,1.95474,30,-1.6596,19,-2.3338,28,-2.1162,119,0.44149,46,-1.0405,90,-0.0112,284,1.95435,103,0.20531
ENSG00000116871,MAP7D1,284,1.05917,69,-1.1621,107,-0.4985,60,-1.6691,545,2.27568,181,0.31567,185,0.35563,99,-0.6150,67,-1.2084
ENSG00000054118,THRAP3,284,2.10889,1,-5.5182,231,1.70946,25,-2.1515,68,-0.3090,48,-0.8432,67,-0.3529,147,0.90850,57,-0.5834
ENSG00000163875,MEAF6,284,2.49663,109,0.71917,5,-3.7603,13,-2.9126,92,0.45620,21,-1.7553,127,0.98779,93,0.46797,50,-0.5038
ENSG00000197982,C1orf122,284,0.17665,185,-0.4894,169,-0.6287,199,-0.4974,550,1.27811,463,0.97971,185,-0.4888,154,-0.7713,258,0.02854
ENSG00000174574,AKIRIN1,284,2.36776,1,-5.3367,177,1.45311,32,-1.5396,132,0.94465,50,-0.5893,57,-0.4037,12,-2.6649,42,-0.8498
ENSG00000168653,NDUFS5,284,-0.2335,95,-1.8837,574,0.90106,219,-0.8126,518,0.72919,417,0.37703,342,0.05888,311,-0.0878,536,0.78716
ENSG00000127603,MACF1,284,0.94685,139,-0.2025,318,1.14301,106,-0.7877,226,0.57277,104,-0.6515,134,-0.2577,73,-1.1864,196,0.33699
ENSG00000090621,PABPC4,284,2.29765,86,0.20052,115,0.65963,29,-1.7559,78,0.03415,53,-0.5480,58,-0.4074,70,-0.1369,53,-0.5678
ENSG00000116983,HPCAL4,284,1.42611,47,-1.4089,36,-1.8122,119,-0.0159,43,-1.5593,7,-4.0991,388,2.01284,87,-0.4935,72,-0.7824
ENSG00000131236,CAP1,284,1.65926,46,-1.2614,138,0.42390,49,-1.4348,161,0.67511,64,-0.7744,81,-0.4197,85,-0.3416,213,1.14936
ENSG00000131238,PPT1,284,1.38105,13,-3.3609,323,1.61798,49,-1.6969,80,-0.6550,30,-2.1145,116,-0.0948,348,1.75455,88,-0.5186
ENSG00000049089,COL9A2,284,2.48097,2,-5.1645,8,-3.1591,35,-1.3069,234,2.07971,100,0.56646,0,-9.6909,55,-0.3665,17,-2.1272
ENSG00000065978,YBX1,284,0.08795,678,1.55165,825,1.92035,96,-1.8719,138,-1.0201,216,-0.3335,81,-1.8012,198,-0.4725,413,0.69349
ENSG00000117394,SLC2A1,284,0.10463,197,-0.4602,350,0.44217,72,-2.3289,37,-2.9275,37,-2.9390,58,-2.2772,21,-3.7301,1913,4.04314
ENSG00000066322,ELOVL1,284,1.19108,21,-2.7868,131,-0.0753,27,-2.8202,759,3.22547,242,0.92144,23,-2.6654,19,-2.9329,61,-1.2328
ENSG00000142949,PTPRF,284,1.61623,1,-5.8889,143,0.44859,71,-0.8259,99,-0.1325,55,-1.0379,295,1.68953,107,-0.0153,28,-2.0217
ENSG00000126091,ST3GAL3,284,3.54304,2,-4.5539,2,-4.1743,35,-0.5100,16,-1.5293,10,-2.2367,67,0.61480,20,-1.2180,4,-3.5839
ENSG00000117408,IPO13,284,1.57024,35,-1.7226,162,0.60689,32,-2.2107,383,2.14570,171,0.69344,77,-0.5526,36,-1.6858,54,-1.1018
ENSG00000117410,ATP6V0B,284,0.33492,129,-0.8809,175,-0.4232,88,-1.7600,510,1.31807,83,-1.5448,699,1.89909,287,0.35383,236,0.04347
ENSG00000117411,B4GALT2,284,2.40843,1,-5.3091,2,-4.8373,44,-0.9805,103,0.57196,36,-1.0640,94,0.41177,110,0.67286,62,-0.2360
ENSG00000117419,ERI3,284,1.50813,114,-0.0125,2,-5.4618,77,-0.7892,137,0.28331,50,-1.2523,213,1.00591,202,0.92008,66,-0.8538
ENSG00000187147,RNF220,284,1.66235,7,-3.9682,59,-0.8916,27,-2.4016,308,1.81719,179,0.85796,81,-0.4017,159,0.65931,80,-0.4207
ENSG00000142937,RPS8,284,-2.5265,2083,0.49952,2980,1.09874,812,-1.2099,2101,0.51407,3386,1.32134,567,-1.5044,1407,-0.1254,2229,0.61052
ENSG00000117450,PRDX1,284,-0.5500,182,-1.2185,1054,1.60856,226,-1.1281,628,0.70764,195,-1.1202,375,-0.1184,772,1.05643,461,0.20800
ENSG00000085998,POMGNT1,284,1.78159,13,-3.0092,178,0.95535,31,-2.0976,161,0.78195,64,-0.6693,100,0.01320,155,0.71780,110,0.17172
ENSG00000173660,UQCRH,284,-0.0602,113,-1.4625,660,1.33385,179,-0.9723,249,-0.2630,275,-0.1093,388,0.43851,511,0.89397,340,0.22411
ENSG00000123472,ATPAF1,284,1.69056,32,-1.7746,123,0.27333,60,-1.0556,68,-0.6568,35,-1.6367,100,-0.0602,275,1.63160,89,-0.2402
ENSG00000159658,EFCAB14,284,1.51198,65,-0.8561,151,0.44471,49,-1.5915,215,1.02723,158,0.50922,85,-0.4683,126,0.14950,96,-0.2780
ENSG00000162368,CMPK1,284,1.21745,55,-1.3701,439,2.02477,55,-1.6665,147,0.13033,125,-0.1219,84,-0.7357,146,0.12166,123,-0.1434
ENSG00000162374,ELAVL4,284,2.26875,1,-5.4050,2,-4.9333,44,-1.0849,0,-8.5701,2,-4.9077,330,2.59143,110,0.56838,21,-1.9175
ENSG00000123091,RNF11,284,0.79782,59,-1.6201,37,-2.3263,118,-0.7641,98,-0.8658,145,-0.2745,473,1.69546,297,0.87407,212,0.31889
ENSG00000085832,EPS15,284,1.82471,1,-5.7282,29,-1.8267,60,-0.9278,181,1.01886,130,0.46950,112,0.23422,98,0.02271,85,-0.2053
ENSG00000078618,NRDC,284,2.90858,1,-4.9906,111,1.05623,18,-2.0731,50,-0.2246,34,-0.8207,113,1.09436,1,-5.3726,28,-1.1110
ENSG00000169213,RAB3B,284,2.30885,1,-5.3772,2,-4.9054,72,-0.1167,0,-8.5423,0,-8.4658,273,2.22722,0,-7.0388,63,-0.2975
ENSG00000134717,BTF3L4,284,2.31896,29,-1.4636,232,1.91868,29,-1.7198,89,0.25869,40,-0.9614,72,-0.0635,22,-1.8418,19,-2.0839
ENSG00000162378,ZYG11B,284,2.12409,2,-5.4974,2,-5.0357,58,-0.6992,63,-0.4352,33,-1.4021,276,2.07311,24,-1.8727,78,-0.0877
ENSG00000116171,SCP2,284,1.21198,147,0.12183,282,1.20090,50,-1.8301,138,0.02215,81,-0.7883,70,-1.0040,313,1.38838,113,-0.2776
ENSG00000162384,CZIB,284,2.20445,48,-0.7814,147,0.99646,43,-1.1600,104,0.41939,38,-1.1085,38,-1.1330,34,-1.2759,89,0.17852
ENSG00000116209,TMEM59,284,0.26027,101,-1.3156,469,1.09153,102,-1.5905,639,1.64275,158,-0.6465,179,-0.4580,367,0.67837,280,0.23793
ENSG00000157216,SSBP3,284,1.72164,59,-0.8327,215,1.22105,56,-1.1528,108,0.08463,41,-1.3954,153,0.64830,117,0.21086,25,-2.0779
ENSG00000116133,DHCR24,284,0.94809,2,-5.9939,296,1.02222,30,-2.8857,742,2.81306,198,0.35932,228,0.58309,21,-3.0185,9,-4.2058
ENSG00000162407,PLPP3,284,0.66099,79,-1.3169,84,-1.2272,239,0.55981,88,-1.1507,22,-3.1744,170,-0.1588,355,1.03670,216,0.21825
ENSG00000177606,JUN,284,0.99898,3,-5.6966,639,2.54152,27,-2.9758,62,-1.3682,17,-3.2112,78,-1.0416,354,1.38676,296,1.07298
ENSG00000162599,NFIA,284,0.40963,366,0.83026,317,0.59273,136,-0.9319,177,-0.3351,180,-0.3064,59,-1.9697,558,1.56529,143,-0.6571
ENSG00000162434,JAK1,284,2.23938,1,-5.4255,94,0.29441,30,-1.7499,50,-0.6771,10,-2.9852,78,-0.0140,136,0.89577,165,1.22648
ENSG00000162433,AK4,284,2.74405,1,-5.0910,58,-0.0971,52,-0.3570,0,-6.3931,13,-2.2640,78,0.35884,90,0.60173,10,-2.6347
ENSG00000116675,DNAJC6,284,1.39009,1,-6.0690,2,-5.5977,42,-1.9402,330,1.66563,148,0.29998,444,2.24579,40,-1.6767,52,-1.2979
ENSG00000213625,LEPROT,284,2.26975,1,-5.4043,190,1.49897,36,-1.4487,56,-0.5070,21,-1.9303,39,-1.0535,62,-0.3497,132,0.86278
ENSG00000184588,PDE4B,284,2.01366,35,-1.3907,2,-5.1158,42,-1.3790,169,1.06587,33,-1.4817,70,-0.3500,256,1.81624,35,-1.3857
ENSG00000142864,SERBP1,284,1.17750,172,0.34146,279,1.15001,59,-1.5715,184,0.45088,121,-0.2023,114,-0.3049,149,0.11472,120,-0.2205
ENSG00000116729,WLS,284,1.23984,1,-6.1917,259,1.08100,56,-1.6237,18,-2.9566,20,-2.7823,74,-0.9120,514,2.37178,209,0.72244
ENSG00000116754,SRSF11,284,1.12562,114,-0.3451,272,1.05486,54,-1.7881,206,0.59096,151,0.08742,216,0.66965,169,0.27274,83,-0.8332
ENSG00000132485,ZRANB2,284,1.91234,1,-5.6623,210,1.35353,30,-2.0192,99,0.11310,69,-0.4427,87,-0.1000,212,1.37310,26,-1.8896
ENSG00000172260,NEGR1,284,2.71398,1,-5.1098,2,-4.6378,44,-0.7070,27,-1.2935,17,-1.9455,109,0.88047,126,1.13508,12,-2.3926
ENSG00000154027,AK5,284,1.66102,66,-0.7230,103,-0.0370,38,-1.8700,148,0.53526,125,0.26468,280,1.63824,47,-1.2140,63,-0.7994
ENSG00000077254,USP33,284,2.84496,2,-5.0204,23,-1.4315,21,-1.9182,10,-2.6636,50,-0.2802,112,1.02553,79,0.46155,72,0.31271
ENSG00000180488,MIGA1,284,2.74127,1,-5.0927,2,-4.6207,16,-2.3670,168,1.66900,48,-0.3861,86,0.52219,67,0.11238,24,-1.4141
ENSG00000137941,TTLL7,284,1.46219,40,-1.6310,53,-1.2218,27,-2.5691,404,2.13634,211,0.94676,133,0.19856,125,0.09743,54,-1.1947
ENSG00000142875,PRKACB,284,0.66052,122,-0.6682,20,-3.3284,106,-1.1121,506,1.66590,212,0.19325,302,0.76424,243,0.40578,145,-0.4074
ENSG00000174021,GNG5,284,1.26902,1,-6.1662,303,1.38715,65,-1.3348,48,-1.5363,19,-2.8279,72,-0.9134,208,0.74277,379,1.79939
ENSG00000117155,SSX2IP,284,2.96485,1,-4.9574,119,1.21715,21,-1.7791,5,-3.4881,13,-2.1881,117,1.18888,46,-0.3066,8,-2.8337
ENSG00000153904,DDAH1,284,0.63840,2,-6.6614,10,-4.3234,204,0.15609,52,-1.9495,34,-2.5829,228,0.28523,693,2.25633,165,-0.2215
