Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000157881,PANK4,12,-0.5793,22,0.38849,28,0.78173,7,-1.4198,32,1.00864,8,-1.1447,14,-0.3253,25,0.57129,15,-0.1769
ENSG00000157870,PRXL2B,57,-0.1701,51,-0.3237,64,0.04018,87,0.51598,85,0.49023,59,-0.0856,49,-0.4182,77,0.33442,54,-0.2234
ENSG00000177133,PRDM16-DT,35,0.87935,13,-0.8169,19,-0.1822,0,-4.7415,34,0.73034,10,-1.1488,21,-0.0661,43,1.08720,8,-1.4370
ENSG00000158109,TPRG1L,147,-0.6221,190,-0.1761,213,0.00537,167,-0.3734,273,0.40497,298,0.54805,197,-0.1317,312,0.62496,194,-0.1452
ENSG00000130764,LRRC47,44,-1.0298,70,-0.2407,55,-0.6015,96,0.26783,77,-0.0813,102,0.36875,137,0.98254,70,-0.2255,62,-0.4119
ENSG00000196581,AJAP1,25,-0.9522,27,-0.7732,65,0.60317,52,0.25867,43,-0.0421,31,-0.5753,63,0.65322,53,0.28616,41,-0.1267
ENSG00000069424,KCNAB2,254,-0.1460,287,0.05715,335,0.30779,366,0.44978,302,0.14029,188,-0.6039,253,-0.1569,255,-0.1250,295,0.10347
ENSG00000116254,CHD5,116,-0.3740,154,0.10266,148,0.03713,119,-0.2961,164,0.20924,137,-0.0792,182,0.42050,174,0.29679,94,-0.6591
ENSG00000116251,RPL22,555,0.43942,664,0.68657,444,0.03196,367,-0.2702,320,-0.4834,348,-0.3524,337,-0.4384,355,-0.3210,508,0.24709
ENSG00000116237,ICMT,24,-0.8538,25,-0.7265,29,-0.5032,119,1.88575,46,0.22197,33,-0.2727,35,-0.2325,35,-0.1873,34,-0.2596
ENSG00000158292,GPR153,15,-0.0937,16,0.01087,19,0.24730,5,-1.6921,12,-0.4056,8,-1.0538,27,0.98636,20,0.37551,11,-0.5645
ENSG00000097021,ACOT7,168,-1.0978,317,-0.0377,282,-0.2213,432,0.46264,405,0.35523,510,0.73784,288,-0.2066,443,0.50305,268,-0.3001
ENSG00000215788,TNFRSF25,12,-1.2160,24,-0.0513,47,1.02020,19,-0.3918,56,1.31081,16,-0.6471,34,0.53366,7,-1.8175,15,-0.7679
ENSG00000171680,PLEKHG5,26,-0.6186,19,-1.0727,63,0.80868,27,-0.5432,62,0.79940,21,-0.9099,46,0.34119,49,0.40027,33,-0.2039
ENSG00000162408,NOL9,27,-0.1713,22,-0.4984,24,-0.3298,40,0.45789,34,0.16965,36,0.28616,30,-0.0235,25,-0.2861,37,0.30019
ENSG00000162413,KLHL21,24,-0.5614,30,-0.1652,41,0.34352,33,-0.0077,58,0.89371,32,-0.0785,37,0.20994,24,-0.4770,25,-0.4212
ENSG00000116273,PHF13,12,-0.7514,6,-1.7619,14,-0.5282,47,1.45869,28,0.53559,11,-0.9408,24,0.33877,22,0.16691,17,-0.2439
ENSG00000041988,THAP3,15,-0.4289,32,0.79176,25,0.38600,24,0.33230,8,-1.3860,19,-0.0313,21,0.09387,21,0.08543,15,-0.4154
ENSG00000007923,DNAJC11,36,-0.0010,23,-0.6732,35,-0.0384,60,0.85110,39,0.14957,38,0.09810,28,-0.4341,51,0.55790,20,-0.8774
ENSG00000171735,CAMTA1,171,-0.2291,163,-0.2829,225,0.22561,168,-0.2360,169,-0.2304,256,0.43084,289,0.72824,115,-0.8158,132,-0.6080
ENSG00000049245,VAMP3,28,0.78893,19,0.02421,10,-0.8585,4,-2.1515,26,0.58222,14,-0.4311,24,0.49094,15,-0.3403,9,-1.0679
ENSG00000049246,PER3,21,-0.7394,14,-1.3012,67,1.13693,44,0.45557,42,0.35701,28,-0.2695,32,-0.0816,27,-0.2968,38,0.21046
ENSG00000116288,PARK7,353,-0.2205,527,0.43991,356,-0.1879,534,0.46222,517,0.40930,412,0.04132,371,-0.1360,277,-0.5764,340,-0.2613
ENSG00000116285,ERRFI1,9,-1.1823,27,0.60974,20,0.14108,9,-1.0386,11,-0.7758,28,0.66798,23,0.39080,13,-0.4986,30,0.80441
ENSG00000162426,SLC45A1,25,-0.7252,29,-0.4639,39,0.03125,41,0.09316,62,0.77501,44,0.20729,36,-0.1260,37,-0.0822,51,0.44329
ENSG00000142599,RERE,75,-0.5828,75,-0.5275,143,0.48959,129,0.31279,121,0.22186,112,0.09310,119,0.21476,125,0.26251,69,-0.6640
ENSG00000074800,ENO1,323,-0.0549,272,-0.3157,310,-0.1145,292,-0.2055,475,0.57438,296,-0.1854,294,-0.2167,390,0.25060,395,0.27252
ENSG00000171612,SLC25A33,41,0.63517,11,-1.4979,23,-0.3689,20,-0.5460,25,-0.1969,33,0.21156,41,0.62406,25,-0.2220,17,-0.7765
ENSG00000171603,CLSTN1,483,-0.9560,628,-0.4818,629,-0.4790,954,0.17639,1096,0.40089,1158,0.49001,1019,0.31766,1059,0.34512,870,0.02831
ENSG00000178585,CTNNBIP1,20,-0.4408,47,0.98935,19,-0.4444,25,-0.0184,9,-1.6262,41,0.76064,32,0.38920,19,-0.4239,18,-0.5409
ENSG00000162441,LZIC,26,-0.3122,27,-0.2042,39,0.37746,25,-0.2954,27,-0.1899,26,-0.2255,49,0.85738,23,-0.4307,21,-0.5845
ENSG00000130939,UBE4B,27,-0.4409,18,-0.9826,31,-0.1728,30,-0.2178,27,-0.4174,60,0.88638,56,0.87686,29,-0.3110,23,-0.6368
ENSG00000054523,KIF1B,204,-0.3410,236,-0.0840,276,0.16640,252,0.02206,220,-0.1900,237,-0.0745,329,0.50847,247,-0.0131,202,-0.3281
ENSG00000142657,PGD,38,-0.5712,48,-0.1794,51,-0.0755,48,-0.1848,39,-0.5089,63,0.23643,94,1.06139,46,-0.2460,33,-0.7648
ENSG00000241563,CORT,30,-1.5756,47,-0.8382,39,-1.1115,634,4.62102,1,-6.1571,34,-1.2989,18,-2.3797,18,-2.2254,17,-2.2902
ENSG00000160049,DFFA,24,-0.3592,39,0.43847,38,0.40986,18,-0.7680,27,-0.1622,28,-0.0724,21,-0.5613,30,0.00231,56,1.02882
ENSG00000142655,PEX14,21,-0.4515,23,-0.2835,32,0.26712,20,-0.4433,33,0.30952,21,-0.4297,35,0.46778,13,-1.1210,45,0.81897
ENSG00000120948,TARDBP,50,-0.6889,40,-0.9519,64,-0.2406,111,0.63435,115,0.68901,74,-0.0178,87,0.26928,68,-0.1611,79,0.07408
ENSG00000116649,SRM,97,-0.1085,103,-0.0016,108,0.06446,115,0.17772,140,0.48770,98,-0.0855,100,-0.0514,77,-0.4515,100,-0.0481
ENSG00000171824,EXOSC10,17,-0.5003,32,0.51768,30,0.43592,26,0.22479,21,-0.1063,19,-0.2579,24,0.10803,21,-0.1582,19,-0.2500
ENSG00000198793,MTOR,31,-0.4649,35,-0.2642,66,0.75649,66,0.74877,27,-0.6315,53,0.38733,42,0.02486,33,-0.3463,28,-0.5860
ENSG00000116661,FBXO2,319,0.67034,183,-0.3067,265,0.28315,133,-0.7923,212,-0.0747,198,-0.1826,209,-0.1078,179,-0.3344,217,-0.0383
ENSG00000132879,FBXO44,120,-0.8172,167,-0.2451,183,-0.1029,225,0.22386,234,0.28982,194,-0.0089,223,0.23886,201,0.04780,257,0.44298
ENSG00000116670,MAD2L2,26,0.17098,19,-0.3543,18,-0.4077,11,-1.1155,49,1.20643,14,-0.7985,21,-0.1542,25,0.08782,28,0.28706
ENSG00000177000,MTHFR,18,-0.1823,10,-1.0923,20,0.00732,34,0.82422,23,0.19749,11,-0.8860,26,0.46555,11,-0.9010,25,0.30338
ENSG00000011021,CLCN6,39,-0.5520,40,-0.4585,40,-0.4489,75,0.53685,55,0.03702,79,0.63016,43,-0.3698,72,0.46993,65,0.30734
ENSG00000116685,KIAA2013,17,-1.1845,39,0.20588,33,-0.0441,19,-0.8922,50,0.60166,45,0.43914,49,0.63036,31,-0.1361,29,-0.2515
ENSG00000083444,PLOD1,25,-0.2920,15,-1.0317,29,-0.0419,15,-1.0634,34,0.24107,41,0.51019,44,0.72160,29,0.00331,24,-0.2835
ENSG00000116688,MFN2,57,-0.7549,65,-0.4872,88,-0.0087,102,0.22060,90,0.01664,107,0.29337,100,0.21240,104,0.24381,108,0.31468
ENSG00000116691,MIIP,13,-0.7177,21,0.10157,15,-0.4315,5,-1.8776,28,0.51244,18,-0.1729,31,0.82674,25,0.36939,19,-0.1042
ENSG00000048707,VPS13D,31,-0.7638,33,-0.6457,40,-0.3185,41,-0.3116,33,-0.6401,69,0.51561,64,0.45436,69,0.52664,72,0.58820
ENSG00000162496,DHRS3,24,0.64500,17,0.07464,31,1.02282,6,-1.5102,15,-0.2071,8,-1.0865,12,-0.5549,11,-0.6173,23,0.53786
ENSG00000116731,PRDM2,56,-0.5123,49,-0.6824,53,-0.5430,74,-0.0404,76,-0.0005,64,-0.2567,118,0.82148,84,0.15560,86,0.20567
ENSG00000189337,KAZN,26,-0.3057,39,0.35156,38,0.27895,14,-1.2071,14,-1.2059,43,0.48502,41,0.46597,39,0.32170,26,-0.3137
ENSG00000142634,EFHD2,46,-1.0310,141,0.80325,52,-0.7821,29,-1.6673,16,-2.4874,242,1.77571,105,0.36070,79,-0.1396,85,-0.0148
ENSG00000116138,DNAJC16,14,-0.9501,17,-0.5383,22,-0.1479,16,-0.6237,42,0.89590,30,0.32490,36,0.71196,31,0.36148,10,-1.2711
ENSG00000197312,DDI2,16,-0.5259,13,-0.7738,12,-0.8845,26,0.23576,19,-0.2128,32,0.60344,29,0.51408,17,-0.3555,32,0.57430
ENSG00000116786,PLEKHM2,100,0.20106,156,0.90879,118,0.43607,57,-0.6946,84,-0.1064,101,0.18269,71,-0.4084,53,-0.7972,75,-0.2748
ENSG00000065526,SPEN,27,-0.0340,13,-1.1765,64,1.38570,14,-1.0513,25,-0.1792,34,0.31922,35,0.40606,21,-0.4173,11,-1.3848
ENSG00000116809,ZBTB17,14,-0.4053,19,0.09499,20,0.18140,5,-1.8438,23,0.38055,12,-0.6289,24,0.51753,24,0.46877,18,0.01945
ENSG00000037637,FBXO42,19,0.43843,10,-0.5178,6,-1.2340,2,-2.6428,29,1.11434,21,0.60407,15,0.00993,10,-0.5234,14,-0.0347
ENSG00000055070,SZRD1,27,0.51561,18,-0.1878,32,0.70602,9,-1.2579,36,0.89596,15,-0.4294,13,-0.7989,14,-0.6063,22,0.10158
ENSG00000159363,ATP13A2,108,-0.5508,178,0.28726,190,0.38861,147,-0.0197,90,-0.7705,204,0.50987,147,-0.0223,184,0.34035,134,-0.1616
ENSG00000117118,SDHB,70,-0.3713,96,0.16474,101,0.24612,116,0.47003,82,-0.0754,93,0.10682,82,-0.0983,79,-0.1445,82,-0.0849
ENSG00000117115,PADI2,37,0.94957,30,0.49540,28,0.37630,0,-5.7542,16,-0.4726,2,-3.1400,27,0.37487,17,-0.4046,21,-0.0689
ENSG00000117154,IGSF21,35,-1.1027,73,0.08100,48,-0.5676,52,-0.4461,58,-0.2859,92,0.45890,84,0.35051,102,0.63333,97,0.54432
ENSG00000159423,ALDH4A1,52,1.24659,17,-0.7267,35,0.38047,9,-1.6974,41,0.64842,10,-1.4493,26,-0.1203,16,-0.7700,17,-0.7338
ENSG00000127463,EMC1,22,-0.4791,18,-0.7855,16,-0.9490,29,-0.0463,30,-0.0031,43,0.59955,43,0.68033,40,0.46040,21,-0.5421
ENSG00000053372,MRTO4,31,-0.1281,23,-0.5598,27,-0.3171,21,-0.6943,52,0.69352,45,0.47532,30,-0.1657,35,0.06630,42,0.35783
ENSG00000053371,AKR7A2,44,0.18224,47,0.25131,34,-0.2237,66,0.81932,38,-0.0753,31,-0.3778,40,0.02677,25,-0.7068,27,-0.5745
ENSG00000077549,CAPZB,153,-0.2794,179,-0.0089,181,0.00635,197,0.14004,233,0.40857,187,0.06198,131,-0.5490,245,0.49374,193,0.10848
ENSG00000173436,MICOS10,307,0.05005,401,0.47313,289,-0.0521,418,0.54295,210,-0.5483,259,-0.2256,237,-0.3979,234,-0.3808,386,0.41325
ENSG00000158747,NBL1,196,0.00066,144,-0.4818,233,0.27659,147,-0.4466,239,0.32057,182,-0.1193,240,0.36202,154,-0.3722,185,-0.0935
ENSG00000169914,OTUD3,15,-0.1044,9,-0.7486,16,0.02756,10,-0.5870,16,0.07379,25,0.77910,15,-0.0206,20,0.37750,14,-0.1773
ENSG00000162545,CAMK2N1,1563,-0.0839,1490,-0.1509,2425,0.63584,2112,0.40794,2246,0.50887,733,-1.2383,1527,-0.1243,1424,-0.2214,1422,-0.2241
ENSG00000090432,MUL1,13,-0.6856,23,0.17980,16,-0.3301,12,-0.7770,13,-0.6910,38,1.01286,28,0.58265,18,-0.2040,21,0.02291
ENSG00000158828,PINK1,379,-0.1185,344,-0.2608,375,-0.1259,433,0.10375,321,-0.3675,569,0.54543,354,-0.2378,644,0.75162,313,-0.4074
ENSG00000244038,DDOST,17,-0.6839,25,-0.0920,18,-0.5873,57,1.28649,18,-0.5409,22,-0.2400,28,0.11009,31,0.26965,26,-0.0018
ENSG00000117245,KIF17,12,-0.4560,27,0.85076,8,-0.9849,15,-0.0838,19,0.26657,41,1.59248,15,-0.1123,5,-1.7543,6,-1.4585
ENSG00000189410,SH2D5,22,-0.4207,18,-0.6240,19,-0.5776,10,-1.5198,63,1.35502,29,0.06561,36,0.48947,26,-0.0890,24,-0.2405
ENSG00000127483,HP1BP3,130,-0.3142,103,-0.6443,130,-0.2784,98,-0.7235,193,0.34334,145,-0.1098,218,0.62182,163,0.07520,184,0.26759
ENSG00000075151,EIF4G3,80,-0.8621,115,-0.2375,102,-0.4174,167,0.35499,123,-0.1289,130,-0.0409,187,0.62394,126,-0.0876,171,0.39665
ENSG00000117298,ECE1,18,-0.0028,6,-1.6178,35,1.06216,20,0.10173,20,0.14324,14,-0.4467,21,0.19272,13,-0.4684,16,-0.2109
ENSG00000076864,RAP1GAP,80,-1.0161,181,0.32310,94,-0.7058,178,0.29641,136,-0.1345,258,0.91266,157,0.10951,162,0.14653,142,-0.0567
ENSG00000090686,USP48,33,-0.6146,29,-0.7372,26,-0.8974,114,1.47530,37,-0.3983,51,0.10977,47,-0.0322,36,-0.4387,70,0.61757
ENSG00000070831,CDC42,120,-0.7473,165,-0.2003,170,-0.1509,292,0.72182,173,-0.1223,320,0.87742,186,-0.0108,197,0.08643,129,-0.5773
ENSG00000173369,C1QB,31,1.26251,9,-0.9346,39,1.44838,6,-1.4508,15,-0.0748,1,-3.4245,10,-0.8017,1,-3.2635,24,0.62412
ENSG00000004487,KDM1A,42,-0.5550,43,-0.4844,48,-0.2872,44,-0.4444,77,0.44709,58,-0.0086,70,0.32791,88,0.66730,59,0.02213
ENSG00000169641,LUZP1,23,-1.0699,41,-0.1270,49,0.15939,38,-0.2464,30,-0.5861,67,0.68630,49,0.20881,89,1.17047,25,-0.8361
ENSG00000125944,HNRNPR,77,-0.6631,101,-0.1935,123,0.11506,182,0.75418,114,-0.0066,143,0.35370,112,-0.0275,130,0.20706,86,-0.4512
ENSG00000125945,ZNF436,13,-0.7639,17,-0.3695,16,-0.4848,26,0.33840,38,0.93330,17,-0.3439,29,0.53468,15,-0.4955,21,-0.0094
ENSG00000117318,ID3,41,2.91864,3,-1.9226,13,0.21128,4,-1.4781,2,-2.3215,7,-0.8037,4,-1.5667,2,-2.2210,5,-1.1055
ENSG00000142676,RPL11,520,0.60583,496,0.45405,287,-0.4141,412,0.15326,259,-0.5745,285,-0.4281,340,-0.1672,383,0.03563,274,-0.4863
ENSG00000057757,PITHD1,127,-0.7159,129,-0.6310,197,0.02164,230,0.27100,171,-0.1964,328,0.85733,223,0.24546,190,-0.0306,190,-0.0332
ENSG00000011009,LYPLA2,25,-0.7443,55,0.52080,27,-0.5686,45,0.21136,45,0.20507,44,0.16116,38,-0.0562,73,0.99984,19,-1.1262
ENSG00000117308,GALE,21,0.04987,14,-0.5619,12,-0.7778,24,0.22248,24,0.24830,16,-0.3902,34,0.92755,7,-1.6316,19,-0.1151
ENSG00000117305,HMGCL,18,0.23030,23,0.56186,16,-0.0202,2,-2.6886,19,0.25946,15,-0.1131,21,0.52155,10,-0.6717,12,-0.4753
ENSG00000189266,PNRC2,38,-0.1189,31,-0.4295,48,0.25685,54,0.42809,74,0.95530,35,-0.2318,37,-0.1946,24,-0.8369,36,-0.2174
ENSG00000188529,SRSF10,38,-0.4157,35,-0.5219,45,-0.1085,61,0.35900,50,0.04633,61,0.35930,51,0.08905,59,0.29911,46,-0.0970
ENSG00000001461,NIPAL3,48,-0.2338,34,-0.7327,47,-0.2487,49,-0.1884,33,-0.8003,77,0.53635,71,0.44703,79,0.57484,50,-0.1459
ENSG00000133226,SRRM1,43,0.07138,32,-0.4329,71,0.85449,18,-1.3066,65,0.72773,47,0.19560,42,0.00844,37,-0.1826,19,-1.2163
ENSG00000117614,SYF2,58,0.14861,60,0.18460,53,-0.0062,63,0.26061,59,0.14484,25,-1.1472,71,0.51268,39,-0.5037,31,-0.8256
ENSG00000117616,RSRP1,23,-1.2061,32,-0.6143,43,-0.1438,68,0.56789,52,0.14699,41,-0.2393,74,0.81952,63,0.44336,31,-0.6593
ENSG00000183726,TMEM50A,59,-0.5826,73,-0.1912,74,-0.1854,154,1.01186,158,1.05955,57,-0.5877,79,-0.0821,52,-0.7257,69,-0.2772
ENSG00000204178,MACO1,16,-0.9862,25,-0.2339,44,0.64253,25,-0.2796,36,0.30772,27,-0.1531,45,0.76899,17,-0.8308,29,-0.0322
ENSG00000117643,MAN1C1,23,-1.2005,30,-0.6709,52,0.15434,41,-0.2195,118,1.55184,23,-1.1194,46,-0.0488,44,-0.1063,73,0.71431
ENSG00000162430,SELENON,39,0.13901,33,-0.1602,59,0.78562,38,0.06006,38,0.04608,16,-1.2098,30,-0.3301,33,-0.1406,45,0.32640
ENSG00000117640,MTFR1L,52,-0.4081,79,0.28232,65,-0.0150,105,0.75140,71,0.10386,61,-0.1222,60,-0.1793,40,-0.7755,83,0.35742
ENSG00000117632,STMN1,914,-0.8735,1748,0.20486,1063,-0.5755,1381,-0.1686,1178,-0.4174,2585,0.85152,1625,0.09848,2481,0.78184,1395,-0.1536
ENSG00000158008,EXTL1,37,-0.5483,59,0.22750,34,-0.6420,30,-0.7936,53,0.06501,53,0.04964,78,0.78752,52,0.04184,50,-0.0257
ENSG00000142684,ZNF593,30,-0.0855,33,0.08270,55,0.87944,9,-1.8046,20,-0.7034,34,0.10969,22,-0.6279,56,0.91707,38,0.27683
ENSG00000142669,SH3BGRL3,207,0.01027,274,0.46446,214,0.06158,235,0.21446,119,-0.8456,293,0.57494,167,-0.3596,202,-0.0239,176,-0.2437
ENSG00000158062,UBXN11,25,-0.1618,32,0.23972,48,0.92328,6,-2.2566,11,-1.2996,18,-0.6101,31,0.22745,48,0.90391,25,-0.1218
ENSG00000117682,DHDDS,18,0.38226,11,-0.4233,7,-0.9930,9,-0.7289,20,0.54632,20,0.55768,12,-0.3418,19,0.43790,12,-0.2602
ENSG00000198830,HMGN2,150,0.36795,101,-0.2932,116,-0.0835,141,0.22817,174,0.56782,98,-0.3485,140,0.24458,65,-0.9742,70,-0.8710
ENSG00000117713,ARID1A,46,-0.4643,60,-0.0048,67,0.16529,42,-0.5547,65,0.11689,37,-0.7382,89,0.70200,85,0.55303,39,-0.6938
ENSG00000204160,ZDHHC18,18,-0.7925,18,-0.6550,28,-0.0150,55,1.08570,41,0.57218,19,-0.5856,26,-0.1294,52,1.00510,10,-1.5271
ENSG00000142751,GPN2,12,-0.4462,14,-0.1292,15,-0.0734,22,0.55602,27,0.85346,19,0.28706,5,-1.7040,21,0.45121,20,0.37972
ENSG00000090273,NUDC,162,-0.5581,200,-0.1860,196,-0.2201,328,0.60812,277,0.33483,156,-0.5744,286,0.43503,201,-0.1767,222,-0.0246
ENSG00000253368,TRNP1,48,-0.5404,89,0.47329,70,0.09137,33,-1.0565,44,-0.6244,82,0.33593,68,0.04753,121,0.99215,57,-0.2466
ENSG00000090020,SLC9A1,12,-1.4031,20,-0.5289,34,0.26141,22,-0.4165,39,0.49256,39,0.47983,39,0.52488,42,0.58296,20,-0.5809
ENSG00000142784,WDTC1,40,0.25080,41,0.26687,39,0.18397,30,-0.2011,31,-0.1888,19,-0.8740,47,0.55739,11,-1.6503,35,0.01453
ENSG00000186501,TMEM222,53,-0.4455,47,-0.6003,80,0.24375,44,-0.6897,84,0.32319,77,0.19051,80,0.28104,70,0.04014,86,0.36531
ENSG00000158195,WASF2,29,0.95063,8,-1.1597,24,0.47441,0,-6.4435,29,0.78998,12,-0.6079,22,0.44385,6,-1.5578,11,-0.6574
ENSG00000126705,AHDC1,29,-0.8986,45,-0.2027,48,-0.0833,40,-0.3825,66,0.42057,51,0.00914,72,0.64575,51,0.00849,54,0.10668
ENSG00000126709,IFI6,93,-0.1233,86,-0.2442,134,0.46926,68,-0.5975,72,-0.5180,185,1.01046,101,0.02459,102,0.03058,65,-0.6706
ENSG00000009780,FAM76A,16,-0.1794,12,-0.5694,24,0.47092,11,-0.7553,19,0.05332,28,0.70430,26,0.67838,8,-1.2968,12,-0.6577
ENSG00000117758,STX12,74,-0.3353,68,-0.4394,61,-0.6131,125,0.52728,103,0.21411,118,0.43161,93,0.05317,88,-0.0340,94,0.07180
ENSG00000117751,PPP1R8,21,-0.1751,9,-1.3597,22,-0.0489,16,-0.5273,52,1.33944,32,0.51218,24,0.11028,19,-0.2502,12,-1.0122
ENSG00000117748,RPA2,39,-0.5440,30,-0.8980,30,-0.8752,110,1.18834,62,0.21516,84,0.72187,50,-0.1142,52,-0.0455,44,-0.2969
