Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to10,Feature log2 fold change topic 7to10
ENSG00000157916,RER1,72,0.31716,54,-0.1658,48,-0.3408,72,0.34703,55,-0.1566
ENSG00000157911,PEX10,14,-0.5735,22,0.10995,16,-0.4460,20,-0.0958,24,0.31327
ENSG00000149527,PLCH2,12,-0.1297,9,-0.5739,12,-0.0944,14,0.17673,14,0.29213
ENSG00000157881,PANK4,9,-0.8620,12,-0.4453,13,-0.2905,18,0.15089,20,0.50834
ENSG00000197921,HES5,2,-2.6432,19,0.48973,19,0.38920,4,-2.0697,20,0.81311
ENSG00000157870,PRXL2B,64,-0.1753,55,-0.4360,72,0.01946,100,0.63910,66,-0.1643
ENSG00000177133,PRDM16-DT,7,-1.0291,30,1.61495,10,-0.5152,1,-3.2314,14,0.09934
ENSG00000158109,TPRG1L,142,-0.2337,116,-0.6000,196,0.29005,224,0.58614,156,-0.1238
ENSG00000130764,LRRC47,69,-0.0356,41,-0.9106,84,0.26087,79,0.18780,79,0.27028
ENSG00000116198,CEP104,12,-0.0042,14,0.26038,29,1.52436,12,-0.0250,7,-1.1551
ENSG00000198912,C1orf174,16,0.58837,6,-1.0032,19,0.88276,14,0.42339,9,-0.4705
ENSG00000196581,AJAP1,20,-1.2549,23,-1.1313,35,-0.4150,61,0.49783,60,0.67298
ENSG00000069424,KCNAB2,125,-0.8068,173,-0.3283,152,-0.5035,254,0.36270,240,0.34372
ENSG00000116254,CHD5,67,-0.8932,103,-0.2451,227,1.08090,134,0.22167,105,-0.2870
ENSG00000116251,RPL22,823,0.77565,608,0.30554,332,-0.6897,337,-0.7316,526,0.05296
ENSG00000116237,ICMT,34,0.01308,28,-0.3332,25,-0.4356,50,0.74759,30,-0.2323
ENSG00000158292,GPR153,18,0.46851,8,-0.7788,10,-0.3561,16,0.31945,14,0.13062
ENSG00000097021,ACOT7,188,-0.6908,168,-0.9372,308,0.08690,451,0.84082,295,0.03169
ENSG00000171680,PLEKHG5,11,-1.2909,19,-0.4389,23,-0.1356,39,0.82694,25,0.01068
ENSG00000162408,NOL9,52,1.05036,23,-0.2740,32,0.23594,25,-0.1820,24,-0.3378
ENSG00000162413,KLHL21,30,0.35626,21,-0.1807,17,-0.4996,29,0.34545,23,-0.1161
ENSG00000116273,PHF13,16,0.08454,14,-0.1630,16,0.08127,18,0.28994,14,-0.1656
ENSG00000041988,THAP3,17,-0.2592,15,-0.4712,21,0.09613,19,-0.1049,23,0.39710
ENSG00000007923,DNAJC11,14,-0.9239,22,-0.2335,32,0.36521,24,-0.0868,29,0.31629
ENSG00000171735,CAMTA1,134,-0.0953,116,-0.3555,260,1.00752,106,-0.5119,146,0.06325
ENSG00000049245,VAMP3,60,1.60137,26,0.15581,18,-0.4062,10,-1.3964,22,-0.2080
ENSG00000049246,PER3,30,0.44160,18,-0.3732,20,-0.2022,22,-0.0614,24,0.15333
ENSG00000116288,PARK7,336,-0.2110,389,0.02596,195,-1.0508,387,0.01396,439,0.33659
ENSG00000116285,ERRFI1,31,0.60827,14,-0.7265,26,0.30700,23,0.11796,21,-0.0625
ENSG00000162426,SLC45A1,11,-1.0963,13,-0.9894,33,0.56469,34,0.72572,23,0.03072
ENSG00000142599,RERE,106,0.12559,74,-0.4897,88,-0.1756,81,-0.3331,120,0.50190
ENSG00000074800,ENO1,549,-0.3181,590,-0.2304,577,-0.2418,839,0.41384,683,0.04059
ENSG00000142583,SLC2A5,6,-0.6878,12,0.46806,8,-0.1434,3,-1.5789,12,0.64209
ENSG00000171612,SLC25A33,34,0.19851,40,0.52013,38,0.35498,18,-0.8355,28,-0.1476
ENSG00000188807,TMEM201,3,-1.6975,8,-0.2831,23,1.46479,6,-0.6585,10,0.14891
ENSG00000171603,CLSTN1,416,-0.6088,331,-1.0462,670,0.14282,915,0.76693,638,0.09788
ENSG00000178585,CTNNBIP1,12,-1.0271,25,0.05867,52,1.27094,15,-0.8204,25,0.03756
ENSG00000162441,LZIC,29,0.14016,29,0.16215,27,0.04507,19,-0.5726,28,0.15220
ENSG00000130939,UBE4B,34,0.10905,22,-0.6623,45,0.56359,45,0.64999,27,-0.4122
ENSG00000054523,KIF1B,209,-0.0330,195,-0.1563,316,0.64317,197,-0.1384,206,-0.0854
ENSG00000142657,PGD,52,0.57848,32,-0.2194,51,0.52313,38,0.05757,31,-0.3927
ENSG00000175279,CENPS,8,-0.7243,11,-0.2455,11,-0.1886,13,0.14443,14,0.33909
ENSG00000241563,CORT,65,-0.2039,31,-1.4527,311,2.69565,8,-3.3740,71,-0.0831
ENSG00000160049,DFFA,64,1.20249,23,-0.4963,34,0.12886,23,-0.5140,30,-0.0694
ENSG00000142655,PEX14,25,0.16585,18,-0.4199,27,0.24769,24,0.09115,23,0.02924
ENSG00000120948,TARDBP,76,0.43724,44,-0.4854,51,-0.2212,63,0.14418,60,0.08502
ENSG00000116649,SRM,77,-0.2856,66,-0.5828,55,-0.7910,119,0.47397,105,0.32660
ENSG00000171824,EXOSC10,13,-0.5514,9,-1.0615,18,-0.0091,23,0.46592,21,0.39112
ENSG00000198793,MTOR,26,-0.5469,29,-0.4468,30,-0.3478,50,0.52287,40,0.17694
ENSG00000116661,FBXO2,242,0.02955,267,0.21660,184,-0.4021,229,-0.0620,239,0.01364
ENSG00000132879,FBXO44,129,-0.1659,78,-1.0282,135,-0.0937,226,0.88211,140,-0.0545
ENSG00000116670,MAD2L2,10,-1.2093,18,-0.4361,9,-1.3258,31,0.58750,28,0.48494
ENSG00000177674,AGTRAP,26,1.72220,12,0.37457,7,-0.4519,4,-1.3977,8,-0.4683
ENSG00000177000,MTHFR,9,-0.4699,10,-0.2764,31,1.59464,9,-0.4978,11,-0.2892
ENSG00000011021,CLCN6,26,-0.7105,26,-0.8020,76,1.01794,61,0.75155,34,-0.4294
ENSG00000116685,KIAA2013,38,0.46545,18,-0.7272,32,0.21526,37,0.50685,25,-0.2487
ENSG00000083444,PLOD1,28,1.10855,11,-0.3849,18,0.32227,18,0.43179,10,-0.8363
ENSG00000116688,MFN2,63,-0.3790,53,-0.7188,93,0.22828,87,0.14415,92,0.34078
ENSG00000116691,MIIP,13,-0.1149,8,-0.8181,14,0.07320,20,0.73537,13,-0.0955
ENSG00000028137,TNFRSF1B,169,3.46710,29,-0.0748,8,-1.8997,4,-2.9397,15,-1.4478
ENSG00000048707,VPS13D,46,0.13010,31,-0.5511,70,0.81497,44,0.06520,40,-0.1520
ENSG00000162496,DHRS3,33,1.15735,18,0.19080,27,0.83342,7,-1.4514,13,-0.4343
ENSG00000116731,PRDM2,63,-0.2497,64,-0.2696,91,0.33085,103,0.61093,64,-0.3473
ENSG00000189337,KAZN,47,0.53367,17,-1.1599,79,1.47210,22,-0.7057,33,-0.0465
ENSG00000142634,EFHD2,129,0.80171,55,-0.6320,305,2.48399,36,-1.2991,44,-1.2135
ENSG00000116138,DNAJC16,16,-0.2735,11,-0.9590,29,0.63019,28,0.67058,18,-0.1799
ENSG00000197312,DDI2,18,-0.1552,12,-0.8042,32,0.75039,30,0.74917,16,-0.4323
ENSG00000116786,PLEKHM2,39,-0.3205,50,0.07938,47,-0.0310,46,-0.0758,50,0.11660
ENSG00000065526,SPEN,47,0.86935,30,0.14741,42,0.68446,27,-0.0283,18,-0.8791
ENSG00000116809,ZBTB17,14,0.17436,12,-0.0873,11,-0.1153,16,0.54374,10,-0.3850
ENSG00000185519,FAM131C,12,-0.2852,14,-0.0893,24,0.78344,5,-1.8099,18,0.57957
ENSG00000037637,FBXO42,7,-1.3058,11,-0.8320,30,0.89994,22,0.42780,18,0.06262
ENSG00000055070,SZRD1,17,-0.1438,27,0.63338,17,-0.1435,10,-0.9880,20,0.15397
ENSG00000157191,NECAP2,13,0.17225,14,0.29903,14,0.32706,5,-1.2167,13,0.20217
ENSG00000159363,ATP13A2,54,-0.9731,68,-0.6746,142,0.55569,103,0.03291,118,0.39400
ENSG00000117118,SDHB,90,-0.0148,77,-0.2811,66,-0.4916,108,0.32218,95,0.11297
ENSG00000117115,PADI2,72,1.07329,60,0.87810,32,-0.2532,16,-1.4302,31,-0.4661
ENSG00000179051,RCC2,7,-0.7142,13,0.31830,16,0.53027,12,0.11924,10,-0.3265
ENSG00000074964,ARHGEF10L,4,-1.2058,12,0.56211,9,0.07023,5,-0.9766,10,0.39575
ENSG00000117154,IGSF21,35,-0.6521,34,-0.7625,92,0.89392,70,0.49807,50,-0.1615
ENSG00000159423,ALDH4A1,9,-1.3097,38,1.13821,14,-0.5791,20,-0.0916,18,-0.3533
ENSG00000127463,EMC1,28,0.07878,18,-0.6765,38,0.56272,34,0.47094,24,-0.2363
ENSG00000053372,MRTO4,37,-0.2059,27,-0.7422,53,0.36585,56,0.53459,41,-0.0542
ENSG00000053371,AKR7A2,42,-0.1803,54,0.24393,44,-0.1032,43,-0.1449,48,0.02473
ENSG00000077549,CAPZB,218,-0.0691,174,-0.4740,189,-0.2944,244,0.12551,259,0.32076
ENSG00000173436,MICOS10,220,-0.5680,402,0.45082,213,-0.6204,293,-0.1364,334,0.13642
ENSG00000158747,NBL1,155,-0.1498,142,-0.3146,242,0.57792,172,0.02560,168,-0.0211
ENSG00000169914,OTUD3,8,-1.3175,17,-0.2765,23,0.19309,28,0.65323,19,-0.0523
ENSG00000162545,CAMK2N1,865,-0.9988,1573,-0.0762,674,-1.3755,2314,0.65039,1776,0.19465
ENSG00000090432,MUL1,21,0.08202,15,-0.4218,32,0.80336,22,0.22986,17,-0.3184
ENSG00000158828,PINK1,331,0.05519,271,-0.2916,371,0.23769,341,0.11669,318,-0.0131
ENSG00000244038,DDOST,22,-0.0089,16,-0.5705,18,-0.3516,38,1.01382,19,-0.3661
ENSG00000117245,KIF17,7,-1.3355,7,-1.3902,30,1.00003,18,0.15696,19,0.41717
ENSG00000189410,SH2D5,24,-0.6002,23,-0.7107,33,-0.0933,52,0.74273,36,0.05945
ENSG00000127483,HP1BP3,170,0.20859,103,-0.6467,208,0.53275,145,-0.0584,156,0.09820
ENSG00000075151,EIF4G3,106,-0.1355,86,-0.5000,127,0.15851,140,0.36511,116,0.02416
ENSG00000117298,ECE1,82,2.87167,11,-0.7805,7,-1.4573,8,-1.3167,13,-0.6764
ENSG00000076864,RAP1GAP,98,-0.4064,57,-1.3388,172,0.50488,185,0.72052,128,0.02854
ENSG00000090686,USP48,55,0.63771,30,-0.3554,47,0.37849,41,0.16645,32,-0.3474
ENSG00000070831,CDC42,281,0.42586,153,-0.5937,281,0.42679,236,0.16007,205,-0.1230
ENSG00000173372,C1QA,268,3.09454,56,0.04177,25,-1.2040,6,-3.3589,32,-1.0891
ENSG00000159189,C1QC,208,2.64417,55,0.16780,22,-1.2718,11,-2.3883,35,-0.7684
ENSG00000173369,C1QB,310,2.37484,105,0.40800,29,-1.6174,25,-1.9777,61,-0.7020
ENSG00000004487,KDM1A,49,-0.0313,37,-0.5364,37,-0.4537,51,0.03027,60,0.44925
ENSG00000169641,LUZP1,9,-1.7971,25,-0.3870,49,0.73341,36,0.24864,33,0.14060
ENSG00000125944,HNRNPR,104,0.05880,62,-0.8077,115,0.23280,110,0.18066,109,0.20785
ENSG00000125945,ZNF436,8,-1.8323,11,-1.4992,24,-0.1409,43,0.92266,32,0.44302
ENSG00000204219,TCEA3,46,2.50892,10,-0.2868,15,0.35115,3,-2.0231,7,-0.9207
ENSG00000117318,ID3,236,4.90774,19,-0.8024,4,-2.9903,2,-4.1365,5,-2.9885
ENSG00000142676,RPL11,981,1.55074,443,0.18932,263,-0.6517,278,-0.6251,326,-0.4559
ENSG00000011007,ELOA,14,-0.1400,12,-0.5012,29,1.00830,19,0.31960,13,-0.3860
ENSG00000057757,PITHD1,163,-0.0889,107,-0.8112,202,0.25571,211,0.37687,180,0.11050
ENSG00000011009,LYPLA2,45,0.16732,26,-0.7563,26,-0.7146,65,0.91041,38,-0.1393
ENSG00000117308,GALE,6,-1.4941,8,-1.1073,7,-1.2051,20,0.36791,23,0.98086
ENSG00000117305,HMGCL,5,-1.5955,19,0.46634,13,-0.2244,12,-0.3808,17,0.35304
ENSG00000179163,FUCA1,14,0.06492,7,-1.0250,18,0.52766,16,0.41819,13,-0.0120
ENSG00000189266,PNRC2,92,0.94779,45,-0.2335,50,-0.0506,46,-0.1951,48,-0.1703
ENSG00000188529,SRSF10,57,0.22005,34,-0.6352,49,-0.0364,51,0.04537,56,0.26009
ENSG00000001461,NIPAL3,62,0.40638,33,-0.6539,115,1.48780,45,-0.1134,37,-0.5744
ENSG00000133226,SRRM1,96,0.62081,66,0.00998,91,0.53042,60,-0.1734,55,-0.4157
ENSG00000169504,CLIC4,215,3.71227,27,-0.4672,25,-0.5339,8,-2.3788,12,-2.0722
ENSG00000117614,SYF2,97,0.55705,56,-0.3613,61,-0.1998,77,0.18962,67,-0.0815
ENSG00000117616,RSRP1,28,-0.4160,16,-1.3832,35,-0.0668,39,0.10628,49,0.74505
ENSG00000183726,TMEM50A,111,0.49614,58,-0.6046,55,-0.6324,93,0.21932,89,0.18422
ENSG00000204178,MACO1,60,1.21632,17,-0.9045,32,0.16794,26,-0.1867,28,-0.0851
ENSG00000117643,MAN1C1,14,-1.5132,23,-0.7862,13,-1.5353,56,0.77051,47,0.58517
ENSG00000162430,SELENON,45,0.74099,27,-0.0626,28,-0.0499,31,0.17893,24,-0.4189
ENSG00000117640,MTFR1L,98,0.78512,47,-0.4559,66,0.14101,58,-0.0770,58,-0.0944
ENSG00000117632,STMN1,1062,-0.5178,1000,-0.6716,1279,-0.2265,1925,0.49859,1640,0.26384
ENSG00000158008,EXTL1,14,-1.3925,34,-0.0961,40,0.16910,41,0.26727,38,0.16364
ENSG00000142684,ZNF593,40,-0.0025,38,-0.1056,38,-0.0654,34,-0.2877,44,0.27005
ENSG00000142669,SH3BGRL3,364,0.65652,197,-0.3782,283,0.23427,237,-0.0563,232,-0.1198
ENSG00000158062,UBXN11,22,0.01559,16,-0.5340,10,-1.1624,29,0.55257,24,0.21478
ENSG00000117682,DHDDS,18,0.11336,14,-0.2915,25,0.58398,22,0.50364,13,-0.5116
ENSG00000198830,HMGN2,208,0.83969,128,0.04732,116,-0.1205,104,-0.3286,116,-0.1823
ENSG00000117713,ARID1A,79,0.45264,40,-0.6918,80,0.46952,66,0.18078,57,-0.1222
ENSG00000204160,ZDHHC18,16,-0.4202,13,-0.8370,25,0.29632,25,0.35817,23,0.22425
ENSG00000142751,GPN2,4,-2.0557,12,-0.4745,16,0.01905,20,0.42358,18,0.40684
ENSG00000090273,NUDC,213,0.12355,192,-0.0556,123,-0.7440,218,0.17991,205,0.09091
ENSG00000253368,TRNP1,38,-0.4913,33,-0.7803,35,-0.6331,44,-0.3186,74,0.96722
ENSG00000090020,SLC9A1,19,0.08012,11,-0.8495,26,0.54526,21,0.21762,19,0.04974
ENSG00000142784,WDTC1,13,-1.0317,29,0.28010,41,0.81546,23,-0.1475,23,-0.1959
ENSG00000186501,TMEM222,38,-0.6275,42,-0.5327,70,0.31645,64,0.19164,63,0.24822
ENSG00000158195,WASF2,73,1.98532,26,0.20241,17,-0.4730,12,-1.1254,17,-0.6778
ENSG00000126705,AHDC1,36,-0.2046,20,-1.1850,79,1.08821,55,0.56496,36,-0.2959
ENSG00000126709,IFI6,389,1.98106,103,-0.3688,245,1.10094,70,-1.0098,73,-1.1583
ENSG00000009780,FAM76A,9,-0.5236,10,-0.4484,17,0.37823,26,1.33682,8,-0.9228
ENSG00000117758,STX12,129,0.55543,70,-0.4785,126,0.51714,82,-0.1907,90,-0.0565
ENSG00000117751,PPP1R8,36,0.29878,21,-0.5943,36,0.30862,30,0.02172,31,0.08549
ENSG00000117748,RPA2,45,-0.1415,35,-0.6216,55,0.15934,64,0.47452,50,0.00309
ENSG00000126698,DNAJC8,148,-0.0676,143,-0.1424,133,-0.2409,178,0.25797,156,0.02028
ENSG00000130770,ATP5IF1,416,-0.6387,596,-0.0849,333,-0.9800,742,0.31686,706,0.30629
ENSG00000204138,PHACTR4,11,0.18260,11,0.35912,16,0.82701,6,-0.6777,8,-0.3374
ENSG00000180098,TRNAU1AP,36,1.20845,12,-0.6103,16,-0.0862,15,-0.2800,17,-0.0634
ENSG00000197989,SNHG12,24,0.98319,11,-0.3057,9,-0.6487,9,-0.6448,15,0.28174
ENSG00000120656,TAF12,17,0.38561,12,-0.2441,13,-0.0454,13,-0.0916,14,0.07014
ENSG00000198492,YTHDF2,75,0.14243,40,-0.9407,103,0.66080,101,0.73212,57,-0.4192
ENSG00000116350,SRSF4,50,0.25438,39,-0.1553,38,-0.1823,41,-0.0703,44,0.10831
ENSG00000116353,MECR,15,-1.1020,26,-0.3578,28,-0.2096,31,-0.0578,41,0.62091
ENSG00000060656,PTPRU,9,-0.0293,4,-1.1370,47,3.20007,4,-1.3602,4,-1.3634
ENSG00000162511,LAPTM5,198,2.08811,80,0.48728,33,-0.9714,22,-1.6974,45,-0.6757
ENSG00000162512,SDC3,188,0.23424,124,-0.4702,159,-0.0393,173,0.11269,172,0.12624
ENSG00000134644,PUM1,117,-0.0122,60,-1.1216,216,1.01000,138,0.29401,112,-0.1197
ENSG00000060688,SNRNP40,5,-1.6362,13,-0.4625,16,-0.1278,18,0.12831,21,0.61386
ENSG00000121766,ZCCHC17,110,-0.4688,97,-0.7260,128,-0.2403,197,0.52366,165,0.26062
ENSG00000121769,FABP3,86,-0.7997,100,-0.6225,137,-0.0684,196,0.59362,154,0.18173
ENSG00000162517,PEF1,67,-0.3181,54,-0.7293,58,-0.5427,118,0.69503,88,0.16744
ENSG00000084636,COL16A1,37,0.64616,17,-0.6528,30,0.30639,26,0.08970,24,-0.0984
ENSG00000121753,ADGRB2,142,-0.3685,119,-0.7069,174,-0.0492,247,0.60413,186,0.09326
ENSG00000184007,PTP4A2,280,1.05510,140,-0.1100,154,0.04824,144,-0.0568,122,-0.4528
ENSG00000121774,KHDRBS1,99,-0.2542,88,-0.4987,142,0.31175,117,0.00158,129,0.25498
ENSG00000121775,TMEM39B,2,-2.1869,7,-0.6880,15,0.42584,17,0.77261,12,0.07594
ENSG00000025800,KPNA6,38,-0.3461,30,-0.7932,90,1.04699,59,0.39295,43,-0.2470
ENSG00000084652,TXLNA,37,1.32216,15,-0.2154,16,-0.0762,19,0.18229,12,-0.7132
ENSG00000160050,CCDC28B,10,-0.8047,22,0.50322,15,-0.1959,10,-0.8097,19,0.38450
ENSG00000084623,EIF3I,142,0.52458,88,-0.2722,86,-0.2804,106,0.05072,103,0.00712
ENSG00000175130,MARCKSL1,291,0.74681,233,0.42664,193,0.07004,87,-1.2662,182,-0.0438
ENSG00000160058,BSDC1,70,0.30189,40,-0.6208,60,0.06988,62,0.13739,61,0.11678
ENSG00000160062,ZBTB8A,8,-0.2484,7,-0.4560,13,0.56884,13,0.72473,7,-0.4599
ENSG00000176261,ZBTB8OS,65,0.61220,43,-0.0701,35,-0.3594,34,-0.4395,47,0.16141
ENSG00000162521,RBBP4,90,0.13741,74,-0.1948,95,0.22430,80,-0.0538,83,0.01710
ENSG00000162522,KIAA1522,14,-0.5029,24,0.40082,7,-1.4457,20,0.04815,21,0.20508
ENSG00000134684,YARS,51,-0.9183,71,-0.4729,91,-0.0324,121,0.49181,101,0.20032
ENSG00000116497,S100PBP,16,0.51369,10,-0.2895,19,0.87145,11,-0.0924,9,-0.4081
ENSG00000160097,FNDC5,24,0.11204,16,-0.5323,21,-0.1030,18,-0.3032,27,0.48789
ENSG00000121905,HPCA,197,-0.5005,155,-0.9467,228,-0.2717,358,0.52803,313,0.37176
ENSG00000121900,TMEM54,59,0.37966,44,-0.1343,48,0.04871,39,-0.3222,49,0.11021
ENSG00000116514,RNF19B,33,0.31770,16,-0.8803,27,0.00109,30,0.20513,29,0.20772
ENSG00000004455,AK2,36,1.11553,19,0.08192,21,0.18864,10,-0.9447,17,-0.1867
ENSG00000142920,AZIN2,13,-0.6508,8,-1.4208,22,0.19576,23,0.31345,25,0.57682
ENSG00000160094,ZNF362,12,-0.0406,13,0.05235,20,0.79607,15,0.36252,9,-0.6951
ENSG00000134686,PHC2,88,0.72721,47,-0.3270,68,0.30674,55,-0.0259,51,-0.2419
ENSG00000163866,SMIM12,57,0.11423,41,-0.4476,50,-0.1079,49,-0.1424,61,0.35130
ENSG00000116544,DLGAP3,23,-1.1334,55,0.21639,36,-0.4924,48,-0.0298,56,0.33510
ENSG00000163867,ZMYM6,10,-0.4094,8,-0.9187,21,0.68573,16,0.36460,14,0.06508
ENSG00000116560,SFPQ,208,0.52541,109,-0.5508,171,0.20217,153,0.03497,150,-0.0054
ENSG00000146463,ZMYM4,42,0.29817,38,0.15433,32,-0.1399,28,-0.3678,36,0.04936
ENSG00000142687,KIAA0319L,29,-0.8920,40,-0.4566,66,0.38442,68,0.49130,52,0.01624
ENSG00000020129,NCDN,284,-1.0154,246,-1.3328,353,-0.6804,908,0.99881,626,0.35148
ENSG00000126067,PSMB2,152,0.21985,87,-0.7148,129,-0.0450,179,0.57023,128,-0.0888
ENSG00000142686,C1orf216,80,-0.0535,54,-0.7390,97,0.24240,112,0.55500,81,-0.0711
ENSG00000092847,AGO1,12,-0.5685,16,-0.1368,31,0.94454,14,-0.4342,18,0.07625
ENSG00000126070,AGO3,8,-0.9206,13,-0.2326,30,1.13040,20,0.47691,12,-0.5335
ENSG00000116863,ADPRHL2,11,-0.6815,13,-0.5044,14,-0.3900,21,0.31939,21,0.40842
ENSG00000054116,TRAPPC3,37,-0.5535,39,-0.5248,41,-0.4053,64,0.33577,62,0.37884
ENSG00000116871,MAP7D1,152,-0.0460,124,-0.4140,107,-0.5959,188,0.32909,172,0.22167
ENSG00000054118,THRAP3,81,0.53855,40,-0.6232,77,0.46066,64,0.17941,53,-0.1944
ENSG00000196182,STK40,20,0.28284,16,-0.0500,16,-0.1166,15,-0.1710,17,0.07030
ENSG00000181817,LSM10,36,-0.2765,38,-0.2084,27,-0.7236,53,0.39185,45,0.16687
ENSG00000116885,OSCP1,7,-1.3942,12,-0.7342,8,-1.2244,31,0.96162,22,0.33011
ENSG00000116898,MRPS15,44,-0.3165,48,-0.2038,33,-0.7299,60,0.21786,60,0.30533
ENSG00000163873,GRIK3,22,0.72708,4,-1.7358,62,2.81191,4,-1.7937,9,-0.8551
ENSG00000163875,MEAF6,76,-0.3330,60,-0.7516,116,0.35631,117,0.41080,97,0.09367
ENSG00000163877,SNIP1,13,0.06489,7,-0.9396,16,0.36766,15,0.27292,14,0.13820
ENSG00000134697,GNL2,25,0.66043,18,0.16551,18,0.09563,15,-0.1592,14,-0.3554
ENSG00000116922,C1orf109,14,-0.0532,7,-1.1412,11,-0.3734,19,0.49025,17,0.36860
ENSG00000183317,EPHA10,13,-0.1389,6,-1.3002,5,-1.5462,20,0.66407,18,0.56069
ENSG00000185090,MANEAL,24,-0.6285,20,-1.0265,23,-0.7229,63,1.05200,39,0.11443
ENSG00000196449,YRDC,20,0.45869,9,-0.8730,12,-0.2702,19,0.46030,15,0.04277
ENSG00000197982,C1orf122,197,0.09699,223,0.33981,118,-0.7158,193,0.07246,177,-0.1096
ENSG00000183431,SF3A3,35,-0.0804,28,-0.4636,31,-0.2917,35,-0.1188,45,0.47571
ENSG00000183520,UTP11,60,0.89535,29,-0.3060,21,-0.8196,47,0.53349,29,-0.4004
ENSG00000116954,RRAGC,60,0.56763,27,-0.7285,52,0.32845,58,0.60686,35,-0.4411
ENSG00000174574,AKIRIN1,112,0.17494,72,-0.5801,76,-0.4520,137,0.57577,100,-0.0078
ENSG00000168653,NDUFS5,492,-0.6499,728,-0.0402,448,-0.7918,690,-0.1354,916,0.54222
ENSG00000127603,MACF1,99,0.27478,78,-0.1247,149,0.96596,58,-0.6348,79,-0.1337
ENSG00000090621,PABPC4,99,1.03304,57,0.11305,71,0.46765,34,-0.7475,45,-0.3775
