ensembl,gene,dataset,layer,top,marker_anno,SpD,layer_combo
ENSG00000187193,MT1X,HumanPilot,Layer1,43,Layer1,NA,NA
ENSG00000149596,JPH2,HumanPilot,Layer1,44,Layer1,NA,NA
ENSG00000068078,FGFR3,HumanPilot,Layer1,45,Layer1,NA,NA
ENSG00000205358,MT1H,HumanPilot,Layer1,46,Layer1,NA,NA
ENSG00000119711,ALDH6A1,HumanPilot,Layer1,47,Layer1,NA,NA
ENSG00000134250,NOTCH2,HumanPilot,Layer1,48,Layer1,NA,NA
ENSG00000149591,TAGLN,HumanPilot,Layer1,49,Layer1,NA,NA
ENSG00000131477,RAMP2,HumanPilot,Layer1,50,Layer1,NA,NA
ENSG00000135744,AGT,HumanPilot,Layer1,51,Layer1,NA,NA
ENSG00000145824,CXCL14,HumanPilot,Layer1,52,Layer1,NA,NA
ENSG00000137285,TUBB2B,HumanPilot,Layer1,53,Layer1,NA,NA
ENSG00000049540,ELN,HumanPilot,Layer1,54,Layer1,NA,NA
ENSG00000249306,LINC01411,HumanPilot,Layer1,55,Layer1,NA,NA
ENSG00000172201,ID4,HumanPilot,Layer1,56,Layer1,NA,NA
ENSG00000148053,NTRK2,HumanPilot,Layer1,57,Layer1,NA,NA
ENSG00000182600,SNORC,HumanPilot,Layer1,58,Layer1,NA,NA
ENSG00000100979,PLTP,HumanPilot,Layer1,59,Layer1,NA,NA
ENSG00000169715,MT1E,HumanPilot,Layer1,60,Layer1,NA,NA
ENSG00000134769,DTNA,HumanPilot,Layer1,61,Layer1,NA,NA
ENSG00000117318,ID3,HumanPilot,Layer1,62,Layer1,NA,NA
ENSG00000266964,FXYD1,HumanPilot,Layer1,63,Layer1,NA,NA
ENSG00000198467,TPM2,HumanPilot,Layer1,64,Layer1,NA,NA
ENSG00000175899,A2M,HumanPilot,Layer1,65,Layer1,NA,NA
ENSG00000186998,EMID1,HumanPilot,Layer1,66,Layer1,NA,NA
ENSG00000153944,MSI2,HumanPilot,Layer1,67,Layer1,NA,NA
ENSG00000117519,CNN3,HumanPilot,Layer1,68,Layer1,NA,NA
ENSG00000258548,LINC00645,HumanPilot,Layer1,69,Layer1,NA,NA
ENSG00000228408,AL031056.1,HumanPilot,Layer1,70,Layer1,NA,NA
ENSG00000167601,AXL,HumanPilot,Layer1,71,Layer1,NA,NA
ENSG00000148671,ADIRF,HumanPilot,Layer1,72,Layer1,NA,NA
ENSG00000148175,STOM,HumanPilot,Layer1,73,Layer1,NA,NA
ENSG00000181449,SOX2,HumanPilot,Layer1,74,Layer1,NA,NA
ENSG00000153976,HS3ST3A1,HumanPilot,Layer1,75,Layer1,NA,NA
ENSG00000168309,FAM107A,HumanPilot,Layer1,76,Layer1,NA,NA
ENSG00000170075,GPR37L1,HumanPilot,Layer1,77,Layer1,NA,NA
ENSG00000178209,PLEC,HumanPilot,Layer1,78,Layer1,NA,NA
ENSG00000125148,MT2A,HumanPilot,Layer1,79,Layer1,NA,NA
ENSG00000134824,FADS2,HumanPilot,Layer1,80,Layer1,NA,NA
ENSG00000171885,AQP4,HumanPilot,Layer1,81,Layer1,NA,NA
ENSG00000173376,NDNF,HumanPilot,Layer1,82,Layer1,NA,NA
ENSG00000147027,TMEM47,HumanPilot,Layer1,83,Layer1,NA,NA
ENSG00000132329,RAMP1,HumanPilot,Layer1,84,Layer1,NA,NA
ENSG00000144749,LRIG1,HumanPilot,Layer1,85,Layer1,NA,NA
ENSG00000164199,ADGRV1,HumanPilot,Layer1,86,Layer1,NA,NA
ENSG00000198523,PLN,HumanPilot,Layer1,87,Layer1,NA,NA
ENSG00000104870,FCGRT,HumanPilot,Layer1,88,Layer1,NA,NA
ENSG00000134569,LRP4,HumanPilot,Layer1,89,Layer1,NA,NA
ENSG00000184232,OAF,HumanPilot,Layer1,90,Layer1,NA,NA
ENSG00000103811,CTSH,HumanPilot,Layer1,91,Layer1,NA,NA
ENSG00000116661,FBXO2,HumanPilot,Layer1,92,Layer1,NA,NA
ENSG00000129244,ATP1B2,HumanPilot,Layer1,93,Layer1,NA,NA
ENSG00000125462,C1orf61,HumanPilot,Layer1,94,Layer1,NA,NA
ENSG00000251562,MALAT1,HumanPilot,Layer1,95,Layer1,NA,NA
ENSG00000177283,FZD8,HumanPilot,Layer1,96,Layer1,NA,NA
ENSG00000130066,SAT1,HumanPilot,Layer1,97,Layer1,NA,NA
ENSG00000171612,SLC25A33,HumanPilot,Layer1,98,Layer1,NA,NA
ENSG00000196924,FLNA,HumanPilot,Layer1,99,Layer1,NA,NA
ENSG00000182902,SLC25A18,HumanPilot,Layer1,100,Layer1,NA,NA
ENSG00000165617,DACT1,HumanPilot,Layer2,1,Layer2,NA,NA
ENSG00000117400,MPL,HumanPilot,Layer2,2,Layer2,NA,NA
ENSG00000168952,STXBP6,HumanPilot,Layer2,3,Layer2,NA,NA
ENSG00000197555,SIPA1L1,HumanPilot,Layer2,4,Layer2,NA,NA
ENSG00000111885,MAN1A1,HumanPilot,Layer2,5,Layer2,NA,NA
ENSG00000123064,DDX54,HumanPilot,Layer2,6,Layer2,NA,NA
ENSG00000162545,CAMK2N1,HumanPilot,Layer2,7,Layer2,NA,NA
ENSG00000135919,SERPINE2,HumanPilot,Layer2,8,Layer2,NA,NA
ENSG00000075891,PAX2,HumanPilot,Layer2,9,Layer2,NA,NA
ENSG00000141404,GNAL,HumanPilot,Layer2,10,Layer2,NA,NA
ENSG00000115756,HPCAL1,HumanPilot,Layer2,11,Layer2,NA,NA
ENSG00000065150,IPO5,HumanPilot,Layer2,12,Layer2,NA,NA
ENSG00000144119,C1QL2,HumanPilot,Layer2,13,Layer2,NA,NA
ENSG00000100884,CPNE6,HumanPilot,Layer2,14,Layer2,NA,NA
ENSG00000169085,VXN,HumanPilot,Layer2,15,Layer2,NA,NA
ENSG00000133641,C12orf29,HumanPilot,Layer2,16,Layer2,NA,NA
ENSG00000156011,PSD3,HumanPilot,Layer2,17,Layer2,NA,NA
ENSG00000113231,PDE8B,HumanPilot,Layer2,18,Layer2,NA,NA
ENSG00000125869,LAMP5,HumanPilot,Layer2,19,Layer2,NA,NA
ENSG00000120049,KCNIP2,HumanPilot,Layer2,20,Layer2,NA,NA
ENSG00000100095,SEZ6L,HumanPilot,Layer2,21,Layer2,NA,NA
ENSG00000120251,GRIA2,HumanPilot,Layer2,22,Layer2,NA,NA
ENSG00000122644,ARL4A,HumanPilot,Layer2,23,Layer2,NA,NA
ENSG00000198171,DDRGK1,HumanPilot,Layer2,24,Layer2,NA,NA
ENSG00000230051,AL020994.2,HumanPilot,Layer2,25,Layer2,NA,NA
ENSG00000179388,EGR3,HumanPilot,Layer2,26,Layer2,NA,NA
ENSG00000105376,ICAM5,HumanPilot,Layer2,27,Layer2,NA,NA
ENSG00000153956,CACNA2D1,HumanPilot,Layer2,28,Layer2,NA,NA
ENSG00000100354,TNRC6B,HumanPilot,Layer2,29,Layer2,NA,NA
ENSG00000169851,PCDH7,HumanPilot,Layer2,30,Layer2,NA,NA
ENSG00000129911,KLF16,HumanPilot,Layer2,31,Layer2,NA,NA
ENSG00000139220,PPFIA2,HumanPilot,Layer2,32,Layer2,NA,NA
ENSG00000180305,WFDC10A,HumanPilot,Layer2,33,Layer2,NA,NA
ENSG00000134138,MEIS2,HumanPilot,Layer2,34,Layer2,NA,NA
ENSG00000140090,SLC24A4,HumanPilot,Layer2,35,Layer2,NA,NA
ENSG00000250067,YJEFN3,HumanPilot,Layer2,36,Layer2,NA,NA
ENSG00000224116,INHBA-AS1,HumanPilot,Layer2,37,Layer2,NA,NA
ENSG00000214381,LINC00488,HumanPilot,Layer2,38,Layer2,NA,NA
ENSG00000181195,PENK,HumanPilot,Layer2,39,Layer2,NA,NA
ENSG00000169181,GSG1L,HumanPilot,Layer2,40,Layer2,NA,NA
ENSG00000133401,PDZD2,HumanPilot,Layer2,41,Layer2,NA,NA
ENSG00000128512,DOCK4,HumanPilot,Layer2,42,Layer2,NA,NA
ENSG00000137825,ITPKA,HumanPilot,Layer2,43,Layer2,NA,NA
ENSG00000111907,TPD52L1,HumanPilot,Layer2,44,Layer2,NA,NA
ENSG00000174640,SLCO2A1,HumanPilot,Layer2,45,Layer2,NA,NA
ENSG00000064218,DMRT3,HumanPilot,Layer2,46,Layer2,NA,NA
ENSG00000005882,PDK2,HumanPilot,Layer2,47,Layer2,NA,NA
ENSG00000186642,PDE2A,HumanPilot,Layer2,48,Layer2,NA,NA
ENSG00000272733,AP000345.2,HumanPilot,Layer2,49,Layer2,NA,NA
ENSG00000132600,PRMT7,HumanPilot,Layer2,50,Layer2,NA,NA
ENSG00000130226,DPP6,HumanPilot,Layer2,51,Layer2,NA,NA
ENSG00000166949,SMAD3,HumanPilot,Layer2,52,Layer2,NA,NA
ENSG00000251226,AP001999.1,HumanPilot,Layer2,53,Layer2,NA,NA
ENSG00000260230,FRRS1L,HumanPilot,Layer2,54,Layer2,NA,NA
ENSG00000052126,PLEKHA5,HumanPilot,Layer2,55,Layer2,NA,NA
ENSG00000049449,RCN1,HumanPilot,Layer2,56,Layer2,NA,NA
ENSG00000179841,AKAP5,HumanPilot,Layer2,57,Layer2,NA,NA
ENSG00000020129,NCDN,HumanPilot,Layer2,58,Layer2,NA,NA
ENSG00000082684,SEMA5B,HumanPilot,Layer2,59,Layer2,NA,NA
ENSG00000176595,KBTBD11,HumanPilot,Layer2,60,Layer2,NA,NA
ENSG00000177606,JUN,HumanPilot,Layer2,61,Layer2,NA,NA
ENSG00000175206,NPPA,HumanPilot,Layer2,62,Layer2,NA,NA
ENSG00000136267,DGKB,HumanPilot,Layer2,63,Layer2,NA,NA
ENSG00000048540,LMO3,HumanPilot,Layer2,64,Layer2,NA,NA
ENSG00000152495,CAMK4,HumanPilot,Layer2,65,Layer2,NA,NA
ENSG00000182944,EWSR1,HumanPilot,Layer2,66,Layer2,NA,NA
ENSG00000149187,CELF1,HumanPilot,Layer2,67,Layer2,NA,NA
ENSG00000118432,CNR1,HumanPilot,Layer2,68,Layer2,NA,NA
ENSG00000113319,RASGRF2,HumanPilot,Layer2,69,Layer2,NA,NA
ENSG00000115310,RTN4,HumanPilot,Layer2,70,Layer2,NA,NA
ENSG00000266302,AC098850.3,HumanPilot,Layer2,71,Layer2,NA,NA
ENSG00000088832,FKBP1A,HumanPilot,Layer2,72,Layer2,NA,NA
ENSG00000198944,SOWAHA,HumanPilot,Layer2,73,Layer2,NA,NA
ENSG00000172216,CEBPB,HumanPilot,Layer2,74,Layer2,NA,NA
ENSG00000237515,SHISA9,HumanPilot,Layer2,75,Layer2,NA,NA
ENSG00000276289,KCNE1B,HumanPilot,Layer2,76,Layer2,NA,NA
ENSG00000090975,PITPNM2,HumanPilot,Layer2,77,Layer2,NA,NA
ENSG00000131504,DIAPH1,HumanPilot,Layer2,78,Layer2,NA,NA
ENSG00000126583,PRKCG,HumanPilot,Layer2,79,Layer2,NA,NA
ENSG00000130511,SSBP4,HumanPilot,Layer2,80,Layer2,NA,NA
ENSG00000198216,CACNA1E,HumanPilot,Layer2,81,Layer2,NA,NA
ENSG00000173406,DAB1,HumanPilot,Layer2,82,Layer2,NA,NA
ENSG00000149212,SESN3,HumanPilot,Layer2,83,Layer2,NA,NA
ENSG00000072110,ACTN1,HumanPilot,Layer2,84,Layer2,NA,NA
ENSG00000117600,PLPPR4,HumanPilot,Layer2,85,Layer2,NA,NA
ENSG00000167434,CA4,HumanPilot,Layer2,86,Layer2,NA,NA
ENSG00000105928,GSDME,HumanPilot,Layer2,87,Layer2,NA,NA
ENSG00000131188,PRR7,HumanPilot,Layer2,88,Layer2,NA,NA
ENSG00000105675,ATP4A,HumanPilot,Layer2,89,Layer2,NA,NA
ENSG00000159788,RGS12,HumanPilot,Layer2,90,Layer2,NA,NA
ENSG00000166035,LIPC,HumanPilot,Layer2,91,Layer2,NA,NA
ENSG00000164985,PSIP1,HumanPilot,Layer2,92,Layer2,NA,NA
ENSG00000169258,GPRIN1,HumanPilot,Layer2,93,Layer2,NA,NA
ENSG00000096654,ZNF184,HumanPilot,Layer2,94,Layer2,NA,NA
ENSG00000204677,FAM153C,HumanPilot,Layer2,95,Layer2,NA,NA
ENSG00000169499,PLEKHA2,HumanPilot,Layer2,96,Layer2,NA,NA
ENSG00000116731,PRDM2,HumanPilot,Layer2,97,Layer2,NA,NA
ENSG00000104369,JPH1,HumanPilot,Layer2,98,Layer2,NA,NA
ENSG00000123901,GPR83,HumanPilot,Layer2,99,Layer2,NA,NA
ENSG00000181656,GPR88,HumanPilot,Layer2,100,Layer2,NA,NA
ENSG00000164326,CARTPT,HumanPilot,Layer3,1,Layer3,NA,NA
ENSG00000007516,BAIAP3,HumanPilot,Layer3,2,Layer3,NA,NA
ENSG00000141433,ADCYAP1,HumanPilot,Layer3,3,Layer3,NA,NA
ENSG00000233123,LINC01007,HumanPilot,Layer3,4,Layer3,NA,NA
ENSG00000070729,CNGB1,HumanPilot,Layer3,5,Layer3,NA,NA
ENSG00000159674,SPON2,HumanPilot,Layer3,6,Layer3,NA,NA
ENSG00000183090,FREM3,HumanPilot,Layer3,7,Layer3,NA,NA
ENSG00000154975,CA10,HumanPilot,Layer3,8,Layer3,NA,NA
ENSG00000112335,SNX3,HumanPilot,Layer3,9,Layer3,NA,NA
ENSG00000162981,FAM84A,HumanPilot,Layer3,10,Layer3,NA,NA
ENSG00000223930,AC109779.1,HumanPilot,Layer3,11,Layer3,NA,NA
ENSG00000104327,CALB1,HumanPilot,Layer3,12,Layer3,NA,NA
ENSG00000115290,GRB14,HumanPilot,Layer3,13,Layer3,NA,NA
ENSG00000069122,ADGRF5,HumanPilot,Layer3,14,Layer3,NA,NA
ENSG00000187664,HAPLN4,HumanPilot,Layer3,15,Layer3,NA,NA
ENSG00000165621,OXGR1,HumanPilot,Layer3,16,Layer3,NA,NA
ENSG00000171476,HOPX,HumanPilot,Layer3,17,Layer3,NA,NA
ENSG00000152578,GRIA4,HumanPilot,Layer3,18,Layer3,NA,NA
ENSG00000248673,LINC01331,HumanPilot,Layer3,19,Layer3,NA,NA
ENSG00000185352,HS6ST3,HumanPilot,Layer3,20,Layer3,NA,NA
ENSG00000226091,LINC00937,HumanPilot,Layer3,21,Layer3,NA,NA
ENSG00000113319,RASGRF2,HumanPilot,Layer3,22,Layer3,NA,NA
ENSG00000231689,LINC01090,HumanPilot,Layer3,23,Layer3,NA,NA
ENSG00000164983,TMEM65,HumanPilot,Layer3,24,Layer3,NA,NA
ENSG00000134757,DSG3,HumanPilot,Layer3,25,Layer3,NA,NA
ENSG00000170419,VSTM2A,HumanPilot,Layer3,26,Layer3,NA,NA
ENSG00000271797,AC008494.3,HumanPilot,Layer3,27,Layer3,NA,NA
ENSG00000165828,PRAP1,HumanPilot,Layer3,28,Layer3,NA,NA
ENSG00000117643,MAN1C1,HumanPilot,Layer3,29,Layer3,NA,NA
ENSG00000254664,AC103681.2,HumanPilot,Layer3,30,Layer3,NA,NA
ENSG00000149654,CDH22,HumanPilot,Layer3,31,Layer3,NA,NA
ENSG00000163827,LRRC2,HumanPilot,Layer3,32,Layer3,NA,NA
ENSG00000003249,DBNDD1,HumanPilot,Layer3,33,Layer3,NA,NA
ENSG00000237505,PKN2-AS1,HumanPilot,Layer3,34,Layer3,NA,NA
ENSG00000236948,AL365255.1,HumanPilot,Layer3,35,Layer3,NA,NA
ENSG00000162631,NTNG1,HumanPilot,Layer3,36,Layer3,NA,NA
ENSG00000219438,FAM19A5,HumanPilot,Layer3,37,Layer3,NA,NA
ENSG00000231013,AC013275.1,HumanPilot,Layer3,38,Layer3,NA,NA
ENSG00000171475,WIPF2,HumanPilot,Layer3,39,Layer3,NA,NA
ENSG00000275830,AL355974.2,HumanPilot,Layer3,40,Layer3,NA,NA
ENSG00000111249,CUX2,HumanPilot,Layer3,41,Layer3,NA,NA
ENSG00000127445,PIN1,HumanPilot,Layer3,42,Layer3,NA,NA
ENSG00000105251,SHD,HumanPilot,Layer3,43,Layer3,NA,NA
ENSG00000162951,LRRTM1,HumanPilot,Layer3,44,Layer3,NA,NA
ENSG00000256713,PGA5,HumanPilot,Layer3,45,Layer3,NA,NA
ENSG00000113966,ARL6,HumanPilot,Layer3,46,Layer3,NA,NA
ENSG00000127588,GNG13,HumanPilot,Layer3,47,Layer3,NA,NA
ENSG00000188674,C2orf80,HumanPilot,Layer3,48,Layer3,NA,NA
ENSG00000184224,C11orf72,HumanPilot,Layer3,49,Layer3,NA,NA
ENSG00000136842,TMOD1,HumanPilot,Layer3,50,Layer3,NA,NA
ENSG00000036530,CYP46A1,HumanPilot,Layer3,51,Layer3,NA,NA
ENSG00000130707,ASS1,HumanPilot,Layer3,52,Layer3,NA,NA
ENSG00000183798,EMILIN3,HumanPilot,Layer3,53,Layer3,NA,NA
ENSG00000256193,LINC00507,HumanPilot,Layer3,54,Layer3,NA,NA
ENSG00000211445,GPX3,HumanPilot,Layer3,55,Layer3,NA,NA
ENSG00000120899,PTK2B,HumanPilot,Layer3,56,Layer3,NA,NA
ENSG00000149021,SCGB1A1,HumanPilot,Layer3,57,Layer3,NA,NA
ENSG00000227751,AC004824.1,HumanPilot,Layer3,58,Layer3,NA,NA
ENSG00000132640,BTBD3,HumanPilot,Layer3,59,Layer3,NA,NA
