test,Macnair_Oligo,n,cor
Oligo.1,COP,1021,-0.44705688024778123
Oligo.1,OPC_1,1763,-0.9216503499814679
Oligo.1,OPC_2,965,-0.9092587049064547
Oligo.1,Oligo_A,2102,0.4454485904009825
Oligo.1,Oligo_Astro,217,-0.19029321260511947
Oligo.1,Oligo_B,2553,0.7750948401421469
Oligo.1,Oligo_C,2646,0.7994697422497229
Oligo.1,Oligo_D,2328,0.26673919332905516
Oligo.1,Oligo_E,2258,0.5201418672449236
Oligo.1,Oligo_F,2027,0.1377066361209251
Oligo.1,Oligo_G,1753,0.10452349828959637
Oligo.2,COP,1021,-0.4497811200329783
Oligo.2,OPC_1,1763,-0.9281310971730361
Oligo.2,OPC_2,965,-0.917559188052283
Oligo.2,Oligo_A,2102,0.35917674347178524
Oligo.2,Oligo_Astro,217,-0.24355581707680932
Oligo.2,Oligo_B,2553,0.7023951318316413
Oligo.2,Oligo_C,2646,0.8628966852145667
Oligo.2,Oligo_D,2328,0.4901787818949808
Oligo.2,Oligo_E,2258,0.4714418020590115
Oligo.2,Oligo_F,2027,0.1297043663900659
Oligo.2,Oligo_G,1753,0.08708810181431167
Oligo.3,COP,1021,-0.3417836331303136
Oligo.3,OPC_1,1763,-0.7247771746970161
Oligo.3,OPC_2,965,-0.6727728448546243
Oligo.3,Oligo_A,2102,0.36848050249332504
Oligo.3,Oligo_Astro,217,0.23914280015866948
Oligo.3,Oligo_B,2553,0.6975545257412692
Oligo.3,Oligo_C,2646,0.7492306533312199
Oligo.3,Oligo_D,2328,0.33818912173314236
Oligo.3,Oligo_E,2258,0.6111578644106404
Oligo.3,Oligo_F,2027,0.1734912657307897
Oligo.3,Oligo_G,1753,0.18902923961211265
Oligo.4,COP,1021,-0.44383744886569215
Oligo.4,OPC_1,1763,-0.8860843378996152
Oligo.4,OPC_2,965,-0.8691430858842367
Oligo.4,Oligo_A,2102,0.42357524113548317
Oligo.4,Oligo_Astro,217,-0.04289121869723692
Oligo.4,Oligo_B,2553,0.7656937606146729
Oligo.4,Oligo_C,2646,0.7821942072628424
Oligo.4,Oligo_D,2328,0.25744265539444056
Oligo.4,Oligo_E,2258,0.5725560845671442
Oligo.4,Oligo_F,2027,0.14332616101997517
Oligo.4,Oligo_G,1753,0.12770089567277312
Oligo.5,COP,1021,-0.38482651572698157
Oligo.5,OPC_1,1763,-0.8269558363957308
Oligo.5,OPC_2,965,-0.7977714535576486
Oligo.5,Oligo_A,2102,0.376142536883246
Oligo.5,Oligo_Astro,217,0.12373349549030839
Oligo.5,Oligo_B,2553,0.709784453841947
Oligo.5,Oligo_C,2646,0.8004032356451394
Oligo.5,Oligo_D,2328,0.3785578846178324
Oligo.5,Oligo_E,2258,0.5510884713381453
Oligo.5,Oligo_F,2027,0.1487079409602103
Oligo.5,Oligo_G,1753,0.1655124400227036
