Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000049246,PER3,28,0.80991,12,-0.7875,26,0.50599,15,-0.3822,6,-1.8212,25,0.44720
ENSG00000116288,PARK7,335,-0.1625,444,0.39159,307,-0.2815,318,-0.2227,313,-0.2510,423,0.24599
ENSG00000116285,ERRFI1,17,0.02212,10,-0.8605,26,0.72554,13,-0.3421,8,-1.1296,32,1.13131
ENSG00000162426,SLC45A1,23,-0.3925,21,-0.4924,61,1.37495,49,0.96824,12,-1.3613,14,-1.0515
ENSG00000142599,RERE,88,-0.0089,80,-0.1867,96,0.13681,102,0.23212,122,0.53810,52,-0.8507
ENSG00000074800,ENO1,550,-0.1529,611,0.04722,633,0.09940,539,-0.1643,556,-0.1134,719,0.31292
ENSG00000171612,SLC25A33,61,0.84882,37,-0.1482,21,-0.9897,40,-0.0252,9,-2.2863,56,0.57005
ENSG00000188807,TMEM201,12,-0.1829,11,-0.3299,21,0.71852,18,0.46904,8,-0.7884,14,0.08511
ENSG00000171603,CLSTN1,346,-0.6208,498,0.05139,1004,1.28818,652,0.49918,259,-0.9966,278,-0.8881
ENSG00000178585,CTNNBIP1,39,0.37350,24,-0.5602,44,0.49866,42,0.42701,20,-0.7893,28,-0.2293
ENSG00000162441,LZIC,32,0.02913,32,-0.0130,23,-0.4980,26,-0.3314,9,-1.9835,69,1.36664
ENSG00000130939,UBE4B,25,-0.3812,33,0.13475,45,0.63372,49,0.78173,13,-1.2695,23,-0.4656
ENSG00000054523,KIF1B,183,-0.2085,198,-0.0556,221,0.13230,311,0.71599,139,-0.6235,201,-0.0266
ENSG00000142657,PGD,36,-0.4514,47,0.03828,80,0.94752,59,0.39593,9,-2.4149,55,0.28989
ENSG00000241563,CORT,49,-2.2682,41,-2.5344,111,-0.8693,50,-2.0682,1147,4.33992,49,-2.0984
ENSG00000160049,DFFA,30,-0.0438,35,0.24765,25,-0.3369,23,-0.4374,42,0.54571,25,-0.3226
ENSG00000142655,PEX14,13,-0.8378,20,-0.1139,38,0.96379,24,0.20421,20,-0.1357,23,0.10306
ENSG00000120948,TARDBP,37,-0.9853,80,0.45142,57,-0.1798,64,0.00697,92,0.61134,64,0.01488
ENSG00000116649,SRM,96,-0.1021,97,-0.0777,142,0.58316,97,-0.0701,97,-0.0685,86,-0.2532
ENSG00000171824,EXOSC10,17,-0.3057,20,0.07020,30,0.71345,28,0.62154,0,-5.2145,24,0.35589
ENSG00000198793,MTOR,34,0.48905,20,-0.5007,52,1.16507,19,-0.5568,16,-0.8292,18,-0.6200
ENSG00000116661,FBXO2,294,0.12720,183,-0.7380,187,-0.6162,160,-0.8598,325,0.27777,574,1.30355
ENSG00000132879,FBXO44,116,-0.3173,159,0.27707,254,1.06680,197,0.60139,34,-2.1666,68,-1.1134
ENSG00000116670,MAD2L2,23,-0.6742,43,0.49358,19,-0.9436,10,-1.8453,59,0.93866,51,0.67251
ENSG00000011021,CLCN6,37,-0.6343,54,0.06705,85,0.82735,81,0.73190,10,-2.5184,61,0.26004
ENSG00000116685,KIAA2013,19,-1.2706,37,-0.1816,49,0.29567,51,0.36892,39,-0.0497,74,1.02511
ENSG00000083444,PLOD1,19,-0.3847,17,-0.6333,15,-0.7821,25,0.08420,25,0.07278,55,1.45114
ENSG00000116688,MFN2,51,-0.3820,65,0.07599,115,1.04689,53,-0.2759,42,-0.6364,60,-0.0846
ENSG00000048707,VPS13D,28,-0.6888,31,-0.4858,55,0.50305,70,0.93343,56,0.54003,26,-0.6834
ENSG00000162496,DHRS3,42,-0.1890,15,-1.9194,21,-1.2064,51,0.15192,72,0.74839,114,1.61204
ENSG00000116731,PRDM2,28,-1.2308,81,0.74020,76,0.48234,118,1.28858,18,-1.7623,24,-1.3664
ENSG00000189337,KAZN,28,-0.5308,38,-0.0149,43,0.20468,41,0.12081,49,0.41986,39,0.04185
ENSG00000142634,EFHD2,15,-3.3437,212,1.17115,40,-1.7376,390,2.18903,59,-1.1627,43,-1.6373
ENSG00000116138,DNAJC16,12,-0.8394,18,-0.0401,28,0.69041,37,1.17415,9,-1.1647,16,-0.2519
ENSG00000197312,DDI2,13,-0.5908,11,-0.8189,37,1.22081,35,1.10814,6,-1.6133,19,0.06496
ENSG00000116786,PLEKHM2,71,-0.0451,82,0.24376,75,0.05244,70,-0.0527,78,0.11440,51,-0.5517
ENSG00000065526,SPEN,26,0.04810,28,0.14153,27,0.09960,32,0.37196,1,-4.6842,37,0.62511
ENSG00000116809,ZBTB17,13,-0.9491,23,0.05183,20,-0.1576,27,0.34157,37,0.87068,22,-0.0392
ENSG00000185519,FAM131C,25,0.61820,19,0.01016,22,0.28010,26,0.56648,0,-5.1794,12,-0.6426
ENSG00000037637,FBXO42,10,-0.5240,14,-0.0139,17,0.35668,35,1.65755,0,-4.2902,10,-0.5118
ENSG00000055070,SZRD1,30,-0.1036,30,-0.0885,13,-1.3611,21,-0.6651,59,1.06359,41,0.40752
ENSG00000219481,NBPF1,10,-0.9576,19,0.13969,18,-0.0213,8,-1.3042,30,0.88789,29,0.78708
ENSG00000238142,BX284668.5,16,-0.1411,18,0.06050,7,-1.3337,14,-0.2916,30,0.94784,19,0.13704
ENSG00000159363,ATP13A2,146,0.24924,91,-0.6292,265,1.27031,147,0.21811,80,-0.7557,64,-1.1079
ENSG00000117118,SDHB,72,-0.1019,94,0.43622,85,0.19028,52,-0.5975,55,-0.5197,82,0.12950
ENSG00000117115,PADI2,27,-0.8784,21,-1.2433,10,-2.2352,31,-0.5214,2,-4.0715,209,3.36055
ENSG00000179051,RCC2,16,-0.2515,5,-2.0321,37,1.16056,8,-1.2448,30,0.81124,31,0.86581
ENSG00000074964,ARHGEF10L,19,0.03640,6,-1.8178,16,-0.2154,17,-0.1283,57,2.05696,9,-1.1399
ENSG00000117154,IGSF21,31,-1.5196,95,0.47517,92,0.35291,197,1.77596,37,-1.1137,20,-2.0006
ENSG00000159423,ALDH4A1,54,1.12041,26,-0.3690,12,-1.5090,38,0.31026,11,-1.6184,34,0.08938
ENSG00000127463,EMC1,19,-0.6721,22,-0.3934,35,0.41553,24,-0.1821,44,0.81390,33,0.32729
ENSG00000053372,MRTO4,30,6.92697,41,0.63753,49,0.85918,23,-0.3777,21,-0.5418,3,-3.3007
ENSG00000053371,AKR7A2,55,0.15582,38,-0.5470,21,-1.3912,31,-0.8024,58,0.21768,112,1.39888
ENSG00000077549,CAPZB,142,-0.2877,153,-0.1555,215,0.43760,241,0.63527,132,-0.3727,148,-0.1782
ENSG00000173436,MICOS10,373,0.20146,395,0.31616,274,-0.3340,330,-0.0311,304,-0.1655,248,-0.4922
ENSG00000158747,NBL1,191,-0.7565,232,-0.4175,267,-0.1377,442,0.71504,169,-0.8644,600,1.28218
ENSG00000162545,CAMK2N1,1305,0.58666,1433,0.79391,1192,0.33168,334,-1.6770,365,-1.5453,456,-1.2053
ENSG00000090432,MUL1,15,-0.8666,15,-0.8779,42,0.88991,49,1.18137,21,-0.3049,27,0.11826
ENSG00000183114,FAM43B,7,-2.3402,34,0.31205,14,-1.1760,116,2.77785,1,-4.7285,20,-0.6055
ENSG00000158828,PINK1,306,-0.2380,403,0.29109,421,0.31938,398,0.22328,374,0.12111,170,-1.1304
ENSG00000244038,DDOST,21,-0.5379,21,-0.5406,30,0.09909,39,0.54798,44,0.77286,28,0.00216
ENSG00000189410,SH2D5,20,-0.1801,21,-0.1505,26,0.27823,34,0.71096,26,0.22527,11,-1.1258
ENSG00000127483,HP1BP3,107,-0.4800,125,-0.1958,161,0.24953,168,0.31914,196,0.58143,121,-0.2217
ENSG00000075151,EIF4G3,75,-0.2777,80,-0.1533,139,0.80846,135,0.75575,85,-0.0339,25,-1.9014
ENSG00000117298,ECE1,10,-1.5554,9,-1.7279,27,0.10097,14,-0.8496,72,1.93450,50,1.20086
ENSG00000162551,ALPL,16,-1.4585,12,-1.9081,7,-2.4963,26,-0.5248,173,3.28120,33,-0.1527
ENSG00000076864,RAP1GAP,63,-1.1252,146,0.40376,229,1.13561,209,0.96798,61,-1.0617,38,-1.7754
ENSG00000090686,USP48,23,-0.4939,27,-0.2354,44,0.64410,26,-0.2596,32,0.07963,41,0.49577
ENSG00000070831,CDC42,128,-0.6814,174,-0.1268,337,1.03312,211,0.20905,201,0.12928,135,-0.5136
ENSG00000173372,C1QA,47,-0.4613,47,-0.4578,10,-2.6913,16,-1.9939,186,2.13353,81,0.50142
ENSG00000159189,C1QC,37,-0.3112,31,-0.6204,20,-1.1988,16,-1.5790,121,1.88012,56,0.42792
ENSG00000173369,C1QB,79,-0.3811,63,-0.7852,32,-1.7290,47,-1.1484,257,1.77950,159,0.83629
ENSG00000004487,KDM1A,27,-0.4961,29,-0.3940,57,0.77269,53,0.65483,50,0.54893,15,-1.3282
ENSG00000169641,LUZP1,30,-0.0008,27,-0.2207,60,1.19658,43,0.59068,14,-1.1975,11,-1.5885
ENSG00000125944,HNRNPR,56,-0.7670,130,0.87070,104,0.32462,56,-0.6635,74,-0.2434,79,-0.1317
ENSG00000125945,ZNF436,10,-0.7630,21,0.64889,29,1.06657,14,-0.1344,11,-0.5810,7,-1.1637
ENSG00000117318,ID3,10,-3.8309,2,-6.0432,5,-4.6034,0,-10.395,451,2.82858,414,2.59029
ENSG00000142676,RPL11,529,-0.6453,684,-0.1814,316,-1.3659,414,-0.9525,1688,1.44678,1178,0.76749
ENSG00000011007,ELOA,9,-0.9545,20,0.50931,24,0.69885,15,-0.0389,10,-0.6404,17,0.15451
ENSG00000057757,PITHD1,103,-0.5173,165,0.38329,221,0.83140,142,0.07117,113,-0.2976,77,-0.9073
ENSG00000011009,LYPLA2,24,-1.2766,57,0.23399,56,0.15254,73,0.61341,60,0.26324,55,0.12373
ENSG00000117305,HMGCL,18,-0.2906,14,-0.6313,15,-0.5069,32,0.73899,16,-0.4320,38,1.05712
ENSG00000189266,PNRC2,24,-1.2429,55,0.23589,36,-0.4517,44,-0.1442,93,1.14309,56,0.25655
ENSG00000188529,SRSF10,35,-0.0781,32,-0.2476,52,0.56072,48,0.42897,32,-0.2389,29,-0.4031
ENSG00000001461,NIPAL3,24,-1.1811,31,-0.7671,75,0.80943,97,1.27584,0,-6.4817,94,1.21638
ENSG00000133226,SRRM1,26,-1.0780,50,0.06987,40,-0.3139,41,-0.2732,95,1.16238,60,0.34274
ENSG00000169504,CLIC4,4,-3.6997,13,-1.8364,6,-2.7142,28,-0.5980,43,0.08525,213,3.70342
ENSG00000117614,SYF2,41,-0.7821,42,-0.7384,54,-0.2677,31,-1.1282,166,1.73579,93,0.63230
ENSG00000117616,RSRP1,32,-0.9356,62,0.25496,43,-0.3860,80,0.64008,34,-0.7586,91,0.88295
ENSG00000183726,TMEM50A,46,-0.7964,75,0.08230,101,0.56693,61,-0.2734,62,-0.2347,109,0.71079
ENSG00000204178,MACO1,11,-1.4191,33,0.57743,22,-0.2133,28,0.21722,43,0.96190,17,-0.5809
ENSG00000117643,MAN1C1,21,-1.1120,26,-0.7368,67,0.91943,17,-1.2660,115,1.98638,22,-0.9361
ENSG00000162430,SELENON,50,0.06231,40,-0.3342,39,-0.3314,43,-0.1637,58,0.30669,64,0.49385
ENSG00000117640,MTFR1L,45,-0.3867,68,0.38299,61,0.15731,92,0.85987,28,-1.1054,39,-0.5609
ENSG00000117632,STMN1,641,-0.6244,1174,0.53361,1388,0.73722,1177,0.44788,449,-1.1068,571,-0.7334
ENSG00000158008,EXTL1,28,-0.7770,68,0.98730,37,-0.2269,94,1.39078,10,-2.1505,9,-2.3753
ENSG00000142684,ZNF593,31,0.01267,33,0.09624,35,0.19406,34,0.13178,17,-0.9696,35,0.21034
ENSG00000142669,SH3BGRL3,196,-0.5818,335,0.43414,185,-0.6063,333,0.35169,373,0.54729,204,-0.4503
ENSG00000158062,UBXN11,27,0.22116,25,0.05891,37,0.73501,31,0.40629,0,-5.5527,21,-0.2368
ENSG00000117682,DHDDS,14,-0.6934,16,-0.4369,23,0.15675,27,0.44383,30,0.62199,25,0.31849
ENSG00000198830,HMGN2,138,-0.2564,169,0.12571,63,-1.4412,126,-0.3637,193,0.32964,270,0.92213
ENSG00000117713,ARID1A,38,-0.3004,51,0.27892,56,0.39525,72,0.84407,23,-1.0380,25,-0.8871
ENSG00000204160,ZDHHC18,18,-0.6380,30,0.35046,34,0.47606,52,1.25283,5,-2.3970,16,-0.7319
ENSG00000090273,NUDC,124,-0.2380,197,0.68416,130,-0.1311,124,-0.2113,99,-0.5702,133,-0.0964
ENSG00000253368,TRNP1,72,0.63151,38,-0.5764,108,1.27289,46,-0.2116,29,-0.9246,17,-1.7654
ENSG00000090020,SLC9A1,15,-0.6392,16,-0.5117,49,1.42808,29,0.47585,28,0.44235,5,-2.2976
ENSG00000142784,WDTC1,29,-0.2093,32,-0.0029,27,-0.2697,32,0.00524,37,0.26219,38,0.29329
ENSG00000186501,TMEM222,62,-0.1756,61,-0.2219,98,0.60711,84,0.33843,22,-1.7330,97,0.58965
ENSG00000158195,WASF2,26,-0.6485,33,-0.2163,11,-1.8984,13,-1.6220,39,0.04574,119,2.17370
ENSG00000126705,AHDC1,22,-1.0361,52,0.48320,57,0.57978,95,1.52031,17,-1.3713,7,-2.5772
ENSG00000126709,IFI6,101,-0.7767,100,-0.7895,129,-0.3069,252,0.83292,271,0.96522,188,0.31626
ENSG00000117758,STX12,56,-0.7695,103,0.37239,109,0.40363,144,0.89109,47,-0.9602,67,-0.3913
ENSG00000117751,PPP1R8,22,-0.5676,26,-0.2586,19,-0.6831,65,1.38433,22,-0.4917,36,0.33762
ENSG00000117748,RPA2,27,-0.5114,35,-0.0325,59,0.87561,41,0.23169,25,-0.5728,36,0.00952
ENSG00000126698,DNAJC8,103,-0.2263,108,-0.1232,126,0.13667,119,0.04236,163,0.58218,96,-0.3032
ENSG00000130770,ATP5IF1,380,-0.1449,670,1.04799,454,0.16720,253,-0.7733,292,-0.5487,183,-1.2675
ENSG00000180098,TRNAU1AP,16,-0.1218,17,-0.0051,27,0.81868,32,1.13077,1,-4.1520,9,-0.9546
ENSG00000120656,TAF12,7,-1.5609,24,0.55170,23,0.35621,12,-0.5901,36,1.16496,12,-0.5953
ENSG00000198492,YTHDF2,45,-0.4028,70,0.45871,96,0.94051,62,0.17540,39,-0.5807,19,-1.6620
ENSG00000116350,SRSF4,33,-0.3686,44,0.13721,37,-0.1559,42,0.04396,29,-0.5486,64,0.76695
ENSG00000116353,MECR,22,-0.2617,34,0.54664,34,0.47492,32,0.38886,20,-0.4235,7,-1.9561
ENSG00000060656,PTPRU,3,-3.4948,40,0.89687,7,-1.9214,89,2.37750,0,-5.6587,25,-0.0253
ENSG00000162511,LAPTM5,46,-0.2382,40,-0.4998,18,-1.6123,61,0.26987,98,1.08743,69,0.46245
ENSG00000162512,SDC3,245,0.20666,167,-0.5177,286,0.43836,372,0.90081,111,-1.0887,172,-0.4006
ENSG00000134644,PUM1,63,-1.1231,124,0.05730,162,0.51021,214,1.00134,133,0.17183,76,-0.7222
ENSG00000060688,SNRNP40,15,-0.3323,18,-0.1089,22,0.24810,25,0.46956,16,-0.1932,20,0.10643
ENSG00000121766,ZCCHC17,75,-0.2279,121,0.74049,104,0.35268,81,-0.0564,38,-1.2394,60,-0.5548
ENSG00000121769,FABP3,133,0.30390,102,-0.2097,225,1.19292,87,-0.4277,97,-0.2633,33,-1.9286
ENSG00000162517,PEF1,52,-0.7283,106,0.63580,128,0.86407,72,-0.1231,27,-1.6081,77,-0.0105
ENSG00000084636,COL16A1,19,-0.8169,33,0.18408,20,-0.6469,50,0.85142,7,-2.1399,60,1.19365
ENSG00000121753,ADGRB2,151,-0.6065,234,0.21253,372,0.99375,338,0.81602,145,-0.5910,55,-2.0784
ENSG00000184007,PTP4A2,105,-0.6340,126,-0.3067,122,-0.3099,191,0.42609,111,-0.4638,300,1.24300
ENSG00000121774,KHDRBS1,68,-0.5229,101,0.21521,119,0.45985,74,-0.3294,105,0.25397,87,-0.0556
ENSG00000025800,KPNA6,29,-0.4182,38,0.08310,33,-0.1591,72,1.22149,23,-0.7219,28,-0.4214
ENSG00000084652,TXLNA,21,0.07209,22,0.18251,26,0.46895,30,0.70810,2,-3.4961,16,-0.3747
ENSG00000160050,CCDC28B,23,0.41764,25,0.61289,12,-0.7499,11,-0.8239,11,-0.8578,19,0.04226
ENSG00000084623,EIF3I,63,-0.5502,79,-0.1492,133,0.75925,109,0.40879,73,-0.2487,83,-0.0400
ENSG00000175130,MARCKSL1,268,-0.1800,181,-0.8712,149,-1.0788,211,-0.5361,95,-1.7528,1002,2.37029
ENSG00000160058,BSDC1,37,-0.6892,57,0.10916,85,0.77377,120,1.42286,0,-6.4533,38,-0.5417
ENSG00000176261,ZBTB8OS,43,0.08592,45,0.16322,42,0.02741,42,0.02338,32,-0.3939,38,-0.1377
ENSG00000162521,RBBP4,69,-0.4211,73,-0.3227,114,0.45462,83,-0.0814,110,0.38923,105,0.30438
ENSG00000162522,KIAA1522,18,0.34261,19,0.47623,16,0.06799,14,-0.1274,3,-2.2913,14,-0.1820
ENSG00000134684,YARS,48,-0.6603,58,-0.3298,162,1.52519,75,0.12100,54,-0.4136,52,-0.4695
ENSG00000160097,FNDC5,28,0.86970,10,-1.1119,36,1.13817,20,0.12487,8,-1.3644,9,-1.1295
ENSG00000121905,HPCA,182,-0.5393,304,0.43768,407,0.87807,358,0.64764,168,-0.6044,50,-2.4394
ENSG00000121900,TMEM54,54,0.06601,37,-0.6140,38,-0.4922,31,-0.8104,98,1.09046,68,0.43335
ENSG00000116514,RNF19B,10,-0.8833,23,0.59536,23,0.51570,12,-0.5891,17,0.02617,18,0.04797
ENSG00000004455,AK2,21,-0.5581,19,-0.7395,27,-0.1002,24,-0.3105,11,-1.4913,90,2.09951
ENSG00000142920,AZIN2,14,-0.7257,11,-1.1285,38,1.08186,17,-0.2910,32,0.74855,28,0.51634
ENSG00000160094,ZNF362,15,-0.0420,12,-0.4951,20,0.43217,28,0.98143,4,-2.1304,19,0.31565
ENSG00000134686,PHC2,49,-0.4105,46,-0.5332,67,0.15492,92,0.70091,34,-0.9001,106,0.94331
ENSG00000163866,SMIM12,29,-0.7209,46,0.06615,65,0.65027,46,0.05637,72,0.83827,20,-1.2368
ENSG00000116544,DLGAP3,56,-0.0863,87,0.80266,68,0.22452,72,0.33574,20,-1.6895,26,-1.2902
ENSG00000116560,SFPQ,104,-0.2878,153,0.47164,134,0.17185,163,0.50321,41,-1.6893,116,-0.0674
ENSG00000146463,ZMYM4,33,-0.0160,30,-0.1976,35,0.07704,30,-0.1821,46,0.51764,31,-0.1466
ENSG00000142687,KIAA0319L,35,0.12916,33,-0.0088,39,0.28990,54,0.84868,12,-1.5489,22,-0.6369
ENSG00000020129,NCDN,257,-0.9850,755,1.13742,748,0.89315,450,0.01609,242,-0.9742,103,-2.2524
ENSG00000126067,PSMB2,64,-0.6087,111,0.42742,120,0.48543,108,0.30190,82,-0.1454,58,-0.7103
ENSG00000142686,C1orf216,56,-0.5365,112,0.80521,120,0.78572,88,0.24389,35,-1.2066,27,-1.6181
ENSG00000092847,AGO1,21,-0.5918,33,0.25521,27,-0.1608,45,0.73504,25,-0.2735,29,-0.0240
ENSG00000116863,ADPRHL2,15,-0.0086,20,0.56009,25,0.86670,4,-1.8135,0,-4.8955,21,0.53111
ENSG00000054116,TRAPPC3,36,-0.5496,72,0.82045,63,0.43979,38,-0.3725,34,-0.5442,36,-0.4776
ENSG00000116871,MAP7D1,117,-0.4199,182,0.44008,159,0.13892,113,-0.4101,123,-0.2745,176,0.31074
ENSG00000054118,THRAP3,38,-0.3712,53,0.25079,59,0.40080,72,0.75859,11,-2.1838,47,0.03018
ENSG00000196182,STK40,15,-0.6010,18,-0.3113,25,0.29941,28,0.49196,40,1.11070,9,-1.2814
ENSG00000181817,LSM10,50,-0.0416,49,-0.0586,51,-0.0003,50,-0.0412,62,0.32690,46,-0.1498
ENSG00000116885,OSCP1,12,0.06183,16,0.58172,22,1.04048,9,-0.4095,0,-4.5631,7,-0.7395
ENSG00000116898,MRPS15,54,0.22394,57,0.34276,37,-0.4013,32,-0.6528,70,0.62801,23,-1.1391
ENSG00000163873,GRIK3,4,-3.1222,37,0.32783,15,-1.1280,151,3.41255,0,-5.6999,0,-7.6602
ENSG00000163875,MEAF6,59,-0.5648,113,0.69392,119,0.66224,119,0.66140,42,-1.0179,20,-2.1498
ENSG00000185090,MANEAL,16,-0.9615,27,-0.0763,55,1.17319,25,-0.2018,56,1.21384,2,-3.7364
ENSG00000196449,YRDC,12,-0.1304,13,0.03747,29,1.49192,20,0.81813,0,-4.6366,1,-2.9522
ENSG00000197982,C1orf122,262,0.22518,245,0.09371,146,-0.7528,235,0.00594,165,-0.5575,309,0.46963
ENSG00000183431,SF3A3,26,-0.2038,20,-0.6264,46,0.80508,29,0.03683,34,0.27705,28,-0.0286
