"geneName","LFC","FDR"
"SLC25A37","0.8155","0.0008299"
"ZFP36L1","-0.7732","0.0008428"
"ZSWIM6","-0.6992","0.001007"
"SLC9A9","-0.7073","0.001034"
"HIST1H2AC","-0.9002","0.001066"
"ARHGAP26","0.6823","0.001158"
"CRYAB","0.8193","0.001244"
"SYNDIG1","-0.7645","0.001425"
"SRRT","0.7497","0.001433"
"AC004448.5","0.8642","0.001445"
"RPLP0","0.8332","0.001526"
"HDX","0.7652","0.001701"
"RPS27A","-0.7925","0.001862"
"RP11-202G18.1","-0.8506","0.001922"
"ST6GAL1","-0.6755","0.001922"
"C1QC","0.7250","0.001976"
"ADGRB3","-0.7344","0.002073"
"ARHGAP21","-0.7657","0.002164"
"NTM","-0.7729","0.002180"
"DENND3","0.7199","0.002336"
"CAMTA2","0.5074","0.002775"
"APOC1","0.8262","0.002883"
"CEBPD","0.7349","0.003072"
"ACER3","0.7600","0.003202"
"MYO1E","0.7438","0.003345"
"DIRC3","0.6493","0.003360"
"HSP90AB1","0.8061","0.003366"
"RPS20","-0.8035","0.003430"
"PID1","-0.7439","0.003687"
"MAMDC2","-0.8251","0.003739"
"ALOX5","0.7565","0.004042"
"SFMBT2","-0.6991","0.004084"
"IQGAP1","0.7669","0.004211"
"EPS15","0.7506","0.004540"
"SLC2A5","0.6812","0.005092"
"GLCCI1","-0.7991","0.005206"
"SORL1","-0.6220","0.005209"
"CTA-29F11.1","-0.8238","0.005281"
"LAT2","0.7712","0.005281"
"SDK1","0.6739","0.005505"
"XRRA1","-0.7342","0.005572"
"MIR646HG","-0.7676","0.005604"
"AP000476.1","-0.7433","0.005604"
"P2RY12","-0.7128","0.005604"
"SLC4A7","-0.6897","0.006303"
"UTY","-0.7756","0.006782"
"ALDH1A2","0.6055","0.006800"
"MID1","-0.5397","0.007170"
"DNAJB2","0.7636","0.007579"
"SRGAP2B","-0.6270","0.007648"
"RPL11","-0.7247","0.007745"
"HCLS1","0.6918","0.007745"
"ADGRV1","-0.6869","0.007745"
"ARMC9","0.6958","0.008017"
"RP11-707A18.1","-0.7151","0.008092"
"NPAS3","-0.6553","0.008202"
"CACUL1","-0.7668","0.008246"
"FRMD4A","-0.6331","0.008381"
"MIR222HG","-0.6356","0.008984"
"SH3RF3","0.6305","0.008984"
"PLA2G4A","-0.6930","0.009077"
"EEPD1","-0.7549","0.009259"
"DLG2","-0.6802","0.009328"
"RPL36","0.7202","0.01102"
"C5orf28","0.6896","0.01102"
"TMTC4","0.5985","0.01112"
"FAM118A","-0.7303","0.01186"
"DDIT4","0.7088","0.01310"
"RPL35","0.6903","0.01362"
"CD151","0.5920","0.01386"
"SCAND1","0.5416","0.01400"
"MOSPD2","0.5123","0.01400"
"TAL1","-0.7594","0.01420"
"PPP2R2B","-0.6584","0.01435"
"CREM","-0.7344","0.01493"
"HLA-DRA","-0.6570","0.01525"
"PREP","0.6138","0.01552"
"SF3A3","0.5970","0.01552"
"RSBN1L","0.6821","0.01552"
"ZBTB20","-0.6187","0.01552"
"TPRG1","0.6798","0.01592"
"TBC1D8","0.6110","0.01592"
"IQGAP2","0.6927","0.01632"
"RPLP1","0.6455","0.01690"
"SGK1","-0.6752","0.01759"
"CSMD1","-0.6897","0.01900"
"USP53","-0.6436","0.01949"
"ARHGEF3","0.6217","0.01970"
"SSB","0.6210","0.01970"
"CHI3L1","0.6193","0.01970"
"PVT1","0.6193","0.01970"
"RPS3","-0.6569","0.02065"
"SCAP","0.5728","0.02065"
"SLC5A11","0.5675","0.02065"
"UQCRB","-0.7134","0.02160"
"RPL7","-0.7023","0.02160"
"HLA-DQA1","-0.6852","0.02160"
"ZNF710","-0.6382","0.02160"
"THRB","0.6617","0.02195"
"NSRP1","0.6554","0.02195"
"KHDRBS3","-0.6227","0.02314"
"CADM2","-0.6010","0.02314"
"C3","0.5988","0.02314"
"NDUFS6","0.6341","0.02346"
"CSF2RA","-0.6020","0.02346"
"DPP6","-0.6509","0.02383"
"MT-ND5","0.5439","0.02603"
"GFAP","0.7366","0.02702"
"SEPW1","0.6772","0.02705"
"DPP7","0.6768","0.02799"
"ETS2","0.6706","0.02799"
"SLC26A3","0.6031","0.02799"
"IFITM3","0.5843","0.02799"
"TNPO1","0.6934","0.02813"
"SNHG25","0.6792","0.02813"
"HIPK2","0.6634","0.02815"
"TCF4","-0.5931","0.02818"
"TLR2","0.6703","0.03028"
"LAP3","0.6431","0.03028"
"RPL32","-0.6409","0.03028"
"SLC1A3","0.5480","0.03028"
"SRGAP2","-0.5022","0.03095"
"PRKD3","0.6424","0.03098"
"ATP6V0A1","-0.6751","0.03112"
"CDKN1A","-0.6663","0.03211"
"TTC7A","-0.5826","0.03375"
"AGK","0.5713","0.03383"
"RASSF4","0.6506","0.03524"
"SLIT2","-0.5469","0.03535"
"HS3ST4","-0.5465","0.03535"
"GRIP1","-0.5284","0.03535"
"MTMR1","-0.5217","0.03535"
"RNF219-AS1","-0.5097","0.03535"
"SH3PXD2B","0.5268","0.03718"
"PWP1","0.5160","0.03718"
"PRKCA","-0.6002","0.03857"
"JAZF1","0.5558","0.03874"
"SUMF1","-0.5830","0.03939"
"LMF1","0.5725","0.03962"
"HIST2H2BE","-0.6630","0.03984"
"BCL6","0.6680","0.04118"
"RP11-386I14.4","-0.6737","0.04135"
"MGAT1","0.6529","0.04135"
"GOLPH3","0.6272","0.04135"
"RTTN","-0.6007","0.04250"
"DSCAM","0.5781","0.04260"
"RBMS1","0.6545","0.04516"
"CD63","0.6418","0.04681"
"PDS5A","0.6235","0.04681"
"RPS24","-0.6475","0.04718"
"SH3GLB1","-0.5838","0.04718"
"CMTR2","-0.5838","0.04718"
"RAB14","0.5480","0.04802"
"GNPDA1","0.5341","0.04802"
"PLD1","-0.6454","0.04828"
