"geneName","LFC","FDR"
"GLUL","0.5247","3.873e-35"
"HLA-B","-0.5777","8.626e-35"
"PPM1B","0.5592","1.054e-34"
"SLC1A2","-0.5834","1.282e-34"
"PICK1","0.6050","1.290e-34"
"LRP2","0.5992","3.511e-34"
"MYO9B","0.6195","5.469e-34"
"CYP7B1","-0.5931","6.397e-34"
"HSPH1","0.6235","1.324e-33"
"BCL2","0.5992","1.445e-33"
"MYRF","0.5106","4.302e-33"
"MAML2","-0.5397","6.516e-33"
"RP11-50D16.4","-0.5833","1.079e-32"
"PRKX","0.5078","1.291e-32"
"GOLGA4","0.5164","2.871e-32"
"PPFIA2","-0.5105","3.506e-32"
"TTTY14","-0.5338","6.372e-32"
"GIT1","0.6056","8.252e-32"
"NTRK2","-0.5666","9.081e-32"
"ZNF565","0.5064","1.334e-31"
"RORA","-0.5752","1.816e-31"
"TSPYL2","0.5689","2.061e-31"
"DDX5","0.5433","3.139e-31"
"KAT2A","0.5983","1.224e-30"
"CARNS1","-0.5087","1.367e-30"
"KNOP1","0.5703","8.219e-30"
"PTPRM","0.5708","1.666e-29"
"ECE1","0.5501","2.532e-29"
"RPS27","0.5324","6.792e-29"
"RP11-371F15.3","0.5359","8.796e-29"
"IMMP2L","-0.5226","1.091e-28"
"TMEM125","-0.5294","1.166e-28"
"DNAJA1","0.5693","2.145e-28"
"FOS","0.5388","2.439e-28"
"HSD17B4","-0.5303","3.231e-28"
"PIDD1","0.5343","4.727e-28"
"TMEM259","0.5680","6.840e-28"
"ATF4","0.5749","8.128e-28"
"PDK4","0.5569","8.255e-28"
"PLPPR1","-0.5148","1.071e-27"
"MPHOSPH8","0.5300","1.535e-27"
"KIF6","-0.5130","2.045e-27"
"DDIT4","0.5479","6.144e-27"
"PCDH7","-0.5059","9.177e-27"
"MAT2A","0.5342","3.211e-26"
"UBC","0.5158","3.316e-26"
"LDLRAD4","-0.5197","3.933e-26"
"PPA1","0.5060","1.059e-25"
"DPP10","-0.5003","1.879e-25"
"LSAMP-AS1","-0.5034","4.137e-25"
"PACS2","0.5359","4.783e-25"
"ATG4B","0.5274","5.848e-25"
"SMOC1","0.5085","7.282e-25"
"MTCH1","0.5091","2.802e-24"
"ATP5I","0.5351","5.064e-24"
"RALGDS","0.5146","1.083e-23"
"NDUFS2","0.5079","1.384e-23"
"HP1BP3","0.5169","1.661e-23"
"PIM3","0.5048","2.022e-23"
"TCF25","0.5080","2.926e-23"
"B3GAT1","0.5236","1.688e-22"
