Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000078369,GNB1,314,-0.2195,223,-0.7431,293,-0.3562,261,-0.5469,402,0.20967,614,0.85827,436,0.32928
ENSG00000187730,GABRD,0,-8.2786,2,-5.7615,81,-0.5384,83,-0.4993,141,0.46532,186,0.82197,201,1.09556
ENSG00000067606,PRKCZ,38,-2.1944,91,-0.8869,151,-0.1311,160,-0.0317,187,0.26738,262,0.76699,191,0.27926
ENSG00000162585,FAAP20,124,1.18607,80,0.45892,61,0.00826,65,0.12259,68,0.23696,0,-7.6456,32,-1.0378
ENSG00000157933,SKI,93,0.80796,46,-0.3177,57,0.04270,69,0.36339,46,-0.3625,69,0.31857,37,-0.6717
ENSG00000157916,RER1,96,0.48581,86,0.31655,39,-0.9626,52,-0.5082,71,0.02363,66,-0.1070,101,0.64388
ENSG00000157911,PEX10,0,-5.9827,33,0.60480,21,-0.1438,30,0.52120,25,0.18761,8,-1.4856,26,0.26907
ENSG00000149527,PLCH2,0,-6.2745,19,-0.5889,20,-0.4879,11,-1.4514,48,1.17963,2,-3.5312,52,1.17334
ENSG00000157881,PANK4,0,-5.7198,9,-1.0754,15,-0.3688,20,0.16382,31,1.09846,21,0.22710,14,-0.4577
ENSG00000197921,HES5,0,-6.0103,3,-2.8941,22,-0.0625,26,0.22866,49,1.76886,2,-3.4292,13,-0.9178
ENSG00000157870,PRXL2B,14,-2.5770,25,-1.7582,92,0.26042,101,0.42387,75,-0.1063,84,0.09801,109,0.56971
ENSG00000177133,PRDM16-DT,0,-5.9290,1,-4.3636,30,0.59768,13,-0.8675,44,1.59323,20,-0.0756,10,-1.1602
ENSG00000158109,TPRG1L,63,-1.2500,50,-1.6109,98,-0.6348,146,0.01976,152,0.10253,291,1.15675,190,0.49184
ENSG00000130764,LRRC47,31,-0.9991,42,-0.5447,36,-0.8331,61,0.01784,72,0.35221,85,0.54232,78,0.43727
ENSG00000116198,CEP104,26,0.55676,30,0.79955,19,0.10125,25,0.58027,6,-1.7811,2,-3.1307,26,0.65828
ENSG00000196581,AJAP1,0,-6.8637,13,-1.6906,31,-0.4756,21,-1.0862,46,0.17916,124,1.84362,60,0.65886
ENSG00000069424,KCNAB2,56,-2.1575,20,-3.6024,224,-0.0742,263,0.20370,240,0.04880,330,0.54881,354,0.75211
ENSG00000116254,CHD5,3,-6.0898,27,-3.0302,214,0.08246,320,0.82129,220,0.14158,126,-0.7418,284,0.58990
ENSG00000116251,RPL22,1418,1.89571,1095,1.41462,403,-0.2517,217,-1.2539,368,-0.4447,262,-0.8879,245,-1.0620
ENSG00000116237,ICMT,28,-0.4130,12,-1.6617,25,-0.6268,42,0.23207,41,0.21202,17,-1.1434,63,0.99631
ENSG00000158292,GPR153,22,0.64847,0,-4.8507,22,0.77693,5,-1.5553,9,-0.7342,32,1.28127,18,0.36916
ENSG00000097021,ACOT7,14,-3.2100,44,-1.5689,90,-0.5496,76,-0.8368,129,0.04686,287,1.37106,221,1.05187
ENSG00000215788,TNFRSF25,57,0.92556,0,-6.6330,18,-0.9411,32,0.03193,20,-0.7992,53,0.80491,56,1.02962
ENSG00000171680,PLEKHG5,0,-6.8827,7,-2.6561,37,-0.2079,38,-0.1573,35,-0.3269,78,0.99653,82,1.24686
ENSG00000162408,NOL9,0,-6.6240,12,-1.6170,37,0.10544,48,0.56162,40,0.27612,24,-0.6105,47,0.50899
ENSG00000162413,KLHL21,32,-0.0551,36,0.11439,25,-0.4572,41,0.34482,26,-0.4863,31,-0.1413,47,0.59398
ENSG00000116273,PHF13,0,-5.8510,13,-0.6447,12,-0.8794,23,0.20044,32,0.93220,8,-1.3871,29,0.62867
ENSG00000041988,THAP3,0,-5.3615,19,0.41040,12,-0.3302,12,-0.2631,19,0.59863,3,-1.9925,22,0.75330
ENSG00000007923,DNAJC11,0,-6.3355,18,-0.8871,31,-0.0505,36,0.22846,30,-0.0870,49,0.69063,45,0.60726
ENSG00000171735,CAMTA1,150,-0.4100,81,-1.3376,182,-0.1218,223,0.23334,268,0.64709,91,-1.1597,203,0.07036
ENSG00000049245,VAMP3,101,1.52320,170,2.54814,21,-1.0879,24,-0.8323,36,-0.2263,0,-8.6693,8,-2.3903
ENSG00000049246,PER3,28,-0.0219,36,0.34326,22,-0.4722,29,0.00603,36,0.46298,17,-0.8214,27,-0.0982
ENSG00000116288,PARK7,387,1.09239,227,0.21537,128,-0.7278,79,-1.4776,248,0.44675,337,0.85981,135,-0.6449
ENSG00000116285,ERRFI1,0,-5.7733,13,-0.5577,12,-0.7262,22,0.20977,24,0.41313,15,-0.4250,32,0.91350
ENSG00000162426,SLC45A1,1,-4.7955,0,-8.5138,19,-0.6454,33,0.29625,34,0.40764,16,-0.8390,56,1.30668
ENSG00000142599,RERE,61,-1.1362,79,-0.7461,110,-0.2681,94,-0.5259,155,0.37033,228,0.92400,152,0.28780
ENSG00000074800,ENO1,219,-1.1869,307,-0.6775,318,-0.6736,353,-0.5056,562,0.32716,992,1.20678,585,0.36317
ENSG00000171612,SLC25A33,0,-5.8766,15,-0.9505,27,-0.0219,6,-2.3607,51,1.36494,39,0.54679,28,0.05777
ENSG00000188807,TMEM201,0,-5.4912,14,-0.1631,13,-0.3441,22,0.54466,18,0.20479,0,-7.2395,27,0.97922
ENSG00000171608,PIK3CD,25,0.75449,5,-1.5583,17,0.14154,29,1.15373,13,-0.3026,0,-7.2967,12,-0.3570
ENSG00000171603,CLSTN1,228,-1.3458,141,-2.0561,338,-0.8148,533,-0.0592,587,0.11906,1033,1.02248,859,0.80742
ENSG00000178585,CTNNBIP1,33,0.02649,38,0.22659,39,0.30892,59,1.08628,28,-0.3149,2,-3.7863,20,-0.7758
ENSG00000162441,LZIC,0,-6.2898,73,1.61035,30,0.14331,10,-1.6485,30,0.14381,27,-0.0239,32,0.22492
ENSG00000130939,UBE4B,61,0.39608,45,-0.0576,31,-0.7135,53,0.21715,43,-0.1832,46,-0.0513,59,0.39194
ENSG00000054523,KIF1B,29,-3.4318,340,0.23491,272,-0.1257,319,0.14750,308,0.09861,365,0.34796,338,0.24866
ENSG00000142657,PGD,41,-0.4691,41,-0.4946,37,-0.6963,57,0.02487,85,0.85923,5,-3.3629,72,0.43849
ENSG00000241563,CORT,0,-6.5590,10,-1.7364,26,-0.4129,11,-1.6975,89,2.53467,6,-2.3853,22,-0.7267
ENSG00000160049,DFFA,35,0.32479,41,0.58203,28,-0.0370,19,-0.7091,36,0.45644,22,-0.3702,22,-0.4681
ENSG00000142655,PEX14,0,-6.3331,0,-5.6036,27,-0.0867,30,0.10760,39,0.59777,12,-1.2381,50,1.02187
ENSG00000120948,TARDBP,17,-2.2179,95,0.40332,44,-0.8319,45,-0.8196,80,0.14539,172,1.40364,92,0.38833
ENSG00000116649,SRM,35,-1.5940,62,-0.7646,81,-0.3936,92,-0.1700,128,0.45073,150,0.61672,123,0.33618
ENSG00000171824,EXOSC10,20,-0.4714,35,0.44680,20,-0.4549,18,-0.6705,41,0.86600,23,-0.2150,22,-0.3126
ENSG00000198793,MTOR,0,-6.6032,15,-1.2577,31,-0.1781,29,-0.3142,29,-0.3528,80,1.38360,57,0.92303
ENSG00000116661,FBXO2,45,-2.1479,133,-0.5283,205,0.15931,114,-0.8302,248,0.56383,321,0.86907,185,-0.0233
ENSG00000132879,FBXO44,0,-8.5863,52,-1.4739,104,-0.4895,211,0.75944,136,-0.0313,145,0.07316,214,0.79196
ENSG00000116670,MAD2L2,9,-1.4934,34,0.48638,22,-0.2457,8,-1.6818,30,0.39336,41,0.79943,32,0.42461
ENSG00000177000,MTHFR,41,1.01617,12,-0.9482,21,-0.0734,27,0.36973,20,-0.1671,10,-1.1824,22,0.00554
ENSG00000011021,CLCN6,0,-7.8879,43,-1.0403,65,-0.4509,135,0.83707,99,0.30045,37,-1.2424,122,0.64607
ENSG00000116685,KIAA2013,39,0.13251,53,0.63459,28,-0.4124,43,0.30245,32,-0.2011,12,-1.6329,44,0.35734
ENSG00000083444,PLOD1,113,2.76979,19,-0.3699,18,-0.4792,16,-0.6998,22,-0.2034,0,-7.9467,13,-0.9882
ENSG00000116688,MFN2,37,-1.3363,84,-0.0869,82,-0.1343,103,0.26936,82,-0.1499,96,0.12489,115,0.46912
ENSG00000116691,MIIP,0,-5.4248,9,-0.6974,12,-0.3709,13,-0.2270,28,1.32436,1,-3.7707,18,0.35191
ENSG00000048707,VPS13D,0,-6.6886,37,-0.1463,37,-0.1286,45,0.16831,41,0.00562,19,-1.1643,72,1.06742
ENSG00000162496,DHRS3,32,0.23776,26,-0.0773,39,0.64468,32,0.25140,33,0.35610,0,-8.1120,15,-0.9473
ENSG00000116731,PRDM2,35,-0.8737,47,-0.4111,44,-0.5703,89,0.67167,52,-0.2935,99,0.77264,66,0.13612
ENSG00000189337,KAZN,23,-0.9577,79,0.93767,37,-0.2910,55,0.40362,63,0.73536,13,-1.7926,19,-1.3063
ENSG00000142634,EFHD2,39,-1.3935,41,-1.3379,52,-1.0489,417,3.57633,23,-2.4058,1,-6.5005,46,-1.2237
ENSG00000116138,DNAJC16,0,-6.2780,33,0.30662,23,-0.2813,34,0.35202,27,-0.0617,6,-2.1748,48,1.03919
ENSG00000197312,DDI2,0,-4.6649,16,-0.4332,15,-0.5934,38,1.01064,18,-0.3481,25,0.22545,30,0.54175
ENSG00000116786,PLEKHM2,0,-7.5131,23,-1.5946,85,0.45499,93,0.62087,79,0.38281,53,-0.3217,59,-0.1903
ENSG00000065526,SPEN,52,0.10973,58,0.30550,39,-0.3602,59,0.35700,48,0.00574,30,-0.6990,48,0.00521
ENSG00000116809,ZBTB17,0,-4.2829,25,0.65079,11,-0.6022,15,-0.1373,22,0.61125,17,0.01431,18,0.12143
ENSG00000037637,FBXO42,50,0.96761,9,-1.6631,17,-0.7336,21,-0.4049,32,0.29378,16,-0.8156,40,0.68543
ENSG00000055070,SZRD1,125,2.18840,62,0.89200,25,-0.5994,19,-1.0062,36,0.05379,5,-2.6883,18,-1.1146
ENSG00000157191,NECAP2,87,2.63111,43,1.26162,8,-1.3211,13,-0.6877,18,-0.1653,0,-7.6524,5,-2.0320
ENSG00000058453,CROCC,55,1.52114,14,-0.6647,14,-0.6645,34,0.82080,15,-0.7163,2,-3.2222,25,0.20576
ENSG00000159363,ATP13A2,23,-2.4697,45,-1.5186,101,-0.3071,134,0.16656,146,0.35824,159,0.42950,162,0.51413
ENSG00000117118,SDHB,14,-2.4147,56,-0.3526,53,-0.4799,74,0.08430,81,0.28123,54,-0.3898,111,0.83712
ENSG00000117115,PADI2,0,-7.0825,332,3.84224,30,-0.7611,12,-2.1450,40,-0.3434,27,-0.8750,8,-2.7287
ENSG00000179051,RCC2,37,0.52446,28,0.08346,19,-0.5093,27,0.07369,30,0.28706,11,-1.2742,27,0.07555
ENSG00000074964,ARHGEF10L,64,2.12416,6,-1.6748,22,0.30567,22,0.29786,11,-0.8410,0,-5.2608,15,-0.3740
ENSG00000117154,IGSF21,0,-7.7969,55,-0.5748,61,-0.4629,247,2.39761,55,-0.6742,13,-2.7124,55,-0.6112
ENSG00000159423,ALDH4A1,1,-4.0245,11,-0.6966,25,0.60169,13,-0.4632,34,1.50405,0,-4.7378,9,-0.9736
ENSG00000169991,IFFO2,0,-4.3514,10,-0.6081,11,-0.4258,21,0.69032,19,0.48465,1,-3.3275,21,0.64841
ENSG00000127463,EMC1,0,-6.6235,19,-0.9622,24,-0.6149,37,0.09583,52,0.82294,28,-0.3726,48,0.54880
ENSG00000053372,MRTO4,0,-6.5779,23,-0.6213,34,0.02389,39,0.25692,34,0.00878,37,0.13412,49,0.65519
ENSG00000053371,AKR7A2,69,0.95679,44,0.22275,27,-0.5481,17,-1.2716,41,0.14790,92,1.44732,20,-1.0352
ENSG00000077549,CAPZB,399,0.82394,137,-0.8540,177,-0.5100,245,0.04264,239,-0.0045,233,-0.0414,272,0.22022
ENSG00000173436,MICOS10,277,0.29461,263,0.21051,232,0.00857,176,-0.4586,262,0.25139,268,0.23694,178,-0.4317
ENSG00000158747,NBL1,386,1.01145,42,-2.3903,138,-0.6837,343,0.92581,223,0.13865,45,-2.2988,193,-0.1200
ENSG00000169914,OTUD3,0,-5.6020,10,-0.8294,16,-0.0971,24,0.61505,22,0.52170,2,-3.2445,23,0.53176
ENSG00000162545,CAMK2N1,56,-3.9874,478,-0.8427,786,-0.0846,269,-1.7992,909,0.18720,2559,1.93689,989,0.31945
ENSG00000090432,MUL1,0,-6.1205,20,-0.3547,18,-0.5553,23,-0.1069,32,0.49649,27,0.16093,36,0.68878
ENSG00000183114,FAM43B,0,-5.9612,5,-2.2026,9,-1.4687,76,2.71265,18,-0.3723,0,-7.8106,18,-0.3053
ENSG00000158828,PINK1,128,-1.1037,206,-0.3795,224,-0.2719,271,0.04997,279,0.11549,225,-0.2467,386,0.69038
ENSG00000244038,DDOST,107,2.21758,23,-0.3505,13,-1.2888,28,-0.1203,19,-0.7843,31,0.07358,28,-0.1166
ENSG00000117245,KIF17,0,-5.3948,2,-2.6728,15,-0.0193,23,0.80852,5,-1.6685,0,-6.5702,42,2.11209
ENSG00000189410,SH2D5,35,0.18673,2,-3.5849,22,-0.5803,26,-0.3015,20,-0.8136,97,1.91812,42,0.54576
ENSG00000127483,HP1BP3,200,0.46666,119,-0.3504,111,-0.4968,142,-0.0799,164,0.18953,160,0.10742,156,0.07439
ENSG00000075151,EIF4G3,40,-1.4802,72,-0.5964,104,-0.0360,143,0.52421,115,0.14939,82,-0.4098,122,0.24083
ENSG00000117298,ECE1,201,3.85411,28,-0.0692,14,-1.2012,10,-1.7035,16,-1.0817,0,-8.2010,13,-1.2401
ENSG00000076864,RAP1GAP,11,-4.1303,71,-1.3978,111,-0.7831,382,1.47245,142,-0.4209,80,-1.2202,282,0.83954
ENSG00000090686,USP48,69,1.24678,36,0.20012,20,-0.7556,23,-0.5221,36,0.24022,27,-0.2433,28,-0.2261
ENSG00000070831,CDC42,200,-0.1953,228,0.00632,158,-0.6002,240,0.10116,238,0.09775,121,-0.9653,330,0.67616
ENSG00000173372,C1QA,415,4.94404,21,-1.1654,12,-2.1400,13,-2.0392,22,-1.2591,0,-8.8725,3,-4.0317
ENSG00000173369,C1QB,422,4.55636,35,-0.5708,25,-1.1499,11,-2.3160,27,-1.1254,0,-9.0107,2,-4.8480
ENSG00000004487,KDM1A,43,-0.1380,18,-1.4516,32,-0.6474,49,0.06063,61,0.51411,42,-0.1789,59,0.40057
ENSG00000169641,LUZP1,95,1.10375,0,-7.2970,44,-0.1801,71,0.69797,37,-0.4764,31,-0.6917,57,0.27105
ENSG00000125944,HNRNPR,96,-0.2753,139,0.29954,64,-0.9568,94,-0.3382,129,0.21597,184,0.75328,130,0.20671
ENSG00000125945,ZNF436,0,-5.8705,8,-1.3453,8,-1.5125,34,0.89339,15,-0.5554,54,1.58347,28,0.56671
ENSG00000117318,ID3,1134,6.17414,46,-1.2981,31,-1.9942,19,-2.7301,5,-4.8126,0,-10.085,5,-4.6917
ENSG00000142676,RPL11,2109,2.57515,1246,1.52715,327,-0.7067,196,-1.5133,326,-0.7752,238,-1.1368,190,-1.5571
ENSG00000011007,ELOA,5,-1.9073,20,0.18547,17,-0.0050,18,0.08822,22,0.47865,0,-4.5936,23,0.49772
ENSG00000057757,PITHD1,1,-6.2885,119,-0.2425,107,-0.4377,144,0.06145,145,0.08902,239,0.88252,184,0.50320
ENSG00000011009,LYPLA2,0,-7.0190,17,-1.5028,29,-0.7808,57,0.35622,57,0.42257,52,0.16703,72,0.80313
ENSG00000117308,GALE,0,-5.4103,4,-1.7860,14,-0.0841,17,0.24906,15,-0.0332,12,-0.3653,28,1.16619
ENSG00000117305,HMGCL,43,1.58330,18,0.13533,15,-0.1649,15,-0.0964,15,-0.1890,0,-7.3962,16,-0.0771
ENSG00000189266,PNRC2,100,0.81988,47,-0.3885,54,-0.1865,50,-0.2897,69,0.26983,40,-0.6077,59,-0.0307
ENSG00000188529,SRSF10,78,0.59832,62,0.21606,34,-0.7419,50,-0.1257,47,-0.2340,80,0.62897,57,0.11173
ENSG00000001461,NIPAL3,1,-5.2297,155,1.82873,39,-0.5123,54,0.02626,44,-0.3179,38,-0.5039,60,0.23062
ENSG00000133226,SRRM1,109,1.30871,93,1.02643,41,-0.2881,31,-0.7494,39,-0.4462,31,-0.7049,48,-0.0331
ENSG00000169504,CLIC4,427,3.15848,317,2.45213,21,-2.0736,25,-1.8133,32,-1.5689,0,-9.6317,9,-3.3350
ENSG00000117614,SYF2,164,1.72705,72,0.31990,48,-0.3343,37,-0.7817,42,-0.5914,48,-0.3183,62,0.10013
ENSG00000117616,RSRP1,162,1.15656,115,0.58366,42,-1.0399,60,-0.4692,64,-0.3916,75,-0.0869,103,0.45583
ENSG00000183726,TMEM50A,282,1.50200,146,0.38985,53,-1.2358,62,-1.0006,100,-0.2567,181,0.73253,117,0.03736
ENSG00000204178,MACO1,45,1.07024,8,-1.4906,20,-0.2609,28,0.29183,17,-0.5220,30,0.40436,24,0.06345
ENSG00000117643,MAN1C1,47,-0.0149,22,-1.1399,33,-0.6036,27,-0.9266,58,0.42557,76,0.77098,63,0.51920
ENSG00000162430,SELENON,60,0.45722,57,0.36700,48,0.08240,46,0.03727,30,-0.7478,27,-0.7673,61,0.51890
ENSG00000117640,MTFR1L,15,-2.0163,39,-0.5913,61,0.11249,56,-0.0501,56,-0.0381,66,0.20599,84,0.67047
ENSG00000117632,STMN1,119,-2.8976,1003,0.31411,493,-0.8485,899,0.15509,745,-0.1877,1126,0.50177,1303,0.84168
ENSG00000158008,EXTL1,37,-0.5638,2,-4.5212,36,-0.6488,83,0.80958,42,-0.4445,78,0.60395,79,0.71605
ENSG00000175087,PDIK1L,0,-5.6810,15,-0.3178,10,-0.9978,22,0.32510,37,1.61984,0,-7.5307,14,-0.3910
ENSG00000142684,ZNF593,36,0.67972,23,-0.0191,14,-0.7602,21,-0.1823,31,0.61781,1,-3.7325,26,0.22917
ENSG00000142669,SH3BGRL3,404,1.29750,201,0.13612,126,-0.6336,238,0.45483,135,-0.5703,45,-2.1272,214,0.26237
ENSG00000158062,UBXN11,0,-5.5993,7,-1.2574,15,-0.2117,23,0.51353,23,0.63692,16,-0.1324,18,0.07654
ENSG00000117682,DHDDS,0,-5.6635,8,-1.2475,18,0.00174,25,0.60872,10,-0.9938,17,-0.0861,37,1.35555
ENSG00000198830,HMGN2,325,1.96584,204,1.12211,60,-0.8762,51,-1.1524,114,0.19659,62,-0.7777,40,-1.5200
ENSG00000117713,ARID1A,0,-7.3532,61,0.07007,54,-0.1366,53,-0.1649,69,0.31510,55,-0.1038,83,0.62616
ENSG00000204160,ZDHHC18,42,0.13628,11,-1.8264,25,-0.6842,61,0.85698,39,0.03506,22,-0.8689,47,0.37155
ENSG00000142751,GPN2,7,-1.1904,14,-0.2405,11,-0.6251,17,-0.0152,19,0.20618,7,-1.3333,31,1.08365
ENSG00000090273,NUDC,47,-1.4622,156,0.36481,108,-0.2311,95,-0.4473,136,0.18293,246,1.12431,111,-0.1823
ENSG00000253368,TRNP1,21,-1.0537,4,-3.5050,37,-0.2014,32,-0.4389,57,0.64416,47,0.18432,60,0.63692
ENSG00000090020,SLC9A1,61,0.98724,5,-2.6350,25,-0.4266,49,0.72748,17,-1.1544,16,-1.0826,56,0.98203
ENSG00000142784,WDTC1,37,0.00135,42,0.20882,38,0.06901,45,0.33725,32,-0.2456,42,0.22365,29,-0.4081
ENSG00000186501,TMEM222,10,-3.1058,64,-0.3976,68,-0.3334,104,0.41196,106,0.48874,60,-0.4842,98,0.30507
ENSG00000158195,WASF2,136,2.46279,113,2.07668,24,-0.5489,18,-1.0113,18,-1.0792,1,-4.4653,7,-2.3370
ENSG00000126705,AHDC1,0,-7.2132,11,-2.3455,36,-0.6296,86,0.87851,54,0.04287,28,-0.9671,95,1.08892
ENSG00000126709,IFI6,603,2.29066,110,-0.6013,121,-0.5058,191,0.27816,127,-0.4568,18,-3.2417,109,-0.6647
ENSG00000009780,FAM76A,0,-5.4876,15,-0.1175,14,-0.1429,23,0.70229,20,0.50749,1,-3.6084,18,0.25680
ENSG00000117758,STX12,0,-7.5645,75,0.13553,55,-0.3948,93,0.53369,71,0.05679,69,-0.0068,88,0.42562
ENSG00000117751,PPP1R8,4,-3.0568,38,0.23388,27,-0.3266,37,0.20006,39,0.35355,15,-1.1453,45,0.57934
ENSG00000117748,RPA2,12,-1.8774,31,-0.4382,24,-0.8958,47,0.20530,59,0.71170,46,0.16899,46,0.16036
ENSG00000126698,DNAJC8,192,0.75582,82,-0.5880,96,-0.3714,106,-0.2070,95,-0.4336,186,0.70074,146,0.33660
ENSG00000130770,ATP5IF1,259,-0.2923,208,-0.6271,196,-0.7713,191,-0.8151,367,0.32321,560,0.95124,420,0.53396
ENSG00000180098,TRNAU1AP,0,-5.2666,17,0.38830,15,0.24235,14,0.03488,14,0.03093,0,-7.1170,22,0.92511
ENSG00000197989,SNHG12,0,-5.4144,19,0.39635,16,0.07007,12,-0.3337,23,0.84002,9,-0.7997,14,-0.1008
ENSG00000120656,TAF12,69,2.34114,27,0.65072,17,-0.0528,10,-0.9692,4,-2.4672,14,-0.4021,20,0.17490
ENSG00000198492,YTHDF2,25,-1.4083,44,-0.5452,50,-0.3854,61,-0.0722,64,0.02775,71,0.17738,102,0.87814
ENSG00000116350,SRSF4,87,1.23744,36,-0.1861,27,-0.6788,41,-0.0012,50,0.38013,12,-1.8241,35,-0.2461
ENSG00000116353,MECR,39,0.41377,29,-0.0637,26,-0.2362,35,0.27651,26,-0.2389,5,-2.4560,42,0.62117
ENSG00000060656,PTPRU,0,-6.2926,10,-1.5269,8,-1.8462,128,3.95927,12,-1.4406,0,-8.1417,8,-1.9525
ENSG00000162511,LAPTM5,187,2.56480,61,0.50522,45,0.02390,22,-1.1061,40,-0.1661,1,-5.1639,13,-1.9138
ENSG00000162512,SDC3,145,-0.4752,129,-0.6543,170,-0.2443,227,0.25073,211,0.13818,151,-0.4067,253,0.45171
ENSG00000134644,PUM1,18,-2.9573,57,-1.3043,111,-0.3196,174,0.46077,126,-0.1112,112,-0.2794,236,1.05433
ENSG00000121766,ZCCHC17,38,-1.6143,74,-0.6298,68,-0.8033,146,0.48270,102,-0.1593,142,0.38945,173,0.79903
ENSG00000121769,FABP3,47,-1.2045,25,-2.1251,71,-0.6379,112,0.11323,111,0.11031,85,-0.3195,200,1.21709
ENSG00000162517,PEF1,232,1.46625,53,-0.9132,54,-0.9473,95,-0.0156,72,-0.5231,132,0.50664,110,0.24305
ENSG00000084636,COL16A1,19,-1.0276,71,1.02447,18,-1.1972,53,0.61494,40,0.10187,20,-0.9530,40,0.11680
ENSG00000121753,ADGRB2,41,-2.4043,51,-2.0987,169,-0.3342,271,0.49097,176,-0.2906,364,0.92738,302,0.69393
ENSG00000184007,PTP4A2,86,-1.1388,842,2.78974,140,-0.4418,124,-0.6325,109,-0.9148,110,-0.7702,142,-0.4089
ENSG00000121774,KHDRBS1,81,-0.5438,111,-0.0540,84,-0.5407,97,-0.3024,157,0.62713,94,-0.3192,133,0.25420
ENSG00000121775,TMEM39B,28,0.86054,1,-3.4363,18,0.12535,37,1.58603,3,-2.6396,0,-7.3859,24,0.69367
