Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to11,Feature log2 fold change topic 8to11
ENSG00000157870,PRXL2B,57,-0.1701,58,-0.1461,86,0.57164,59,-0.0856,58,-0.1918
ENSG00000177133,PRDM16-DT,35,0.87935,16,-0.5133,17,-0.3781,10,-1.1488,23,0.13737
ENSG00000158109,TPRG1L,147,-0.6221,202,-0.0919,220,0.06469,298,0.54805,225,0.13261
ENSG00000130764,LRRC47,44,-1.0298,62,-0.4507,87,0.11349,102,0.36875,102,0.54007
ENSG00000196581,AJAP1,25,-0.9522,46,0.05110,48,0.12786,31,-0.5753,55,0.52697
ENSG00000069424,KCNAB2,254,-0.1460,311,0.20913,334,0.33926,188,-0.6039,264,-0.1035
ENSG00000116254,CHD5,116,-0.3740,151,0.07821,142,-0.0280,137,-0.0792,158,0.21153
ENSG00000116251,RPL22,555,0.43942,554,0.43800,343,-0.4095,348,-0.3524,384,-0.2729
ENSG00000116237,ICMT,24,-0.8538,27,-0.6654,82,1.42853,33,-0.2727,34,-0.3008
ENSG00000158292,GPR153,15,-0.0937,17,0.14853,9,-0.9967,8,-1.0538,21,0.71411
ENSG00000097021,ACOT7,168,-1.0978,299,-0.1405,419,0.46332,510,0.73784,322,-0.0182
ENSG00000215788,TNFRSF25,12,-1.2160,36,0.63555,38,0.73198,16,-0.6471,23,-0.2375
ENSG00000171680,PLEKHG5,26,-0.6186,41,0.11923,45,0.27972,21,-0.9099,44,0.31882
ENSG00000162408,NOL9,27,-0.1713,23,-0.4512,37,0.35965,36,0.28616,30,0.00740
ENSG00000162413,KLHL21,24,-0.5614,36,0.11956,45,0.56295,32,-0.0785,31,-0.1432
ENSG00000116273,PHF13,12,-0.7514,10,-1.1076,38,1.22712,11,-0.9408,22,0.21149
ENSG00000041988,THAP3,15,-0.4289,29,0.68440,16,-0.3476,19,-0.0313,19,-0.0391
ENSG00000007923,DNAJC11,36,-0.0010,29,-0.3582,50,0.60543,38,0.09810,31,-0.2722
ENSG00000171735,CAMTA1,171,-0.2291,194,-0.0115,168,-0.2569,256,0.43084,207,0.12797
ENSG00000049245,VAMP3,28,0.78893,14,-0.3949,15,-0.3074,14,-0.4311,18,-0.0433
ENSG00000049246,PER3,21,-0.7394,40,0.33776,43,0.46014,28,-0.2695,32,-0.0696
ENSG00000116288,PARK7,353,-0.2205,442,0.17125,526,0.49364,412,0.04132,340,-0.3601
ENSG00000116285,ERRFI1,9,-1.1823,23,0.44064,10,-0.9745,28,0.66798,22,0.46176
ENSG00000162426,SLC45A1,25,-0.7252,34,-0.2190,52,0.52670,44,0.20729,40,0.07150
ENSG00000142599,RERE,75,-0.5828,109,0.05911,125,0.30098,112,0.09310,108,0.04876
ENSG00000074800,ENO1,323,-0.0549,291,-0.2339,384,0.25327,296,-0.1854,343,0.06805
ENSG00000171612,SLC25A33,41,0.63517,17,-0.9052,23,-0.3976,33,0.21156,31,0.15738
ENSG00000171603,CLSTN1,483,-0.9560,628,-0.5251,1025,0.32848,1158,0.49001,992,0.35436
ENSG00000178585,CTNNBIP1,20,-0.4408,33,0.45987,17,-0.6877,41,0.76064,25,-0.0283
ENSG00000162441,LZIC,26,-0.3122,33,0.12290,26,-0.2664,26,-0.2255,35,0.33354
ENSG00000130939,UBE4B,27,-0.4409,25,-0.5771,28,-0.3457,60,0.88638,41,0.37026
ENSG00000054523,KIF1B,204,-0.3410,256,0.05076,236,-0.0894,237,-0.0745,276,0.24719
ENSG00000142657,PGD,38,-0.5712,50,-0.1401,43,-0.3723,63,0.23643,67,0.51887
ENSG00000241563,CORT,30,-1.5756,43,-1.0454,317,3.47885,34,-1.2989,18,-2.6789
ENSG00000160049,DFFA,24,-0.3592,39,0.48009,22,-0.4792,28,-0.0724,32,0.17041
ENSG00000142655,PEX14,21,-0.4515,27,0.01467,27,-0.0297,21,-0.4297,32,0.39482
ENSG00000120948,TARDBP,50,-0.6889,52,-0.6088,113,0.75834,74,-0.0178,80,0.15339
ENSG00000116649,SRM,97,-0.1085,105,0.03526,128,0.38228,98,-0.0855,94,-0.1953
ENSG00000171824,EXOSC10,17,-0.5003,31,0.54150,24,0.07456,19,-0.2579,22,-0.0665
ENSG00000198793,MTOR,31,-0.4649,51,0.35558,47,0.21014,53,0.38733,36,-0.2816
ENSG00000116661,FBXO2,319,0.67034,224,0.01417,172,-0.4333,198,-0.1826,203,-0.1936
ENSG00000132879,FBXO44,120,-0.8172,175,-0.1905,229,0.28876,194,-0.0089,226,0.34828
ENSG00000116670,MAD2L2,26,0.17098,18,-0.4175,30,0.43981,14,-0.7985,24,0.04731
ENSG00000177000,MTHFR,18,-0.1823,15,-0.4959,29,0.61023,11,-0.8860,22,0.19516
ENSG00000011021,CLCN6,39,-0.5520,40,-0.4963,65,0.34186,79,0.63016,56,0.09192
ENSG00000116685,KIAA2013,17,-1.1845,36,0.09504,35,0.01025,45,0.43914,39,0.32296
ENSG00000083444,PLOD1,25,-0.2920,22,-0.5077,24,-0.3172,41,0.51019,35,0.43124
ENSG00000116688,MFN2,57,-0.7549,77,-0.2549,96,0.13567,107,0.29337,103,0.34905
ENSG00000116691,MIIP,13,-0.7177,18,-0.1597,16,-0.3175,18,-0.1729,27,0.70477
ENSG00000048707,VPS13D,31,-0.7638,37,-0.5183,37,-0.5115,69,0.51561,67,0.74976
ENSG00000162496,DHRS3,24,0.64500,24,0.69188,10,-0.7935,8,-1.0865,15,-0.2843
ENSG00000116731,PRDM2,56,-0.5123,51,-0.6655,75,-0.0226,64,-0.2567,102,0.72424
ENSG00000189337,KAZN,26,-0.3057,39,0.35535,14,-1.2946,43,0.48502,37,0.34416
ENSG00000142634,EFHD2,46,-1.0310,96,0.20154,22,-2.1386,242,1.77571,94,0.19396
ENSG00000116138,DNAJC16,14,-0.9501,20,-0.3644,29,0.32562,30,0.32490,28,0.34464
ENSG00000197312,DDI2,16,-0.5259,13,-0.8966,22,0.02852,32,0.60344,27,0.47693
ENSG00000116786,PLEKHM2,100,0.20106,137,0.78753,70,-0.4112,101,0.18269,67,-0.5971
ENSG00000065526,SPEN,27,-0.0340,39,0.58138,19,-0.6088,34,0.31922,26,-0.1881
ENSG00000116809,ZBTB17,14,-0.4053,20,0.15498,14,-0.4217,12,-0.6289,23,0.54660
ENSG00000037637,FBXO42,19,0.43843,8,-0.9053,15,0.11267,21,0.60407,13,-0.1700
ENSG00000055070,SZRD1,27,0.51561,25,0.35197,22,0.14296,15,-0.4294,15,-0.6144
ENSG00000159363,ATP13A2,108,-0.5508,184,0.38167,119,-0.3881,204,0.50987,153,0.06402
ENSG00000117118,SDHB,70,-0.3713,98,0.23069,99,0.24398,93,0.10682,81,-0.1430
ENSG00000117115,PADI2,37,0.94957,29,0.49461,8,-1.5825,2,-3.1400,23,0.10703
ENSG00000117154,IGSF21,35,-1.1027,60,-0.2346,55,-0.3994,92,0.45890,92,0.70539
ENSG00000159423,ALDH4A1,52,1.24659,26,-0.0956,25,-0.1650,10,-1.4493,21,-0.5420
ENSG00000127463,EMC1,22,-0.4791,17,-0.9357,29,-0.0273,43,0.59955,37,0.50508
ENSG00000053372,MRTO4,31,-0.1281,25,-0.4751,36,0.14647,45,0.47532,34,0.06252
ENSG00000053371,AKR7A2,44,0.18224,40,0.03301,52,0.48053,31,-0.3778,33,-0.3791
ENSG00000077549,CAPZB,153,-0.2794,180,-0.0014,215,0.31384,187,0.06198,175,-0.0692
ENSG00000173436,MICOS10,307,0.05005,345,0.25721,314,0.08893,259,-0.2256,274,-0.1938
ENSG00000158747,NBL1,196,0.00066,188,-0.0684,193,-0.0238,182,-0.1193,205,0.09844
ENSG00000169914,OTUD3,15,-0.1044,13,-0.3476,13,-0.2478,25,0.77910,16,0.07603
ENSG00000162545,CAMK2N1,1563,-0.0839,1957,0.31957,2179,0.52042,733,-1.2383,1475,-0.2326
ENSG00000090432,MUL1,13,-0.6856,20,-0.0628,13,-0.7960,38,1.01286,24,0.35238
ENSG00000158828,PINK1,379,-0.1185,359,-0.2119,377,-0.1282,569,0.54543,416,0.05671
ENSG00000244038,DDOST,17,-0.6839,21,-0.3533,38,0.66399,22,-0.2400,28,0.17312
ENSG00000117245,KIF17,12,-0.4560,17,0.17788,17,0.11145,41,1.59248,10,-0.9001
ENSG00000189410,SH2D5,22,-0.4207,19,-0.6542,36,0.48625,29,0.06561,31,0.23300
ENSG00000127483,HP1BP3,130,-0.3142,117,-0.4938,145,-0.1208,145,-0.1098,196,0.56195
ENSG00000075151,EIF4G3,80,-0.8621,108,-0.3571,145,0.14439,130,-0.0409,168,0.56117
ENSG00000117298,ECE1,18,-0.0028,21,0.20831,20,0.13689,14,-0.4467,18,-0.0890
ENSG00000076864,RAP1GAP,80,-1.0161,137,-0.1283,157,0.10469,258,0.91266,155,0.10568
ENSG00000090686,USP48,33,-0.6146,28,-0.8829,75,0.86464,51,0.10977,50,0.10260
ENSG00000070831,CDC42,120,-0.7473,167,-0.1937,232,0.39159,320,0.87742,175,-0.1528
ENSG00000173369,C1QB,31,1.26251,24,0.69156,11,-0.6773,1,-3.4245,11,-0.7248
ENSG00000004487,KDM1A,42,-0.5550,45,-0.4198,60,0.06322,58,-0.0086,72,0.50227
ENSG00000169641,LUZP1,23,-1.0699,45,0.02442,34,-0.4466,67,0.68630,53,0.46599
ENSG00000125944,HNRNPR,77,-0.6631,112,-0.0360,148,0.46594,143,0.35370,110,-0.0816
ENSG00000125945,ZNF436,13,-0.7639,16,-0.4666,32,0.75387,17,-0.3439,24,0.22313
ENSG00000117318,ID3,41,2.91864,8,-0.5795,3,-1.9534,7,-0.8037,4,-1.8700
ENSG00000142676,RPL11,520,0.60583,392,0.08071,335,-0.1903,285,-0.4281,334,-0.2483
ENSG00000057757,PITHD1,127,-0.7159,163,-0.3010,201,0.05860,328,0.85733,206,0.14197
ENSG00000011009,LYPLA2,25,-0.7443,41,0.06522,45,0.23333,44,0.16116,42,0.14103
ENSG00000117308,GALE,21,0.04987,13,-0.7244,24,0.26413,16,-0.3902,24,0.29945
ENSG00000117305,HMGCL,18,0.23030,19,0.33036,10,-0.6749,15,-0.1131,16,0.02725
ENSG00000189266,PNRC2,38,-0.1189,40,-0.0586,64,0.81449,35,-0.2318,33,-0.4508
ENSG00000188529,SRSF10,38,-0.4157,40,-0.3326,55,0.23463,61,0.35930,52,0.13918
ENSG00000001461,NIPAL3,48,-0.2338,41,-0.5173,41,-0.5100,77,0.53635,68,0.48887
ENSG00000133226,SRRM1,43,0.07138,51,0.36149,41,-0.0086,47,0.19560,35,-0.3813
ENSG00000117614,SYF2,58,0.14861,57,0.10230,61,0.22816,25,-1.1472,53,-0.0226
ENSG00000117616,RSRP1,23,-1.2061,38,-0.3979,60,0.41680,41,-0.2393,61,0.58153
ENSG00000183726,TMEM50A,59,-0.5826,74,-0.2078,156,1.21486,57,-0.5877,70,-0.3690
ENSG00000204178,MACO1,16,-0.9862,35,0.28782,30,0.04260,27,-0.1531,34,0.32378
ENSG00000117643,MAN1C1,23,-1.2005,41,-0.2305,80,0.98723,23,-1.1194,52,0.23906
ENSG00000162430,SELENON,39,0.13901,46,0.41996,38,0.05910,16,-1.2098,35,-0.1188
ENSG00000117640,MTFR1L,52,-0.4081,72,0.15620,88,0.51583,61,-0.1222,60,-0.1960
ENSG00000117632,STMN1,914,-0.8735,1405,-0.1565,1280,-0.3172,2585,0.85152,1781,0.34989
ENSG00000158008,EXTL1,37,-0.5483,46,-0.1690,42,-0.3411,53,0.04964,65,0.57612
ENSG00000142684,ZNF593,30,-0.0855,44,0.59372,15,-1.2456,34,0.10969,34,0.17788
ENSG00000142669,SH3BGRL3,207,0.01027,244,0.30796,177,-0.2583,293,0.57494,178,-0.3130
ENSG00000158062,UBXN11,25,-0.1618,40,0.69831,9,-1.8116,18,-0.6101,34,0.50761
ENSG00000117682,DHDDS,18,0.38226,9,-0.7427,15,0.02421,20,0.55768,14,-0.1140
ENSG00000198830,HMGN2,150,0.36795,109,-0.2043,158,0.45866,98,-0.3485,104,-0.3558
ENSG00000117713,ARID1A,46,-0.4643,64,0.09167,54,-0.2055,37,-0.7382,75,0.52765
ENSG00000204160,ZDHHC18,18,-0.7925,23,-0.3352,48,0.97842,19,-0.5856,29,0.03670
ENSG00000142751,GPN2,12,-0.4462,15,-0.1119,24,0.81599,19,0.28706,13,-0.4201
ENSG00000090273,NUDC,162,-0.5581,198,-0.2238,302,0.54048,156,-0.5744,249,0.23325
ENSG00000253368,TRNP1,48,-0.5404,80,0.32865,39,-0.8943,82,0.33593,79,0.40318
ENSG00000090020,SLC9A1,12,-1.4031,27,-0.0988,31,0.10630,39,0.47983,35,0.43137
ENSG00000142784,WDTC1,40,0.25080,40,0.25332,30,-0.2151,19,-0.8740,35,0.03365
ENSG00000186501,TMEM222,53,-0.4455,63,-0.1407,64,-0.1220,77,0.19051,79,0.34145
ENSG00000158195,WASF2,29,0.95063,16,-0.1711,14,-0.3488,12,-0.6079,15,-0.2498
ENSG00000126705,AHDC1,29,-0.8986,46,-0.1569,53,0.07131,51,0.00914,62,0.49795
ENSG00000126709,IFI6,93,-0.1233,110,0.16503,70,-0.6078,185,1.01046,92,-0.1743
ENSG00000009780,FAM76A,16,-0.1794,18,0.02932,15,-0.3332,28,0.70430,18,-0.0161
ENSG00000117758,STX12,74,-0.3353,64,-0.5720,114,0.42595,118,0.43161,92,0.04848
ENSG00000117751,PPP1R8,21,-0.1751,16,-0.6289,34,0.71171,32,0.51218,20,-0.2916
ENSG00000117748,RPA2,39,-0.5440,30,-0.9584,86,0.87538,84,0.72187,49,-0.1887
ENSG00000126698,DNAJC8,98,-0.2000,119,0.13789,118,0.11347,118,0.10706,106,-0.0832
ENSG00000130770,ATP5IF1,407,-0.3620,597,0.31130,541,0.13204,402,-0.3496,508,0.02618
ENSG00000180098,TRNAU1AP,12,-1.0760,41,1.07603,25,0.14964,11,-1.0897,22,-0.1304
ENSG00000198492,YTHDF2,39,-1.1433,48,-0.7902,94,0.35339,116,0.65387,93,0.44568
ENSG00000116350,SRSF4,27,-0.7578,41,-0.0635,32,-0.4519,52,0.33430,53,0.55726
ENSG00000116353,MECR,26,-0.0699,27,-0.0319,20,-0.5624,45,0.79490,28,0.02770
ENSG00000162511,LAPTM5,36,1.00843,20,-0.0578,20,-0.0706,6,-1.7049,18,-0.3421
ENSG00000162512,SDC3,125,0.05753,92,-0.4689,164,0.55225,79,-0.6696,123,0.03280
ENSG00000134644,PUM1,85,-0.9418,91,-0.8437,203,0.55446,184,0.33459,176,0.38949
ENSG00000060688,SNRNP40,17,0.28018,11,-0.5718,22,0.73957,27,0.94666,9,-0.9751
ENSG00000121766,ZCCHC17,88,-0.6234,148,0.26808,127,-0.0045,115,-0.1596,140,0.21824
ENSG00000121769,FABP3,88,-0.7103,108,-0.3719,148,0.18379,208,0.71425,144,0.17044
ENSG00000162517,PEF1,63,-0.6997,90,-0.1047,120,0.41599,110,0.23341,98,0.06732
ENSG00000084636,COL16A1,30,0.13504,19,-0.6073,18,-0.7134,23,-0.3003,37,0.70394
ENSG00000121753,ADGRB2,209,-0.4618,216,-0.4053,376,0.58523,261,-0.0688,286,0.10302
ENSG00000184007,PTP4A2,114,-0.0680,142,0.33075,95,-0.3783,168,0.56902,108,-0.2047
ENSG00000121774,KHDRBS1,98,-0.2620,114,0.00493,133,0.27824,103,-0.1654,115,0.02204
ENSG00000121775,TMEM39B,9,-1.0279,17,-0.0813,31,1.07164,13,-0.4705,16,-0.1337
ENSG00000025800,KPNA6,36,-0.4607,33,-0.6076,58,0.34880,71,0.65033,50,0.08553
ENSG00000084652,TXLNA,11,-1.1185,26,0.25906,24,0.11071,28,0.31354,25,0.18038
ENSG00000160050,CCDC28B,23,0.43123,18,0.01889,13,-0.5088,12,-0.5671,19,0.14598
ENSG00000084623,EIF3I,84,-0.4154,122,0.23448,117,0.15459,139,0.42470,98,-0.1930
ENSG00000175130,MARCKSL1,260,0.83757,181,0.15408,125,-0.4827,98,-0.8118,149,-0.2378
ENSG00000160058,BSDC1,57,-0.2369,58,-0.2045,87,0.52272,74,0.19691,60,-0.1828
ENSG00000176261,ZBTB8OS,29,-0.2053,33,0.01489,36,0.15943,35,0.09529,32,-0.0246
ENSG00000162521,RBBP4,67,-0.5031,77,-0.2633,99,0.16689,87,-0.0564,104,0.34672
ENSG00000162522,KIAA1522,35,0.48331,31,0.26587,23,-0.2303,15,-0.8343,25,-0.1511
ENSG00000134684,YARS,65,-0.8398,90,-0.2956,153,0.65957,151,0.55879,102,-0.0981
ENSG00000160097,FNDC5,19,-0.6966,35,0.28299,22,-0.5367,61,1.17591,28,-0.0891
ENSG00000121905,HPCA,216,-0.4798,363,0.43421,266,-0.1231,395,0.52228,265,-0.1715
ENSG00000121900,TMEM54,82,0.29206,59,-0.2812,50,-0.5763,86,0.34149,75,0.15809
ENSG00000116514,RNF19B,18,-0.5087,24,-0.0439,33,0.50726,20,-0.3078,25,0.05683
ENSG00000004455,AK2,20,0.57353,16,0.18390,8,-1.0234,15,0.02589,15,-0.0291
ENSG00000142920,AZIN2,20,-0.7969,25,-0.4175,36,0.23864,30,-0.0585,39,0.50978
ENSG00000160094,ZNF362,15,-0.5872,27,0.44857,13,-0.7617,16,-0.4241,26,0.53660
ENSG00000134686,PHC2,47,-0.2984,50,-0.2106,54,-0.0538,78,0.51880,59,0.12680
ENSG00000163866,SMIM12,34,-0.8850,56,-0.0719,43,-0.5172,80,0.50830,74,0.57113
ENSG00000116544,DLGAP3,79,0.21785,63,-0.1837,93,0.52898,23,-1.6586,69,-0.0383
ENSG00000116560,SFPQ,111,-0.2672,124,-0.0709,119,-0.1485,133,0.04714,146,0.27555
ENSG00000146463,ZMYM4,32,-0.0934,18,-1.0604,62,1.12999,36,0.07596,29,-0.3553
ENSG00000142687,KIAA0319L,50,-0.3417,67,0.17573,60,-0.0180,79,0.41430,59,-0.0692
ENSG00000020129,NCDN,469,-0.9863,874,0.05694,1392,0.94001,566,-0.6287,819,-0.0747
ENSG00000126067,PSMB2,66,-0.9889,112,-0.1180,140,0.27155,131,0.13528,138,0.33505
ENSG00000142686,C1orf216,60,-1.0340,121,0.14669,185,0.96621,125,0.19055,91,-0.4183
ENSG00000092847,AGO1,27,0.10268,18,-0.5202,17,-0.6199,34,0.49171,29,0.36289
ENSG00000126070,AGO3,11,-0.7167,21,0.38987,12,-0.5107,18,0.07756,20,0.37130
ENSG00000116863,ADPRHL2,15,-0.6300,21,-0.0881,22,-0.0103,18,-0.3028,27,0.49333
ENSG00000054116,TRAPPC3,42,-0.5159,61,0.11722,47,-0.3305,51,-0.1825,70,0.46011
ENSG00000116871,MAP7D1,145,-0.4062,229,0.39682,212,0.25423,146,-0.3592,176,-0.0970
ENSG00000054118,THRAP3,55,-0.1077,67,0.24727,47,-0.3791,39,-0.6055,66,0.29845
ENSG00000196182,STK40,14,-0.2317,16,0.01040,11,-0.6732,20,0.39856,18,0.33693
ENSG00000181817,LSM10,29,-0.5421,44,0.17211,49,0.38043,60,0.66162,34,-0.3713
ENSG00000116885,OSCP1,17,-0.3439,9,-1.3279,29,0.63863,20,-0.0127,24,0.35624
ENSG00000116898,MRPS15,47,0.03086,40,-0.2748,53,0.23087,48,0.05145,46,-0.0286
ENSG00000163873,GRIK3,6,-1.7781,24,0.40930,11,-0.8426,51,1.65874,19,-0.0161
ENSG00000163875,MEAF6,69,-0.6819,87,-0.2986,122,0.29142,145,0.54965,109,0.12440
ENSG00000183317,EPHA10,14,-0.5019,19,-0.0629,26,0.54337,9,-1.1772,22,0.23420
ENSG00000185090,MANEAL,16,-1.4350,60,0.72481,35,-0.2385,43,0.10541,44,0.22127
ENSG00000197982,C1orf122,225,0.45327,225,0.45122,116,-0.7031,151,-0.2396,162,-0.1785
ENSG00000183431,SF3A3,29,-0.5143,17,-1.3482,41,0.05245,39,-0.0546,56,0.86492
ENSG00000183520,UTP11,26,-0.2316,30,-0.0307,29,-0.0502,31,0.04649,33,0.17349
ENSG00000116954,RRAGC,24,-0.7206,23,-0.8425,46,0.38504,31,-0.2867,49,0.63530
ENSG00000174574,AKIRIN1,47,-0.7761,66,-0.2026,84,0.22254,115,0.69915,77,0.08710
ENSG00000168653,NDUFS5,587,-0.2985,867,0.39246,745,0.11664,617,-0.1935,665,-0.1074
ENSG00000127603,MACF1,94,0.03961,94,0.03842,81,-0.2182,126,0.51940,86,-0.1335
ENSG00000090621,PABPC4,53,0.21248,43,-0.1671,54,0.21677,37,-0.3800,46,-0.0641
ENSG00000116983,HPCAL4,283,-0.4446,416,0.22649,474,0.46732,283,-0.4037,351,-0.0984
ENSG00000084072,PPIE,31,-0.2935,47,0.43768,30,-0.3274,50,0.50922,34,-0.1488
ENSG00000131236,CAP1,96,-0.6449,110,-0.4142,157,0.20232,156,0.17049,165,0.38815
ENSG00000131238,PPT1,99,-0.2877,99,-0.2758,163,0.61705,129,0.16325,108,-0.1752
ENSG00000259943,AL050341.2,14,-0.6258,14,-0.5463,17,-0.3177,18,-0.1722,28,0.86059
ENSG00000084073,ZMPSTE24,16,-0.8559,18,-0.6992,32,0.25132,32,0.23267,35,0.55241
ENSG00000084070,SMAP2,84,-0.8518,137,-0.0219,166,0.31925,136,-0.0320,155,0.25023
ENSG00000117016,RIMS3,113,-0.6458,128,-0.4323,98,-0.8705,181,0.15101,238,0.95713
ENSG00000066136,NFYC,29,-0.7309,47,0.08404,50,0.17185,56,0.34502,47,0.09101
ENSG00000179862,CITED4,23,-0.3079,26,-0.1335,29,0.08513,32,0.20825,30,0.13178
ENSG00000171793,CTPS1,11,-0.4912,21,0.74454,17,0.27906,18,0.33307,10,-0.6427
ENSG00000127124,HIVEP3,17,-0.3581,23,0.22979,14,-0.6310,36,0.89234,20,-0.0009
ENSG00000198815,FOXJ3,37,-0.6792,33,-0.8753,75,0.55701,77,0.52353,61,0.21045
ENSG00000177181,RIMKLA,20,-0.5027,26,-0.0077,16,-0.7996,31,0.23277,34,0.60523
ENSG00000127125,PPCS,56,-0.2294,50,-0.4192,76,0.33150,59,-0.1154,69,0.19304
ENSG00000171960,PPIH,16,0.32142,13,-0.0479,11,-0.3674,26,1.06045,11,-0.5108
ENSG00000065978,YBX1,87,0.67655,86,0.65428,57,-0.0933,25,-1.3402,45,-0.6392
ENSG00000164008,C1orf50,23,0.25161,20,0.01600,19,-0.0474,22,0.19992,18,-0.2319
ENSG00000177868,SVBP,32,-0.1280,37,0.13245,34,0.00850,41,0.29824,32,-0.1306
ENSG00000117394,SLC2A1,57,0.79319,36,-0.0607,35,-0.0793,28,-0.4521,31,-0.3846
ENSG00000117395,EBNA1BP2,62,-0.5976,116,0.49066,86,-0.0611,78,-0.1965,92,0.08973
ENSG00000066322,ELOVL1,24,1.18228,19,0.71567,6,-1.1025,9,-0.5992,8,-0.8423
ENSG00000159479,MED8,10,-1.0778,21,0.04159,32,0.81135,19,-0.0926,20,-0.0710
ENSG00000178922,HYI,31,1.03890,17,-0.0620,10,-0.9107,17,-0.0960,16,-0.2817
ENSG00000142949,PTPRF,110,-0.4322,114,-0.3723,242,1.01652,138,-0.0393,122,-0.3250
ENSG00000066135,KDM4A,12,-0.3301,12,-0.3089,23,0.83280,20,0.47979,12,-0.4723
ENSG00000126091,ST3GAL3,36,-0.4612,37,-0.4105,69,0.68074,34,-0.5086,51,0.15869
ENSG00000117408,IPO13,46,-0.1061,59,0.32934,59,0.32176,35,-0.5230,44,-0.2263
ENSG00000117410,ATP6V0B,267,-0.9826,316,-0.7122,655,0.56561,566,0.26001,562,0.37148
ENSG00000117411,B4GALT2,76,0.21215,69,0.04855,61,-0.1575,67,-0.0174,65,-0.0708
ENSG00000159214,CCDC24,21,0.03703,25,0.37610,14,-0.5751,32,0.72591,18,-0.2883
