Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to8,Feature log2 fold change topic 4to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000008128,CDK11A,19,1.13741,9,-0.2268,7,-0.7016,15,0.61309,8,-0.4592
ENSG00000215790,SLC35E2A,26,0.34184,21,-0.0072,21,-0.0416,17,-0.3212,20,-0.0991
ENSG00000008130,NADK,22,-0.0316,37,0.78671,24,0.11066,23,0.04542,16,-0.6066
ENSG00000078369,GNB1,370,-0.1627,463,0.20319,452,0.27185,333,-0.3098,362,-0.2218
ENSG00000187730,GABRD,79,-0.9195,136,-0.0098,219,1.45875,43,-1.7562,73,-1.1220
ENSG00000067606,PRKCZ,240,0.44168,179,-0.0665,203,0.20945,140,-0.4488,143,-0.4906
ENSG00000162585,FAAP20,61,0.75048,19,-1.1142,28,-0.7947,57,0.55981,48,0.34960
ENSG00000157933,SKI,28,-0.2081,32,0.00965,33,0.09288,35,0.15298,31,-0.0435
ENSG00000157916,RER1,52,-0.2485,42,-0.5517,73,0.49954,60,-0.0080,51,-0.3077
ENSG00000157911,PEX10,16,-0.5125,23,0.12692,24,0.22842,21,-0.0198,21,-0.0087
ENSG00000149527,PLCH2,15,0.30785,2,-2.4484,17,0.79353,8,-0.6209,9,-0.6404
ENSG00000157881,PANK4,16,-0.0663,27,0.80825,17,0.17098,10,-0.7561,13,-0.3660
ENSG00000197921,HES5,23,0.91494,7,-1.0134,8,-1.0494,3,-2.0413,23,1.02942
ENSG00000157870,PRXL2B,67,-0.0701,66,-0.1023,86,0.55476,57,-0.3235,51,-0.5815
ENSG00000177133,PRDM16-DT,10,-0.4847,10,-0.5016,5,-1.9660,11,-0.3141,34,2.12144
ENSG00000158109,TPRG1L,183,0.25926,197,0.35195,179,0.32593,107,-0.5969,110,-0.6640
ENSG00000116213,WRAP73,10,-0.1801,16,0.57586,14,0.68383,8,-0.3970,5,-1.1356
ENSG00000130764,LRRC47,85,0.31846,59,-0.2715,85,0.50534,63,-0.1700,43,-0.8934
ENSG00000116198,CEP104,22,1.10735,12,-0.0332,8,-0.9149,14,0.16252,12,0.00129
ENSG00000198912,C1orf174,16,0.72845,14,0.44979,10,-0.0298,11,0.10773,6,-1.0365
ENSG00000196581,AJAP1,38,-0.2805,55,0.30861,61,0.85426,20,-1.2486,28,-0.8396
ENSG00000069424,KCNAB2,152,-0.4658,262,0.42669,246,0.55915,103,-1.0224,167,-0.3351
ENSG00000116254,CHD5,189,0.81825,87,-0.5129,119,-0.0422,69,-0.8614,107,-0.2227
ENSG00000116251,RPL22,381,-0.4717,452,-0.1729,420,-0.4261,915,0.96972,608,0.37023
ENSG00000116237,ICMT,26,-0.4193,41,0.31548,41,0.52146,28,-0.2535,25,-0.4960
ENSG00000158292,GPR153,11,-0.3601,16,0.26800,17,0.62109,12,-0.1568,9,-0.7269
ENSG00000097021,ACOT7,279,-0.1017,280,-0.0856,415,0.97942,145,-1.0891,163,-1.0551
ENSG00000171680,PLEKHG5,19,-0.4972,37,0.56892,34,0.76059,13,-1.0685,17,-0.7233
ENSG00000162408,NOL9,32,0.36070,21,-0.3462,23,-0.3403,45,0.87472,24,-0.1962
ENSG00000162413,KLHL21,22,-0.1542,20,-0.3023,26,0.20353,31,0.38053,22,-0.2253
ENSG00000116273,PHF13,17,0.17599,13,-0.1760,17,0.23388,15,0.00819,12,-0.4066
ENSG00000041988,THAP3,23,0.25993,24,0.32521,21,0.23637,16,-0.2546,14,-0.6343
ENSG00000007923,DNAJC11,27,0.15123,25,-0.0118,27,0.21200,12,-1.1336,24,-0.0543
ENSG00000171735,CAMTA1,245,1.01527,147,0.05168,111,-0.5636,137,-0.0528,125,-0.2442
ENSG00000049245,VAMP3,20,-0.2272,16,-0.5779,14,-1.0853,65,1.75771,28,0.42854
ENSG00000049246,PER3,21,-0.0577,20,-0.1713,22,-0.0464,31,0.52755,21,-0.0828
ENSG00000116288,PARK7,301,-0.3757,402,0.10505,396,0.13146,337,-0.1746,397,0.10481
ENSG00000116285,ERRFI1,28,0.52673,27,0.43643,19,-0.2192,29,0.51669,14,-0.6881
ENSG00000162426,SLC45A1,29,0.30414,25,0.03871,31,0.70689,10,-1.3492,14,-0.9888
ENSG00000142599,RERE,111,0.28562,117,0.34337,90,-0.1080,100,0.09008,81,-0.2939
ENSG00000074800,ENO1,568,-0.2651,868,0.42870,768,0.38451,519,-0.3827,532,-0.4096
ENSG00000142583,SLC2A5,10,0.03229,7,-0.4473,6,-0.8340,16,0.85147,13,0.63265
ENSG00000171612,SLC25A33,43,0.42306,29,-0.2261,24,-0.7880,49,0.58720,41,0.38759
ENSG00000188807,TMEM201,23,1.54121,7,-0.5363,8,-0.5965,4,-1.4321,9,-0.2437
ENSG00000171603,CLSTN1,617,-0.0358,560,-0.1837,869,0.92170,380,-0.7796,346,-1.0662
ENSG00000178585,CTNNBIP1,49,1.34298,15,-0.7375,15,-1.0379,18,-0.4565,28,0.30361
ENSG00000162441,LZIC,28,0.10235,24,-0.1446,24,-0.1718,26,0.02131,29,0.18463
ENSG00000130939,UBE4B,42,0.44391,27,-0.2685,36,0.26138,34,0.08245,22,-0.7345
ENSG00000054523,KIF1B,287,0.54463,160,-0.4309,194,-0.2044,231,0.14162,201,-0.1005
ENSG00000142657,PGD,53,0.63562,19,-1.0059,33,-0.2441,52,0.54650,33,-0.1892
ENSG00000175279,CENPS,13,0.13663,13,0.05682,14,0.29826,5,-1.2420,11,-0.1685
ENSG00000241563,CORT,422,4.36566,6,-3.7661,13,-3.3452,43,-1.0655,28,-1.9140
ENSG00000160049,DFFA,36,0.35675,27,-0.1231,24,-0.4516,57,1.05896,26,-0.2686
ENSG00000142655,PEX14,30,0.40138,22,-0.1453,26,0.17690,26,0.14261,17,-0.6307
ENSG00000120948,TARDBP,55,-0.0882,51,-0.2034,69,0.43737,66,0.19011,42,-0.5750
ENSG00000116649,SRM,76,-0.3673,78,-0.2931,123,0.73119,74,-0.3754,71,-0.5189
ENSG00000171824,EXOSC10,22,0.33962,14,-0.4363,24,0.73221,11,-0.7419,10,-1.0236
ENSG00000198793,MTOR,34,-0.1284,36,-0.0011,44,0.50262,26,-0.4872,29,-0.4315
ENSG00000116661,FBXO2,200,-0.3153,156,-0.6645,253,0.13221,258,0.10969,268,0.21421
ENSG00000132879,FBXO44,120,-0.2448,171,0.33792,183,0.77176,112,-0.3314,75,-1.0862
ENSG00000116670,MAD2L2,14,-0.8444,35,0.59775,32,0.77896,10,-1.2717,18,-0.4895
ENSG00000177674,AGTRAP,11,0.15428,7,-0.3772,4,-1.6796,32,1.99812,12,0.38861
ENSG00000177000,MTHFR,26,1.36598,10,-0.3408,9,-0.6116,9,-0.4745,10,-0.3013
ENSG00000011021,CLCN6,73,0.93382,27,-0.7317,50,0.32965,27,-0.7428,25,-0.9506
ENSG00000116685,KIAA2013,35,0.35326,20,-0.5097,32,0.33532,33,0.23984,19,-0.7488
ENSG00000083444,PLOD1,18,0.38759,9,-0.7088,14,-0.0485,27,0.97588,10,-0.6051
ENSG00000116688,MFN2,94,0.31978,82,0.06901,91,0.37333,53,-0.6108,55,-0.6380
ENSG00000116691,MIIP,13,-0.1372,11,-0.4469,18,0.58014,14,0.00866,10,-0.5695
ENSG00000028137,TNFRSF1B,11,-1.4580,18,-0.6034,6,-2.8461,185,3.77579,25,-0.1523
ENSG00000048707,VPS13D,62,0.68104,25,-0.8003,44,0.11669,37,-0.2271,34,-0.4234
ENSG00000162496,DHRS3,25,0.74613,8,-0.9718,9,-1.2113,32,1.07324,20,0.41840
ENSG00000116731,PRDM2,75,-0.0339,91,0.26807,88,0.37758,60,-0.3830,58,-0.4937
ENSG00000189337,KAZN,81,1.79794,12,-1.5162,23,-0.7815,43,0.43807,20,-0.8528
ENSG00000142634,EFHD2,249,2.41321,13,-2.6376,33,-1.7657,109,0.49366,58,-0.5762
ENSG00000116138,DNAJC16,29,0.63814,25,0.32293,24,0.47989,10,-1.0239,9,-1.3076
ENSG00000197312,DDI2,28,0.49245,12,-0.7903,25,0.50567,16,-0.3608,13,-0.7981
ENSG00000116786,PLEKHM2,49,0.00300,52,0.08935,46,-0.1401,45,-0.1519,54,0.19334
ENSG00000065526,SPEN,42,0.64171,22,-0.4232,22,-0.6626,51,0.89942,28,-0.0562
ENSG00000116809,ZBTB17,11,-0.2031,10,-0.3080,14,0.31633,13,0.12062,11,-0.2167
ENSG00000185519,FAM131C,33,1.62969,8,-0.8322,7,-1.3304,10,-0.5535,17,0.29034
ENSG00000037637,FBXO42,24,0.43162,12,-0.6004,24,0.69604,10,-0.9357,11,-0.9267
ENSG00000055070,SZRD1,20,0.04235,18,-0.1753,15,-0.5848,25,0.33023,26,0.56025
ENSG00000157191,NECAP2,22,0.99658,10,-0.4000,7,-1.0821,19,0.67938,14,0.15705
ENSG00000058453,CROCC,16,0.99263,8,-0.2417,10,0.34066,1,-3.1529,6,-0.8194
ENSG00000159363,ATP13A2,150,0.68846,51,-1.0502,120,0.43132,54,-0.9852,73,-0.6059
ENSG00000117118,SDHB,82,-0.1388,110,0.34995,100,0.31341,76,-0.2372,71,-0.4095
ENSG00000117115,PADI2,31,-0.3147,27,-0.5059,17,-1.5467,99,1.61011,58,0.92510
ENSG00000179051,RCC2,16,0.54495,11,-0.1038,10,-0.2912,6,-0.8862,13,0.22722
ENSG00000074964,ARHGEF10L,9,0.18701,10,0.22733,6,-0.7623,6,-0.4459,12,0.75157
ENSG00000117154,IGSF21,82,0.72227,39,-0.5260,63,0.33876,35,-0.6735,36,-0.7649
ENSG00000159423,ALDH4A1,16,-0.6168,14,-0.7815,22,-0.1298,14,-0.7411,36,0.92663
ENSG00000169991,IFFO2,13,0.60551,13,0.51781,6,-0.8527,22,1.37632,6,-0.6306
ENSG00000127463,EMC1,36,0.58622,25,-0.0642,28,0.17659,23,-0.1650,17,-0.7294
ENSG00000053372,MRTO4,47,0.14674,33,-0.3943,53,0.56295,37,-0.2429,29,-0.7101
ENSG00000053371,AKR7A2,47,-0.0768,48,-0.0155,47,-0.1113,48,-0.0148,54,0.20449
ENSG00000077549,CAPZB,191,-0.2911,203,-0.1732,270,0.46517,218,-0.0620,189,-0.3412
ENSG00000173436,MICOS10,247,-0.4086,333,0.08934,292,-0.1785,272,-0.2278,405,0.51010
ENSG00000158747,NBL1,230,0.52315,136,-0.3593,168,-0.0530,162,-0.0890,154,-0.2068
ENSG00000169914,OTUD3,21,0.12891,31,0.70880,22,0.21117,7,-1.5360,16,-0.3424
ENSG00000162545,CAMK2N1,756,-1.2995,2761,0.80559,2178,0.72236,740,-1.2512,1409,-0.3265
ENSG00000090432,MUL1,29,0.54680,15,-0.5769,23,0.19655,20,-0.0958,16,-0.5263
ENSG00000183114,FAM43B,33,2.85137,7,-0.2829,2,-2.2462,7,-0.2715,5,-1.0476
ENSG00000158828,PINK1,346,0.17350,286,-0.1404,329,0.12629,295,-0.0919,279,-0.2152
ENSG00000244038,DDOST,20,-0.2158,19,-0.2809,30,0.72537,19,-0.2420,15,-0.6964
ENSG00000117245,KIF17,28,0.96354,2,-2.6870,21,0.67272,4,-2.1344,10,-0.8861
ENSG00000189410,SH2D5,30,-0.2931,43,0.31698,48,0.84717,20,-0.8832,21,-0.9332
ENSG00000127483,HP1BP3,199,0.51787,133,-0.1717,147,-0.0252,186,0.35057,111,-0.5408
ENSG00000075151,EIF4G3,120,0.06551,119,0.04566,136,0.42067,92,-0.3674,86,-0.5396
ENSG00000117298,ECE1,10,-0.6952,9,-0.9121,11,-0.8134,75,2.79181,11,-0.7163
ENSG00000076864,RAP1GAP,150,0.29822,95,-0.4475,175,0.92706,67,-0.9731,60,-1.2905
ENSG00000090686,USP48,49,0.47487,32,-0.2292,36,-0.0753,52,0.51093,29,-0.4901
ENSG00000070831,CDC42,288,0.53081,167,-0.3892,227,0.14857,256,0.28027,145,-0.7066
ENSG00000173372,C1QA,37,-0.4856,35,-0.5308,10,-2.8496,273,3.20119,54,0.15217
ENSG00000159189,C1QC,27,-0.8573,58,0.38229,13,-2.3616,228,2.93396,48,0.09600
ENSG00000173369,C1QB,50,-0.7748,80,0.01294,27,-2.1143,341,2.59701,101,0.46329
ENSG00000004487,KDM1A,49,0.05681,68,0.55862,51,0.17263,42,-0.1979,36,-0.5044
ENSG00000169641,LUZP1,45,0.60070,29,-0.1882,36,0.31252,10,-1.7202,25,-0.4470
ENSG00000125944,HNRNPR,123,0.35690,98,-0.0411,112,0.29020,90,-0.1629,70,-0.6662
ENSG00000125945,ZNF436,27,-0.0631,37,0.45851,41,1.12938,6,-2.2119,11,-1.5969
ENSG00000204219,TCEA3,15,0.67148,3,-1.6912,4,-1.8904,39,2.28624,11,0.09306
ENSG00000117318,ID3,7,-1.9658,3,-2.9330,2,-3.8727,216,4.92931,15,-0.8257
ENSG00000142676,RPL11,303,-0.4042,384,-0.0035,273,-0.7648,999,1.60378,420,0.17279
ENSG00000011007,ELOA,28,0.99170,6,-1.3931,17,0.10684,12,-0.4003,12,-0.5755
ENSG00000057757,PITHD1,212,0.35323,159,-0.1383,213,0.53796,138,-0.3566,101,-0.9770
ENSG00000011009,LYPLA2,27,-0.6528,39,-0.0421,60,1.13005,33,-0.3351,21,-1.1713
ENSG00000117308,GALE,13,-0.3980,19,0.22209,25,1.22099,4,-2.0968,8,-1.1992
ENSG00000117305,HMGCL,14,-0.1897,13,-0.2559,14,-0.1454,8,-1.0318,21,0.66077
ENSG00000179163,FUCA1,14,0.16411,10,-0.3964,16,0.55537,14,0.14655,7,-0.9314
ENSG00000189266,PNRC2,56,0.22085,56,0.18746,42,-0.3813,86,0.87492,44,-0.2401
ENSG00000188529,SRSF10,53,0.15058,45,-0.1120,54,0.28843,46,-0.0703,37,-0.4592
ENSG00000001461,NIPAL3,106,1.45718,29,-0.8097,43,-0.3511,47,-0.0692,31,-0.8341
ENSG00000133226,SRRM1,85,0.42595,51,-0.4054,56,-0.3953,95,0.56079,68,0.02905
ENSG00000169504,CLIC4,30,-0.0668,1,-4.2541,8,-2.5729,205,3.67358,24,-0.5003
ENSG00000117614,SYF2,66,-0.0760,75,0.13634,72,0.11390,95,0.52416,54,-0.4323
ENSG00000117616,RSRP1,33,-0.0251,101,1.84354,33,-0.0734,24,-0.5562,17,-1.1939
ENSG00000183726,TMEM50A,64,-0.3718,102,0.38970,90,0.32147,108,0.47571,56,-0.6435
ENSG00000204178,MACO1,33,0.28245,28,0.02164,27,-0.0787,54,1.08078,17,-0.8603
ENSG00000117643,MAN1C1,15,-1.5544,66,0.84527,60,1.31384,10,-2.0036,21,-1.1078
ENSG00000162430,SELENON,31,0.08018,34,0.24622,27,-0.2084,45,0.65643,26,-0.2343
ENSG00000117640,MTFR1L,71,0.28894,60,-0.0193,61,0.00071,85,0.54687,45,-0.5324
ENSG00000117632,STMN1,1499,0.04919,503,-1.6183,1928,0.78222,967,-0.6346,1126,-0.4769
ENSG00000158008,EXTL1,33,-0.1672,43,0.27119,44,0.53878,13,-1.5560,30,-0.3202
ENSG00000142684,ZNF593,30,-0.3822,43,0.19990,38,0.01325,37,-0.0099,41,0.15522
ENSG00000142669,SH3BGRL3,278,0.26791,246,0.04594,230,-0.0983,328,0.50496,197,-0.3644
ENSG00000158062,UBXN11,10,-1.1286,17,-0.3910,30,0.94986,15,-0.4875,18,-0.3205
ENSG00000117682,DHDDS,24,0.57887,14,-0.2646,17,-0.0457,16,-0.0875,14,-0.3106
ENSG00000198830,HMGN2,141,0.20533,120,-0.0742,104,-0.4289,211,0.83763,124,-0.0252
ENSG00000117713,ARID1A,73,0.34924,58,-0.0562,64,0.17035,75,0.35004,40,-0.7325
ENSG00000204160,ZDHHC18,26,0.38973,20,-0.0834,25,0.48595,11,-0.9617,14,-0.7162
ENSG00000142751,GPN2,15,-0.0616,14,-0.1392,20,0.67553,3,-2.1335,13,-0.3287
ENSG00000090273,NUDC,156,-0.3738,272,0.53760,202,0.08991,205,0.08183,179,-0.1578
ENSG00000253368,TRNP1,56,0.21223,38,-0.4305,60,0.49514,38,-0.4233,37,-0.5684
ENSG00000090020,SLC9A1,23,0.37350,20,0.12776,22,0.35838,19,0.00267,11,-1.0054
ENSG00000142784,WDTC1,39,0.75376,27,0.07887,19,-0.6523,17,-0.6151,30,0.30521
ENSG00000186501,TMEM222,69,0.30898,54,-0.0924,67,0.38802,32,-0.8736,44,-0.4839
ENSG00000158195,WASF2,21,-0.0837,9,-1.2580,12,-1.2019,74,2.05982,26,0.31304
ENSG00000126705,AHDC1,64,0.83634,30,-0.4671,46,0.35027,36,-0.1934,20,-1.2235
ENSG00000126709,IFI6,231,1.16460,52,-1.3125,63,-1.4088,352,1.76243,103,-0.3489
ENSG00000009780,FAM76A,15,0.10689,8,-0.8267,18,0.65755,9,-0.5813,10,-0.5356
ENSG00000117758,STX12,132,0.68317,36,-1.4145,88,-0.0661,121,0.45853,75,-0.3497
ENSG00000117751,PPP1R8,38,0.48714,34,0.23685,29,0.00524,33,0.22550,20,-0.6959
ENSG00000130775,THEMIS2,7,-0.5002,2,-1.8964,4,-1.8022,48,2.92800,10,0.17446
ENSG00000117748,RPA2,52,0.03977,53,0.05021,66,0.69290,38,-0.4596,30,-0.9686
ENSG00000126698,DNAJC8,131,-0.2833,144,-0.1087,180,0.39425,131,-0.2573,140,-0.1892
ENSG00000130770,ATP5IF1,349,-0.9521,681,0.14731,813,0.75305,349,-0.8867,550,-0.2265
ENSG00000204138,PHACTR4,14,0.55044,9,-0.0796,8,-0.5929,13,0.40767,11,0.11503
ENSG00000180098,TRNAU1AP,18,0.08521,15,-0.1808,16,-0.1737,37,1.24675,13,-0.5490
ENSG00000197989,SNHG12,12,-0.1357,17,0.40550,11,-0.4704,27,1.14113,12,-0.1473
ENSG00000120656,TAF12,12,-0.1692,14,0.02226,15,0.27172,17,0.33432,11,-0.4276
ENSG00000198492,YTHDF2,96,0.53793,50,-0.5564,87,0.54587,65,-0.1311,37,-1.1623
ENSG00000116350,SRSF4,42,0.07783,32,-0.3483,39,-0.0566,49,0.30711,41,0.00618
ENSG00000116353,MECR,25,-0.3886,27,-0.2556,40,0.63902,17,-0.9751,28,-0.1916
ENSG00000060656,PTPRU,35,2.94194,4,-1.1218,2,-2.3016,10,0.05731,5,-1.0205
ENSG00000162511,LAPTM5,54,-0.1701,47,-0.3685,23,-1.8431,222,2.29662,74,0.42069
ENSG00000162512,SDC3,180,0.21910,133,-0.2820,169,0.14779,172,0.12491,133,-0.3295
ENSG00000134644,PUM1,201,0.98838,90,-0.4140,127,0.18258,106,-0.1685,61,-1.1637
ENSG00000060688,SNRNP40,15,-0.2058,14,-0.2962,23,0.81560,6,-1.5582,13,-0.4478
ENSG00000121766,ZCCHC17,120,-0.3812,146,-0.0487,205,0.88869,90,-0.7855,100,-0.7378
ENSG00000121769,FABP3,137,-0.0821,98,-0.5932,188,0.75187,75,-0.9814,111,-0.4678
ENSG00000162517,PEF1,62,-0.4871,105,0.38215,109,0.77643,68,-0.2932,49,-0.9189
ENSG00000084636,COL16A1,29,0.32338,18,-0.4871,26,0.13184,32,0.42047,18,-0.4936
ENSG00000121753,ADGRB2,161,-0.1960,212,0.25579,232,0.69543,120,-0.6264,116,-0.7912
ENSG00000184007,PTP4A2,150,-0.0352,104,-0.5944,145,-0.1178,288,1.03275,138,-0.1900
ENSG00000121774,KHDRBS1,139,0.36688,115,0.02920,123,0.22444,85,-0.4361,87,-0.4862
ENSG00000121775,TMEM39B,14,0.34606,16,0.53236,14,0.47762,3,-2.0555,7,-0.7960
ENSG00000025800,KPNA6,80,0.90970,43,-0.1856,48,-0.0127,39,-0.3393,33,-0.6892
ENSG00000084652,TXLNA,13,-0.4164,20,0.23349,17,0.03011,30,0.89139,14,-0.3521
ENSG00000160050,CCDC28B,17,0.02613,29,0.88381,12,-0.7180,11,-0.5717,22,0.54199
ENSG00000084623,EIF3I,92,-0.1875,119,0.22436,112,0.20273,130,0.36822,82,-0.4293
ENSG00000175130,MARCKSL1,273,0.68154,88,-1.1525,108,-1.1719,296,0.73977,259,0.66218
ENSG00000160058,BSDC1,61,0.11554,73,0.38220,61,0.15813,59,0.04709,43,-0.5391
ENSG00000160062,ZBTB8A,15,0.74173,11,0.22684,10,0.08378,6,-0.6753,6,-0.7178
ENSG00000176261,ZBTB8OS,38,-0.2184,58,0.44536,41,-0.1208,59,0.49099,41,-0.1305
ENSG00000162521,RBBP4,98,0.25514,79,-0.1164,86,0.03796,84,-0.0089,76,-0.2076
ENSG00000162522,KIAA1522,9,-1.2441,25,0.39784,20,0.14088,12,-0.7227,25,0.51333
ENSG00000134684,YARS,97,0.05143,64,-0.5864,124,0.74956,42,-1.2130,71,-0.5271
ENSG00000116497,S100PBP,18,0.71993,12,-0.0118,10,-0.4674,18,0.64143,10,-0.3733
ENSG00000160097,FNDC5,31,0.61136,7,-1.7121,23,0.12080,22,0.01114,19,-0.2587
ENSG00000121905,HPCA,213,-0.3602,231,-0.2038,372,0.99934,149,-0.8707,165,-0.8446
ENSG00000121900,TMEM54,46,0.01408,27,-0.8137,47,0.03803,67,0.59293,44,-0.0849
ENSG00000116514,RNF19B,26,-0.0064,32,0.33741,30,0.35948,31,0.27617,16,-0.8775
ENSG00000004455,AK2,22,0.33162,14,-0.4114,12,-0.8104,39,1.25764,19,0.12782
ENSG00000142920,AZIN2,26,0.56283,17,-0.2177,24,0.62427,12,-0.6763,9,-1.2681
ENSG00000160094,ZNF362,17,0.44651,8,-0.7668,13,-0.0130,11,-0.2573,13,-0.0003
ENSG00000134686,PHC2,69,0.33649,32,-0.8858,53,-0.1752,94,0.79822,52,-0.1786
ENSG00000163866,SMIM12,53,0.01733,38,-0.5011,61,0.42415,50,-0.0687,42,-0.3956
ENSG00000116544,DLGAP3,37,-0.4443,87,0.97116,47,-0.0500,25,-1.0028,52,0.14215
ENSG00000163867,ZMYM6,18,0.49463,17,0.27342,16,0.34503,10,-0.4197,8,-1.0121
ENSG00000116560,SFPQ,168,0.19083,153,0.02530,152,0.01833,219,0.59847,114,-0.5190
ENSG00000146463,ZMYM4,32,-0.1681,45,0.40317,32,-0.2326,47,0.46948,35,0.01307
ENSG00000142687,KIAA0319L,62,0.25250,35,-0.6526,68,0.60670,30,-0.8865,40,-0.5538
ENSG00000020129,NCDN,361,-0.6664,1178,1.29469,723,0.83341,197,-1.5295,248,-1.3562
ENSG00000126067,PSMB2,142,0.12430,113,-0.2470,165,0.60665,118,-0.1799,82,-0.8662
ENSG00000142686,C1orf216,91,0.12100,123,0.59665,102,0.47111,59,-0.5727,49,-0.9705
ENSG00000092847,AGO1,25,0.66542,18,0.02691,16,-0.1188,10,-0.7754,16,-0.1812
ENSG00000126070,AGO3,22,0.66387,15,-0.0377,14,-0.2121,12,-0.3473,14,-0.1590
ENSG00000116863,ADPRHL2,17,-0.0508,22,0.28939,21,0.46260,10,-0.8368,14,-0.4725
ENSG00000054116,TRAPPC3,48,-0.1977,45,-0.2754,72,0.77077,34,-0.6958,39,-0.6102
ENSG00000116871,MAP7D1,111,-0.5396,246,0.75938,177,0.36030,141,-0.1324,117,-0.4997
ENSG00000054118,THRAP3,80,0.60371,57,0.00747,54,-0.1378,80,0.54089,39,-0.6749
ENSG00000196182,STK40,16,0.01535,21,0.47934,13,-0.4238,24,0.64147,16,-0.0175
ENSG00000181817,LSM10,33,-0.3997,26,-0.7166,52,0.59282,30,-0.5073,40,-0.1000
ENSG00000116885,OSCP1,14,-0.6337,19,-0.0857,31,1.29976,6,-1.8519,11,-0.9764
ENSG00000116898,MRPS15,43,-0.3321,54,0.04436,61,0.39669,41,-0.3673,47,-0.1850
ENSG00000163873,GRIK3,62,3.34033,3,-2.4148,5,-2.0934,18,0.22934,4,-2.0593
ENSG00000163875,MEAF6,114,0.30925,96,0.01231,112,0.42381,70,-0.4719,63,-0.7378
ENSG00000163877,SNIP1,16,0.45674,18,0.54652,13,0.10095,15,0.31237,6,-1.1295
ENSG00000134697,GNL2,16,0.10546,12,-0.3412,12,-0.5758,25,0.76901,18,0.34791
ENSG00000116922,C1orf109,15,0.21138,10,-0.3232,17,0.72096,11,-0.2961,7,-1.0999
ENSG00000183317,EPHA10,7,-1.0215,33,1.45668,19,0.89481,7,-0.9799,5,-1.6486
ENSG00000185090,MANEAL,25,-0.7342,26,-0.6039,61,1.45623,21,-0.9323,20,-1.1753
ENSG00000196449,YRDC,11,-0.4400,8,-0.8117,20,0.94814,17,0.20957,8,-0.9442
ENSG00000197982,C1orf122,139,-0.4801,121,-0.6619,190,0.06092,206,0.16930,223,0.36638
ENSG00000183431,SF3A3,33,-0.1779,45,0.30447,41,0.30528,36,-0.0291,29,-0.4312
