Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000171680,PLEKHG5,1,-3.8971,6,-1.8456,36,1.06883,27,0.53502,28,0.54424,5,-2.0329
ENSG00000162408,NOL9,21,-0.4561,29,0.06244,30,0.11999,31,0.23265,26,-0.1182,26,-0.1465
ENSG00000162413,KLHL21,13,-1.2365,27,-0.1468,47,0.88547,24,-0.3853,16,-1.0392,43,0.69645
ENSG00000116273,PHF13,22,0.58751,20,0.43573,24,0.83385,15,-0.0509,5,-1.6868,11,-0.4955
ENSG00000041988,THAP3,18,-0.1418,26,0.44476,18,-0.1491,24,0.38425,18,-0.1709,15,-0.4890
ENSG00000007923,DNAJC11,45,0.49987,31,-0.0914,32,-0.0223,38,0.29757,25,-0.4449,28,-0.2773
ENSG00000171735,CAMTA1,120,-0.2388,189,0.48524,141,0.01661,153,0.18918,124,-0.2091,119,-0.2788
ENSG00000049245,VAMP3,14,-1.3052,29,-0.2428,10,-1.8449,13,-1.6389,24,-0.5747,110,2.68088
ENSG00000049246,PER3,26,0.10821,34,0.51599,16,-0.6663,18,-0.5866,35,0.65251,27,0.13424
ENSG00000116288,PARK7,438,0.21232,338,-0.1971,477,0.39491,320,-0.3460,395,0.05166,369,-0.0691
ENSG00000116285,ERRFI1,13,-0.6621,26,0.32244,18,-0.2126,31,0.87975,10,-1.1948,20,-0.1000
ENSG00000162426,SLC45A1,21,-0.7598,25,-0.5110,59,0.95167,48,0.65124,24,-0.6674,16,-1.2644
ENSG00000142599,RERE,122,0.34038,99,0.01778,92,-0.1134,103,0.09289,92,-0.1132,91,-0.1262
ENSG00000074800,ENO1,467,-0.4905,564,-0.1967,777,0.35439,674,0.10801,669,0.08391,539,-0.2922
ENSG00000171612,SLC25A33,25,-0.3036,18,-0.7499,30,-0.0259,32,0.12863,36,0.34004,30,-0.0229
ENSG00000188807,TMEM201,5,-1.4549,18,0.47741,11,-0.2668,22,1.09214,7,-0.9997,10,-0.4203
ENSG00000171603,CLSTN1,412,-0.4237,411,-0.4284,932,1.04157,618,0.27364,425,-0.4101,274,-1.1261
ENSG00000178585,CTNNBIP1,40,0.10963,53,0.55977,28,-0.4522,29,-0.4425,45,0.33332,41,0.16462
ENSG00000162441,LZIC,20,-0.6868,41,0.43240,25,-0.3853,27,-0.2566,25,-0.3571,50,0.88144
ENSG00000130939,UBE4B,30,-0.1233,53,0.77824,38,0.24349,33,0.01008,29,-0.2046,22,-0.6314
ENSG00000054523,KIF1B,210,-0.2533,355,0.58326,220,-0.2062,253,0.04227,232,-0.1112,247,-0.0022
ENSG00000142657,PGD,48,0.07972,59,0.40965,55,0.31367,46,0.00934,34,-0.5263,41,-0.1897
ENSG00000241563,CORT,2509,5.05693,32,-3.3274,52,-2.7485,144,-1.2900,56,-2.6342,35,-3.3300
ENSG00000160049,DFFA,50,0.75868,27,-0.2513,29,-0.1724,21,-0.7089,23,-0.5090,51,0.88810
ENSG00000142655,PEX14,7,-1.5661,14,-0.6311,27,0.45023,32,0.95344,19,-0.1965,10,-1.1561
ENSG00000120948,TARDBP,26,-1.0490,64,0.31164,57,0.16020,61,0.31420,44,-0.3167,51,-0.0653
ENSG00000116649,SRM,51,-0.9819,80,-0.2954,120,0.40126,124,0.53372,91,-0.0907,66,-0.6365
ENSG00000171824,EXOSC10,28,0.44749,20,-0.0643,21,0.03258,19,-0.1652,18,-0.3048,24,0.20960
ENSG00000198793,MTOR,20,-0.8438,35,0.00180,47,0.55091,38,0.17386,37,0.11962,23,-0.7202
ENSG00000116661,FBXO2,297,-0.0189,179,-0.8029,285,-0.0929,247,-0.3759,350,0.27499,409,0.56521
ENSG00000132879,FBXO44,87,-0.6398,197,0.65834,201,0.78933,146,0.21141,102,-0.4342,59,-1.3164
ENSG00000116670,MAD2L2,4,-2.6584,17,-0.5331,29,0.32183,25,0.04891,26,0.12953,31,0.40485
ENSG00000177000,MTHFR,25,0.86606,13,-0.1963,13,-0.1879,19,0.55411,9,-0.6836,10,-0.6282
ENSG00000011021,CLCN6,80,0.62533,91,0.84156,59,0.16498,60,0.22213,31,-0.9301,31,-0.9034
ENSG00000116685,KIAA2013,16,-1.1075,32,-0.0705,47,0.60155,23,-0.6922,29,-0.2684,50,0.75264
ENSG00000083444,PLOD1,33,0.50980,11,-1.2276,21,-0.2427,21,-0.2518,18,-0.4706,40,0.93784
ENSG00000116688,MFN2,58,-0.6047,96,0.18327,118,0.58767,87,0.02603,67,-0.4229,79,-0.1436
ENSG00000116691,MIIP,4,-2.1315,16,-0.0725,24,0.68522,16,-0.0872,13,-0.3569,20,0.33412
ENSG00000048707,VPS13D,65,0.57806,72,0.73147,43,-0.1193,44,-0.0655,37,-0.3505,36,-0.3822
ENSG00000162496,DHRS3,21,-0.4998,23,-0.3870,13,-1.3214,19,-0.8424,43,0.69205,57,1.23940
ENSG00000116731,PRDM2,11,-2.2435,86,0.81146,62,0.30473,55,0.10872,37,-0.5600,56,0.13119
ENSG00000189337,KAZN,84,0.90688,62,0.40220,31,-0.7194,53,0.19530,32,-0.6734,49,0.01896
ENSG00000142634,EFHD2,135,0.82366,392,2.95214,38,-1.2416,30,-1.7160,25,-1.8743,75,-0.1396
ENSG00000116138,DNAJC16,29,0.76544,18,-0.0250,27,0.73387,21,0.29162,8,-1.2480,9,-1.0783
ENSG00000197312,DDI2,8,-1.0393,27,0.79961,23,0.57950,19,0.29430,8,-1.1262,13,-0.3478
ENSG00000116786,PLEKHM2,89,0.48743,36,-0.9250,73,0.18940,67,0.03911,79,0.32195,47,-0.5813
ENSG00000065526,SPEN,41,0.48825,39,0.41328,24,-0.4023,29,-0.0633,24,-0.4270,35,0.25485
ENSG00000116809,ZBTB17,12,-0.4859,16,0.01133,17,0.06893,18,0.19827,17,0.07019,14,-0.1928
ENSG00000185519,FAM131C,4,-2.1496,8,-1.3209,12,-0.7288,37,1.55823,15,-0.3408,15,-0.3647
ENSG00000037637,FBXO42,24,0.44088,32,0.89467,24,0.44627,16,-0.2513,13,-0.6179,13,-0.6342
ENSG00000055070,SZRD1,94,1.76811,14,-1.2791,13,-1.4841,23,-0.6759,28,-0.2945,53,0.87307
ENSG00000219481,NBPF1,26,0.94402,16,0.16147,15,0.01159,8,-0.9654,11,-0.5407,21,0.67150
ENSG00000238142,BX284668.5,33,1.15281,3,-2.3252,18,0.19374,13,-0.4452,18,0.21356,15,-0.0666
ENSG00000159363,ATP13A2,88,-0.7555,130,-0.1636,207,0.67013,176,0.41570,140,-0.0548,72,-1.1465
ENSG00000117118,SDHB,69,-0.4358,68,-0.4621,120,0.48961,113,0.44321,72,-0.4150,73,-0.3883
ENSG00000117115,PADI2,9,-2.6530,38,-0.4901,15,-1.9892,24,-1.3607,47,-0.1739,166,2.59366
ENSG00000179051,RCC2,34,1.09682,7,-1.3099,20,0.26545,13,-0.4832,14,-0.3695,21,0.30962
ENSG00000074964,ARHGEF10L,44,1.32879,17,-0.2610,12,-0.7609,18,-0.1512,21,0.13419,17,-0.2462
ENSG00000117154,IGSF21,25,-1.1277,143,1.69732,68,0.47247,40,-0.5312,33,-0.7737,45,-0.2807
ENSG00000159423,ALDH4A1,48,0.97017,32,0.26911,9,-1.7000,22,-0.3895,37,0.57658,28,0.10739
ENSG00000127481,UBR4,6,-1.1528,9,-0.5116,14,0.12078,13,0.06148,17,0.46252,13,-0.0067
ENSG00000127463,EMC1,30,0.17919,27,0.02416,29,0.12393,30,0.19447,24,-0.2100,22,-0.3368
ENSG00000053372,MRTO4,28,-0.5587,46,0.22398,50,0.40708,43,0.13940,34,-0.2755,34,-0.2567
ENSG00000053371,AKR7A2,60,0.45335,26,-0.8769,43,-0.0842,35,-0.4947,48,0.07952,64,0.61770
ENSG00000077549,CAPZB,371,0.98184,216,0.08868,240,0.29326,195,-0.0927,121,-0.8810,176,-0.2538
ENSG00000173436,MICOS10,315,-0.0940,304,-0.1535,284,-0.2824,347,0.07113,385,0.25285,341,0.03439
ENSG00000158747,NBL1,328,0.76881,296,0.59700,162,-0.4003,193,-0.1198,180,-0.2201,183,-0.1995
ENSG00000162545,CAMK2N1,542,-1.1973,396,-1.6688,1512,0.45016,1597,0.64030,1334,0.21864,782,-0.6978
ENSG00000090432,MUL1,21,-0.2163,34,0.55320,36,0.74247,21,-0.2979,16,-0.7206,23,-0.1258
ENSG00000183114,FAM43B,31,1.29346,57,2.50290,6,-1.3616,7,-1.2592,8,-0.8559,9,-0.7461
ENSG00000158828,PINK1,340,-0.2952,481,0.25365,476,0.26246,417,0.03154,427,0.06777,320,-0.4291
ENSG00000244038,DDOST,45,0.70585,17,-0.8529,50,0.99484,25,-0.3082,18,-0.8259,25,-0.2601
ENSG00000117245,KIF17,45,1.60241,21,0.32713,16,-0.0922,15,-0.2433,12,-0.5998,11,-0.7789
ENSG00000189410,SH2D5,26,-0.1527,31,0.14858,49,1.04266,21,-0.5490,21,-0.5084,26,-0.1742
ENSG00000127483,HP1BP3,131,-0.0916,151,0.13236,122,-0.2211,154,0.21225,105,-0.4819,164,0.30307
ENSG00000075151,EIF4G3,186,0.71191,126,0.07678,149,0.39047,136,0.25638,75,-0.7916,76,-0.7721
ENSG00000117298,ECE1,6,-1.1191,10,-0.4591,10,-0.4683,7,-1.0617,20,0.77543,24,1.09531
ENSG00000076864,RAP1GAP,160,0.29433,180,0.48354,190,0.65083,135,0.03148,87,-0.7115,82,-0.8044
ENSG00000090686,USP48,35,0.00764,26,-0.4570,41,0.30636,29,-0.3351,26,-0.4504,49,0.63198
ENSG00000070831,CDC42,271,0.51629,238,0.30503,259,0.50127,174,-0.2360,133,-0.6661,174,-0.2086
ENSG00000173372,C1QA,101,1.12738,17,-1.6436,17,-1.7664,27,-1.1175,53,0.07695,110,1.53142
ENSG00000159189,C1QC,98,1.50907,19,-1.0796,9,-2.2311,15,-1.6322,62,0.81478,66,0.94140
ENSG00000173369,C1QB,204,1.64853,32,-1.3516,29,-1.5870,41,-1.1202,91,0.29021,125,0.90561
ENSG00000004487,KDM1A,35,-0.0058,42,0.27153,50,0.65364,39,0.22490,28,-0.3641,17,-1.1549
ENSG00000169641,LUZP1,43,0.24833,55,0.65155,42,0.22319,47,0.49417,22,-0.8801,20,-1.0203
ENSG00000125944,HNRNPR,57,-0.6137,113,0.46969,101,0.32653,87,0.07331,65,-0.4330,81,-0.0688
ENSG00000125945,ZNF436,19,0.05241,17,-0.1288,26,0.63159,25,0.65157,9,-1.1696,10,-0.9134
ENSG00000117318,ID3,126,2.12449,2,-3.8733,1,-4.7139,2,-4.3838,4,-3.3196,133,3.01104
ENSG00000142676,RPL11,513,0.21902,303,-0.6094,201,-1.3224,352,-0.4579,513,0.24303,812,1.14777
ENSG00000011007,ELOA,14,-0.0301,20,0.55142,18,0.45391,15,0.14068,6,-1.3643,14,-0.0405
ENSG00000057757,PITHD1,186,0.06315,167,-0.1003,275,0.81010,178,-0.0093,140,-0.4101,122,-0.6375
ENSG00000011009,LYPLA2,21,-0.9383,27,-0.5509,53,0.58716,53,0.66832,27,-0.6248,29,-0.4871
ENSG00000117308,GALE,5,-1.5922,6,-1.1954,20,0.56983,23,0.99562,9,-0.7094,10,-0.5655
ENSG00000117305,HMGCL,7,-1.5852,23,0.27656,19,-0.0269,15,-0.4904,23,0.26253,28,0.65709
ENSG00000189266,PNRC2,48,0.19663,41,-0.0417,57,0.56106,27,-0.8253,33,-0.4032,57,0.53214
ENSG00000188529,SRSF10,33,-0.3458,46,0.16406,45,0.14351,37,-0.2077,45,0.17057,42,0.02137
ENSG00000001461,NIPAL3,93,0.45345,86,0.32566,58,-0.3152,43,-0.8792,35,-1.1413,137,1.31342
ENSG00000133226,SRRM1,120,1.36513,81,0.68964,31,-0.8720,36,-0.7247,26,-1.1937,80,0.76790
ENSG00000169504,CLIC4,33,-0.2458,33,-0.2591,8,-2.4693,8,-2.6095,26,-0.7105,137,2.93208
ENSG00000117614,SYF2,96,0.71262,53,-0.2365,52,-0.3035,53,-0.2906,53,-0.2537,81,0.48017
ENSG00000117616,RSRP1,49,0.43061,49,0.43639,30,-0.3491,34,-0.1620,20,-1.0146,54,0.68617
ENSG00000183726,TMEM50A,103,0.50317,50,-0.6188,105,0.60480,56,-0.5360,59,-0.4238,89,0.29763
ENSG00000204178,MACO1,53,1.28079,43,0.92729,26,0.12279,23,-0.1092,9,-1.5092,16,-0.7109
ENSG00000117643,MAN1C1,17,-1.0548,7,-2.3037,69,1.39799,47,0.67006,21,-0.7649,14,-1.4432
ENSG00000162430,SELENON,43,0.32995,27,-0.4384,27,-0.4427,40,0.24419,32,-0.1921,41,0.24710
ENSG00000117640,MTFR1L,54,-0.0313,49,-0.1956,62,0.19148,59,0.12201,45,-0.3569,58,0.08252
ENSG00000117632,STMN1,848,-0.3931,1469,0.48128,1584,0.69227,1133,0.07827,699,-0.7513,853,-0.4215
ENSG00000158008,EXTL1,7,-2.3688,56,0.69921,48,0.52005,38,0.12190,37,0.05810,24,-0.6777
ENSG00000142684,ZNF593,26,-0.0843,40,0.60863,28,0.00839,23,-0.3568,22,-0.3544,34,0.37935
ENSG00000142669,SH3BGRL3,263,0.13110,388,0.77061,272,0.20758,165,-0.7178,191,-0.4074,296,0.36222
ENSG00000158062,UBXN11,28,0.32398,12,-1.0390,16,-0.5948,32,0.69828,31,0.51176,12,-1.0789
ENSG00000117682,DHDDS,13,-0.4583,23,0.40969,23,0.46776,11,-0.8318,17,-0.0168,22,0.39148
ENSG00000198830,HMGN2,205,0.89253,66,-0.9063,75,-0.7776,91,-0.5058,102,-0.2550,204,1.02986
ENSG00000117713,ARID1A,32,-0.6261,54,0.17246,59,0.34896,50,0.07332,39,-0.3926,51,0.07403
ENSG00000204160,ZDHHC18,2,-3.6368,20,-0.1837,35,0.80133,31,0.67015,17,-0.5027,15,-0.6685
ENSG00000142751,GPN2,17,-0.0248,25,0.55962,22,0.35683,22,0.49492,11,-0.7597,9,-1.0202
ENSG00000090273,NUDC,86,-0.7323,121,-0.2070,180,0.48703,118,-0.3020,157,0.23520,140,0.03490
ENSG00000253368,TRNP1,38,-0.8290,32,-1.0787,86,0.49269,95,0.77859,63,-0.0618,35,-1.0601
ENSG00000090020,SLC9A1,21,-0.1429,19,-0.2943,39,0.97874,32,0.68033,12,-1.1003,8,-1.6131
ENSG00000142784,WDTC1,0,-6.1341,45,0.67227,34,0.20158,35,0.34772,34,0.20809,21,-0.5690
ENSG00000186501,TMEM222,120,0.72669,65,-0.2716,82,0.12239,78,0.02106,73,-0.0812,58,-0.4791
ENSG00000158195,WASF2,32,-0.1309,32,-0.1682,9,-2.2061,20,-1.0411,30,-0.2555,94,2.04042
ENSG00000126705,AHDC1,34,-0.1867,72,1.04569,54,0.64464,35,-0.1612,26,-0.6516,24,-0.7707
ENSG00000126709,IFI6,632,1.12907,676,1.24806,481,0.75621,175,-1.0916,154,-1.2118,208,-0.7249
ENSG00000117758,STX12,154,0.77164,139,0.60232,100,0.06534,85,-0.2296,68,-0.5860,86,-0.1961
ENSG00000117751,PPP1R8,31,0.24811,33,0.31666,26,-0.0345,23,-0.2459,16,-0.8438,37,0.61854
ENSG00000117748,RPA2,42,-0.2684,34,-0.5981,71,0.65903,54,0.15868,37,-0.4965,47,-0.1128
ENSG00000126698,DNAJC8,142,0.21851,144,0.24603,123,-0.0112,121,-0.0449,102,-0.3256,131,0.09565
ENSG00000130770,ATP5IF1,402,-0.4775,277,-1.0454,928,1.01048,629,0.29039,500,-0.1518,289,-1.0580
ENSG00000180098,TRNAU1AP,11,-0.4668,26,0.85960,18,0.22572,14,-0.1482,13,-0.2389,14,-0.2075
ENSG00000120656,TAF12,12,-0.2619,18,0.37149,18,0.43009,12,-0.2249,9,-0.6383,16,0.26022
ENSG00000198492,YTHDF2,84,0.41401,100,0.69251,88,0.54955,69,0.13388,32,-1.1375,41,-0.7795
ENSG00000116350,SRSF4,22,-0.8139,49,0.39205,46,0.32345,40,0.08411,29,-0.4592,40,0.06877
ENSG00000116353,MECR,21,-0.6353,36,0.17655,47,0.72241,27,-0.3331,34,0.13506,25,-0.4000
ENSG00000162511,LAPTM5,43,-0.2272,23,-1.1683,19,-1.5399,40,-0.3916,65,0.50925,94,1.24576
ENSG00000162512,SDC3,95,-0.7235,146,-0.0575,143,-0.1021,158,0.08452,185,0.36026,148,-0.0445
ENSG00000134644,PUM1,140,0.38775,219,1.13812,117,0.11140,104,-0.1086,63,-0.9212,89,-0.3638
ENSG00000060688,SNRNP40,73,2.40643,17,-0.1483,18,-0.0742,10,-1.0519,11,-0.9232,14,-0.4680
ENSG00000121766,ZCCHC17,102,-0.2478,151,0.37166,152,0.42264,120,0.00765,96,-0.3912,105,-0.2267
ENSG00000121769,FABP3,196,0.47846,123,-0.2684,245,0.98124,160,0.19178,102,-0.6102,55,-1.5802
ENSG00000162517,PEF1,68,-0.1808,53,-0.5749,128,0.98088,76,-0.0181,66,-0.2625,52,-0.6424
ENSG00000084636,COL16A1,22,-0.3430,27,-0.0321,20,-0.4739,19,-0.6242,33,0.33439,43,0.84552
ENSG00000121753,ADGRB2,124,-0.8949,266,0.29601,379,1.02258,219,-0.0213,220,-0.0089,94,-1.3958
ENSG00000184007,PTP4A2,94,-0.9763,235,0.45457,116,-0.7118,128,-0.6047,109,-0.8085,391,1.59234
ENSG00000121774,KHDRBS1,98,-0.0662,85,-0.2869,119,0.26407,119,0.31683,84,-0.3371,89,-0.2391
ENSG00000025800,KPNA6,71,0.57152,76,0.66678,48,-0.0565,57,0.26110,20,-1.5007,48,-0.0701
ENSG00000084652,TXLNA,23,0.04680,31,0.53836,19,-0.2736,23,0.06380,17,-0.4322,25,0.18154
ENSG00000160050,CCDC28B,34,0.79627,7,-1.6596,13,-0.7419,30,0.75904,18,-0.2201,18,-0.2700
ENSG00000084623,EIF3I,104,-0.0231,124,0.24664,113,0.12062,115,0.17395,99,-0.1249,83,-0.4112
ENSG00000175130,MARCKSL1,167,-0.4391,202,-0.1397,66,-1.9517,156,-0.6517,212,-0.0683,518,1.74086
ENSG00000160058,BSDC1,27,-1.1703,80,0.48070,72,0.36316,64,0.16462,50,-0.2887,53,-0.1919
ENSG00000176261,ZBTB8OS,53,0.42605,24,-0.7806,48,0.27676,44,0.17667,33,-0.3809,38,-0.1075
ENSG00000162521,RBBP4,58,-0.2966,88,0.35905,69,-0.0434,72,0.05315,62,-0.2208,75,0.10985
ENSG00000162522,KIAA1522,6,-1.3535,6,-1.4575,24,0.69730,23,0.71903,19,0.26561,6,-1.5657
ENSG00000134684,YARS,98,0.19982,84,-0.0500,127,0.70552,102,0.33242,59,-0.6588,47,-1.0196
ENSG00000160097,FNDC5,10,-0.8067,15,-0.1704,22,0.45012,29,1.12126,9,-1.0529,8,-1.2506
ENSG00000121905,HPCA,120,-0.8196,232,0.20069,300,0.70870,245,0.36762,183,-0.1966,99,-1.1965
ENSG00000121900,TMEM54,49,0.20614,34,-0.3867,41,-0.0995,33,-0.4983,55,0.41836,51,0.30147
ENSG00000116514,RNF19B,38,1.02076,15,-0.4410,28,0.58377,14,-0.7399,20,-0.0465,17,-0.3051
ENSG00000004455,AK2,12,-1.0508,25,0.04213,21,-0.2355,20,-0.3696,19,-0.3812,45,1.15560
ENSG00000142920,AZIN2,25,0.21430,26,0.28446,33,0.75846,18,-0.3971,24,0.15504,11,-1.0944
ENSG00000160094,ZNF362,47,1.44910,10,-1.0290,16,-0.3544,21,0.13347,17,-0.2771,16,-0.3980
ENSG00000134686,PHC2,105,0.81649,60,-0.0751,63,-0.0029,61,-0.0687,47,-0.5068,64,0.01560
ENSG00000163866,SMIM12,51,0.09346,51,0.08959,71,0.70875,50,0.05069,34,-0.6003,35,-0.5297
ENSG00000116544,DLGAP3,39,-0.4442,40,-0.4065,59,0.19367,66,0.47818,65,0.37829,26,-1.1417
ENSG00000163867,ZMYM6,35,1.49080,5,-1.6111,18,0.38196,10,-0.6577,13,-0.2133,13,-0.1027
ENSG00000116560,SFPQ,121,0.03700,127,0.11488,108,-0.1597,119,0.00897,117,-0.0233,124,0.07743
ENSG00000146463,ZMYM4,46,0.52682,28,-0.2553,27,-0.3438,29,-0.2271,36,0.16874,37,0.21692
ENSG00000142687,KIAA0319L,78,0.51214,62,0.14761,59,0.07909,66,0.30239,30,-1.0639,54,-0.0867
ENSG00000020129,NCDN,310,-0.6607,243,-1.0311,946,1.35514,575,0.39702,322,-0.6543,201,-1.4110
ENSG00000126067,PSMB2,112,0.10145,121,0.22100,150,0.64226,117,0.21405,57,-1.0310,81,-0.4490
ENSG00000142686,C1orf216,54,-0.5002,109,0.60340,94,0.41117,99,0.58805,52,-0.6311,36,-1.2034
ENSG00000092847,AGO1,11,-1.1322,37,0.74025,16,-0.6232,29,0.44736,17,-0.5420,27,0.31359
ENSG00000126070,AGO3,8,-0.5902,17,0.47929,13,0.15349,7,-1.0154,10,-0.3971,22,1.05799
ENSG00000116863,ADPRHL2,10,-1.1014,24,0.17515,30,0.58169,27,0.48636,10,-1.2648,21,-0.0632
ENSG00000054116,TRAPPC3,64,0.35479,41,-0.3508,64,0.39597,66,0.52407,41,-0.3709,25,-1.1558
ENSG00000116871,MAP7D1,121,-0.6965,123,-0.6654,235,0.38529,229,0.38983,179,-0.1024,163,-0.2585
ENSG00000054118,THRAP3,35,-0.3590,81,1.00374,40,-0.1802,34,-0.5018,41,-0.1199,53,0.32309
ENSG00000196182,STK40,24,0.40117,35,1.05184,14,-0.4286,15,-0.3901,18,-0.0705,17,-0.0893
ENSG00000181817,LSM10,61,0.34461,32,-0.6400,71,0.68888,48,-0.0305,43,-0.2281,36,-0.5065
