"","SpD","deg-1","deg0","degNA","deg1","mod","deg_total"
"121","L5~Sp09D03",NA,13076,17418,NA,"E4E4_i",0
"122","L6~Sp09D04",NA,13231,17263,NA,"E4E4_i",0
"123","LD~Sp09D02",NA,14319,16175,NA,"E4E4_i",0
"124","Vasc~Sp09D08",NA,7217,23277,NA,"E4E4_i",0
"125","WM.uf~Sp09D07",NA,2321,28173,NA,"E4E4_i",0
"126","WM~Sp09D06",NA,9249,21245,NA,"E4E4_i",0
"127","Inhib~Sp09D09",3,11314,19172,5,"APOE_Sex",8
"128","L1~Sp09D05",2,10819,19664,9,"APOE_Sex",11
"129","L2.3~Sp09D01",0,12690,17804,0,"APOE_Sex",0
"130","L5~Sp09D03",2,13072,17418,2,"APOE_Sex",4
"131","L6~Sp09D04",0,13222,17263,9,"APOE_Sex",9
"132","LD~Sp09D02",0,14318,16175,1,"APOE_Sex",1
"133","Vasc~Sp09D08",1,7212,23277,4,"APOE_Sex",5
"134","WM.uf~Sp09D07",0,2320,28173,1,"APOE_Sex",1
"135","WM~Sp09D06",7,9232,21245,10,"APOE_Sex",17
"136","Inhib~Sp09D09",3,11319,19172,0,"APOE_Anc",3
"137","L1~Sp09D05",0,10830,19664,0,"APOE_Anc",0
"138","L2.3~Sp09D01",1,12689,17804,0,"APOE_Anc",1
"139","L5~Sp09D03",10,13063,17418,3,"APOE_Anc",13
"140","L6~Sp09D04",3,13228,17263,0,"APOE_Anc",3
"141","LD~Sp09D02",2,14317,16175,0,"APOE_Anc",2
"142","Vasc~Sp09D08",1,7215,23277,1,"APOE_Anc",2
"143","WM.uf~Sp09D07",0,2321,28173,0,"APOE_Anc",0
"144","WM~Sp09D06",3,9242,21245,4,"APOE_Anc",7
