Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000162599,NFIA,16,-3.6474,407,1.34975,149,-0.3643,232,0.41782,16,-3.6836,161,-0.2347,234,0.43109
ENSG00000116675,DNAJC6,16,-4.2514,407,0.60304,1337,3.13924,162,-0.9655,16,-4.2870,3,-6.6731,222,-0.4338
ENSG00000184588,PDE4B,16,-3.1847,407,1.98626,1,-6.9478,222,0.99452,16,-3.2229,7,-4.4382,167,0.39070
ENSG00000142864,SERBP1,16,-3.5713,407,1.44802,121,-0.6000,122,-0.6633,283,0.78237,153,-0.2365,186,0.09165
ENSG00000116754,SRSF11,16,-3.8814,407,1.05145,542,1.59595,135,-0.8525,16,-3.9165,255,0.24755,234,0.12484
ENSG00000154027,AK5,16,-4.3536,407,0.47989,1620,3.53116,74,-2.3201,16,-4.3916,218,-0.5309,157,-1.1396
ENSG00000137941,TTLL7,16,-4.1508,407,0.72230,238,-0.1699,100,-1.6339,462,0.94817,97,-1.5490,479,1.23720
ENSG00000142875,PRKACB,16,-4.3438,407,0.49419,924,2.04307,163,-1.0608,16,-4.3734,194,-0.6984,416,0.62729
ENSG00000153904,DDAH1,16,-3.6226,407,1.38256,183,-0.0039,480,2.27396,46,-2.1159,10,-4.2305,15,-3.9216
ENSG00000143013,LMO4,16,-4.7285,407,0.05312,1741,2.94909,566,0.71765,16,-4.7639,80,-2.4272,75,-2.6909
ENSG00000122406,RPL5,18,-5.4618,407,-0.8887,487,-0.6080,495,-0.6496,1228,0.91624,1189,0.85791,1057,0.77580
ENSG00000117519,CNN3,16,-3.6326,407,1.36964,1,-7.3881,250,0.59065,251,0.50375,300,0.81426,94,-1.1573
ENSG00000134243,SORT1,16,-5.0560,407,-0.3100,1143,1.47081,167,-1.8063,693,0.56359,584,0.27649,632,0.47608
ENSG00000168710,AHCYL1,16,-3.9445,407,0.97309,57,-2.1336,534,1.90827,16,-3.9802,232,0.02119,133,-0.9439
ENSG00000197106,SLC6A17,16,-4.2993,407,0.54531,1700,3.85819,174,-0.9076,16,-4.3359,139,-1.1601,4,-6.2861
ENSG00000155366,RHOC,16,-4.4059,407,0.42075,1,-8.1568,186,-0.9215,729,1.46658,1147,2.43962,82,-2.2029
ENSG00000009307,CSDE1,16,-4.6388,407,0.15469,506,0.51815,396,0.12794,504,0.51149,307,-0.2974,399,0.14067
ENSG00000163399,ATP1A1,16,-4.4393,407,0.38275,1015,2.10313,212,-0.7404,16,-4.4751,770,1.52922,127,-1.5666
ENSG00000198162,MAN1A2,16,-3.8732,407,1.06123,28,-3.1112,258,0.31814,16,-3.9094,338,0.73527,321,0.76773
ENSG00000092621,PHGDH,16,-3.1706,407,2.01002,1,-6.9318,229,1.08637,16,-3.2064,86,-0.7104,114,-0.2989
ENSG00000265972,TXNIP,16,-4.0398,407,0.85562,1,-7.7926,134,-1.0413,567,1.46980,468,1.10938,238,-0.0530
ENSG00000159164,SV2A,16,-4.0602,407,0.83194,1152,3.08749,294,0.32262,16,-4.0959,1,-7.2167,26,-3.5355
ENSG00000266472,MRPS21,173,0.32257,407,1.89467,1,-7.0092,206,0.73220,16,-3.2857,15,-3.3849,128,-0.1909
ENSG00000143420,ENSA,16,-4.8983,407,-0.1363,1449,2.19254,289,-0.7473,828,1.06916,394,-0.1883,155,-1.7555
ENSG00000143393,PI4KB,16,-3.3364,407,1.77152,444,1.95619,156,0.06910,16,-3.3723,3,-5.7428,79,-1.1061
ENSG00000159377,PSMB4,16,-4.0401,407,0.85541,392,0.79286,144,-0.9217,16,-4.0763,871,2.38343,106,-1.4139
ENSG00000197747,S100A10,16,-5.1954,407,-0.4621,1,-8.9303,84,-2.9916,2124,2.61764,2116,2.60834,28,-4.5802
ENSG00000197956,S100A6,16,-4.1839,407,0.68303,31,-3.2700,165,-0.8625,46,-2.6875,1352,3.31928,125,-1.3105
ENSG00000189171,S100A13,16,-3.8214,407,1.12644,17,-3.7845,481,1.84777,24,-3.2559,163,-0.4102,153,-0.5640
ENSG00000160678,S100A1,16,-3.5391,407,1.49310,1,-7.2959,417,2.00597,16,-3.5750,39,-2.2733,123,-0.6029
ENSG00000143543,JTB,16,-3.4671,407,1.58962,1,-7.2245,270,1.00149,41,-2.1337,203,0.33660,139,-0.3155
ENSG00000177954,RPS27,2390,-0.6558,407,-3.3014,1270,-1.6200,1880,-1.1272,5285,0.63474,7343,1.22263,6029,1.04482
ENSG00000143549,TPM3,383,0.13803,407,0.23648,442,0.37534,116,-1.8515,1103,2.09346,382,0.13546,109,-1.9417
ENSG00000160710,ADAR,16,-3.6764,407,1.31265,348,1.02728,254,0.55611,16,-3.7116,213,0.18476,103,-1.0579
ENSG00000163346,PBXIP1,16,-3.4562,407,1.60496,36,-2.3062,323,1.44497,316,1.12715,14,-3.6378,19,-3.3831
ENSG00000132718,SYT11,16,-5.6398,3891,3.49360,541,-0.4964,336,-1.3451,677,-0.1418,171,-2.2443,342,-1.3177
ENSG00000160781,PAQR6,36,-5.3839,407,-1.8601,412,-1.8426,401,-2.0259,981,-0.5201,815,-0.8087,4391,3.15361
ENSG00000125462,C1orf61,16,-5.0772,407,-0.3333,49,-3.4794,1529,2.88285,44,-3.6518,61,-3.1861,436,-0.2530
ENSG00000132702,HAPLN2,16,-3.8647,407,1.07239,1,-7.6183,114,-1.1079,16,-3.9002,113,-1.0240,586,2.38902
ENSG00000132692,BCAN,16,-4.2187,407,0.64101,1,-7.9703,724,2.27798,16,-4.2544,125,-1.2372,239,-0.2658
ENSG00000162706,CADM3,16,-3.9902,407,0.91676,1000,2.82140,234,-0.0172,221,-0.1055,1,-7.1478,7,-5.3325
ENSG00000177807,KCNJ10,16,-3.5202,407,1.51864,51,-1.8441,209,0.37876,16,-3.5557,93,-0.9551,270,0.91376
ENSG00000162729,IGSF8,16,-3.4252,407,1.64807,1,-7.1820,212,0.54072,16,-3.4606,71,-1.2584,254,0.92480
ENSG00000018625,ATP1A2,16,-4.7743,407,0.00199,1,-8.5228,1366,3.36935,16,-4.8097,477,0.26414,3,-7.2270
ENSG00000162734,PEA15,240,-2.4193,3794,2.16911,1237,0.08939,856,-0.5592,1253,0.11057,288,-2.1501,1008,-0.2732
ENSG00000143256,PFDN2,16,-3.9212,407,1.00168,430,1.10376,119,-1.1045,297,0.45275,280,0.35522,181,-0.3936
ENSG00000158864,NDUFS2,16,-3.2252,407,1.93004,1,-6.9852,181,0.49970,16,-3.2614,151,0.12446,153,0.16526
ENSG00000143248,RGS5,16,-4.5946,407,0.20455,1,-8.3443,105,-2.0389,274,-0.4277,2319,4.34429,1,-8.0332
ENSG00000143198,MGST3,16,-4.1610,407,0.70949,350,0.45323,281,0.10215,17,-4.1062,507,1.10288,268,0.01194
ENSG00000143153,ATP1B1,18,-5.3396,407,-0.7742,3284,3.28632,429,-0.7687,16,-5.5201,155,-2.2296,618,-0.1296
ENSG00000117523,PRRC2C,16,-5.3929,3898,4.18597,191,-1.8190,239,-1.6153,16,-5.4291,230,-1.5425,389,-0.8258
ENSG00000117592,PRDX6,16,-3.4776,407,1.57573,1,-7.2349,355,1.65844,16,-3.5132,242,0.62280,52,-1.9211
ENSG00000234741,GAS5,16,-4.3665,407,0.46716,7,-5.5997,185,-0.8821,577,1.07834,259,-0.2707,562,1.26520
ENSG00000116147,TNR,16,-3.5386,407,1.49414,137,-0.3749,356,1.55050,16,-3.5745,51,-1.8660,110,-0.7892
ENSG00000135821,GLUL,16,-6.0904,407,-1.4145,51,-4.4433,2867,2.58089,412,-1.3961,334,-1.7114,1066,0.10162
ENSG00000162704,ARPC5,16,-3.7102,407,1.26886,313,0.79478,147,-0.5003,16,-3.7453,323,0.85234,192,-0.0232
ENSG00000118200,CAMSAP2,16,-3.7562,407,1.20986,824,2.73672,206,0.04569,16,-3.7921,1,-6.8934,67,-1.8317
ENSG00000116857,TMEM9,16,-3.7035,407,1.27650,651,2.24440,251,0.49251,16,-3.7401,12,-4.0693,72,-1.6638
ENSG00000159176,CSRP1,16,-5.0308,407,-0.2821,82,-2.6937,477,-0.0295,465,-0.0673,551,0.20835,944,1.41569
ENSG00000198892,SHISA4,16,-3.3449,407,1.75899,67,-1.2724,242,0.94006,16,-3.3811,29,-2.4844,173,0.24973
ENSG00000170075,GPR37L1,16,-4.0229,407,0.87522,1,-7.7770,540,1.77829,481,1.17885,26,-3.3639,84,-1.7609
ENSG00000143862,ARL8A,16,-3.8111,407,1.13957,438,1.27559,77,-1.6832,220,0.08198,194,-0.1227,227,0.15542
ENSG00000163531,NFASC,16,-4.0540,407,0.83915,444,0.99705,89,-1.7154,16,-4.0899,267,0.12397,448,1.23975
ENSG00000184144,CNTN2,16,-4.8172,407,-0.0459,186,-1.2644,119,-2.0768,16,-4.8530,392,-0.1062,1255,2.80528
ENSG00000117266,CDK18,290,0.66729,407,1.27366,1,-6.9965,55,-2.0699,16,-3.7415,2,-6.7020,462,1.96412
ENSG00000069275,NUCKS1,16,-5.2234,407,-0.4928,1373,1.60353,433,-0.4421,16,-5.2593,537,-0.0514,886,0.94685
ENSG00000117691,NENF,16,-5.0197,407,-0.2702,401,-0.2933,234,-1.2366,313,-0.6795,713,0.65743,1006,1.60197
ENSG00000143819,EPHX1,16,-3.4194,407,1.65537,1,-7.1773,312,1.42147,114,-0.5287,66,-1.3745,105,-0.7430
ENSG00000163041,H3F3A,16,-5.0539,407,-0.3075,133,-2.0068,359,-0.5645,1572,2.13494,832,0.88602,377,-0.4766
ENSG00000143799,PARP1,16,-3.2062,407,1.95715,41,-1.8431,164,0.33264,16,-3.2424,28,-2.3932,202,0.75504
ENSG00000143772,ITPKB,16,-3.5106,407,1.52920,1,-7.2692,188,0.18917,55,-1.7319,144,-0.2631,266,0.89460
ENSG00000143761,ARF1,16,-4.7433,407,0.03693,1101,1.82946,246,-0.8420,1253,2.10681,108,-2.0053,101,-2.2561
ENSG00000143774,GUK1,687,-0.3473,407,-1.1602,698,-0.3234,861,0.01541,1573,1.04194,925,0.13048,836,-0.0387
ENSG00000168159,RNF187,16,-5.3916,4004,4.32366,391,-0.7331,268,-1.4289,16,-5.4271,321,-1.0388,157,-2.2576
ENSG00000116574,RHOU,16,-3.4869,407,1.56130,42,-2.1255,71,-1.4564,16,-3.5246,7,-4.6345,439,2.28244
ENSG00000135744,AGT,16,-4.2636,407,0.58738,6,-5.6943,632,1.75854,654,1.44579,111,-1.4716,57,-2.6231
ENSG00000119280,C1orf198,16,-3.9681,407,0.94373,117,-1.0811,97,-1.4817,16,-4.0043,569,1.57298,389,1.04470
ENSG00000168264,IRF2BP2,375,-0.1466,407,-0.0156,209,-1.0547,138,-1.8217,1806,2.93245,188,-1.2224,217,-1.0972
ENSG00000173726,TOMM20,16,-4.2692,407,0.58163,1048,2.45122,178,-0.8345,16,-4.3044,210,-0.4942,263,-0.1563
ENSG00000153187,HNRNPU,16,-4.2533,407,0.60063,588,1.25871,267,-0.1091,19,-4.0263,229,-0.3425,379,0.56526
ENSG00000171863,RPS7,16,-5.7756,407,-1.0837,403,-1.0970,550,-0.6880,1258,0.73449,1709,1.28809,1206,0.78670
ENSG00000134313,KIDINS220,525,1.77129,407,1.27206,1,-7.4618,170,-0.2447,16,-3.7425,151,-0.4012,156,-0.3967
ENSG00000134308,YWHAQ,16,-4.5129,407,0.29808,591,0.94149,310,-0.1639,116,-1.6600,369,0.13962,466,0.62234
ENSG00000163032,VSNL1,16,-4.8384,407,-0.0701,2859,4.56543,237,-1.0091,16,-4.8746,1,-7.9918,24,-4.4665
ENSG00000143878,RHOB,16,-5.1055,407,-0.3640,168,-1.7127,302,-0.9143,1634,2.14049,938,1.03621,414,-0.3789
ENSG00000084731,KIF3C,16,-3.3677,407,1.72714,279,1.01063,285,1.28195,16,-3.4028,37,-2.1846,31,-2.5748
ENSG00000084754,HADHA,16,-3.0097,407,2.25519,1,-6.7731,180,0.79514,16,-3.0460,4,-4.9820,141,0.29493
ENSG00000084764,MAPRE3,16,-4.3869,407,0.44396,1706,3.64109,228,-0.5543,16,-4.4226,116,-1.5206,40,-3.2571
ENSG00000228474,OST4,16,-3.8991,407,1.02853,1,-7.6534,198,-0.2124,302,0.50677,535,1.54503,172,-0.4600
ENSG00000213639,PPP1CB,269,-0.4946,407,0.16989,877,1.53260,275,-0.5152,16,-4.6611,563,0.71947,309,-0.3087
ENSG00000138078,PREPL,16,-4.8904,407,-0.1277,2004,3.03118,337,-0.4776,333,-0.4442,210,-1.1564,159,-1.7113
ENSG00000116016,EPAS1,280,-0.8666,407,-0.2816,1,-8.7776,229,-1.2807,121,-2.1239,3036,4.19202,29,-4.3665
ENSG00000143933,CALM2,135,-3.3636,407,-1.7360,3116,1.61478,998,-0.4057,1328,0.09857,1006,-0.3482,1632,0.51651
ENSG00000179915,NRXN1,16,-3.5658,407,1.45646,660,2.49985,203,0.26193,16,-3.6014,61,-1.6444,12,-4.1236
ENSG00000115306,SPTBN1,365,-1.7158,3744,2.26500,814,-0.4914,796,-0.5894,837,-0.4475,1016,-0.1393,802,-0.5753
ENSG00000115310,RTN4,16,-5.4454,407,-0.7322,2056,2.12959,615,-0.0907,231,-1.5951,227,-1.6202,823,0.46783
ENSG00000143947,RPS27A,735,-1.6785,407,-2.5558,867,-1.4294,1177,-1.0620,1634,-0.4562,4136,1.10042,4716,1.70348
ENSG00000115355,CCDC88A,16,-4.5115,407,0.29967,479,0.57760,185,-1.0465,86,-2.1071,437,0.42118,627,1.28764
ENSG00000221823,PPP3R1,16,-3.7312,407,1.24134,1055,3.53413,114,-0.9550,16,-3.7671,26,-3.0524,16,-3.9093
ENSG00000115977,AAK1,16,-3.5320,407,1.50262,647,2.51177,151,-0.2449,16,-3.5679,116,-0.6299,25,-3.1053
ENSG00000169564,PCBP1,16,-4.1318,407,0.74444,291,0.18202,248,-0.0904,16,-4.1681,569,1.35494,276,0.10309
ENSG00000124374,PAIP2B,16,-4.3407,407,0.49570,35,-3.2259,60,-2.6064,254,-0.2765,280,-0.1191,800,2.32814
ENSG00000144040,SFXN5,16,-3.0444,407,2.20089,1,-6.8077,311,2.15057,16,-3.0814,33,-2.0195,8,-4.1963
ENSG00000204843,DCTN1,16,-4.3874,407,0.44298,791,1.65458,146,-1.2959,241,-0.4063,382,0.33949,335,0.13989
ENSG00000034510,TMSB10,1876,-1.1249,407,-3.3930,2311,-0.8050,1118,-2.0481,12293,2.13903,14179,2.47231,657,-2.8545
ENSG00000168906,MAT2A,16,-5.2903,4027,4.74415,230,-1.4406,146,-2.2644,189,-1.7313,77,-3.0586,197,-1.8069
ENSG00000172005,MAL,377,0.16700,407,0.29259,48,-2.9652,154,-1.3531,22,-4.1014,128,-1.5205,887,2.26610
ENSG00000135940,COX5B,16,-5.1095,407,-0.3691,440,-0.2433,564,0.18202,1005,1.15611,569,0.17093,522,0.03637
ENSG00000158417,EIF5B,547,0.47540,407,-0.0143,655,0.78568,210,-1.1522,244,-0.8171,320,-0.3950,549,0.56819
ENSG00000071082,RPL31,914,-1.1719,407,-2.3834,640,-1.7093,1254,-0.7614,3908,1.21242,2745,0.58376,3137,0.98107
ENSG00000071054,MAP4K4,16,-5.0909,407,-0.3487,5,-6.6381,220,-1.4129,307,-0.7870,436,-0.2379,1469,2.67149
ENSG00000188177,ZC3H6,16,-2.9157,407,2.40504,1,-6.6808,122,0.13650,16,-2.9512,7,-4.0227,164,0.73054
ENSG00000155368,DBI,375,0.37649,407,0.51161,1,-8.0795,546,1.26017,16,-4.3644,231,-0.4130,283,-0.0996
ENSG00000136717,BIN1,16,-4.8699,407,-0.1046,742,0.90731,182,-1.4682,16,-4.9056,429,-0.0198,965,1.77369
ENSG00000152082,MZT2B,16,-4.9316,407,-0.1732,115,-2.1004,413,-0.1702,808,0.98446,727,0.79541,588,0.50683
ENSG00000136002,ARHGEF4,592,1.77596,407,1.05316,471,1.32721,152,-0.6466,16,-3.9162,52,-2.2058,65,-2.0018
ENSG00000152102,FAM168B,16,-4.0876,407,0.79699,699,1.82190,158,-0.8193,418,0.84511,115,-1.2303,153,-0.8788
ENSG00000115762,PLEKHB2,16,-6.0601,7696,5.67248,618,-0.7428,113,-3.4458,16,-6.0963,154,-2.8190,86,-3.8492
ENSG00000173272,MZT2A,16,-3.7053,407,1.27512,1,-7.4601,185,-0.0875,207,0.10670,314,0.80537,217,0.20477
ENSG00000144224,UBXN4,16,-3.6944,407,1.28823,1,-7.4497,153,-0.4189,547,1.87798,17,-3.5892,221,0.25807
ENSG00000169554,ZEB2,16,-4.8737,407,-0.1099,180,-1.3719,155,-1.7270,44,-3.4468,459,0.08552,1251,2.62486
ENSG00000168280,KIF5C,16,-5.0865,407,-0.3435,944,1.07178,431,-0.2848,251,-1.0937,220,-1.2899,918,1.25028
ENSG00000157827,FMNL2,16,-4.0063,407,0.89674,58,-2.1647,148,-0.8340,16,-4.0420,313,0.44197,523,1.72389
ENSG00000136541,ERMN,16,-4.7386,407,0.04102,1,-8.3951,52,-3.2394,122,-1.8115,523,0.45877,1198,2.83335
ENSG00000144283,PKP4,16,-4.9046,407,-0.1433,493,0.16977,112,-2.2627,193,-1.2994,360,-0.3361,1153,2.25101
ENSG00000136531,SCN2A,16,-4.2338,407,0.62397,1455,3.45138,310,0.19621,16,-4.2693,1,-7.3891,0,-9.1834
ENSG00000138398,PPIG,16,-3.3029,407,1.81857,1,-7.0618,181,0.39490,25,-2.6641,160,0.13649,177,0.35284
ENSG00000077380,DYNC1I2,16,-4.3341,407,0.50573,331,0.16245,166,-1.0185,16,-4.3697,298,-0.0069,648,1.69266
ENSG00000091428,RAPGEF4,16,-4.5468,407,0.25925,381,0.15281,216,-0.8321,89,-2.0785,450,0.42783,675,1.40986
ENSG00000128656,CHN1,16,-6.0155,407,-1.3358,6488,4.60006,798,-0.3313,16,-6.0513,2,-8.5807,50,-4.5975
ENSG00000170144,HNRNPA3,16,-3.9050,407,1.02172,356,0.78645,178,-0.4092,16,-3.9408,326,0.63190,266,0.33221
