"","cluster","mod","n_genes","n_FDR05","nUP","nDown"
"78","vVasc","apoe_E2E3_E3E4",7215,7,3,4
"79","vL1","apoe_E2E3_E3E4",12169,3,0,3
"80","vL2","apoe_E2E3_E3E4",14315,0,0,0
"81","vInhib","apoe_E2E3_E3E4",8653,0,0,0
"82","vLD","apoe_E2E3_E3E4",14020,38,14,24
"83","vL5a","apoe_E2E3_E3E4",14441,225,116,109
"84","vL5b","apoe_E2E3_E3E4",13430,0,0,0
"85","vL6","apoe_E2E3_E3E4",13237,2,1,1
"86","vWMuf","apoe_E2E3_E3E4",3418,15,7,8
"87","vWMpv","apoe_E2E3_E3E4",8248,0,0,0
"88","vWMd","apoe_E2E3_E3E4",6255,16,9,7
"89","vVasc","anyE2_E4E4",7215,0,0,0
"90","vL1","anyE2_E4E4",12169,0,0,0
"91","vL2","anyE2_E4E4",14315,0,0,0
"92","vInhib","anyE2_E4E4",8653,0,0,0
"93","vLD","anyE2_E4E4",14020,0,0,0
"94","vL5a","anyE2_E4E4",14441,0,0,0
"95","vL5b","anyE2_E4E4",13430,0,0,0
"96","vL6","anyE2_E4E4",13237,0,0,0
"97","vWMuf","anyE2_E4E4",3418,0,0,0
"98","vWMpv","anyE2_E4E4",8248,0,0,0
"99","vWMd","anyE2_E4E4",6255,0,0,0
"100","vVasc","E2E2_anyE4",7215,360,188,172
"101","vL1","E2E2_anyE4",12169,0,0,0
"102","vL2","E2E2_anyE4",14315,2,2,0
"103","vInhib","E2E2_anyE4",8653,3,1,2
"104","vLD","E2E2_anyE4",14020,0,0,0
"105","vL5a","E2E2_anyE4",14441,210,94,116
"106","vL5b","E2E2_anyE4",13430,0,0,0
"107","vL6","E2E2_anyE4",13237,32,26,6
"108","vWMuf","E2E2_anyE4",3418,0,0,0
"109","vWMpv","E2E2_anyE4",8248,0,0,0
"110","vWMd","E2E2_anyE4",6255,0,0,0
"111","vVasc","E2E3_anyE4",7215,0,0,0
"112","vL1","E2E3_anyE4",12169,2,0,2
"113","vL2","E2E3_anyE4",14315,0,0,0
"114","vInhib","E2E3_anyE4",8653,0,0,0
"115","vLD","E2E3_anyE4",14020,2,1,1
"116","vL5a","E2E3_anyE4",14441,0,0,0
"117","vL5b","E2E3_anyE4",13430,0,0,0
"118","vL6","E2E3_anyE4",13237,2,2,0
"119","vWMuf","E2E3_anyE4",3418,20,9,11
"120","vWMpv","E2E3_anyE4",8248,0,0,0
"121","vWMd","E2E3_anyE4",6255,5,3,2
"122","vVasc","Sex",7215,5,4,1
"123","vL1","Sex",12169,16,13,3
"124","vL2","Sex",14315,24,15,9
"125","vInhib","Sex",8653,19,13,6
"126","vLD","Sex",14020,56,37,19
"127","vL5a","Sex",14441,16,13,3
"128","vL5b","Sex",13430,10,9,1
"129","vL6","Sex",13237,14,13,1
"130","vWMuf","Sex",3418,2,1,1
"131","vWMpv","Sex",8248,9,5,4
"132","vWMd","Sex",6255,8,7,1
"133","vVasc","Anc",7215,0,0,0
"134","vL1","Anc",12169,2,1,1
"135","vL2","Anc",14315,7,4,3
"136","vInhib","Anc",8653,0,0,0
"137","vLD","Anc",14020,3,1,2
"138","vL5a","Anc",14441,4,2,2
"139","vL5b","Anc",13430,1,1,0
"140","vL6","Anc",13237,2,1,1
"141","vWMuf","Anc",3418,0,0,0
"142","vWMpv","Anc",8248,1,1,0
"143","vWMd","Anc",6255,3,3,0
