Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000008130,NADK,39,0.01323,44,0.26904,25,-0.6617,31,-0.3587,39,0.01749,49,0.41528,45,0.25208,29,-0.4273
ENSG00000078369,GNB1,469,0.25388,409,0.03335,392,-0.0394,371,-0.1293,390,-0.0506,337,-0.2852,415,0.04993,426,0.09436
ENSG00000187730,GABRD,86,-0.6713,207,0.91182,117,-0.1922,156,0.27933,57,-1.3045,119,-0.1568,174,0.46439,60,-1.2122
ENSG00000067606,PRKCZ,159,-0.2604,139,-0.5293,257,0.52493,299,0.78549,196,0.07389,144,-0.4220,132,-0.5609,221,0.26809
ENSG00000162585,FAAP20,75,0.10475,35,-1.1638,91,0.43156,54,-0.4172,97,0.54241,66,-0.0872,55,-0.3691,121,0.91765
ENSG00000157933,SKI,58,-0.6101,113,0.53029,81,-0.0895,68,-0.3552,73,-0.2494,105,0.32698,106,0.35099,54,-0.7350
ENSG00000157916,RER1,90,0.21013,72,-0.1812,67,-0.2764,77,-0.0544,70,-0.2057,95,0.29409,68,-0.2544,104,0.45039
ENSG00000157911,PEX10,54,0.40535,31,-0.5803,47,0.17837,35,-0.3158,43,0.02258,45,0.10588,45,0.08332,51,0.30993
ENSG00000149527,PLCH2,17,-1.1987,47,0.41873,35,-0.1255,31,-0.2763,50,0.47927,23,-0.7408,51,0.48951,37,-0.0409
ENSG00000197921,HES5,16,-2.6923,71,-0.5749,43,-1.2854,27,-1.9566,42,-1.3085,349,2.36476,47,-1.1584,220,1.39475
ENSG00000272449,AL139246.5,8,-1.7862,28,0.07292,5,-2.4937,13,-1.1612,14,-1.0706,78,1.87677,26,-0.0718,45,0.83391
ENSG00000157870,PRXL2B,100,-0.5151,140,0.02613,176,0.39320,157,0.20764,144,0.06721,151,0.14623,158,0.21588,78,-0.8958
ENSG00000177133,PRDM16-DT,27,-0.9752,46,-0.1545,14,-1.9075,2,-4.5437,61,0.31438,107,1.30663,58,0.25214,89,0.98283
ENSG00000158109,TPRG1L,88,-0.8610,168,0.20065,215,0.58558,210,0.53909,130,-0.2442,122,-0.3495,131,-0.2320,130,-0.2389
ENSG00000130764,LRRC47,50,-0.6137,83,0.22705,91,0.34592,109,0.64917,44,-0.8072,66,-0.1705,56,-0.4290,81,0.14317
ENSG00000196581,AJAP1,55,-0.0806,90,0.89858,58,0.01683,42,-0.5119,34,-0.8114,49,-0.2569,38,-0.6364,61,0.10181
ENSG00000069424,KCNAB2,269,-0.3098,413,0.45662,288,-0.1983,367,0.19401,286,-0.2115,240,-0.4900,426,0.44304,231,-0.5436
ENSG00000116254,CHD5,372,-0.3039,447,-0.0086,620,0.53318,633,0.56935,356,-0.3717,411,-0.1435,410,-0.1466,348,-0.4095
ENSG00000116251,RPL22,687,0.45003,363,-0.6462,659,0.38116,316,-0.7949,773,0.65222,358,-0.6022,677,0.42565,511,-0.0380
ENSG00000116237,ICMT,74,0.70382,55,0.22696,47,-0.0501,38,-0.3999,32,-0.6255,43,-0.1793,40,-0.2983,52,0.11671
ENSG00000158292,GPR153,9,-1.8498,28,-0.1734,30,-0.0120,26,-0.2670,33,0.14018,20,-0.6161,63,1.24213,37,0.32364
ENSG00000097021,ACOT7,97,-0.8465,229,0.62884,217,0.44288,288,0.93572,100,-0.7976,98,-0.8246,120,-0.5133,114,-0.5866
ENSG00000215788,TNFRSF25,36,-0.1205,66,1.04756,28,-0.4956,31,-0.3645,24,-0.7403,24,-0.7574,36,-0.1226,40,0.04434
ENSG00000171680,PLEKHG5,30,-1.2525,130,1.35254,34,-1.0776,60,-0.2186,77,0.19533,52,-0.4239,70,0.04978,31,-1.2358
ENSG00000162408,NOL9,37,-0.5176,50,-0.0619,46,-0.1867,57,0.15628,49,-0.0786,56,0.11671,77,0.65529,44,-0.2704
ENSG00000162413,KLHL21,95,1.21194,39,-0.3163,43,-0.1366,52,0.16810,25,-0.9851,53,0.21095,28,-0.8171,47,0.00630
ENSG00000007923,DNAJC11,67,0.28725,45,-0.3707,64,0.22661,79,0.58272,40,-0.5210,59,0.08113,63,0.19088,40,-0.5313
ENSG00000171735,CAMTA1,336,0.42669,215,-0.3404,330,0.39546,293,0.19750,185,-0.5381,227,-0.2161,279,0.11937,255,-0.0236
ENSG00000049245,VAMP3,37,-0.1287,28,-0.5889,22,-0.9149,17,-1.2835,47,0.27909,52,0.45194,54,0.49147,72,0.99608
ENSG00000049246,PER3,18,-1.0010,34,-0.0020,22,-0.7035,32,-0.1145,39,0.22046,47,0.51638,35,0.00891,48,0.54143
ENSG00000116288,PARK7,205,-0.2032,182,-0.4354,143,-0.7619,150,-0.6893,211,-0.1506,330,0.58478,338,0.62747,347,0.67216
ENSG00000162426,SLC45A1,28,-0.0579,38,0.50587,12,-1.3271,39,0.45809,28,-0.0875,20,-0.5567,22,-0.4111,37,0.38911
ENSG00000142599,RERE,148,0.00836,196,0.55445,104,-0.5531,130,-0.1949,110,-0.4613,224,0.70519,138,-0.1024,78,-0.9961
ENSG00000074800,ENO1,426,-0.7406,702,0.05693,312,-1.2182,591,-0.2269,480,-0.5560,1241,1.02138,765,0.19092,908,0.47691
ENSG00000171612,SLC25A33,43,-0.0517,32,-0.5728,21,-1.1126,19,-1.2917,18,-1.3938,100,1.40587,83,1.05708,51,0.22400
ENSG00000188807,TMEM201,16,-1.0747,23,-0.6157,33,0.06375,58,0.98723,43,0.49819,12,-1.4879,51,0.77961,30,-0.1180
ENSG00000171603,CLSTN1,453,-0.6863,945,0.58914,597,-0.2523,959,0.52572,531,-0.4384,678,-0.0480,647,-0.1252,532,-0.4339
ENSG00000178585,CTNNBIP1,29,-0.6332,25,-0.9027,56,0.42742,61,0.57070,57,0.46983,54,0.36873,26,-0.7759,53,0.35439
ENSG00000162441,LZIC,65,0.71915,38,-0.1933,44,0.06115,32,-0.4524,32,-0.4251,34,-0.3406,45,0.10111,53,0.34630
ENSG00000130939,UBE4B,14,-1.6964,47,0.22503,43,0.07461,69,0.84664,33,-0.3385,42,0.00833,53,0.39019,26,-0.7261
ENSG00000054523,KIF1B,481,0.24327,338,-0.3716,540,0.43679,385,-0.1210,417,0.00792,482,0.24615,354,-0.2556,399,-0.0628
ENSG00000142657,PGD,51,-0.3646,54,-0.3163,77,0.29620,81,0.37664,64,-0.0189,55,-0.2525,74,0.22252,70,0.12710
ENSG00000241563,CORT,19,-0.8618,15,-1.3130,72,1.36339,24,-0.4418,58,0.98576,21,-0.6670,46,0.57341,22,-0.5903
ENSG00000160049,DFFA,45,0.23179,32,-0.3635,27,-0.6100,35,-0.1972,41,0.05552,35,-0.1822,38,-0.0516,69,0.94954
ENSG00000142655,PEX14,30,-0.2222,48,0.67533,25,-0.4883,37,0.13763,35,0.04195,23,-0.6199,22,-0.6816,39,0.20139
ENSG00000120948,TARDBP,57,-0.4561,83,0.15902,47,-0.7483,98,0.42337,92,0.31253,63,-0.2833,101,0.46660,59,-0.3914
ENSG00000116649,SRM,144,0.02398,185,0.51550,138,-0.0400,128,-0.1618,133,-0.1016,109,-0.4168,142,-7.0286,111,-0.3864
ENSG00000171824,EXOSC10,17,-0.8092,21,-0.5283,30,0.11388,15,-0.9825,20,-0.5513,60,1.28572,40,0.56232,31,0.14504
ENSG00000198793,MTOR,16,-1.2275,52,0.69966,24,-0.6209,39,0.11309,32,-0.2072,30,-0.3037,22,-0.7874,60,0.82137
ENSG00000116661,FBXO2,326,-0.4686,382,-0.2504,383,-0.2146,236,-0.9713,315,-0.5231,577,0.45664,844,1.12336,496,0.20363
ENSG00000132879,FBXO44,287,0.31084,292,0.39908,322,0.50326,307,0.42247,138,-0.8486,171,-0.5179,201,-0.2660,125,-1.0020
ENSG00000116670,MAD2L2,17,-1.5452,73,0.84472,30,-0.7060,40,-0.2884,34,-0.5092,69,0.63077,43,-0.1487,48,0.00681
ENSG00000177000,MTHFR,15,-1.1269,30,-0.0548,44,0.55764,31,-0.0168,32,0.03114,24,-0.4205,38,0.28753,38,0.30455
ENSG00000011021,CLCN6,74,-0.6405,130,0.28802,125,0.18186,166,0.66041,97,-0.2214,104,-0.1177,102,-0.1427,76,-0.6009
ENSG00000116685,KIAA2013,64,0.60367,34,-0.4529,29,-0.6646,34,-0.4036,56,0.36453,65,0.63454,25,-0.9051,58,0.43491
ENSG00000083444,PLOD1,40,0.66651,18,-0.6751,6,-2.0988,39,0.65193,30,0.19266,42,0.75782,10,-1.4174,35,0.45126
ENSG00000116688,MFN2,108,0.18682,89,-0.1430,108,0.19017,105,0.14893,113,0.25491,93,-0.0503,67,-0.5744,94,-0.0400
ENSG00000116691,MIIP,75,1.62782,21,-0.6067,19,-0.7386,39,0.44102,18,-0.8038,28,-0.1157,21,-0.5788,27,-0.1521
ENSG00000048707,VPS13D,27,-1.0201,61,0.25585,83,0.74738,71,0.48859,43,-0.3283,46,-0.2399,50,-0.1049,35,-0.6344
ENSG00000162496,DHRS3,34,-0.0916,13,-1.6857,20,-0.9243,18,-1.0845,46,0.39401,71,1.15428,29,-0.3685,81,1.40707
ENSG00000116731,PRDM2,112,0.40310,129,0.76544,103,0.26423,96,0.15356,37,-1.3224,61,-0.5633,69,-0.3808,51,-0.8356
ENSG00000189337,KAZN,35,-0.0937,32,-0.2837,28,-0.4405,59,0.77264,43,0.21841,30,-0.3632,30,-0.3305,47,0.36660
ENSG00000142634,EFHD2,113,0.12215,18,-2.7967,272,1.69069,318,2.01664,122,0.25125,15,-2.8986,25,-2.1585,41,-1.4374
ENSG00000116138,DNAJC16,23,-0.2844,26,-0.1184,20,-0.5177,34,0.30154,33,0.27782,19,-0.5975,31,0.15575,39,0.54930
ENSG00000116786,PLEKHM2,61,-0.9910,90,-0.4361,170,0.66108,116,0.02064,122,0.10382,102,-0.1823,135,0.27221,144,0.38226
ENSG00000065526,SPEN,80,0.53683,73,0.42987,76,0.44191,44,-0.4435,47,-0.3366,31,-0.9780,41,-0.5582,58,0.00208
ENSG00000037637,FBXO42,13,-1.0623,34,0.58790,53,1.24961,26,0.02042,17,-0.5858,33,0.43615,12,-1.1179,5,-2.2582
ENSG00000055070,SZRD1,32,-0.5101,42,-0.0983,12,-1.9989,36,-0.3439,69,0.72113,75,0.88028,35,-0.3544,57,0.40134
ENSG00000058453,CROCC,7,-1.9834,29,0.14685,34,0.40121,32,0.33895,33,0.34769,30,0.22602,20,-0.4146,24,-0.1649
ENSG00000159363,ATP13A2,30,-1.8257,96,-0.0714,126,0.37763,150,0.67783,85,-0.2573,88,-0.2053,100,-0.0065,128,0.41252
ENSG00000117118,SDHB,52,-0.2840,73,0.30058,44,-0.5603,46,-0.4645,53,-0.2537,78,0.36107,79,0.40128,62,-0.0093
ENSG00000117115,PADI2,10,-2.5387,39,-0.6422,67,0.27210,28,-1.0805,54,-0.0925,140,1.58193,51,-0.1724,82,0.60943
ENSG00000179051,RCC2,44,0.55219,43,0.59590,18,-0.8959,25,-0.3952,19,-0.7618,38,0.31155,21,-0.6646,34,0.09417
ENSG00000074964,ARHGEF10L,25,0.02412,14,-1.0287,29,0.23510,34,0.53068,31,0.36647,32,0.40457,22,-0.1821,23,-0.1195
ENSG00000117154,IGSF21,17,-2.5431,95,-0.0021,183,1.12123,187,1.16464,70,-0.4737,64,-0.6213,73,-0.4119,69,-0.5087
ENSG00000159423,ALDH4A1,39,-1.2161,72,-0.2905,57,-0.6178,35,-1.3717,46,-0.9537,122,0.60485,102,0.30529,217,1.66613
ENSG00000127463,EMC1,21,-1.0220,39,-0.1011,24,-0.7973,57,0.53594,37,-0.1685,73,0.97612,26,-0.6983,52,0.40692
ENSG00000053372,MRTO4,34,-0.6540,44,-0.2713,76,0.64538,61,0.27438,38,-0.4780,39,-0.4291,71,0.54713,55,0.10321
ENSG00000053371,AKR7A2,29,-0.8244,38,-0.4696,28,-0.8650,19,-1.4642,58,0.28203,84,0.90983,74,0.68164,74,0.67459
ENSG00000077549,CAPZB,312,-0.1910,375,0.11845,438,0.36067,370,0.08445,288,-0.3197,328,-0.1111,323,-0.1341,355,0.01618
ENSG00000173436,MICOS10,218,-0.4320,275,-0.0732,326,0.21379,241,-0.2762,334,0.25118,304,0.09566,291,0.02567,312,0.14252
ENSG00000158747,NBL1,392,0.07422,266,-0.6086,512,0.51993,606,0.80947,346,-0.1257,385,0.04561,282,-0.4538,315,-0.2769
ENSG00000162545,CAMK2N1,965,-0.1777,1518,0.67457,808,-0.4582,600,-0.9216,1103,0.03923,1210,0.19068,1314,0.32648,657,-0.7811
ENSG00000090432,MUL1,43,0.45704,22,-0.6741,27,-0.3108,42,0.40583,20,-0.7363,48,0.64618,30,-0.1600,39,0.30809
ENSG00000158828,PINK1,272,-0.5379,304,-0.4049,474,0.35668,440,0.23411,454,0.28682,316,-0.3021,391,0.04186,476,0.36562
ENSG00000244038,DDOST,1,-4.7028,34,0.60763,16,-0.6680,34,0.50965,11,-1.2906,41,0.81990,26,0.06833,28,0.16129
ENSG00000189410,SH2D5,34,-0.1014,56,0.88721,39,0.11867,66,1.03198,10,-1.9731,22,-0.7703,19,-0.9488,21,-0.8024
ENSG00000127483,HP1BP3,164,0.00598,166,0.02924,118,-0.5158,169,0.04933,169,0.05139,187,0.21956,153,-0.1070,180,0.15378
ENSG00000075151,EIF4G3,115,0.10754,97,-0.2002,156,0.60639,135,0.36568,48,-1.2527,66,-0.7691,123,0.20870,135,0.37098
ENSG00000117298,ECE1,86,1.39215,19,-1.2053,35,-0.1427,34,-0.2027,13,-1.6957,59,0.72405,29,-0.4153,52,0.48674
ENSG00000076864,RAP1GAP,104,-0.8094,190,0.16166,298,0.91040,309,0.97205,159,-0.1443,114,-0.6664,108,-0.7477,94,-0.9654
ENSG00000090686,USP48,1,-4.2535,34,0.20054,18,-0.8574,41,0.45821,31,0.00730,26,-0.2512,43,0.55216,48,0.74963
ENSG00000070831,CDC42,257,0.15372,220,-0.1139,223,-0.0779,345,0.64814,193,-0.3073,257,0.15058,187,-0.3610,204,-0.2175
ENSG00000004487,KDM1A,92,0.61238,90,0.69352,69,0.14147,59,-0.1060,46,-0.5058,31,-1.1279,40,-0.7200,53,-0.2900
ENSG00000169641,LUZP1,32,-0.8972,58,0.03886,93,0.82542,84,0.64406,54,-0.0952,40,-0.5587,60,0.09836,33,-0.8600
ENSG00000125944,HNRNPR,112,0.21593,101,0.05538,95,-0.0484,62,-0.7269,112,0.22036,77,-0.3743,134,0.51988,87,-0.1830
ENSG00000125945,ZNF436,31,0.37318,35,0.69427,23,-0.0895,37,0.69198,8,-1.7114,28,0.22831,8,-1.6146,15,-0.7845
ENSG00000117318,ID3,330,3.49965,19,-1.9552,5,-3.6543,14,-2.2312,32,-1.0160,8,-3.0218,75,0.30492,57,-0.1263
ENSG00000142676,RPL11,758,0.62311,286,-1.0392,406,-0.4020,406,-0.4020,1037,1.18065,359,-0.5941,514,-0.0238,643,0.34354
ENSG00000057757,PITHD1,116,-0.4016,164,0.17804,164,0.15957,229,0.72087,117,-0.3891,126,-0.2632,130,-0.2208,131,-0.2087
ENSG00000011009,LYPLA2,53,-0.3796,86,0.48185,86,0.39997,69,0.04691,50,-0.4681,88,0.43645,31,-1.1743,55,-0.3177
ENSG00000117308,GALE,8,-1.6647,28,0.24236,35,0.56652,37,0.68051,13,-0.9559,19,-0.4095,30,0.31904,23,-0.0929
ENSG00000117305,HMGCL,19,-0.5316,21,-0.3997,10,-1.4328,19,-0.5152,20,-0.4286,32,0.30172,14,-0.9372,81,2.02988
ENSG00000189266,PNRC2,80,0.20816,65,-0.1511,48,-0.6151,83,0.26334,60,-0.2739,95,0.48690,47,-0.6359,93,0.45236
ENSG00000188529,SRSF10,59,0.11269,73,0.54206,49,-0.1914,40,-0.4938,47,-0.2756,33,-0.7872,62,0.19149,60,0.13784
ENSG00000001461,NIPAL3,41,-0.5933,44,-0.5372,97,0.79210,109,1.01157,89,0.65549,40,-0.6485,27,-1.2540,49,-0.3096
ENSG00000133226,SRRM1,85,0.76088,65,0.34160,53,-0.0269,19,-1.5724,75,0.54512,70,0.42198,16,-1.8037,38,-0.5730
ENSG00000169504,CLIC4,106,1.70851,14,-1.7407,26,-0.6938,11,-1.9394,60,0.65824,19,-1.1737,55,0.51217,58,0.60057
ENSG00000117614,SYF2,52,0.07690,45,-0.1822,40,-0.3575,45,-0.1662,53,0.10553,40,-0.3495,50,0.01248,78,0.74681
ENSG00000117616,RSRP1,101,0.59122,99,0.64188,29,-1.3965,69,-0.0537,53,-0.4757,94,0.47122,55,-0.3961,40,-0.8836
ENSG00000183726,TMEM50A,106,-0.1144,131,0.27532,30,-2.0198,63,-0.9254,135,0.28744,123,0.13831,196,0.92873,104,-0.1323
ENSG00000204178,MACO1,40,0.30981,34,0.08232,49,0.65655,27,-0.2743,11,-1.6327,37,0.18780,39,0.29596,23,-0.5452
ENSG00000117643,MAN1C1,60,0.73358,73,1.32481,22,-0.8585,21,-0.9173,13,-1.5990,36,-0.1152,25,-0.6597,23,-0.7816
ENSG00000162430,SELENON,47,-1.0938,101,0.12503,94,-0.0229,78,-0.3047,125,0.45642,104,0.14264,88,-0.1217,115,0.31968
ENSG00000117640,MTFR1L,72,-0.4772,103,0.10240,68,-0.5612,126,0.43528,94,-0.0492,77,-0.3677,114,0.25730,117,0.30912
ENSG00000117632,STMN1,670,-0.5552,1171,0.40128,1324,0.55202,1758,1.04969,620,-0.6770,557,-0.8421,576,-0.7915,702,-0.4820
ENSG00000158008,EXTL1,34,-1.2997,84,0.12238,108,0.53453,114,0.62258,103,0.45837,53,-0.6135,60,-0.4271,65,-0.2927
ENSG00000142684,ZNF593,23,-0.4945,33,0.09051,29,-0.1527,60,1.06754,20,-0.7576,25,-0.3556,28,-0.2167,35,0.14755
ENSG00000142669,SH3BGRL3,273,0.07387,203,-0.4464,329,0.38375,413,0.77072,226,-0.2331,213,-0.3218,252,-0.0533,234,-0.1723
ENSG00000158062,UBXN11,29,0.16720,27,0.02027,31,0.23362,27,0.04868,33,0.37576,37,0.53821,15,-0.8443,12,-1.2075
ENSG00000117682,DHDDS,3,-3.1477,30,0.35343,37,0.60945,35,0.53419,16,-0.6925,38,0.66135,18,-0.5550,20,-0.3382
ENSG00000198830,HMGN2,159,0.72559,86,-0.3304,35,-1.6546,70,-0.6123,110,0.11171,120,0.24840,139,0.49868,122,0.27524
ENSG00000117713,ARID1A,51,-0.5016,74,0.11391,73,0.06922,62,-0.1889,57,-0.3367,98,0.55687,33,-1.1587,107,0.70769
ENSG00000204160,ZDHHC18,55,0.24704,77,0.98469,42,-0.1884,56,0.27569,31,-0.6581,22,-1.1519,31,-0.6573,34,-0.5381
ENSG00000142751,GPN2,32,0.32190,31,0.28682,11,-1.3357,33,0.34213,23,-0.2426,25,-0.1081,20,-0.4568,33,0.37490
ENSG00000090273,NUDC,137,-0.5976,248,0.40939,225,0.19391,173,-0.2377,132,-0.6531,187,-0.1127,212,0.09086,239,0.29455
ENSG00000253368,TRNP1,74,1.09919,32,-0.3440,30,-0.3714,45,0.26920,28,-0.4896,26,-0.6268,51,0.45847,29,-0.4697
ENSG00000090020,SLC9A1,62,0.57778,52,0.34598,65,0.67774,59,0.49597,12,-1.9374,52,0.28271,23,-0.9807,14,-1.7141
ENSG00000142784,WDTC1,106,0.59912,49,-0.7231,78,0.09567,78,0.09621,73,-0.0246,83,0.20020,57,-0.3941,90,0.32876
ENSG00000186501,TMEM222,119,-0.1657,153,0.27968,145,0.16022,169,0.41561,152,0.23685,97,-0.4920,89,-0.6119,108,-0.3179
ENSG00000158195,WASF2,117,1.55964,27,-0.9694,41,-0.2528,11,-2.1573,45,-0.1214,57,0.26899,41,-0.2434,66,0.51702
ENSG00000126705,AHDC1,62,-0.3687,83,0.09298,121,0.71750,122,0.73836,52,-0.6520,80,0.03521,56,-0.5235,48,-0.7790
ENSG00000126709,IFI6,435,0.62711,100,-1.8160,580,1.13623,672,1.41422,185,-0.7574,124,-1.3650,198,-0.6518,292,-0.0331
ENSG00000117758,STX12,117,0.40426,64,-0.6298,115,0.37245,103,0.18904,61,-0.6248,55,-0.8011,131,0.59716,113,0.34772
ENSG00000117751,PPP1R8,41,-0.4496,58,0.12682,53,-0.0402,66,0.33208,53,-0.0241,71,0.45543,55,0.04870,31,-0.8766
ENSG00000117748,RPA2,13,-1.9127,70,0.78072,59,0.37470,47,-0.0191,31,-0.6560,55,0.24767,38,-0.3481,41,-0.2153
ENSG00000126698,DNAJC8,140,0.32378,116,0.01367,111,-0.0591,117,0.01830,150,0.43575,141,0.33350,73,-0.7244,73,-0.7247
ENSG00000130770,ATP5IF1,256,0.00427,315,0.40172,279,0.14640,232,-0.1548,226,-0.1966,233,-0.1512,218,-0.2535,224,-0.2076
ENSG00000198492,YTHDF2,70,-0.3553,106,0.35503,124,0.57622,105,0.29424,60,-0.5978,89,0.02313,46,-0.9984,83,-0.0842
ENSG00000116350,SRSF4,63,0.25077,48,-0.2136,62,0.22058,67,0.35798,42,-0.4173,73,0.48157,39,-0.5294,46,-0.2731
ENSG00000116353,MECR,41,0.23295,46,0.48881,31,-0.2421,44,0.34880,31,-0.2166,30,-0.2872,26,-0.4893,26,-0.5038
ENSG00000060656,PTPRU,4,-2.5907,5,-2.5348,81,2.03723,59,1.39056,45,0.89212,6,-2.0729,9,-1.6385,21,-0.3201
ENSG00000162512,SDC3,170,-0.4656,304,0.56279,197,-0.2294,141,-0.7610,239,0.07890,281,0.34772,211,-0.1190,201,-0.2009
ENSG00000134644,PUM1,180,0.08369,191,0.20900,211,0.34287,254,0.66357,115,-0.6205,163,-0.0729,113,-0.6489,119,-0.5749
ENSG00000121766,ZCCHC17,90,-0.6540,177,0.49877,170,0.35819,144,0.08128,118,-0.2359,134,-0.0366,147,0.11405,74,-0.9654
ENSG00000121769,FABP3,77,-0.7415,110,-0.1908,271,1.37778,225,1.03223,90,-0.4828,78,-0.7114,67,-0.9469,74,-0.7874
ENSG00000162517,PEF1,102,-0.0968,152,0.66135,89,-0.3108,106,-0.0426,81,-0.4676,81,-0.4723,142,0.43788,72,-0.6458
ENSG00000084636,COL16A1,41,-0.3649,42,-0.3931,42,-0.3566,76,0.61958,31,-0.7883,61,0.25481,49,-0.1086,85,0.82819
ENSG00000121753,ADGRB2,221,-0.6745,395,0.28807,461,0.51030,438,0.42457,239,-0.5531,349,0.04605,292,-0.2417,261,-0.4184
ENSG00000184007,PTP4A2,283,0.50134,133,-0.7928,290,0.54086,223,0.10795,374,0.98519,80,-1.4876,114,-0.9540,252,0.30605
ENSG00000121774,KHDRBS1,111,-0.1985,178,0.69643,125,-0.0082,110,-0.2084,72,-0.8770,111,-0.1928,166,0.46874,76,-0.7915
ENSG00000121775,TMEM39B,20,-0.4993,43,0.86658,24,-0.2466,39,0.56029,24,-0.2614,29,0.09014,16,-0.8495,12,-1.2925
ENSG00000025800,KPNA6,24,-0.6566,55,0.83140,47,0.43549,32,-0.2012,13,-1.5171,24,-0.6174,45,0.36383,29,-0.3191
ENSG00000084652,TXLNA,27,-0.1095,27,-0.1488,41,0.54952,29,-0.0295,11,-1.5150,38,0.45367,39,0.48559,24,-0.3294
ENSG00000160050,CCDC28B,19,-0.5459,26,-0.1065,23,-0.2929,14,-1.0316,15,-0.9181,40,0.60184,31,0.17787,54,1.13863
ENSG00000084623,EIF3I,115,-0.0551,137,0.26211,98,-0.3230,116,-0.0445,110,-0.1326,109,-0.1423,106,-0.1955,146,0.33214
