"Cluster","DE_class_cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","ONTOLOGY"
"Excit-L5-2_up","Excit-L5-2_up","GO:0090533","cation-transporting ATPase complex","1/2","43/15125",0.0232558139534884,175.872093023256,13.2054931341462,0.00567805534851307,0.0191727056334296,0.00366941734611093,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0016469","proton-transporting two-sector ATPase complex","1/2","44/15125",0.0227272727272727,171.875,13.0532649110554,0.00580991079800897,0.0191727056334296,0.00366941734611093,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0098533","ATPase dependent transmembrane transport complex","1/2","49/15125",0.0204081632653061,154.336734693878,12.3631899663992,0.00646905689823618,0.0194071706947085,0.00371429104204948,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0005801","cis-Golgi network","1/2","59/15125",0.0169491525423729,128.177966101695,11.2555897576611,0.00778669336241888,0.0214134067466519,0.00409825966443099,"GOLGA8A",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0032580","Golgi cisterna membrane","1/2","78/15125",0.0128205128205128,96.9551282051282,9.77056969540594,0.0102877939064613,0.026115169147171,0.00499811849706621,"GOLGA8A",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0031985","Golgi cisterna","1/2","102/15125",0.00980392156862745,74.1421568627451,8.52351777755324,0.0134425673386505,0.0313226469795461,0.00599476497216193,"GOLGA8A",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:1904949","ATPase complex","1/2","124/15125",0.00806451612903226,60.9879032258064,7.71336309021918,0.0163300189507783,0.0313226469795461,0.00599476497216193,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0030665","clathrin-coated vesicle membrane","1/2","126/15125",0.00793650793650794,60.0198412698413,7.65035367938615,0.0165923047162737,0.0313226469795461,0.00599476497216193,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0005795","Golgi stack","1/2","136/15125",0.00735294117647059,55.6066176470588,7.35627163564455,0.0179032089547344,0.0313226469795461,0.00599476497216193,"GOLGA8A",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0030672","synaptic vesicle membrane","1/2","137/15125",0.0072992700729927,55.2007299270073,7.32863230645185,0.0180342512912538,0.0313226469795461,0.00599476497216193,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0099501","exocytic vesicle membrane","1/2","137/15125",0.0072992700729927,55.2007299270073,7.32863230645185,0.0180342512912538,0.0313226469795461,0.00599476497216193,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0019898","extrinsic component of membrane","1/2","151/15125",0.00662251655629139,50.0827814569536,6.97072710503025,0.0198679259717465,0.0327820778533817,0.00627408188581468,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0030662","coated vesicle membrane","1/2","189/15125",0.00529100529100529,40.0132275132275,6.20661756455293,0.0248364047291697,0.039028636002981,0.00746959540726908,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0030136","clathrin-coated vesicle","1/2","204/15125",0.00490196078431373,37.0710784313725,5.96491969805215,0.0267941709417024,0.0401912564125537,0.00769210649044089,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0008021","synaptic vesicle","1/2","218/15125",0.00458715596330275,34.6903669724771,5.76193319569811,0.0286196445472248,0.0408726964968381,0.00782252564532787,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0070382","exocytic vesicle","1/2","235/15125",0.00425531914893617,32.1808510638298,5.53992522892377,0.0308339872481149,0.0408726964968381,0.00782252564532787,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0030658","transport vesicle membrane","1/2","236/15125",0.00423728813559322,32.0444915254237,5.52760681498402,0.0309641640127561,0.0408726964968381,0.00782252564532787,"ATP6V1H",1,"CC"
"Inhib-Sst_down","Inhib-Sst_down","GO:0022625","cytosolic large ribosomal subunit","1/2","52/15125",0.0192307692307692,145.432692307692,11.9976637238237,0.00686443964056904,0.0341233877084422,0.0102626729950202,"RPL19",1,"CC"
"Inhib-Sst_down","Inhib-Sst_down","GO:0015934","large ribosomal subunit","1/2","108/15125",0.00925925925925926,70.0231481481481,8.27836187695181,0.014230473813172,0.0341233877084422,0.0102626729950202,"RPL19",1,"CC"
"Inhib-Sst_down","Inhib-Sst_down","GO:0022626","cytosolic ribosome","1/2","111/15125",0.00900900900900901,68.1306306306306,8.16325507003797,0.0146243090179038,0.0341233877084422,0.0102626729950202,"RPL19",1,"CC"
"Inhib-Sst_down","Inhib-Sst_down","GO:0044391","ribosomal subunit","1/2","178/15125",0.00561797752808989,42.4859550561798,6.40270411588764,0.0233994592361547,0.0409490536632708,0.0123155048611341,"RPL19",1,"CC"
"Inhib-Sst_down","Inhib-Sst_down","GO:0005840","ribosome","1/2","224/15125",0.00446428571428571,33.7611607142857,5.68074033350909,0.0294014657891456,0.0411620521048038,0.0123795645427981,"RPL19",1,"CC"
"Inhib-Vip_down","Inhib-Vip_down","GO:0043209","myelin sheath","2/13","44/15125",0.0454545454545455,52.8846153846154,10.1086674136965,0.000632133193390594,0.0379279916034356,0.0272815378200151,"PLP1/ERMN",2,"CC"
"Macro_down","Macro_down","GO:0005883","neurofilament","1/5","11/15125",0.0909090909090909,275,16.5310194699215,0.00363155776472124,0.0374586037882298,0.0123219091408651,"NRP1",1,"CC"
"Macro_down","Macro_down","GO:0002116","semaphorin receptor complex","1/5","14/15125",0.0714285714285714,216.071428571429,14.6400505342893,0.00462014921774045,0.0374586037882298,0.0123219091408651,"NRP1",1,"CC"
"Macro_down","Macro_down","GO:0005925","focal adhesion","2/5","408/15125",0.00490196078431373,14.828431372549,5.14915299744239,0.00687726428094672,0.0374586037882298,0.0123219091408651,"DAB2/NRP1",2,"CC"
"Macro_down","Macro_down","GO:0030055","cell-substrate junction","2/5","418/15125",0.00478468899521531,14.4736842105263,5.0798969222103,0.00720926939743958,0.0374586037882298,0.0123219091408651,"DAB2/NRP1",2,"CC"
"Macro_down","Macro_down","GO:0005765","lysosomal membrane","2/5","426/15125",0.00469483568075117,14.2018779342723,5.02619181325591,0.00748017106655402,0.0374586037882298,0.0123219091408651,"DAB2/GLIPR1",2,"CC"
"Macro_down","Macro_down","GO:0098852","lytic vacuole membrane","2/5","426/15125",0.00469483568075117,14.2018779342723,5.02619181325591,0.00748017106655402,0.0374586037882298,0.0123219091408651,"DAB2/GLIPR1",2,"CC"
"Macro_down","Macro_down","GO:0005774","vacuolar membrane","2/5","464/15125",0.00431034482758621,13.0387931034483,4.78963683527676,0.008830741847905,0.0374586037882298,0.0123219091408651,"DAB2/GLIPR1",2,"CC"
"Macro_down","Macro_down","GO:0005834","heterotrimeric G-protein complex","1/5","31/15125",0.032258064516129,97.5806451612903,9.78838892989256,0.0102073561249417,0.0374586037882298,0.0123219091408651,"GNG2",1,"CC"
