"gene","cellType.target","mean.target","cellType.2nd","mean.2nd","MeanRatio","MeanRatio.rank","MeanRatio.anno","gene_ensembl","gene_name"
"KIAA0930","Astro.3",1.53343479327455,"Excit.L6_CT",1.59833142736949,0.959397260803575,35,"Astro.3/Excit.L6_CT: 0.959","ENSG00000100364","KIAA0930"
"MROH7","Astro.3",1.81769627175475,"Astro.1",1.89743436556738,0.957975835549502,36,"Astro.3/Astro.1: 0.958","ENSG00000184313","MROH7"
"ZBTB20","Astro.3",4.84054607807193,"Astro.1",5.05453565063673,0.957663851369246,37,"Astro.3/Astro.1: 0.958","ENSG00000181722","ZBTB20"
"EMID1","Astro.3",1.0588349425076,"Astro.1",1.10707596842493,0.956424827840883,38,"Astro.3/Astro.1: 0.956","ENSG00000186998","EMID1"
"RNPC3","Astro.3",1.52804838151196,"Astro.1",1.59837656987315,0.956000238187448,39,"Astro.3/Astro.1: 0.956","ENSG00000185946","RNPC3"
"MSI2","Astro.3",4.51935695627186,"Astro.1",4.73432668790617,0.954593388710702,40,"Astro.3/Astro.1: 0.955","ENSG00000153944","MSI2"
"ABLIM1","Astro.3",3.94012161524846,"Astro.1",4.13431619494317,0.953028609681033,41,"Astro.3/Astro.1: 0.953","ENSG00000099204","ABLIM1"
"KIF1B","Astro.3",3.43469112681685,"Astro.1",3.60596215845211,0.952503375213238,42,"Astro.3/Astro.1: 0.953","ENSG00000054523","KIF1B"
"NFIA","Astro.3",4.30188253212707,"Astro.1",4.52088160042837,0.951558326968671,43,"Astro.3/Astro.1: 0.952","ENSG00000162599","NFIA"
"SON","Astro.3",1.73542106531878,"Astro.1",1.82594306029743,0.950424524758235,44,"Astro.3/Astro.1: 0.95","ENSG00000159140","SON"
"RPS6KA2","Astro.3",3.38574512953799,"Astro.1",3.56675323895356,0.949251294583901,45,"Astro.3/Astro.1: 0.949","ENSG00000071242","RPS6KA2"
"CAPN2","Astro.3",1.11387300791528,"Astro.1",1.17407059126849,0.948727458296889,46,"Astro.3/Astro.1: 0.949","ENSG00000162909","CAPN2"
"RYR3","Astro.3",3.93868542728156,"Astro.1",4.15398086141485,0.948171298492706,47,"Astro.3/Astro.1: 0.948","ENSG00000198838","RYR3"
"SNTA1","Astro.3",1.32354740978548,"Astro.1",1.39594050245876,0.948140273496059,48,"Astro.3/Astro.1: 0.948","ENSG00000101400","SNTA1"
"ZHX3","Astro.3",2.88469473884712,"Astro.1",3.04252592658492,0.94812494895813,49,"Astro.3/Astro.1: 0.948","ENSG00000174306","ZHX3"
"MALAT1","Astro.3",8.66776773056032,"Astro.4",9.15005566743623,0.947291256533848,50,"Astro.3/Astro.4: 0.947","ENSG00000251562","MALAT1"
"ENSG00000287372","Astro.4",1.60221750451929,"Astro.5",0.274161357099076,5.84406760118378,1,"Astro.4/Astro.5: 5.844","ENSG00000287372","ENSG00000287372"
"LINC00836","Astro.4",1.71832085039242,"Astro.5",0.314878679257364,5.45708859820249,2,"Astro.4/Astro.5: 5.457","ENSG00000280809","LINC00836"
"ENSG00000259255","Astro.4",2.18188744560209,"Astro.5",0.539148531095897,4.04691345660738,3,"Astro.4/Astro.5: 4.047","ENSG00000259255","ENSG00000259255"
"LMNTD1","Astro.4",1.42568153650169,"Astro.5",0.354263243308682,4.02435636050291,4,"Astro.4/Astro.5: 4.024","ENSG00000152936","LMNTD1"
"HSPB8","Astro.4",2.11852968102419,"Astro.5",0.561106747126984,3.77562681588063,5,"Astro.4/Astro.5: 3.776","ENSG00000152137","HSPB8"
"TNC","Astro.4",2.76859757886786,"Astro.5",0.834443766068523,3.31789593433251,6,"Astro.4/Astro.5: 3.318","ENSG00000041982","TNC"
"OSGIN2","Astro.4",1.30673180015491,"Astro.1",0.398542058517308,3.2787801744597,7,"Astro.4/Astro.1: 3.279","ENSG00000164823","OSGIN2"
"ENSG00000287704","Astro.4",4.62078518270795,"Astro.5",1.41874873360681,3.25694400513103,8,"Astro.4/Astro.5: 3.257","ENSG00000287704","ENSG00000287704"
"GMPR","Astro.4",1.07431132373078,"Vasc.VLMC",0.33170302637236,3.23877456132942,9,"Astro.4/Vasc.VLMC: 3.239","ENSG00000137198","GMPR"
"SERPINI2","Astro.4",1.83987832388344,"Astro.3",0.573362291870229,3.20892801980753,10,"Astro.4/Astro.3: 3.209","ENSG00000114204","SERPINI2"
"CD44","Astro.4",2.15139580015363,"Vasc.PC",0.674031213136216,3.19183408457207,11,"Astro.4/Vasc.PC: 3.192","ENSG00000026508","CD44"
"PFKFB2","Astro.4",1.3810465871138,"Astro.2",0.469519498794301,2.94140411774217,12,"Astro.4/Astro.2: 2.941","ENSG00000123836","PFKFB2"
"USH1C","Astro.4",1.05354840052391,"Astro.5",0.392828054653616,2.68195814439194,13,"Astro.4/Astro.5: 2.682","ENSG00000006611","USH1C"
"GINS3","Astro.4",1.11671091579532,"Astro.2",0.426425870584228,2.61876915269086,14,"Astro.4/Astro.2: 2.619","ENSG00000181938","GINS3"
"WDR49","Astro.4",2.77025117127965,"Astro.2",1.06545346028863,2.60006774066809,15,"Astro.4/Astro.2: 2.6","ENSG00000174776","WDR49"
"CFAP47","Astro.4",1.61617771578161,"Inhib.Pax6",0.628821377682321,2.57016980201665,16,"Astro.4/Inhib.Pax6: 2.57","ENSG00000165164","CFAP47"
"RGS9","Astro.4",1.2295388842591,"Astro.2",0.497983813098158,2.4690338358784,17,"Astro.4/Astro.2: 2.469","ENSG00000108370","RGS9"
"TJP2","Astro.4",2.51260707607074,"Vasc.Endo",1.12981093239804,2.22391818314033,18,"Astro.4/Vasc.Endo: 2.224","ENSG00000119139","TJP2"
"MIR4300HG","Astro.4",3.2255250489615,"Astro.1",1.48915884688357,2.16600469164971,19,"Astro.4/Astro.1: 2.166","ENSG00000245832","MIR4300HG"
"LINC01094","Astro.4",1.98244519814053,"Micro.1",0.922071254657157,2.14999132456161,20,"Astro.4/Micro.1: 2.15","ENSG00000251442","LINC01094"
