Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228594,FNDC10,6,-2.3529,25,-0.2288,38,0.44363,39,0.48789,30,0.08084,22,-0.4124,34,0.31376
ENSG00000272106,AL691432.2,21,0.23940,16,-0.2053,26,0.57109,20,0.11034,14,-0.5657,18,0.01260,20,0.19120
ENSG00000197530,MIB2,19,-0.7526,25,-0.3569,35,0.17950,28,-0.1403,34,0.16917,20,-0.6926,41,0.53152
ENSG00000189339,SLC35E2B,17,0.12585,15,-0.0729,18,0.14771,16,-0.0090,18,0.19049,15,-0.1321,13,-0.3204
ENSG00000215790,SLC35E2A,20,-0.3126,17,-0.5683,25,0.04697,24,-0.0050,26,0.14783,30,0.33433,25,0.00625
ENSG00000008130,NADK,12,-0.9897,28,0.39344,27,0.32893,20,-0.1609,24,0.18335,21,-0.0669,20,-0.1533
ENSG00000078369,GNB1,226,-0.9349,432,0.07637,532,0.41644,519,0.37524,386,-0.1303,403,-0.0357,424,0.05298
ENSG00000187730,GABRD,9,-3.9251,23,-2.6146,161,0.32668,293,1.36503,179,0.68022,103,-0.3779,95,-0.5692
ENSG00000067606,PRKCZ,98,-0.8486,142,-0.2862,197,0.24271,129,-0.4280,204,0.39483,147,-0.2294,186,0.16499
ENSG00000162585,FAAP20,67,0.66998,53,0.27021,28,-0.7478,24,-0.9696,41,-0.1652,53,0.27943,49,0.17836
ENSG00000157933,SKI,43,0.38962,40,0.26710,23,-0.5983,39,0.22230,25,-0.5322,33,-0.0136,41,0.36943
ENSG00000157916,RER1,75,0.40717,57,-0.0430,73,0.35319,68,0.22908,63,0.16624,47,-0.3603,38,-0.7384
ENSG00000157911,PEX10,46,0.81561,31,0.17951,25,-0.1947,24,-0.2597,23,-0.3714,31,0.13439,27,-0.0575
ENSG00000149527,PLCH2,9,-0.9926,2,-3.0010,15,-0.2322,23,0.51748,27,1.04072,16,-0.1177,12,-0.5214
ENSG00000157881,PANK4,9,-0.7668,13,-0.1327,20,0.50329,28,1.12269,15,0.04332,11,-0.3383,9,-0.7593
ENSG00000197921,HES5,5,-1.8910,2,-3.0384,11,-0.8468,19,0.04655,18,-0.1266,47,1.55487,25,0.55362
ENSG00000272449,AL139246.5,0,-7.4451,1,-3.2123,3,-1.3710,10,0.34790,10,0.50532,13,0.78517,12,0.66233
ENSG00000157873,TNFRSF14,2,-1.4841,1,-2.7665,6,-0.3129,21,1.77935,9,0.35509,10,0.41347,4,-1.0985
ENSG00000157870,PRXL2B,23,-1.2689,30,-0.8588,69,0.46410,71,0.51618,67,0.55651,60,0.23181,32,-0.7924
ENSG00000177133,PRDM16-DT,5,-1.7879,36,1.13997,6,-1.6895,11,-0.7436,10,-0.9943,40,1.34089,25,0.63686
ENSG00000158109,TPRG1L,42,-1.9205,150,0.02793,230,0.73001,142,-0.0623,166,0.24395,145,-0.0303,135,-0.1570
ENSG00000116213,WRAP73,21,0.68383,30,1.30133,16,0.28233,9,-0.6827,13,-0.0943,8,-0.8426,7,-1.0914
ENSG00000130764,LRRC47,48,-0.7741,79,0.00153,117,0.63557,81,0.04031,91,0.30619,65,-0.3155,64,-0.3835
ENSG00000116198,CEP104,39,1.43092,31,0.99307,13,-0.3703,11,-0.7077,15,-0.1979,9,-0.8641,10,-0.9299
ENSG00000198912,C1orf174,10,-0.2157,17,0.57270,12,-0.0484,7,-0.7758,14,0.26435,7,-0.8337,13,0.12643
ENSG00000196581,AJAP1,18,-1.3251,26,-0.7283,63,0.67368,71,0.85710,46,0.20672,27,-0.6850,38,-0.1776
ENSG00000131697,NPHP4,4,-1.1074,16,0.84280,10,0.17233,17,0.97739,8,-0.2595,5,-0.8360,8,-0.2693
ENSG00000069424,KCNAB2,24,-2.8654,138,-0.2605,180,0.15746,181,0.16630,192,0.34717,184,0.19090,174,0.11963
ENSG00000116254,CHD5,14,-3.0269,72,-0.5921,112,0.09602,81,-0.4148,119,0.25210,79,-0.4644,171,0.92822
ENSG00000116251,RPL22,1110,1.27237,689,0.44431,299,-0.8756,322,-0.7634,448,-0.3140,505,-0.0609,488,-0.1304
ENSG00000116237,ICMT,25,-0.4616,25,-0.4086,39,0.25800,49,0.64602,39,0.33050,29,-0.1873,24,-0.5761
ENSG00000158292,GPR153,2,-2.3859,0,-4.9094,5,-0.9901,18,0.92086,12,0.40762,15,0.66962,12,0.30589
ENSG00000097021,ACOT7,70,-2.0250,215,-0.3317,407,0.70196,292,0.15332,356,0.65307,180,-0.6122,211,-0.4044
ENSG00000215788,TNFRSF25,1,-2.8744,11,-0.2610,12,-0.0186,26,1.18027,16,0.56258,12,-0.0444,7,-0.9389
ENSG00000171680,PLEKHG5,1,-3.9248,4,-2.3409,27,0.32622,32,0.60635,31,0.71747,29,0.40100,18,-0.3604
ENSG00000162408,NOL9,20,-0.4403,24,-0.1363,31,0.22256,26,-0.0556,30,0.23265,22,-0.2715,27,0.01756
ENSG00000162413,KLHL21,34,0.30440,38,0.50775,27,-0.0659,28,0.01722,28,9.75548,23,-0.2963,22,-0.3614
ENSG00000116273,PHF13,14,-0.2396,18,0.19734,18,0.17376,20,0.35371,16,0.01434,11,-0.5595,16,-0.0632
ENSG00000041988,THAP3,28,0.43808,18,-0.3016,21,-0.0222,21,-0.0218,29,0.64995,21,-0.0728,10,-1.3104
ENSG00000007923,DNAJC11,12,-1.1860,33,0.37070,36,0.50047,26,-0.0451,26,0.00818,25,-0.0929,26,-0.0069
ENSG00000171735,CAMTA1,90,-1.0236,233,0.46996,194,0.16765,107,-0.7586,174,-0.0064,123,-0.5446,238,0.58242
ENSG00000049245,VAMP3,150,2.77764,86,1.57759,9,-1.9889,15,-1.2900,13,-1.6846,16,-1.1190,14,-1.4939
ENSG00000049246,PER3,27,0.38624,6,-1.8242,17,-0.3338,27,0.35871,21,-0.0677,18,-0.2423,28,0.49808
ENSG00000116288,PARK7,288,-0.4555,488,0.38776,377,-0.0307,364,-0.0868,400,0.08663,379,-0.0213,372,-0.0557
ENSG00000116285,ERRFI1,14,-0.3131,23,0.38422,24,0.50007,11,-0.7049,20,0.23313,14,-0.4133,16,-0.1910
ENSG00000162426,SLC45A1,15,-0.9081,14,-1.0283,37,0.51631,33,0.32081,35,0.59559,17,-0.6936,23,-0.2260
ENSG00000142599,RERE,81,-0.2971,107,0.14202,81,-0.2974,123,0.37836,106,0.16648,73,-0.4582,97,-0.0077
ENSG00000074800,ENO1,447,-0.4553,895,0.66621,753,0.37708,522,-0.2114,552,-0.1568,673,0.19397,510,-0.2769
ENSG00000171612,SLC25A33,19,-0.8984,17,-1.0061,31,-0.0911,25,-0.4728,35,0.09358,63,1.05449,37,0.18613
ENSG00000188807,TMEM201,13,0.29990,6,-0.8007,13,0.33316,9,-0.1544,13,0.52767,5,-1.1121,9,-0.2332
ENSG00000171608,PIK3CD,2,-2.1167,10,0.06006,14,0.65813,1,-2.7441,8,-0.3099,2,-2.1438,20,1.55967
ENSG00000171603,CLSTN1,161,-2.0715,628,0.00676,950,0.68817,644,0.04646,823,0.60525,426,-0.6021,488,-0.4337
ENSG00000178585,CTNNBIP1,51,0.46704,36,-0.0628,41,0.13305,16,-1.3515,37,-0.0460,36,-0.0839,44,0.27431
ENSG00000162441,LZIC,70,1.27291,45,0.52508,26,-0.3532,21,-0.7052,26,-0.4033,26,-0.3540,30,-0.1686
ENSG00000130939,UBE4B,26,-0.4877,55,0.72574,48,0.48692,17,-1.1182,37,0.07240,34,-0.0837,32,-0.1644
ENSG00000054523,KIF1B,274,0.18369,380,0.72662,246,0.00897,152,-0.7462,207,-0.3269,189,-0.4033,290,0.31950
ENSG00000142657,PGD,34,-0.4510,86,1.05729,64,0.54095,34,-0.4502,44,-0.0626,31,-0.5918,37,-0.3599
ENSG00000175279,CENPS,6,-0.6178,2,-2.0738,7,-0.4278,12,0.34660,13,0.76402,7,-0.4237,10,0.07942
ENSG00000241563,CORT,7,-4.1108,76,-0.6856,35,-1.8411,35,-1.8616,274,2.39037,41,-1.6291,84,-0.5885
ENSG00000160049,DFFA,61,1.02549,45,0.50461,34,0.07683,28,-0.2333,22,-0.7492,34,0.03214,30,-0.1591
ENSG00000142655,PEX14,25,0.15643,13,-0.8602,33,0.64494,29,0.40080,25,0.24653,15,-0.5826,17,-0.5019
ENSG00000120948,TARDBP,62,0.29420,58,0.18614,52,0.01445,58,0.18891,53,0.03461,30,-0.8496,49,-0.0788
ENSG00000116649,SRM,48,-0.9428,90,0.03548,88,0.00554,110,0.35670,90,0.04978,92,0.06738,91,0.05916
ENSG00000171824,EXOSC10,23,0.22847,27,0.44728,24,0.26620,28,0.55158,13,-0.8129,19,-0.0587,20,0.02534
ENSG00000198793,MTOR,15,-1.3226,51,0.60654,47,0.44969,39,0.15798,36,0.05063,37,0.07176,28,-0.4060
ENSG00000120942,UBIAD1,29,1.78876,7,-0.5512,11,0.19237,12,0.34989,6,-0.8580,9,-0.2210,7,-0.6533
ENSG00000116661,FBXO2,189,-0.0059,91,-1.1262,200,0.08469,204,0.12192,216,0.27582,278,0.63020,142,-0.4990
ENSG00000132879,FBXO44,37,-1.7273,60,-1.0183,172,0.65574,153,0.46113,149,0.56477,83,-0.5186,100,-0.2476
ENSG00000116670,MAD2L2,43,1.22627,17,-0.2743,19,-0.1270,39,1.07264,15,-0.6348,26,0.38057,8,-1.4265
ENSG00000177000,MTHFR,10,-0.4592,13,0.01514,16,0.25227,10,-0.4255,14,0.03185,9,-0.6047,17,0.47781
ENSG00000011021,CLCN6,27,-0.8426,35,-0.4636,48,0.04007,45,-0.0723,52,0.22269,37,-0.3805,60,0.46822
ENSG00000175206,NPPA,2,-2.1084,0,-7.8055,9,-0.3175,39,2.27407,14,0.56058,9,-0.1950,3,-1.7950
ENSG00000116685,KIAA2013,45,0.52482,44,0.49072,32,-0.0051,22,-0.5837,34,0.11141,17,-0.9606,31,-0.1111
ENSG00000083444,PLOD1,31,0.75520,41,1.27950,23,0.28368,15,-0.3703,15,-0.4837,14,-0.4907,12,-0.8273
ENSG00000116688,MFN2,59,-0.4653,102,0.39491,123,0.70906,95,0.27637,81,0.02476,51,-0.7104,63,-0.4083
ENSG00000116691,MIIP,17,0.22100,14,-0.0314,16,0.10872,13,-0.1894,14,-0.1303,9,-0.6911,18,0.38215
ENSG00000048707,VPS13D,40,-0.2408,37,-0.3649,60,0.40275,48,0.03115,53,0.24140,32,-0.6170,47,0.00695
ENSG00000162496,DHRS3,23,1.09853,12,0.04075,8,-0.6032,10,-0.1848,9,-0.4659,18,0.71001,9,-0.4201
ENSG00000116731,PRDM2,60,-0.3603,68,-0.1783,99,0.43382,76,-0.0006,72,-0.0966,45,-0.8004,97,0.44849
ENSG00000189337,KAZN,74,0.61123,82,0.78629,55,0.13291,28,-0.9406,51,-0.0096,40,-0.3966,39,-0.4540
ENSG00000142634,EFHD2,19,-2.9655,476,2.21368,205,0.62940,24,-2.6207,85,-0.9327,41,-1.8684,187,0.55463
ENSG00000132906,CASP9,12,0.61647,8,-0.0875,13,0.80393,10,0.25353,5,-0.8768,5,-0.5718,9,0.18724
ENSG00000116138,DNAJC16,16,-0.5062,32,0.58596,31,0.56023,26,0.25080,20,-0.2421,24,0.11871,17,-0.4651
ENSG00000197312,DDI2,15,-0.5197,18,-0.1831,27,0.44604,21,0.02681,23,0.25279,11,-1.0080,22,0.13498
ENSG00000116786,PLEKHM2,42,-0.6148,47,-0.4229,76,0.33150,59,-0.0804,62,0.00369,78,0.37314,65,0.10341
ENSG00000065526,SPEN,60,0.90994,34,-0.0404,23,-0.6013,20,-0.8603,29,-0.3505,21,-0.7690,51,0.71589
ENSG00000116809,ZBTB17,23,0.76019,9,-0.7092,12,-0.2858,15,0.06797,16,0.25355,11,-0.4701,13,-0.2099
ENSG00000185519,FAM131C,4,-1.7263,7,-1.0795,20,0.49681,10,-0.6097,13,-0.2720,13,-0.2362,27,1.20741
ENSG00000037637,FBXO42,16,-0.3032,11,-0.7736,24,0.37098,16,-0.2704,26,0.70109,16,-0.2461,14,-0.5015
ENSG00000055070,SZRD1,50,1.43080,23,0.08848,13,-0.8020,22,0.00848,16,-0.5056,22,0.03726,18,-0.2959
ENSG00000157191,NECAP2,38,1.81649,31,1.41186,5,-1.2978,8,-0.7224,7,-1.1899,11,-0.2208,9,-0.6306
ENSG00000219481,NBPF1,26,1.56324,18,0.92117,6,-0.7636,6,-0.7120,7,-0.6950,9,-0.2681,8,-0.3895
ENSG00000058453,CROCC,7,-0.5633,7,-0.5662,12,0.16775,12,0.13279,13,0.30504,8,-0.4148,12,0.15368
ENSG00000238142,BX284668.5,8,-0.0866,14,0.89712,8,-0.0399,5,-0.5859,7,-0.2203,14,0.81360,5,-0.6790
ENSG00000159363,ATP13A2,38,-1.7401,115,-0.0554,171,0.58984,106,-0.1910,143,0.39617,92,-0.4035,120,0.01028
ENSG00000117118,SDHB,67,-0.5077,111,0.30013,112,0.31655,115,0.35745,92,0.00106,78,-0.2599,81,-0.2275
ENSG00000117115,PADI2,246,3.10707,63,0.38821,13,-2.0597,21,-1.3195,16,-2.0035,37,-0.4615,36,-0.5700
ENSG00000179051,RCC2,26,1.07356,6,-1.0746,9,-0.5292,11,-0.2574,17,0.54042,10,-0.4963,10,-0.5386
ENSG00000074964,ARHGEF10L,18,0.27443,18,0.26300,12,-0.3227,10,-0.6011,18,0.29918,12,-0.3278,14,-0.1158
ENSG00000117154,IGSF21,19,-2.1342,148,1.08534,117,0.67869,80,0.04738,77,-0.0060,50,-0.6685,64,-0.3280
ENSG00000159423,ALDH4A1,43,0.75831,45,0.80901,12,-1.2498,22,-0.3567,18,-0.8089,37,0.50693,30,0.18623
ENSG00000169991,IFFO2,9,-0.0360,16,0.87159,10,0.12210,8,-0.2922,7,-0.5209,3,-1.5810,13,0.61165
ENSG00000127463,EMC1,18,-0.7364,47,0.79408,40,0.49972,30,0.06612,32,0.19617,18,-0.7180,21,-0.5787
ENSG00000053372,MRTO4,22,-0.6860,28,-0.3170,48,0.57107,35,0.04792,36,0.13292,30,-0.2160,34,0.01614
ENSG00000053371,AKR7A2,65,0.56500,60,0.43638,46,0.00432,50,0.12222,36,-0.4621,43,-0.0909,43,-0.1087
ENSG00000040487,SLC66A1,6,-0.5868,12,0.54380,15,0.84043,9,0.07467,6,-0.7711,9,0.07803,10,0.13447
ENSG00000077549,CAPZB,140,-0.4728,175,-0.1180,244,0.41502,224,0.27404,208,0.20360,164,-0.2278,159,-0.3037
ENSG00000173436,MICOS10,310,-0.0581,306,-0.0815,269,-0.2822,343,0.10325,331,0.05993,328,0.03022,334,0.06665
ENSG00000158747,NBL1,79,-1.3781,203,0.07578,226,0.24437,238,0.33303,198,0.04260,194,0.00048,203,0.07827
ENSG00000169914,OTUD3,9,-0.4979,12,-0.0092,26,1.20338,9,-0.4215,11,-0.2295,8,-0.6213,13,0.10804
ENSG00000162545,CAMK2N1,874,-0.5519,503,-1.3927,959,-0.4071,1954,0.75068,1476,0.37230,1543,0.35402,1073,-0.2574
ENSG00000090432,MUL1,26,0.04867,45,0.92962,28,0.13640,30,0.24833,23,-0.1683,17,-0.6101,19,-0.4701
ENSG00000183114,FAM43B,3,-2.1411,29,1.19488,18,0.35985,4,-1.7030,13,-0.1275,11,-0.4065,18,0.45890
ENSG00000158828,PINK1,218,-0.8206,324,-0.2069,547,0.64720,308,-0.2871,436,0.36009,314,-0.2560,334,-0.1746
ENSG00000244038,DDOST,22,-0.1585,24,-0.0564,28,0.19474,34,0.49708,26,0.13618,22,-0.1688,19,-0.4531
ENSG00000117245,KIF17,4,-2.5134,8,-1.4288,42,1.14220,13,-0.7620,26,0.46981,10,-1.1854,28,0.51933
ENSG00000189410,SH2D5,3,-3.2435,14,-1.2597,50,0.72153,43,0.46865,44,0.67413,31,-0.0638,25,-0.4605
ENSG00000127483,HP1BP3,176,0.30471,187,0.40787,157,0.11822,151,0.05558,135,-0.1598,100,-0.5850,141,-0.0595
ENSG00000075151,EIF4G3,67,-0.8343,95,-0.3018,197,0.89877,119,0.05419,135,0.35150,85,-0.4665,89,-0.4392
ENSG00000117298,ECE1,38,1.58119,17,0.19213,12,-0.3717,12,-0.3840,11,-0.5999,17,0.17086,11,-0.5172
ENSG00000162551,ALPL,5,-1.0683,7,-0.6388,17,0.65629,5,-1.0792,11,-0.0442,13,0.26252,15,0.58611
ENSG00000076864,RAP1GAP,34,-2.0422,264,1.17728,216,0.82351,102,-0.3930,144,0.19182,65,-1.0807,100,-0.4797
ENSG00000090686,USP48,61,0.50609,77,0.89243,47,0.07360,40,-0.1612,40,-0.2244,29,-0.6926,37,-0.3398
ENSG00000070831,CDC42,222,0.03541,266,0.32966,286,0.44485,148,-0.6016,252,0.31882,142,-0.6717,176,-0.3699
ENSG00000173372,C1QA,46,1.63476,14,-0.3117,5,-1.8853,19,0.15381,10,-1.0242,28,0.72856,17,-0.0678
ENSG00000159189,C1QC,42,1.50618,16,-0.1380,5,-1.9102,16,-0.0765,9,-1.1409,29,0.86947,18,0.11352
ENSG00000173369,C1QB,56,1.60552,22,-0.0026,7,-1.6717,19,-0.1951,12,-1.1036,43,1.13945,18,-0.3667
ENSG00000133216,EPHB2,8,-0.5496,10,-0.2814,11,-0.1409,8,-0.5262,18,0.92511,8,-0.5221,10,-0.3706
ENSG00000004487,KDM1A,29,-0.5390,64,0.72221,47,0.21438,40,-0.0429,45,0.20570,36,-0.1837,29,-0.5875
ENSG00000169641,LUZP1,10,-2.1617,28,-0.6704,66,0.69417,36,-0.2654,52,0.39580,31,-0.5240,52,0.34680
ENSG00000125944,HNRNPR,109,0.10206,157,0.71378,113,0.16236,118,0.23139,90,-0.2471,63,-0.7363,94,-0.1344
ENSG00000125945,ZNF436,9,-0.7487,15,-0.0175,29,1.03615,13,-0.3163,18,0.34864,11,-0.5291,11,-0.5365
ENSG00000249087,ZNF436-AS1,6,-0.6672,1,-3.2406,7,-0.4902,9,-0.0795,15,1.03163,13,0.44156,7,-0.4309
ENSG00000204219,TCEA3,12,0.43154,10,0.10581,7,-0.3141,2,-1.9329,4,-1.2791,12,0.46591,17,1.22863
ENSG00000117318,ID3,89,3.65566,24,0.77419,0,-4.5110,3,-2.4340,1,-4.0528,20,0.45509,5,-1.6332
ENSG00000142676,RPL11,916,1.50250,535,0.55126,191,-1.0783,328,-0.2438,282,-0.5921,384,0.00561,311,-0.3598
ENSG00000011007,ELOA,22,0.45657,33,1.15174,15,-0.1639,12,-0.4945,14,-0.2690,10,-0.7587,15,-0.1642
ENSG00000057757,PITHD1,115,-0.7442,160,-0.2256,301,0.80652,153,-0.3011,221,0.38288,148,-0.3493,154,-0.3198
ENSG00000011009,LYPLA2,10,-1.8491,39,0.24855,44,0.43814,29,-0.2105,39,0.33385,31,-0.1470,32,-0.0629
ENSG00000117308,GALE,7,-1.0591,7,-1.1539,22,0.61544,10,-0.5701,22,0.92352,11,-0.4299,12,-0.3695
ENSG00000117305,HMGCL,28,0.47767,30,0.58872,17,-0.2484,17,-0.3052,20,-0.0759,16,-0.3988,19,-0.1106
ENSG00000179163,FUCA1,5,-1.2138,17,0.52331,21,0.91018,13,0.05431,15,0.38848,9,-0.5172,6,-1.0314
ENSG00000189266,PNRC2,70,0.29957,82,0.56515,67,0.23306,35,-0.7547,53,-0.1736,46,-0.3675,60,0.05865
ENSG00000188529,SRSF10,49,0.02160,81,0.84891,54,0.19154,63,0.41888,40,-0.3657,34,-0.5664,41,-0.2817
ENSG00000001460,STPG1,5,-0.9733,9,-0.0275,12,0.50436,8,-0.1871,12,0.62053,5,-0.7709,7,-0.3419
ENSG00000001461,NIPAL3,147,1.23143,148,1.25455,93,0.45274,31,-1.2419,49,-0.7166,18,-2.0468,61,-0.2507
ENSG00000133226,SRRM1,130,1.25843,62,-0.0019,54,-0.2189,39,-0.7164,42,-0.7533,27,-1.2617,91,0.72676
ENSG00000169504,CLIC4,236,3.74351,97,1.56054,5,-2.8648,13,-1.6173,4,-3.5795,8,-2.2871,9,-2.3031
ENSG00000117614,SYF2,124,1.04670,78,0.26231,71,0.11323,55,-0.3102,52,-0.4846,50,-0.4300,65,-0.0406
ENSG00000117616,RSRP1,70,1.11534,39,0.14435,36,0.02545,48,0.46640,33,-0.1928,22,-0.7769,23,-0.7639
ENSG00000183726,TMEM50A,111,0.54059,88,0.16771,79,-0.0060,86,0.12843,94,0.35165,56,-0.5405,46,-0.9092
ENSG00000204178,MACO1,28,0.19374,28,0.20004,28,0.15267,20,-0.3228,24,-0.0628,20,-0.3807,27,0.11424
ENSG00000117643,MAN1C1,10,-1.8942,8,-2.3305,29,-0.3870,116,2.02816,46,0.47094,24,-0.6663,22,-0.8594
ENSG00000162430,SELENON,55,1.10023,28,-0.0221,19,-0.6218,35,0.36822,24,-0.2783,31,0.13866,20,-0.5468
ENSG00000117640,MTFR1L,34,-0.9182,56,-0.1409,60,-0.0425,70,0.19895,72,0.33860,56,-0.1346,61,-0.0084
ENSG00000117632,STMN1,926,-0.7493,1771,0.27562,2214,0.64724,1083,-0.5068,1645,0.20351,820,-0.9347,1593,0.11734
ENSG00000158008,EXTL1,6,-2.6225,32,-0.1505,54,0.69588,36,0.01866,41,0.31611,26,-0.4744,38,0.13688
ENSG00000175087,PDIK1L,9,-0.6103,23,0.94301,12,-0.1597,9,-0.5965,13,-0.0706,8,-0.7581,16,0.38226
ENSG00000142684,ZNF593,23,-0.1762,32,0.35864,26,0.02014,28,0.15815,25,-0.0455,27,0.12953,22,-0.2631
ENSG00000142669,SH3BGRL3,194,-0.3243,268,0.18725,309,0.42140,165,-0.5764,238,-0.0036,205,-0.2441,265,0.19145
ENSG00000158062,UBXN11,12,-0.8772,11,-0.9654,20,-0.1362,15,-0.5092,25,0.32833,24,0.18625,29,0.51203
ENSG00000117682,DHDDS,7,-1.0648,28,0.97439,20,0.38488,9,-0.7344,17,0.27058,9,-0.8587,14,-0.1629
ENSG00000198830,HMGN2,258,1.37716,176,0.69953,67,-0.8318,94,-0.3246,91,-0.4603,108,-0.0937,87,-0.4899
ENSG00000117713,ARID1A,59,0.00661,110,1.04411,63,0.10646,56,-0.0666,53,-0.2152,47,-0.3396,47,-0.3916
ENSG00000060642,PIGV,6,-0.5405,15,0.84092,14,0.64407,7,-0.4143,8,-0.1734,11,0.28506,6,-0.5770
ENSG00000204160,ZDHHC18,13,-0.7121,28,0.51630,24,0.28475,20,0.00131,21,0.08825,13,-0.6556,20,0.01052
ENSG00000142751,GPN2,11,-0.6351,10,-0.7457,20,0.31996,20,0.30895,18,0.27789,12,-0.4056,17,0.07956
ENSG00000198746,GPATCH3,12,0.39816,13,0.49704,9,-0.0455,12,0.36469,8,-0.3164,6,-0.7797,10,-0.0222
ENSG00000090273,NUDC,162,-0.1377,148,-0.2839,159,-0.1709,152,-0.2336,215,0.42633,156,-0.1956,172,-0.0493
ENSG00000253368,TRNP1,12,-2.0022,32,-0.5994,62,0.45477,45,-0.0526,55,0.34335,50,0.09634,51,0.15190
ENSG00000090020,SLC9A1,4,-2.3311,10,-0.9807,35,1.08545,18,-0.0673,23,0.43326,11,-0.8305,20,0.11496
ENSG00000142784,WDTC1,38,0.45188,30,0.07204,16,-0.8876,30,0.06375,26,-0.1781,22,-0.3811,36,0.41078
ENSG00000186501,TMEM222,48,-0.3756,71,0.23483,68,0.16844,56,-0.1489,65,0.13036,63,0.03428,56,-0.1689
ENSG00000158195,WASF2,135,2.57982,63,1.03646,13,-1.4525,17,-0.9966,9,-2.2288,30,-0.1677,25,-0.5058
ENSG00000126705,AHDC1,21,-1.2378,66,0.53195,75,0.74015,43,-0.1616,52,0.19534,29,-0.7512,42,-0.2015
ENSG00000126709,IFI6,186,0.83828,287,1.63025,149,0.46866,72,-0.6934,69,-0.9019,74,-0.6403,71,-0.7724
ENSG00000009780,FAM76A,13,0.06329,16,0.40375,17,0.47445,12,-0.0296,13,0.13307,10,-0.3750,8,-0.6516
ENSG00000117758,STX12,76,-0.4572,189,1.04444,117,0.23589,75,-0.4659,85,-0.3390,81,-0.3424,109,0.13057
ENSG00000117751,PPP1R8,40,0.60816,52,1.08152,27,-0.0155,22,-0.3589,27,-0.0181,13,-1.1148,19,-0.6206
