Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to12,Feature log2 fold change topic 4to12
ENSG00000162585,FAAP20,33,-0.7911,108,1.08560,61,0.14184,52,-0.3817
ENSG00000157933,SKI,7,-2.3550,42,0.25684,31,-0.2057,39,0.52101
ENSG00000157916,RER1,92,0.28616,70,-0.1280,63,-0.2989,77,0.03561
ENSG00000157911,PEX10,56,0.63950,44,0.23089,48,0.38736,34,-0.5418
ENSG00000149527,PLCH2,2,-4.0145,8,-2.1726,25,-0.4619,41,1.80159
ENSG00000157881,PANK4,1,-4.1917,8,-1.1694,13,-0.4411,21,1.48279
ENSG00000197921,HES5,10,-1.2657,39,0.79683,50,1.20248,21,-0.6654
ENSG00000157873,TNFRSF14,0,-4.2466,21,0.52279,12,-0.2526,16,0.49586
ENSG00000157870,PRXL2B,97,0.24495,32,-1.4350,86,0.05917,86,0.27227
ENSG00000177133,PRDM16-DT,41,0.68404,17,-0.7287,57,1.21438,23,-0.7149
ENSG00000158109,TPRG1L,79,-1.3443,47,-2.1302,163,-0.2608,224,1.21676
ENSG00000116213,WRAP73,28,0.97141,18,0.23417,12,-0.4046,14,-0.4451
ENSG00000130764,LRRC47,6,-3.7679,41,-1.0791,71,-0.2535,98,1.30687
ENSG00000116198,CEP104,2,-2.7036,22,0.68786,9,-0.6488,16,0.44859
ENSG00000196581,AJAP1,42,-0.1152,7,-2.7228,37,-0.2794,50,0.79990
ENSG00000069424,KCNAB2,83,-1.6327,111,-1.2015,299,0.33108,269,0.71151
ENSG00000116254,CHD5,76,-0.9334,34,-2.1291,131,-0.0926,159,0.98243
ENSG00000116251,RPL22,966,0.76382,1240,1.18842,675,0.18167,482,-0.9928
ENSG00000116237,ICMT,23,-0.9257,22,-1.0308,36,-0.2991,49,0.83907
ENSG00000158292,GPR153,0,-4.3903,11,-0.5873,25,0.68581,18,0.51681
ENSG00000097021,ACOT7,129,-1.2089,66,-2.1895,184,-0.6727,337,1.41183
ENSG00000215788,TNFRSF25,15,-0.6937,20,-0.2225,24,0.02793,24,0.32371
ENSG00000171680,PLEKHG5,16,-0.9978,8,-2.0648,28,-0.2001,36,1.05642
ENSG00000162408,NOL9,0,-5.4204,16,-1.1385,31,-0.1095,40,1.29654
ENSG00000162413,KLHL21,3,-3.4482,46,0.60259,28,-0.1817,34,0.38140
ENSG00000116273,PHF13,19,-0.0605,13,-0.6616,12,-0.7482,21,0.54599
ENSG00000041988,THAP3,0,-4.7897,27,0.33899,21,-0.0222,23,0.52039
ENSG00000007923,DNAJC11,22,-0.5384,17,-0.8928,32,0.02645,34,0.50392
ENSG00000171735,CAMTA1,155,-0.2584,204,0.16772,159,-0.2262,187,0.11468
ENSG00000049245,VAMP3,0,-5.1554,106,2.23745,32,0.15179,23,-0.9658
ENSG00000049246,PER3,69,1.06883,52,0.57750,37,0.02760,30,-0.7825
ENSG00000116288,PARK7,425,0.13005,374,-0.0719,426,0.13372,386,-0.0817
ENSG00000116285,ERRFI1,0,-4.7653,17,-0.3652,10,-1.1334,25,1.44543
ENSG00000162426,SLC45A1,3,-3.5239,10,-1.8159,37,0.08484,41,1.27659
ENSG00000142599,RERE,46,-1.2538,101,-0.0608,104,-0.0145,112,0.41997
ENSG00000074800,ENO1,462,-0.5540,749,0.19992,621,-0.0974,677,0.14870
ENSG00000171612,SLC25A33,1,-4.9057,75,1.29114,61,0.93071,30,-0.5809
ENSG00000188807,TMEM201,7,-1.1720,11,-0.4755,14,-0.0873,17,0.61272
ENSG00000171603,CLSTN1,588,-0.2787,305,-1.2784,430,-0.7607,791,0.84247
ENSG00000178585,CTNNBIP1,43,0.16820,31,-0.3391,48,0.37136,38,-0.1128
ENSG00000162441,LZIC,25,-0.4762,63,1.01910,36,0.11463,31,-0.4071
ENSG00000130939,UBE4B,5,-2.7768,24,-0.5886,22,-0.7113,42,1.25296
ENSG00000054523,KIF1B,159,-0.7525,143,-0.9155,268,0.04999,283,0.57165
ENSG00000142657,PGD,26,-0.9237,38,-0.3272,33,-0.5715,53,0.69303
ENSG00000241563,CORT,8,-3.2929,34,-1.2699,38,-1.0958,96,1.81904
ENSG00000160049,DFFA,66,1.35601,37,0.41956,31,0.09812,23,-0.9145
ENSG00000142655,PEX14,0,-4.7314,16,-0.4317,24,0.19932,23,0.79596
ENSG00000120948,TARDBP,52,-0.4886,65,-0.1432,59,-0.2903,75,0.36067
ENSG00000116649,SRM,88,-0.4130,80,-0.5606,129,0.18808,120,0.27640
ENSG00000171824,EXOSC10,44,0.70112,28,0.02426,20,-0.5161,27,-0.1730
ENSG00000198793,MTOR,0,-5.6260,25,-0.7046,34,-0.2338,46,1.20360
ENSG00000204624,DISP3,5,-1.4163,26,0.96638,13,-0.1110,14,-0.0865
ENSG00000116661,FBXO2,141,-1.2794,1211,2.30019,399,0.32288,240,-1.2807
ENSG00000132879,FBXO44,128,-0.4002,56,-1.6316,119,-0.5081,187,0.88359
ENSG00000116670,MAD2L2,0,-5.3169,46,0.62763,29,-0.1090,33,0.38662
ENSG00000177674,AGTRAP,16,0.11040,66,2.70008,11,-0.3894,9,-1.7330
ENSG00000177000,MTHFR,11,-0.7457,24,0.42140,9,-0.9899,20,0.38164
ENSG00000011021,CLCN6,21,-1.7113,24,-1.5184,47,-0.5375,79,1.33502
ENSG00000116685,KIAA2013,51,0.25746,41,-0.1049,30,-0.5932,45,0.13559
ENSG00000083444,PLOD1,0,-4.6508,35,0.92914,18,-0.1059,20,0.16594
ENSG00000116688,MFN2,23,-1.8820,52,-0.6741,69,-0.2562,92,0.93225
ENSG00000116691,MIIP,0,-4.6532,30,0.64562,16,-0.2711,21,0.43163
ENSG00000048707,VPS13D,146,1.66733,41,-0.4411,39,-0.4965,47,-0.6750
ENSG00000162496,DHRS3,1,-4.4097,101,2.44662,23,-0.1591,20,-1.0652
ENSG00000116731,PRDM2,117,0.82635,27,-1.4507,40,-0.8704,73,0.25466
ENSG00000189337,KAZN,19,-1.0367,48,0.35567,29,-0.4581,41,0.33782
ENSG00000142634,EFHD2,4,-4.3824,33,-1.4353,28,-1.6949,106,2.28122
ENSG00000116138,DNAJC16,58,1.19495,6,-2.1524,12,-1.2654,29,0.16849
ENSG00000197312,DDI2,29,0.19422,6,-2.0617,12,-1.0887,29,0.84512
ENSG00000116786,PLEKHM2,26,-1.6964,62,-0.4183,106,0.41289,87,0.42460
ENSG00000065526,SPEN,15,-0.9391,58,1.18702,28,-0.0142,26,-0.3580
ENSG00000116809,ZBTB17,45,1.46550,20,0.12331,15,-0.3219,16,-0.7459
ENSG00000185519,FAM131C,0,-4.2084,4,-1.7972,18,0.31795,17,1.13002
ENSG00000037637,FBXO42,2,-2.8624,16,0.08893,12,-0.3327,17,0.72487
ENSG00000055070,SZRD1,12,-1.0857,80,1.94678,29,0.20716,20,-0.9732
ENSG00000157191,NECAP2,0,-4.1411,44,1.95629,14,0.02031,12,-0.6939
ENSG00000058453,CROCC,0,-4.2320,21,0.57696,8,-0.9493,16,0.71089
ENSG00000159363,ATP13A2,182,0.27752,47,-1.7782,122,-0.3443,165,0.48924
ENSG00000117118,SDHB,92,-0.0196,71,-0.4073,92,-0.0133,96,0.16580
ENSG00000117115,PADI2,12,-1.8123,221,3.16338,38,-0.1077,24,-1.8856
ENSG00000179051,RCC2,0,-4.3856,20,0.29611,9,-0.8150,18,0.87412
ENSG00000074964,ARHGEF10L,40,1.33292,24,0.50178,16,-0.1309,14,-0.8605
ENSG00000117154,IGSF21,72,0.25252,18,-1.8329,36,-0.8092,68,0.68305
ENSG00000159423,ALDH4A1,0,-5.3425,31,-0.0472,45,0.53431,34,0.42005
ENSG00000127463,EMC1,54,0.60513,29,-0.3659,26,-0.5276,37,0.02552
ENSG00000053372,MRTO4,0,-5.3534,30,-0.3038,34,-0.1007,42,0.92928
ENSG00000053371,AKR7A2,2,-4.5091,96,1.27758,55,0.36374,42,-0.2882
ENSG00000077549,CAPZB,160,-0.3834,225,0.14498,167,-0.3217,212,0.20513
ENSG00000173436,MICOS10,192,-0.8670,291,-0.2261,444,0.43914,346,0.16379
ENSG00000158747,NBL1,157,-0.1583,250,0.58132,140,-0.3308,171,-0.0943
ENSG00000169914,OTUD3,1,-3.3852,4,-1.9253,10,-0.6213,19,1.79208
ENSG00000162545,CAMK2N1,1090,-0.4556,468,-1.7271,1882,0.40307,1566,0.44951
ENSG00000090432,MUL1,0,-5.0880,15,-0.8552,24,-0.1339,31,1.19590
ENSG00000158828,PINK1,273,-0.5210,213,-0.9038,393,0.04137,413,0.49330
ENSG00000244038,DDOST,74,1.29804,32,-0.0589,23,-0.5430,30,-0.5087
ENSG00000117245,KIF17,2,-3.2823,5,-1.9180,8,-1.3022,24,2.18492
ENSG00000189410,SH2D5,25,-0.5653,9,-2.0107,43,0.23949,40,0.63352
ENSG00000127483,HP1BP3,106,-0.5966,151,-0.0491,109,-0.5475,167,0.45110
ENSG00000075151,EIF4G3,115,-0.0090,64,-0.9042,56,-1.1138,128,0.70779
ENSG00000117298,ECE1,3,-2.2269,61,2.29046,9,-0.8105,13,-0.8551
ENSG00000076864,RAP1GAP,114,-0.5226,35,-2.2915,88,-0.9172,188,1.23998
ENSG00000090686,USP48,93,1.13943,40,-0.2036,32,-0.5603,43,-0.3493
ENSG00000070831,CDC42,70,-1.6855,161,-0.4337,129,-0.7674,244,1.01914
ENSG00000173372,C1QA,26,-0.6057,204,3.09995,35,-0.1340,22,-1.9969
ENSG00000159189,C1QC,22,-0.6104,178,3.10586,29,-0.2076,19,-1.9810
ENSG00000173369,C1QB,86,0.40066,309,2.76275,73,0.13087,37,-2.0461
ENSG00000004487,KDM1A,15,-1.7761,42,-0.2940,44,-0.2088,56,0.72519
ENSG00000169641,LUZP1,10,-1.9196,16,-1.1790,27,-0.4646,42,1.23736
ENSG00000125944,HNRNPR,24,-2.2303,107,0.01598,77,-0.4866,118,0.76363
ENSG00000125945,ZNF436,18,-0.4239,3,-2.8199,9,-1.5194,29,1.47749
ENSG00000117318,ID3,37,-0.8603,660,5.96611,4,-4.0988,8,-4.8091
ENSG00000142676,RPL11,1169,1.09531,1308,1.29093,675,0.19018,448,-1.2287
ENSG00000011007,ELOA,0,-4.3987,24,0.58313,9,-0.8701,18,0.68696
ENSG00000057757,PITHD1,103,-1.0719,63,-1.8062,127,-0.7539,244,1.31793
ENSG00000011009,LYPLA2,32,-0.7360,24,-1.1924,41,-0.3692,59,0.85332
ENSG00000117308,GALE,16,-0.0986,7,-1.3272,12,-0.5720,19,0.69397
ENSG00000117305,HMGCL,2,-3.5566,36,0.80789,23,0.10689,22,0.12477
ENSG00000179163,FUCA1,0,-4.2191,19,0.40734,11,-0.4126,16,0.63832
ENSG00000189266,PNRC2,169,1.68831,78,0.36671,41,-0.6281,50,-0.9218
ENSG00000188529,SRSF10,16,-1.9150,69,0.31989,43,-0.4030,61,0.50906
ENSG00000001461,NIPAL3,66,0.21074,34,-0.7909,34,-0.7874,62,0.45920
ENSG00000133226,SRRM1,28,-0.6498,84,1.07860,31,-0.5206,42,-0.1895
ENSG00000169504,CLIC4,12,-1.2557,136,2.91461,14,-0.9746,19,-1.5133
ENSG00000117614,SYF2,112,0.83204,114,0.86430,40,-0.7831,59,-0.5728
ENSG00000117616,RSRP1,84,0.35260,64,-0.0899,48,-0.5248,68,0.06123
ENSG00000183726,TMEM50A,145,0.74912,84,-0.1256,66,-0.4925,88,-0.1511
ENSG00000204178,MACO1,30,0.01995,18,-0.7629,13,-1.2321,32,0.67718
ENSG00000117643,MAN1C1,19,-1.3356,44,-0.0438,36,-0.3602,50,0.58371
ENSG00000162430,SELENON,99,1.16407,78,0.76284,39,-0.3435,41,-0.8155
ENSG00000117640,MTFR1L,60,-0.2479,58,-0.2846,75,0.10731,72,0.16025
ENSG00000117632,STMN1,558,-1.0506,346,-1.7641,688,-0.7341,1300,1.29052
ENSG00000158008,EXTL1,38,-0.4826,8,-2.7669,37,-0.5119,60,1.10473
ENSG00000142684,ZNF593,82,1.42814,33,-0.0573,31,-0.1585,30,-0.7058
ENSG00000142669,SH3BGRL3,366,0.41953,236,-0.2746,242,-0.2394,282,0.00148
ENSG00000158062,UBXN11,15,-0.8573,38,0.61284,23,-0.1758,26,0.04406
ENSG00000117682,DHDDS,1,-3.9336,13,-0.3531,14,-0.2678,19,1.00349
ENSG00000198830,HMGN2,167,0.28783,320,1.37618,134,-0.0637,117,-0.8223
ENSG00000117713,ARID1A,42,-0.4560,53,-0.1092,32,-0.8568,62,0.52882
ENSG00000204160,ZDHHC18,7,-2.0185,16,-0.9029,21,-0.4445,33,1.14577
ENSG00000142751,GPN2,0,-4.3222,9,-0.8779,16,0.04656,18,1.06423
ENSG00000090273,NUDC,198,0.29630,96,-0.8274,159,-0.0552,169,0.16141
ENSG00000253368,TRNP1,36,-0.8457,20,-1.7546,56,-0.1977,72,0.94229
ENSG00000090020,SLC9A1,0,-5.2462,5,-2.4553,10,-1.5758,38,2.71582
ENSG00000142784,WDTC1,23,-0.4806,26,-0.2940,29,-0.1210,33,0.34974
ENSG00000186501,TMEM222,50,-0.6109,58,-0.3872,82,0.15168,78,0.30142
ENSG00000158195,WASF2,0,-4.8573,78,2.11926,23,0.04518,19,-0.8296
ENSG00000126705,AHDC1,0,-6.0275,36,-0.5883,27,-1.0097,63,1.55939
ENSG00000126709,IFI6,175,0.44541,174,0.43227,69,-1.0000,130,-0.0975
ENSG00000009780,FAM76A,3,-2.1164,10,-0.6416,8,-0.8232,17,1.22947
ENSG00000117758,STX12,69,-0.4499,79,-0.2456,61,-0.6377,100,0.51806
ENSG00000117751,PPP1R8,27,-0.0511,23,-0.3203,19,-0.6064,30,0.37144
ENSG00000117748,RPA2,44,-0.4063,66,0.22904,38,-0.6076,59,0.26819
ENSG00000126698,DNAJC8,140,0.19567,137,0.16232,118,-0.0742,121,-0.1215
ENSG00000130770,ATP5IF1,376,-0.4933,256,-1.0764,548,0.09214,558,0.50385
ENSG00000180098,TRNAU1AP,18,0.00406,14,-0.3561,15,-0.3027,19,0.25362
ENSG00000120656,TAF12,48,1.58338,18,0.00927,13,-0.5504,16,-0.7321
ENSG00000198492,YTHDF2,49,-0.8082,33,-1.4087,43,-1.0257,98,1.21973
ENSG00000116350,SRSF4,11,-2.0955,53,0.28014,31,-0.5723,49,0.62367
ENSG00000116353,MECR,27,-0.4052,15,-1.2617,33,-0.1053,39,0.61558
ENSG00000162511,LAPTM5,76,0.63169,151,1.82506,73,0.55658,35,-1.4985
ENSG00000162512,SDC3,60,-1.8543,156,-0.4267,184,-0.1657,229,0.77710
ENSG00000134644,PUM1,121,-0.3699,57,-1.4986,94,-0.7615,174,0.94271
ENSG00000060688,SNRNP40,0,-4.6318,19,-0.0586,14,-0.4787,22,0.97289
ENSG00000121766,ZCCHC17,159,0.35077,47,-1.5146,107,-0.2644,135,0.36962
ENSG00000121769,FABP3,4,-4.9573,23,-2.5912,119,-0.1384,157,1.68267
ENSG00000162517,PEF1,20,-2.2989,48,-0.9942,67,-0.4917,108,1.25552
ENSG00000084636,COL16A1,19,-1.2653,90,1.17180,26,-0.8178,43,-0.0418
ENSG00000121753,ADGRB2,63,-2.2518,64,-2.2358,244,-0.2286,335,1.43634
ENSG00000184007,PTP4A2,229,0.49727,179,0.09804,107,-0.7001,167,-0.0412
ENSG00000121774,KHDRBS1,135,0.14280,133,0.11787,103,-0.2749,123,-0.0068
ENSG00000121775,TMEM39B,42,1.38712,6,-1.6547,11,-0.7147,17,-0.1693
ENSG00000025800,KPNA6,13,-1.8034,23,-0.9407,31,-0.4813,50,1.13547
ENSG00000084652,TXLNA,0,-4.8659,30,0.44403,14,-0.6827,25,0.73591
ENSG00000160050,CCDC28B,0,-4.2432,31,1.22698,27,0.99628,13,-0.5876
ENSG00000084623,EIF3I,136,0.23298,88,-0.4477,96,-0.3159,121,0.18219
ENSG00000175130,MARCKSL1,105,-1.0968,543,1.54765,251,0.24598,187,-0.6795
ENSG00000160058,BSDC1,39,-0.8600,52,-0.4148,59,-0.2175,74,0.56339
ENSG00000176261,ZBTB8OS,149,1.76058,45,-0.2252,50,-0.0702,43,-0.9234
ENSG00000162521,RBBP4,78,-0.1930,77,-0.2059,63,-0.5169,93,0.35749
ENSG00000162522,KIAA1522,0,-4.9426,8,-1.5705,35,0.54270,28,0.92222
ENSG00000134684,YARS,40,-1.3480,50,-1.0025,68,-0.5298,111,1.06875
ENSG00000116497,S100PBP,33,1.15210,15,-0.1642,13,-0.3461,15,-0.4296
ENSG00000160097,FNDC5,2,-3.4001,21,0.07888,10,-1.0282,23,1.04820
ENSG00000121905,HPCA,105,-0.9044,22,-3.1695,161,-0.2447,220,1.18867
ENSG00000121900,TMEM54,6,-3.0254,62,0.42998,66,0.53455,48,0.10572
ENSG00000116514,RNF19B,10,-0.9551,21,0.17774,20,0.07411,19,0.19623
ENSG00000004455,AK2,5,-2.4450,72,1.73678,27,0.10445,22,-0.6150
ENSG00000142920,AZIN2,12,-0.9396,28,0.35944,13,-0.8347,24,0.43131
ENSG00000160094,ZNF362,3,-2.2957,12,-0.5243,13,-0.4112,20,1.01472
ENSG00000134686,PHC2,28,-1.0430,59,0.05858,44,-0.4019,61,0.47793
ENSG00000163866,SMIM12,53,-0.1837,30,-1.0504,31,-0.9846,67,0.80651
ENSG00000116544,DLGAP3,16,-2.0720,41,-0.7204,109,0.82045,69,0.31104
ENSG00000163867,ZMYM6,46,1.31836,16,-0.4152,12,-0.8354,19,-0.3426
ENSG00000116560,SFPQ,71,-1.1295,178,0.28125,105,-0.5507,160,0.43483
ENSG00000146463,ZMYM4,55,0.53402,39,-0.0075,41,0.04640,38,-0.2585
ENSG00000142687,KIAA0319L,87,0.50273,50,-0.3743,34,-0.9525,66,0.20334
ENSG00000020129,NCDN,377,-0.8481,129,-2.4343,483,-0.4674,761,1.20526
ENSG00000126067,PSMB2,21,-2.4104,69,-0.7037,88,-0.3240,125,1.06558
ENSG00000142686,C1orf216,110,0.05220,17,-2.7278,73,-0.5765,120,0.83831
ENSG00000134698,AGO4,0,-4.0013,18,0.61829,14,0.23894,13,0.19934
ENSG00000092847,AGO1,33,0.23471,26,-0.1467,29,0.01132,28,-0.0492
ENSG00000126070,AGO3,0,-4.1878,9,-0.6254,17,0.25914,16,0.82099
ENSG00000116863,ADPRHL2,23,-0.0819,25,0.01995,12,-1.0582,26,0.36754
ENSG00000054116,TRAPPC3,78,0.33218,36,-0.8452,40,-0.6995,67,0.38040
ENSG00000116871,MAP7D1,37,-2.2624,100,-0.8044,177,0.08392,189,0.85118
ENSG00000054118,THRAP3,27,-1.0251,58,0.13016,35,-0.6593,58,0.52883
ENSG00000196182,STK40,1,-4.1040,18,-0.1527,17,-0.2721,23,0.90780
ENSG00000181817,LSM10,10,-2.3391,43,-0.1445,57,0.31309,50,0.45942
ENSG00000116885,OSCP1,28,0.20424,11,-1.1808,16,-0.6677,27,0.53062
ENSG00000116898,MRPS15,26,-1.0896,47,-0.1965,50,-0.0990,57,0.48174
ENSG00000163873,GRIK3,0,-4.8555,0,-4.9119,4,-2.5350,30,3.91749
ENSG00000163875,MEAF6,49,-1.2318,43,-1.4208,71,-0.6690,128,1.23318
ENSG00000163877,SNIP1,0,-4.1061,10,-0.4222,7,-0.9767,16,1.38854
ENSG00000134697,GNL2,0,-4.0498,16,0.37549,14,0.11971,14,0.40740
ENSG00000116922,C1orf109,41,1.47597,8,-1.0306,10,-0.7146,16,-0.3414
ENSG00000183317,EPHA10,0,-4.5043,5,-1.7855,14,-0.3405,21,1.63919
ENSG00000185090,MANEAL,1,-5.3992,10,-1.9562,30,-0.4173,47,1.77460
ENSG00000196449,YRDC,0,-4.4463,11,-0.6789,5,-1.6479,21,1.82344
ENSG00000197982,C1orf122,278,0.13410,341,0.46305,392,0.69402,228,-0.5651
ENSG00000183431,SF3A3,10,-1.7930,39,0.17888,29,-0.2839,38,0.52248
ENSG00000183520,UTP11,38,0.23793,20,-0.7182,21,-0.6936,34,0.39341
ENSG00000116954,RRAGC,1,-5.0371,38,-0.2218,34,-0.3876,50,1.03335
ENSG00000174574,AKIRIN1,32,-1.5653,41,-1.1934,75,-0.2887,104,1.06656
ENSG00000168653,NDUFS5,438,-0.5814,395,-0.7390,735,0.22571,676,0.37020
ENSG00000127603,MACF1,93,-0.4997,187,0.60443,92,-0.5150,129,0.06496
ENSG00000090621,PABPC4,65,0.18622,80,0.52004,54,-0.1057,55,-0.2719
ENSG00000116983,HPCAL4,125,-1.4642,86,-2.0194,395,0.29646,370,0.86987
ENSG00000084072,PPIE,3,-3.4866,40,0.24108,25,-0.4735,38,0.73856
ENSG00000168389,MFSD2A,35,0.67902,27,0.27184,10,-1.2644,22,-0.0940
ENSG00000131236,CAP1,90,-0.6392,129,-0.0789,106,-0.3836,145,0.41922
ENSG00000131238,PPT1,34,-1.8578,111,-0.0963,89,-0.4356,132,0.74579
ENSG00000259943,AL050341.2,59,1.71508,13,-0.7311,10,-1.1536,19,-0.5044
ENSG00000084073,ZMPSTE24,2,-3.9897,39,0.17355,16,-1.1812,40,1.06743
ENSG00000084070,SMAP2,207,0.46310,41,-2.0122,102,-0.6517,168,0.52481
ENSG00000117016,RIMS3,11,-2.8492,19,-2.1217,54,-0.5882,96,1.75398
ENSG00000066136,NFYC,0,-5.4857,19,-0.9593,21,-0.8062,43,1.64847
ENSG00000179862,CITED4,50,1.48733,16,-0.3230,14,-0.5139,18,-0.5679
ENSG00000171793,CTPS1,0,-4.2576,5,-1.6312,12,-0.2671,18,1.53006
ENSG00000010803,SCMH1,36,1.37384,11,-0.4749,17,0.17557,13,-0.6612
ENSG00000127124,HIVEP3,60,1.26782,14,-1.0401,11,-1.3161,27,-0.0545
ENSG00000198815,FOXJ3,48,-0.4728,31,-1.1345,31,-1.1503,75,1.02701
ENSG00000177181,RIMKLA,6,-2.2261,7,-2.0976,18,-0.6713,34,1.68618
ENSG00000127125,PPCS,76,0.12073,52,-0.4739,83,0.26632,70,0.00040
ENSG00000171960,PPIH,8,-0.8491,19,0.39042,17,0.19649,15,0.00878
ENSG00000065978,YBX1,355,1.86150,317,1.64789,103,-0.2262,72,-1.8287
ENSG00000164008,C1orf50,32,0.53761,18,-0.3285,18,-0.3524,23,-0.0042
ENSG00000177868,SVBP,13,-1.8108,59,0.48799,58,0.44916,44,0.00964
ENSG00000117394,SLC2A1,25,-1.1462,176,2.07872,28,-0.9412,44,-0.7681
ENSG00000117395,EBNA1BP2,143,0.81676,57,-0.6395,80,-0.1160,84,-0.1541
ENSG00000066322,ELOVL1,1,-4.2075,86,2.88209,14,-0.3626,12,-1.4243
ENSG00000159479,MED8,0,-4.7308,25,0.29083,14,-0.5643,23,0.79226
ENSG00000178922,HYI,15,-0.6767,84,2.15084,20,-0.3034,19,-1.0600
ENSG00000142949,PTPRF,79,-0.8005,79,-0.8114,128,-0.0711,147,0.61743
ENSG00000066135,KDM4A,0,-4.2404,15,0.02751,12,-0.3320,16,0.84043
ENSG00000126091,ST3GAL3,8,-2.2811,28,-0.5689,24,-0.7653,47,1.19785
ENSG00000117408,IPO13,40,-0.5673,58,-0.0122,59,0.01245,60,0.20356
ENSG00000132768,DPH2,9,-0.8103,9,-0.7712,17,0.14462,17,0.49596
ENSG00000117410,ATP6V0B,112,-1.9158,183,-1.1891,289,-0.4947,466,1.25599
ENSG00000117411,B4GALT2,51,-0.5887,61,-0.3181,81,0.13227,78,0.27848
ENSG00000159214,CCDC24,0,-4.9601,14,-0.8609,24,0.00080,28,1.10772
ENSG00000178028,DMAP1,16,-1.6650,38,-0.3799,52,0.07852,54,0.59532
ENSG00000117419,ERI3,188,-0.0048,133,-0.5433,153,-0.3337,199,0.33455
ENSG00000187147,RNF220,23,-2.3577,69,-0.7135,77,-0.5489,128,1.17734
ENSG00000126106,TMEM53,29,0.99193,12,-0.3398,14,-0.1206,14,-0.3439
ENSG00000142937,RPS8,2348,1.13687,2714,1.39146,1261,0.11239,863,-1.2876
ENSG00000070785,EIF2B3,19,-0.6438,21,-0.5103,14,-1.0363,32,0.83523
ENSG00000126107,HECTD3,30,0.74855,7,-1.4561,12,-0.6964,19,0.26051
ENSG00000126088,UROD,22,-1.6884,81,0.26904,65,-0.0850,72,0.36947
ENSG00000117450,PRDX1,131,-1.4903,739,1.23911,414,0.27214,322,-0.4099
ENSG00000117448,AKR1A1,109,1.13817,63,0.22345,48,-0.1885,48,-0.6058
ENSG00000132780,NASP,1,-4.5127,48,1.09312,21,-0.1994,25,0.07984
