"","cell_type_class","cell_type_broad","cell_type_anno","n_nuclei","prop","n_donors","median_sum","median_detected","median_Mito_percent","median_scDblFinder.score","top_enrichment_genes_global"
"13","glia","OPC","OPC.2",4009,0.0328595783744795,31,4601,2335,0.0664893617021277,0.000801169662736356,"ENSG00000274695, ENSG00000256389, PRRC1, ENSG00000270504, PCBP2-OT1"
"14","glia","OPC","OPC.3",3932,0.0322284515261795,31,12043.5,3952.5,0.0493803943148788,0.00150453706737608,"LINC02377, ATP6V0D2, ENSG00000270504, ENSG00000256389, GTF2IRD2B"
"15","glia","OPC","OPC.4",1961,0.0160732435002131,31,10767,3799,0.0571722600194386,0.00124705652706325,"PRRC1, ENSG00000270504, RASGRP3, ENSG00000274695, ENSG00000253154"
"16","glia","OPC","OPC.5",458,0.00375397527949903,27,2204,1435.5,0.110091876552733,0.000659410608932376,"ENSG00000255252, PCBP2-OT1, ZNF512, ENSG00000273447, NXNL2"
"17","glia","Oligo","Oligo.1",12519,0.102611389790499,31,5673,2404,0.0740521327014218,0.00119136390276253,NA
"18","glia","Oligo","Oligo.2",12010,0.098439395429658,31,8807,3125,0.0603697657643977,0.00184304174035788,NA
"19","glia","Oligo","Oligo.3",8587,0.0703829382643192,31,2161,1327,0.199203187250996,0.000751511135604233,NA
"20","glia","Oligo","Oligo.4",6911,0.0566456837480738,31,3616,1817,0.1311303435615,0.000991483684629202,NA
"21","glia","Oligo","Oligo.5",4254,0.0348677092554342,31,3743.5,1872.5,0.115953984716549,0.000974191672867164,NA
"22","glia","Vasc","Vasc.Endo",586,0.00480312120914068,31,6700.5,2700,0.140307935945474,0.00132696097716689,"ENSG00000225303, SLC16A7, INMT, ENSG00000286401, CNOT6L"
"23","glia","Vasc","Vasc.PC",147,0.00120487852857283,31,6357,2755,0.282035561005518,0.00142231769859791,"DMXL1-DT, PTHLH, ENSG00000275278, MRGPRG-AS1, TBP"
"24","glia","Vasc","Vasc.VLMC",915,0.00749975410642274,31,6712,2842,0.0571973307912297,0.0011227052891627,"LINC01138, MZT2A, PIK3CD-AS1, CYP2C9, ARL9"
"25","neuron","Excit","Excit.L2",2209,0.0181059637388938,30,72874,9498,0.100393766662577,0.00159267953131348,"PRKG1, ENSG00000288829, ENSG00000260484, ENSG00000287154, DKK4"
"26","neuron","Excit","Excit.L2_5.1",8671,0.0710714402806465,31,27638,6506,0.120288692862871,0.0015696962364018,"PTPRD-DT, RNF13, ENSG00000288829, FMO1, BMT2"
"27","neuron","Excit","Excit.L2_5.2",609,0.00499163961837317,25,61717,9080,0.0327139492279508,0.00129733025096357,"SRP9, GSK3B-DT, FRG1, ENSG00000291136, PLK4"
"28","neuron","Excit","Excit.L5.1",2235,0.0183190715058523,29,57008,8821,0.111635459481403,0.00236709206365049,"LZTS1-AS1, LINC01145, ENSG00000273261, LINC02802, LINC01857"
"29","neuron","Excit","Excit.L5.2",241,0.00197534507065342,21,63691,9154,0.0369902018976834,0.00510669872164726,"SHPRH, ENSG00000228613, CRY2, PCDHA10, ETFRF1"
"30","neuron","Excit","Excit.L5_6_NP",152,0.00124586079144946,19,49046.5,8421.5,0.104109969518625,0.047508716583252,"ENSG00000236109, ENSG00000231626, CCDC190, GLYATL2, ENSG00000287472"
"31","neuron","Excit","Excit.L6_CT",625,0.00512278285957837,30,70322,9087,0.0909077249027062,0.00204705214127898,"ENSG00000233029, ATP6V1B2, MUC2, SCAT2, TRBV15"
"32","neuron","Excit","Excit.L6b",897,0.00735221796006688,30,68541,9095,0.133516591399961,0.00208178465254605,"ENSG00000227193, CYTOR, H4C6, OPRK1, LYPLA2"
"33","neuron","Inhib","Inhib.Chandelier",303,0.0024835251303236,30,34203,7041,0.17790987295142,0.0146487327292562,"PRSS56, ENSG00000229131, TOLLIP, ENSG00000226939, UGP2"
"34","neuron","Inhib","Inhib.Lamp5_Lhx6",1234,0.0101144224779515,30,34249.5,7298.5,0.0947018847016545,0.00451101106591523,"MIR378D2HG, ENSG00000286154, ARHGAP30, PDP1, RFLNA"
"35","neuron","Inhib","Inhib.Pax6",125,0.00102455657191567,28,65886,9176,0.119176828619464,0.0360816270112991,"TMEM126B, ENSG00000287290, ENSG00000290114, PGM2, ENSG00000287520"
"36","neuron","Inhib","Inhib.Pvalb",1363,0.0111717648601685,31,41165,7923,0.116135221793027,0.00378827983513474,"ENSG00000250761, CHRND, CFAP90, CFI, MPPED2-AS1"
"37","neuron","Inhib","Inhib.Sst",815,0.0066801088488902,31,33886,7145,0.0947811148628636,0.00371794821694493,"CCR5, CYP27A1, TTLL4, ENSG00000289296, LINC00708"
"38","neuron","Inhib","Inhib.Vip",7535,0.0617602701550769,31,19072,5608,0.101365452268797,0.00274951988831162,"FOXD1-AS1, PGM2, ENSG00000287520, TRIM26, ABCC5-AS1"
