"","SpX","cell_type_anno","mod","n_genes","n_FDR05","n_pval05","nUP","nDown"
"35","L1a~SpX6","Vasc.PC","carrier",193,0,17,9,8
"36","L1a~SpX6","Vasc.VLMC","carrier",101,0,8,5,3
"37","L1a~SpX6","Inhib.Pax6","carrier",143,0,6,1,5
"38","L1a~SpX6","Inhib.Lamp5_Lhx6","carrier",216,0,12,5,7
"39","L1a~SpX6","Inhib.Vip","carrier",188,0,7,4,3
"40","L1b~SpX7","Astro.1","carrier",301,0,31,14,17
"41","L1b~SpX7","Astro.2","carrier",320,0,16,7,9
"42","L1b~SpX7","Astro.5","carrier",333,0,11,2,9
"43","L1b~SpX7","Macro","carrier",120,0,11,3,8
"44","L1b~SpX7","Micro.2","carrier",271,0,19,12,7
"45","L1b~SpX7","Micro.3","carrier",136,0,13,10,3
"46","L1b~SpX7","Micro.5","carrier",274,0,25,11,14
"47","L1b~SpX7","OPC.2","carrier",267,0,24,10,14
"48","L1b~SpX7","OPC.4","carrier",206,0,3,1,2
"49","L1b~SpX7","OPC.5","carrier",240,0,13,5,8
"50","L1b~SpX7","Oligo.1","carrier",191,0,17,10,7
"51","L1b~SpX7","Oligo.2","carrier",122,1,6,2,4
"52","L1b~SpX7","Oligo.3","carrier",297,0,23,13,10
"53","L1b~SpX7","Oligo.4","carrier",248,0,14,4,10
"54","L1b~SpX7","Vasc.Endo","carrier",309,0,22,7,15
"55","L1b~SpX7","Vasc.PC","carrier",260,0,19,6,13
"56","L1b~SpX7","Vasc.VLMC","carrier",95,0,5,4,1
"57","L1b~SpX7","Excit.L2","carrier",266,0,5,2,3
"58","L1b~SpX7","Excit.L2_5.1","carrier",230,0,9,3,6
"59","L1b~SpX7","Excit.L2_5.2","carrier",192,1,25,10,15
"60","L1b~SpX7","Excit.L5.1","carrier",201,0,4,2,2
"61","L1b~SpX7","Excit.L5.2","carrier",183,0,4,2,2
"62","L1b~SpX7","Inhib.Pax6","carrier",202,0,12,8,4
"63","L1b~SpX7","Inhib.Lamp5_Lhx6","carrier",223,0,18,11,7
"64","L1b~SpX7","Inhib.Pvalb","carrier",204,0,12,8,4
"65","L1b~SpX7","Inhib.Vip","carrier",278,0,12,9,3
"66","L1b~SpX7","Inhib.Sst","carrier",168,0,6,2,4
"67","L2.3~SpX4","Astro.1","carrier",294,0,21,15,6
"68","L2.3~SpX4","Astro.2","carrier",273,0,25,9,16
"69","L2.3~SpX4","Astro.5","carrier",298,0,21,12,9
"70","L2.3~SpX4","Micro.2","carrier",256,0,24,8,16
"71","L2.3~SpX4","Micro.5","carrier",262,0,17,7,10
"72","L2.3~SpX4","OPC.2","carrier",287,0,14,6,8
"73","L2.3~SpX4","OPC.4","carrier",167,0,14,10,4
"74","L2.3~SpX4","OPC.5","carrier",245,0,6,2,4
"75","L2.3~SpX4","Oligo.1","carrier",200,0,5,3,2
"76","L2.3~SpX4","Oligo.3","carrier",230,0,16,8,8
"77","L2.3~SpX4","Oligo.4","carrier",177,0,4,2,2
"78","L2.3~SpX4","Oligo.5","carrier",153,0,4,2,2
"79","L2.3~SpX4","Vasc.Endo","carrier",296,0,21,11,10
"80","L2.3~SpX4","Vasc.PC","carrier",227,2,17,8,9
"81","L2.3~SpX4","Excit.L2","carrier",363,0,21,9,12
"82","L2.3~SpX4","Excit.L2_5.1","carrier",293,0,17,7,10
"83","L2.3~SpX4","Excit.L2_5.2","carrier",204,4,28,12,16
"84","L2.3~SpX4","Excit.L5.1","carrier",262,0,17,11,6
"85","L2.3~SpX4","Excit.L5.2","carrier",270,0,39,14,25
"86","L2.3~SpX4","Inhib.Pax6","carrier",203,0,6,2,4
"87","L2.3~SpX4","Inhib.Lamp5_Lhx6","carrier",233,0,11,7,4
"88","L2.3~SpX4","Inhib.Pvalb","carrier",244,0,22,11,11
"89","L2.3~SpX4","Inhib.Vip","carrier",305,0,9,6,3
"90","L2.3~SpX4","Inhib.Chandelier","carrier",205,0,12,5,7
"91","L2.3~SpX4","Inhib.Sst","carrier",227,0,23,15,8
"92","Inhib~SpX5","Astro.1","carrier",280,0,12,7,5
"93","Inhib~SpX5","Astro.2","carrier",282,0,33,12,21
"94","Inhib~SpX5","Astro.5","carrier",302,0,26,16,10
"95","Inhib~SpX5","Micro.2","carrier",229,1,25,16,9
"96","Inhib~SpX5","Micro.5","carrier",251,0,21,12,9
"97","Inhib~SpX5","OPC.2","carrier",271,0,27,10,17
"98","Inhib~SpX5","OPC.4","carrier",192,0,4,2,2
"99","Inhib~SpX5","OPC.5","carrier",240,0,25,10,15
"100","Inhib~SpX5","Oligo.1","carrier",189,0,5,2,3
"101","Inhib~SpX5","Oligo.3","carrier",245,0,9,4,5
"102","Inhib~SpX5","Oligo.4","carrier",213,0,9,5,4
"103","Inhib~SpX5","Vasc.Endo","carrier",277,0,14,5,9
"104","Inhib~SpX5","Vasc.PC","carrier",219,0,6,2,4
"105","Inhib~SpX5","Excit.L2","carrier",262,0,10,4,6
"106","Inhib~SpX5","Excit.L2_5.1","carrier",180,0,7,5,2
"107","Inhib~SpX5","Excit.L5.2","carrier",244,0,38,17,21
"108","Inhib~SpX5","Inhib.Pax6","carrier",238,0,8,6,2
"109","Inhib~SpX5","Inhib.Lamp5_Lhx6","carrier",246,0,30,20,10
"110","Inhib~SpX5","Inhib.Pvalb","carrier",247,0,16,10,6
"111","Inhib~SpX5","Inhib.Vip","carrier",322,0,13,5,8
"112","Inhib~SpX5","Inhib.Chandelier","carrier",204,0,9,4,5
"113","Inhib~SpX5","Inhib.Sst","carrier",188,0,23,14,9
"114","L5~SpX1","Astro.1","carrier",310,0,32,22,10
"115","L5~SpX1","Astro.2","carrier",327,0,46,14,32
"116","L5~SpX1","Astro.3","carrier",176,0,13,9,4
"117","L5~SpX1","Astro.5","carrier",344,0,19,9,10
"118","L5~SpX1","Macro","carrier",116,0,0,0,0
"119","L5~SpX1","Micro.2","carrier",328,0,21,14,7
"120","L5~SpX1","Micro.3","carrier",149,0,0,0,0
"121","L5~SpX1","Micro.5","carrier",323,0,26,16,10
"122","L5~SpX1","OPC.2","carrier",303,0,17,6,11
"123","L5~SpX1","OPC.4","carrier",229,0,26,11,15
"124","L5~SpX1","OPC.5","carrier",311,0,17,7,10
"125","L5~SpX1","Oligo.1","carrier",311,0,15,6,9
"126","L5~SpX1","Oligo.2","carrier",181,0,10,9,1
"127","L5~SpX1","Oligo.3","carrier",349,0,29,14,15
"128","L5~SpX1","Oligo.4","carrier",322,0,27,10,17
"129","L5~SpX1","Oligo.5","carrier",258,0,12,6,6
"130","L5~SpX1","Vasc.Endo","carrier",336,0,22,14,8
"131","L5~SpX1","Vasc.PC","carrier",292,0,23,8,15
"132","L5~SpX1","Excit.L2","carrier",359,0,19,7,12
"133","L5~SpX1","Excit.L2_5.1","carrier",339,0,16,10,6
"134","L5~SpX1","Excit.L2_5.2","carrier",344,0,31,17,14
"135","L5~SpX1","Excit.L5.1","carrier",344,0,25,14,11
"136","L5~SpX1","Excit.L5.2","carrier",266,0,41,23,18
"137","L5~SpX1","Excit.L5_6_NP","carrier",284,0,24,10,14
"138","L5~SpX1","Excit.L6_CT","carrier",241,0,3,3,0
"139","L5~SpX1","Excit.L6b","carrier",179,0,2,0,2
"140","L5~SpX1","Inhib.Pax6","carrier",197,1,15,8,7
"141","L5~SpX1","Inhib.Lamp5_Lhx6","carrier",270,0,26,11,15
"142","L5~SpX1","Inhib.Pvalb","carrier",317,0,40,20,20
"143","L5~SpX1","Inhib.Vip","carrier",285,0,12,6,6
"144","L5~SpX1","Inhib.Chandelier","carrier",216,2,26,10,16
"145","L5~SpX1","Inhib.Sst","carrier",298,0,36,17,19
"146","L6~SpX9","Astro.1","carrier",183,0,20,12,8
"147","L6~SpX9","Astro.2","carrier",275,3,46,25,21
"148","L6~SpX9","Astro.3","carrier",154,0,4,3,1
"149","L6~SpX9","Astro.5","carrier",307,1,47,12,35
"150","L6~SpX9","Micro.2","carrier",273,0,25,11,14
"151","L6~SpX9","Micro.5","carrier",280,0,35,16,19
"152","L6~SpX9","OPC.2","carrier",239,0,14,7,7
"153","L6~SpX9","OPC.4","carrier",176,0,8,2,6
"154","L6~SpX9","OPC.5","carrier",280,0,31,13,18
"155","L6~SpX9","Oligo.1","carrier",273,0,30,14,16
"156","L6~SpX9","Oligo.2","carrier",179,0,16,8,8
"157","L6~SpX9","Oligo.3","carrier",346,0,26,12,14
"158","L6~SpX9","Oligo.4","carrier",306,0,25,15,10
"159","L6~SpX9","Oligo.5","carrier",178,2,23,16,7
"160","L6~SpX9","Vasc.Endo","carrier",248,0,21,13,8
"161","L6~SpX9","Vasc.PC","carrier",198,0,14,8,6
"162","L6~SpX9","Excit.L2","carrier",241,0,9,6,3
"163","L6~SpX9","Excit.L2_5.1","carrier",282,0,30,19,11
"164","L6~SpX9","Excit.L5.1","carrier",294,0,12,8,4
"165","L6~SpX9","Excit.L5_6_NP","carrier",207,0,19,13,6
"166","L6~SpX9","Excit.L6_CT","carrier",335,0,19,10,9
"167","L6~SpX9","Excit.L6b","carrier",341,0,14,11,3
"168","L6~SpX9","Inhib.Lamp5_Lhx6","carrier",207,0,23,10,13
"169","L6~SpX9","Inhib.Pvalb","carrier",240,0,21,12,9
"170","L6~SpX9","Inhib.Vip","carrier",184,0,14,7,7
"171","L6~SpX9","Inhib.Sst","carrier",217,0,30,16,14
"172","WMtz~SpX8","Astro.1","carrier",201,0,25,11,14
"173","WMtz~SpX8","Astro.2","carrier",281,0,24,10,14
"174","WMtz~SpX8","Astro.3","carrier",125,0,10,7,3
"175","WMtz~SpX8","Astro.4","carrier",90,0,8,2,6
"176","WMtz~SpX8","Astro.5","carrier",343,0,21,9,12
"177","WMtz~SpX8","Macro","carrier",125,0,4,0,4
"178","WMtz~SpX8","Micro.2","carrier",313,0,29,16,13
"179","WMtz~SpX8","Micro.3","carrier",145,0,6,3,3
"180","WMtz~SpX8","Micro.5","carrier",302,0,27,15,12
"181","WMtz~SpX8","OPC.2","carrier",264,0,16,4,12
"182","WMtz~SpX8","OPC.4","carrier",159,0,7,6,1
"183","WMtz~SpX8","OPC.5","carrier",267,0,10,1,9
"184","WMtz~SpX8","Oligo.1","carrier",294,0,26,10,16
"185","WMtz~SpX8","Oligo.2","carrier",201,0,18,5,13
"186","WMtz~SpX8","Oligo.3","carrier",359,0,25,14,11
"187","WMtz~SpX8","Oligo.4","carrier",330,0,21,10,11
"188","WMtz~SpX8","Oligo.5","carrier",177,0,6,4,2
"189","WMtz~SpX8","Vasc.Endo","carrier",329,0,32,11,21
"190","WMtz~SpX8","Vasc.PC","carrier",288,0,22,8,14
"191","WMtz~SpX8","Vasc.VLMC","carrier",109,0,3,0,3
"192","WMtz~SpX8","Excit.L2","carrier",266,0,9,4,5
"193","WMtz~SpX8","Excit.L2_5.1","carrier",257,0,16,4,12
"194","WMtz~SpX8","Excit.L2_5.2","carrier",232,0,15,11,4
"195","WMtz~SpX8","Excit.L5.1","carrier",220,0,12,7,5
"196","WMtz~SpX8","Excit.L6_CT","carrier",202,0,19,13,6
"197","WMtz~SpX8","Excit.L6b","carrier",189,0,12,6,6
"198","WMtz~SpX8","Inhib.Lamp5_Lhx6","carrier",213,0,17,5,12
"199","WMtz~SpX8","Inhib.Pvalb","carrier",241,0,14,4,10
"200","WMtz~SpX8","Inhib.Vip","carrier",236,0,13,5,8
"201","WMtz~SpX8","Inhib.Chandelier","carrier",139,0,2,1,1
"202","WMtz~SpX8","Inhib.Sst","carrier",225,0,13,7,6
"203","WM~SpX2","Astro.1","carrier",130,0,8,4,4
"204","WM~SpX2","Astro.2","carrier",174,0,18,8,10
"205","WM~SpX2","Astro.3","carrier",118,0,10,6,4
"206","WM~SpX2","Astro.4","carrier",246,0,23,9,14
"207","WM~SpX2","Astro.5","carrier",256,0,40,19,21
"208","WM~SpX2","Macro","carrier",78,0,5,4,1
"209","WM~SpX2","Micro.2","carrier",220,1,28,19,9
"210","WM~SpX2","Micro.3","carrier",152,0,10,8,2
"211","WM~SpX2","Micro.5","carrier",220,0,30,16,14
"212","WM~SpX2","OPC.2","carrier",236,0,33,10,23
"213","WM~SpX2","OPC.4","carrier",157,0,6,4,2
"214","WM~SpX2","OPC.5","carrier",196,0,12,7,5
"215","WM~SpX2","Oligo.1","carrier",310,0,31,12,19
"216","WM~SpX2","Oligo.2","carrier",285,0,44,10,34
"217","WM~SpX2","Oligo.3","carrier",362,0,49,21,28
"218","WM~SpX2","Oligo.4","carrier",352,8,84,40,44
"219","WM~SpX2","Oligo.5","carrier",147,0,10,6,4
"220","WM~SpX2","Vasc.Endo","carrier",251,0,22,10,12
"221","WM~SpX2","Vasc.PC","carrier",190,0,22,11,11
"222","WM~SpX2","Excit.L2_5.1","carrier",115,0,14,7,7
"223","WM~SpX2","Excit.L6_CT","carrier",167,0,5,2,3
"224","WM~SpX2","Excit.L6b","carrier",204,0,7,6,1
"225","WM~SpX2","Inhib.Lamp5_Lhx6","carrier",174,0,11,9,2
"226","WM~SpX2","Inhib.Pvalb","carrier",173,0,7,3,4
"227","WM~SpX2","Inhib.Vip","carrier",176,0,3,1,2
"228","WM~SpX2","Inhib.Sst","carrier",187,0,6,4,2
