region,neighbor,reference,scale,Z,Z_real
ALL,Macro,Inhib.Vip,41.66666666666667,-8.24,-9.837579471855312
ALL,Macro,Inhib.Chandelier,96.42857142857143,-4.8085443664465375,-4.8085443664465375
ALL,Macro,Inhib.Sst,25,-5.811898579312188,-5.811898579312188
ALL,Micro.1,Astro.1,97.22222222222223,-6.710321999155404,-6.710321999155404
ALL,Micro.1,Astro.2,42.5,-6.67439303449158,-6.67439303449158
ALL,Micro.1,Astro.4,2832.1428571428573,-3.1594167877282535,-3.1594167877282535
ALL,Micro.1,Astro.5,25,-8.24,-8.488185531402621
ALL,Micro.1,Micro.2,71.42857142857142,-6.615038439204177,-6.615038439204177
ALL,Micro.1,Micro.5,381.25,-7.2485347403978135,-7.2485347403978135
ALL,Micro.1,OPC.2,166.66666666666669,-6.136623944964423,-6.136623944964423
ALL,Micro.1,OPC.5,78.57142857142858,-7.245699121132972,-7.245699121132972
ALL,Micro.1,Oligo.1,1017.8571428571428,-3.49627875080577,-3.49627875080577
ALL,Micro.1,Oligo.2,1237.5,-2.8485217268640524,-2.8485217268640524
ALL,Micro.1,Oligo.3,25,-8.24,-9.686287365159556
ALL,Micro.1,Oligo.4,568.75,-6.211649858786731,-6.211649858786731
ALL,Micro.1,Vasc.Endo,25,-7.172157182509417,-7.172157182509417
ALL,Micro.1,Vasc.PC,127.77777777777777,-5.937718230795388,-5.937718230795388
ALL,Micro.1,Excit.L2,25,-7.902195472371642,-7.902195472371642
ALL,Micro.1,Excit.L2_5.1,25,-8.24,-15.021888828497543
ALL,Micro.1,Excit.L5.1,25,-6.321572235838898,-6.321572235838898
ALL,Micro.1,Inhib.Pvalb,25,-5.548201678639044,-5.548201678639044
ALL,Micro.1,Inhib.Vip,93.75,-5.678293411293459,-5.678293411293459
ALL,Micro.2,Astro.1,25,6.0830489353657775,6.0830489353657775
ALL,Micro.2,Astro.2,117.5,7.452361276642605,7.452361276642605
ALL,Micro.2,Astro.4,25,7.718607966443801,7.718607966443801
ALL,Micro.2,Astro.5,25,8.24,9.785714482354383
ALL,Micro.2,Micro.2,402.2727272727273,8.15778808084848,8.15778808084848
ALL,Micro.2,Micro.5,25,8.24,8.281909326516773
ALL,Micro.2,OPC.2,65,6.647325997107927,6.647325997107927
ALL,Micro.2,OPC.4,25,4.682989542908781,4.682989542908781
ALL,Micro.2,OPC.5,25,6.262335105048877,6.262335105048877
ALL,Micro.2,Oligo.1,25,8.24,9.112056721943127
ALL,Micro.2,Oligo.2,52.27272727272727,7.3302526995293915,7.3302526995293915
ALL,Micro.2,Oligo.3,189.58333333333337,8.24,10.690057503075959
ALL,Micro.2,Oligo.4,72.91666666666667,8.24,10.530667959785642
ALL,Micro.2,Oligo.5,25,5.564486954272225,5.564486954272225
ALL,Micro.2,Vasc.Endo,31.81818181818182,8.24,9.111136806283982
ALL,Micro.2,Vasc.PC,50,7.169611403409777,7.169611403409777
ALL,Micro.2,Vasc.VLMC,592.8571428571428,3.7841698120422924,3.7841698120422924
ALL,Micro.2,Excit.L2_5.2,27.5,-8.24,-9.611186128035895
ALL,Micro.2,Inhib.Lamp5_Lhx6,25,5.137451411916844,5.137451411916844
ALL,Micro.2,Inhib.Vip,90.625,4.719813945779583,4.719813945779583
ALL,Micro.3,Astro.1,650,-6.145017710238093,-6.145017710238093
ALL,Micro.3,Astro.2,190,-4.22002213612673,-4.22002213612673
ALL,Micro.3,Astro.4,687.5,6.708556401035595,6.708556401035595
ALL,Micro.3,Micro.3,25,6.216777069735959,6.216777069735959
ALL,Micro.3,Oligo.2,592.8571428571428,6.99167619658103,6.99167619658103
ALL,Micro.3,Excit.L2_5.2,295,-8.24,-12.103011376395068
ALL,Micro.3,Excit.L5.1,431.25,-7.792900874452627,-7.792900874452627
ALL,Micro.4,Astro.1,104.16666666666666,-7.084007767443141,-7.084007767443141
ALL,Micro.4,Astro.2,85,-5.462126712308678,-5.462126712308678
ALL,Micro.4,Astro.5,90,-6.761302212531606,-6.761302212531606
ALL,Micro.4,Micro.2,83.33333333333334,-4.828795769368856,-4.828795769368856
ALL,Micro.4,Micro.5,33.333333333333336,-5.481493873260158,-5.481493873260158
ALL,Micro.4,OPC.2,43.75,-5.8191279558433475,-5.8191279558433475
ALL,Micro.4,OPC.5,25,-6.034272854212549,-6.034272854212549
ALL,Micro.4,Oligo.1,1525,-4.420681994123245,-4.420681994123245
ALL,Micro.4,Oligo.3,565.9090909090909,-7.3109447974414925,-7.3109447974414925
ALL,Micro.4,Oligo.4,125,-5.280063870102887,-5.280063870102887
ALL,Micro.4,Vasc.Endo,152.5,-6.468220339135389,-6.468220339135389
ALL,Micro.4,Vasc.PC,242.85714285714283,-5.830894717817439,-5.830894717817439
ALL,Micro.4,Excit.L2,162.5,-5.869895582628531,-5.869895582628531
ALL,Micro.4,Excit.L2_5.1,25,-6.283272714931706,-6.283272714931706
ALL,Micro.4,Excit.L5.1,46.875,-8.24,-13.265097012014849
ALL,Micro.4,Excit.L5.2,25,-8.24,-9.84986145545741
ALL,Micro.4,Inhib.Vip,42.857142857142854,-5.182477582553152,-5.182477582553152
ALL,Micro.5,Astro.1,58.92857142857142,8.24,8.903848726372688
ALL,Micro.5,Astro.2,25,8.24,9.800042239612003
ALL,Micro.5,Astro.4,25,6.6546124960826605,6.6546124960826605
ALL,Micro.5,Astro.5,25,8.24,14.383032625111625
ALL,Micro.5,Macro,31.25,4.842618442223902,4.842618442223902
ALL,Micro.5,Micro.2,25,8.24,10.010437016742845
ALL,Micro.5,Micro.3,25,5.667073687167464,5.667073687167464
ALL,Micro.5,Micro.5,25,8.24,11.341930356204008
ALL,Micro.5,OPC.2,30.357142857142858,8.24,8.869705609303917
ALL,Micro.5,OPC.4,25,5.379764227464456,5.379764227464456
ALL,Micro.5,OPC.5,308.9285714285714,7.8776504485616625,7.8776504485616625
ALL,Micro.5,Oligo.1,25,8.24,8.773869388528984
ALL,Micro.5,Oligo.2,25,7.9937976659533065,7.9937976659533065
ALL,Micro.5,Oligo.3,30,8.24,14.79312370234783
ALL,Micro.5,Oligo.4,25,8.24,13.382389990424674
ALL,Micro.5,Oligo.5,92.85714285714286,5.180167936419656,5.180167936419656
ALL,Micro.5,Vasc.Endo,30,8.24,11.495628144018582
ALL,Micro.5,Vasc.PC,43.33333333333333,8.24,8.569443951679359
ALL,Micro.5,Vasc.VLMC,25,4.750671092443283,4.750671092443283
ALL,Micro.5,Excit.L2,237.5,7.484892311366762,7.484892311366762
ALL,Micro.5,Excit.L2_5.1,300,5.8221981620010075,5.8221981620010075
ALL,Micro.5,Excit.L2_5.2,25,6.598795720482538,6.598795720482538
ALL,Micro.5,Excit.L6b,25,5.129871203770381,5.129871203770381
ALL,Micro.5,Inhib.Lamp5_Lhx6,59.090909090909086,5.439009991689429,5.439009991689429
ALL,Micro.5,Inhib.Pvalb,40.90909090909091,4.745108442582704,4.745108442582704
ALL,Micro.5,Inhib.Vip,25,7.605729273716588,7.605729273716588
ALL,Micro.5,Inhib.Sst,302.2727272727273,3.694856307749451,3.694856307749451
ALL,OPC.1,Astro.1,635,-4.949224793419012,-4.949224793419012
ALL,OPC.1,Astro.2,82.14285714285715,-4.582517853582068,-4.582517853582068
ALL,OPC.1,Astro.4,2500,-4.832316117204472,-4.832316117204472
ALL,OPC.1,Astro.5,32.142857142857146,-6.324904010317616,-6.324904010317616
ALL,OPC.1,Micro.5,66.66666666666666,-4.722445672083792,-4.722445672083792
ALL,OPC.1,Oligo.1,1458.3333333333335,-4.684120725210127,-4.684120725210127
ALL,OPC.1,Oligo.2,1431.25,-4.334079458931465,-4.334079458931465
ALL,OPC.1,Oligo.3,475,-6.877222256230024,-6.877222256230024
ALL,OPC.1,Oligo.4,168.75,-5.369207609540147,-5.369207609540147
ALL,OPC.1,Vasc.Endo,127.77777777777777,-4.863525542446197,-4.863525542446197
ALL,OPC.1,Vasc.PC,303.57142857142856,-4.441660162277999,-4.441660162277999
ALL,OPC.1,Excit.L6_CT,137.5,-8.093286628411434,-8.093286628411434
ALL,OPC.1,Excit.L6b,93.75,-8.24,-8.875138023034074
ALL,OPC.2,Astro.1,25,8.24,9.62881082763502
ALL,OPC.2,Astro.2,380.3571428571429,8.24,8.696436423045686
ALL,OPC.2,Astro.4,25,5.794934273796665,5.794934273796665
ALL,OPC.2,Astro.5,25,8.24,9.891657850307327
ALL,OPC.2,Micro.2,37.5,7.011112169876351,7.011112169876351
ALL,OPC.2,Micro.5,28.571428571428573,8.00739964973873,8.00739964973873
ALL,OPC.2,OPC.2,69.23076923076923,8.24,8.27497849256545
ALL,OPC.2,OPC.4,27.5,5.249026550498776,5.249026550498776
ALL,OPC.2,OPC.5,25,7.18757813313582,7.18757813313582
ALL,OPC.2,Oligo.1,25,7.298797719287964,7.298797719287964
ALL,OPC.2,Oligo.2,56.25,6.406171522639888,6.406171522639888
ALL,OPC.2,Oligo.3,25,8.24,11.023731961101053
ALL,OPC.2,Oligo.4,25,8.24,9.605854953609056
ALL,OPC.2,Oligo.5,35,4.838022094712657,4.838022094712657
ALL,OPC.2,Vasc.Endo,25,8.24,8.98176941635197
ALL,OPC.2,Vasc.PC,25,7.150271635452109,7.150271635452109
ALL,OPC.2,Excit.L2,255.76923076923077,8.24,8.406393733719923
ALL,OPC.2,Excit.L2_5.1,355.55555555555554,5.783765267181107,5.783765267181107
ALL,OPC.2,Excit.L2_5.2,25,6.275758622650296,6.275758622650296
ALL,OPC.2,Excit.L5.1,155,5.081321387666371,5.081321387666371
ALL,OPC.2,Excit.L6_CT,25,-5.9710390101371456,-5.9710390101371456
ALL,OPC.2,Excit.L6b,25,-8.041026346497762,-8.041026346497762
ALL,OPC.2,Inhib.Lamp5_Lhx6,25,4.253750508158867,4.253750508158867
ALL,OPC.2,Inhib.Pvalb,178.125,4.7368827624766245,4.7368827624766245
ALL,OPC.2,Inhib.Vip,25,7.928132218916993,7.928132218916993
ALL,OPC.2,Inhib.Sst,1018.75,4.387370872220505,4.387370872220505
ALL,OPC.3,Oligo.3,25,-5.058241863849604,-5.058241863849604
ALL,OPC.4,Astro.4,37.5,4.880237572176649,4.880237572176649
ALL,OPC.4,Oligo.1,25,5.706487101933209,5.706487101933209
ALL,OPC.4,Oligo.2,25,5.673011889582317,5.673011889582317
ALL,OPC.4,Oligo.4,310.71428571428567,4.490480197615418,4.490480197615418
ALL,OPC.4,Excit.L6b,25,-8.24,-10.075050365722653
ALL,OPC.4,Inhib.Lamp5_Lhx6,25,-8.24,-10.441458061591575
ALL,OPC.4,Inhib.Chandelier,25,-6.73149932709012,-6.73149932709012
ALL,OPC.5,Astro.1,86.36363636363636,8.17284344133069,8.17284344133069
ALL,OPC.5,Astro.2,29.166666666666668,8.24,8.81782413361452
ALL,OPC.5,Astro.5,25,8.24,10.511430435838923
ALL,OPC.5,Micro.2,25,7.594227983331249,7.594227983331249
ALL,OPC.5,Micro.5,25,8.24,8.524467302862652
ALL,OPC.5,OPC.2,25,7.5801347332206035,7.5801347332206035
ALL,OPC.5,OPC.5,29.166666666666668,8.24,8.999058402037342
ALL,OPC.5,Oligo.1,25,6.306411736670839,6.306411736670839
ALL,OPC.5,Oligo.2,33.333333333333336,6.663232299853794,6.663232299853794
ALL,OPC.5,Oligo.3,25,8.24,12.479338547376338
ALL,OPC.5,Oligo.4,43.33333333333333,8.24,9.080689395060974
ALL,OPC.5,Vasc.Endo,28.846153846153847,8.24,8.70381172542882
ALL,OPC.5,Vasc.PC,25,6.57936941492534,6.57936941492534
ALL,OPC.5,Excit.L2,31.81818181818182,7.417437986984153,7.417437986984153
ALL,OPC.5,Excit.L2_5.1,25,7.244070280590174,7.244070280590174
ALL,OPC.5,Excit.L2_5.2,596.4285714285714,5.985337020163745,5.985337020163745
ALL,OPC.5,Excit.L5.1,709.375,5.07865835718069,5.07865835718069
ALL,OPC.5,Inhib.Pax6,25,-2.8353161306665458,-2.8353161306665458
ALL,OPC.5,Inhib.Vip,425,5.591589206719478,5.591589206719478
ALL,OPC.5,Inhib.Chandelier,25,-3.8947919587262563,-3.8947919587262563
ALL,OPC.5,Inhib.Sst,883.3333333333334,4.926544192710824,4.926544192710824
ALL,Oligo.1,Astro.2,522.5,7.630974324852303,7.630974324852303
ALL,Oligo.1,Astro.3,143.75,5.849351171231851,5.849351171231851
ALL,Oligo.1,Astro.4,25,8.24,12.85387751262095
ALL,Oligo.1,Astro.5,386.3636363636363,8.24,10.326636348580394
ALL,Oligo.1,Micro.2,25,8.24,10.402396177079009
ALL,Oligo.1,Micro.3,25,8.24,11.27770840229955
ALL,Oligo.1,Micro.4,143.75,4.923575303380455,4.923575303380455
ALL,Oligo.1,Micro.5,133.33333333333331,8.24,10.8722649764021
ALL,Oligo.1,OPC.2,25,8.24,9.383597417155448
ALL,Oligo.1,OPC.4,466.6666666666667,6.858119202287336,6.858119202287336
ALL,Oligo.1,OPC.5,25,7.943618981782227,7.943618981782227
ALL,Oligo.1,Oligo.1,25,8.24,16.149478809289448
ALL,Oligo.1,Oligo.2,25,8.24,14.793975651111563
ALL,Oligo.1,Oligo.3,25,8.24,16.43183471935831
ALL,Oligo.1,Oligo.4,25,8.24,18.283663872086123
ALL,Oligo.1,Oligo.5,25,8.24,10.992325391701034
ALL,Oligo.1,Vasc.Endo,25,8.24,9.85599466610966
ALL,Oligo.1,Vasc.PC,25,8.24,8.460405418018091
ALL,Oligo.2,Astro.1,43.75,-5.454667569037394,-5.454667569037394
ALL,Oligo.2,Astro.4,25,8.24,14.235020138663431
ALL,Oligo.2,Astro.5,25,7.275935666816115,7.275935666816115
ALL,Oligo.2,Micro.2,40.90909090909091,7.821274999897814,7.821274999897814
ALL,Oligo.2,Micro.3,25,8.24,11.785015315637846
ALL,Oligo.2,Micro.5,52.08333333333333,7.426560070841464,7.426560070841464
ALL,Oligo.2,OPC.2,63.888888888888886,7.024796901561388,7.024796901561388
ALL,Oligo.2,OPC.4,25,8.24,8.950643222728948
ALL,Oligo.2,OPC.5,860.7142857142857,5.4652818398813245,5.4652818398813245
ALL,Oligo.2,Oligo.1,25,8.24,16.581702146612535
ALL,Oligo.2,Oligo.2,25,8.24,18.987042836117368
ALL,Oligo.2,Oligo.3,36.66666666666667,8.24,13.176994574795096
ALL,Oligo.2,Oligo.4,25,8.24,19.739213080158876
ALL,Oligo.2,Oligo.5,25,8.24,12.957092679277755
ALL,Oligo.2,Vasc.Endo,32.5,8.12422547105765,8.12422547105765
ALL,Oligo.2,Excit.L2,25,-7.008538495561076,-7.008538495561076
ALL,Oligo.2,Inhib.Pax6,25,-6.979902029540637,-6.979902029540637
ALL,Oligo.2,Inhib.Pvalb,25,-8.24,-12.375542571571575
ALL,Oligo.2,Inhib.Sst,25,-8.042772974896902,-8.042772974896902
ALL,Oligo.3,Astro.1,25,8.24,18.02933542222061
ALL,Oligo.3,Astro.2,25,8.24,25.138977615209548
ALL,Oligo.3,Astro.3,25,8.24,8.901465100760145
ALL,Oligo.3,Astro.4,25,8.24,17.642786242276813
ALL,Oligo.3,Astro.5,25,8.24,34.479397074337534
ALL,Oligo.3,Macro,25,4.352510504015643,4.352510504015643
ALL,Oligo.3,Micro.1,25,6.247790456151996,6.247790456151996
ALL,Oligo.3,Micro.2,25,8.24,23.018716798821394
ALL,Oligo.3,Micro.3,25,8.24,11.84658519903281
ALL,Oligo.3,Micro.5,43.33333333333333,8.24,25.08181814146273
ALL,Oligo.3,OPC.2,25,8.24,20.85253997203165
ALL,Oligo.3,OPC.4,25,8.24,11.675487584958443
ALL,Oligo.3,OPC.5,25,8.24,22.178046207770016
ALL,Oligo.3,Oligo.1,25,8.24,24.919953678559366
ALL,Oligo.3,Oligo.2,25,8.24,24.058996774840864
ALL,Oligo.3,Oligo.3,25,8.24,49.81837969350616
ALL,Oligo.3,Oligo.4,25,8.24,40.614258945404835
ALL,Oligo.3,Oligo.5,25,8.24,15.096799792727557
ALL,Oligo.3,Vasc.Endo,25,8.24,31.215825532638952
ALL,Oligo.3,Vasc.PC,25,8.24,19.01159076664914
ALL,Oligo.3,Vasc.VLMC,25,6.082439529221462,6.082439529221462
ALL,Oligo.3,Excit.L2,80.35714285714283,8.24,12.842038185098845
ALL,Oligo.3,Excit.L2_5.1,25,8.24,14.224987378460895
ALL,Oligo.3,Excit.L2_5.2,25,8.24,13.6842388223673
ALL,Oligo.3,Excit.L5.1,25,8.24,11.095949205524267
ALL,Oligo.3,Excit.L5.2,25,5.94625897293551,5.94625897293551
ALL,Oligo.3,Excit.L5_6_NP,25,6.360925602199297,6.360925602199297
ALL,Oligo.3,Excit.L6_CT,25,8.24,11.31914111116889
ALL,Oligo.3,Excit.L6b,25,8.24,12.812055784821238
ALL,Oligo.3,Inhib.Pax6,50,5.703016218734834,5.703016218734834
ALL,Oligo.3,Inhib.Lamp5_Lhx6,43.33333333333333,8.24,10.940464397434974
ALL,Oligo.3,Inhib.Pvalb,65,8.24,10.540561516857618
ALL,Oligo.3,Inhib.Vip,36.66666666666667,8.24,9.284872787582232
ALL,Oligo.3,Inhib.Chandelier,185.71428571428567,5.843390817927104,5.843390817927104
ALL,Oligo.3,Inhib.Sst,51.66666666666667,7.526357131578833,7.526357131578833
ALL,Oligo.4,Astro.1,43.33333333333333,8.24,10.411370979104452
ALL,Oligo.4,Astro.2,70,8.24,15.316167327315462
ALL,Oligo.4,Astro.3,25,6.546263410169703,6.546263410169703
ALL,Oligo.4,Astro.4,25,8.24,18.928006620078822
ALL,Oligo.4,Astro.5,25,8.24,21.1381851196615
ALL,Oligo.4,Micro.1,40,6.727492343529971,6.727492343529971
ALL,Oligo.4,Micro.2,25,8.24,16.510039383809747
ALL,Oligo.4,Micro.3,66.66666666666666,8.24,14.591359495306554
ALL,Oligo.4,Micro.4,25,6.665415563365264,6.665415563365264
ALL,Oligo.4,Micro.5,25,8.24,16.82610339611147
ALL,Oligo.4,OPC.2,25,8.24,15.437151336085847
ALL,Oligo.4,OPC.4,83.33333333333333,8.24,9.9041826949863
ALL,Oligo.4,OPC.5,25,8.24,13.339072901057364
ALL,Oligo.4,Oligo.1,25,8.24,25.16692643287878
ALL,Oligo.4,Oligo.2,25,8.24,23.62444398204745
ALL,Oligo.4,Oligo.3,25,8.24,33.927704498710916
ALL,Oligo.4,Oligo.4,25,8.24,34.42466350872552
ALL,Oligo.4,Oligo.5,25,8.24,13.669259009037402
ALL,Oligo.4,Vasc.Endo,25,8.24,19.130000519845595
ALL,Oligo.4,Vasc.PC,61.666666666666664,8.24,12.451126937074834
ALL,Oligo.4,Vasc.VLMC,189.58333333333337,4.685448613362517,4.685448613362517
ALL,Oligo.4,Excit.L2,25,7.4754210711532245,7.4754210711532245
ALL,Oligo.4,Excit.L2_5.1,27.5,6.583423753085973,6.583423753085973
ALL,Oligo.4,Excit.L2_5.2,138.63636363636363,7.233202845136336,7.233202845136336
ALL,Oligo.4,Excit.L5.1,197.91666666666666,5.501164222358338,5.501164222358338
ALL,Oligo.4,Excit.L6_CT,25,7.196169487744635,7.196169487744635
ALL,Oligo.4,Excit.L6b,25,7.052492138017078,7.052492138017078
ALL,Oligo.4,Inhib.Lamp5_Lhx6,25,6.905141928643897,6.905141928643897
ALL,Oligo.4,Inhib.Pvalb,204.54545454545456,6.589693128502161,6.589693128502161
ALL,Oligo.5,Astro.1,25,-8.24,-9.948741134768806
ALL,Oligo.5,Macro,580.5555555555554,-5.9018583127141255,-5.9018583127141255
ALL,Oligo.5,Oligo.5,25,6.277036150933485,6.277036150933485
ALL,Oligo.5,Vasc.VLMC,234.375,-5.20867507144337,-5.20867507144337
ALL,Oligo.5,Excit.L2,25,-8.24,-9.839372781763828
ALL,Oligo.5,Excit.L2_5.1,25,-6.027955616026059,-6.027955616026059
ALL,Oligo.5,Inhib.Pax6,100,-4.926730420369303,-4.926730420369303
ALL,Oligo.5,Inhib.Lamp5_Lhx6,78.57142857142857,-3.955080222615973,-3.955080222615973
ALL,Oligo.5,Inhib.Vip,25,-8.24,-13.745918484198343
ALL,Vasc.Endo,Astro.1,25,8.24,14.362297804200185
ALL,Vasc.Endo,Astro.2,44.642857142857146,8.24,14.223665871615982
ALL,Vasc.Endo,Astro.4,253.84615384615384,8.24,9.118866439297983
ALL,Vasc.Endo,Astro.5,25,8.24,20.07142019554134
ALL,Vasc.Endo,Macro,38.33333333333333,8.24,10.872573536465346
ALL,Vasc.Endo,Micro.3,25,3.075696906387216,3.075696906387216
ALL,Vasc.Endo,Micro.5,25,8.24,16.65038970778293
ALL,Vasc.Endo,OPC.2,25,8.24,12.441896656973006
ALL,Vasc.Endo,OPC.4,25,6.353537211903874,6.353537211903874
ALL,Vasc.Endo,OPC.5,360,8.24,10.005336778022881
ALL,Vasc.Endo,Oligo.1,342.8571428571429,8.24,8.634896113775719
ALL,Vasc.Endo,Oligo.2,25,8.24,8.32153644992384
ALL,Vasc.Endo,Oligo.3,25,8.24,24.435117614441765
ALL,Vasc.Endo,Oligo.4,25,8.24,18.135984194369048
ALL,Vasc.Endo,Oligo.5,25,6.483891215135902,6.483891215135902
ALL,Vasc.Endo,Vasc.Endo,25,8.24,32.21211867563402
ALL,Vasc.Endo,Vasc.PC,25,8.24,29.95570744064436
ALL,Vasc.Endo,Vasc.VLMC,25,8.24,18.791403677079984
ALL,Vasc.Endo,Excit.L2,25,8.24,13.605726925757477
ALL,Vasc.Endo,Excit.L2_5.1,25,8.24,9.8682191755321
ALL,Vasc.Endo,Excit.L2_5.2,25,8.24,8.992611584385216
ALL,Vasc.Endo,Excit.L5.1,29.166666666666664,8.24,8.585461460776429
ALL,Vasc.Endo,Excit.L5.2,322.5,5.614061906358038,5.614061906358038
ALL,Vasc.Endo,Excit.L6_CT,25,6.755208795618641,6.755208795618641
ALL,Vasc.Endo,Excit.L6b,25,6.4992414865070565,6.4992414865070565
ALL,Vasc.Endo,Inhib.Pax6,25,5.412497049855373,5.412497049855373
ALL,Vasc.Endo,Inhib.Lamp5_Lhx6,25,7.958630236613775,7.958630236613775
ALL,Vasc.Endo,Inhib.Pvalb,27.083333333333332,8.24,8.408364419588944
ALL,Vasc.Endo,Inhib.Vip,25,8.24,11.260749224790022
ALL,Vasc.Endo,Inhib.Chandelier,38.888888888888886,5.158394836101857,5.158394836101857
ALL,Vasc.Endo,Inhib.Sst,27.272727272727273,6.957629435508109,6.957629435508109
ALL,Vasc.PC,Astro.1,386.3636363636363,8.24,9.21043425422764
ALL,Vasc.PC,Astro.2,25,8.24,10.009264462056311
ALL,Vasc.PC,Astro.4,64.58333333333334,8.24,11.398155387036075
ALL,Vasc.PC,Astro.5,25,8.24,17.313303030157453
ALL,Vasc.PC,Macro,25,8.24,16.998049059003044
ALL,Vasc.PC,Micro.5,38.46153846153847,8.24,11.611532909058305
ALL,Vasc.PC,OPC.2,25,7.835670924967296,7.835670924967296
