SpD_preprint,SpD_update,Jacc,n
WM~Sp09D06,WMpv~Sp11D11,0.4238355014687369,6060
Vasc~Sp09D08,WMd~Sp11D07,0.004819707247411638,54
L1~Sp09D05,WMd~Sp11D07,2.451100544144321e-4,5
L2.3~Sp09D01,WMd~Sp11D07,0,0
LD~Sp09D02,WMd~Sp11D07,0,0
Inhib~Sp09D09,WMd~Sp11D07,8.371002846140967e-4,10
L5~Sp09D03,WMd~Sp11D07,6.003482019571351e-5,1
L6~Sp09D04,WMd~Sp11D07,2.4490795542675214e-4,6
WM.uf~Sp09D07,WMd~Sp11D07,0.001998173098881023,35
WM~Sp09D06,WMd~Sp11D07,0.4015638999755641,4930
