Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to8,Feature log2 fold change topic 3to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000117245,KIF17,28,0.96354,18,0.26813,4,-2.1344,10,-0.8861
ENSG00000189410,SH2D5,30,-0.2931,47,0.98328,20,-0.8832,21,-0.9332
ENSG00000127483,HP1BP3,199,0.51787,145,-0.0745,186,0.35057,111,-0.5408
ENSG00000075151,EIF4G3,120,0.06551,133,0.43353,92,-0.3674,86,-0.5396
ENSG00000117298,ECE1,10,-0.6952,10,-0.9887,75,2.79181,11,-0.7163
ENSG00000076864,RAP1GAP,150,0.29822,162,0.82027,67,-0.9731,60,-1.2905
ENSG00000090686,USP48,49,0.47487,36,-0.1385,52,0.51093,29,-0.4901
ENSG00000070831,CDC42,288,0.53081,217,0.03923,256,0.28027,145,-0.7066
ENSG00000173372,C1QA,37,-0.4856,14,-2.5098,273,3.20119,54,0.15217
ENSG00000159189,C1QC,27,-0.8573,21,-1.7598,228,2.93396,48,0.09600
ENSG00000173369,C1QB,50,-0.7748,36,-1.7790,341,2.59701,101,0.46329
ENSG00000004487,KDM1A,49,0.05681,54,0.37191,42,-0.1979,36,-0.5044
ENSG00000169641,LUZP1,45,0.60070,35,0.25437,10,-1.7202,25,-0.4470
ENSG00000125944,HNRNPR,123,0.35690,110,0.27436,90,-0.1629,70,-0.6662
ENSG00000125945,ZNF436,27,-0.0631,40,1.36845,6,-2.2119,11,-1.5969
ENSG00000204219,TCEA3,15,0.67148,4,-2.1021,39,2.28624,11,0.09306
ENSG00000117318,ID3,7,-1.9658,2,-4.0148,216,4.92931,15,-0.8257
ENSG00000142676,RPL11,303,-0.4042,291,-0.7117,999,1.60378,420,0.17279
ENSG00000011007,ELOA,28,0.99170,15,-0.1836,12,-0.4003,12,-0.5755
ENSG00000057757,PITHD1,212,0.35323,204,0.49768,138,-0.3566,101,-0.9770
ENSG00000011009,LYPLA2,27,-0.6528,56,1.16115,33,-0.3351,21,-1.1713
ENSG00000117308,GALE,13,-0.3980,24,1.36719,4,-2.0968,8,-1.1992
ENSG00000117305,HMGCL,14,-0.1897,14,-0.2131,8,-1.0318,21,0.66077
ENSG00000179163,FUCA1,14,0.16411,15,0.44628,14,0.14655,7,-0.9314
ENSG00000189266,PNRC2,56,0.22085,44,-0.3013,86,0.87492,44,-0.2401
ENSG00000188529,SRSF10,53,0.15058,52,0.25169,46,-0.0703,37,-0.4592
ENSG00000001461,NIPAL3,106,1.45718,40,-0.5354,47,-0.0692,31,-0.8341
ENSG00000133226,SRRM1,85,0.42595,56,-0.4883,95,0.56079,68,0.02905
ENSG00000169504,CLIC4,30,-0.0668,7,-2.9882,205,3.67358,24,-0.5003
ENSG00000117614,SYF2,66,-0.0760,72,0.15489,95,0.52416,54,-0.4323
ENSG00000117616,RSRP1,33,-0.0251,44,0.89528,24,-0.5562,17,-1.1939
ENSG00000183726,TMEM50A,64,-0.3718,92,0.45410,108,0.47571,56,-0.6435
ENSG00000204178,MACO1,33,0.28245,27,-0.0695,54,1.08078,17,-0.8603
ENSG00000117643,MAN1C1,15,-1.5544,61,1.82709,10,-2.0036,21,-1.1078
ENSG00000162430,SELENON,31,0.08018,28,-0.1192,45,0.65643,26,-0.2343
ENSG00000117640,MTFR1L,71,0.28894,60,-0.0051,85,0.54687,45,-0.5324
ENSG00000117632,STMN1,1499,0.04919,1691,0.46571,967,-0.6346,1126,-0.4769
ENSG00000158008,EXTL1,33,-0.1672,44,0.63387,13,-1.5560,30,-0.3202
ENSG00000142684,ZNF593,30,-0.3822,38,0.07763,37,-0.0099,41,0.15522
ENSG00000142669,SH3BGRL3,278,0.26791,232,-0.0808,328,0.50496,197,-0.3644
ENSG00000158062,UBXN11,10,-1.1286,28,0.85909,15,-0.4875,18,-0.3205
ENSG00000117682,DHDDS,24,0.57887,16,-0.1193,16,-0.0875,14,-0.3106
ENSG00000198830,HMGN2,141,0.20533,107,-0.4294,211,0.83763,124,-0.0252
ENSG00000117713,ARID1A,73,0.34924,63,0.15030,75,0.35004,40,-0.7325
ENSG00000204160,ZDHHC18,26,0.38973,24,0.46040,11,-0.9617,14,-0.7162
ENSG00000142751,GPN2,15,-0.0616,19,0.64017,3,-2.1335,13,-0.3287
ENSG00000090273,NUDC,156,-0.3738,213,0.28056,205,0.08183,179,-0.1578
ENSG00000253368,TRNP1,56,0.21223,56,0.37648,38,-0.4233,37,-0.5684
ENSG00000090020,SLC9A1,23,0.37350,22,0.39692,19,0.00267,11,-1.0054
ENSG00000142784,WDTC1,39,0.75376,20,-0.5845,17,-0.6151,30,0.30521
ENSG00000186501,TMEM222,69,0.30898,65,0.35784,32,-0.8736,44,-0.4839
ENSG00000158195,WASF2,21,-0.0837,12,-1.4091,74,2.05982,26,0.31304
ENSG00000126705,AHDC1,64,0.83634,44,0.22147,36,-0.1934,20,-1.2235
ENSG00000126709,IFI6,231,1.16460,61,-1.6058,352,1.76243,103,-0.3489
ENSG00000009780,FAM76A,15,0.10689,16,0.45706,9,-0.5813,10,-0.5356
ENSG00000117758,STX12,132,0.68317,79,-0.3564,121,0.45853,75,-0.3497
ENSG00000117751,PPP1R8,38,0.48714,30,0.08262,33,0.22550,20,-0.6959
ENSG00000130775,THEMIS2,7,-0.5002,3,-2.0562,48,2.92800,10,0.17446
ENSG00000117748,RPA2,52,0.03977,64,0.71805,38,-0.4596,30,-0.9686
ENSG00000126698,DNAJC8,131,-0.2833,174,0.35940,131,-0.2573,140,-0.1892
ENSG00000130770,ATP5IF1,349,-0.9521,791,0.81579,349,-0.8867,550,-0.2265
ENSG00000204138,PHACTR4,14,0.55044,8,-0.5814,13,0.40767,11,0.11503
ENSG00000180098,TRNAU1AP,18,0.08521,16,-0.2199,37,1.24675,13,-0.5490
ENSG00000197989,SNHG12,12,-0.1357,12,-0.3032,27,1.14113,12,-0.1473
ENSG00000120656,TAF12,12,-0.1692,15,0.27526,17,0.33432,11,-0.4276
ENSG00000198492,YTHDF2,96,0.53793,81,0.39892,65,-0.1311,37,-1.1623
ENSG00000116350,SRSF4,42,0.07783,38,-0.1513,49,0.30711,41,0.00618
ENSG00000116353,MECR,25,-0.3886,38,0.56904,17,-0.9751,28,-0.1916
ENSG00000060656,PTPRU,35,2.94194,3,-2.3222,10,0.05731,5,-1.0205
ENSG00000162511,LAPTM5,54,-0.1701,27,-1.7285,222,2.29662,74,0.42069
ENSG00000162512,SDC3,180,0.21910,163,0.06534,172,0.12491,133,-0.3295
ENSG00000134644,PUM1,201,0.98838,120,0.06685,106,-0.1685,61,-1.1637
ENSG00000060688,SNRNP40,15,-0.2058,22,0.74249,6,-1.5582,13,-0.4478
ENSG00000121766,ZCCHC17,120,-0.3812,196,0.89445,90,-0.7855,100,-0.7378
ENSG00000121769,FABP3,137,-0.0821,173,0.60226,75,-0.9814,111,-0.4678
ENSG00000162517,PEF1,62,-0.4871,109,0.93248,68,-0.2932,49,-0.9189
ENSG00000084636,COL16A1,29,0.32338,24,-0.0003,32,0.42047,18,-0.4936
ENSG00000121753,ADGRB2,161,-0.1960,229,0.79415,120,-0.6264,116,-0.7912
ENSG00000184007,PTP4A2,150,-0.0352,139,-0.2676,288,1.03275,138,-0.1900
ENSG00000121774,KHDRBS1,139,0.36688,122,0.23010,85,-0.4361,87,-0.4862
ENSG00000121775,TMEM39B,14,0.34606,14,0.67482,3,-2.0555,7,-0.7960
ENSG00000025800,KPNA6,80,0.90970,47,-0.0661,39,-0.3393,33,-0.6892
ENSG00000084652,TXLNA,13,-0.4164,18,0.10570,30,0.89139,14,-0.3521
ENSG00000160050,CCDC28B,17,0.02613,15,-0.3104,11,-0.5717,22,0.54199
ENSG00000084623,EIF3I,92,-0.1875,113,0.27307,130,0.36822,82,-0.4293
ENSG00000175130,MARCKSL1,273,0.68154,105,-1.3625,296,0.73977,259,0.66218
ENSG00000160058,BSDC1,61,0.11554,63,0.28635,59,0.04709,43,-0.5391
ENSG00000160062,ZBTB8A,15,0.74173,10,0.15599,6,-0.6753,6,-0.7178
ENSG00000176261,ZBTB8OS,38,-0.2184,44,0.03812,59,0.49099,41,-0.1305
ENSG00000162521,RBBP4,98,0.25514,85,0.00258,84,-0.0089,76,-0.2076
ENSG00000162522,KIAA1522,9,-1.2441,21,0.27518,12,-0.7227,25,0.51333
ENSG00000134684,YARS,97,0.05143,114,0.60141,42,-1.2130,71,-0.5271
ENSG00000116497,S100PBP,18,0.71993,10,-0.4458,18,0.64143,10,-0.3733
ENSG00000160097,FNDC5,31,0.61136,20,-0.2072,22,0.01114,19,-0.2587
ENSG00000121905,HPCA,213,-0.3602,348,0.96517,149,-0.8707,165,-0.8446
ENSG00000121900,TMEM54,46,0.01408,43,-0.1602,67,0.59293,44,-0.0849
ENSG00000116514,RNF19B,26,-0.0064,30,0.47288,31,0.27617,16,-0.8775
ENSG00000004455,AK2,22,0.33162,12,-0.8716,39,1.25764,19,0.12782
ENSG00000142920,AZIN2,26,0.56283,23,0.56423,12,-0.6763,9,-1.2681
ENSG00000160094,ZNF362,17,0.44651,12,-0.2011,11,-0.2573,13,-0.0003
ENSG00000134686,PHC2,69,0.33649,49,-0.3809,94,0.79822,52,-0.1786
ENSG00000163866,SMIM12,53,0.01733,57,0.28797,50,-0.0687,42,-0.3956
ENSG00000116544,DLGAP3,37,-0.4443,54,0.34516,25,-1.0028,52,0.14215
ENSG00000163867,ZMYM6,18,0.49463,16,0.43428,10,-0.4197,8,-1.0121
ENSG00000116560,SFPQ,168,0.19083,152,0.02563,219,0.59847,114,-0.5190
ENSG00000146463,ZMYM4,32,-0.1681,34,-0.0842,47,0.46948,35,0.01307
ENSG00000142687,KIAA0319L,62,0.25250,62,0.44005,30,-0.8865,40,-0.5538
ENSG00000020129,NCDN,361,-0.6664,799,1.52680,197,-1.5295,248,-1.3562
ENSG00000126067,PSMB2,142,0.12430,157,0.53789,118,-0.1799,82,-0.8662
ENSG00000142686,C1orf216,91,0.12100,105,0.69634,59,-0.5727,49,-0.9705
ENSG00000092847,AGO1,25,0.66542,17,-0.1064,10,-0.7754,16,-0.1812
ENSG00000126070,AGO3,22,0.66387,14,-0.2151,12,-0.3473,14,-0.1590
ENSG00000116863,ADPRHL2,17,-0.0508,21,0.56119,10,-0.8368,14,-0.4725
ENSG00000054116,TRAPPC3,48,-0.1977,67,0.70106,34,-0.6958,39,-0.6102
ENSG00000116871,MAP7D1,111,-0.5396,188,0.65562,141,-0.1324,117,-0.4997
ENSG00000054118,THRAP3,80,0.60371,54,-0.1306,80,0.54089,39,-0.6749
ENSG00000196182,STK40,16,0.01535,14,-0.2317,24,0.64147,16,-0.0175
ENSG00000181817,LSM10,33,-0.3997,48,0.41263,30,-0.5073,40,-0.1000
ENSG00000116885,OSCP1,14,-0.6337,29,1.33680,6,-1.8519,11,-0.9764
ENSG00000116898,MRPS15,43,-0.3321,60,0.40863,41,-0.3673,47,-0.1850
ENSG00000163873,GRIK3,62,3.34033,5,-2.3908,18,0.22934,4,-2.0593
ENSG00000163875,MEAF6,114,0.30925,109,0.42614,70,-0.4719,63,-0.7378
ENSG00000163877,SNIP1,16,0.45674,14,0.29523,15,0.31237,6,-1.1295
ENSG00000134697,GNL2,16,0.10546,12,-0.6397,25,0.76901,18,0.34791
ENSG00000116922,C1orf109,15,0.21138,16,0.63602,11,-0.2961,7,-1.0999
ENSG00000183317,EPHA10,7,-1.0215,21,1.74456,7,-0.9799,5,-1.6486
ENSG00000185090,MANEAL,25,-0.7342,56,1.35252,21,-0.9323,20,-1.1753
ENSG00000196449,YRDC,11,-0.4400,18,0.76004,17,0.20957,8,-0.9442
ENSG00000197982,C1orf122,139,-0.4801,178,-0.1079,206,0.16930,223,0.36638
ENSG00000183431,SF3A3,33,-0.1779,42,0.40521,36,-0.0291,29,-0.4312
ENSG00000183520,UTP11,22,-0.7807,44,0.65954,46,0.40816,25,-0.6447
ENSG00000116954,RRAGC,49,0.20274,47,0.26797,57,0.43125,27,-0.8355
ENSG00000174574,AKIRIN1,79,-0.3654,122,0.70843,102,0.05664,62,-0.8194
ENSG00000168653,NDUFS5,612,-0.2430,768,0.25259,441,-0.7281,734,0.07412
ENSG00000127603,MACF1,149,1.03601,61,-0.8278,105,0.33274,84,-0.0302
ENSG00000090621,PABPC4,61,0.21311,41,-0.6680,110,1.17230,55,0.04190
ENSG00000116983,HPCAL4,297,-0.0287,344,0.40423,220,-0.4872,248,-0.3652
ENSG00000084072,PPIE,27,0.01483,29,0.24322,30,0.14800,21,-0.4300
ENSG00000168389,MFSD2A,20,-0.3208,20,-0.5276,91,2.29726,14,-0.9915
ENSG00000131236,CAP1,127,-0.3611,177,0.34568,170,0.12057,136,-0.2773
ENSG00000131238,PPT1,119,0.25499,112,0.25396,83,-0.3444,81,-0.4458
ENSG00000117000,RLF,13,0.20502,12,0.25381,9,-0.2868,9,-0.4201
ENSG00000259943,AL050341.2,17,0.10169,16,0.05313,10,-0.7105,17,0.08699
ENSG00000084073,ZMPSTE24,38,0.39934,28,-0.2015,42,0.52235,25,-0.3207
ENSG00000049089,COL9A2,11,0.20281,5,-1.3621,11,0.17483,17,1.23560
ENSG00000084070,SMAP2,138,0.07639,160,0.62037,121,-0.1401,76,-0.9892
ENSG00000117016,RIMS3,126,0.85230,70,-0.3204,51,-0.6556,74,-0.1141
ENSG00000066136,NFYC,52,0.89389,30,-0.1505,33,0.05536,21,-0.7149
ENSG00000179862,CITED4,12,-0.7779,27,0.95978,30,0.61793,9,-1.3924
ENSG00000171793,CTPS1,15,0.13470,18,0.79418,7,-0.9531,8,-1.0236
ENSG00000127124,HIVEP3,37,1.43035,15,-0.3516,13,-0.4033,10,-0.9623
ENSG00000198815,FOXJ3,73,0.48841,68,0.70025,32,-0.8430,25,-1.3784
ENSG00000177181,RIMKLA,28,0.42555,24,0.27727,9,-1.3091,18,-0.3706
ENSG00000127125,PPCS,54,-0.0960,60,0.13307,46,-0.3393,58,0.01758
ENSG00000186409,CCDC30,17,-0.0226,15,-0.3242,20,0.29855,20,0.29943
ENSG00000171960,PPIH,13,-0.3949,21,0.72669,15,-0.2073,11,-0.6857
ENSG00000065978,YBX1,77,-0.1601,47,-1.3484,305,2.24050,89,0.11847
ENSG00000164008,C1orf50,23,0.36851,20,0.19175,10,-0.9373,16,-0.2724
ENSG00000177868,SVBP,29,-0.5269,45,0.35289,35,-0.1861,39,-0.0522
ENSG00000117394,SLC2A1,32,-0.6174,21,-1.7703,278,3.38700,32,-0.6972
ENSG00000117395,EBNA1BP2,47,-1.2686,136,0.94935,77,-0.4538,83,-0.3944
ENSG00000179178,TMEM125,22,1.72820,3,-2.2526,24,1.60364,7,-0.3131
ENSG00000066322,ELOVL1,31,1.09499,7,-1.7894,51,1.81265,16,-0.1239
ENSG00000159479,MED8,26,0.22626,24,0.03843,26,0.19916,19,-0.3331
ENSG00000178922,HYI,15,-0.2485,16,-0.1044,23,0.44089,18,0.10696
ENSG00000142949,PTPRF,110,-0.5180,199,0.99928,79,-0.9717,99,-0.7377
ENSG00000066135,KDM4A,19,0.37217,17,0.38359,11,-0.4566,10,-0.7422
ENSG00000126091,ST3GAL3,24,-0.2023,31,0.34979,18,-0.6140,26,-0.1136
ENSG00000117408,IPO13,35,-0.4753,53,0.40496,55,0.26407,38,-0.3606
ENSG00000117410,ATP6V0B,344,-0.0198,420,0.60754,234,-0.6109,244,-0.6490
ENSG00000117411,B4GALT2,64,0.20584,55,-0.1091,64,0.17852,55,-0.0924
ENSG00000159214,CCDC24,16,-0.0318,21,0.80094,8,-1.1729,11,-0.7829
ENSG00000178028,DMAP1,44,0.17673,44,0.27547,41,0.04208,29,-0.5789
ENSG00000117419,ERI3,152,-0.0458,175,0.35955,129,-0.3010,129,-0.3527
ENSG00000187147,RNF220,119,0.58863,88,0.08408,56,-0.6398,68,-0.4233
