"","xSpD","cluster","mod","n_genes","n_FDR05","n_pval10","nUP","nDown"
"69","xL1_inhib","Inhib.HTR3A","carrier",183,0,13,4,9
"70","xL1_inhib","Inhib.LAMP5_LHX6","carrier",201,2,14,5,9
"71","xL1_inhib","Inhib.PVALB","carrier",159,0,20,10,10
"72","xL1_inhib","Inhib.VIP","carrier",290,0,11,5,6
"73","xL2","Astro.1","carrier",255,0,23,16,7
"74","xL2","Astro.2","carrier",215,0,20,12,8
"75","xL2","Astro.5","carrier",199,0,10,7,3
"76","xL2","Micro.2","carrier",160,0,8,6,2
"77","xL2","Micro.5","carrier",182,0,9,4,5
"78","xL2","OPC.2","carrier",229,0,5,3,2
"79","xL2","OPC.5","carrier",201,0,8,2,6
"80","xL2","Oligo.3","carrier",169,0,4,2,2
"81","xL2","Oligo.4","carrier",113,0,5,2,3
"82","xL2","Vasc.Endo","carrier",199,0,11,5,6
"83","xL2","Vasc.PC","carrier",164,0,5,1,4
"84","xL2","Excit.L2","carrier",351,0,22,8,14
"85","xL2","Excit.L2_5.mix","carrier",200,0,9,4,5
"86","xL2","Excit.L2_5.RELN","carrier",207,0,22,13,9
"87","xL2","Inhib.HTR3A","carrier",149,0,6,2,4
"88","xL2","Inhib.LAMP5_LHX6","carrier",196,0,19,9,10
"89","xL2","Inhib.PVALB","carrier",188,0,20,8,12
"90","xL2","Inhib.VIP","carrier",285,0,8,3,5
"91","xL2","Inhib.SST","carrier",161,0,9,4,5
"92","xLD_glia","Astro.1","carrier",297,0,31,16,15
"93","xLD_glia","Astro.2","carrier",301,0,21,11,10
"94","xLD_glia","Astro.5","carrier",327,0,17,9,8
"95","xLD_glia","Micro.2","carrier",251,1,23,12,11
"96","xLD_glia","Micro.5","carrier",273,0,28,11,17
"97","xLD_glia","OPC.2","carrier",241,0,17,8,9
"98","xLD_glia","OPC.4","carrier",141,0,5,2,3
"99","xLD_glia","OPC.5","carrier",266,0,17,6,11
"100","xLD_glia","Oligo.1","carrier",140,0,7,3,4
"101","xLD_glia","Oligo.2","carrier",133,0,14,9,5
"102","xLD_glia","Oligo.3","carrier",328,0,21,13,8
"103","xLD_glia","Oligo.4","carrier",277,0,15,4,11
"104","xLD_glia","Oligo.5","carrier",102,1,13,7,6
"105","xLD_glia","Vasc.Endo","carrier",320,0,13,8,5
"106","xLD_glia","Vasc.PC","carrier",228,0,12,3,9
"107","xLD_glia","Excit.L2","carrier",255,0,11,4,7
"108","xLD_glia","Excit.L2_5.mix","carrier",217,0,18,9,9
"109","xLD_glia","Excit.L2_5.RELN","carrier",166,0,9,4,5
"110","xLD_glia","Excit.L5.RELN","carrier",211,0,24,8,16
"111","xLD_glia","Excit.L5.RORB","carrier",169,0,11,4,7
"112","xLD_glia","Inhib.LAMP5_LHX6","carrier",183,1,13,4,9
"113","xLD_glia","Inhib.PVALB","carrier",200,0,14,4,10
"114","xLD_glia","Inhib.VIP","carrier",239,0,10,6,4
"115","xLD_glia","Inhib.Chandelier","carrier",132,3,14,6,8
"116","xLD_glia","Inhib.SST","carrier",157,0,10,4,6
"117","xL5","Astro.1","carrier",218,0,22,13,9
"118","xL5","Astro.2","carrier",213,0,17,10,7
"119","xL5","Astro.5","carrier",270,0,17,7,10
"120","xL5","Micro.2","carrier",188,0,12,5,7
"121","xL5","Micro.5","carrier",215,0,13,5,8
"122","xL5","OPC.2","carrier",227,0,15,4,11
"123","xL5","OPC.4","carrier",91,0,10,3,7
"124","xL5","OPC.5","carrier",239,0,12,1,11
"125","xL5","Oligo.1","carrier",150,0,6,2,4
"126","xL5","Oligo.2","carrier",102,0,4,3,1
"127","xL5","Oligo.3","carrier",306,0,18,10,8
"128","xL5","Oligo.4","carrier",244,0,9,4,5
"129","xL5","Oligo.5","carrier",113,0,2,0,2
"130","xL5","Vasc.Endo","carrier",230,0,13,8,5
"131","xL5","Vasc.PC","carrier",140,0,7,2,5
"132","xL5","Excit.L2","carrier",314,0,22,7,15
"133","xL5","Excit.L2_5.mix","carrier",256,0,17,8,9
"134","xL5","Excit.L2_5.RELN","carrier",219,0,19,8,11
"135","xL5","Excit.L5.RELN","carrier",299,0,39,21,18
"136","xL5","Excit.L5.RORB","carrier",276,0,8,6,2
"137","xL5","Inhib.LAMP5_LHX6","carrier",204,0,12,5,7
"138","xL5","Inhib.PVALB","carrier",268,0,26,18,8
"139","xL5","Inhib.VIP","carrier",249,0,14,10,4
"140","xL5","Inhib.Chandelier","carrier",178,0,15,8,7
"141","xL5","Inhib.SST","carrier",224,0,24,12,12
"142","xL6","Astro.1","carrier",157,0,28,14,14
"143","xL6","Astro.2","carrier",219,3,52,23,29
"144","xL6","Astro.3","carrier",121,0,7,5,2
"145","xL6","Astro.5","carrier",247,2,41,20,21
"146","xL6","Micro.2","carrier",154,0,19,14,5
"147","xL6","Micro.5","carrier",201,0,23,11,12
"148","xL6","OPC.2","carrier",189,0,9,3,6
"149","xL6","OPC.4","carrier",96,0,2,2,0
"150","xL6","OPC.5","carrier",215,0,22,9,13
"151","xL6","Oligo.1","carrier",125,0,5,2,3
"152","xL6","Oligo.2","carrier",102,2,24,15,9
"153","xL6","Oligo.3","carrier",314,0,24,15,9
"154","xL6","Oligo.4","carrier",234,0,10,3,7
"155","xL6","Oligo.5","carrier",82,1,12,7,5
"156","xL6","Vasc.Endo","carrier",191,0,5,1,4
"157","xL6","Vasc.PC","carrier",118,0,2,1,1
"158","xL6","Excit.L2","carrier",198,0,7,5,2
"159","xL6","Excit.L2_5.mix","carrier",195,0,14,10,4
"160","xL6","Excit.L5.RORB","carrier",230,0,5,5,0
"161","xL6","Excit.L6.CT","carrier",235,0,13,7,6
"162","xL6","Excit.L6b","carrier",242,0,9,6,3
"163","xL6","Inhib.LAMP5_LHX6","carrier",152,0,11,9,2
"164","xL6","Inhib.PVALB","carrier",180,0,21,11,10
"165","xL6","Inhib.VIP","carrier",138,0,23,10,13
"166","xL6","Inhib.SST","carrier",142,1,7,4,3
"167","xWMuf","Astro.1","carrier",188,0,19,5,14
"168","xWMuf","Astro.2","carrier",240,0,16,7,9
"169","xWMuf","Astro.3","carrier",115,0,10,3,7
"170","xWMuf","Astro.4","carrier",143,0,21,7,14
"171","xWMuf","Astro.5","carrier",279,0,26,9,17
"172","xWMuf","Micro.2","carrier",223,0,20,11,9
"173","xWMuf","Micro.5","carrier",250,0,18,10,8
"174","xWMuf","OPC.2","carrier",215,0,16,3,13
"175","xWMuf","OPC.4","carrier",116,0,6,4,2
"176","xWMuf","OPC.5","carrier",212,0,15,8,7
"177","xWMuf","Oligo.1","carrier",208,0,8,4,4
"178","xWMuf","Oligo.2","carrier",148,0,12,8,4
"179","xWMuf","Oligo.3","carrier",354,0,27,16,11
"180","xWMuf","Oligo.4","carrier",307,0,17,10,7
"181","xWMuf","Oligo.5","carrier",120,0,9,4,5
"182","xWMuf","Vasc.Endo","carrier",266,0,17,9,8
"183","xWMuf","Vasc.PC","carrier",162,0,8,3,5
"184","xWMuf","Excit.L2","carrier",185,0,4,1,3
"185","xWMuf","Excit.L2_5.mix","carrier",194,0,6,3,3
"186","xWMuf","Excit.L5.RELN","carrier",180,0,10,4,6
"187","xWMuf","Excit.L5.RORB","carrier",175,2,18,8,10
"188","xWMuf","Excit.L6b","carrier",155,0,6,3,3
"189","xWMuf","Inhib.LAMP5_LHX6","carrier",169,0,8,4,4
"190","xWMuf","Inhib.PVALB","carrier",185,0,14,5,9
"191","xWMuf","Inhib.VIP","carrier",184,0,8,4,4
"192","xWMuf","Inhib.SST","carrier",155,0,5,3,2
"193","xWMd","Astro.1","carrier",107,0,5,2,3
"194","xWMd","Astro.2","carrier",137,0,9,3,6
"195","xWMd","Astro.4","carrier",236,0,29,17,12
"196","xWMd","Astro.5","carrier",186,0,27,14,13
"197","xWMd","Micro.2","carrier",173,0,17,15,2
"198","xWMd","Micro.3","carrier",197,0,10,4,6
"199","xWMd","Micro.5","carrier",152,0,25,15,10
"200","xWMd","OPC.2","carrier",178,0,16,6,10
"201","xWMd","OPC.4","carrier",104,0,1,1,0
"202","xWMd","OPC.5","carrier",165,0,11,5,6
"203","xWMd","Oligo.1","carrier",257,0,32,15,17
"204","xWMd","Oligo.2","carrier",241,0,37,20,17
"205","xWMd","Oligo.3","carrier",353,0,65,34,31
"206","xWMd","Oligo.4","carrier",336,0,79,42,37
"207","xWMd","Oligo.5","carrier",100,0,13,4,9
"208","xWMd","Vasc.Endo","carrier",202,0,21,8,13
"209","xWMd","Vasc.PC","carrier",115,0,4,3,1
