Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000160075,SSU72,233,0.25273,165,-0.3151,233,0.25860,213,0.14846,172,-0.2422,157,-0.3880
ENSG00000228594,FNDC10,31,-0.4404,37,-0.1329,42,0.04154,48,0.40807,41,0.00726,30,-0.4869
ENSG00000272106,AL691432.2,42,0.43828,27,-0.2785,30,-0.0979,31,-0.0795,36,0.17889,29,-0.1607
ENSG00000197530,MIB2,42,-0.6150,46,-0.4610,62,0.01014,77,0.54637,72,0.26850,40,-0.6957
ENSG00000189339,SLC35E2B,35,-0.0607,33,-0.1567,37,0.01035,43,0.40727,25,-0.6165,33,-0.1826
ENSG00000215790,SLC35E2A,39,0.33783,29,-0.1501,40,0.39217,33,0.08543,19,-0.8392,28,-0.1767
ENSG00000008130,NADK,40,-0.0406,38,-0.1196,40,-0.0562,42,0.04565,53,0.42670,32,-0.4029
ENSG00000078369,GNB1,552,0.19813,468,-0.0761,561,0.22413,511,0.09688,393,-0.3575,414,-0.2739
ENSG00000187730,GABRD,268,0.91462,70,-1.2848,119,-0.4541,191,0.47474,159,0.01853,71,-1.2428
ENSG00000067606,PRKCZ,237,0.04987,230,-0.0030,240,0.07026,260,0.28884,184,-0.3590,171,-0.4820
ENSG00000162585,FAAP20,33,-0.8016,68,0.38263,83,0.71738,44,-0.4578,40,-0.4796,79,0.62043
ENSG00000157933,SKI,41,0.66936,28,0.03623,25,-0.1363,25,-0.2309,14,-1.0789,37,0.52413
ENSG00000157916,RER1,77,-0.3084,85,-0.1528,86,-0.1250,81,-0.3185,190,1.25666,65,-0.5740
ENSG00000157911,PEX10,36,-0.1855,34,-0.2714,39,-0.0301,31,-0.5200,67,0.88874,50,0.36821
ENSG00000149527,PLCH2,37,-0.1814,39,-0.0831,57,0.53181,45,0.22500,34,-0.3108,27,-0.6653
ENSG00000157881,PANK4,19,-0.2680,7,-1.8613,28,0.35024,26,0.29157,30,0.46375,21,-0.1502
ENSG00000197921,HES5,68,-0.5585,35,-1.5804,176,1.04804,36,-1.8465,268,1.88888,115,0.29313
ENSG00000272449,AL139246.5,32,0.19833,19,-0.6442,39,0.54209,14,-1.3517,76,1.82177,17,-0.7693
ENSG00000157873,TNFRSF14,16,-0.1344,4,-2.2647,13,-0.4248,16,-0.1111,37,1.33552,19,0.16052
ENSG00000157870,PRXL2B,58,-0.3327,63,-0.2113,76,0.09173,89,0.53061,43,-0.8157,67,-0.1112
ENSG00000177133,PRDM16-DT,39,-0.1642,22,-1.0510,45,0.09833,15,-1.9245,136,2.17958,55,0.41936
ENSG00000158109,TPRG1L,174,-0.3746,253,0.23946,226,0.04602,254,0.35601,147,-0.6475,193,-0.2094
ENSG00000116213,WRAP73,11,-0.7191,16,-0.0653,14,-0.3104,19,0.24870,22,0.42604,16,-0.0739
ENSG00000130764,LRRC47,101,0.21955,93,0.07997,92,0.05450,104,0.37302,51,-0.8863,62,-0.5661
ENSG00000116198,CEP104,8,-0.6750,13,0.01295,7,-0.9598,20,1.12240,7,-0.9015,9,-0.6018
ENSG00000198912,C1orf174,8,-0.8899,10,-0.6306,24,0.81827,18,0.53079,11,-0.4344,9,-0.6621
ENSG00000196581,AJAP1,82,0.67970,35,-0.7177,42,-0.4346,71,0.65338,46,-0.2725,20,-1.5345
ENSG00000069424,KCNAB2,534,0.87942,297,-0.1263,286,-0.1840,281,-0.2929,334,0.06636,271,-0.2749
ENSG00000116254,CHD5,142,-0.4507,191,0.03233,231,0.34975,208,0.25237,170,-0.1607,140,-0.4654
ENSG00000116251,RPL22,611,0.17828,729,0.47890,405,-0.4910,417,-0.5899,590,0.12008,804,0.65023
ENSG00000116237,ICMT,37,-0.4669,36,-0.5009,46,-0.0933,59,0.46746,51,0.05262,45,-0.1500
ENSG00000158292,GPR153,33,0.88804,14,-0.4832,16,-0.2887,21,0.21275,13,-0.5642,15,-0.4407
ENSG00000097021,ACOT7,299,0.06297,272,-0.0942,293,0.02799,359,0.54580,198,-0.5986,165,-0.8838
ENSG00000215788,TNFRSF25,35,-0.0595,14,-1.4333,23,-0.7120,49,0.78913,41,0.20389,28,-0.3842
ENSG00000171680,PLEKHG5,41,0.06481,34,-0.2327,22,-0.9150,47,0.39997,43,0.12513,36,-0.1435
ENSG00000162408,NOL9,31,-0.2095,39,0.15798,48,0.51577,36,0.01203,26,-0.4682,32,-0.1739
ENSG00000204859,ZBTB48,7,-0.9326,5,-1.3827,10,-0.4295,17,0.42483,12,-0.2115,25,1.03621
ENSG00000162413,KLHL21,45,-0.0890,35,-0.4990,48,0.01340,43,-0.2395,79,0.86364,46,-0.0603
ENSG00000116273,PHF13,20,-0.2815,10,-1.3027,35,0.67739,27,0.28593,22,-0.1325,22,-0.1176
ENSG00000041988,THAP3,34,0.15148,26,-0.2912,45,0.61397,29,-0.1318,39,0.39299,16,-0.9848
ENSG00000007923,DNAJC11,43,0.34078,32,-0.1358,38,0.13585,37,0.08500,29,-0.3236,29,-0.2886
ENSG00000171735,CAMTA1,128,-0.5474,238,0.46593,296,0.85126,134,-0.6303,185,0.04305,193,0.11028
ENSG00000049245,VAMP3,26,0.12468,21,-0.2664,18,-0.4911,17,-0.7795,37,0.70553,43,0.97194
ENSG00000049246,PER3,37,-0.0021,28,-0.4587,43,0.24424,36,-0.0450,48,0.43411,31,-0.2568
ENSG00000116288,PARK7,542,0.33627,453,0.03588,403,-0.1559,420,-0.1231,453,0.03640,435,-0.0291
ENSG00000116285,ERRFI1,17,-0.3701,31,0.66063,31,0.62706,19,-0.2541,25,0.27566,9,-1.3415
ENSG00000162426,SLC45A1,24,-0.6272,22,-0.7699,40,0.15353,48,0.72711,27,-0.4545,31,-0.2351
ENSG00000142599,RERE,122,0.03769,119,0.00557,152,0.40432,116,-0.0660,118,-0.0177,95,-0.3675
ENSG00000074800,ENO1,604,-0.3108,442,-0.8062,820,0.19050,713,-0.0577,1112,0.71618,733,0.00381
ENSG00000171612,SLC25A33,45,-0.1280,37,-0.4138,75,0.75188,31,-0.9363,78,0.82640,59,0.33641
ENSG00000188807,TMEM201,13,-0.3713,18,0.16530,16,0.03772,18,0.27546,6,-1.5271,21,0.48527
ENSG00000171603,CLSTN1,733,-0.2286,855,0.02369,961,0.21899,997,0.41039,711,-0.2769,491,-0.8628
ENSG00000178585,CTNNBIP1,38,-0.1649,37,-0.2017,51,0.32394,39,-0.1575,45,0.11961,47,0.19648
ENSG00000162441,LZIC,29,-0.1503,40,0.38100,47,0.64397,25,-0.5184,23,-0.5447,42,0.43848
ENSG00000130939,UBE4B,33,-0.2376,39,0.03380,55,0.62400,46,0.44638,20,-0.9677,20,-1.0150
ENSG00000054523,KIF1B,312,0.16936,361,0.41466,332,0.27071,259,-0.1937,243,-0.2445,232,-0.3164
ENSG00000142657,PGD,24,-1.1087,46,-0.0753,104,1.33586,45,-0.1711,36,-0.4981,44,-0.1516
ENSG00000175279,CENPS,13,0.01984,9,-0.4375,10,-0.4050,13,0.14848,12,-0.0121,16,0.38461
ENSG00000241563,CORT,144,1.36176,83,0.36654,169,1.67790,28,-1.6556,12,-2.6351,43,-0.7207
ENSG00000160049,DFFA,38,0.62444,20,-0.4362,31,0.27159,20,-0.5499,25,-0.0537,35,0.47072
ENSG00000142655,PEX14,23,-0.5778,36,0.12034,34,0.04326,35,0.14666,48,0.62131,19,-0.9101
ENSG00000120948,TARDBP,72,-0.2584,68,-0.3407,83,-0.0328,96,0.30828,83,-0.0271,81,-0.0644
ENSG00000116649,SRM,116,-0.0666,106,-0.2163,119,-0.0238,130,0.16670,118,-0.0344,118,-0.0344
ENSG00000171824,EXOSC10,15,-0.7775,15,-0.7148,27,0.16260,28,0.35002,30,0.35824,23,-0.1082
ENSG00000198793,MTOR,63,0.49276,42,-0.1782,47,0.02452,45,-0.0660,49,0.06356,37,-0.3719
ENSG00000204624,DISP3,22,0.47509,8,-1.0527,13,-0.3377,15,-0.2232,31,1.08808,13,-0.4294
ENSG00000116661,FBXO2,327,-0.1276,306,-0.2327,324,-0.1410,275,-0.5379,514,0.63780,529,0.68721
ENSG00000132879,FBXO44,139,-0.3836,128,-0.5221,229,0.43769,219,0.52595,153,-0.2350,109,-0.7765
ENSG00000116670,MAD2L2,48,0.53930,26,-0.4544,24,-0.5749,36,0.06406,36,0.03804,37,0.10001
ENSG00000177674,AGTRAP,8,-1.0964,4,-2.0970,25,0.73542,4,-2.2880,51,2.10375,29,1.00712
ENSG00000177000,MTHFR,7,-1.3396,17,-0.0854,16,-0.1721,23,0.63617,15,-0.2752,18,0.02965
ENSG00000011021,CLCN6,52,-0.5685,66,-0.1848,109,0.65589,88,0.40904,40,-0.9525,62,-0.2903
ENSG00000116685,KIAA2013,27,-0.5384,46,0.31550,33,-0.2164,44,0.34837,43,0.21898,22,-0.8300
ENSG00000083444,PLOD1,14,-0.8395,27,0.24854,37,0.76513,18,-0.5510,36,0.73409,19,-0.3138
ENSG00000116688,MFN2,106,0.00249,95,-0.1745,127,0.30281,114,0.16161,78,-0.5048,102,-0.0730
ENSG00000116691,MIIP,17,-0.0287,11,-0.7679,17,-0.0373,21,0.41549,13,-0.4097,19,0.13931
ENSG00000048707,VPS13D,37,-0.4909,53,0.07225,50,-0.0092,61,0.44013,42,-0.2931,40,-0.3675
ENSG00000162496,DHRS3,16,-0.1778,9,-1.0575,17,-0.1401,8,-1.6222,45,1.61052,36,1.16054
ENSG00000116731,PRDM2,75,-0.0690,59,-0.4513,108,0.55018,91,0.37446,58,-0.4816,51,-0.6731
ENSG00000189337,KAZN,17,-1.2498,44,0.21590,52,0.50332,44,0.30004,19,-1.0909,45,0.24657
ENSG00000142634,EFHD2,22,-2.6330,221,1.00144,247,1.21315,126,0.03173,46,-1.5530,79,-0.7221
ENSG00000116138,DNAJC16,12,-1.1927,21,-0.3854,30,0.19577,31,0.35624,33,0.32823,25,-0.1295
ENSG00000197312,DDI2,14,-0.7114,14,-0.7190,43,1.13601,26,0.37835,13,-0.8329,16,-0.5564
ENSG00000116786,PLEKHM2,104,0.18629,109,0.27913,114,0.35192,79,-0.3463,78,-0.2865,98,0.09968
ENSG00000065526,SPEN,27,-0.2657,46,0.60513,31,-0.0396,35,0.21321,13,-1.3356,33,0.05801
ENSG00000116809,ZBTB17,20,0.00900,22,0.18581,29,0.61864,18,-0.2205,23,0.23295,11,-0.9029
ENSG00000185519,FAM131C,16,-0.1022,24,0.61435,35,1.26857,8,-1.4941,29,0.95193,7,-1.2973
ENSG00000037637,FBXO42,19,-0.2206,23,0.10505,21,-0.0772,23,0.11196,29,0.47824,14,-0.7357
ENSG00000055070,SZRD1,28,-0.0937,29,-0.0388,30,0.03337,23,-0.4784,43,0.62285,36,0.31561
ENSG00000157191,NECAP2,5,-1.5335,11,-0.4466,20,0.52073,10,-0.7480,23,0.78986,26,1.03732
ENSG00000058453,CROCC,22,0.20956,12,-0.7461,12,-0.7304,24,0.55696,28,0.60283,8,-1.3420
ENSG00000238142,BX284668.5,20,0.77293,15,0.29245,9,-0.4588,10,-0.4381,11,-0.1845,15,0.21380
ENSG00000159363,ATP13A2,158,0.12021,156,0.10023,190,0.42888,154,0.10562,98,-0.6534,113,-0.4289
ENSG00000117118,SDHB,112,0.32316,99,0.11404,90,-0.0452,97,0.11126,84,-0.1597,63,-0.5982
ENSG00000117115,PADI2,22,-0.6148,17,-1.0225,54,0.89919,16,-1.3549,35,0.14350,81,1.66850
ENSG00000179051,RCC2,24,0.17179,13,-0.7229,24,0.20986,21,0.01245,31,0.61378,14,-0.6486
ENSG00000074964,ARHGEF10L,10,-0.8154,15,-0.2109,27,0.80111,12,-0.6715,34,1.21881,12,-0.4855
ENSG00000117154,IGSF21,31,-1.3162,98,0.50940,108,0.67668,82,0.30415,24,-1.7060,71,-0.0218
ENSG00000159423,ALDH4A1,29,-0.2077,18,-0.9268,47,0.60338,19,-1.0667,67,1.24444,44,0.48008
ENSG00000169991,IFFO2,11,-0.6804,13,-0.4451,17,-0.0737,16,-0.1567,44,1.64057,6,-1.5794
ENSG00000127481,UBR4,18,0.27311,14,-0.0747,24,0.77945,13,-0.3137,17,0.22473,8,-0.9740
ENSG00000127463,EMC1,24,-0.6218,29,-0.3372,28,-0.3636,38,0.17198,56,0.76332,33,-0.1361
ENSG00000053372,MRTO4,47,0.17923,42,-0.0221,58,0.52226,40,-0.1264,40,-0.1115,32,-0.4326
ENSG00000053371,AKR7A2,55,0.33458,46,0.01288,29,-0.7195,36,-0.4842,65,0.60561,59,0.44498
ENSG00000077549,CAPZB,179,-0.2697,200,-0.0874,224,0.09557,233,0.22730,247,0.25942,143,-0.6302
ENSG00000173436,MICOS10,476,0.20605,513,0.33372,456,0.13681,385,-0.1995,305,-0.5177,458,0.14357
ENSG00000158747,NBL1,170,-0.7052,279,0.09353,230,-0.2257,255,-0.0815,445,0.89907,224,-0.2674
ENSG00000169914,OTUD3,17,-0.3005,15,-0.5452,18,-0.1999,32,1.13615,6,-1.8215,15,-0.5536
ENSG00000162545,CAMK2N1,2465,0.81921,1378,-0.1710,954,-0.7578,1607,0.11476,1369,-0.1819,1255,-0.3227
ENSG00000090432,MUL1,24,-0.2745,20,-0.5925,39,0.48760,31,0.17256,26,-0.1999,29,0.02510
ENSG00000183114,FAM43B,2,-2.9342,11,-0.3576,26,1.08394,11,-0.4688,20,0.63350,18,0.46889
ENSG00000158828,PINK1,328,-0.4183,629,0.66689,533,0.37793,418,-0.0406,266,-0.7509,392,-0.1322
ENSG00000244038,DDOST,29,0.04410,16,-0.8480,24,-0.2630,32,0.30683,41,0.62803,19,-0.6236
ENSG00000117245,KIF17,4,-2.0636,36,1.35099,16,-0.0782,22,0.66765,10,-0.7634,2,-3.2228
ENSG00000189410,SH2D5,37,-0.2164,24,-0.8963,33,-0.3831,56,0.70957,31,-0.4910,45,0.10260
ENSG00000127483,HP1BP3,111,-0.2997,96,-0.5263,160,0.30162,154,0.35326,101,-0.4540,136,0.03566
ENSG00000075151,EIF4G3,79,-0.4065,102,0.00104,123,0.32521,125,0.52403,56,-0.9540,76,-0.4617
ENSG00000117298,ECE1,14,-0.6919,12,-0.8975,18,-0.2605,12,-1.1720,68,2.15265,25,0.21510
ENSG00000162551,ALPL,3,-2.2007,14,0.07282,16,0.35563,16,0.48785,13,0.03264,10,-0.3584
ENSG00000076864,RAP1GAP,189,-0.3861,230,-0.0729,276,0.22828,316,0.69567,138,-0.8795,141,-0.8458
ENSG00000090686,USP48,30,-0.3118,29,-0.3691,33,-0.1542,45,0.48699,28,-0.4608,39,0.09790
ENSG00000070831,CDC42,216,-0.2189,256,0.05742,281,0.21336,289,0.37540,173,-0.5765,186,-0.4602
ENSG00000133216,EPHB2,8,-0.6441,7,-0.8052,19,0.72884,16,0.59356,9,-0.5746,9,-0.5925
ENSG00000004487,KDM1A,68,0.35741,37,-0.6022,69,0.38211,57,0.11317,58,0.09239,33,-0.7843
ENSG00000169641,LUZP1,27,-0.5652,40,0.07337,43,0.20374,44,0.33717,37,-0.0660,27,-0.5524
ENSG00000125944,HNRNPR,102,0.01900,80,-0.3625,121,0.30409,108,0.15561,100,-0.0191,80,-0.3711
ENSG00000125945,ZNF436,24,-0.4395,30,-0.1041,38,0.27367,42,0.70286,15,-1.1748,22,-0.5929
ENSG00000249087,ZNF436-AS1,17,-0.3046,8,-1.3657,19,-0.1005,18,-0.2268,46,1.40874,18,-0.1752
ENSG00000117318,ID3,5,-2.8607,11,-1.8298,10,-1.9194,5,-3.2616,106,2.04351,136,2.66972
ENSG00000142676,RPL11,560,-0.0424,607,0.09181,382,-0.6529,442,-0.5643,831,0.62793,888,0.74600
ENSG00000011007,ELOA,16,-0.2413,15,-0.3325,23,0.36002,19,0.04684,21,0.25610,15,-0.2541
ENSG00000057757,PITHD1,243,-0.0070,294,0.31637,260,0.10760,277,0.30627,171,-0.5688,151,-0.7686
ENSG00000011009,LYPLA2,63,0.09422,38,-0.7202,47,-0.3759,70,0.39624,77,0.43144,41,-0.6032
ENSG00000117308,GALE,27,0.22988,9,-1.3937,27,0.26295,24,0.11329,31,0.50826,18,-0.4253
ENSG00000117305,HMGCL,18,-0.4508,17,-0.5722,30,0.39089,19,-0.4759,35,0.64705,34,0.57787
ENSG00000179163,FUCA1,14,-0.0957,14,-0.0408,16,0.19872,16,0.16836,11,-0.4558,14,-0.0368
ENSG00000189266,PNRC2,57,-0.0280,48,-0.3186,67,0.23628,62,0.13882,65,0.18855,43,-0.4874
ENSG00000188529,SRSF10,49,-0.0633,49,-0.0797,72,0.58035,53,0.07486,44,-0.2612,37,-0.5148
ENSG00000001460,STPG1,18,0.40600,20,0.55262,10,-0.5208,16,0.32508,8,-0.9158,9,-0.7647
ENSG00000001461,NIPAL3,30,-1.0143,65,0.20557,81,0.60104,62,0.20441,33,-0.8777,61,0.10935
ENSG00000133226,SRRM1,36,-0.0748,38,0.03094,35,-0.1020,45,0.42857,22,-0.8350,35,-0.1390
ENSG00000169504,CLIC4,4,-2.0125,19,0.28013,18,0.23649,6,-1.8351,16,-0.0083,53,2.25599
ENSG00000117614,SYF2,30,-1.0892,57,-0.0987,63,0.07226,58,-0.1005,72,0.29772,88,0.62568
ENSG00000117616,RSRP1,66,-0.3431,53,-0.6854,97,0.29740,102,0.56607,68,-0.2823,60,-0.4902
ENSG00000183726,TMEM50A,145,0.52508,37,-1.6552,112,0.08541,125,0.38987,111,0.06392,72,-0.6319
ENSG00000204178,MACO1,34,0.25901,23,-0.3826,44,0.70847,25,-0.3069,27,-0.1070,28,-0.0362
ENSG00000117643,MAN1C1,60,0.47263,15,-1.6997,17,-1.4972,59,0.69955,58,0.41932,32,-0.5242
ENSG00000162430,SELENON,37,-0.4945,33,-0.6838,54,0.10176,41,-0.4632,89,0.96752,70,0.53769
ENSG00000117640,MTFR1L,57,-0.4264,95,0.41153,63,-0.2463,80,0.19083,76,0.03721,60,-0.3240
ENSG00000117632,STMN1,1656,-0.0278,1694,0.00892,2026,0.30836,2117,0.57110,845,-1.0950,905,-0.9890
ENSG00000158008,EXTL1,65,0.04155,57,-0.1931,53,-0.3003,73,0.31556,59,-0.1222,58,-0.1613
ENSG00000142684,ZNF593,57,-0.0138,66,0.23999,54,-0.0889,54,-0.1434,60,0.08634,59,0.05957
ENSG00000142669,SH3BGRL3,299,-0.2342,508,0.65644,446,0.42805,339,-0.0431,197,-0.8969,297,-0.2472
ENSG00000158062,UBXN11,26,0.03746,25,-0.0220,35,0.53839,26,-0.0002,23,-0.1455,18,-0.5728
ENSG00000117682,DHDDS,19,-0.2636,12,-0.9633,36,0.78621,29,0.60820,8,-1.5222,19,-0.3206
ENSG00000198830,HMGN2,119,-0.2471,92,-0.6567,157,0.20559,116,-0.3905,198,0.59403,197,0.58686
ENSG00000117713,ARID1A,29,-0.8247,35,-0.5266,37,-0.4367,56,0.33862,78,0.80531,42,-0.2311
ENSG00000204160,ZDHHC18,40,0.12540,31,-0.2843,31,-0.2717,38,0.05932,45,0.33927,34,-0.1138
ENSG00000142751,GPN2,16,-0.2556,18,-0.0663,15,-0.3450,22,0.35836,7,-1.4763,29,0.70017
ENSG00000090273,NUDC,180,-0.1680,228,0.22074,196,-0.0263,199,-0.0068,213,0.11089,182,-0.1521
ENSG00000253368,TRNP1,59,-0.2135,77,0.22641,87,0.44377,73,0.19692,42,-0.7542,53,-0.3811
ENSG00000090020,SLC9A1,16,-1.2483,22,-0.7209,59,0.86916,44,0.51406,44,0.34745,11,-1.7287
ENSG00000142784,WDTC1,26,-0.5296,28,-0.3754,49,0.53625,30,-0.3624,49,0.51248,43,0.32333
ENSG00000186501,TMEM222,108,0.50179,64,-0.3580,77,-0.0555,84,0.11278,63,-0.3902,76,-0.0830
ENSG00000158195,WASF2,11,-1.3469,17,-0.6759,47,1.02344,13,-1.2736,45,0.93859,47,1.03071
ENSG00000126705,AHDC1,28,-0.9407,53,0.03947,96,1.08383,56,0.20982,34,-0.6662,32,-0.7550
ENSG00000126709,IFI6,27,-1.5954,96,0.37832,85,0.18153,74,-0.0557,86,0.19744,93,0.32824
ENSG00000009780,FAM76A,15,-0.1758,13,-0.3825,17,-0.0410,20,0.40804,17,0.03765,13,-0.4291
ENSG00000117758,STX12,72,-0.4810,115,0.27602,125,0.41322,105,0.17386,63,-0.6910,89,-0.1378
ENSG00000117751,PPP1R8,24,-0.2528,23,-0.2664,43,0.74601,24,-0.3483,26,-0.0782,34,0.34954
ENSG00000117748,RPA2,46,-0.4460,56,-0.1302,66,0.13919,69,0.30082,67,0.15544,44,-0.5054
ENSG00000126698,DNAJC8,228,0.71499,139,-0.1194,150,-0.0018,146,-0.0574,131,-0.2124,112,-0.4702
ENSG00000130770,ATP5IF1,1298,0.72901,854,0.01323,598,-0.5611,947,0.26545,587,-0.5922,601,-0.5536
ENSG00000242125,SNHG3,16,-0.1842,7,-1.4284,12,-0.5904,19,0.17599,36,1.21804,14,-0.3977
ENSG00000180098,TRNAU1AP,19,-0.4615,16,-0.7257,20,-0.3823,26,0.06577,38,0.69423,31,0.35214
ENSG00000197989,SNHG12,8,-0.7018,6,-1.2497,12,-0.1600,15,0.31737,10,-0.4441,24,1.03466
ENSG00000120656,TAF12,6,-1.5245,14,-0.3569,29,0.84221,16,-0.2007,21,0.32466,21,0.34622
ENSG00000198492,YTHDF2,45,-0.7661,54,-0.4925,96,0.44481,104,0.91158,36,-1.1088,44,-0.8131
ENSG00000116329,OPRD1,23,0.85381,8,-0.7647,15,0.09744,16,0.37224,9,-0.5885,6,-1.1427
ENSG00000116350,SRSF4,27,-0.6316,25,-0.7977,50,0.32605,53,0.66360,29,-0.5736,37,-0.1668
ENSG00000116353,MECR,63,0.61460,39,-0.2097,33,-0.4475,45,0.04394,53,0.30762,29,-0.6519
ENSG00000060656,PTPRU,7,-1.3867,20,0.17334,27,0.65192,17,-0.1353,22,0.36057,17,-0.0966
ENSG00000162511,LAPTM5,9,-0.9984,12,-0.5469,13,-0.4543,7,-1.6966,42,1.52849,43,1.59693
ENSG00000162512,SDC3,102,-0.0629,61,-0.8826,71,-0.6313,109,0.06401,158,0.67570,129,0.32835
ENSG00000134644,PUM1,101,-0.2149,101,-0.2047,124,0.12481,135,0.39194,91,-0.3798,97,-0.2699
ENSG00000060688,SNRNP40,27,0.73392,17,-0.0725,27,0.74996,15,-0.3447,19,0.16031,5,-1.9286
ENSG00000121766,ZCCHC17,151,0.49592,89,-0.3794,103,-0.1469,131,0.36862,76,-0.6312,88,-0.3927
ENSG00000121769,FABP3,194,-0.0369,275,0.55058,186,-0.1080,249,0.55664,100,-1.0916,89,-1.2655
ENSG00000162517,PEF1,166,0.41010,104,-0.3637,119,-0.1458,145,0.25343,124,-0.0787,94,-0.5298
ENSG00000084636,COL16A1,12,-1.7740,30,-0.4173,55,0.54529,48,0.47933,40,0.01063,35,-0.2166
ENSG00000121753,ADGRB2,382,0.39966,281,-0.1153,346,0.23193,329,0.20956,220,-0.5044,193,-0.7133
ENSG00000184007,PTP4A2,81,-0.7376,144,0.18973,162,0.38768,126,-0.0340,88,-0.6073,173,0.50228
ENSG00000121774,KHDRBS1,113,0.07806,83,-0.4131,114,0.09509,102,-0.1137,134,0.37009,110,0.02763
ENSG00000121775,TMEM39B,22,0.12317,10,-1.1411,19,-0.1210,27,0.67792,21,0.01593,12,-0.8713
ENSG00000025800,KPNA6,52,0.44669,22,-0.8935,31,-0.3991,51,0.60192,29,-0.5096,32,-0.3613
ENSG00000084652,TXLNA,16,-0.9836,17,-0.8525,55,1.07979,31,0.14293,17,-0.8314,36,0.35602
ENSG00000160050,CCDC28B,19,-0.0454,20,0.03909,17,-0.1937,17,-0.3474,21,0.07508,30,0.69764
ENSG00000084623,EIF3I,117,-0.0263,124,0.06582,134,0.19747,115,-0.0790,127,0.09783,106,-0.1898
ENSG00000175130,MARCKSL1,234,0.22875,142,-0.5802,275,0.50422,110,-1.2362,223,0.14311,428,1.31072
ENSG00000160058,BSDC1,80,0.05060,61,-0.3916,73,-0.1052,92,0.41355,72,-0.1220,59,-0.4370
ENSG00000176261,ZBTB8OS,59,0.31436,53,0.14265,51,0.07567,54,0.21434,24,-1.1276,43,-0.2044
ENSG00000162521,RBBP4,83,0.08326,47,-0.8135,114,0.62255,73,-0.1672,97,0.33528,71,-0.1777
ENSG00000162522,KIAA1522,50,0.69125,54,0.82827,24,-0.5009,30,-0.1816,19,-0.8324,26,-0.3903
