"","logFC_Apoe_e4yes","p_Apoe_e4yes","padj"
"HLF",-0.476139442833707,0.0097105754729831,0.0679082682060986
"MMD",0.0994607163790703,0.212457835202337,0.414154081143206
"PCTP",-0.517557907540541,0.000282207306671033,0.00794798396424418
"ANKFN1",-0.450410314071106,0.00152535495249194,0.0226917149715247
"C17orf67",0.553885872345394,0.00298775554638272,0.0331713444092423
"DGKE",0.134269301731239,0.00132778225153587,0.0207488999508606
"COIL",0.143199229816306,0.0479543664946256,0.174985426855536
"SCPEP1",-0.119994765160087,0.0282425160030633,0.128480638146094
"AKAP1",0.0140929866752892,0.856597158771167,0.92234996124675
"MSI2",0.135027092042317,0.0481061078514794,0.175110859075567
"MRPS23",-0.0455509093860431,0.428504991465102,0.629008337731904
"CUEDC1",-0.145408300541557,0.00182055386677344,0.0246291523111971
"VEZF1",0.193332966516642,0.00913099546792135,0.0654053733170413
"AC015813.2",0.0547950676211767,0.294844382279572,0.502974968273223
"SRSF1",-0.12185423070223,0.145183071502026,0.330111673771211
"DYNLL2",0.0869911271624904,0.189688769830581,0.387316400682247
"MKS1",-0.164210053023913,0.0607182486271833,0.199899186234871
"TSPOAP1",-0.327424095530837,0.148904729237436,0.335727840621571
"SUPT4H1",0.0335353020126833,0.753369997278073,0.860161611468601
"HSF5",0.00341330528604907,0.982878503670614,0.99156528559679
"MTMR4",0.0705224421970081,0.170447856971696,0.364397697129306
"SEPT4",-0.137432481904548,0.242670737233589,0.448296925432117
"TEX14",-0.0144820916804546,0.914666906085168,0.95412678153268
"RAD51C",0.1150966624643,0.00211741639306756,0.0266352936150305
"PPM1E",0.198642115733109,0.0581347113003455,0.194371898113176
"TRIM37",-0.135488698646386,0.00544490980703398,0.0486906100907864
"SKA2",-0.0979438884887904,0.00787894444340283,0.0595703963042391
"PRR11",0.0060662130228376,0.955588249235766,0.976630893569452
"GDPD1",-0.0828373099454099,0.133562280350185,0.314321284084367
"YPEL2",0.0383553586504006,0.47896439165311,0.669523603086896
"DHX40",0.0727132674690609,0.0761541623110208,0.227233898232162
"CLTC",-0.0747076209706034,0.0184715613160908,0.0995899673252613
"PTRH2",0.060846020924282,0.218827791709888,0.421531788414259
"VMP1",-0.144398235215778,2.05994224148004e-05,0.00163633360618081
"TUBD1",0.0255648977780847,0.655160595056512,0.796502510933023
"RPS6KB1",-0.100735394224213,0.0115439530402866,0.0760109809113876
"AC005702.1",0.241664753841033,0.047548221295876,0.174170132515074
"RNFT1",-0.0561671591704579,0.525802710402802,0.706237501334437
"HEATR6",0.0223806394419927,0.553900641909503,0.725421343747893
"USP32",-0.0304002166079745,0.548384932680278,0.72124666586436
"APPBP2",0.0121958950820471,0.742859166478761,0.854188744633865
"PPM1D",0.0452869096393086,0.0901998985512524,0.249699903738517
"BCAS3",-0.0628368371318867,0.152573345055217,0.340051958979181
"NACA2",0.0781546723943168,0.46733525712292,0.660570150138842
"BRIP1",-0.0368115914492426,0.80614493443733,0.891632445910908
"INTS2",-0.176032031856417,0.0336758414748766,0.142555810698443
"MED13",-0.0283351855810042,0.329300282383243,0.537711042204921
"EFCAB3",0.139855416794913,0.352901074588997,0.560229325686248
"METTL2A",0.0448462826340029,0.707259506615861,0.832341114090375
"TLK2",-0.0437653611914773,0.264388084672393,0.472361180112499
"MARCH10",-0.268190715607075,0.106709836678324,0.275718994186362
"TANC2",0.0304128059935734,0.68694504387336,0.819238354517754
"CYB561",0.201499177323654,0.302510806276173,0.510932794244832
"DCAF7",-0.0887238926651747,0.126372066410213,0.304610512926544
"TACO1",-0.0604998104692934,0.588596846369559,0.751967136696343
