feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,class.power,grp
EFHD1,1,0.937993479,0.260956733,434816619,0.590502703,0,0,65.66283958,47.00203472,0.181005405,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PTGES3,1,0.446195128,0.191586235,433536360.5,0.588764048,0,0,40.67068198,21.8537599,0.177528095,APOE34 & APOE44 vs APOE33 (AD and nonAD)
OTUD7A,1,1.697474101,0.274912545,432921516,0.587929058,1.20E-273,2.52E-271,86.71811281,76.79553227,0.175858116,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NCKAP5,1,2.374890654,0.270730707,432768271,0.587720944,4.85E-271,9.99E-269,94.83970136,89.34152994,0.175441887,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PEX5L,1,2.379444421,0.272439956,431948545.5,0.586607715,3.02E-264,5.88E-262,95.2412322,89.48872246,0.173215431,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DST,1,2.273335905,0.227208401,431699463.5,0.58626945,3.80E-262,7.16E-260,96.56816613,92.02129962,0.172538899,APOE34 & APOE44 vs APOE33 (AD and nonAD)
P2RX7,1,1.117738105,0.253061343,431142806.5,0.585513482,3.12E-266,6.13E-264,75.32781228,57.8639768,0.171026963,APOE34 & APOE44 vs APOE33 (AD and nonAD)
LRRC63,1,0.487942141,0.204129529,430747223.5,0.58497626,0,0,39.86134638,22.05723191,0.16995252,APOE34 & APOE44 vs APOE33 (AD and nonAD)
IKZF2,1,0.554042282,0.194843772,429490013.5,0.583268906,0,0,46.43013991,28.12242954,0.166537812,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CHORDC1,1,0.280388591,0.158042973,429411393.5,0.583162136,0,0,28.60907209,11.48534569,0.166324272,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CPQ,1,0.990720685,0.247388778,429314599.5,0.583030685,7.66E-260,1.43E-257,67.0525127,49.51296593,0.16606137,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ARGLU1,1,0.996703722,0.23395309,429208966.5,0.58288723,1.05E-253,1.79E-251,71.67325428,53.79020737,0.16577446,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SLCO1A2,1,1.266811679,0.260337494,428995146.5,0.582596852,7.27E-246,1.21E-243,78.81297447,62.30572752,0.165193704,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DPYSL5,1,0.613156534,0.204864531,428971253,0.582564403,0,0,47.12340799,28.3518767,0.165128807,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ATXN1,1,1.624648098,0.260469477,428728123,0.582234221,5.13E-240,8.06E-238,85.41313759,74.64825317,0.164468441,APOE34 & APOE44 vs APOE33 (AD and nonAD)
RFTN2,1,1.185483742,0.257134227,428687829,0.582179499,5.00E-245,8.22E-243,76.78649853,59.11511321,0.164358999,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PCDH9,1,4.068402034,0.173850087,428453752,0.581861611,3.21E-236,4.83E-234,99.85883682,99.75756526,0.163723222,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ZNF708,1,0.667036887,0.199935305,428442248.5,0.581845989,6.59E-277,1.41E-274,54.76190476,36.42149011,0.163691978,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ADAMTSL3,1,0.440310427,0.193242793,428399981.5,0.581788588,0,0,36.21619926,19.06143123,0.163577176,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DYSF,1,0.821044003,0.23000147,428345264,0.581714279,7.90E-268,1.59E-265,57.89572746,40.01904844,0.163428558,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CDH20,1,1.835376104,0.27245772,427994097.5,0.581237377,1.24E-233,1.82E-231,88.00426627,78.1981904,0.162474755,APOE34 & APOE44 vs APOE33 (AD and nonAD)
IGF1R,1,0.850594354,0.234997585,427508959.5,0.580578536,5.38E-259,9.94E-257,58.29098438,41.14896749,0.161157071,APOE34 & APOE44 vs APOE33 (AD and nonAD)
KIZ,1,0.690547824,0.195937027,427327458.5,0.580332048,4.22E-263,8.04E-261,56.45586298,37.63366379,0.160664097,APOE34 & APOE44 vs APOE33 (AD and nonAD)
KANSL1L,1,0.595518689,0.190782326,427131672,0.58006616,2.46E-282,5.59E-280,49.03067947,30.96237932,0.160132321,APOE34 & APOE44 vs APOE33 (AD and nonAD)
FXR1,1,0.53497617,0.16984682,426370519,0.579032477,1.27E-278,2.81E-276,48.13037204,29.91904411,0.158064953,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SLC39A11,1,1.362425666,0.257680618,426353911.5,0.579009923,3.35E-224,4.38E-222,79.83562331,65.40109961,0.158019846,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ARHGAP22,1,0.491893954,0.182254032,426326842,0.578973161,0,0,40.78674948,23.67634963,0.157946322,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ANKRD18A,1,0.271861778,0.178037425,426146577.5,0.578728353,0,0,23.6934563,7.753582406,0.157456706,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NKTR,1,0.874709182,0.214975003,425716001,0.578143608,6.13E-232,8.79E-230,66.31532718,47.56482965,0.156287217,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ALDH3A2,1,0.326065185,0.156864486,425606974.5,0.577995545,0,0,31.0966811,14.76254383,0.15599109,APOE34 & APOE44 vs APOE33 (AD and nonAD)
HSPA1B,1,0.208049286,0.178003226,425319749.5,0.577605479,0,0,18.29788569,2.813974631,0.155210958,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SRRM2,1,0.773086686,0.197943765,425303906.5,0.577583964,3.78E-234,5.59E-232,62.63567351,43.43910992,0.155167927,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CHST3,1,0.359231537,0.154366709,425216808,0.577465679,0,0,34.21795596,17.65877311,0.154931359,APOE34 & APOE44 vs APOE33 (AD and nonAD)
GNAI1,1,0.942754398,0.219159232,425075264,0.577273456,1.70E-224,2.25E-222,67.92145053,50.08441924,0.154546911,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CAMK2N1,1,0.778307159,0.199827333,424634601.5,0.576675014,1.82E-230,2.56E-228,60.99190664,43.14039569,0.153350028,APOE34 & APOE44 vs APOE33 (AD and nonAD)
BCL6,1,0.309160283,0.15478214,424632393,0.576672015,0,0,29.47173599,13.524395,0.153344029,APOE34 & APOE44 vs APOE33 (AD and nonAD)
APLP1,1,1.289744864,0.236603985,424626563.5,0.576664098,4.08E-211,4.87E-209,79.85130811,65.89029828,0.153328196,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PAPOLA,1,0.450143767,0.155052968,424235756,0.576133362,2.54E-281,5.69E-279,42.22347701,25.0010823,0.152266724,APOE34 & APOE44 vs APOE33 (AD and nonAD)
MID1IP1,1,0.364999119,0.166486192,424129500.5,0.575989061,0,0,32.78750235,17.10463656,0.151978123,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SPOCK1,1,2.318629055,0.194808044,424094665,0.575941753,1.19E-203,1.30E-201,94.29073342,91.32862894,0.151883506,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PDS5B,1,0.651636908,0.186874146,423907394.5,0.57568743,1.89E-241,3.04E-239,52.49701989,35.32187541,0.151374861,APOE34 & APOE44 vs APOE33 (AD and nonAD)
KNOP1,1,0.664388854,0.188377246,423857040.5,0.575619047,2.95E-238,4.52E-236,53.60750361,36.43447768,0.151238094,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CLK1,1,0.494186014,0.152133091,423236445,0.574776247,2.74E-256,4.77E-254,46.03488299,28.33455994,0.149552495,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NDRG1,1,1.076213961,0.221253669,423229065.5,0.574766226,7.23E-205,8.04E-203,73.5146496,57.34880298,0.149532452,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ALCAM,1,1.660566788,0.249015251,423216080.5,0.574748591,1.81E-198,1.89E-196,86.64909969,75.33659466,0.149497183,APOE34 & APOE44 vs APOE33 (AD and nonAD)
JAKMIP3,1,0.457212151,0.156537354,423052145.5,0.57452596,4.42E-273,9.20E-271,41.31689566,24.55084636,0.149051919,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ANKRD12,1,1.135104379,0.229055555,422969847,0.574414194,1.86E-201,1.95E-199,76.03049125,59.47443612,0.148828388,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TLE4,1,0.952457417,0.222007197,422937287,0.574369976,1.13E-210,1.32E-208,64.87859966,48.7423698,0.148739952,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PIEZO2,1,1.189085582,0.238899857,422935881,0.574368067,1.85E-202,1.98E-200,73.09743397,58.81206979,0.148736133,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NKX6-2,1,0.856232414,0.201476384,422928364.5,0.574357859,7.66E-212,9.34E-210,64.32649476,47.09727694,0.148715718,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CADM2,1,3.047483098,0.26020814,422791233,0.574171627,2.58E-194,2.56E-192,97.34299517,93.7616347,0.148343255,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TOB2,1,0.416905122,0.146476441,422598761.5,0.573910241,3.97E-277,8.68E-275,39.58529393,22.97502056,0.147820483,APOE34 & APOE44 vs APOE33 (AD and nonAD)
RELN,1,0.272309453,0.162049736,422559596,0.573857053,0,0,23.8879478,8.805575999,0.147714105,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SH3TC2,1,0.884417322,0.204196431,422465272.5,0.573728957,3.45E-207,3.89E-205,64.95074973,48.45231395,0.147457913,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SORT1,1,1.546892651,0.229383291,422259751,0.573449848,9.02E-192,8.73E-190,86.24756886,75.03788043,0.146899696,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DOCK9,1,1.428279277,0.228861169,422037537,0.57314807,6.55E-191,6.21E-189,83.86975343,71.07666999,0.146296141,APOE34 & APOE44 vs APOE33 (AD and nonAD)
MAT2A,1,0.564824125,0.158699941,421775622.5,0.572792378,1.49E-229,2.07E-227,50.21958718,32.8109442,0.145584755,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NEO1,1,1.214634972,0.221620751,421616661.5,0.572576501,1.45E-190,1.37E-188,77.26331639,63.13260314,0.145153001,APOE34 & APOE44 vs APOE33 (AD and nonAD)
USP31,1,0.573587609,0.169328161,421589014,0.572538954,4.16E-233,6.06E-231,48.0174415,31.58145374,0.145077908,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PDK4,1,0.321345739,0.136723718,421398120.5,0.572279711,0,0,31.68015559,16.1955063,0.144559422,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ZSWIM6,1,1.673533857,0.237323168,421382835.5,0.572258953,1.61E-185,1.40E-183,86.63027793,76.50980562,0.144517906,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ARAP2,1,1.860500036,0.227201692,421314946,0.572166756,2.12E-184,1.80E-182,91.18828032,82.57933244,0.144333512,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ATP11A,1,0.841366135,0.195831074,420983805,0.57171705,2.54E-198,2.63E-196,63.06230002,46.63838261,0.1434341,APOE34 & APOE44 vs APOE33 (AD and nonAD)
MBNL1,1,0.993657722,0.213582273,420950458,0.571671763,6.73E-193,6.59E-191,67.51678273,51.95895926,0.143343526,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PPP4R2,1,0.529011603,0.152691816,420762182,0.571416075,1.91E-228,2.60E-226,47.4025974,30.49915581,0.142832149,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TTYH2,1,1.09739237,0.210883611,420734509.5,0.571378494,1.39E-185,1.22E-183,75.67287785,59.69955409,0.142756988,APOE34 & APOE44 vs APOE33 (AD and nonAD)
AFDN,1,0.652267283,0.171363836,420657610,0.571274061,9.06E-211,1.07E-208,53.98393877,37.19208624,0.142548121,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PRKX,1,0.240666093,0.156424686,420430110.5,0.570965105,0,0,21.49758454,7.169141521,0.14193021,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TBC1D5,1,1.295819674,0.222508621,420381252,0.570898753,3.22E-181,2.66E-179,78.49300458,65.53097537,0.141797505,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DLG1,1,2.012149857,0.215630579,420378494,0.570895007,7.66E-178,6.04E-176,93.2429889,86.71803974,0.141790014,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CHRM5,1,0.428606082,0.197319047,420039751,0.570434977,0,0,29.90463643,15.45521451,0.140869954,APOE34 & APOE44 vs APOE33 (AD and nonAD)
BNIP3L,1,0.621155422,0.172230979,419825750.5,0.570144354,1.13E-210,1.32E-208,50.60857017,34.81968916,0.140288708,APOE34 & APOE44 vs APOE33 (AD and nonAD)
LIFR,1,0.849667507,0.194013219,419811467.5,0.570124957,2.14E-190,2.01E-188,62.32825146,46.28338889,0.140249914,APOE34 & APOE44 vs APOE33 (AD and nonAD)
RASSF2,1,0.489194085,0.14578658,419604903.5,0.569844433,1.30E-227,1.76E-225,44.30641822,28.08346682,0.139688865,APOE34 & APOE44 vs APOE33 (AD and nonAD)
HIST1H2AC,1,0.332521497,0.13551629,419591952.5,0.569826844,1.40E-293,3.33E-291,31.68642951,16.65872982,0.139653689,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CDKN1C,1,0.349048618,0.132591791,419561640,0.569785679,5.63E-277,1.21E-274,33.92621871,18.63717044,0.139571357,APOE34 & APOE44 vs APOE33 (AD and nonAD)
HERC4,1,0.644768984,0.165529976,419551249,0.569771567,2.81E-203,3.03E-201,53.37536859,36.60331616,0.139543134,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ARHGAP21,1,1.929871803,0.200332303,419449698,0.569633656,1.06E-171,7.71E-170,92.0760399,85.63141262,0.139267312,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DOCK1,1,1.581250233,0.213780363,419393579,0.569557443,4.18E-172,3.06E-170,86.15973399,76.45352613,0.139114887,APOE34 & APOE44 vs APOE33 (AD and nonAD)
GPM6B,1,2.370538422,0.187550533,419349931,0.569498167,6.89E-171,4.92E-169,94.6420729,91.64033075,0.138996334,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ZNF706,1,0.554718954,0.149863409,419303395.5,0.56943497,1.61E-210,1.88E-208,49.38829287,32.58149703,0.138869939,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TBCD,1,0.458054321,0.150400617,419207057,0.569304137,4.63E-238,7.03E-236,40.36325993,24.97077796,0.138608274,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CDK18,1,1.453960932,0.217267168,419139839.5,0.569212852,5.36E-171,3.85E-169,83.96386222,72.39707347,0.138425705,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SPOCK3,1,2.183043877,0.216870776,419017326,0.569046473,9.62E-169,6.65E-167,94.3315139,88.3631326,0.138092946,APOE34 & APOE44 vs APOE33 (AD and nonAD)
HNRNPU,1,0.672190626,0.16399832,418820650.5,0.568779378,1.45E-191,1.39E-189,56.86366773,39.6770423,0.137558756,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SEMA4B,1,0.196568508,0.129014622,418789954.5,0.568737691,0,0,20.07654182,6.086843586,0.137475382,APOE34 & APOE44 vs APOE33 (AD and nonAD)
LINGO1,1,0.568004517,0.163513378,418611013.5,0.56849468,4.18E-214,5.23E-212,45.72432399,29.74154725,0.136989361,APOE34 & APOE44 vs APOE33 (AD and nonAD)
RHOBTB3,1,0.48928641,0.156701573,418427064.5,0.568244868,4.50E-226,5.98E-224,41.38904574,26.39075285,0.136489737,APOE34 & APOE44 vs APOE33 (AD and nonAD)
KIAA1958,1,0.690891412,0.168293524,418393897,0.568199825,1.57E-191,1.50E-189,54.79327436,38.16615438,0.13639965,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ELF2,1,1.135821939,0.210643121,418243664.5,0.567995802,5.44E-169,3.78E-167,74.48083318,59.52205723,0.135991604,APOE34 & APOE44 vs APOE33 (AD and nonAD)
RPS6KA5,1,0.754566894,0.178379438,418179244,0.567908316,1.08E-184,9.27E-183,57.6824142,41.77670029,0.135816631,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NTRK2,1,0.568484337,0.168545225,418172576,0.56789926,1.38E-212,1.69E-210,44.59501851,29.63331746,0.135798521,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TPTEP2-CSNK1E,1,0.414401759,0.131993967,417739335,0.567310897,8.04E-232,1.14E-229,38.72263003,23.3213559,0.134621795,APOE34 & APOE44 vs APOE33 (AD and nonAD)
KDM6A,1,1.006174785,0.197323515,417458720.5,0.566929809,1.07E-166,7.17E-165,69.69069578,54.6127538,0.133859618,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DNAJB6,1,0.402596608,0.130943491,417321911.5,0.566744015,3.15E-229,4.34E-227,38.26777088,23.29105156,0.133488031,APOE34 & APOE44 vs APOE33 (AD and nonAD)
HTRA1,1,0.798416103,0.174909062,417295732.5,0.566708463,5.51E-173,4.08E-171,62.16512956,45.46084246,0.133416926,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ATG4B,1,0.399551576,0.124333884,417261657,0.566662187,1.73E-228,2.36E-226,38.49676893,23.07026278,0.133324373,APOE34 & APOE44 vs APOE33 (AD and nonAD)
AMER2,1,1.352503092,0.218845694,417128485,0.566481332,9.06E-159,5.45E-157,81.40410314,67.67825447,0.132962665,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ADAM10,1,0.824882996,0.179009871,417015454,0.566327831,1.06E-170,7.49E-169,62.26551227,46.04528335,0.132655662,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TBC1D12,1,0.634167461,0.15728636,416964163.5,0.566258176,6.16E-187,5.52E-185,51.27674258,35.33919217,0.132516351,APOE34 & APOE44 vs APOE33 (AD and nonAD)
MXI1,1,0.800674823,0.174186325,416928092.5,0.566209189,5.27E-171,3.80E-169,61.61929858,45.0192649,0.132418379,APOE34 & APOE44 vs APOE33 (AD and nonAD)
BOK,1,0.44136034,0.127118814,416840569,0.566090328,5.34E-213,6.60E-211,41.44551101,25.76734924,0.132180656,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CREBRF,1,0.399321616,0.128809677,416823877,0.56606766,4.70E-227,6.28E-225,37.71252902,22.81051128,0.132135319,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CORO2B,1,0.588861287,0.149740827,416654672,0.565837871,1.24E-189,1.15E-187,48.94598155,33.03606217,0.131675742,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SUN2,1,1.012671449,0.191289053,416458372.5,0.565571286,4.39E-159,2.69E-157,71.46307798,55.88553617,0.131142572,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DHCR24,1,0.254150794,0.117836952,416367343.5,0.565447664,0,0,25.78894535,11.96155678,0.130895329,APOE34 & APOE44 vs APOE33 (AD and nonAD)
FDFT1,1,0.506379508,0.143149566,416215701.5,0.565241727,3.52E-198,3.61E-196,44.00527009,29.04021819,0.130483454,APOE34 & APOE44 vs APOE33 (AD and nonAD)
B3GAT1,1,0.610496851,0.14554685,416178543.5,0.565191264,5.05E-178,4.00E-176,53.05539871,36.65526646,0.130382529,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PWWP2A,1,0.627429302,0.147882265,415916289,0.56483511,2.59E-175,2.01E-173,53.46320346,37.1574527,0.129670219,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DSCAML1,1,1.511044965,0.220577527,415745425.5,0.564603069,1.83E-149,9.89E-148,82.92239162,71.23685008,0.129206137,APOE34 & APOE44 vs APOE33 (AD and nonAD)
FOXP1,1,1.052367436,0.197901855,415708298.5,0.564552648,3.18E-155,1.84E-153,69.42405421,54.92012641,0.129105296,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DPYD,1,1.993875486,0.188389519,415651726.5,0.564475821,1.64E-147,8.63E-146,91.25729343,86.10329451,0.128951641,APOE34 & APOE44 vs APOE33 (AD and nonAD)
BCL2,1,0.621822818,0.179485186,415649312.5,0.564472542,2.51E-194,2.50E-192,43.28376937,29.43850383,0.128945085,APOE34 & APOE44 vs APOE33 (AD and nonAD)
LAMP2,1,1.386089054,0.204787849,415625373,0.564440031,5.71E-149,3.07E-147,81.86209925,70.08961427,0.128880063,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ZNF704,1,1.016739498,0.193585187,415621836,0.564435228,3.52E-155,2.03E-153,69.06016689,53.58240616,0.128870456,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CA2,1,0.579774437,0.155199224,415559927.5,0.564351153,6.80E-186,5.97E-184,46.45523559,31.78925495,0.128702306,APOE34 & APOE44 vs APOE33 (AD and nonAD)
KCNJ2,1,0.344574817,0.118514549,415427856.5,0.564171794,4.34E-232,6.27E-230,33.92621871,19.63721373,0.128343588,APOE34 & APOE44 vs APOE33 (AD and nonAD)
