gene_name,anno,grp2,logFC,padj,p.signif
LBR,Cholesterol,E34_E33_noAD,0.065762837,2.6e-140,***
NR1H2,Cholesterol,E4+_E33_ALL,0.026311966,8.97e-63,***
NR1H2,Cholesterol,E34_E33_AD,0.00920386,0.034921233,*
NR1H2,Cholesterol,E34_E33_noAD,0.038739883,3.6e-90,***
IRS2,Cholesterol,E4+_E33_ALL,0.097089161,4.219999999999999e-183,***
IRS2,Cholesterol,E34_E33_AD,-0.005493745,1,
IRS2,Cholesterol,E34_E33_noAD,0.155279083,9.92e-290,***
LPIN2,Cholesterol,E4+_E33_ALL,0.044720417,1.64e-113,***
LPIN2,Cholesterol,E34_E33_AD,0.018987229,6.08e-5,***
LPIN2,Cholesterol,E34_E33_noAD,0.064240705,2.6999999999999996e-156,***
PLLP,Myelination,E4+_E33_ALL,-0.154232939,3.97e-132,***
PLLP,Myelination,E34_E33_AD,-0.049717507,7.82e-5,***
PLLP,Myelination,E34_E33_noAD,-0.198441926,2.9399999999999997e-133,***
MYRF,Myelination,E4+_E33_ALL,-0.113201544,5.249999999999999e-88,***
MYRF,Myelination,E34_E33_AD,-0.037710655,0.003298662,***
MYRF,Myelination,E34_E33_noAD,-0.145091682,4.27e-102,***
MAG,Myelination,E4+_E33_ALL,-0.125411824,4.3999999999999995e-89,***
MAG,Myelination,E34_E33_AD,0.031452962,0.015681301,*
MAG,Myelination,E34_E33_noAD,-0.20141427,3e-136,***
OPALIN,Myelination,E4+_E33_ALL,-0.110211119,7.46e-50,***
OPALIN,Myelination,E34_E33_AD,-0.062726573,1.22e-6,***
OPALIN,Myelination,E34_E33_noAD,-0.119669574,1.0800000000000001e-27,***
SREBF1,Sterol tf,E4+_E33_ALL,-0.067411016,7.71e-10,***
SREBF1,Sterol tf,E34_E33_AD,-0.012473294,0.688642735,
SREBF1,Sterol tf,E34_E33_noAD,-0.103464002,2.08e-12,***
PLP1,Myelination,E4+_E33_ALL,-0.02735648,1.98e-7,***
PLP1,Myelination,E34_E33_AD,-0.258087033,9.32e-48,***
PLP1,Myelination,E34_E33_noAD,0.083919409,4.96e-53,***
SCAP,Cholesterol,E4+_E33_ALL,-0.015739169,4.62166e-4,***
SCAP,Cholesterol,E34_E33_AD,-0.005490862,0.699400774,
SCAP,Cholesterol,E34_E33_noAD,-0.013855431,5.85e-13,***
MVK,Cholesterol,E4+_E33_ALL,0.02277593,1.02e-50,***
MVK,Cholesterol,E34_E33_AD,0.034673095,5.72e-12,***
MVK,Cholesterol,E34_E33_noAD,0.02095044,3.9099999999999996e-48,***
FDPS,Cholesterol,E4+_E33_ALL,0.034652686,1.17e-53,***
FDPS,Cholesterol,E34_E33_AD,0.027637012,7.81698e-4,***
FDPS,Cholesterol,E34_E33_noAD,0.029210796,5.17e-52,***
ABCG1,Cholesterol,E4+_E33_ALL,0.040832945,3.93e-43,***
ABCG1,Cholesterol,E34_E33_AD,-0.022269038,0.06331166,
ABCG1,Cholesterol,E34_E33_noAD,0.076142087,3.32e-83,***
HMGCS1,Cholesterol,E4+_E33_ALL,0.044181952,3.63e-88,***
HMGCS1,Cholesterol,E34_E33_AD,0.042387531,9.67e-14,***
HMGCS1,Cholesterol,E34_E33_noAD,0.038401275,3.72e-69,***
IDI1,Cholesterol,E4+_E33_ALL,0.054396713,1.6500000000000001e-105,***
IDI1,Cholesterol,E34_E33_AD,0.046078394,3.97e-13,***
IDI1,Cholesterol,E34_E33_noAD,0.040187357,3.86e-75,***
LDLR,Cholesterol,E4+_E33_ALL,0.056370661,2.06e-131,***
LDLR,Cholesterol,E34_E33_AD,0.040333853,1.45e-12,***
LDLR,Cholesterol,E34_E33_noAD,0.049895507,9.890000000000001e-105,***
INSIG1,Cholesterol,E4+_E33_ALL,0.062694336,1.9e-94,***
INSIG1,Cholesterol,E34_E33_AD,0.043188271,6.39e-10,***
INSIG1,Cholesterol,E34_E33_noAD,0.050117803,4.37e-67,***
SREBF2,Sterol tf,E4+_E33_ALL,0.058382556,4.42e-19,***
SREBF2,Sterol tf,E34_E33_AD,0.043128784,0.00147766,***
SREBF2,Sterol tf,E34_E33_noAD,0.084699045,8.8e-22,***
SQLE,Cholesterol,E4+_E33_ALL,0.064007241,4.76e-127,***
SQLE,Cholesterol,E34_E33_AD,0.072938408,2.3800000000000002e-29,***
SQLE,Cholesterol,E34_E33_noAD,0.048485903,2.3400000000000002e-86,***
DHCR7,Cholesterol,E4+_E33_ALL,0.071532281,3.2e-214,***
DHCR7,Cholesterol,E34_E33_AD,0.048110921,1.61e-19,***
DHCR7,Cholesterol,E34_E33_noAD,0.078064342,3.05e-214,***
DHCR24,Cholesterol,E4+_E33_ALL,0.117836952,0,***
DHCR24,Cholesterol,E34_E33_AD,0.073460265,2.8099999999999998e-30,***
DHCR24,Cholesterol,E34_E33_noAD,0.152442373,0,***
FDFT1,Cholesterol,E4+_E33_ALL,0.143149566,3.6099999999999994e-196,***
FDFT1,Cholesterol,E34_E33_AD,0.062505494,1.17e-8,***
FDFT1,Cholesterol,E34_E33_noAD,0.174365103,2.62e-212,***
LSS,Cholesterol,E4+_E33_ALL,0.125185579,3.72e-102,***
LSS,Cholesterol,E34_E33_AD,0.194448888,2.0300000000000002e-71,***
LSS,Cholesterol,E34_E33_noAD,0.102884433,2.5299999999999998e-48,***
