Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7
ENSG00000228594,FNDC10,11,-2.1933,0,-6.7147,1,-5.6219,64,0.48191,142,2.09700,60,0.45935
ENSG00000197530,MIB2,11,-2.1072,30,-0.6858,55,0.31546,41,-0.1690,65,0.61416,58,0.52150
ENSG00000215790,SLC35E2A,11,-1.2212,0,-6.1908,32,0.41029,37,0.67452,3,-2.9688,46,1.42997
ENSG00000078369,GNB1,288,-0.4382,95,-2.1445,144,-1.5193,414,0.16121,584,0.77404,554,0.85808
ENSG00000187730,GABRD,130,-0.0952,0,-8.6231,11,-3.7568,114,-0.3022,295,1.40912,205,0.89498
ENSG00000067606,PRKCZ,11,-4.1335,65,-1.6109,112,-0.7817,285,0.79951,163,-0.1722,315,1.30328
ENSG00000162585,FAAP20,11,-2.7487,63,-0.1790,99,0.59604,76,0.14730,109,0.77498,66,-0.1238
ENSG00000157933,SKI,11,-1.5486,0,-6.4952,50,0.81601,43,0.55538,19,-0.7919,47,0.93204
ENSG00000157916,RER1,298,2.34869,36,-1.4992,59,-0.7173,38,-1.4140,52,-0.9198,82,-0.2376
ENSG00000157870,PRXL2B,11,-2.6452,0,-7.5142,88,0.51715,78,0.30000,138,1.36124,71,0.17090
ENSG00000158109,TPRG1L,176,0.02265,0,-7.6728,128,-0.4975,153,-0.2073,137,-0.3972,311,1.38156
ENSG00000130764,LRRC47,11,-2.8328,7,-3.5770,73,-0.0235,48,-0.7010,136,1.08448,122,1.13914
ENSG00000196581,AJAP1,12,-2.2922,36,-0.6010,7,-2.9961,26,-1.0800,204,2.92390,39,-0.5371
ENSG00000069424,KCNAB2,297,0.46743,0,-8.0807,83,-1.5934,254,0.19485,234,0.05951,358,1.04157
ENSG00000116254,CHD5,160,0.18801,0,-8.6827,69,-1.1682,199,0.57637,101,-0.5657,236,1.15282
ENSG00000116251,RPL22,719,-0.2200,1630,1.24842,1920,1.58961,471,-0.8981,340,-1.4058,333,-1.6100
ENSG00000116237,ICMT,11,-1.9614,4,-3.3264,136,2.41007,14,-1.6489,2,-4.2026,60,0.81741
ENSG00000097021,ACOT7,45,-2.3554,46,-2.3156,57,-1.9890,120,-0.8612,227,0.18175,467,2.23247
ENSG00000007923,DNAJC11,11,-1.8122,22,-0.8271,39,0.10045,33,-0.1753,3,-3.5336,75,1.75460
ENSG00000171735,CAMTA1,68,-0.9191,19,-2.8533,159,0.47127,152,0.40190,60,-1.1190,193,1.07337
ENSG00000049245,VAMP3,414,2.74249,248,1.47312,57,-1.0708,18,-2.7530,24,-2.3729,10,-3.8174
ENSG00000116288,PARK7,268,-0.2041,136,-1.2719,291,-0.0630,305,0.01245,365,0.31981,376,0.46255
ENSG00000162426,SLC45A1,40,0.26608,14,-1.4167,4,-3.2101,18,-1.0522,43,0.38381,61,1.34258
ENSG00000142599,RERE,60,-0.7027,43,-1.1984,88,-0.0721,66,-0.5392,213,1.56223,87,-0.1142
ENSG00000074800,ENO1,28,-4.3470,126,-2.1502,690,0.56057,430,-0.2501,723,0.64403,750,0.90847
ENSG00000171603,CLSTN1,11,-5.6533,101,-2.5256,380,-0.5037,261,-1.0958,704,0.53897,1077,1.88350
ENSG00000178585,CTNNBIP1,11,-2.0479,70,0.84297,50,0.21902,47,0.13175,35,-0.3581,46,0.09376
ENSG00000162441,LZIC,11,-1.7754,104,2.04960,52,0.61467,34,-0.1251,1,-4.6486,26,-0.6527
ENSG00000130939,UBE4B,11,-1.3772,0,-6.3219,37,0.47486,18,-0.7023,2,-3.4395,63,2.16154
ENSG00000054523,KIF1B,11,-4.5299,271,0.22203,142,-0.8291,232,-0.0348,351,0.68328,327,0.69632
ENSG00000142657,PGD,11,-2.0207,32,-0.4725,9,-2.3864,34,-0.3568,20,-1.2301,96,2.15783
ENSG00000241563,CORT,13207,7.32453,0,-12.450,1,-10.843,71,-4.9810,276,-3.0165,72,-5.2318
ENSG00000120948,TARDBP,11,-2.6059,101,0.80450,74,0.24825,31,-1.1476,18,-1.9556,105,1.15717
ENSG00000116649,SRM,11,-3.5148,15,-3.1081,161,0.53032,85,-0.5469,288,1.66711,135,0.26191
ENSG00000198793,MTOR,11,-1.3772,10,-1.5140,11,-1.4828,34,0.34894,35,0.39805,46,1.16665
ENSG00000116661,FBXO2,11,-4.5024,45,-2.5332,293,0.39297,275,0.28426,455,1.21219,276,0.35123
ENSG00000132879,FBXO44,11,-3.4985,52,-1.2816,9,-3.7580,130,0.18659,106,-0.1581,254,2.02669
ENSG00000011021,CLCN6,11,-1.5727,0,-6.1308,1,-5.0150,44,0.55998,4,-2.9776,81,2.69510
ENSG00000116685,KIAA2013,161,2.25810,41,-0.3624,24,-1.1837,13,-2.0801,3,-4.3002,59,0.28043
ENSG00000116688,MFN2,11,-2.9973,50,-0.8043,91,0.16904,56,-0.6389,84,0.02471,143,1.28135
ENSG00000048707,VPS13D,87,0.67769,51,-0.2260,60,0.05018,17,-1.9036,54,-0.1391,71,0.38762
ENSG00000116731,PRDM2,11,-2.0097,41,-0.0565,5,-3.1427,53,0.36566,45,0.10998,71,1.17397
ENSG00000189337,KAZN,11,-2.6567,65,-0.0130,43,-0.6892,25,-1.5051,209,2.31289,53,-0.4183
ENSG00000142634,EFHD2,11,-3.2539,75,-0.4626,137,0.56869,72,-0.5207,8,-3.7872,194,1.67411
ENSG00000116786,PLEKHM2,11,-3.1481,48,-1.0328,82,-0.1794,108,0.26915,133,0.64504,130,0.76052
ENSG00000159363,ATP13A2,12,-3.6112,10,-3.7985,60,-1.2542,117,-0.2016,180,0.53783,272,1.83509
ENSG00000117118,SDHB,11,-2.9228,6,-3.7148,60,-0.4389,50,-0.7336,220,1.98706,101,0.53875
ENSG00000117115,PADI2,91,-0.5365,575,3.46244,122,-0.0591,49,-1.5050,33,-2.0889,8,-4.4212
ENSG00000117154,IGSF21,11,-2.1308,32,-0.5971,31,-0.6503,55,0.28976,1,-4.9887,96,1.86867
ENSG00000053372,MRTO4,61,1.14517,0,-6.4379,23,-0.4974,36,0.19980,28,-0.2380,38,0.35639
ENSG00000053371,AKR7A2,342,2.91291,21,-2.1987,54,-0.7732,39,-1.2876,90,0.05321,33,-1.7212
ENSG00000077549,CAPZB,337,0.63367,136,-0.8758,228,-0.0407,153,-0.6937,225,-0.0670,279,0.37254
ENSG00000173436,MICOS10,158,-0.9839,362,0.37778,367,0.39962,258,-0.2019,287,-0.0222,302,0.07542
ENSG00000158747,NBL1,81,-1.5073,55,-2.0884,172,-0.3323,213,0.02634,391,1.11925,279,0.61006
ENSG00000162545,CAMK2N1,290,-1.5563,740,-0.0739,392,-1.0919,1092,0.59955,616,-0.3763,1142,0.86660
ENSG00000158828,PINK1,300,-0.3323,252,-0.6180,175,-1.1871,382,0.06697,442,0.31877,509,0.71408
ENSG00000127483,HP1BP3,507,1.89907,93,-1.1395,200,0.09797,126,-0.6565,81,-1.3421,157,-0.3596
ENSG00000075151,EIF4G3,59,-0.9264,37,-1.6363,160,0.75076,64,-0.7947,89,-0.2507,160,0.96784
ENSG00000076864,RAP1GAP,11,-3.7158,39,-1.9461,105,-0.4179,87,-0.7205,181,0.49649,263,1.62825
ENSG00000090686,USP48,11,-2.1905,53,0.16224,42,-0.2166,21,-1.2746,115,1.63491,46,-0.0648
ENSG00000070831,CDC42,1027,2.23447,166,-1.1179,129,-1.5091,113,-1.7067,348,0.07059,276,-0.3706
ENSG00000004487,KDM1A,238,2.10849,0,-7.8680,26,-1.7724,22,-2.0209,142,0.99575,70,-0.2963
ENSG00000169641,LUZP1,11,-1.7388,0,-6.6810,1,-5.1743,40,0.22587,49,0.55129,73,1.82803
ENSG00000125944,HNRNPR,11,-3.1346,77,-0.2822,33,-1.6136,59,-0.7040,262,2.06057,98,0.14232
ENSG00000142676,RPL11,1706,0.80313,2360,1.44148,1926,1.03324,506,-1.2166,329,-1.8725,372,-1.8754
ENSG00000057757,PITHD1,11,-3.7605,50,-1.6314,54,-1.4925,111,-0.3880,264,1.14002,245,1.31775
ENSG00000011009,LYPLA2,74,0.50488,10,-2.5887,154,1.99132,36,-0.6926,1,-5.2375,55,-0.0026
ENSG00000189266,PNRC2,89,1.46423,31,-0.4483,58,0.61862,25,-0.7375,5,-3.0668,37,-0.1720
ENSG00000188529,SRSF10,125,1.53598,5,-3.5585,114,1.33825,30,-0.9321,1,-5.1815,53,-0.0489
ENSG00000001461,NIPAL3,11,-2.9845,260,2.29435,112,0.52879,34,-1.4021,7,-3.7310,76,-0.1571
ENSG00000133226,SRRM1,11,-2.5371,228,2.78670,80,0.47979,36,-0.8536,1,-5.3901,34,-1.0683
ENSG00000117614,SYF2,11,-2.4485,82,0.63882,86,0.72093,40,-0.5778,76,0.50624,51,-0.2099
ENSG00000183726,TMEM50A,11,-2.5555,63,0.04064,172,1.97876,44,-0.5601,6,-3.4711,68,0.18947
ENSG00000162430,SELENON,403,2.87846,44,-1.3577,147,0.59233,43,-1.3924,5,-4.4679,44,-1.5489
ENSG00000117640,MTFR1L,11,-2.8066,57,-0.4110,44,-0.8052,51,-0.5870,160,1.43955,94,0.53600
ENSG00000117632,STMN1,903,-0.1765,727,-0.5307,336,-1.7307,640,-0.7343,1322,0.47544,1550,0.98011
ENSG00000158008,EXTL1,11,-1.3714,0,-6.3272,3,-3.2134,53,1.17384,2,-3.4592,62,2.09943
ENSG00000142684,ZNF593,74,1.10090,0,-6.8432,92,1.54636,45,0.22192,8,-2.4322,30,-0.5456
ENSG00000142669,SH3BGRL3,517,1.22534,135,-1.0721,192,-0.5158,204,-0.4213,247,-0.1099,274,0.08086
ENSG00000198830,HMGN2,592,1.95700,153,-0.5533,339,0.79911,114,-1.0270,125,-0.8746,91,-1.5334
ENSG00000117713,ARID1A,11,-2.2525,57,0.20675,43,-0.2423,33,-0.6797,120,1.63218,43,-0.2900
ENSG00000090273,NUDC,11,-3.6261,134,0.07961,227,1.03052,107,-0.2890,89,-0.5953,162,0.51407
ENSG00000253368,TRNP1,11,-2.7071,11,-2.7916,32,-1.2021,68,0.00871,93,0.53285,130,1.58920
ENSG00000142784,WDTC1,85,1.06458,0,-7.0740,72,0.76320,44,-0.0904,16,-1.6929,55,0.33534
ENSG00000186501,TMEM222,12,-2.6661,74,0.09543,16,-2.2663,68,-0.0505,99,0.61650,109,1.01864
ENSG00000126705,AHDC1,207,2.78699,0,-6.8961,23,-1.3777,24,-1.3215,10,-2.5332,60,0.18695
ENSG00000126709,IFI6,212,0.71903,97,-0.6122,266,1.15141,89,-0.7349,56,-1.4549,132,-0.1285
ENSG00000117758,STX12,185,1.29843,62,-0.6230,28,-1.8594,74,-0.3456,54,-0.8327,116,0.53036
ENSG00000117748,RPA2,11,-2.5118,0,-7.4208,68,0.22840,33,-0.9555,219,2.71348,43,-0.6255
ENSG00000126698,DNAJC8,295,1.73377,56,-1.1912,160,0.53107,84,-0.5451,6,-4.3530,112,-0.1082
ENSG00000130770,ATP5IF1,826,0.86948,132,-2.1016,273,-0.9930,335,-0.6721,846,0.91474,563,0.22225
ENSG00000198492,YTHDF2,11,-1.9712,9,-2.3047,26,-0.7225,40,-0.0368,6,-2.7730,98,2.35206
ENSG00000116350,SRSF4,104,1.17289,50,-0.1283,95,1.00541,22,-1.4023,38,-0.5738,35,-0.8283
ENSG00000116353,MECR,11,-1.4343,15,-0.9947,5,-2.5693,26,-0.1489,40,0.54878,52,1.38383
ENSG00000162511,LAPTM5,234,1.37466,186,0.92269,288,1.81812,39,-1.6450,2,-5.5054,13,-3.5179
ENSG00000162512,SDC3,81,-0.6220,71,-0.8363,110,-0.1393,121,0.01955,112,-0.0977,170,0.77415
ENSG00000134644,PUM1,321,1.76567,43,-1.6932,41,-1.7697,60,-1.1909,147,0.25882,136,0.15656
ENSG00000121766,ZCCHC17,431,2.03457,80,-1.0259,36,-2.2194,107,-0.5681,179,0.28623,113,-0.5544
ENSG00000121769,FABP3,11,-3.2811,0,-8.1721,18,-2.6013,100,-0.0196,62,-0.7850,257,2.73093
ENSG00000162517,PEF1,95,0.54341,33,-1.1876,59,-0.2677,59,-0.2551,27,-1.5009,106,0.95432
ENSG00000121753,ADGRB2,102,-0.9306,34,-2.5662,94,-1.0560,224,0.36246,79,-1.3134,368,1.77998
ENSG00000184007,PTP4A2,19,-4.3989,1507,3.27162,363,0.06994,175,-1.1084,63,-2.6376,157,-1.4380
ENSG00000121774,KHDRBS1,97,-0.1969,40,-1.5649,158,0.64799,88,-0.3564,168,0.75847,106,-0.0584
ENSG00000025800,KPNA6,114,1.65156,33,-0.5710,18,-1.5356,27,-0.8742,18,-1.5059,60,0.50637
ENSG00000084623,EIF3I,11,-3.1682,49,-1.0237,184,1.22636,76,-0.3372,43,-1.2189,145,0.98638
ENSG00000175130,MARCKSL1,15,-4.4080,743,1.79016,560,1.19306,177,-0.7993,216,-0.4833,159,-1.1059
ENSG00000160058,BSDC1,11,-1.8678,48,0.38631,17,-1.3055,41,0.10198,1,-4.5052,76,1.64217
ENSG00000176261,ZBTB8OS,11,-1.9461,40,-0.0490,59,0.62923,45,0.16821,26,-0.7346,52,0.52967
ENSG00000162521,RBBP4,11,-2.6662,20,-1.8228,119,1.04576,35,-1.0003,121,1.07147,78,0.34644
ENSG00000134684,YARS,11,-2.9243,21,-2.0787,99,0.39631,44,-0.9267,57,-0.5397,160,1.77105
ENSG00000121905,HPCA,11,-4.1694,0,-9.0567,91,-1.1336,195,0.08354,219,0.28518,390,1.91294
ENSG00000121900,TMEM54,11,-2.3330,15,-1.9426,31,-0.8500,53,0.00135,163,2.23297,48,-0.1907
ENSG00000142920,AZIN2,11,-1.4362,33,0.22431,34,0.27477,12,-1.3940,1,-4.3234,55,1.57256
ENSG00000134686,PHC2,113,0.56181,84,0.05765,72,-0.1997,40,-1.1259,120,0.67294,70,-0.2852
ENSG00000163866,SMIM12,11,-1.7286,5,-2.9565,39,0.17317,30,-0.2450,17,-1.1514,72,1.78650
ENSG00000116544,DLGAP3,103,1.00192,0,-7.3963,5,-3.6047,108,1.09971,52,-0.1924,70,0.39563
ENSG00000116560,SFPQ,11,-3.3985,165,0.72011,80,-0.5034,62,-0.9066,148,0.52751,148,0.66739
ENSG00000142687,KIAA0319L,11,-2.1366,9,-2.5235,19,-1.3864,42,-0.1732,111,1.64126,66,0.76424
ENSG00000020129,NCDN,174,-1.2747,0,-10.087,307,-0.3801,326,-0.2820,366,-0.0873,765,1.70346
ENSG00000126067,PSMB2,279,1.53149,38,-1.8086,85,-0.5868,69,-0.9106,72,-0.8553,156,0.51536
ENSG00000142686,C1orf216,11,-2.8849,0,-7.7908,26,-1.6802,91,0.29558,110,0.63041,149,1.62797
ENSG00000092847,AGO1,11,-1.1265,29,0.33541,24,0.02395,31,0.45163,1,-4.0305,34,0.82486
ENSG00000054116,TRAPPC3,220,2.27848,0,-7.6548,43,-0.7880,32,-1.2370,45,-0.7162,75,0.13996
ENSG00000116871,MAP7D1,497,1.29130,221,-0.1730,193,-0.3949,168,-0.6118,200,-0.3353,217,-0.2326
ENSG00000054118,THRAP3,11,-2.3642,113,1.35594,54,8.45477,61,0.21422,6,-3.2696,66,0.41446
ENSG00000181817,LSM10,337,2.66190,41,-1.2940,47,-1.0906,33,-1.6342,54,-0.8680,70,-0.5394
ENSG00000116898,MRPS15,87,1.04745,0,-7.1328,64,0.48219,43,-0.1934,21,-1.3261,62,0.51814
ENSG00000163875,MEAF6,104,0.49199,29,-1.5479,38,-1.1547,49,-0.7429,59,-0.4653,134,1.25417
ENSG00000185090,MANEAL,11,-1.0706,0,-6.0476,8,-1.6807,25,0.14962,3,-3.0470,56,2.53575
ENSG00000197982,C1orf122,11,-4.5829,517,1.35789,249,0.01599,233,-0.0922,267,0.13638,224,-0.1906
ENSG00000174574,AKIRIN1,11,-2.0566,20,-1.2337,47,0.13670,55,0.38167,1,-4.8607,86,1.64844
ENSG00000168653,NDUFS5,183,-1.3446,233,-0.9731,287,-0.6455,461,0.13520,520,0.34085,649,0.94389
ENSG00000127603,MACF1,73,-0.9181,126,-0.0264,224,0.99140,86,-0.6492,135,0.08940,127,-0.0209
ENSG00000090621,PABPC4,11,-3.0627,192,1.46015,114,0.46811,64,-0.4922,136,0.78380,45,-1.1828
ENSG00000116983,HPCAL4,11,-4.3404,0,-9.2288,40,-2.5561,345,0.88975,341,0.86749,362,1.29238
ENSG00000131236,CAP1,85,-0.4724,70,-0.7753,123,0.13695,73,-0.7141,137,0.31989,153,0.64442
ENSG00000131238,PPT1,226,1.21115,11,-3.5759,76,-0.6815,88,-0.4576,126,0.14133,142,0.42977
ENSG00000084070,SMAP2,11,-3.2141,39,-1.4163,98,0.02715,108,0.19656,37,-1.4884,190,1.68140
ENSG00000117016,RIMS3,208,1.60710,0,-7.9902,1,-6.4864,99,0.19550,55,-0.7510,127,0.79900
ENSG00000066136,NFYC,11,-1.7544,7,-2.5430,16,-1.2849,18,-1.1218,100,1.98104,49,0.69546
ENSG00000198815,FOXJ3,11,-1.7254,0,-6.6709,60,0.95030,32,-0.1303,8,-2.2893,67,1.56297
ENSG00000177181,RIMKLA,11,-1.2829,0,-6.2497,1,-4.7381,21,-0.3261,45,0.95267,52,1.70660
ENSG00000127125,PPCS,11,-2.1740,33,-0.5718,105,1.45977,40,-0.2763,8,-2.7224,67,0.75874
ENSG00000065978,YBX1,502,1.97459,156,-0.2415,317,1.00455,79,-1.3273,110,-0.8031,51,-2.1898
ENSG00000117394,SLC2A1,533,2.40741,27,-2.7308,440,1.92435,52,-1.7690,36,-2.3317,22,-3.2597
ENSG00000117395,EBNA1BP2,11,-2.4375,12,-2.3848,45,-0.3708,37,-0.6837,95,0.90574,99,1.28211
ENSG00000066322,ELOVL1,11,-2.7730,274,2.86922,129,1.07212,6,-3.6492,60,-0.2650,8,-3.5646
ENSG00000142949,PTPRF,11,-3.3221,34,-1.7249,136,0.46885,78,-0.4713,125,0.32400,170,1.13843
ENSG00000126091,ST3GAL3,92,1.17232,1,-5.4654,3,-4.0850,51,0.09945,37,-0.4303,76,1.04341
ENSG00000117408,IPO13,11,-2.5044,124,1.34712,47,-0.3820,49,-0.3046,71,0.30705,56,-0.1095
ENSG00000117410,ATP6V0B,137,-1.6659,132,-1.7210,266,-0.6444,213,-0.9910,715,1.06963,647,1.14343
ENSG00000117411,B4GALT2,99,0.28251,21,-2.1278,106,0.41217,107,0.42383,63,-0.4635,94,0.25187
ENSG00000178028,DMAP1,11,-2.3664,16,-1.9051,62,0.23504,57,0.09626,98,1.06537,67,0.44328
ENSG00000117419,ERI3,11,-3.7026,92,-0.6239,95,-0.5725,175,0.44786,142,0.09467,214,1.04803
ENSG00000187147,RNF220,11,-3.1242,61,-0.6450,77,-0.2630,83,-0.1431,51,-0.9248,175,1.61811
ENSG00000142937,RPS8,1535,-0.0195,2800,1.05741,3345,1.41518,874,-0.9307,1124,-0.5312,596,-1.6981
ENSG00000126088,UROD,357,2.25369,62,-0.9908,13,-3.2725,55,-1.1665,93,-0.3486,112,-0.0551
ENSG00000117450,PRDX1,163,-0.9751,272,-0.1549,413,0.56390,249,-0.2976,361,0.32763,315,0.11040
ENSG00000117448,AKR1A1,302,2.92956,10,-3.1274,78,0.01905,37,-1.1739,5,-4.0606,53,-0.6898
ENSG00000132780,NASP,12,-1.6750,67,1.19387,62,1.03730,33,-0.0571,9,-1.9703,29,-0.3361
ENSG00000086015,MAST2,70,1.48908,0,-6.5041,1,-4.9998,30,-0.0893,31,0.00015,43,0.71252
ENSG00000085998,POMGNT1,347,2.01389,100,-0.3413,1,-6.4884,42,-1.7017,192,0.77949,90,-0.6035
ENSG00000132128,LRRC41,296,2.65292,10,-3.2156,52,-0.7409,33,-1.4279,37,-1.2615,74,-0.2127
ENSG00000173660,UQCRH,79,-2.8856,125,-2.2028,800,0.77765,451,-0.2170,744,0.64615,699,0.66752
ENSG00000117480,FAAH,194,2.41824,53,-0.1514,25,-1.3565,17,-1.9312,9,-2.7999,56,-0.0982
ENSG00000123472,ATPAF1,97,-0.4238,0,-8.4840,154,0.34642,135,0.11235,186,0.67633,155,0.43638
ENSG00000159658,EFCAB14,11,-2.5427,134,1.45143,139,1.52834,54,-0.2174,31,-1.0876,29,-1.3413
ENSG00000162368,CMPK1,11,-3.5423,138,0.23529,173,0.63079,79,-0.6821,194,0.83714,124,0.05261
ENSG00000162374,ELAVL4,11,-3.5693,1,-6.5063,2,-5.6485,84,-0.6224,280,1.53472,240,1.65631
ENSG00000185104,FAF1,11,-1.7668,24,-0.6501,12,-1.7121,24,-0.6740,93,1.79479,44,0.41565
ENSG00000123091,RNF11,209,-0.7245,88,-2.0533,248,-0.4525,380,0.25843,207,-0.7393,577,1.34621
ENSG00000085832,EPS15,55,-1.2614,56,-1.2328,184,0.71212,110,-0.1785,60,-1.1323,195,1.06322
ENSG00000078618,NRDC,30,-1.7210,45,-1.0971,39,-1.2983,41,-1.2421,228,1.78340,121,0.65077
ENSG00000169213,RAB3B,178,0.49843,6,-4.6089,38,-1.9601,176,0.47662,86,-0.7206,225,1.21492
ENSG00000134717,BTF3L4,11,-2.8459,41,-0.9723,42,-0.9214,43,-0.8916,238,2.31428,74,-0.0227
ENSG00000162378,ZYG11B,88,-0.7177,28,-2.4258,119,-0.2218,92,-0.6362,222,0.85945,203,0.87894
ENSG00000116171,SCP2,68,-0.2065,56,-0.5312,164,1.38507,50,-0.7063,2,-4.9488,100,0.54829
ENSG00000162384,CZIB,11,-1.8041,3,-3.8053,31,-0.2947,31,-0.3000,69,1.10587,57,0.97285
ENSG00000157193,LRP8,648,3.92848,3,-5.4392,21,-2.7731,26,-2.4852,96,-0.4790,53,-1.5617
ENSG00000116209,TMEM59,104,-0.1370,138,0.33382,134,0.28081,81,-0.5405,43,-1.5128,146,0.54429
ENSG00000116221,MRPL37,11,-1.7776,15,-1.4267,13,-1.5608,31,-0.2781,14,-1.4501,85,2.30121
ENSG00000157216,SSBP3,211,0.61797,56,-1.5433,114,-0.4296,130,-0.2120,78,-1.0370,224,0.92242
ENSG00000116133,DHCR24,11,-3.9686,328,1.29363,95,-0.8509,70,-1.3357,58,-1.6225,283,1.33075
ENSG00000177606,JUN,314,2.32889,32,-1.7701,185,1.13784,49,-1.1186,2,-5.6744,53,-1.1269
ENSG00000162599,NFIA,445,2.36858,188,0.54744,183,0.49857,91,-0.6750,15,-3.3568,19,-3.2467
ENSG00000162604,TM2D1,11,-2.3823,41,-0.4570,19,-1.6231,26,-1.1569,152,1.97790,66,0.38779
ENSG00000162434,JAK1,11,-2.6204,0,-7.5292,2,-4.9801,36,-0.9215,220,2.51934,89,0.72463
ENSG00000162433,AK4,11,-1.6703,0,-6.6159,38,0.19497,39,0.21946,66,1.20479,41,0.41783
ENSG00000116675,DNAJC6,11,-4.4443,121,-0.9878,110,-1.1363,214,-0.0774,206,-0.1415,452,1.76825
ENSG00000184588,PDE4B,135,1.72901,42,-0.4126,30,-0.9664,38,-0.5827,38,-0.5511,48,-0.2477
ENSG00000118473,SGIP1,357,2.40948,3,-5.1485,14,-3.1231,36,-1.7354,125,0.24569,111,0.05984
ENSG00000142864,SERBP1,443,2.06905,86,-0.9273,242,0.80011,65,-1.3735,32,-2.4048,103,-0.7512
ENSG00000116729,WLS,496,2.27266,16,-3.4961,120,-0.4598,40,-2.1574,307,1.19864,65,-1.5722
ENSG00000033122,LRRC7,11,-1.9683,0,-6.8979,19,-1.2254,31,-0.4408,65,0.80673,81,1.64721
ENSG00000116754,SRSF11,12,-3.4265,167,0.68151,164,0.65572,91,-0.3575,187,0.89594,84,-0.5548
ENSG00000132485,ZRANB2,399,2.54253,41,-1.6258,70,-0.7971,55,-1.1865,75,-0.7000,83,-0.6129
ENSG00000172260,NEGR1,11,-2.9396,46,-0.8719,55,-0.5893,98,0.35795,50,-0.7636,148,1.49612
ENSG00000117054,ACADM,11,-2.2165,17,-1.6481,103,1.36241,26,-1.0165,98,1.27411,43,-0.2513
ENSG00000137955,RABGGTB,11,-1.9235,79,1.22143,33,-0.3304,23,-0.8760,54,0.52365,40,-0.0087
ENSG00000117069,ST6GALNAC5,11,-1.3443,0,-6.3091,1,-4.7981,23,-0.3049,24,-0.2354,66,2.45918
ENSG00000154027,AK5,11,-4.2567,114,-0.8764,61,-1.8397,120,-0.7998,66,-1.7072,501,2.74009
ENSG00000077254,USP33,105,-0.0038,27,-2.1246,63,-0.8374,38,-1.6221,225,1.38325,141,0.62156
ENSG00000180488,MIGA1,11,-2.4516,112,1.20932,46,-0.3499,42,-0.5145,1,-5.1777,94,1.13439
ENSG00000162613,FUBP1,11,-1.9613,51,0.38209,20,-1.1273,34,-0.2973,97,1.60443,36,-0.2334
ENSG00000137941,TTLL7,16,-2.7766,229,1.59946,90,-0.1330,70,-0.5434,83,-0.2548,96,-0.0151
ENSG00000142875,PRKACB,305,0.22928,86,-1.7820,150,-0.9244,180,-0.6441,245,-0.1441,450,1.21908
ENSG00000117155,SSX2IP,11,-2.0235,0,-6.9573,1,-5.4520,45,0.06456,19,-1.3029,112,2.85950
ENSG00000162642,C1orf52,11,-1.6723,6,-2.6575,12,-1.5589,37,0.16527,37,0.17411,66,1.64229
ENSG00000153904,DDAH1,169,0.30243,46,-1.7578,126,-0.1914,202,0.62161,138,-0.0391,154,0.17782
ENSG00000183291,SELENOF,11,-3.2193,115,0.30383,97,0.00997,51,-1.0259,190,1.22941,105,0.17731
