Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to12,Feature log2 fold change topic 5to12
ENSG00000177674,AGTRAP,16,0.11040,66,2.70008,11,-0.3894,1,-3.2530,10,-1.2027
ENSG00000177000,MTHFR,11,-0.7457,24,0.42140,9,-0.9899,22,0.26665,19,0.20654
ENSG00000011021,CLCN6,21,-1.7113,24,-1.5184,47,-0.5375,108,0.76809,75,0.57902
ENSG00000116685,KIAA2013,51,0.25746,41,-0.1049,30,-0.5932,45,0.06077,44,0.09142
ENSG00000083444,PLOD1,0,-4.6508,35,0.92914,18,-0.1059,19,-0.0599,20,0.15925
ENSG00000116688,MFN2,23,-1.8820,52,-0.6741,69,-0.2562,107,0.43337,91,0.52371
ENSG00000116691,MIIP,0,-4.6532,30,0.64562,16,-0.2711,12,-0.7296,22,0.58388
ENSG00000048707,VPS13D,146,1.66733,41,-0.4411,39,-0.4965,52,-0.0453,46,-0.5834
ENSG00000162496,DHRS3,1,-4.4097,101,2.44662,23,-0.1591,12,-1.1268,21,-0.7155
ENSG00000116731,PRDM2,117,0.82635,27,-1.4507,40,-0.8704,70,0.00367,73,0.20930
ENSG00000189337,KAZN,19,-1.0367,48,0.35567,29,-0.4581,30,-0.4106,42,0.41513
ENSG00000142634,EFHD2,4,-4.3824,33,-1.4353,28,-1.6949,61,-0.5073,112,1.81680
ENSG00000116138,DNAJC16,58,1.19495,6,-2.1524,12,-1.2654,33,0.28170,28,0.03306
ENSG00000197312,DDI2,29,0.19422,6,-2.0617,12,-1.0887,35,0.48957,28,0.43710
ENSG00000116786,PLEKHM2,26,-1.6964,62,-0.4183,106,0.41289,59,-0.4925,91,0.51175
ENSG00000065526,SPEN,15,-0.9391,58,1.18702,28,-0.0142,24,-0.2458,26,-0.2355
ENSG00000116809,ZBTB17,45,1.46550,20,0.12331,15,-0.3219,19,0.07962,15,-0.6884
ENSG00000185519,FAM131C,0,-4.2084,4,-1.7972,18,0.31795,7,-1.1015,18,1.25897
ENSG00000037637,FBXO42,2,-2.8624,16,0.08893,12,-0.3327,30,1.10000,15,0.01568
ENSG00000055070,SZRD1,12,-1.0857,80,1.94678,29,0.20716,9,-1.5745,22,-0.5649
ENSG00000157191,NECAP2,0,-4.1411,44,1.95629,14,0.02031,3,-1.9387,13,-0.2537
ENSG00000058453,CROCC,0,-4.2320,21,0.57696,8,-0.9493,19,0.39533,16,0.39139
ENSG00000159363,ATP13A2,182,0.27752,47,-1.7782,122,-0.3443,202,0.44473,160,0.20863
ENSG00000117118,SDHB,92,-0.0196,71,-0.4073,92,-0.0133,88,-0.0885,96,0.16893
ENSG00000117115,PADI2,12,-1.8123,221,3.16338,38,-0.1077,2,-4.0202,27,-1.3331
ENSG00000179051,RCC2,0,-4.3856,20,0.29611,9,-0.8150,15,-0.0995,19,0.72627
ENSG00000074964,ARHGEF10L,40,1.33292,24,0.50178,16,-0.1309,10,-0.8630,15,-0.5617
ENSG00000117154,IGSF21,72,0.25252,18,-1.8329,36,-0.8092,74,0.28688,67,0.42209
ENSG00000159423,ALDH4A1,0,-5.3425,31,-0.0472,45,0.53431,12,-1.4331,37,0.72688
ENSG00000127463,EMC1,54,0.60513,29,-0.3659,26,-0.5276,63,0.86490,34,-0.3470
ENSG00000053372,MRTO4,0,-5.3534,30,-0.3038,34,-0.1007,33,-0.1490,43,0.78645
ENSG00000053371,AKR7A2,2,-4.5091,96,1.27758,55,0.36374,24,-0.9179,44,-0.0121
ENSG00000077549,CAPZB,160,-0.3834,225,0.14498,167,-0.3217,233,0.20307,210,0.09388
ENSG00000173436,MICOS10,192,-0.8670,291,-0.2261,444,0.43914,328,-0.0397,348,0.15045
ENSG00000158747,NBL1,157,-0.1583,250,0.58132,140,-0.3308,125,-0.5054,177,0.06991
ENSG00000169914,OTUD3,1,-3.3852,4,-1.9253,10,-0.6213,19,0.26020,19,1.12984
ENSG00000162545,CAMK2N1,1090,-0.4556,468,-1.7271,1882,0.40307,1758,0.29356,1542,0.24681
ENSG00000090432,MUL1,0,-5.0880,15,-0.8552,24,-0.1339,38,0.57697,30,0.61249
ENSG00000158828,PINK1,273,-0.5210,213,-0.9038,393,0.04137,439,0.21731,409,0.31251
ENSG00000244038,DDOST,74,1.29804,32,-0.0589,23,-0.5430,52,0.69955,27,-0.7124
ENSG00000117245,KIF17,2,-3.2823,5,-1.9180,8,-1.3022,33,0.81849,23,0.94232
ENSG00000189410,SH2D5,25,-0.5653,9,-2.0107,43,0.23949,64,0.89141,37,0.07974
ENSG00000127483,HP1BP3,106,-0.5966,151,-0.0491,109,-0.5475,149,-0.0660,169,0.39180
ENSG00000075151,EIF4G3,115,-0.0090,64,-0.9042,56,-1.1138,127,0.14338,129,0.50347
ENSG00000117298,ECE1,3,-2.2269,61,2.29046,9,-0.8105,10,-0.7138,14,-0.5855
ENSG00000076864,RAP1GAP,114,-0.5226,35,-2.2915,88,-0.9172,236,0.62044,181,0.61362
ENSG00000090686,USP48,93,1.13943,40,-0.2036,32,-0.5603,58,0.35290,41,-0.4277
ENSG00000070831,CDC42,70,-1.6855,161,-0.4337,129,-0.7674,315,0.62519,235,0.47756
ENSG00000173372,C1QA,26,-0.6057,204,3.09995,35,-0.1340,12,-1.7616,23,-1.5670
ENSG00000159189,C1QC,22,-0.6104,178,3.10586,29,-0.2076,6,-2.5492,21,-1.4864
ENSG00000173369,C1QB,86,0.40066,309,2.76275,73,0.13087,18,-1.9464,40,-1.5987
ENSG00000004487,KDM1A,15,-1.7761,42,-0.2940,44,-0.2088,94,1.01716,51,0.06627
ENSG00000169641,LUZP1,10,-1.9196,16,-1.1790,27,-0.4646,27,-0.4258,44,1.11781
ENSG00000125944,HNRNPR,24,-2.2303,107,0.01598,77,-0.4866,149,0.54228,114,0.35523
ENSG00000125945,ZNF436,18,-0.4239,3,-2.8199,9,-1.5194,44,0.96029,27,0.53005
ENSG00000117318,ID3,37,-0.8603,660,5.96611,4,-4.0988,13,-2.3672,7,-4.5362
ENSG00000142676,RPL11,1169,1.09531,1308,1.29093,675,0.19018,258,-1.2875,472,-0.8526
ENSG00000011007,ELOA,0,-4.3987,24,0.58313,9,-0.8701,24,0.62959,17,0.25800
ENSG00000057757,PITHD1,103,-1.0719,63,-1.8062,127,-0.7539,288,0.52805,238,0.71219
ENSG00000011009,LYPLA2,32,-0.7360,24,-1.1924,41,-0.3692,76,0.59489,57,0.38776
ENSG00000117308,GALE,16,-0.0986,7,-1.3272,12,-0.5720,28,0.77859,18,0.18305
ENSG00000117305,HMGCL,2,-3.5566,36,0.80789,23,0.10689,22,0.04228,22,0.08920
ENSG00000179163,FUCA1,0,-4.2191,19,0.40734,11,-0.4126,24,0.82797,15,0.11850
ENSG00000189266,PNRC2,169,1.68831,78,0.36671,41,-0.6281,31,-1.0402,53,-0.5898
ENSG00000188529,SRSF10,16,-1.9150,69,0.31989,43,-0.4030,72,0.38273,59,0.25175
ENSG00000001461,NIPAL3,66,0.21074,34,-0.7909,34,-0.7874,56,-0.0594,63,0.39577
ENSG00000133226,SRRM1,28,-0.6498,84,1.07860,31,-0.5206,45,0.08116,41,-0.1897
ENSG00000169504,CLIC4,12,-1.2557,136,2.91461,14,-0.9746,2,-3.3927,21,-0.9778
ENSG00000117614,SYF2,112,0.83204,114,0.86430,40,-0.7831,49,-0.4570,60,-0.3763
ENSG00000117616,RSRP1,84,0.35260,64,-0.0899,48,-0.5248,62,-0.1222,69,0.09270
ENSG00000183726,TMEM50A,145,0.74912,84,-0.1256,66,-0.4925,124,0.49239,84,-0.3153
ENSG00000204178,MACO1,30,0.01995,18,-0.7629,13,-1.2321,22,-0.3983,33,0.68658
ENSG00000117643,MAN1C1,19,-1.3356,44,-0.0438,36,-0.3602,86,1.03006,45,-0.0335
ENSG00000162430,SELENON,99,1.16407,78,0.76284,39,-0.3435,47,-0.0639,40,-0.7090
ENSG00000117640,MTFR1L,60,-0.2479,58,-0.2846,75,0.10731,97,0.51010,69,-0.0711
ENSG00000117632,STMN1,558,-1.0506,346,-1.7641,688,-0.7341,1374,0.34234,1290,0.79862
ENSG00000158008,EXTL1,38,-0.4826,8,-2.7669,37,-0.5119,61,0.25098,60,0.72845
ENSG00000142684,ZNF593,82,1.42814,33,-0.0573,31,-0.1585,30,-0.2314,30,-0.5584
ENSG00000142669,SH3BGRL3,366,0.41953,236,-0.2746,242,-0.2394,227,-0.3350,288,0.10719
ENSG00000158062,UBXN11,15,-0.8573,38,0.61284,23,-0.1758,44,0.84439,24,-0.3220
ENSG00000117682,DHDDS,1,-3.9336,13,-0.3531,14,-0.2678,12,-0.5085,20,0.97643
ENSG00000198830,HMGN2,167,0.28783,320,1.37618,134,-0.0637,89,-0.6978,120,-0.5574
ENSG00000117713,ARID1A,42,-0.4560,53,-0.1092,32,-0.8568,73,0.40018,60,0.25830
ENSG00000204160,ZDHHC18,7,-2.0185,16,-0.9029,21,-0.4445,35,0.32810,33,0.71599
ENSG00000142751,GPN2,0,-4.3222,9,-0.8779,16,0.04656,15,-0.0244,18,0.82984
ENSG00000090273,NUDC,198,0.29630,96,-0.8274,159,-0.0552,173,0.07817,168,0.10619
ENSG00000253368,TRNP1,36,-0.8457,20,-1.7546,56,-0.1977,45,-0.5230,75,0.93484
ENSG00000090020,SLC9A1,0,-5.2462,5,-2.4553,10,-1.5758,49,0.78829,37,1.14899
ENSG00000142784,WDTC1,23,-0.4806,26,-0.2940,29,-0.1210,27,-0.2462,34,0.37312
ENSG00000186501,TMEM222,50,-0.6109,58,-0.3872,82,0.15168,61,-0.3103,81,0.35398
ENSG00000158195,WASF2,0,-4.8573,78,2.11926,23,0.04518,6,-1.9789,21,-0.3822
ENSG00000126705,AHDC1,0,-6.0275,36,-0.5883,27,-1.0097,49,-0.1028,64,1.19099
ENSG00000126709,IFI6,175,0.44541,174,0.43227,69,-1.0000,129,-0.0407,130,-0.0693
ENSG00000009780,FAM76A,3,-2.1164,10,-0.6416,8,-0.8232,15,-0.0248,18,0.94215
ENSG00000117758,STX12,69,-0.4499,79,-0.2456,61,-0.6377,116,0.35987,98,0.26876
ENSG00000117751,PPP1R8,27,-0.0511,23,-0.3203,19,-0.6064,28,-0.0217,30,0.31236
ENSG00000117748,RPA2,44,-0.4063,66,0.22904,38,-0.6076,89,0.71531,56,-0.0856
ENSG00000126698,DNAJC8,140,0.19567,137,0.16232,118,-0.0742,154,0.35397,117,-0.2335
ENSG00000130770,ATP5IF1,376,-0.4933,256,-1.0764,548,0.09214,530,0.03932,561,0.39297
ENSG00000180098,TRNAU1AP,18,0.00406,14,-0.3561,15,-0.3027,25,0.47214,18,0.01851
ENSG00000120656,TAF12,48,1.58338,18,0.00927,13,-0.5504,17,-0.0847,15,-0.6246
ENSG00000198492,YTHDF2,49,-0.8082,33,-1.4087,43,-1.0257,118,0.53917,95,0.64805
ENSG00000116350,SRSF4,11,-2.0955,53,0.28014,31,-0.5723,36,-0.3283,50,0.62075
ENSG00000116353,MECR,27,-0.4052,15,-1.2617,33,-0.1053,44,0.34486,38,0.34694
ENSG00000162511,LAPTM5,76,0.63169,151,1.82506,73,0.55658,9,-2.5557,38,-1.0015
ENSG00000162512,SDC3,60,-1.8543,156,-0.4267,184,-0.1657,197,-0.0659,233,0.64133
ENSG00000134644,PUM1,121,-0.3699,57,-1.4986,94,-0.7615,188,0.31999,173,0.58722
ENSG00000060688,SNRNP40,0,-4.6318,19,-0.0586,14,-0.4787,29,0.61993,21,0.45140
ENSG00000121766,ZCCHC17,159,0.35077,47,-1.5146,107,-0.2644,200,0.72791,127,-0.0169
ENSG00000121769,FABP3,4,-4.9573,23,-2.5912,119,-0.1384,195,0.65741,152,0.83040
ENSG00000162517,PEF1,20,-2.2989,48,-0.9942,67,-0.4917,118,0.38928,107,0.75213
ENSG00000084636,COL16A1,19,-1.2653,90,1.17180,26,-0.8178,33,-0.4513,45,0.10195
ENSG00000121753,ADGRB2,63,-2.2518,64,-2.2358,244,-0.2286,392,0.52481,328,0.78156
ENSG00000184007,PTP4A2,229,0.49727,179,0.09804,107,-0.7001,115,-0.5835,173,0.13690
ENSG00000121774,KHDRBS1,135,0.14280,133,0.11787,103,-0.2749,134,0.12551,122,-0.0502
ENSG00000121775,TMEM39B,42,1.38712,6,-1.6547,11,-0.7147,29,0.77439,16,-0.4583
ENSG00000025800,KPNA6,13,-1.8034,23,-0.9407,31,-0.4813,51,0.27139,49,0.73821
ENSG00000084652,TXLNA,0,-4.8659,30,0.44403,14,-0.6827,25,0.17347,25,0.51082
ENSG00000160050,CCDC28B,0,-4.2432,31,1.22698,27,0.99628,12,-0.3340,13,-0.4211
ENSG00000084623,EIF3I,136,0.23298,88,-0.4477,96,-0.3159,129,0.15878,120,0.09270
ENSG00000175130,MARCKSL1,105,-1.0968,543,1.54765,251,0.24598,71,-1.6824,201,-0.2667
ENSG00000160058,BSDC1,39,-0.8600,52,-0.4148,59,-0.2175,99,0.59730,71,0.18848
ENSG00000176261,ZBTB8OS,149,1.76058,45,-0.2252,50,-0.0702,39,-0.4607,43,-0.7064
ENSG00000162521,RBBP4,78,-0.1930,77,-0.2059,63,-0.5169,98,0.16859,92,0.22813
ENSG00000162522,KIAA1522,0,-4.9426,8,-1.5705,35,0.54270,17,-0.5705,29,0.93532
ENSG00000134684,YARS,40,-1.3480,50,-1.0025,68,-0.5298,141,0.61272,107,0.51526
ENSG00000116497,S100PBP,33,1.15210,15,-0.1642,13,-0.3461,12,-0.4831,15,-0.2378
ENSG00000160097,FNDC5,2,-3.4001,21,0.07888,10,-1.0282,19,-0.0803,23,0.84289
ENSG00000121905,HPCA,105,-0.9044,22,-3.1695,161,-0.2447,260,0.51117,214,0.64497
ENSG00000121900,TMEM54,6,-3.0254,62,0.42998,66,0.53455,29,-0.7497,50,0.30718
ENSG00000116514,RNF19B,10,-0.9551,21,0.17774,20,0.07411,29,0.68182,18,-0.1236
ENSG00000004455,AK2,5,-2.4450,72,1.73678,27,0.10445,8,-1.7731,24,-0.1942
ENSG00000142920,AZIN2,12,-0.9396,28,0.35944,13,-0.8347,34,0.68434,22,0.05005
ENSG00000160094,ZNF362,3,-2.2957,12,-0.5243,13,-0.4112,18,0.09561,20,0.74200
ENSG00000134686,PHC2,28,-1.0430,59,0.05858,44,-0.4019,62,0.13306,61,0.33569
ENSG00000163866,SMIM12,53,-0.1837,30,-1.0504,31,-0.9846,76,0.37425,66,0.46811
ENSG00000116544,DLGAP3,16,-2.0720,41,-0.7204,109,0.82045,67,0.02894,69,0.24539
ENSG00000163867,ZMYM6,46,1.31836,16,-0.4152,12,-0.8354,20,-0.0308,19,-0.2865
ENSG00000116560,SFPQ,71,-1.1295,178,0.28125,105,-0.5507,110,-0.4707,166,0.51369
ENSG00000146463,ZMYM4,55,0.53402,39,-0.0075,41,0.04640,39,-0.0217,37,-0.2152
ENSG00000142687,KIAA0319L,87,0.50273,50,-0.3743,34,-0.9525,48,-0.4439,68,0.31174
ENSG00000020129,NCDN,377,-0.8481,129,-2.4343,483,-0.4674,875,0.46648,747,0.67963
ENSG00000126067,PSMB2,21,-2.4104,69,-0.7037,88,-0.3240,150,0.51741,121,0.56561
ENSG00000142686,C1orf216,110,0.05220,17,-2.7278,73,-0.5765,154,0.58450,116,0.38337
ENSG00000134698,AGO4,0,-4.0013,18,0.61829,14,0.23894,12,-0.0419,13,0.18047
ENSG00000092847,AGO1,33,0.23471,26,-0.1467,29,0.01132,20,-0.5293,29,0.11601
ENSG00000126070,AGO3,0,-4.1878,9,-0.6254,17,0.25914,8,-0.8164,17,0.93047
ENSG00000116863,ADPRHL2,23,-0.0819,25,0.01995,12,-1.0582,31,0.40260,25,0.13683
ENSG00000054116,TRAPPC3,78,0.33218,36,-0.8452,40,-0.6995,60,-0.0769,68,0.33963
ENSG00000116871,MAP7D1,37,-2.2624,100,-0.8044,177,0.08392,266,0.74038,180,0.30715
ENSG00000054118,THRAP3,27,-1.0251,58,0.13016,35,-0.6593,73,0.50635,56,0.20839
ENSG00000196182,STK40,1,-4.1040,18,-0.1527,17,-0.2721,20,0.01518,23,0.70277
ENSG00000181817,LSM10,10,-2.3391,43,-0.1445,57,0.31309,51,0.12982,50,0.32278
ENSG00000116885,OSCP1,28,0.20424,11,-1.1808,16,-0.6677,31,0.36905,26,0.27387
ENSG00000116898,MRPS15,26,-1.0896,47,-0.1965,50,-0.0990,59,0.16327,57,0.32626
ENSG00000163873,GRIK3,0,-4.8555,0,-4.9119,4,-2.5350,1,-3.7520,33,4.10241
ENSG00000163875,MEAF6,49,-1.2318,43,-1.4208,71,-0.6690,156,0.57106,124,0.63799
ENSG00000163877,SNIP1,0,-4.1061,10,-0.4222,7,-0.9767,16,0.23458,16,0.91526
ENSG00000134697,GNL2,0,-4.0498,16,0.37549,14,0.11971,14,0.12547,14,0.28427
ENSG00000116922,C1orf109,41,1.47597,8,-1.0306,10,-0.7146,30,0.92189,14,-0.6746
ENSG00000183317,EPHA10,0,-4.5043,5,-1.7855,14,-0.3405,37,1.18996,19,0.44633
ENSG00000185090,MANEAL,1,-5.3992,10,-1.9562,30,-0.4173,79,1.14286,43,0.53947
ENSG00000196449,YRDC,0,-4.4463,11,-0.6789,5,-1.6479,41,1.46099,18,0.31815
ENSG00000197982,C1orf122,278,0.13410,341,0.46305,392,0.69402,149,-0.8215,237,-0.2888
ENSG00000183431,SF3A3,10,-1.7930,39,0.17888,29,-0.2839,49,0.53923,36,0.18791
ENSG00000183520,UTP11,38,0.23793,20,-0.7182,21,-0.6936,30,-0.1086,35,0.36138
ENSG00000116954,RRAGC,1,-5.0371,38,-0.2218,34,-0.3876,79,0.94631,47,0.29798
ENSG00000174574,AKIRIN1,32,-1.5653,41,-1.1934,75,-0.2887,141,0.70964,100,0.45896
ENSG00000168653,NDUFS5,438,-0.5814,395,-0.7390,735,0.22571,587,-0.1290,687,0.34994
ENSG00000127603,MACF1,93,-0.4997,187,0.60443,92,-0.5150,92,-0.5118,134,0.21149
ENSG00000090621,PABPC4,65,0.18622,80,0.52004,54,-0.1057,53,-0.1281,55,-0.1934
ENSG00000116983,HPCAL4,125,-1.4642,86,-2.0194,395,0.29646,386,0.25583,368,0.56823
