"cluster","gwas","Category","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z.score","p_zcore","FDR"
"Astro","MEGASTROKE.2.AIS.EUR_ldscore","L2_0",0.377465690816165,0.429194015317721,0.0287964587671621,1.1370411291943,0.0762889435193374,0.0657884932614727,-1.41891134614481e-09,1.32643584638205e-09,-1.06971728034567,0.28474658569471,0.537111807346578
"Astro","OUD_EA_MVP1_Mar12","L2_0",0.377465690816165,0.417520684502755,0.0477022060835904,1.10611558788292,0.126374945443247,0.388059692870081,4.50661645355223e-11,7.716823975668e-09,0.00583998866342176,0.995340389696572,0.995340389696572
"Astro","OUD_EA_MVP1_MVP2_YP_SAGE_Mar12","L2_0",0.377465690816165,0.434409373899894,0.0481139513763715,1.15085790435842,0.127465760589627,0.227153047326634,3.28333574845955e-09,5.31959833085698e-09,0.617214974561926,0.537092939913569,0.719278650809361
"Astro","OUD_EA_MVP2_Mar12","L2_0",0.377465690816165,0.368873804587883,0.121347042682614,0.977237967748263,0.321478337329771,0.942556419276405,-2.05957993087482e-08,2.04795147367484e-08,-1.0056780921567,0.314570444987884,0.561070355760942
"Astro","PASS_Type_2_Diabetes.sumstats","L2_0",0.377465690816165,0.492232938280587,0.0399517800753466,1.30404683195516,0.105842149491685,0.00195261295943701,-8.651381742316e-10,3.25064057510882e-09,-0.266143904329576,0.790128383155432,0.881459910685149
"Astro","PD_ldscore","L2_0",0.377465690816165,0.541136928993069,0.0460552666549457,1.43360560220191,0.122011795443883,2.27451495896802e-06,1.74757568301123e-09,1.92235461830577e-09,0.909080804535126,0.36330747422053,0.590617498198081
"Astro","PTSD","L2_0",0.377465690816165,0.470211045624703,0.0766819609932647,1.24570539009254,0.203149485791573,0.198566446139212,3.18570499998974e-09,2.05996553447892e-09,1.54648461183871,0.121987573632468,0.337408606787098
"Astro","scz_PGC2_CLOZUK_ldscore","L2_0",0.377465690816165,0.49080973025939,0.0111864545918615,1.30027640180529,0.0296356857431833,3.41219475656351e-22,1.04845832751205e-08,4.24618300465372e-09,2.46917838059019,0.0135423692483484,0.0748523682090527
"Astro","scz_PGC3_ldscore","L2_0",0.377465690816165,0.489716709867784,0.0114997641334666,1.29738072037463,0.0304657202316893,6.70879432015926e-20,9.72037241758656e-09,3.85361349158671e-09,2.52240460513445,0.0116555558968856,0.0708657798530647
"Astro","smoking_ldscore","L2_0",0.377465690816165,0.466967095307254,0.0209148759512588,1.23711136314818,0.0554086807360853,9.99385752593503e-05,1.36030453246964e-09,1.63316111047398e-09,0.832927335671645,0.404885711773709,0.624798255732019
"Astro","stroke2022any","L2_0",0.377465690816165,0.466692436926946,0.026044107258428,1.23638372514825,0.0689972834408203,0.000503952536459523,-2.47238611156239e-10,7.02530891972213e-10,-0.351925607800913,0.724894053935906,0.869334961045021
"Excit","adhd","L2_0",0.425561874796495,0.506496602542827,0.0158317428096329,1.19018322020748,0.0372019763687799,7.94515059633989e-07,4.49669823654825e-09,2.07244344092232e-09,2.1697567942057,0.0300252750394544,0.128558924112593
"Excit","alcohol_ldscore","L2_0",0.425561874796495,0.51553189036384,0.0155136248196493,1.21141465177154,0.0364544517223681,3.29971548748935e-09,1.15233875900478e-09,5.42109545185613e-10,2.12565664862114,0.0335318590559966,0.137213527982013
"Excit","Alzheimer_ldscore","L2_0",0.425561874796495,0.537310428480456,0.0483509798851754,1.26259061326252,0.11361680345143,0.0159226779701244,2.50382879571667e-10,5.26464113315912e-10,0.475593441677611,0.634364048607376,0.780755752132155
"Excit","Alzheimer_ldscore2","L2_0",0.425561874796495,0.47750659678219,0.0499147225283546,1.12206150283207,0.117291339954323,0.216737450445623,-1.25024887246848e-10,4.62793545218788e-10,-0.270152616730515,0.787042844107974,0.881459910685149
"Excit","Alzheimer_ldscore3","L2_0",0.425561874796495,0.520628625471592,0.0309358614148279,1.22339113606114,0.0726941562366731,0.0016506043230827,6.57820469716568e-10,6.13552904018144e-10,1.07214954962892,0.283652866299373,0.537111807346578
"Excit","Anorexia_ldscore","L2_0",0.425561874796495,0.501809864368762,0.0232130201598856,1.17917016088137,0.0545467569692095,0.00139354744398922,6.73174719805729e-09,4.98637461349465e-09,1.35002837128184,0.17700688248792,0.42039134590881
"Excit","AUD.EUR_META.NatMed2023","L2_0",0.425561874796495,0.509144892877021,0.0168644215462507,1.19640626435461,0.0396286005514833,2.21841821753886e-07,2.87000233538763e-09,1.15400336403441e-09,2.48699650697209,0.0128826663914005,0.072531715037545
"Excit","autism_ldscore","L2_0",0.425561874796495,0.527541740458338,0.0291087704092052,1.23963581256101,0.0684007946508955,0.00026801449121318,1.03428525532494e-08,4.31301769040976e-09,2.39805474859223,0.0164824014724137,0.0821418040592418
"Excit","bmi_ldscore","L2_0",0.425561874796495,0.517082421940075,0.0128148085526865,1.21505814445278,0.0301126799923385,4.13633629057274e-13,4.67667154900646e-09,2.03566438808063e-09,2.29736865093758,0.0215977485439844,0.101387270828127
"Excit","bp_ldscore","L2_0",0.425561874796495,0.592277870934404,0.0220242254802673,1.39175500911033,0.0517532861485755,3.10928145765448e-14,2.33521924842094e-08,5.5538520229679e-09,4.20468395406226,2.6144722679861e-05,0.000529866379645183
"Excit","bp3_ldscore","L2_0",0.425561874796495,0.568272144750552,0.0144470044839643,1.3353455241316,0.03394807039722,1.08691820659069e-19,1.18894200181071e-08,2.2906960123828e-09,5.19030895144381,2.09945436485737e-07,1.06372354486107e-05
"Excit","EA_aud_Jun07.txt_ldscore","L2_0",0.425561874796495,0.501355702456452,0.0259229099559637,1.17810295552486,0.0609145496606341,0.00400900547528359,2.57010567962948e-09,1.88358929568929e-09,1.36447243861033,0.172418922850965,0.414903353115738
"Excit","epilepsyAll","L2_0",0.425561874796495,0.546275054486191,0.0415225679919558,1.2836560012511,0.0975711652079077,0.0016989245329979,4.02174696976304e-09,3.48787122603357e-09,1.15306635742301,0.248883148995051,0.519240575871276
"Excit","epilepsyFocal","L2_0",0.425561874796495,0.535423468273306,0.080776286055826,1.25815656895803,0.189810908447693,0.123350043831192,4.26668963689199e-09,4.33868787814394e-09,0.983405526446224,0.325407891436224,0.565706148004968
"Excit","epilepsyGGE","L2_0",0.425561874796495,0.571540191441771,0.0258466296345965,1.34302489318406,0.0607353035253838,4.85854423739219e-10,3.85020397774691e-08,1.09915383862362e-08,3.50287998135748,0.000460256794274083,0.00559672261837286
"Excit","GSCAN_AgeSmk_2022_ldscore","L2_0",0.425561874796495,0.490242441707055,0.0193227653560129,1.15198863136293,0.0454053017913155,0.000751620258747428,3.94780784309498e-10,7.38875223861741e-10,0.534299664625606,0.593134224213927,0.760589427159709
"Excit","GSCAN_CigDay_2022_ldscore","L2_0",0.425561874796495,0.535012095688643,0.0198999306064794,1.25718991144234,0.0467615446425872,1.84159450287884e-07,4.72696172333552e-09,1.66065403762188e-09,2.84644580764377,0.00442102534683304,0.0364638407406179
"Excit","GSCAN_DrnkWk_2022_ldscore","L2_0",0.425561874796495,0.529901018095776,0.0174233881026875,1.24517972468557,0.040942079482612,5.7253284091428e-10,1.40772505625839e-09,5.5302436831403e-10,2.54550276066501,0.0109120501006703,0.0693709764824679
"Excit","GSCAN_SmkCes_2022_ldscore","L2_0",0.425561874796495,0.510961735672954,0.0135223297293448,1.20067554434311,0.0317752377038268,3.48913210758893e-10,2.62587586498318e-09,8.07654964304809e-10,3.25123472403021,0.00114904949728568,0.0124753945419588
"Excit","GSCAN_SmkInit_2022_ldscore","L2_0",0.425561874796495,0.531837212552226,0.0134357363557847,1.24972946133051,0.0315717576021341,2.20211320131005e-14,2.51480231761073e-09,6.28362032208368e-10,4.00215510916932,6.27681257831218e-05,0.00100429001252995
"Excit","height_ldscore","L2_0",0.425561874796495,0.500231625074545,0.0135598799525312,1.17546155964689,0.0318634745159339,4.17729711268714e-08,-8.56889360754556e-09,5.83350895603925e-09,-1.46890896579056,0.141857482484526,0.370312781582227
"Excit","insomnia","L2_0",0.425561874796495,0.530988684290364,0.0189145802292715,1.24773556029728,0.0444461342744025,1.69714143815687e-08,2.11053252752595e-09,8.29551585449792e-10,2.54418479157218,0.0109533120761791,0.0693709764824679
"Excit","intelligence","L2_0",0.425561874796495,0.553793819106516,0.0117328780186601,1.30132385419004,0.0275703222340366,6.16521204361084e-21,1.01463649421694e-08,1.76271523794231e-09,5.7560998644419,8.60794750315389e-09,5.23363208191756e-07
"Excit","mdd_ex23andMe_ldscore","L2_0",0.425561874796495,0.534636296716112,0.0208909704670678,1.2563068460298,0.049090324355437,9.31876435875334e-08,4.73949431308698e-09,1.34329544086282e-09,3.52825906268448,0.000418302555026438,0.00552886855339292
"Excit","MDD_ldscore_PGC_UKB_23andme","L2_0",0.425561874796495,0.541441282429849,0.0128243613381244,1.27229743662721,0.0301351274576865,2.27077244197303e-16,3.0635502092556e-09,6.22252353690133e-10,4.92332442149536,8.5086219098316e-07,2.58662106058881e-05
"Excit","mdd2019edinburgh_ldscore","L2_0",0.425561874796495,0.540396538300099,0.0138227629546256,1.26984246076677,0.0324812060789883,4.66563073383144e-14,3.51658908926294e-09,7.96202909235054e-10,4.41669962326748,1.0021934584821e-05,0.000217619150984684
"Excit","MEGASTROKE.1.AS.EUR_ldscore","L2_0",0.425561874796495,0.443465820022023,0.0337880258036844,1.042071309217,0.0793962706829458,0.597641507308244,-2.23308851765553e-09,1.35702339894633e-09,-1.64557849141689,0.0998505703912975,0.303545733989544
"Excit","MEGASTROKE.2.AIS.EUR_ldscore","L2_0",0.425561874796495,0.437243120159625,0.0292946844417159,1.02744899403575,0.0688376618693221,0.690014688692571,-2.32727059011267e-09,1.31974585321681e-09,-1.76342330187291,0.0778291225933613,0.275116898469556
"Excit","OUD_EA_MVP1_Mar12","L2_0",0.425561874796495,0.503696283860181,0.0482881319150238,1.18360293459335,0.113469121119262,0.0845480992784347,8.13483783860952e-09,7.71161135944051e-09,1.05488171789815,0.291479424573412,0.539175394726889
