Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000197312,DDI2,3,-2.6233,18,-0.1569,26,0.68471,17,-0.2665,20,0.04418
ENSG00000116786,PLEKHM2,3,-4.5664,86,0.24913,97,0.61105,86,0.19634,31,-1.3995
ENSG00000065526,SPEN,149,2.25039,28,-0.8051,27,-0.9977,28,-0.6629,61,0.56693
ENSG00000116809,ZBTB17,3,-2.4898,14,-0.4239,23,0.65280,18,-0.0231,23,0.40409
ENSG00000185519,FAM131C,3,-2.1696,10,-0.6077,20,0.87234,7,-0.9893,22,0.70952
ENSG00000037637,FBXO42,3,-2.3494,22,0.61967,13,-0.4259,30,0.97662,11,-0.5500
ENSG00000055070,SZRD1,72,1.31681,24,-0.6351,18,-1.1913,61,1.00122,53,0.76729
ENSG00000159363,ATP13A2,50,-1.6491,158,0.16040,200,0.83811,111,-0.4375,32,-2.2806
ENSG00000117118,SDHB,3,-4.0676,79,0.86852,46,-0.3800,82,0.67476,35,-0.6754
ENSG00000117115,PADI2,4,-4.1291,22,-1.8954,24,-1.8864,141,1.33192,335,3.27993
ENSG00000179051,RCC2,46,1.19288,19,-0.3128,22,-0.0694,7,-1.7731,27,0.30834
ENSG00000074964,ARHGEF10L,3,-2.3876,12,-0.5667,24,0.93726,22,0.44666,10,-0.7361
ENSG00000117154,IGSF21,87,0.35144,57,-0.3944,101,1.00221,15,-2.3027,25,-1.5673
ENSG00000159423,ALDH4A1,3,-3.1541,21,-0.5516,24,-0.4210,87,1.96173,36,0.38807
ENSG00000169991,IFFO2,3,-1.9995,16,0.49328,13,0.11495,6,-1.0018,16,0.36062
ENSG00000127463,EMC1,109,1.79331,43,0.22736,26,-0.8414,28,-0.5150,17,-1.2530
ENSG00000053372,MRTO4,52,0.31983,42,-0.0154,52,0.49413,25,-0.8504,16,-1.4863
ENSG00000053371,AKR7A2,71,0.69103,42,-0.1874,28,-1.0415,76,0.82122,77,0.83805
ENSG00000077549,CAPZB,307,0.52963,267,0.40108,193,-0.3205,228,0.04072,110,-1.0851
ENSG00000173436,MICOS10,298,0.06628,302,0.11423,251,-0.2963,285,-0.0050,364,0.39344
ENSG00000158747,NBL1,571,1.36116,175,-0.7335,266,0.08818,355,0.53088,51,-2.4500
ENSG00000162545,CAMK2N1,394,-1.4252,1586,1.10020,859,-0.3334,747,-0.4513,599,-0.7929
ENSG00000090432,MUL1,35,0.52246,28,0.16423,24,-0.1031,22,-0.2581,18,-0.5630
ENSG00000183114,FAM43B,3,-2.3751,10,-0.8947,27,1.47882,11,-0.5697,12,-0.5194
ENSG00000158828,PINK1,38,-3.4005,444,0.41333,435,0.44132,327,-0.1797,226,-0.7552
ENSG00000244038,DDOST,148,2.59108,28,-0.5051,24,-0.8769,24,-0.6804,13,-1.5779
ENSG00000117245,KIF17,3,-2.1979,15,0.03503,19,0.67191,13,-0.2436,10,-0.5536
ENSG00000189410,SH2D5,78,1.38207,55,1.05824,19,-1.1748,25,-0.5144,1,-4.9024
ENSG00000127483,HP1BP3,185,0.61920,114,-0.2131,130,0.06630,109,-0.2389,111,-0.2186
ENSG00000075151,EIF4G3,235,1.22169,104,-0.1886,123,0.17463,41,-1.5477,62,-0.9346
ENSG00000117298,ECE1,54,1.32839,14,-1.0814,15,-1.0297,48,1.08897,44,0.94378
ENSG00000076864,RAP1GAP,3,-5.4997,217,0.90141,177,0.48739,80,-0.9381,22,-2.8639
ENSG00000090686,USP48,3,-3.4961,45,0.44230,35,-0.1057,39,0.09693,49,0.47127
ENSG00000070831,CDC42,253,0.19338,267,0.37043,220,-0.0467,125,-0.9046,185,-0.3055
ENSG00000173372,C1QA,247,3.27830,7,-3.1726,11,-2.6731,143,1.94632,19,-1.3632
ENSG00000173369,C1QB,432,4.04295,8,-3.4569,14,-2.8562,136,1.21165,17,-2.0214
ENSG00000004487,KDM1A,149,1.34205,67,-0.0085,60,-0.2735,66,-0.0440,19,-1.9096
ENSG00000169641,LUZP1,3,-3.8352,52,0.24403,67,1.07756,26,-0.8756,6,-2.9725
ENSG00000125944,HNRNPR,3,-4.5337,94,0.49326,78,0.11774,75,-0.0038,74,-0.0087
ENSG00000125945,ZNF436,3,-2.2476,25,1.18939,13,-0.3578,5,-1.6442,16,0.09872
ENSG00000117318,ID3,221,2.07782,8,-3.5709,10,-3.4076,331,3.04325,75,0.13464
ENSG00000142676,RPL11,1601,1.57737,338,-1.1946,373,-1.1383,975,0.68705,1344,1.25042
ENSG00000057757,PITHD1,153,-0.1273,218,0.59921,171,0.07244,89,-0.9675,80,-1.1356
ENSG00000011009,LYPLA2,3,-3.6989,51,0.43772,49,0.41017,48,0.21673,16,-1.4102
ENSG00000117308,GALE,3,-2.2025,26,1.37928,13,-0.3016,5,-1.6765,9,-0.6845
ENSG00000117305,HMGCL,112,2.60849,21,-0.5181,11,-1.7194,33,0.32866,20,-0.4559
ENSG00000189266,PNRC2,22,-0.9132,31,-0.5282,40,-0.0324,78,1.08607,53,0.42383
ENSG00000188529,SRSF10,51,0.37482,41,0.04765,35,-0.3189,46,0.18657,43,0.10176
ENSG00000001461,NIPAL3,3,-4.2602,47,-0.5135,66,0.17679,59,-0.0719,148,1.49110
ENSG00000133226,SRRM1,3,-3.5576,37,-0.0447,36,-0.1148,45,0.25888,76,1.15840
ENSG00000169504,CLIC4,3,-3.6189,9,-2.4953,17,-1.6138,89,1.37426,207,3.27337
ENSG00000117614,SYF2,3,-3.8952,45,-0.1090,41,-0.3305,86,0.96089,89,1.02044
ENSG00000117616,RSRP1,3,-3.9009,65,0.64691,35,-0.7080,73,0.68766,72,0.66078
ENSG00000183726,TMEM50A,43,-0.8481,102,0.73185,49,-0.8686,103,0.54974,87,0.27779
ENSG00000204178,MACO1,3,-2.8273,28,0.41480,27,0.37777,8,-1.5651,28,0.30416
ENSG00000117643,MAN1C1,33,-0.2087,60,1.10163,23,-1.0186,49,0.43999,20,-0.9431
ENSG00000162430,SELENON,126,1.34904,36,-0.8650,40,-0.7588,103,0.98125,72,0.38096
ENSG00000117640,MTFR1L,174,1.26967,62,-0.5524,84,0.06127,72,-0.2121,53,-0.6809
ENSG00000117632,STMN1,180,-2.4500,1260,0.74242,966,0.15924,508,-0.9020,720,-0.3613
ENSG00000158008,EXTL1,47,-0.1240,69,0.70390,58,0.34003,12,-2.1813,7,-2.8867
ENSG00000142684,ZNF593,3,-3.3706,42,0.48225,34,0.06832,51,0.69576,17,-1.0494
ENSG00000142669,SH3BGRL3,162,-0.3451,194,-0.0772,206,0.04837,220,0.13942,229,0.20546
ENSG00000158062,UBXN11,3,-2.4407,18,0.07446,23,0.72109,9,-0.9099,16,-0.1751
ENSG00000117682,DHDDS,3,-2.4914,21,0.27987,22,0.46755,17,-0.1133,12,-0.6631
ENSG00000198830,HMGN2,3,-5.1280,106,-0.1240,84,-0.6437,235,1.23462,236,1.24294
ENSG00000117713,ARID1A,3,-3.8082,55,0.41138,44,-0.0806,66,0.63060,43,-0.0713
ENSG00000204160,ZDHHC18,3,-3.1506,42,0.83057,31,0.11944,34,0.23145,5,-2.4664
ENSG00000090273,NUDC,120,-0.5064,211,0.51811,152,-0.2082,170,0.03113,132,-0.3681
ENSG00000253368,TRNP1,3,-4.1690,80,0.71209,75,0.67294,28,-1.1081,10,-2.6733
ENSG00000090020,SLC9A1,3,-2.8071,27,0.40147,27,0.50264,30,0.48104,0,-5.2516
ENSG00000142784,WDTC1,86,1.29059,41,0.04136,29,-0.6890,41,0.06265,33,-0.2824
ENSG00000186501,TMEM222,21,-1.9273,87,0.30442,84,0.28401,62,-0.3004,71,-0.0864
ENSG00000158195,WASF2,72,0.88581,16,-1.7167,19,-1.5840,73,0.91227,152,2.33640
ENSG00000126705,AHDC1,3,-3.5352,52,0.71171,43,0.35745,16,-1.2637,27,-0.4923
ENSG00000126709,IFI6,352,1.59927,78,-1.0836,112,-0.4855,190,0.50653,169,0.30961
ENSG00000117758,STX12,3,-4.5250,70,-0.1079,95,0.64449,83,0.18499,65,-0.1996
ENSG00000117751,PPP1R8,3,-2.9329,25,0.01633,23,-0.1387,36,0.62611,39,0.77468
ENSG00000117748,RPA2,3,-3.8297,73,1.06922,39,-0.3700,53,0.21843,29,-0.7008
ENSG00000126698,DNAJC8,3,-4.8666,101,0.13968,108,0.35325,118,0.36889,85,-0.1666
ENSG00000130770,ATP5IF1,215,-0.8206,542,0.91251,315,-0.3297,360,-0.0180,177,-1.1138
ENSG00000180098,TRNAU1AP,3,-2.3642,17,0.08639,17,0.04739,23,0.51320,20,0.31405
ENSG00000120656,TAF12,3,-2.1217,14,0.02910,15,0.23883,11,-0.3599,21,0.67722
ENSG00000198492,YTHDF2,179,1.33484,68,-0.3497,87,0.15714,42,-1.0250,42,-1.0408
ENSG00000116350,SRSF4,29,-0.2454,40,0.37327,29,-0.3127,32,-0.0744,38,0.19190
ENSG00000116353,MECR,3,-3.1862,38,0.56280,31,0.14887,32,0.15459,19,-0.6713
ENSG00000060656,PTPRU,96,2.29902,3,-3.5814,33,0.54579,18,-0.5793,13,-1.0932
ENSG00000162511,LAPTM5,64,1.53756,7,-2.1542,18,-0.7867,75,1.84433,27,0.06867
ENSG00000162512,SDC3,3,-5.5624,168,0.14997,174,0.25944,208,0.46429,154,-0.0220
ENSG00000134644,PUM1,3,-4.8966,111,0.29930,126,0.71518,57,-0.8112,66,-0.5864
ENSG00000060688,SNRNP40,3,-2.4887,23,0.54524,15,-0.4051,34,1.03927,13,-0.4533
ENSG00000121766,ZCCHC17,4,-4.4938,121,0.62158,103,0.29665,51,-0.8944,83,-0.1483
ENSG00000121769,FABP3,271,0.62187,227,0.43644,192,0.08901,98,-0.9907,35,-2.5157
ENSG00000162517,PEF1,8,-3.4042,99,0.54004,90,0.37644,58,-0.4464,51,-0.6441
ENSG00000084636,COL16A1,3,-3.5325,37,-0.0139,28,-0.5936,80,1.28414,65,0.91419
ENSG00000121753,ADGRB2,121,-1.2136,404,0.97639,260,-0.0398,192,-0.5077,82,-1.7988
ENSG00000184007,PTP4A2,3,-5.8887,119,-0.8995,177,-0.1823,120,-0.7280,725,2.45357
ENSG00000121774,KHDRBS1,117,0.17549,118,0.25410,93,-0.2678,103,-0.0290,100,-0.0704
ENSG00000025800,KPNA6,3,-3.0799,34,0.50860,24,-0.2944,31,0.22914,39,0.56140
ENSG00000084652,TXLNA,135,2.38643,23,-0.8287,25,-0.8153,31,-0.2684,29,-0.3749
ENSG00000160050,CCDC28B,61,1.75761,19,-0.2967,16,-0.6462,18,-0.3480,20,-0.1812
ENSG00000084623,EIF3I,186,0.72879,126,0.11860,113,-0.1241,102,-0.2465,74,-0.7545
ENSG00000175130,MARCKSL1,3,-6.2602,120,-1.3953,201,-0.5449,406,0.75428,995,2.50632
ENSG00000160058,BSDC1,126,0.89391,85,0.30616,63,-0.3446,34,-1.1831,67,-0.1399
ENSG00000176261,ZBTB8OS,3,-3.4133,37,0.15174,37,0.15701,42,0.31871,41,0.28233
ENSG00000162521,RBBP4,51,-0.5246,79,0.20073,66,-0.1999,86,0.29341,80,0.17134
ENSG00000162522,KIAA1522,3,-2.6587,27,0.64196,21,0.04515,33,0.80342,2,-3.1933
ENSG00000134684,YARS,100,-0.1189,127,0.34044,120,0.25589,74,-0.5985,47,-1.2770
ENSG00000160097,FNDC5,3,-2.9180,22,-0.1856,37,1.16212,22,-0.1682,5,-2.2298
ENSG00000121905,HPCA,142,-0.8437,320,0.60694,292,0.46477,122,-1.0678,42,-2.6631
ENSG00000121900,TMEM54,3,-3.4997,34,-0.1386,39,0.19613,58,0.75079,44,0.28877
ENSG00000116514,RNF19B,3,-2.5272,31,1.24419,15,-0.4481,26,0.54603,1,-3.5391
ENSG00000004455,AK2,3,-2.9252,13,-1.0919,21,-0.3469,54,1.32957,63,1.63069
ENSG00000142920,AZIN2,3,-3.0073,27,0.10800,29,0.30037,25,-0.0421,32,0.32490
ENSG00000160094,ZNF362,3,-2.4172,22,0.56820,15,-0.3515,26,0.69183,16,-0.0697
ENSG00000134686,PHC2,118,0.85110,59,-0.3675,63,-0.2664,52,-0.4742,108,0.70136
ENSG00000163866,SMIM12,74,0.56254,56,0.14179,50,-0.1069,53,0.01510,29,-0.9410
ENSG00000116544,DLGAP3,30,-1.0292,84,0.81498,62,0.13132,53,-0.1508,3,-4.3295
ENSG00000116560,SFPQ,3,-5.4372,175,0.49040,120,-0.3574,261,1.04562,130,-0.1192
ENSG00000146463,ZMYM4,3,-2.9515,25,0.04172,35,0.90846,20,-0.3474,11,-1.2856
ENSG00000142687,KIAA0319L,63,0.24935,66,0.45107,50,-0.1931,54,-0.0019,24,-1.2150
ENSG00000020129,NCDN,225,-1.0477,812,1.51730,351,-0.5193,283,-0.6988,73,-2.7243
ENSG00000126067,PSMB2,3,-4.8268,139,0.96788,90,-0.0499,77,-0.2726,59,-0.6970
ENSG00000142686,C1orf216,5,-4.0583,137,1.16755,85,0.02769,63,-0.4552,19,-2.2198
ENSG00000092847,AGO1,3,-3.3612,31,-0.1007,40,0.45599,47,0.56731,28,-0.2633
ENSG00000116863,ADPRHL2,55,1.38096,21,-0.2714,21,-0.3365,14,-0.8327,27,0.14291
ENSG00000054116,TRAPPC3,3,-3.7977,64,0.78572,46,0.07478,36,-0.3265,33,-0.4908
ENSG00000116871,MAP7D1,185,-0.1637,258,0.50161,163,-0.5153,216,0.08286,223,0.13553
ENSG00000054118,THRAP3,161,1.23619,53,-0.7398,83,0.16033,68,-0.2160,57,-0.4737
ENSG00000196182,STK40,69,1.75362,22,-0.2200,20,-0.4645,24,-0.0598,9,-1.5566
ENSG00000181817,LSM10,3,-3.5301,38,0.03522,50,0.81671,29,-0.3768,25,-0.6430
ENSG00000116885,OSCP1,3,-2.1651,27,1.48470,13,-0.2013,3,-2.0383,5,-1.5261
ENSG00000116898,MRPS15,3,-3.6801,50,0.41698,49,0.43574,31,-0.4557,32,-0.3863
ENSG00000163873,GRIK3,3,-2.5162,7,-1.6420,36,2.39655,4,-2.2147,11,-0.8372
ENSG00000163875,MEAF6,3,-4.6048,100,0.53484,102,0.70177,35,-1.2322,37,-1.1717
ENSG00000134697,GNL2,45,1.43860,18,-0.1154,16,-0.3932,5,-1.8703,23,0.27997
ENSG00000183317,EPHA10,3,-2.2599,30,1.70412,13,-0.3969,9,-0.8522,0,-7.7780
ENSG00000185090,MANEAL,3,-3.2748,48,0.98169,31,-0.0265,32,0.06163,9,-1.8080
ENSG00000197982,C1orf122,81,-1.5154,202,-0.1511,189,-0.3246,269,0.34049,465,1.28770
ENSG00000183431,SF3A3,3,-3.0997,39,0.76946,28,0.02204,29,0.09864,15,-0.9313
ENSG00000183520,UTP11,44,0.94560,38,0.96983,17,-0.8618,17,-0.5758,7,-1.8640
ENSG00000116954,RRAGC,3,-3.6132,37,-0.1017,50,0.60328,49,0.33390,31,-0.3618
ENSG00000174574,AKIRIN1,3,-4.2949,99,1.03766,59,-0.1778,39,-0.7613,59,-0.0987
ENSG00000168653,NDUFS5,151,-1.8313,615,0.45607,525,0.12647,461,-0.1244,427,-0.2441
ENSG00000127603,MACF1,61,-0.9168,105,-0.0993,105,-0.0997,173,0.73987,131,0.27663
ENSG00000090621,PABPC4,3,-4.0352,43,-0.4224,59,0.26139,80,0.67561,83,0.73514
ENSG00000116983,HPCAL4,51,-2.4898,373,0.77464,304,0.35157,193,-0.5011,66,-2.1072
ENSG00000084072,PPIE,23,-0.3299,27,-0.1217,26,-0.1717,52,0.98410,24,-0.2729
ENSG00000168389,MFSD2A,3,-2.7844,20,-0.2167,14,-0.9501,81,2.33563,22,-0.0186
ENSG00000131236,CAP1,191,0.57080,156,0.30430,117,-0.3343,118,-0.2166,107,-0.3708
ENSG00000131238,PPT1,254,1.17669,128,0.03746,119,-0.1365,88,-0.5660,58,-1.1901
ENSG00000084073,ZMPSTE24,3,-3.2365,31,0.06870,33,0.22152,31,0.03786,42,0.53314
ENSG00000049089,COL9A2,3,-2.8878,11,-1.4188,9,-1.8749,22,-0.1346,146,3.76302
ENSG00000084070,SMAP2,255,1.01004,177,0.52324,122,-0.3028,89,-0.6994,29,-2.3655
ENSG00000117016,RIMS3,15,-2.4309,106,0.73378,95,0.57389,45,-0.8162,4,-4.1450
ENSG00000066136,NFYC,3,-3.3483,56,1.30013,27,-0.4507,38,0.22028,11,-1.6903
ENSG00000171793,CTPS1,3,-2.2708,19,0.46568,20,0.63492,11,-0.5103,3,-2.1346
ENSG00000010803,SCMH1,3,-2.2597,20,0.52733,16,0.14166,24,0.72269,2,-2.7044
ENSG00000127124,HIVEP3,3,-2.4227,18,0.09030,22,0.67817,9,-0.9728,17,-0.0542
ENSG00000198815,FOXJ3,3,-3.8515,78,1.23868,45,-0.1008,37,-0.3739,12,-1.9890
ENSG00000177181,RIMKLA,59,0.81647,50,0.76026,31,-0.2955,15,-1.3464,7,-2.3108
ENSG00000127125,PPCS,3,-3.7339,55,0.54612,40,-0.1697,55,0.41271,45,0.09116
ENSG00000065978,YBX1,3,-4.2361,56,-0.1774,46,-0.6052,108,0.95757,145,1.48423
ENSG00000164008,C1orf50,3,-2.6005,22,0.29343,21,0.14057,27,0.52170,15,-0.4240
ENSG00000177868,SVBP,3,-3.0885,34,0.43176,25,-0.1771,37,0.49597,31,0.21713
ENSG00000117394,SLC2A1,138,0.86439,34,-1.5661,44,-1.2941,355,2.77455,49,-0.8083
ENSG00000117395,EBNA1BP2,99,0.65758,107,1.13098,41,-1.0150,49,-0.4890,30,-1.2279
ENSG00000179178,TMEM125,3,-2.7317,8,-1.6625,5,-2.5299,12,-0.8207,153,4.40363
