"","cell_type_broad","cluster","mod","n_genes","n_FDR05","nUP","nDown"
"51","Oligo","Oligo.5","E4E4",9670,0,0,0
"52","OPC","OPC.1","E4E4",13679,0,0,0
"53","OPC","OPC.2","E4E4",11203,0,0,0
"54","OPC","OPC.3","E4E4",14268,0,0,0
"55","OPC","OPC.4","E4E4",11598,0,0,0
"56","OPC","OPC.5","E4E4",1380,0,0,0
"57","Vasc","Vasc.Endo","E4E4",5058,9,7,2
"58","Vasc","Vasc.VLMC","E4E4",6644,0,0,0
"59","Excit","Excit.L2","E4E4",20080,0,0,0
"60","Excit","Excit.L2_5.mix","E4E4",22201,0,0,0
"61","Excit","Excit.L2_5.RELN","E4E4",13343,30,24,6
"62","Excit","Excit.L5.RELN","E4E4",14797,0,0,0
"63","Excit","Excit.L5.RORB","E4E4",18607,0,0,0
"64","Excit","Excit.L6.CT","E4E4",15211,0,0,0
"65","Excit","Excit.L6b","E4E4",15739,0,0,0
"66","Inhib","Inhib.LAMP5_LHX6","E4E4",14063,0,0,0
"67","Inhib","Inhib.PVALB","E4E4",15219,0,0,0
"68","Inhib","Inhib.VIP","E4E4",19549,0,0,0
"69","Inhib","Inhib.Chandelier","E4E4",8999,0,0,0
"70","Inhib","Inhib.SST","E4E4",12194,2,2,0
"71","Astro","Astro.1","apoe_E2E2_E4E4",16867,3,1,2
"72","Astro","Astro.2","apoe_E2E2_E4E4",9994,12,4,8
"73","Astro","Astro.3","apoe_E2E2_E4E4",11282,0,0,0
"74","Astro","Astro.4","apoe_E2E2_E4E4",8135,0,0,0
"75","Astro","Astro.5","apoe_E2E2_E4E4",1793,0,0,0
"76","Macro","Macro","apoe_E2E2_E4E4",2931,0,0,0
"77","Micro","Micro.1","apoe_E2E2_E4E4",10158,0,0,0
"78","Micro","Micro.2","apoe_E2E2_E4E4",8763,1,1,0
"79","Micro","Micro.3","apoe_E2E2_E4E4",7923,0,0,0
"80","Micro","Micro.4","apoe_E2E2_E4E4",7227,0,0,0
"81","Micro","Micro.5","apoe_E2E2_E4E4",2327,0,0,0
"82","Oligo","Oligo.1","apoe_E2E2_E4E4",13881,0,0,0
"83","Oligo","Oligo.2","apoe_E2E2_E4E4",13983,0,0,0
"84","Oligo","Oligo.3","apoe_E2E2_E4E4",11496,3,2,1
"85","Oligo","Oligo.4","apoe_E2E2_E4E4",12055,0,0,0
"86","Oligo","Oligo.5","apoe_E2E2_E4E4",9670,0,0,0
"87","OPC","OPC.1","apoe_E2E2_E4E4",13679,0,0,0
"88","OPC","OPC.2","apoe_E2E2_E4E4",11203,0,0,0
"89","OPC","OPC.3","apoe_E2E2_E4E4",14268,0,0,0
"90","OPC","OPC.4","apoe_E2E2_E4E4",11598,0,0,0
"91","OPC","OPC.5","apoe_E2E2_E4E4",1380,0,0,0
"92","Vasc","Vasc.Endo","apoe_E2E2_E4E4",5058,3,3,0
"93","Vasc","Vasc.VLMC","apoe_E2E2_E4E4",6644,2,1,1
"94","Excit","Excit.L2","apoe_E2E2_E4E4",20080,0,0,0
"95","Excit","Excit.L2_5.mix","apoe_E2E2_E4E4",22201,0,0,0
"96","Excit","Excit.L2_5.RELN","apoe_E2E2_E4E4",13343,18,1,17
"97","Excit","Excit.L5.RELN","apoe_E2E2_E4E4",14797,0,0,0
"98","Excit","Excit.L5.RORB","apoe_E2E2_E4E4",18607,0,0,0
"99","Excit","Excit.L6.CT","apoe_E2E2_E4E4",15211,0,0,0
"100","Excit","Excit.L6b","apoe_E2E2_E4E4",15739,0,0,0
"101","Inhib","Inhib.LAMP5_LHX6","apoe_E2E2_E4E4",14063,0,0,0
"102","Inhib","Inhib.PVALB","apoe_E2E2_E4E4",15219,0,0,0
"103","Inhib","Inhib.VIP","apoe_E2E2_E4E4",19549,2,0,2
"104","Inhib","Inhib.Chandelier","apoe_E2E2_E4E4",8999,0,0,0
"105","Inhib","Inhib.SST","apoe_E2E2_E4E4",12194,1,0,1
"106","Astro","Astro.1","apoe_E3E4_E4E4",16867,2,1,1
"107","Astro","Astro.2","apoe_E3E4_E4E4",9994,0,0,0
"108","Astro","Astro.3","apoe_E3E4_E4E4",11282,3,3,0
"109","Astro","Astro.4","apoe_E3E4_E4E4",8135,0,0,0
"110","Astro","Astro.5","apoe_E3E4_E4E4",1793,0,0,0
"111","Macro","Macro","apoe_E3E4_E4E4",2931,13,5,8
"112","Micro","Micro.1","apoe_E3E4_E4E4",10158,0,0,0
"113","Micro","Micro.2","apoe_E3E4_E4E4",8763,1,1,0
"114","Micro","Micro.3","apoe_E3E4_E4E4",7923,0,0,0
"115","Micro","Micro.4","apoe_E3E4_E4E4",7227,0,0,0
"116","Micro","Micro.5","apoe_E3E4_E4E4",2327,0,0,0
"117","Oligo","Oligo.1","apoe_E3E4_E4E4",13881,0,0,0
"118","Oligo","Oligo.2","apoe_E3E4_E4E4",13983,0,0,0
"119","Oligo","Oligo.3","apoe_E3E4_E4E4",11496,0,0,0
"120","Oligo","Oligo.4","apoe_E3E4_E4E4",12055,0,0,0
"121","Oligo","Oligo.5","apoe_E3E4_E4E4",9670,0,0,0
"122","OPC","OPC.1","apoe_E3E4_E4E4",13679,2,2,0
"123","OPC","OPC.2","apoe_E3E4_E4E4",11203,0,0,0
"124","OPC","OPC.3","apoe_E3E4_E4E4",14268,1,1,0
"125","OPC","OPC.4","apoe_E3E4_E4E4",11598,0,0,0
"126","OPC","OPC.5","apoe_E3E4_E4E4",1380,0,0,0
"127","Vasc","Vasc.Endo","apoe_E3E4_E4E4",5058,5,1,4
"128","Vasc","Vasc.VLMC","apoe_E3E4_E4E4",6644,1,0,1
"129","Excit","Excit.L2","apoe_E3E4_E4E4",20080,0,0,0
"130","Excit","Excit.L2_5.mix","apoe_E3E4_E4E4",22201,0,0,0
"131","Excit","Excit.L2_5.RELN","apoe_E3E4_E4E4",13343,50,12,38
"132","Excit","Excit.L5.RELN","apoe_E3E4_E4E4",14797,1,0,1
"133","Excit","Excit.L5.RORB","apoe_E3E4_E4E4",18607,0,0,0
"134","Excit","Excit.L6.CT","apoe_E3E4_E4E4",15211,0,0,0
"135","Excit","Excit.L6b","apoe_E3E4_E4E4",15739,0,0,0
"136","Inhib","Inhib.LAMP5_LHX6","apoe_E3E4_E4E4",14063,0,0,0
"137","Inhib","Inhib.PVALB","apoe_E3E4_E4E4",15219,0,0,0
"138","Inhib","Inhib.VIP","apoe_E3E4_E4E4",19549,0,0,0
"139","Inhib","Inhib.Chandelier","apoe_E3E4_E4E4",8999,0,0,0
"140","Inhib","Inhib.SST","apoe_E3E4_E4E4",12194,0,0,0
"141","Astro","Astro.1","apoe_E2E3_E4E4",16867,1,0,1
"142","Astro","Astro.2","apoe_E2E3_E4E4",9994,0,0,0
"143","Astro","Astro.3","apoe_E2E3_E4E4",11282,0,0,0
"144","Astro","Astro.4","apoe_E2E3_E4E4",8135,0,0,0
"145","Astro","Astro.5","apoe_E2E3_E4E4",1793,0,0,0
"146","Macro","Macro","apoe_E2E3_E4E4",2931,0,0,0
"147","Micro","Micro.1","apoe_E2E3_E4E4",10158,0,0,0
"148","Micro","Micro.2","apoe_E2E3_E4E4",8763,0,0,0
"149","Micro","Micro.3","apoe_E2E3_E4E4",7923,0,0,0
"150","Micro","Micro.4","apoe_E2E3_E4E4",7227,1,0,1
"151","Micro","Micro.5","apoe_E2E3_E4E4",2327,0,0,0
"152","Oligo","Oligo.1","apoe_E2E3_E4E4",13881,0,0,0
"153","Oligo","Oligo.2","apoe_E2E3_E4E4",13983,2,2,0
"154","Oligo","Oligo.3","apoe_E2E3_E4E4",11496,0,0,0
"155","Oligo","Oligo.4","apoe_E2E3_E4E4",12055,0,0,0
"156","Oligo","Oligo.5","apoe_E2E3_E4E4",9670,0,0,0
"157","OPC","OPC.1","apoe_E2E3_E4E4",13679,0,0,0
"158","OPC","OPC.2","apoe_E2E3_E4E4",11203,0,0,0
"159","OPC","OPC.3","apoe_E2E3_E4E4",14268,0,0,0
"160","OPC","OPC.4","apoe_E2E3_E4E4",11598,0,0,0
"161","OPC","OPC.5","apoe_E2E3_E4E4",1380,0,0,0
"162","Vasc","Vasc.Endo","apoe_E2E3_E4E4",5058,0,0,0
"163","Vasc","Vasc.VLMC","apoe_E2E3_E4E4",6644,0,0,0
"164","Excit","Excit.L2","apoe_E2E3_E4E4",20080,0,0,0
"165","Excit","Excit.L2_5.mix","apoe_E2E3_E4E4",22201,0,0,0
"166","Excit","Excit.L2_5.RELN","apoe_E2E3_E4E4",13343,239,44,195
"167","Excit","Excit.L5.RELN","apoe_E2E3_E4E4",14797,0,0,0
"168","Excit","Excit.L5.RORB","apoe_E2E3_E4E4",18607,0,0,0
"169","Excit","Excit.L6.CT","apoe_E2E3_E4E4",15211,0,0,0
"170","Excit","Excit.L6b","apoe_E2E3_E4E4",15739,0,0,0
"171","Inhib","Inhib.LAMP5_LHX6","apoe_E2E3_E4E4",14063,0,0,0
"172","Inhib","Inhib.PVALB","apoe_E2E3_E4E4",15219,0,0,0
"173","Inhib","Inhib.VIP","apoe_E2E3_E4E4",19549,0,0,0
"174","Inhib","Inhib.Chandelier","apoe_E2E3_E4E4",8999,0,0,0
"175","Inhib","Inhib.SST","apoe_E2E3_E4E4",12194,1,0,1
"176","Astro","Astro.1","apoe_E2E2_E3E4",16867,12,8,4
"177","Astro","Astro.2","apoe_E2E2_E3E4",9994,57,15,42
"178","Astro","Astro.3","apoe_E2E2_E3E4",11282,132,21,111
"179","Astro","Astro.4","apoe_E2E2_E3E4",8135,0,0,0
"180","Astro","Astro.5","apoe_E2E2_E3E4",1793,1,1,0
"181","Macro","Macro","apoe_E2E2_E3E4",2931,18,10,8
"182","Micro","Micro.1","apoe_E2E2_E3E4",10158,9,6,3
"183","Micro","Micro.2","apoe_E2E2_E3E4",8763,11,4,7
"184","Micro","Micro.3","apoe_E2E2_E3E4",7923,2,1,1
"185","Micro","Micro.4","apoe_E2E2_E3E4",7227,0,0,0
"186","Micro","Micro.5","apoe_E2E2_E3E4",2327,0,0,0
"187","Oligo","Oligo.1","apoe_E2E2_E3E4",13881,0,0,0
"188","Oligo","Oligo.2","apoe_E2E2_E3E4",13983,7,6,1
"189","Oligo","Oligo.3","apoe_E2E2_E3E4",11496,496,349,147
"190","Oligo","Oligo.4","apoe_E2E2_E3E4",12055,0,0,0
"191","Oligo","Oligo.5","apoe_E2E2_E3E4",9670,149,124,25
"192","OPC","OPC.1","apoe_E2E2_E3E4",13679,0,0,0
"193","OPC","OPC.2","apoe_E2E2_E3E4",11203,0,0,0
"194","OPC","OPC.3","apoe_E2E2_E3E4",14268,0,0,0
"195","OPC","OPC.4","apoe_E2E2_E3E4",11598,0,0,0
"196","OPC","OPC.5","apoe_E2E2_E3E4",1380,0,0,0
"197","Vasc","Vasc.Endo","apoe_E2E2_E3E4",5058,4,4,0
"198","Vasc","Vasc.VLMC","apoe_E2E2_E3E4",6644,5,4,1
"199","Excit","Excit.L2","apoe_E2E2_E3E4",20080,0,0,0
"200","Excit","Excit.L2_5.mix","apoe_E2E2_E3E4",22201,201,77,124
"201","Excit","Excit.L2_5.RELN","apoe_E2E2_E3E4",13343,19,4,15
"202","Excit","Excit.L5.RELN","apoe_E2E2_E3E4",14797,0,0,0
"203","Excit","Excit.L5.RORB","apoe_E2E2_E3E4",18607,0,0,0
"204","Excit","Excit.L6.CT","apoe_E2E2_E3E4",15211,0,0,0
"205","Excit","Excit.L6b","apoe_E2E2_E3E4",15739,0,0,0
"206","Inhib","Inhib.LAMP5_LHX6","apoe_E2E2_E3E4",14063,0,0,0
"207","Inhib","Inhib.PVALB","apoe_E2E2_E3E4",15219,7,4,3
"208","Inhib","Inhib.VIP","apoe_E2E2_E3E4",19549,48,6,42
"209","Inhib","Inhib.Chandelier","apoe_E2E2_E3E4",8999,0,0,0
"210","Inhib","Inhib.SST","apoe_E2E2_E3E4",12194,0,0,0
"211","Astro","Astro.1","apoe_E2E2_E2E3",16867,3,1,2
"212","Astro","Astro.2","apoe_E2E2_E2E3",9994,0,0,0
"213","Astro","Astro.3","apoe_E2E2_E2E3",11282,0,0,0
"214","Astro","Astro.4","apoe_E2E2_E2E3",8135,0,0,0
"215","Astro","Astro.5","apoe_E2E2_E2E3",1793,0,0,0
"216","Macro","Macro","apoe_E2E2_E2E3",2931,0,0,0
"217","Micro","Micro.1","apoe_E2E2_E2E3",10158,0,0,0
"218","Micro","Micro.2","apoe_E2E2_E2E3",8763,0,0,0
"219","Micro","Micro.3","apoe_E2E2_E2E3",7923,0,0,0
"220","Micro","Micro.4","apoe_E2E2_E2E3",7227,0,0,0
"221","Micro","Micro.5","apoe_E2E2_E2E3",2327,0,0,0
"222","Oligo","Oligo.1","apoe_E2E2_E2E3",13881,0,0,0
"223","Oligo","Oligo.2","apoe_E2E2_E2E3",13983,2,0,2
"224","Oligo","Oligo.3","apoe_E2E2_E2E3",11496,0,0,0
"225","Oligo","Oligo.4","apoe_E2E2_E2E3",12055,1,0,1
"226","Oligo","Oligo.5","apoe_E2E2_E2E3",9670,0,0,0
"227","OPC","OPC.1","apoe_E2E2_E2E3",13679,0,0,0
"228","OPC","OPC.2","apoe_E2E2_E2E3",11203,0,0,0
"229","OPC","OPC.3","apoe_E2E2_E2E3",14268,0,0,0
"230","OPC","OPC.4","apoe_E2E2_E2E3",11598,0,0,0
"231","OPC","OPC.5","apoe_E2E2_E2E3",1380,1,1,0
"232","Vasc","Vasc.Endo","apoe_E2E2_E2E3",5058,0,0,0
"233","Vasc","Vasc.VLMC","apoe_E2E2_E2E3",6644,6,5,1
"234","Excit","Excit.L2","apoe_E2E2_E2E3",20080,0,0,0
"235","Excit","Excit.L2_5.mix","apoe_E2E2_E2E3",22201,0,0,0
"236","Excit","Excit.L2_5.RELN","apoe_E2E2_E2E3",13343,30,7,23
"237","Excit","Excit.L5.RELN","apoe_E2E2_E2E3",14797,1,1,0
"238","Excit","Excit.L5.RORB","apoe_E2E2_E2E3",18607,0,0,0
"239","Excit","Excit.L6.CT","apoe_E2E2_E2E3",15211,0,0,0
"240","Excit","Excit.L6b","apoe_E2E2_E2E3",15739,0,0,0
"241","Inhib","Inhib.LAMP5_LHX6","apoe_E2E2_E2E3",14063,1,1,0
"242","Inhib","Inhib.PVALB","apoe_E2E2_E2E3",15219,0,0,0
"243","Inhib","Inhib.VIP","apoe_E2E2_E2E3",19549,4,0,4
"244","Inhib","Inhib.Chandelier","apoe_E2E2_E2E3",8999,0,0,0
"245","Inhib","Inhib.SST","apoe_E2E2_E2E3",12194,0,0,0
"246","Astro","Astro.1","apoe_E2E3_E3E4",16867,0,0,0
"247","Astro","Astro.2","apoe_E2E3_E3E4",9994,2,0,2
"248","Astro","Astro.3","apoe_E2E3_E3E4",11282,25,2,23
"249","Astro","Astro.4","apoe_E2E3_E3E4",8135,7,1,6
"250","Astro","Astro.5","apoe_E2E3_E3E4",1793,1,1,0
"251","Macro","Macro","apoe_E2E3_E3E4",2931,104,50,54
"252","Micro","Micro.1","apoe_E2E3_E3E4",10158,0,0,0
"253","Micro","Micro.2","apoe_E2E3_E3E4",8763,1,0,1
"254","Micro","Micro.3","apoe_E2E3_E3E4",7923,0,0,0
"255","Micro","Micro.4","apoe_E2E3_E3E4",7227,2,0,2
"256","Micro","Micro.5","apoe_E2E3_E3E4",2327,1,1,0
"257","Oligo","Oligo.1","apoe_E2E3_E3E4",13881,0,0,0
"258","Oligo","Oligo.2","apoe_E2E3_E3E4",13983,3,3,0
"259","Oligo","Oligo.3","apoe_E2E3_E3E4",11496,709,584,125
"260","Oligo","Oligo.4","apoe_E2E3_E3E4",12055,0,0,0
"261","Oligo","Oligo.5","apoe_E2E3_E3E4",9670,0,0,0
"262","OPC","OPC.1","apoe_E2E3_E3E4",13679,3,0,3
"263","OPC","OPC.2","apoe_E2E3_E3E4",11203,0,0,0
"264","OPC","OPC.3","apoe_E2E3_E3E4",14268,5,0,5
"265","OPC","OPC.4","apoe_E2E3_E3E4",11598,1,0,1
"266","OPC","OPC.5","apoe_E2E3_E3E4",1380,0,0,0
"267","Vasc","Vasc.Endo","apoe_E2E3_E3E4",5058,67,24,43
"268","Vasc","Vasc.VLMC","apoe_E2E3_E3E4",6644,2,0,2
"269","Excit","Excit.L2","apoe_E2E3_E3E4",20080,0,0,0
"270","Excit","Excit.L2_5.mix","apoe_E2E3_E3E4",22201,0,0,0
"271","Excit","Excit.L2_5.RELN","apoe_E2E3_E3E4",13343,68,44,24
"272","Excit","Excit.L5.RELN","apoe_E2E3_E3E4",14797,0,0,0
"273","Excit","Excit.L5.RORB","apoe_E2E3_E3E4",18607,0,0,0
"274","Excit","Excit.L6.CT","apoe_E2E3_E3E4",15211,0,0,0
"275","Excit","Excit.L6b","apoe_E2E3_E3E4",15739,0,0,0
"276","Inhib","Inhib.LAMP5_LHX6","apoe_E2E3_E3E4",14063,0,0,0
"277","Inhib","Inhib.PVALB","apoe_E2E3_E3E4",15219,0,0,0
"278","Inhib","Inhib.VIP","apoe_E2E3_E3E4",19549,0,0,0
"279","Inhib","Inhib.Chandelier","apoe_E2E3_E3E4",8999,0,0,0
"280","Inhib","Inhib.SST","apoe_E2E3_E3E4",12194,0,0,0
"281","Astro","Astro.1","anyE2_E4E4",16867,1,0,1
"282","Astro","Astro.2","anyE2_E4E4",9994,0,0,0
"283","Astro","Astro.3","anyE2_E4E4",11282,0,0,0
"284","Astro","Astro.4","anyE2_E4E4",8135,0,0,0
"285","Astro","Astro.5","anyE2_E4E4",1793,0,0,0
"286","Macro","Macro","anyE2_E4E4",2931,0,0,0
"287","Micro","Micro.1","anyE2_E4E4",10158,0,0,0
"288","Micro","Micro.2","anyE2_E4E4",8763,0,0,0
"289","Micro","Micro.3","anyE2_E4E4",7923,0,0,0
"290","Micro","Micro.4","anyE2_E4E4",7227,0,0,0
"291","Micro","Micro.5","anyE2_E4E4",2327,0,0,0
"292","Oligo","Oligo.1","anyE2_E4E4",13881,0,0,0
"293","Oligo","Oligo.2","anyE2_E4E4",13983,0,0,0
"294","Oligo","Oligo.3","anyE2_E4E4",11496,0,0,0
"295","Oligo","Oligo.4","anyE2_E4E4",12055,0,0,0
"296","Oligo","Oligo.5","anyE2_E4E4",9670,0,0,0
"297","OPC","OPC.1","anyE2_E4E4",13679,0,0,0
"298","OPC","OPC.2","anyE2_E4E4",11203,0,0,0
"299","OPC","OPC.3","anyE2_E4E4",14268,0,0,0
"300","OPC","OPC.4","anyE2_E4E4",11598,0,0,0
"301","OPC","OPC.5","anyE2_E4E4",1380,0,0,0
"302","Vasc","Vasc.Endo","anyE2_E4E4",5058,6,1,5
"303","Vasc","Vasc.VLMC","anyE2_E4E4",6644,0,0,0
"304","Excit","Excit.L2","anyE2_E4E4",20080,0,0,0
"305","Excit","Excit.L2_5.mix","anyE2_E4E4",22201,0,0,0
"306","Excit","Excit.L2_5.RELN","anyE2_E4E4",13343,27,2,25
"307","Excit","Excit.L5.RELN","anyE2_E4E4",14797,0,0,0
"308","Excit","Excit.L5.RORB","anyE2_E4E4",18607,0,0,0
"309","Excit","Excit.L6.CT","anyE2_E4E4",15211,0,0,0
"310","Excit","Excit.L6b","anyE2_E4E4",15739,0,0,0
"311","Inhib","Inhib.LAMP5_LHX6","anyE2_E4E4",14063,0,0,0
"312","Inhib","Inhib.PVALB","anyE2_E4E4",15219,0,0,0
"313","Inhib","Inhib.VIP","anyE2_E4E4",19549,1,0,1
"314","Inhib","Inhib.Chandelier","anyE2_E4E4",8999,0,0,0
"315","Inhib","Inhib.SST","anyE2_E4E4",12194,2,0,2
"316","Astro","Astro.1","E2E2_anyE4",16867,10,8,2
"317","Astro","Astro.2","E2E2_anyE4",9994,64,22,42
"318","Astro","Astro.3","E2E2_anyE4",11282,25,6,19
"319","Astro","Astro.4","E2E2_anyE4",8135,0,0,0
"320","Astro","Astro.5","E2E2_anyE4",1793,0,0,0
"321","Macro","Macro","E2E2_anyE4",2931,0,0,0
"322","Micro","Micro.1","E2E2_anyE4",10158,6,4,2
"323","Micro","Micro.2","E2E2_anyE4",8763,5,3,2
"324","Micro","Micro.3","E2E2_anyE4",7923,0,0,0
"325","Micro","Micro.4","E2E2_anyE4",7227,0,0,0
"326","Micro","Micro.5","E2E2_anyE4",2327,0,0,0
"327","Oligo","Oligo.1","E2E2_anyE4",13881,0,0,0
"328","Oligo","Oligo.2","E2E2_anyE4",13983,0,0,0
"329","Oligo","Oligo.3","E2E2_anyE4",11496,306,227,79
"330","Oligo","Oligo.4","E2E2_anyE4",12055,0,0,0
"331","Oligo","Oligo.5","E2E2_anyE4",9670,14,13,1
"332","OPC","OPC.1","E2E2_anyE4",13679,0,0,0
"333","OPC","OPC.2","E2E2_anyE4",11203,0,0,0
"334","OPC","OPC.3","E2E2_anyE4",14268,0,0,0
"335","OPC","OPC.4","E2E2_anyE4",11598,0,0,0
"336","OPC","OPC.5","E2E2_anyE4",1380,0,0,0
"337","Vasc","Vasc.Endo","E2E2_anyE4",5058,5,5,0
"338","Vasc","Vasc.VLMC","E2E2_anyE4",6644,1,1,0
"339","Excit","Excit.L2","E2E2_anyE4",20080,0,0,0
"340","Excit","Excit.L2_5.mix","E2E2_anyE4",22201,37,14,23
"341","Excit","Excit.L2_5.RELN","E2E2_anyE4",13343,23,2,21
"342","Excit","Excit.L5.RELN","E2E2_anyE4",14797,2,2,0
"343","Excit","Excit.L5.RORB","E2E2_anyE4",18607,0,0,0
"344","Excit","Excit.L6.CT","E2E2_anyE4",15211,0,0,0
"345","Excit","Excit.L6b","E2E2_anyE4",15739,0,0,0
"346","Inhib","Inhib.LAMP5_LHX6","E2E2_anyE4",14063,0,0,0
"347","Inhib","Inhib.PVALB","E2E2_anyE4",15219,0,0,0
"348","Inhib","Inhib.VIP","E2E2_anyE4",19549,22,3,19
"349","Inhib","Inhib.Chandelier","E2E2_anyE4",8999,0,0,0
"350","Inhib","Inhib.SST","E2E2_anyE4",12194,0,0,0
"351","Astro","Astro.1","E2E3_anyE4",16867,0,0,0
"352","Astro","Astro.2","E2E3_anyE4",9994,0,0,0
"353","Astro","Astro.3","E2E3_anyE4",11282,0,0,0
"354","Astro","Astro.4","E2E3_anyE4",8135,0,0,0
"355","Astro","Astro.5","E2E3_anyE4",1793,3,2,1
"356","Macro","Macro","E2E3_anyE4",2931,11,6,5
"357","Micro","Micro.1","E2E3_anyE4",10158,0,0,0
"358","Micro","Micro.2","E2E3_anyE4",8763,0,0,0
"359","Micro","Micro.3","E2E3_anyE4",7923,0,0,0
"360","Micro","Micro.4","E2E3_anyE4",7227,2,0,2
"361","Micro","Micro.5","E2E3_anyE4",2327,0,0,0
"362","Oligo","Oligo.1","E2E3_anyE4",13881,0,0,0
"363","Oligo","Oligo.2","E2E3_anyE4",13983,0,0,0
"364","Oligo","Oligo.3","E2E3_anyE4",11496,98,86,12
"365","Oligo","Oligo.4","E2E3_anyE4",12055,0,0,0
"366","Oligo","Oligo.5","E2E3_anyE4",9670,0,0,0
"367","OPC","OPC.1","E2E3_anyE4",13679,0,0,0
"368","OPC","OPC.2","E2E3_anyE4",11203,0,0,0
"369","OPC","OPC.3","E2E3_anyE4",14268,0,0,0
"370","OPC","OPC.4","E2E3_anyE4",11598,0,0,0
"371","OPC","OPC.5","E2E3_anyE4",1380,0,0,0
"372","Vasc","Vasc.Endo","E2E3_anyE4",5058,14,4,10
"373","Vasc","Vasc.VLMC","E2E3_anyE4",6644,0,0,0
"374","Excit","Excit.L2","E2E3_anyE4",20080,0,0,0
"375","Excit","Excit.L2_5.mix","E2E3_anyE4",22201,0,0,0
"376","Excit","Excit.L2_5.RELN","E2E3_anyE4",13343,95,49,46
"377","Excit","Excit.L5.RELN","E2E3_anyE4",14797,0,0,0
"378","Excit","Excit.L5.RORB","E2E3_anyE4",18607,0,0,0
"379","Excit","Excit.L6.CT","E2E3_anyE4",15211,0,0,0
"380","Excit","Excit.L6b","E2E3_anyE4",15739,0,0,0
"381","Inhib","Inhib.LAMP5_LHX6","E2E3_anyE4",14063,0,0,0
"382","Inhib","Inhib.PVALB","E2E3_anyE4",15219,0,0,0
"383","Inhib","Inhib.VIP","E2E3_anyE4",19549,0,0,0
"384","Inhib","Inhib.Chandelier","E2E3_anyE4",8999,0,0,0
"385","Inhib","Inhib.SST","E2E3_anyE4",12194,1,0,1
"386","Astro","Astro.1","Sex",16867,28,23,5
"387","Astro","Astro.2","Sex",9994,13,12,1
"388","Astro","Astro.3","Sex",11282,18,15,3
"389","Astro","Astro.4","Sex",8135,15,12,3
"390","Astro","Astro.5","Sex",1793,6,5,1
"391","Macro","Macro","Sex",2931,2,1,1
"392","Micro","Micro.1","Sex",10158,17,15,2
"393","Micro","Micro.2","Sex",8763,16,13,3
"394","Micro","Micro.3","Sex",7923,14,12,2
"395","Micro","Micro.4","Sex",7227,22,15,7
"396","Micro","Micro.5","Sex",2327,8,6,2
"397","Oligo","Oligo.1","Sex",13881,21,15,6
