Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000272106,AL691432.2,27,0.39607,22,0.10962,19,-0.1441,24,0.26368,14,-0.5915,29,0.50179,16,-0.4249,18,-0.2119,20,-0.0615
ENSG00000197530,MIB2,27,-0.4020,31,-0.1859,20,-0.8078,34,-0.0476,71,1.14484,45,0.41870,29,-0.3067,31,-0.1733,34,-0.0637
ENSG00000189339,SLC35E2B,27,-0.1021,30,0.08251,16,-0.8642,29,0.03216,25,-0.2294,35,0.29980,24,-0.2665,25,-0.2089,39,0.56786
ENSG00000215790,SLC35E2A,27,0.24151,13,-0.8078,19,-0.2806,25,0.15291,15,-0.6204,14,-0.7259,24,0.08121,22,-0.0311,33,0.64143
ENSG00000008130,NADK,27,0.14471,37,0.67109,19,-0.4137,28,0.25944,26,0.09765,27,0.14712,21,-0.2588,12,-1.0829,24,-0.0627
ENSG00000078369,GNB1,28,-3.7388,230,-0.6309,266,-0.4054,462,0.52112,270,-0.3842,327,-0.0862,349,0.02009,427,0.33833,487,0.61796
ENSG00000187730,GABRD,27,-1.4710,5,-3.7480,2,-5.1514,137,1.23421,47,-0.6408,37,-0.9852,65,-0.1630,76,0.09810,128,1.09807
ENSG00000067606,PRKCZ,27,-2.5349,53,-1.5429,87,-0.8010,223,0.75396,109,-0.4675,164,0.17497,169,0.24794,200,0.48868,170,0.25497
ENSG00000162585,FAAP20,27,-1.1214,66,0.25688,73,0.41408,44,-0.3995,51,-0.1478,51,-0.1549,69,0.35388,61,0.12531,60,0.10583
ENSG00000157933,SKI,56,0.98467,36,0.26267,32,0.05390,17,-0.9880,17,-0.8909,28,-0.1076,38,0.39609,32,0.09127,27,-0.1785
ENSG00000157916,RER1,27,-1.3639,70,0.09017,100,0.65877,82,0.36827,67,0.01767,76,0.22307,52,-0.4118,53,-0.3388,67,0.02413
ENSG00000157911,PEX10,27,-0.1963,46,0.64173,49,0.76809,29,-0.1115,10,-1.7022,39,0.37170,24,-0.4200,38,0.35954,26,-0.2368
ENSG00000149527,PLCH2,27,0.63386,13,-0.4467,28,0.68939,16,-0.2128,16,-0.1814,0,-7.8028,14,-0.4101,11,-0.7710,31,0.97939
ENSG00000157881,PANK4,27,0.76528,8,-1.0118,7,-1.1559,31,1.14952,2,-2.7082,3,-2.5119,13,-0.3648,15,-0.1004,23,0.61504
ENSG00000157870,PRXL2B,27,-0.5637,27,-0.5529,13,-1.6130,57,0.68219,23,-0.7690,43,0.17924,48,0.38436,42,0.10984,40,0.05040
ENSG00000177133,PRDM16-DT,27,0.58335,21,0.16538,1,-3.8345,4,-2.2945,7,-1.4267,42,1.31427,23,0.38772,30,0.75254,21,0.18061
ENSG00000158109,TPRG1L,27,-2.3676,51,-1.4381,49,-1.4994,222,0.97576,119,-0.1510,112,-0.2459,144,0.15977,220,0.83495,132,0.01120
ENSG00000116213,WRAP73,27,1.09404,19,0.51607,14,0.01441,12,-0.2330,13,-0.0759,4,-1.8021,10,-0.4633,11,-0.3001,16,0.25484
ENSG00000130764,LRRC47,27,-1.3292,35,-0.9162,68,0.08370,103,0.84622,43,-0.6439,50,-0.4015,55,-0.2707,83,0.40330,77,0.30276
ENSG00000116198,CEP104,27,0.52670,17,-0.1387,38,1.08318,14,-0.5299,34,0.91438,28,0.57976,11,-0.9112,11,-0.8871,13,-0.6095
ENSG00000198912,C1orf174,27,1.20470,20,0.74443,12,-0.0824,12,-0.0385,1,-3.6944,7,-0.8337,14,0.11254,13,0.09122,10,-0.4085
ENSG00000196581,AJAP1,27,-0.0209,4,-2.8338,20,-0.4414,44,0.85900,3,-3.2307,12,-1.2530,22,-0.3730,56,1.17273,37,0.54635
ENSG00000069424,KCNAB2,27,-2.5993,57,-1.4954,19,-3.1200,215,0.60520,157,0.03803,121,-0.3694,168,0.16157,248,0.77006,223,0.67648
ENSG00000116254,CHD5,27,-1.5605,12,-2.6876,5,-3.9925,115,0.76666,64,-0.2583,90,0.27601,95,0.40152,124,0.79244,83,0.15203
ENSG00000116251,RPL22,235,-1.3005,1037,1.03413,927,0.84473,348,-0.7630,801,0.60250,544,-0.0179,571,0.06347,495,-0.1668,364,-0.6911
ENSG00000116237,ICMT,533,4.19014,23,-1.6862,19,-1.9724,37,-1.0412,28,-1.4123,6,-3.5872,21,-1.9290,43,-0.7607,41,-0.9137
ENSG00000097021,ACOT7,27,-3.0017,83,-1.3574,53,-2.0212,426,1.43428,167,-0.3022,114,-0.8830,155,-0.4471,246,0.31019,288,0.63413
ENSG00000215788,TNFRSF25,27,0.90513,4,-2.0361,1,-3.8928,26,0.91795,21,0.45535,6,-1.4101,15,-0.0121,22,0.55030,12,-0.4774
ENSG00000171680,PLEKHG5,27,0.60985,3,-2.6845,1,-4.0288,36,1.24292,10,-0.9149,12,-0.6166,14,-0.4433,17,-0.0913,25,0.56726
ENSG00000162408,NOL9,27,0.11524,20,-0.3592,14,-0.8998,27,0.14135,19,-0.4226,30,0.26835,31,0.39796,25,0.02481,24,-0.0535
ENSG00000162413,KLHL21,27,-0.1749,17,-0.8208,50,0.81668,33,0.18396,36,0.30293,22,-0.4899,20,-0.6650,29,-0.0484,36,0.31216
ENSG00000116273,PHF13,27,1.43213,17,0.65580,6,-0.9169,17,0.79753,0,-6.9510,1,-3.1638,13,0.24324,3,-1.7245,10,-0.2394
ENSG00000041988,THAP3,27,0.60700,9,-1.0986,18,-0.0412,20,0.15057,22,0.27991,9,-0.9833,19,0.06602,15,-0.3392,21,0.24200
ENSG00000007923,DNAJC11,27,-0.0478,18,-0.6546,14,-1.0626,39,0.62965,16,-0.7942,22,-0.3546,27,-0.0380,49,0.92381,27,-0.0679
ENSG00000171735,CAMTA1,60,-1.3922,170,0.18846,92,-0.7638,157,0.07042,196,0.41889,113,-0.4486,151,0.00819,191,0.37457,185,0.36281
ENSG00000049245,VAMP3,28,-1.1816,108,0.93902,260,2.61060,14,-2.3123,103,0.86201,93,0.68660,25,-1.4331,14,-2.1504,21,-1.6772
ENSG00000049246,PER3,27,-0.0051,51,1.03309,42,0.70930,20,-0.5067,10,-1.4804,53,1.08401,23,-0.2446,9,-1.6242,23,-0.2839
ENSG00000116288,PARK7,34,-3.3796,362,0.13454,351,0.08866,418,0.40812,353,0.09672,416,0.35654,333,0.00363,311,-0.1032,328,-0.0192
ENSG00000116285,ERRFI1,27,0.40490,21,0.04849,28,0.49455,25,0.33728,15,-0.4975,23,0.17000,15,-0.5088,15,-0.4631,19,-0.1469
ENSG00000162426,SLC45A1,27,0.15194,8,-1.6694,9,-1.4887,47,1.23189,6,-2.0286,14,-0.7969,21,-0.2623,15,-0.7171,39,0.83276
ENSG00000142599,RERE,107,0.34917,90,0.06753,68,-0.3605,75,-0.2376,53,-0.7366,77,-0.1667,84,-0.0325,118,0.50213,100,0.26547
ENSG00000074800,ENO1,358,-0.8715,826,0.43018,387,-0.7540,774,0.36285,478,-0.4304,817,0.41358,549,-0.2363,751,0.27688,652,0.05733
ENSG00000142583,SLC2A5,27,0.50601,30,0.70463,17,-0.2291,5,-1.9987,17,-0.1624,49,1.51212,21,0.14996,18,-0.1259,11,-0.8894
ENSG00000171612,SLC25A33,27,-1.0338,58,0.13121,44,-0.2933,29,-0.9680,30,-0.8883,80,0.65778,62,0.27576,62,0.24486,77,0.66447
ENSG00000188807,TMEM201,27,1.16977,8,-0.7181,15,0.19623,12,-0.1410,4,-1.7395,9,-0.5573,9,-0.6642,24,0.95581,14,0.16662
ENSG00000171608,PIK3CD,27,1.10706,3,-2.2573,4,-1.6969,16,0.29362,7,-1.0168,8,-0.6832,11,-0.2743,21,0.69582,18,0.55083
ENSG00000171603,CLSTN1,27,-4.2146,245,-0.9896,156,-1.6651,837,1.09177,212,-1.2047,378,-0.3299,373,-0.3778,901,1.07704,630,0.53690
ENSG00000178585,CTNNBIP1,27,-0.5001,34,-0.1264,41,0.14755,37,-0.0221,31,-0.2625,38,0.01820,45,0.35005,50,0.45241,31,-0.3188
ENSG00000162441,LZIC,462,3.66151,54,-0.4347,79,0.16356,22,-1.8484,43,-0.7671,29,-1.3504,36,-1.0963,19,-1.9592,27,-1.5610
ENSG00000162444,RBP7,27,-0.0931,38,0.47287,176,3.50429,4,-2.8230,59,1.17467,12,-1.2790,7,-2.2005,0,-7.1172,4,-2.9377
ENSG00000130939,UBE4B,27,-0.4245,33,-0.1080,36,0.01512,46,0.45570,21,-0.7819,57,0.76507,24,-0.6528,43,0.28794,35,-0.0426
ENSG00000054523,KIF1B,27,-3.1972,266,0.22325,316,0.49972,263,0.22632,249,0.11236,320,0.51960,209,-0.1721,211,-0.1408,221,-0.0807
ENSG00000142657,PGD,27,-0.9315,64,0.39524,41,-0.3077,66,0.50683,33,-0.6394,40,-0.3246,36,-0.5426,68,0.51338,59,0.31822
ENSG00000241563,CORT,27,-1.3171,14,-2.2645,34,-0.9687,115,1.08674,12,-2.4954,29,-1.1879,91,0.62913,36,-0.8955,103,0.86218
ENSG00000160049,DFFA,27,-0.3793,58,0.84987,42,0.31429,27,-0.3948,61,0.91961,50,0.59738,20,-0.9097,29,-0.2558,26,-0.4762
ENSG00000142655,PEX14,27,0.21749,13,-0.8384,17,-0.5105,30,0.44346,36,0.68643,12,-0.9798,16,-0.6255,35,0.63879,24,0.05239
ENSG00000120948,TARDBP,27,-0.9234,31,-0.7185,78,0.72578,64,0.45268,56,0.19437,56,0.20137,49,0.00161,25,-1.0116,47,-0.0974
ENSG00000116649,SRM,27,-1.8070,77,-0.2393,41,-1.1835,115,0.44105,134,0.64562,77,-0.2319,78,-0.2279,116,0.41332,108,0.33039
ENSG00000171824,EXOSC10,27,0.03231,37,0.54140,29,0.14511,33,0.39129,16,-0.7517,16,-0.7742,18,-0.6289,35,0.43368,27,0.06848
ENSG00000198793,MTOR,345,3.17629,26,-1.3238,19,-1.7959,49,-0.4163,27,-1.2779,72,0.19256,29,-1.2859,43,-0.5803,36,-0.9357
ENSG00000120942,UBIAD1,344,5.04055,21,-0.8892,22,-0.8425,7,-2.6066,5,-2.9925,9,-2.1463,7,-2.5599,2,-4.2054,12,-1.7933
ENSG00000116661,FBXO2,163,-0.7048,537,1.20556,191,-0.4644,194,-0.4773,218,-0.2642,199,-0.4049,303,0.28551,263,0.03126,264,0.04263
ENSG00000132879,FBXO44,27,-1.8815,47,-1.0583,32,-1.6507,164,1.01326,129,0.49818,108,0.20648,89,-0.1107,94,-0.0038,97,0.03661
ENSG00000116670,MAD2L2,27,-0.0475,35,0.36289,52,0.99801,21,-0.4845,23,-0.2538,28,0.04256,29,0.09930,26,-0.0780,20,-0.5046
ENSG00000177674,AGTRAP,27,0.35112,60,1.71217,32,0.63803,3,-2.9757,11,-1.0002,54,1.52939,19,-0.2284,10,-1.1833,10,-1.1590
ENSG00000177000,MTHFR,27,1.19229,6,-1.0386,10,-0.3122,12,-0.1150,8,-0.7605,22,0.84106,9,-0.5547,5,-1.4073,17,0.47539
ENSG00000011021,CLCN6,27,-0.4195,24,-0.6118,40,0.19513,50,0.62309,14,-1.3763,35,-0.0264,33,-0.1113,31,-0.2098,44,0.37172
ENSG00000116685,KIAA2013,27,-0.5435,51,0.45747,74,1.06442,40,0.06023,44,0.22461,48,0.34372,26,-0.6109,27,-0.5407,28,-0.4993
ENSG00000083444,PLOD1,355,3.53666,47,-0.3059,42,-0.4883,21,-1.5715,37,-0.6589,41,-0.5011,24,-1.4158,26,-1.2013,24,-1.3737
ENSG00000116688,MFN2,27,-1.4789,59,-0.3068,70,-0.0292,98,0.55726,40,-0.8996,93,0.40872,58,-0.3557,87,0.31087,86,0.32297
ENSG00000116691,MIIP,27,0.65905,23,0.42565,11,-0.7015,19,0.14590,13,-0.4927,28,0.71215,12,-0.5968,14,-0.3032,16,-0.1160
ENSG00000048707,VPS13D,27,-0.5242,39,0.03749,30,-0.3365,55,0.66576,14,-1.4632,32,-0.2416,36,-0.0920,42,0.16703,44,0.26032
ENSG00000162496,DHRS3,27,-0.6444,110,1.65268,25,-0.7384,26,-0.7182,14,-1.5627,87,1.22694,36,-0.1940,25,-0.7452,39,-0.1016
ENSG00000116731,PRDM2,27,-1.1560,24,-1.3272,44,-0.4129,83,0.65825,67,0.23156,120,1.19857,56,-0.0447,36,-0.7056,47,-0.3242
ENSG00000189337,KAZN,27,-0.6783,47,0.18439,61,0.60876,50,0.30495,46,0.14330,27,-0.6863,33,-0.3787,42,0.00763,43,0.04424
ENSG00000142634,EFHD2,355,1.55407,26,-2.5314,18,-3.0727,260,1.16362,174,0.34523,297,1.23577,102,-0.5291,37,-1.9797,24,-2.7136
ENSG00000132906,CASP9,27,1.07162,20,0.59010,16,0.19328,11,-0.3832,6,-1.2726,10,-0.5320,9,-0.6714,31,1.32686,8,-0.8573
ENSG00000116138,DNAJC16,27,0.43154,23,0.18284,21,0.08374,32,0.82456,18,-0.2275,11,-0.8823,11,-1.0157,18,-0.1977,20,-0.0141
ENSG00000197312,DDI2,27,0.71867,6,-1.5951,18,0.11480,26,0.77906,19,0.18294,8,-1.1438,12,-0.6035,13,-0.4500,19,0.17066
ENSG00000116786,PLEKHM2,27,-1.3498,36,-0.9290,32,-1.0752,69,0.08498,56,-0.2402,70,0.10474,83,0.41667,103,0.71891,80,0.34204
ENSG00000065526,SPEN,27,-0.2648,47,0.63136,48,0.66549,26,-0.3304,45,0.53767,44,0.51021,23,-0.5406,22,-0.5611,25,-0.3845
ENSG00000116809,ZBTB17,27,0.62635,16,-0.1811,25,0.48884,10,-0.8869,20,0.19875,25,0.48402,22,0.35537,5,-1.9569,17,-0.0911
ENSG00000185519,FAM131C,27,0.19691,11,-1.1694,67,1.73477,11,-1.2554,6,-1.9401,16,-0.6267,17,-0.5331,16,-0.5995,43,1.10246
ENSG00000037637,FBXO42,27,0.74834,16,-0.1107,14,-0.2622,19,0.20919,16,-0.0272,9,-0.9487,10,-0.8712,15,-0.1617,23,0.58696
ENSG00000055070,SZRD1,27,-0.1328,62,1.23168,62,1.23737,14,-1.2219,20,-0.5600,13,-1.2166,26,-0.1666,28,-0.0483,29,-0.0250
ENSG00000157191,NECAP2,27,0.48773,51,1.55966,44,1.29986,11,-0.8757,23,0.25395,13,-0.6094,11,-0.8705,9,-1.1019,12,-0.8297
ENSG00000219481,NBPF1,27,0.82018,16,0.02009,30,0.98249,12,-0.4097,15,-0.0937,12,-0.4585,10,-0.7769,8,-0.9656,20,0.36314
ENSG00000058453,CROCC,27,1.38096,10,-0.1940,13,0.20863,18,0.85735,4,-1.4717,2,-2.3946,9,-0.3920,9,-0.3813,9,-0.4503
ENSG00000159363,ATP13A2,27,-2.3198,58,-1.1991,34,-1.9790,173,0.55108,129,0.02666,73,-0.8400,110,-0.2343,218,0.87717,208,0.91168
ENSG00000117118,SDHB,27,-1.9469,78,-0.3539,105,0.10939,116,0.29353,91,-0.1125,116,0.25590,92,-0.1192,133,0.48262,107,0.14095
ENSG00000117115,PADI2,27,-1.3901,187,1.71678,306,2.73175,13,-2.5218,136,1.14022,44,-0.6454,28,-1.4017,1,-5.5770,13,-2.5911
ENSG00000179051,RCC2,27,0.66142,16,-0.1647,15,-0.2095,16,-0.1645,11,-0.7290,16,-0.1309,16,-0.1524,17,-0.0934,23,0.45603
ENSG00000074964,ARHGEF10L,27,0.92715,21,0.50380,8,-0.9575,13,-0.1712,2,-2.5371,8,-0.9425,11,-0.4544,25,0.81910,20,0.46812
ENSG00000117154,IGSF21,27,-1.3564,53,-0.3282,9,-2.9907,117,1.06043,107,0.78453,135,1.17926,42,-0.7425,70,0.09023,36,-0.9911
ENSG00000159423,ALDH4A1,27,-0.2151,66,1.24660,15,-1.0337,11,-1.5632,5,-2.7187,94,1.87746,37,0.33401,9,-1.7385,28,-0.1563
ENSG00000127463,EMC1,27,0.16609,36,0.63009,20,-0.2840,33,0.57348,15,-0.6704,14,-0.7784,26,0.14141,16,-0.5871,21,-0.2601
ENSG00000053372,MRTO4,27,-0.0880,24,-0.2780,9,-1.7141,42,0.71325,25,-0.1710,15,-0.9256,31,0.12705,40,0.52582,28,-0.0469
ENSG00000053371,AKR7A2,27,-1.0543,107,1.11652,64,0.28514,33,-0.8022,46,-0.2435,97,0.94814,45,-0.2862,59,0.13959,45,-0.3172
ENSG00000040487,SLC66A1,27,1.30297,14,0.21997,8,-0.6792,18,0.75034,14,0.27229,13,0.17492,2,-2.2811,20,0.78513,3,-1.9687
ENSG00000077549,CAPZB,36,-2.2716,182,0.18660,147,-0.1475,193,0.30983,263,0.78366,225,0.52212,151,-0.1162,125,-0.3966,138,-0.2722
ENSG00000173436,MICOS10,921,1.55141,311,-0.2463,228,-0.7250,301,-0.3252,403,0.15689,261,-0.5193,301,-0.3238,358,-0.0274,344,-0.0995
ENSG00000158747,NBL1,27,-2.6216,73,-1.1489,44,-1.8975,251,0.87498,167,0.11149,265,0.85859,179,0.24383,132,-0.2564,150,-0.0625
ENSG00000169914,OTUD3,27,1.48978,9,-0.3225,4,-1.4039,19,1.04088,8,-0.4277,0,-6.7643,8,-0.5478,10,-0.1196,9,-0.2684
ENSG00000162545,CAMK2N1,27,-4.8230,340,-1.1308,575,-0.3296,705,-0.0134,171,-2.1444,301,-1.3107,821,0.25322,1256,0.92587,1402,1.29268
ENSG00000090432,MUL1,27,0.15825,25,0.07391,26,0.09033,32,0.47248,7,-1.8589,24,-0.0176,17,-0.5510,29,0.29585,27,0.20878
ENSG00000183114,FAM43B,27,0.27329,8,-1.5316,1,-4.6304,41,1.11630,32,0.54628,56,1.51288,23,0.00982,4,-2.4383,7,-1.7232
ENSG00000158828,PINK1,435,0.28422,161,-1.2462,145,-1.4038,534,0.69442,272,-0.4521,434,0.28109,387,0.10627,292,-0.3449,393,0.13396
ENSG00000244038,DDOST,27,-0.0578,26,-0.0889,19,-0.5877,36,0.43442,31,0.16728,24,-0.2466,23,-0.3504,30,0.10187,31,0.16195
ENSG00000117245,KIF17,27,0.68586,0,-8.0273,0,-9.3525,38,1.48375,13,-0.4827,13,-0.3995,18,0.02493,34,1.08164,6,-1.7203
ENSG00000189410,SH2D5,27,0.46383,0,-7.2967,2,-3.3597,35,1.04025,10,-1.0781,9,-1.1629,23,0.22830,20,-0.0029,28,0.61508
ENSG00000127483,HP1BP3,27,-2.3820,175,0.44822,145,0.14622,152,0.24895,148,0.17676,158,0.28286,104,-0.4066,154,0.24331,133,0.01436
ENSG00000075151,EIF4G3,336,1.66323,56,-1.2122,80,-0.6928,152,0.34132,106,-0.2501,89,-0.5181,102,-0.3463,134,0.11427,95,-0.4583
ENSG00000117298,ECE1,172,3.18471,59,1.03511,24,-0.4214,8,-2.0392,14,-1.1949,31,-0.0132,12,-1.5162,11,-1.5564,12,-1.5412
ENSG00000076864,RAP1GAP,27,-2.3238,35,-1.9325,23,-2.5417,248,1.26598,146,0.21393,181,0.56638,101,-0.3946,175,0.51406,120,-0.0944
ENSG00000090686,USP48,317,2.99035,44,-0.5541,69,0.16625,42,-0.6609,47,-0.4508,59,-0.0980,27,-1.3776,24,-1.4681,27,-1.3345
ENSG00000070831,CDC42,27,-2.9016,127,-0.6082,261,0.51611,293,0.79799,156,-0.2966,183,-0.0468,141,-0.4970,203,0.11547,221,0.27702
ENSG00000173372,C1QA,252,1.97524,153,1.06838,66,-0.2819,22,-1.9942,107,0.47499,63,-0.3585,75,-0.0913,39,-1.0688,38,-1.1782
ENSG00000159189,C1QC,27,-1.1534,147,1.56612,73,0.37300,21,-1.5745,112,1.08400,45,-0.3654,76,0.49621,24,-1.3030,33,-0.8913
ENSG00000173369,C1QB,27,-1.8378,270,1.84366,122,0.46061,29,-1.8279,154,0.84256,68,-0.4477,107,0.27818,53,-0.8249,64,-0.5801
ENSG00000004487,KDM1A,27,-0.7490,27,-0.7276,23,-0.9764,69,0.82250,33,-0.4291,41,-0.1001,38,-0.2622,77,0.91259,42,-0.0626
ENSG00000169641,LUZP1,27,-0.5503,19,-1.0811,4,-3.1194,45,0.29138,47,0.33189,37,-0.0408,39,0.02616,61,0.72468,48,0.40770
ENSG00000125944,HNRNPR,27,-1.7042,71,-0.2540,129,0.70129,114,0.56626,76,-0.1466,87,0.07262,68,-0.3360,98,0.24839,74,-0.2103
ENSG00000125945,ZNF436,27,1.09500,18,0.40527,6,-1.1161,24,1.08101,6,-1.2118,12,-0.1244,8,-0.7785,11,-0.2417,8,-0.8192
ENSG00000117318,ID3,509,3.11119,398,2.52661,85,-0.1944,6,-4.1798,41,-1.2853,17,-2.5466,28,-1.9516,21,-2.2509,7,-3.9702
ENSG00000142676,RPL11,782,0.58519,873,0.76684,860,0.74227,285,-1.0595,530,-0.0368,413,-0.4259,544,0.00378,443,-0.3159,477,-0.2194
ENSG00000011007,ELOA,27,0.60997,23,0.36683,22,0.26357,15,-0.3485,26,0.53276,16,-0.1941,14,-0.4752,15,-0.3400,17,-0.1087
ENSG00000057757,PITHD1,27,-2.5319,72,-1.0877,154,0.07481,237,0.87671,109,-0.4653,114,-0.3939,126,-0.2510,193,0.43478,183,0.39061
ENSG00000011009,LYPLA2,27,-0.4146,34,-0.0501,10,-1.8627,54,0.77264,37,0.08257,35,0.00298,32,-0.1693,45,0.40051,31,-0.2154
ENSG00000117308,GALE,27,1.16610,6,-1.1241,4,-1.7830,19,0.68109,0,-4.7730,0,-7.1940,13,0.03245,17,0.37795,19,0.67926
ENSG00000117305,HMGCL,27,0.38767,28,0.42709,24,0.18813,20,-0.0419,16,-0.3687,30,0.54679,16,-0.4805,9,-1.1934,23,0.15049
ENSG00000179163,FUCA1,27,0.99302,11,-0.4186,8,-0.9236,20,0.58952,1,-3.2963,17,0.28396,8,-0.9091,33,1.33873,10,-0.6360
ENSG00000189266,PNRC2,27,-0.7382,53,0.31098,60,0.50928,39,-0.2078,67,0.69807,48,0.15155,50,0.25305,24,-0.8894,33,-0.4815
ENSG00000188529,SRSF10,27,-0.8261,85,0.98636,59,0.40029,62,0.52901,15,-1.6880,46,0.00470,26,-0.9452,61,0.42802,42,-0.1421
ENSG00000001460,STPG1,27,1.33524,16,0.43464,10,-0.2642,13,0.18196,9,-0.4575,6,-0.9930,7,-0.7137,12,0.00489,11,-0.1733
ENSG00000001461,NIPAL3,236,1.89218,40,-1.0092,197,1.55530,55,-0.5730,113,0.60643,44,-0.8786,43,-0.9758,27,-1.5668,39,-1.1183
ENSG00000133226,SRRM1,27,-1.0267,74,0.54748,63,0.29030,46,-0.2180,122,1.38002,59,0.17114,33,-0.7966,54,0.04950,38,-0.5552
ENSG00000169504,CLIC4,27,-1.4188,179,1.59607,309,2.70441,20,-1.9521,123,0.94839,57,-0.2921,24,-1.6784,27,-1.4015,8,-3.3019
ENSG00000117614,SYF2,79,0.37751,108,0.89515,99,0.75711,49,-0.3834,69,0.18211,55,-0.1870,52,-0.3033,44,-0.5219,43,-0.5915
ENSG00000117616,RSRP1,27,-1.0053,85,0.78352,86,0.80120,56,0.12891,78,0.64482,41,-0.3594,38,-0.5344,59,0.19623,31,-0.8660
