Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000084073,ZMPSTE24,30,-0.3577,37,0.04060,38,0.07398,40,0.23118
ENSG00000084070,SMAP2,123,-0.5644,186,0.25304,105,-0.7402,214,0.49981
ENSG00000117016,RIMS3,64,-0.1211,88,0.63458,61,-0.1876,47,-0.6853
ENSG00000066136,NFYC,24,-0.8964,40,0.03804,30,-0.4307,58,0.82394
ENSG00000179862,CITED4,18,-0.2779,31,0.97476,22,0.03795,10,-1.3541
ENSG00000127124,HIVEP3,18,-0.1308,19,0.03518,10,-0.9720,24,0.48424
ENSG00000198815,FOXJ3,36,-0.6697,66,0.57952,35,-0.6610,57,0.15848
ENSG00000177181,RIMKLA,25,-0.1732,30,0.20207,23,-0.3293,29,0.08632
ENSG00000127125,PPCS,59,-0.1571,69,0.16955,60,-0.0980,64,-0.0062
ENSG00000171960,PPIH,10,-1.0995,23,0.48267,18,-0.1113,23,0.31094
ENSG00000065978,YBX1,124,0.91869,48,-1.0469,82,0.03785,83,0.07976
ENSG00000164008,C1orf50,25,0.08498,29,0.45899,18,-0.4416,18,-0.4916
ENSG00000177868,SVBP,32,-0.3948,44,0.25446,22,-0.9405,49,0.43947
ENSG00000117394,SLC2A1,106,1.66643,28,-1.1712,38,-0.4626,37,-0.5871
ENSG00000117395,EBNA1BP2,75,-0.6005,119,0.31113,92,-0.1994,118,0.23952
ENSG00000066322,ELOVL1,25,0.07972,15,-0.9625,77,2.21581,10,-1.5038
ENSG00000159479,MED8,20,-0.4071,36,1.03430,18,-0.4910,15,-0.8560
ENSG00000142949,PTPRF,121,-0.5394,179,0.22982,98,-0.8072,211,0.53016
ENSG00000126091,ST3GAL3,34,-0.5275,46,0.01996,27,-0.8310,66,0.75239
ENSG00000117408,IPO13,61,-0.1615,55,-0.4335,84,0.38406,82,0.40130
ENSG00000132768,DPH2,11,-0.7165,23,0.79283,12,-0.5096,16,-0.1543
ENSG00000117410,ATP6V0B,348,-0.8748,727,0.62822,424,-0.4690,615,0.16078
ENSG00000117411,B4GALT2,65,-0.0609,63,-0.1369,62,-0.1288,78,0.28790
ENSG00000159214,CCDC24,14,-0.8542,30,0.64484,11,-1.1522,28,0.36180
ENSG00000178028,DMAP1,43,-0.4495,58,0.14748,43,-0.3797,67,0.40099
ENSG00000117419,ERI3,190,-0.2163,253,0.41663,162,-0.4515,203,-0.0958
ENSG00000187147,RNF220,83,-0.4627,126,0.40770,112,0.08491,98,-0.1544
ENSG00000126106,TMEM53,15,-0.4711,27,0.84707,11,-0.8911,17,-0.2785
ENSG00000142937,RPS8,1123,0.67678,653,-0.4618,700,-0.2344,777,-0.0728
ENSG00000070785,EIF2B3,23,-0.8151,52,0.96681,30,-0.3178,29,-0.4317
ENSG00000126107,HECTD3,14,-0.3402,21,0.44602,11,-0.7243,18,0.09270
ENSG00000126088,UROD,74,-0.1950,97,0.39686,92,0.19451,63,-0.4823
ENSG00000117450,PRDX1,365,0.13769,327,-0.0897,424,0.36916,293,-0.2802
ENSG00000117448,AKR1A1,50,-0.0421,59,0.33315,42,-0.2985,45,-0.2334
ENSG00000132780,NASP,26,-0.0484,27,0.01540,23,-0.2291,29,0.15074
ENSG00000159592,GPBP1L1,19,-0.5892,22,-0.3397,47,1.03054,28,0.15810
ENSG00000086015,MAST2,28,-0.0244,37,0.59732,28,-0.0259,18,-0.8694
ENSG00000085998,POMGNT1,49,-0.5472,68,0.07376,61,-0.1350,82,0.44470
ENSG00000132128,LRRC41,49,-0.2234,56,0.04813,40,-0.5257,67,0.39527
ENSG00000173660,UQCRH,548,-0.2155,725,0.40503,519,-0.2742,561,-0.1699
ENSG00000117480,FAAH,32,-0.3813,32,-0.4476,48,0.31964,54,0.62415
ENSG00000079277,MKNK1,18,-0.2368,29,0.82103,4,-2.3408,20,-0.0976
ENSG00000123472,ATPAF1,109,-0.0985,109,-0.1134,148,0.42406,113,-0.0389
ENSG00000159658,EFCAB14,63,0.73519,36,-0.4330,52,0.25387,34,-0.5078
ENSG00000186377,CYP4X1,14,-1.2504,41,0.94876,6,-2.3090,36,0.44718
ENSG00000162368,CMPK1,86,-0.2274,102,0.13547,117,0.31835,89,-0.1588
ENSG00000162373,BEND5,18,-1.0007,53,1.46029,35,0.16801,12,-1.6482
ENSG00000162374,ELAVL4,47,-1.7233,216,1.46089,133,0.04084,81,-0.8365
ENSG00000185104,FAF1,27,-0.4569,45,0.58388,40,0.21293,26,-0.5158
ENSG00000123091,RNF11,326,-0.4869,443,0.10274,484,0.22239,463,0.17308
ENSG00000085832,EPS15,128,-0.1996,167,0.39690,230,0.83288,74,-1.1467
ENSG00000078618,NRDC,61,-0.3398,97,0.71323,62,-0.2845,56,-0.5006
ENSG00000169213,RAB3B,55,-0.7490,115,0.81752,118,0.57875,48,-0.9784
ENSG00000117862,TXNDC12,28,-0.3455,42,0.58768,27,-0.3641,29,-0.2567
ENSG00000134717,BTF3L4,57,-0.6378,92,0.31834,77,-0.0852,90,0.20030
ENSG00000157077,ZFYVE9,17,-0.2989,26,0.61978,6,-1.9048,22,0.15264
ENSG00000162377,COA7,17,-0.2136,21,0.27225,19,-0.0110,17,-0.1387
ENSG00000162378,ZYG11B,97,-0.4287,142,0.35774,145,0.28062,107,-0.2495
ENSG00000116171,SCP2,77,-0.1463,89,0.15643,88,0.09492,78,-0.1144
ENSG00000162384,CZIB,60,0.08624,64,0.23317,47,-0.3224,51,-0.2199
ENSG00000162385,MAGOH,30,-0.3098,43,0.43401,28,-0.3947,35,-0.0593
ENSG00000157193,LRP8,24,-0.6878,44,0.56795,46,0.46386,27,-0.4771
ENSG00000058799,YIPF1,15,-0.7181,35,1.23501,14,-0.7332,15,-0.7343
ENSG00000081870,HSPB11,48,-0.1354,49,-0.0798,36,-0.5704,65,0.47958
ENSG00000116209,TMEM59,159,-0.3260,218,0.33573,220,0.24622,162,-0.2907
ENSG00000116221,MRPL37,61,-0.5316,95,0.35851,71,-0.2321,88,0.14553
ENSG00000157216,SSBP3,128,-0.5669,249,0.92742,146,-0.2930,125,-0.6130
ENSG00000243725,TTC4,13,-0.4038,17,0.00808,27,0.79309,15,-0.2073
ENSG00000116133,DHCR24,137,-1.0414,392,1.29705,143,-0.8653,189,-0.4877
ENSG00000162402,USP24,20,-0.4207,31,0.47408,19,-0.4871,26,0.02733
ENSG00000162407,PLPP3,140,1.01129,35,-1.7271,188,1.37243,61,-0.6551
ENSG00000162409,PRKAA2,34,-0.5563,47,0.02495,16,-1.6137,72,0.94907
ENSG00000173406,DAB1,16,-0.2081,12,-0.8472,8,-1.2425,35,1.40600
ENSG00000162601,MYSM1,17,-0.3937,22,0.06271,12,-0.8916,29,0.63374
ENSG00000177606,JUN,87,-0.5205,106,-0.1972,22,-2.5542,207,1.26133
ENSG00000134709,HOOK1,13,-1.3319,41,0.87218,18,-0.7673,33,0.23828
ENSG00000162599,NFIA,79,1.05015,18,-1.8211,94,1.18109,39,-0.3987
ENSG00000162604,TM2D1,58,-0.3259,74,0.14023,80,0.23293,69,-0.0143
ENSG00000116641,DOCK7,23,0.42915,19,0.06376,25,0.52133,10,-1.0990
ENSG00000079739,PGM1,43,0.06585,34,-0.4377,57,0.51317,44,0.11321
