Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000197921,HES5,28,1.08909,24,0.82573,13,-0.1748,11,-0.4218,7,-1.1349,17,0.25442,8,-0.9231
ENSG00000272449,AL139246.5,23,0.68690,18,0.31880,10,-0.7112,6,-1.4640,10,-0.6879,18,0.26300,19,0.39341
ENSG00000157873,TNFRSF14,9,-0.1449,15,0.66891,2,-2.3838,5,-0.8768,6,-0.6645,26,1.73105,8,-0.4393
ENSG00000157870,PRXL2B,51,-0.2765,51,-0.2712,37,-0.7717,70,0.23680,92,0.70957,66,0.14915,58,-0.0682
ENSG00000177133,PRDM16-DT,98,1.91984,35,0.01080,33,-0.0722,22,-0.6992,16,-1.2290,31,-0.1865,21,-0.8745
ENSG00000158109,TPRG1L,141,-0.2618,117,-0.5594,164,-0.0141,201,0.32142,183,0.17047,163,-0.0228,177,0.13521
ENSG00000116213,WRAP73,19,0.22036,7,-1.2739,22,0.47231,15,-0.0947,16,-0.0692,18,0.14912,17,0.08751
ENSG00000130764,LRRC47,52,-0.3755,44,-0.6389,66,0.02317,43,-0.6586,88,0.50640,76,0.25577,77,0.31143
ENSG00000116198,CEP104,11,-0.3118,23,0.84261,8,-0.8128,17,0.33039,17,0.30458,8,-0.8041,13,-0.0798
ENSG00000198912,C1orf174,11,-0.1716,6,-1.0201,13,0.17519,15,0.30992,15,0.36245,16,0.45425,10,-0.2967
ENSG00000196581,AJAP1,18,-1.2276,26,-0.6771,30,-0.4087,30,-0.4033,41,0.06452,33,-0.2865,68,1.18441
ENSG00000131697,NPHP4,7,-0.8760,16,0.45316,5,-1.3211,15,0.34785,9,-0.3744,11,-0.1115,17,0.62956
ENSG00000069424,KCNAB2,173,-0.5275,239,-0.0047,282,0.26594,198,-0.3124,189,-0.3840,222,-0.1274,309,0.50477
ENSG00000116254,CHD5,133,-0.4690,127,-0.5354,173,-0.0446,219,0.35024,281,0.78571,134,-0.4507,176,-0.0094
ENSG00000116251,RPL22,899,0.33138,1245,0.90472,777,0.08679,739,0.00343,505,-0.6085,598,-0.3406,568,-0.4828
ENSG00000158286,RNF207,3,-1.6562,6,-0.8849,13,0.36671,18,0.85303,12,0.11210,12,0.16416,11,0.01872
ENSG00000116237,ICMT,26,-0.7296,32,-0.4114,36,-0.2374,40,-0.0399,44,0.10359,38,-0.1377,57,0.66400
ENSG00000158292,GPR153,9,-1.1346,26,0.48919,19,-0.0466,17,-0.2631,10,-1.0126,20,0.01501,28,0.70286
ENSG00000097021,ACOT7,151,-0.7348,141,-0.8409,239,-0.0061,188,-0.3913,288,0.30690,283,0.27886,313,0.53995
ENSG00000215788,TNFRSF25,15,-1.0548,22,-0.4771,24,-0.3744,25,-0.2740,23,-0.4201,36,0.30060,47,0.94915
ENSG00000171680,PLEKHG5,12,-1.3339,23,-0.3692,20,-0.5782,25,-0.2372,28,-0.0567,28,-0.1016,49,1.07837
ENSG00000162408,NOL9,40,0.41477,24,-0.4152,20,-0.7090,38,0.35792,41,0.46961,29,-0.0804,28,-0.2078
ENSG00000204859,ZBTB48,9,-0.5476,14,0.15441,11,-0.2298,15,0.23630,15,0.18255,22,0.91892,9,-0.7130
ENSG00000162413,KLHL21,34,0.07711,22,-0.5767,38,0.26938,29,-0.1453,27,-0.3038,42,0.42213,33,0.04548
ENSG00000116273,PHF13,12,-0.3522,14,-0.0885,14,-0.1707,12,-0.3512,11,-0.4676,17,0.21995,20,0.57178
ENSG00000041988,THAP3,35,0.72226,18,-0.3761,20,-0.2365,20,-0.2254,23,0.03099,24,0.08255,21,-0.1232
ENSG00000007923,DNAJC11,24,-0.4764,28,-0.2464,22,-0.5886,38,0.24668,43,0.46283,32,-0.0209,36,0.22096
ENSG00000171735,CAMTA1,237,0.46302,190,0.08842,154,-0.2578,184,0.03571,285,0.78762,157,-0.2219,117,-0.7837
ENSG00000049245,VAMP3,67,1.61432,48,0.99283,24,-0.2247,22,-0.3048,20,-0.4576,11,-1.4038,12,-1.3406
ENSG00000049246,PER3,26,-0.1141,24,-0.2425,24,-0.2136,26,-0.1255,38,0.50157,18,-0.6809,34,0.36358
ENSG00000116288,PARK7,461,0.03317,502,0.17486,591,0.45039,353,-0.4023,350,-0.4158,463,0.03943,449,-0.0155
ENSG00000116285,ERRFI1,18,-0.0458,18,-0.0760,7,-1.5243,23,0.35897,29,0.73966,10,-0.8849,22,0.31083
ENSG00000162426,SLC45A1,15,-1.2979,13,-1.5153,24,-0.5497,40,0.29347,41,0.31238,60,0.98580,39,0.28190
ENSG00000142599,RERE,93,-0.3282,111,-0.0403,88,-0.4213,120,0.09339,132,0.24891,115,0.01731,125,0.19205
ENSG00000074800,ENO1,860,0.20454,621,-0.3293,631,-0.3026,538,-0.5570,528,-0.5877,928,0.33368,988,0.52974
ENSG00000142583,SLC2A5,15,0.55242,22,1.29853,7,-0.5565,12,0.16850,4,-1.5424,8,-0.3471,8,-0.4867
ENSG00000171612,SLC25A33,109,1.21395,47,-0.2561,52,-0.0875,71,0.45062,39,-0.5527,49,-0.1677,35,-0.7985
ENSG00000188807,TMEM201,16,-0.1136,12,-0.6118,14,-0.3222,17,-0.0711,26,0.65159,27,0.72071,14,-0.3990
ENSG00000171608,PIK3CD,7,-0.4691,4,-1.2132,6,-0.7569,23,1.41521,21,1.22487,8,-0.3840,6,-0.9679
ENSG00000171603,CLSTN1,405,-0.9081,395,-0.9494,523,-0.5102,723,0.01559,755,0.08560,1080,0.69978,926,0.51777
ENSG00000178585,CTNNBIP1,43,0.12921,32,-0.3363,53,0.47020,52,0.44987,50,0.37655,36,-0.1648,26,-0.7515
ENSG00000162441,LZIC,39,0.38741,40,0.43220,33,0.12058,36,0.25063,26,-0.2822,23,-0.4697,25,-0.3915
ENSG00000173614,NMNAT1,12,0.46141,7,-0.5467,4,-1.2508,9,-0.0991,16,0.85571,6,-0.6229,11,0.23621
ENSG00000130939,UBE4B,34,-0.0114,20,-0.8460,29,-0.2796,44,0.40781,53,0.71900,26,-0.4559,35,0.02236
ENSG00000054523,KIF1B,319,0.31742,206,-0.3997,285,0.12633,273,0.05385,306,0.24484,223,-0.2712,250,-0.1055
ENSG00000142657,PGD,42,-0.0623,37,-0.2815,55,0.38585,50,0.21572,47,0.11782,48,0.15813,35,-0.3864
ENSG00000241563,CORT,73,-0.9499,20,-2.8475,783,4.27113,58,-1.2938,72,-0.9746,28,-2.3986,15,-3.5033
ENSG00000160049,DFFA,31,0.32058,30,0.28387,31,0.30337,24,-0.0781,20,-0.3747,21,-0.3021,23,-0.1720
ENSG00000142655,PEX14,21,-0.2489,14,-0.9165,16,-0.7352,24,-0.0320,23,-0.0929,44,0.99433,28,0.22980
ENSG00000120948,TARDBP,48,-0.4228,53,-0.2535,50,-0.3569,69,0.17024,54,-0.2239,73,0.25484,76,0.38467
ENSG00000271895,AL109811.2,8,-0.6183,4,-1.4100,10,-0.2626,19,0.86135,7,-0.6864,21,0.99087,12,-0.0098
ENSG00000116649,SRM,87,-0.6304,107,-0.2929,134,0.06959,138,0.11942,121,-0.0976,178,0.55015,132,0.04274
ENSG00000171824,EXOSC10,26,-0.0036,22,-0.2715,18,-0.6022,22,-0.2368,24,-0.0855,36,0.54184,29,0.25441
ENSG00000198793,MTOR,28,-0.4858,33,-0.2148,25,-0.6365,29,-0.4239,38,-0.0073,64,0.89608,43,0.24359
ENSG00000204624,DISP3,7,-0.8346,19,0.66724,6,-1.2220,5,-1.4234,5,-1.2469,20,0.71869,20,0.91245
ENSG00000116661,FBXO2,401,0.44103,505,0.84744,313,0.02580,287,-0.1162,219,-0.5546,306,-0.0158,219,-0.6300
ENSG00000132879,FBXO44,154,-0.1968,119,-0.6031,168,-0.0550,126,-0.5139,182,0.08029,175,0.01733,232,0.58827
ENSG00000116663,FBXO6,14,0.20454,15,0.32211,23,1.00197,7,-0.9566,10,-0.3023,10,-0.3997,11,-0.2870
ENSG00000116670,MAD2L2,33,-0.0714,41,0.29301,32,-0.0901,20,-0.8396,16,-1.2148,35,0.05117,49,0.70582
ENSG00000177674,AGTRAP,36,1.80869,29,1.36260,7,-1.0246,10,-0.4035,11,-0.2292,5,-1.4046,4,-2.0418
ENSG00000177000,MTHFR,20,0.19526,17,-0.0874,14,-0.3789,23,0.39406,25,0.55144,10,-0.9480,17,-0.0636
ENSG00000011021,CLCN6,48,-0.3763,35,-0.8750,67,0.14177,52,-0.2487,125,1.25625,54,-0.2078,54,-0.2358
ENSG00000116685,KIAA2013,37,0.16508,34,0.03850,22,-0.6485,24,-0.5468,46,0.53325,29,-0.2475,38,0.24139
ENSG00000083444,PLOD1,29,0.48099,26,0.33486,7,-1.6139,17,-0.3380,22,0.06698,36,0.86847,17,-0.4338
ENSG00000116688,MFN2,72,-0.1845,62,-0.4189,83,0.04453,67,-0.2952,94,0.25776,102,0.39452,82,0.03908
ENSG00000116691,MIIP,15,0.01164,14,-0.0121,11,-0.4778,11,-0.4444,16,0.17256,11,-0.4854,19,0.56795
ENSG00000048707,VPS13D,47,0.13852,29,-0.6254,33,-0.4014,37,-0.2524,64,0.68084,35,-0.3503,49,0.27612
ENSG00000162496,DHRS3,81,1.94774,43,0.71103,23,-0.3594,17,-0.8292,18,-0.7225,18,-0.7388,14,-1.2619
ENSG00000116731,PRDM2,45,-0.4915,45,-0.4989,71,0.24210,67,0.14153,54,-0.2044,49,-0.3696,80,0.53328
ENSG00000189337,KAZN,37,0.11255,26,-0.4639,37,0.08046,60,0.92044,42,0.32017,32,-0.1538,23,-0.7738
ENSG00000142634,EFHD2,218,0.87219,39,-1.8781,91,-0.5892,353,1.82226,269,1.26769,34,-2.0914,23,-2.8366
ENSG00000132906,CASP9,19,1.09186,14,0.55002,6,-0.7653,6,-0.7380,6,-0.7472,10,-0.0498,9,-0.0980
ENSG00000116138,DNAJC16,25,0.14187,16,-0.5755,26,0.18904,16,-0.5268,25,0.16845,23,-0.0172,26,0.25136
ENSG00000197312,DDI2,16,-0.2808,11,-0.9195,21,0.07231,29,0.67087,27,0.50126,23,0.26748,15,-0.4719
ENSG00000116786,PLEKHM2,83,-0.1274,76,-0.2714,96,0.11445,113,0.38872,70,-0.4096,135,0.69206,73,-0.3935
ENSG00000065526,SPEN,40,0.36643,38,0.24229,27,-0.2700,46,0.58023,44,0.48925,10,-1.7421,27,-0.3263
ENSG00000116809,ZBTB17,19,0.10286,17,-0.0695,12,-0.6692,17,-0.0934,14,-0.4277,17,-0.0641,24,0.56604
ENSG00000185519,FAM131C,27,0.36824,16,-0.4464,39,1.02759,37,0.95158,14,-0.6350,19,-0.1580,9,-1.4363
ENSG00000037637,FBXO42,21,0.47973,12,-0.5095,11,-0.5425,15,-0.1239,20,0.37363,13,-0.3019,18,0.20397
ENSG00000055070,SZRD1,36,0.40824,51,1.00173,32,0.20204,20,-0.5357,15,-0.9488,23,-0.3211,24,-0.2761
ENSG00000157191,NECAP2,26,1.07385,29,1.25468,12,-0.2640,15,0.11891,9,-0.6309,9,-0.7438,6,-1.4178
ENSG00000219481,NBPF1,18,0.55418,11,-0.2280,9,-0.5230,22,0.92311,8,-0.5981,13,0.03808,10,-0.4134
ENSG00000058453,CROCC,16,-0.2061,14,-0.4131,19,0.06605,35,1.05728,19,0.02218,12,-0.6512,17,-0.2109
ENSG00000238142,BX284668.5,22,0.23776,22,0.21205,31,0.79766,12,-0.7585,15,-0.3924,18,-0.0755,17,-0.2450
ENSG00000159363,ATP13A2,121,-0.2871,75,-1.0366,196,0.51515,237,0.84709,145,0.00136,157,0.13443,113,-0.4564
ENSG00000117118,SDHB,137,0.05165,92,-0.5939,170,0.41502,134,0.01705,90,-0.6210,160,0.31303,139,0.09506
ENSG00000117115,PADI2,69,1.29257,79,1.56229,33,0.00707,25,-0.4345,12,-1.5031,18,-0.9646,14,-1.4800
ENSG00000179051,RCC2,12,-0.5346,18,0.07116,10,-0.8543,15,-0.1826,16,-0.0505,29,0.91567,18,0.08500
ENSG00000074964,ARHGEF10L,20,0.39873,11,-0.4984,20,0.42938,23,0.65141,20,0.41426,10,-0.7003,10,-0.7613
ENSG00000117154,IGSF21,89,0.34484,58,-0.3600,53,-0.4941,84,0.23944,118,0.83450,57,-0.3820,60,-0.3434
ENSG00000159423,ALDH4A1,85,1.57081,39,0.17833,29,-0.2923,22,-0.7707,20,-0.8686,34,-0.0681,26,-0.5193
ENSG00000169991,IFFO2,11,0.01398,9,-0.2527,6,-0.9279,18,0.88230,15,0.57185,8,-0.4123,9,-0.2706
ENSG00000127481,UBR4,6,-0.6849,8,-0.2917,8,-0.2295,15,0.77605,5,-0.9960,18,0.99863,8,-0.2424
ENSG00000127463,EMC1,29,-0.0439,22,-0.4386,37,0.37432,28,-0.1123,37,0.34956,31,0.06152,27,-0.1891
ENSG00000053372,MRTO4,22,-0.9064,33,-0.2765,45,0.23212,33,-0.2935,47,0.27791,60,0.70749,38,-0.0873
ENSG00000053371,AKR7A2,67,0.60784,61,0.46676,35,-0.4747,60,0.41135,27,-0.8370,39,-0.2746,42,-0.2093
ENSG00000040487,SLC66A1,18,0.97072,4,-1.2381,6,-0.7563,5,-1.0195,11,0.13414,11,0.12047,13,0.43338
ENSG00000077549,CAPZB,149,-0.3085,159,-0.1987,163,-0.1632,160,-0.1882,257,0.60295,131,-0.5083,210,0.30563
ENSG00000173436,MICOS10,589,0.29190,479,-0.0514,744,0.69793,490,-0.0142,390,-0.3847,522,0.08963,370,-0.5319
ENSG00000158747,NBL1,240,0.15861,168,-0.4192,253,0.24980,270,0.36201,257,0.27420,231,0.09648,162,-0.5464
ENSG00000169914,OTUD3,16,-0.2402,15,-0.2979,18,-0.0496,22,0.28746,27,0.60524,15,-0.3669,18,-0.0780
ENSG00000162545,CAMK2N1,779,-1.1596,1495,-0.1331,1677,0.05621,1144,-0.5625,749,-1.2204,2329,0.61569,2398,0.81575
ENSG00000090432,MUL1,38,0.59057,16,-0.7628,16,-0.8241,26,-0.0667,30,0.20565,24,-0.1477,32,0.32774
ENSG00000183114,FAM43B,23,0.83861,7,-1.0236,28,1.21132,10,-0.4923,19,0.54519,9,-0.6324,7,-1.1168
ENSG00000158828,PINK1,429,0.29464,275,-0.4340,357,-0.0125,440,0.33907,358,-0.0059,379,0.08886,319,-0.2265
ENSG00000244038,DDOST,27,-0.3409,30,-0.1735,34,0.04599,33,0.00444,26,-0.3884,36,0.13859,39,0.34925
ENSG00000117245,KIF17,20,0.04004,6,-1.7959,8,-1.4189,26,0.47873,32,0.82822,28,0.57521,19,-0.0949
ENSG00000189410,SH2D5,21,-0.7803,20,-0.7933,22,-0.6720,33,-0.0540,53,0.74870,29,-0.2353,47,0.64103
ENSG00000127483,HP1BP3,195,0.45630,135,-0.1566,162,0.13795,119,-0.3570,180,0.31367,126,-0.2737,137,-0.1593
ENSG00000075151,EIF4G3,58,-0.8408,54,-0.9374,108,0.15540,110,0.18981,127,0.43375,102,0.06644,113,0.27535
ENSG00000117298,ECE1,37,0.94162,29,0.49891,16,-0.4506,12,-0.8921,11,-0.9905,38,0.99568,14,-0.7878
ENSG00000162551,ALPL,6,-1.1933,21,0.78773,5,-1.5070,39,2.01292,15,0.20938,10,-0.4511,4,-1.6933
ENSG00000076864,RAP1GAP,92,-0.9343,91,-0.9503,129,-0.4079,180,0.13415,284,0.92245,187,0.19307,183,0.18941
ENSG00000090686,USP48,27,-0.3192,32,-0.0747,31,-0.1041,23,-0.5968,36,0.11520,32,-0.0901,43,0.50995
ENSG00000218510,LINC00339,10,-0.3896,10,-0.3891,10,-0.3436,20,0.79336,8,-0.7308,24,1.12538,9,-0.5369
ENSG00000070831,CDC42,169,-0.4468,133,-0.8216,186,-0.2906,305,0.53434,310,0.56041,237,0.10437,220,-0.0216
ENSG00000173372,C1QA,58,0.73841,80,1.31853,30,-0.3858,43,0.21675,18,-1.1408,33,-0.1995,20,-1.1269
ENSG00000159189,C1QC,27,-0.1369,79,1.79065,37,0.39433,20,-0.6277,24,-0.3353,17,-0.8255,16,-1.0918
ENSG00000173369,C1QB,70,0.32653,124,1.37118,65,0.20127,42,-0.4828,35,-0.7915,41,-0.5359,41,-0.6174
ENSG00000004487,KDM1A,37,-0.3988,30,-0.7242,34,-0.5048,57,0.32789,59,0.37638,65,0.53781,47,0.00715
ENSG00000169641,LUZP1,36,0.23843,17,-0.9144,30,-0.0579,41,0.45989,47,0.67835,22,-0.5851,28,-0.1794
ENSG00000125944,HNRNPR,103,-0.1275,110,-0.0216,93,-0.2976,107,-0.0621,103,-0.1229,94,-0.2717,140,0.46232
ENSG00000125945,ZNF436,14,-0.5064,7,-1.6034,13,-0.6769,14,-0.5083,25,0.40774,22,0.19673,31,0.94213
ENSG00000249087,ZNF436-AS1,15,-0.0778,22,0.51861,14,-0.2368,17,0.07598,15,-0.0507,15,-0.0764,15,-0.1470
ENSG00000117318,ID3,31,0.46216,134,4.12557,1,-4.2421,6,-2.0401,5,-2.3302,4,-2.6255,2,-3.4057
ENSG00000142676,RPL11,798,0.32706,1419,1.37196,564,-0.2481,525,-0.3632,572,-0.2250,528,-0.3541,424,-0.7931
ENSG00000011007,ELOA,15,0.06842,14,0.02017,8,-0.9589,19,0.43736,18,0.40659,10,-0.4760,15,0.07799
ENSG00000057757,PITHD1,156,-0.5221,143,-0.6633,192,-0.1902,162,-0.4623,278,0.42460,308,0.60073,244,0.24097
ENSG00000011009,LYPLA2,26,-0.8987,37,-0.3493,45,-0.0523,50,0.13053,47,0.03932,55,0.27587,55,0.33640
ENSG00000117308,GALE,14,-0.4106,18,-0.0325,16,-0.1860,11,-0.8152,12,-0.6797,26,0.58010,25,0.60153
ENSG00000117305,HMGCL,19,-0.1875,26,0.27049,13,-0.8545,17,-0.3554,22,-0.0044,45,1.26573,16,-0.5300
ENSG00000179163,FUCA1,9,-0.5816,7,-0.8782,11,-0.3054,15,0.18834,15,0.21971,12,-0.0975,18,0.60687
ENSG00000189266,PNRC2,60,0.23543,56,0.13390,47,-0.1783,51,-0.0410,57,0.14385,38,-0.5095,54,0.06838
ENSG00000188529,SRSF10,41,-0.1490,41,-0.1773,25,-0.9624,32,-0.5798,55,0.30765,73,0.80277,49,0.13844
ENSG00000001461,NIPAL3,67,0.57083,47,-0.0300,50,0.08452,44,-0.1364,75,0.75403,35,-0.4930,32,-0.7094
ENSG00000133226,SRRM1,41,0.00180,54,0.46527,41,0.02513,42,0.04801,39,-0.0688,38,-0.0927,35,-0.2705
ENSG00000169504,CLIC4,50,2.22121,41,1.78139,4,-2.0553,12,-0.3486,7,-1.2467,4,-1.8618,2,-2.9211
ENSG00000117614,SYF2,62,0.21019,62,0.21076,69,0.40545,47,-0.2456,42,-0.4174,51,-0.0933,51,-0.1183
ENSG00000117616,RSRP1,61,-0.0729,52,-0.3288,36,-0.8883,60,-0.0752,59,-0.1076,66,0.07079,86,0.62628
ENSG00000183726,TMEM50A,85,-0.1425,78,-0.2824,70,-0.4397,59,-0.7240,70,-0.4472,99,0.10949,139,0.86050
ENSG00000204178,MACO1,12,-0.9421,17,-0.4449,13,-0.7975,28,0.38859,35,0.76339,17,-0.4334,27,0.44064
ENSG00000117643,MAN1C1,16,-1.7145,31,-0.7367,24,-1.0859,16,-1.7515,23,-1.1916,59,0.30232,111,1.97357
ENSG00000162430,SELENON,45,-0.1268,56,0.25403,56,0.22921,46,-0.0781,34,-0.5441,46,-0.0938,52,0.14143
ENSG00000117640,MTFR1L,56,-0.3211,54,-0.3926,97,0.58516,51,-0.4781,53,-0.4176,83,0.30963,78,0.24168
ENSG00000117632,STMN1,1047,-0.7812,992,-0.8646,1551,-0.1550,2200,0.42850,2047,0.30523,2532,0.67398,1636,-0.0789
ENSG00000158008,EXTL1,53,0.08196,42,-0.2653,49,-0.0446,46,-0.1421,52,0.07800,51,0.01720,54,0.14131
ENSG00000175087,PDIK1L,4,-1.8679,8,-0.7947,9,-0.6154,19,0.57065,30,1.45361,9,-0.5867,14,0.05965
ENSG00000142684,ZNF593,54,0.33679,38,-0.2348,80,1.01053,49,0.15746,43,-0.0648,33,-0.4756,29,-0.7580
ENSG00000142669,SH3BGRL3,464,0.53058,287,-0.2701,414,0.33412,438,0.43197,371,0.14753,284,-0.2905,227,-0.7269
ENSG00000158062,UBXN11,14,-1.0952,35,0.28655,36,0.34743,34,0.25730,40,0.53484,22,-0.4495,26,-0.2150
ENSG00000117682,DHDDS,15,-0.2536,14,-0.3929,15,-0.2848,19,0.06863,20,0.18808,18,-0.0163,21,0.33423
ENSG00000198830,HMGN2,190,0.52026,218,0.75929,127,-0.1557,82,-0.8454,102,-0.4995,156,0.18629,121,-0.2721
ENSG00000117713,ARID1A,70,0.51632,34,-0.6676,39,-0.4245,51,-0.0205,55,0.10255,42,-0.3143,60,0.30820
ENSG00000060642,PIGV,16,0.67079,10,-0.1295,11,0.10831,15,0.56213,14,0.42359,5,-1.1904,7,-0.6834
ENSG00000204160,ZDHHC18,22,-0.2712,18,-0.6283,21,-0.3631,33,0.34269,34,0.42816,29,0.14976,27,0.06237
ENSG00000142751,GPN2,13,-0.4700,9,-1.0759,13,-0.4318,14,-0.3836,28,0.76899,25,0.58834,19,0.19362
ENSG00000198746,GPATCH3,12,0.33811,5,-0.9466,11,0.09749,8,-0.3124,12,0.26829,5,-0.9825,13,0.55059
ENSG00000090273,NUDC,152,-0.3503,172,-0.1569,222,0.26962,145,-0.4304,149,-0.3884,300,0.79033,186,-0.0279
ENSG00000253368,TRNP1,74,0.19473,46,-0.5538,85,0.44592,63,-0.0736,85,0.43546,72,0.14954,50,-0.5100
ENSG00000090020,SLC9A1,12,-1.0671,12,-1.0262,13,-0.9204,30,0.41905,43,1.06398,20,-0.2629,28,0.38788
