Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000007923,DNAJC11,51,0.35282,42,0.02656,38,-0.1312,43,0.09639,22,-0.9864,23,-0.8846,54,0.51712
ENSG00000171735,CAMTA1,228,0.14743,188,-0.1663,228,0.14703,215,0.06468,149,-0.5303,187,-0.1706,231,0.19845
ENSG00000116288,PARK7,163,-0.7995,164,-0.7847,291,0.12237,303,0.21709,282,0.07035,414,0.71213,256,-0.1017
ENSG00000142599,RERE,163,0.72175,70,-0.6637,104,-0.0380,99,-0.1213,83,-0.3816,177,0.86082,79,-0.5128
ENSG00000074800,ENO1,352,-0.6513,515,-0.0494,674,0.39579,596,0.21983,502,-0.0884,711,0.48566,414,-0.4451
ENSG00000171603,CLSTN1,242,-1.2930,207,-1.5349,1330,1.53406,714,0.48349,494,-0.1889,396,-0.5379,452,-0.3724
ENSG00000178585,CTNNBIP1,55,0.38093,33,-0.4334,59,0.47893,31,-0.6313,37,-0.2868,18,-1.3324,66,0.79199
ENSG00000162441,LZIC,56,0.32291,77,0.86925,37,-0.3481,45,-0.0480,42,-0.1352,50,0.13509,31,-0.6943
ENSG00000130939,UBE4B,39,-0.2208,25,-0.9209,60,0.46876,56,0.41069,37,-0.3198,36,-0.3598,48,0.13384
ENSG00000054523,KIF1B,286,-0.3680,210,-0.8493,448,0.35913,455,0.44909,293,-0.3306,319,-0.1940,388,0.13748
ENSG00000142657,PGD,37,-0.2293,20,-1.1353,71,0.85416,61,0.70748,38,-0.1834,20,-1.1753,37,-0.2311
ENSG00000241563,CORT,0,-7.2140,18,-2.8118,32,-1.9680,440,4.11925,32,-1.9835,33,-1.9499,29,-2.2580
ENSG00000120948,TARDBP,66,-0.1672,93,0.38233,68,-0.1356,97,0.52781,45,-0.7761,76,0.04724,61,-0.3472
ENSG00000116649,SRM,60,-0.6805,50,-0.9697,152,0.83484,116,0.43880,67,-0.5188,72,-0.3869,99,0.13404
ENSG00000198793,MTOR,25,-0.6409,25,-0.5930,74,1.17148,10,-2.0472,26,-0.5658,86,1.46761,38,0.06533
ENSG00000116661,FBXO2,89,-1.3685,243,0.20778,223,0.06559,178,-0.3284,464,1.34269,192,-0.1732,179,-0.3212
ENSG00000132879,FBXO44,66,-1.2486,82,-0.9051,203,0.54230,232,0.92668,70,-1.1587,98,-0.6285,167,0.25047
ENSG00000011021,CLCN6,11,-2.3128,1,-5.7317,129,1.54970,73,0.60704,62,0.23611,23,-1.2701,54,0.01791
ENSG00000116688,MFN2,51,-1.2697,78,-0.6119,175,0.70663,186,0.97624,85,-0.4647,38,-1.6762,116,0.02431
ENSG00000048707,VPS13D,46,-0.4929,50,-0.3648,82,0.45021,82,0.51389,58,-0.1130,39,-0.7471,62,-0.0068
ENSG00000162496,DHRS3,165,2.14404,53,0.06657,29,-0.8644,26,-1.1685,57,0.17166,54,0.10437,25,-1.2166
ENSG00000116731,PRDM2,106,0.28156,118,0.46401,98,0.15847,92,0.06544,53,-0.8140,66,-0.4642,88,-0.0271
ENSG00000189337,KAZN,81,0.96420,35,-0.4276,69,0.67016,33,-0.5790,20,-1.2629,14,-1.7737,64,0.63735
ENSG00000142634,EFHD2,3,-3.9506,54,0.13613,91,1.01171,33,-0.7193,37,-0.4857,6,-3.1598,96,1.37882
ENSG00000116786,PLEKHM2,60,-0.3273,48,-0.6893,64,-0.2234,58,-0.4506,63,-0.2505,67,-0.1514,124,1.04940
ENSG00000065526,SPEN,90,0.71675,124,1.28944,25,-1.3406,50,-0.2770,40,-0.5932,54,-0.1455,47,-0.3836
ENSG00000159363,ATP13A2,23,-2.4146,41,-1.5568,292,1.71007,99,-0.2186,95,-0.2565,90,-0.3456,133,0.33308
ENSG00000117118,SDHB,145,0.92988,55,-0.6630,93,0.16592,53,-0.8116,66,-0.3719,139,0.84907,75,-0.1958
ENSG00000117115,PADI2,13,-1.6991,121,1.93981,4,-3.3740,15,-1.6568,65,0.76412,77,1.06675,30,-0.5722
ENSG00000117154,IGSF21,0,-5.9534,44,-0.2340,128,1.63192,58,0.26974,23,-1.2015,34,-0.6225,55,0.14308
ENSG00000127463,EMC1,82,1.31831,16,-1.3177,82,1.30976,42,0.18504,27,-0.5677,22,-0.8884,15,-1.4985
ENSG00000053372,MRTO4,0,-5.4726,2,-3.9994,35,0.01870,66,1.35353,19,-0.8991,25,-0.5389,49,0.67325
ENSG00000053371,AKR7A2,36,-0.1958,49,0.31815,20,-1.0816,68,1.02815,59,0.60647,36,-0.1892,15,-1.6365
ENSG00000077549,CAPZB,160,-0.4931,235,0.11846,255,0.25704,245,0.22145,177,-0.3331,211,-0.0556,218,-0.0061
ENSG00000173436,MICOS10,392,0.68431,231,-0.1935,225,-0.2369,212,-0.3678,296,0.20680,282,0.13163,247,-0.0997
ENSG00000158747,NBL1,418,1.25924,197,-0.0328,263,0.44198,127,-0.8075,136,-0.6190,134,-0.6380,204,0.02890
ENSG00000162545,CAMK2N1,212,-2.9737,891,-0.8256,848,-0.9033,1800,0.34250,1495,-0.0092,2141,0.58761,2174,0.72823
ENSG00000158828,PINK1,345,-0.2861,252,-0.7729,575,0.55476,489,0.32503,341,-0.3037,272,-0.6568,472,0.25857
ENSG00000189410,SH2D5,14,-1.8154,6,-2.9496,64,0.48884,83,1.15907,35,-0.4591,32,-0.6158,54,0.23977
ENSG00000127483,HP1BP3,416,1.23911,113,-0.9210,206,0.02875,210,0.06586,190,-0.0991,176,-0.2223,151,-0.5252
ENSG00000075151,EIF4G3,60,-1.1458,176,0.56259,190,0.70020,119,-0.0901,96,-0.4164,102,-0.3184,131,0.09263
ENSG00000076864,RAP1GAP,18,-2.9435,29,-2.2890,294,1.42916,203,0.90268,55,-1.3268,129,-0.0105,117,-0.1818
ENSG00000090686,USP48,55,-0.0519,63,0.16272,36,-0.7380,75,0.51620,41,-0.5219,92,0.80431,38,-0.6885
ENSG00000070831,CDC42,234,0.12499,164,-0.4363,366,0.88655,244,0.22374,146,-0.6245,160,-0.4784,195,-0.1903
ENSG00000004487,KDM1A,46,0.15906,48,0.23555,50,0.32064,51,0.38616,38,-0.1327,35,-0.2731,27,-0.7381
ENSG00000169641,LUZP1,73,0.47175,62,0.19931,72,0.44870,45,-0.3528,22,-1.3892,48,-0.2238,64,0.26791
ENSG00000125944,HNRNPR,192,0.98846,78,-0.4959,141,0.45517,80,-0.5215,68,-0.7203,147,0.53106,88,-0.3409
ENSG00000142676,RPL11,2192,1.99140,1125,0.71692,240,-1.7229,473,-0.7703,687,-0.1062,484,-0.6582,462,-0.8096
ENSG00000057757,PITHD1,120,-0.6848,74,-1.4250,264,0.59585,273,0.77332,156,-0.2645,176,-0.0738,163,-0.2294
ENSG00000011009,LYPLA2,34,-0.1541,25,-0.6325,59,0.75636,67,1.19854,18,-1.1372,20,-0.9540,23,-0.8159
ENSG00000189266,PNRC2,195,1.60820,58,-0.4646,40,-1.0342,89,0.24745,54,-0.5920,47,-0.7876,65,-0.3212
ENSG00000188529,SRSF10,46,-0.3981,136,1.42530,58,-0.0432,32,-1.0761,55,-0.1390,71,0.29018,54,-0.1928
ENSG00000001461,NIPAL3,0,-5.9248,59,0.35473,63,0.44639,53,0.18085,41,-0.2300,30,-0.7223,65,0.60697
ENSG00000133226,SRRM1,154,1.52552,106,0.83974,40,-0.7554,54,-0.3030,23,-1.5712,59,-0.1332,44,-0.6627
ENSG00000117614,SYF2,132,1.11262,134,1.14421,26,-1.4690,58,-0.3130,58,-0.2549,34,-1.0947,59,-0.2804
ENSG00000117616,RSRP1,120,0.91532,51,-0.5041,67,-0.0718,94,0.58075,43,-0.7432,73,0.06983,43,-0.8467
ENSG00000183726,TMEM50A,171,0.85535,134,0.44492,118,0.22862,110,0.12858,50,-1.1045,130,0.38328,50,-1.2197
ENSG00000117643,MAN1C1,83,1.09501,30,-0.5670,57,0.44367,42,-0.0675,15,-1.6064,68,0.73088,27,-0.8035
ENSG00000162430,SELENON,162,2.02836,20,-1.4906,50,-0.1027,53,0.01068,56,0.07574,44,-0.3158,20,-1.6346
ENSG00000117640,MTFR1L,54,-0.4133,74,0.10690,73,0.07049,59,-0.2924,46,-0.6542,101,0.61998,80,0.26537
ENSG00000117632,STMN1,253,-2.1399,435,-1.3295,1590,0.74404,1306,0.47588,684,-0.6343,1220,0.29366,1195,0.29962
ENSG00000158008,EXTL1,0,-5.8667,22,-1.1579,63,0.52810,67,0.72080,46,-0.0099,57,0.35801,46,0.01008
ENSG00000142669,SH3BGRL3,213,0.06316,203,-0.0145,206,0.01184,197,-0.0667,190,-0.1160,160,-0.3933,237,0.28183
ENSG00000198830,HMGN2,433,1.36435,270,0.52014,106,-0.9704,153,-0.4554,221,0.18135,166,-0.2805,137,-0.6431
ENSG00000117713,ARID1A,151,1.28874,83,0.24175,109,0.70488,51,-0.5774,48,-0.6154,78,0.14228,35,-1.1994
ENSG00000090273,NUDC,228,0.53525,70,-1.3411,113,-0.6057,203,0.39228,154,-0.1178,229,0.53713,144,-0.2459
ENSG00000253368,TRNP1,11,-2.4988,44,-0.4502,105,1.01510,52,-0.1993,39,-0.6008,36,-0.7435,91,0.90147
ENSG00000142784,WDTC1,89,0.79183,15,-1.9749,41,-0.4758,63,0.23687,41,-0.4794,78,0.57843,54,-0.0410
ENSG00000186501,TMEM222,82,0.03172,72,-0.1813,127,0.75323,91,0.22283,43,-0.9901,105,0.43632,58,-0.5909
ENSG00000126705,AHDC1,50,-0.0087,70,0.55394,75,0.66802,52,0.05726,33,-0.6750,44,-0.2181,38,-0.4808
ENSG00000126709,IFI6,833,2.82681,241,0.33383,144,-0.4929,105,-1.0872,68,-1.6261,95,-1.1364,89,-1.3458
ENSG00000117758,STX12,161,0.79718,40,-1.4140,150,0.67980,88,-0.2263,77,-0.4125,110,0.15912,92,-0.1453
ENSG00000117751,PPP1R8,20,-0.8626,30,-0.2026,16,-1.2048,45,0.51243,43,0.36300,14,-1.3679,49,0.66667
ENSG00000117748,RPA2,65,0.36112,48,-0.1348,46,-0.1918,78,0.81274,32,-0.7676,68,0.43782,26,-1.1589
ENSG00000126698,DNAJC8,162,0.55639,78,-0.6164,157,0.50117,110,-0.1019,103,-0.1878,160,0.53364,81,-0.6212
ENSG00000130770,ATP5IF1,313,-0.4785,185,-1.2885,391,-0.1221,506,0.34584,406,-0.0618,564,0.47947,464,0.17764
ENSG00000198492,YTHDF2,40,-0.9212,27,-1.5314,135,1.05704,66,-0.1696,32,-1.2564,123,0.89359,81,0.21844
ENSG00000116350,SRSF4,98,1.17069,48,-0.0638,52,0.07874,23,-1.3232,42,-0.2450,30,-0.8085,65,0.53280
ENSG00000162512,SDC3,85,-0.5036,46,-1.4230,222,1.10850,145,0.42419,113,-0.0488,123,0.09278,83,-0.5896
ENSG00000134644,PUM1,80,-1.0326,40,-2.0569,216,0.54702,268,1.12288,111,-0.5374,118,-0.4384,148,-0.0909
ENSG00000121766,ZCCHC17,72,-0.8428,113,-0.1265,109,-0.1938,160,0.50789,101,-0.3131,89,-0.5026,150,0.38852
ENSG00000121769,FABP3,12,-3.1138,52,-0.9068,284,2.02091,90,-0.0590,47,-1.0580,49,-1.0105,108,0.27138
ENSG00000162517,PEF1,42,-0.8090,23,-1.6822,93,0.46202,99,0.66570,46,-0.6749,63,-0.1727,84,0.33344
ENSG00000084636,COL16A1,68,0.64953,60,0.44151,38,-0.3098,28,-0.8434,46,0.01496,45,-0.0192,50,0.14472
ENSG00000121753,ADGRB2,36,-2.8170,36,-2.8366,404,0.93079,402,1.11906,182,-0.3917,168,-0.5209,234,0.00548
ENSG00000184007,PTP4A2,175,0.14649,155,-0.0553,123,-0.4180,141,-0.2342,179,0.18591,85,-0.9835,221,0.62703
ENSG00000121774,KHDRBS1,149,0.14017,90,-0.6659,145,0.09934,163,0.33948,125,-0.1397,189,0.53322,103,-0.5091
ENSG00000025800,KPNA6,26,-0.9449,40,-0.3021,64,0.47472,63,0.50130,40,-0.2911,27,-0.9208,56,0.27115
ENSG00000084623,EIF3I,55,-0.8368,17,-2.5320,130,0.54259,134,0.70958,43,-1.1964,132,0.57361,98,0.08353
ENSG00000175130,MARCKSL1,106,-0.1215,140,0.33884,54,-1.1609,107,-0.1158,182,0.78274,161,0.56727,85,-0.5259
ENSG00000160058,BSDC1,93,0.55036,45,-0.6036,57,-0.2488,90,0.59127,40,-0.8067,52,-0.4058,66,-0.0165
ENSG00000176261,ZBTB8OS,47,0.32384,18,-1.1996,23,-0.7868,24,-0.8368,53,0.54230,60,0.73481,49,0.45498
ENSG00000162521,RBBP4,63,-0.3842,114,0.57372,102,0.39308,68,-0.3043,62,-0.4213,106,0.45251,71,-0.2345
ENSG00000162522,KIAA1522,25,-0.7163,17,-1.3198,29,-0.4758,65,1.01693,31,-0.3916,30,-0.4355,46,0.30723
ENSG00000134684,YARS,30,-1.6400,27,-1.8051,145,0.87335,150,1.12339,58,-0.6313,75,-0.2330,72,-0.3210
ENSG00000121905,HPCA,5,-4.8302,59,-1.4461,274,1.02533,176,0.30033,87,-0.8626,133,-0.1875,220,0.75581
ENSG00000121900,TMEM54,0,-5.0415,4,-2.6227,44,0.87750,19,-0.4858,45,0.93397,22,-0.2668,39,0.80664
ENSG00000134686,PHC2,57,0.32187,4,-3.4587,76,0.79061,49,0.06849,41,-0.2083,26,-0.9488,61,0.49349
ENSG00000163866,SMIM12,12,-2.0039,12,-2.1102,78,0.84443,80,1.06904,30,-0.7110,42,-0.1632,45,-0.0850
ENSG00000116544,DLGAP3,13,-2.5734,95,0.40001,47,-0.7214,91,0.37980,76,0.02093,101,0.50147,78,0.09218
ENSG00000116560,SFPQ,204,0.24449,299,0.90146,148,-0.2678,122,-0.6417,129,-0.4947,226,0.41943,164,-0.1200
ENSG00000146463,ZMYM4,85,0.53827,102,0.84338,53,-0.2384,68,0.17105,59,-0.0808,53,-0.2459,34,-1.0276
ENSG00000142687,KIAA0319L,87,0.71732,35,-0.7774,85,0.67467,46,-0.3724,27,-1.1630,83,0.63812,51,-0.2045
ENSG00000020129,NCDN,157,-2.0331,191,-1.7386,728,0.34749,898,0.84117,333,-0.8997,933,0.77189,583,-0.0203
ENSG00000126067,PSMB2,122,0.00630,51,-1.3552,214,0.95373,167,0.61210,60,-1.1039,102,-0.2787,107,-0.2416
ENSG00000142686,C1orf216,35,-1.5681,10,-3.3961,127,0.43037,137,0.65153,67,-0.6076,111,0.20254,129,0.53170
ENSG00000092847,AGO1,50,0.39585,25,-0.7370,60,0.68133,46,0.29818,22,-0.8980,64,0.79688,21,-1.0567
ENSG00000054116,TRAPPC3,65,0.45159,1,-5.2573,88,0.98132,59,0.36521,47,-0.0737,29,-0.8120,47,-0.0939
ENSG00000116871,MAP7D1,178,-0.3029,61,-1.9270,185,-0.2398,304,0.68828,188,-0.2085,285,0.46825,212,-0.0173
ENSG00000054118,THRAP3,196,1.09020,103,0.00284,55,-0.9862,143,0.64248,51,-1.1126,104,0.01068,67,-0.7616
ENSG00000181817,LSM10,38,-0.1830,27,-0.7176,31,-0.4794,58,0.58690,28,-0.6496,57,0.48324,43,0.02362
ENSG00000116898,MRPS15,99,0.92916,19,-1.6826,18,-1.7196,53,-0.1344,26,-1.1965,103,0.98627,71,0.42304
ENSG00000163875,MEAF6,30,-2.1038,58,-1.0944,144,0.32995,222,1.33329,79,-0.6348,87,-0.4760,108,-0.1470
ENSG00000197982,C1orf122,116,-0.7260,210,0.21924,142,-0.4089,162,-0.2282,264,0.60619,204,0.17517,196,0.12085
ENSG00000116954,RRAGC,74,0.45191,32,-0.8868,57,0.03359,106,1.34198,41,-0.4827,20,-1.6008,34,-0.8662
ENSG00000174574,AKIRIN1,17,-2.6427,77,-0.3775,152,0.73347,109,0.20034,108,0.16211,210,1.31268,50,-1.1544
ENSG00000168653,NDUFS5,562,-0.1965,366,-0.8692,401,-0.7272,764,0.35495,551,-0.2282,711,0.18636,796,0.43640
ENSG00000127603,MACF1,377,0.72915,502,1.24555,171,-0.5664,153,-0.8156,205,-0.2768,295,0.31432,169,-0.6482
ENSG00000090621,PABPC4,80,0.21117,120,0.88505,37,-1.0260,57,-0.3779,64,-0.1470,28,-1.4109,96,0.59617
ENSG00000116983,HPCAL4,53,-3.0505,182,-1.2247,397,-0.0051,572,0.71426,336,-0.2755,540,0.50449,467,0.30013
ENSG00000131236,CAP1,278,1.10666,133,-0.1423,159,0.14614,144,-0.0162,110,-0.4434,110,-0.4455,115,-0.4185
ENSG00000131238,PPT1,216,0.79444,87,-0.6898,156,0.24170,174,0.49902,90,-0.6329,122,-0.1538,95,-0.6075
ENSG00000084073,ZMPSTE24,64,0.88402,21,-0.9092,80,1.28954,30,-0.4119,40,0.10882,30,-0.3557,22,-0.9154
ENSG00000084070,SMAP2,112,-0.3984,121,-0.2744,188,0.43908,177,0.40088,94,-0.6630,138,-0.0612,143,-0.0123
ENSG00000117016,RIMS3,15,-3.1494,36,-1.8981,126,0.01135,171,0.60336,76,-0.7747,163,0.43561,184,0.76200
ENSG00000066136,NFYC,56,0.23701,35,-0.5210,64,0.47604,88,1.25172,10,-2.3424,27,-0.9229,33,-0.6663
ENSG00000198815,FOXJ3,29,-1.2789,70,0.10642,111,0.87266,100,0.82346,25,-1.4716,55,-0.2941,52,-0.4327
ENSG00000177181,RIMKLA,44,0.09757,36,-0.2221,63,0.70788,52,0.44735,38,-0.1292,30,-0.4672,27,-0.6970
ENSG00000127125,PPCS,16,-1.5807,12,-2.0937,67,0.61253,48,0.05570,33,-0.5288,36,-0.4242,79,1.08312
ENSG00000065978,YBX1,380,1.94683,258,1.17987,41,-1.7511,64,-1.1998,95,-0.5017,119,-0.1355,72,-1.0079
ENSG00000117394,SLC2A1,1855,5.08015,44,-2.6602,37,-2.9224,72,-2.0892,51,-2.4343,79,-1.8066,40,-2.9512
ENSG00000117395,EBNA1BP2,78,0.03896,35,-1.1954,71,-0.1052,116,0.84366,60,-0.3606,103,0.51236,51,-0.6799
ENSG00000142949,PTPRF,32,-2.3157,34,-2.2107,270,1.04090,235,0.96111,126,-0.2438,114,-0.3988,135,-0.1467
ENSG00000126091,ST3GAL3,0,-5.5662,27,-0.5115,38,0.02157,40,0.15282,31,-0.3058,35,-0.0888,61,1.01522
ENSG00000117408,IPO13,0,-6.0300,69,0.48355,62,0.30359,63,0.39104,50,-0.0435,47,-0.1433,54,0.09070
ENSG00000117410,ATP6V0B,209,-0.7500,105,-1.7956,669,1.18383,479,0.69752,203,-0.7922,312,-0.1178,284,-0.3067
ENSG00000117411,B4GALT2,21,-1.9050,35,-1.1913,81,0.13046,63,-0.2986,55,-0.4912,114,0.71214,119,0.94778
ENSG00000178028,DMAP1,38,-0.3469,53,0.17525,54,0.20502,39,-0.3244,44,-0.1049,38,-0.3675,60,0.46369
ENSG00000117419,ERI3,120,-0.3936,97,-0.7193,192,0.36732,175,0.25433,112,-0.4998,159,0.05465,175,0.24840
ENSG00000187147,RNF220,102,-0.0846,37,-1.6266,119,0.16736,138,0.48229,88,-0.3119,120,0.18317,112,0.07641
ENSG00000142937,RPS8,2029,1.62363,1575,1.13937,386,-1.1589,445,-1.0385,885,0.14351,471,-0.8563,529,-0.7525
ENSG00000126088,UROD,30,-1.2436,37,-0.8947,80,0.31571,90,0.60815,55,-0.2780,55,-0.2796,78,0.31353
ENSG00000117450,PRDX1,428,0.46013,312,-0.0597,331,0.03401,324,-0.0011,395,0.32424,337,0.06366,233,-0.5874
ENSG00000117448,AKR1A1,24,-0.7028,12,-1.6970,47,0.32443,46,0.32973,61,0.77790,44,0.23095,32,-0.3073
ENSG00000085998,POMGNT1,88,0.41567,56,-0.3154,96,0.55598,83,0.36278,23,-1.6946,83,0.31484,52,-0.4787
ENSG00000132128,LRRC41,60,0.41582,2,-4.5089,63,0.49066,77,0.98659,25,-1.0032,36,-0.4077,41,-0.2297
ENSG00000173660,UQCRH,270,-0.6697,216,-1.0171,489,0.27884,384,-0.1321,385,-0.1118,542,0.44983,522,0.45182
ENSG00000123472,ATPAF1,127,-0.0530,153,0.25176,125,-0.0770,104,-0.4262,127,-0.0575,149,0.20188,147,0.21235
ENSG00000159658,EFCAB14,184,1.18289,210,1.43168,59,-0.6880,45,-1.2115,50,-0.9587,121,0.45699,57,-0.8348
ENSG00000162368,CMPK1,125,0.38260,28,-1.9199,125,0.38300,98,-0.0241,68,-0.5966,113,0.20751,119,0.34236
ENSG00000162374,ELAVL4,10,-3.9756,41,-1.9544,383,1.70310,175,0.33597,99,-0.6267,52,-1.6042,193,0.53077
ENSG00000185104,FAF1,67,0.79778,51,0.35190,44,0.11459,56,0.58333,29,-0.5492,20,-1.1202,24,-0.9114
ENSG00000123091,RNF11,333,-0.5451,252,-0.9765,779,0.85499,459,-0.0408,300,-0.7071,515,0.15349,562,0.34601
ENSG00000085832,EPS15,104,-0.7022,140,-0.2387,234,0.60921,138,-0.2944,92,-0.8843,157,-0.0540,228,0.67245
ENSG00000078618,NRDC,36,-1.1901,76,-0.0484,112,0.60126,109,0.65436,73,-0.1037,46,-0.8325,70,-0.1852
ENSG00000169213,RAB3B,46,-1.4024,43,-1.5041,298,1.72788,80,-0.6012,69,-0.7704,13,-3.1994,193,1.09888
ENSG00000134717,BTF3L4,25,-1.6283,86,0.31023,105,0.65047,65,-0.1614,53,-0.4740,87,0.32241,77,0.15785
ENSG00000157077,ZFYVE9,11,-1.7523,8,-2.2259,38,0.13219,39,0.18892,37,0.08940,21,-0.7540,61,1.13559
ENSG00000162378,ZYG11B,70,-1.0994,104,-0.4896,248,0.95592,161,0.25247,80,-0.8909,182,0.41538,132,-0.1214
ENSG00000116171,SCP2,195,0.96099,181,0.82166,99,-0.1764,70,-0.7929,116,0.07165,118,0.10324,73,-0.7214
ENSG00000162384,CZIB,38,-0.1349,44,0.11026,36,-0.2032,45,0.16842,61,0.64650,25,-0.7966,38,-0.1291
ENSG00000162385,MAGOH,64,0.85775,8,-2.3002,55,0.57069,46,0.33128,17,-1.2141,27,-0.5360,42,0.13698
ENSG00000157193,LRP8,44,-0.5763,59,-0.1276,56,-0.2138,122,1.36615,55,-0.2374,32,-1.0778,42,-0.7318
ENSG00000116209,TMEM59,496,1.78459,52,-1.9283,256,0.56096,168,-0.1578,150,-0.3209,157,-0.2447,99,-1.0506
ENSG00000116221,MRPL37,0,-6.0080,17,-1.6946,98,1.12030,66,0.50964,43,-0.2440,83,0.82627,41,-0.3689
ENSG00000157216,SSBP3,153,-0.3426,97,-1.0502,268,0.57184,233,0.39196,121,-0.7133,154,-0.3403,225,0.32287
ENSG00000116133,DHCR24,54,-1.7010,51,-1.8007,423,1.68328,217,0.54213,126,-0.4113,76,-1.1977,155,-0.0997
