Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000179403,VWA1,1,-5.9617,204,1.98908,151,0.79885,19,-2.3716,5,-4.3002,28,-1.7821,96,0.05312,54,-0.9098
ENSG00000205090,TMEM240,1,-6.2171,204,1.42211,31,-1.9393,106,-0.0651,207,1.03322,112,0.02195,58,-0.9969,45,-1.4546
ENSG00000160075,SSU72,84,-1.2114,204,0.19540,102,-0.9134,311,0.84797,232,0.36630,211,0.21415,176,-0.0770,153,-0.3266
ENSG00000228594,FNDC10,2,-5.3222,204,2.04027,0,-7.0361,54,-0.8083,90,-0.0168,130,0.56807,17,-2.4695,50,-1.0120
ENSG00000197530,MIB2,1,-5.9635,204,1.98443,91,-0.0325,64,-0.5729,71,-0.4155,56,-0.7724,35,-1.4994,45,-1.1726
ENSG00000078369,GNB1,187,-0.8521,204,-0.8593,386,0.27715,454,0.54101,436,0.47534,367,0.19805,423,0.42691,353,0.14864
ENSG00000187730,GABRD,1,-6.7487,204,0.50237,51,-1.7428,290,0.97732,166,0.05612,290,0.97607,106,-0.6385,123,-0.4521
ENSG00000067606,PRKCZ,432,1.18789,204,-0.0729,64,-1.8132,298,0.55403,259,0.32411,211,-0.0027,157,-0.4633,147,-0.6202
ENSG00000162585,FAAP20,1,-6.0515,204,1.77520,131,0.45252,49,-1.0823,30,-1.7818,44,-1.2312,70,-0.5332,74,-0.4829
ENSG00000157933,SKI,170,0.59389,204,1.24352,1,-6.2167,87,-0.4695,103,-0.2116,126,0.11007,56,-1.1436,71,-0.8516
ENSG00000157916,RER1,40,-1.4287,204,1.62456,143,0.51767,100,-0.0559,29,-1.9120,45,-1.2770,39,-1.4709,65,-0.7795
ENSG00000197921,HES5,8,-4.0182,204,1.09930,33,-1.9869,32,-2.0438,102,-0.3189,53,-1.3157,359,1.82254,86,-0.6248
ENSG00000157870,PRXL2B,1,-6.3611,204,1.14697,53,-1.2700,203,0.82765,87,-0.5238,74,-0.7679,81,-0.6459,117,-0.0771
ENSG00000177133,PRDM16-DT,1,-5.6970,204,2.76585,0,-6.7921,15,-2.4070,22,-1.8808,13,-2.6306,107,0.52192,39,-1.1256
ENSG00000158109,TPRG1L,189,0.27887,204,0.51524,103,-0.6790,238,0.65334,63,-1.4031,168,0.08910,140,-0.2014,118,-0.5026
ENSG00000130764,LRRC47,1,-6.0313,204,1.82197,81,-0.2804,103,0.08491,61,-0.7216,72,-0.4724,71,-0.4776,34,-1.6751
ENSG00000196581,AJAP1,1,-5.9111,204,2.11807,32,-1.5456,52,-0.8308,102,0.20924,105,0.25830,36,-1.3714,22,-2.2426
ENSG00000069424,KCNAB2,196,-0.5182,204,-0.5517,157,-0.8570,482,0.93295,389,0.57149,441,0.78396,284,0.06203,221,-0.3598
ENSG00000116254,CHD5,10,-4.6714,204,-0.4269,58,-2.2364,491,1.08434,360,0.55929,466,0.99410,157,-0.7541,325,0.44101
ENSG00000116251,RPL22,587,0.80231,204,-1.0340,451,0.36608,308,-0.2426,299,-0.2874,401,0.17717,312,-0.2217,491,0.57211
ENSG00000097021,ACOT7,1,-6.6556,204,0.64722,82,-0.9374,269,0.96254,151,0.01528,226,0.66783,68,-1.2051,120,-0.3801
ENSG00000171680,PLEKHG5,1,-5.8794,204,2.20298,21,-2.1167,114,0.42786,38,-1.2646,45,-1.0329,43,-1.0921,44,-1.1228
ENSG00000162408,NOL9,1,-6.0384,204,1.80541,37,-1.4765,45,-1.1977,119,0.30948,52,-0.9568,80,-0.3161,65,-0.6885
ENSG00000007923,DNAJC11,1,-5.8699,204,2.22883,0,-6.8380,109,0.36721,46,-0.9901,41,-1.1645,55,-0.7112,46,-1.0392
ENSG00000171735,CAMTA1,350,0.72663,204,-0.1840,129,-0.8484,272,0.31195,202,-0.1628,237,0.08948,266,0.27542,198,-0.2152
ENSG00000049245,VAMP3,17,-2.5831,204,1.92446,183,1.09751,8,-3.5541,1,-6.3814,42,-1.2278,63,-0.6283,56,-0.8671
ENSG00000116288,PARK7,127,-0.5100,204,0.28855,98,-0.9078,154,-0.2177,182,0.04843,154,-0.2165,326,1.00944,146,-0.3335
ENSG00000142599,RERE,1,-6.6074,204,0.72442,126,-0.2182,134,-0.1271,111,-0.4204,303,1.22327,159,0.14279,76,-1.0795
ENSG00000074800,ENO1,189,-1.4137,204,-1.5000,383,-0.3387,632,0.46061,495,0.06648,770,0.78750,1141,1.47980,503,0.10083
ENSG00000171603,CLSTN1,186,-1.1403,204,-1.1703,218,-0.8948,1083,1.75724,618,0.75430,351,-0.1639,513,0.44266,352,-0.1780
ENSG00000162441,LZIC,22,-2.1248,204,2.01783,49,-0.9675,27,-1.8468,3,-4.8960,131,0.57422,63,-0.5924,52,-0.9402
ENSG00000130939,UBE4B,1,-5.8247,204,2.35676,21,-2.1074,81,-0.0544,58,-0.5844,36,-1.2759,15,-2.5584,51,-0.8284
ENSG00000054523,KIF1B,517,0.56400,204,-1.0604,286,-0.3814,424,0.24093,491,0.47891,473,0.41828,453,0.34796,379,0.06586
ENSG00000142657,PGD,1,-5.8545,204,2.27182,33,-1.4438,84,-0.0353,37,-1.2842,57,-0.6411,46,-0.9567,38,-1.3348
ENSG00000160049,DFFA,1,-5.8758,204,2.21257,62,-0.5306,7,-3.7540,104,0.27662,20,-2.2138,47,-0.9503,54,-0.8018
ENSG00000120948,TARDBP,63,-0.7942,204,1.54523,155,0.60831,72,-0.6068,49,-1.1913,15,-2.8932,93,-0.2111,55,-1.0940
ENSG00000116649,SRM,33,-2.1391,204,0.88177,118,-0.2236,180,0.45209,169,0.35521,93,-0.5843,102,-0.4526,94,-0.6253
ENSG00000116661,FBXO2,1,-7.1735,204,-0.1207,49,-2.2296,248,0.21376,268,0.33836,232,0.11055,386,0.94871,294,0.55861
ENSG00000132879,FBXO44,1,-6.7688,204,0.47153,21,-3.0236,416,1.59999,135,-0.2939,248,0.68929,110,-0.6102,122,-0.4918
ENSG00000011021,CLCN6,43,-1.3662,204,1.58652,61,-0.8256,157,0.65983,20,-2.4918,13,-3.0842,123,0.25324,62,-0.8833
ENSG00000116685,KIAA2013,1,-5.9401,204,2.04313,116,0.38983,61,-0.6287,108,0.26929,16,-2.6269,18,-2.4246,36,-1.4998
ENSG00000116688,MFN2,2,-5.9809,204,1.03013,102,-0.3558,179,0.54312,160,0.35921,89,-0.5677,91,-0.5217,86,-0.6631
ENSG00000048707,VPS13D,234,0.99989,204,1.04063,113,-0.1839,97,-0.4279,150,0.26450,38,-1.8349,53,-1.3267,52,-1.4561
ENSG00000162496,DHRS3,76,-0.5545,204,1.46606,227,1.22031,34,-1.7823,17,-2.7636,36,-1.6637,116,0.10534,40,-1.6077
ENSG00000116731,PRDM2,1,-6.1074,204,1.65079,32,-1.7627,111,0.13093,163,0.75339,64,-0.7310,43,-1.3209,51,-1.1521
ENSG00000142634,EFHD2,1,-6.0711,204,1.73115,195,1.10796,69,-0.5836,43,-1.2817,27,-1.9547,9,-3.5346,72,-0.5614
ENSG00000116786,PLEKHM2,1,-6.2059,204,1.44475,55,-1.0587,94,-0.2484,82,-0.4445,79,-0.5094,106,-0.0497,89,-0.3569
ENSG00000065526,SPEN,171,0.45679,204,1.00780,246,1.06816,63,-1.1064,52,-1.4000,106,-0.3042,66,-1.0360,52,-1.4802
ENSG00000055070,SZRD1,1,-5.7897,204,2.46134,92,0.17780,11,-2.9286,15,-2.4923,4,-4.4889,69,-0.2732,50,-0.8239
ENSG00000159363,ATP13A2,82,-0.8291,204,0.80881,92,-0.6572,179,0.39510,101,-0.5011,147,0.07687,154,0.15065,87,-0.8015
ENSG00000117118,SDHB,1,-5.9759,204,1.95403,0,-7.0707,70,-0.4435,8,-3.6494,181,1.08907,76,-0.3176,40,-1.3685
ENSG00000117115,PADI2,69,-0.5840,204,1.73074,70,-0.5497,57,-0.8713,26,-2.0098,40,-1.3936,67,-0.6291,80,-0.3832
ENSG00000117154,IGSF21,1,-6.1124,204,1.64017,18,-2.6003,132,0.40621,145,0.55669,92,-0.1687,13,-3.0243,59,-0.9319
ENSG00000053372,MRTO4,1,-5.8096,204,2.40129,35,-1.3287,101,0.30052,21,-2.0723,14,-2.6593,37,-1.2252,48,-0.9076
ENSG00000053371,AKR7A2,1,-5.7912,204,2.45670,14,-2.6074,37,-1.1988,5,-4.1265,76,-0.1238,78,-0.0796,41,-1.1494
ENSG00000077549,CAPZB,24,-3.2211,204,-0.0756,435,1.19887,309,0.61327,151,-0.5245,212,-0.0002,248,0.25571,169,-0.3899
ENSG00000173436,MICOS10,55,-1.8134,204,0.22760,183,0.01298,223,0.32535,255,0.54498,151,-0.2956,178,-0.0359,173,-0.0902
ENSG00000158747,NBL1,390,0.74631,204,-0.3662,445,0.97075,235,-0.0735,144,-0.8341,191,-0.4006,189,-0.4140,254,0.04964
ENSG00000162545,CAMK2N1,523,-0.4984,204,-2.1612,529,-0.4804,840,0.24721,1434,1.14591,1605,1.34688,877,0.31696,747,0.06691
ENSG00000158828,PINK1,300,-0.0256,204,-0.7525,241,-0.3709,431,0.55729,510,0.84038,292,-0.0694,337,0.15804,318,0.07043
ENSG00000127483,HP1BP3,30,-2.6445,204,0.28588,225,0.38487,247,0.53650,102,-0.8474,214,0.30289,221,0.35692,148,-0.3061
ENSG00000075151,EIF4G3,1,-6.3780,204,1.11614,40,-1.7108,115,-0.1115,195,0.74401,88,-0.5215,109,-0.2001,100,-0.3623
ENSG00000076864,RAP1GAP,5,-4.8680,204,0.75842,30,-2.3317,338,1.44841,212,0.63549,84,-0.8138,93,-0.6689,100,-0.6097
ENSG00000090686,USP48,309,1.82169,204,1.50946,43,-1.3937,61,-0.8610,14,-2.9958,37,-1.6324,32,-1.8354,37,-1.7310
ENSG00000070831,CDC42,175,-0.2582,204,-0.0294,272,0.43973,259,0.36128,209,0.01519,237,0.21501,154,-0.4604,179,-0.2511
ENSG00000169641,LUZP1,231,1.11889,204,1.25256,65,-0.9082,104,-0.1878,81,-0.5754,67,-0.8772,57,-1.1105,38,-1.8093
ENSG00000125944,HNRNPR,93,-0.5271,204,0.99182,132,0.02856,91,-0.5460,162,0.35754,55,-1.3074,92,-0.5388,96,-0.5165
ENSG00000142676,RPL11,739,0.72289,204,-1.4971,1167,1.52467,238,-1.0647,552,0.24114,408,-0.2381,462,-0.0405,521,0.16573
ENSG00000057757,PITHD1,1,-6.4750,204,0.94519,11,-3.6520,143,0.12457,265,1.15130,148,0.17959,120,-0.1579,78,-0.8813
ENSG00000011009,LYPLA2,56,-0.7868,204,1.96737,24,-2.0538,107,0.22073,59,-0.6992,66,-0.5402,45,-1.1014,28,-1.9087
ENSG00000189266,PNRC2,1,-6.0072,204,1.87834,107,0.17401,66,-0.5702,37,-1.4423,53,-0.8988,67,-0.5571,55,-0.9318
ENSG00000188529,SRSF10,1,-5.7517,204,2.58068,1,-5.7606,35,-1.2646,35,-1.2445,28,-1.5888,69,-0.2263,50,-0.7990
ENSG00000001461,NIPAL3,1,-5.8014,204,1.90587,49,-1.0225,75,-0.3705,98,0.05532,49,-1.0033,35,-1.5099,62,-0.7088
ENSG00000133226,SRRM1,189,0.78937,204,1.27830,103,-0.1909,14,-3.1381,135,0.24092,79,-0.6102,48,-1.3607,51,-1.3557
ENSG00000169504,CLIC4,90,-0.4353,204,1.21447,471,2.47974,1,-6.0580,0,-8.6479,0,-9.0926,37,-1.7536,50,-1.4126
ENSG00000117614,SYF2,1,-6.0818,204,1.70711,149,0.63570,53,-0.9922,54,-0.9581,47,-1.1778,83,-0.3061,55,-1.0058
ENSG00000117616,RSRP1,171,0.79338,204,1.56821,99,-0.1040,76,-0.5072,15,-2.8561,58,-0.9230,66,-0.7124,31,-1.9700
ENSG00000183726,TMEM50A,83,-0.7688,204,0.86921,265,1.09654,162,0.27825,107,-0.3834,46,-1.6382,80,-0.8178,73,-1.0372
ENSG00000162430,SELENON,55,-1.0967,204,1.37234,180,0.76254,95,-0.2639,15,-3.0093,133,0.26849,70,-0.7323,39,-1.6941
ENSG00000117640,MTFR1L,1,-6.1728,204,1.51239,50,-1.1538,137,0.39168,64,-0.7981,42,-1.4337,105,-0.0362,85,-0.4035
ENSG00000117632,STMN1,199,-1.0896,204,-1.2264,320,-0.3588,919,1.38776,761,1.05198,540,0.47456,337,-0.2800,371,-0.1440
ENSG00000158008,EXTL1,1,-6.1360,204,1.58949,73,-0.5619,132,0.37822,36,-1.5976,134,0.39588,53,-1.0388,55,-1.0777
ENSG00000142669,SH3BGRL3,89,-1.1979,204,0.08640,327,0.84247,247,0.37995,152,-0.3870,232,0.27977,205,0.07675,141,-0.5526
ENSG00000198830,HMGN2,122,-0.4879,204,0.41025,303,0.97925,97,-0.8419,119,-0.5229,85,-1.0461,194,0.23994,153,-0.1542
ENSG00000117713,ARID1A,1,-6.1634,204,1.53194,61,-0.8632,74,-0.5610,126,0.26657,136,0.38839,73,-0.5904,45,-1.4058
ENSG00000090273,NUDC,1,-6.5899,204,0.75279,167,0.24287,187,0.42522,135,-0.0983,132,-0.1320,117,-0.3221,114,-0.3965
ENSG00000253368,TRNP1,1,-5.8003,204,2.42919,17,-2.3825,34,-1.3634,66,-0.3464,53,-0.6751,44,-0.9731,42,-1.1189
ENSG00000142784,WDTC1,62,-0.8438,204,1.52087,107,-0.0022,97,-0.1589,70,-0.6474,49,-1.2037,51,-1.1425,65,-0.8323
ENSG00000186501,TMEM222,1,-6.2575,204,1.34236,50,-1.2707,179,0.73381,66,-0.8359,99,-0.2106,65,-0.8628,90,-0.3994
ENSG00000158195,WASF2,1,-5.9385,204,2.03489,183,1.15245,28,-1.7919,26,-1.8688,18,-2.4561,61,-0.6256,39,-1.4087
ENSG00000126705,AHDC1,57,-1.0033,204,1.45466,122,0.17340,104,-0.0824,82,-0.4459,64,-0.8194,58,-0.9727,52,-1.2129
ENSG00000126709,IFI6,206,-0.2109,204,-0.2766,952,2.53939,197,-0.2761,35,-2.8674,97,-1.3532,137,-0.8373,176,-0.4975
ENSG00000117758,STX12,48,-1.3296,204,1.34635,39,-1.6094,98,-0.2387,85,-0.4535,65,-0.8492,122,0.11971,91,-0.3884
ENSG00000126698,DNAJC8,1,-6.3551,204,1.15782,51,-1.3189,105,-0.2281,90,-0.4658,134,0.15349,163,0.47114,91,-0.4891
ENSG00000130770,ATP5IF1,194,-0.0544,204,0.02568,186,-0.1240,315,0.73243,311,0.70884,96,-1.1337,189,-0.0954,154,-0.4525
ENSG00000198492,YTHDF2,1,-6.0642,204,1.74660,74,-0.4551,63,-0.7047,79,-0.3513,100,0.01042,76,-0.4221,44,-1.3173
ENSG00000116350,SRSF4,1,-6.0445,204,1.79125,103,0.07893,53,-0.9567,49,-1.0686,120,0.31774,40,-1.3732,51,-1.0714
ENSG00000162512,SDC3,34,-2.6860,204,0.00197,205,0.01162,284,0.53973,132,-0.6748,261,0.40180,271,0.46337,220,0.13711
ENSG00000134644,PUM1,1,-6.7435,204,0.51014,126,-0.3696,292,0.99314,201,0.36728,140,-0.2054,136,-0.2501,124,-0.4314
ENSG00000121766,ZCCHC17,1,-6.3834,204,1.10654,34,-1.9428,153,0.33505,143,0.22051,161,0.41220,80,-0.6878,92,-0.5166
ENSG00000121769,FABP3,1,-6.1018,204,1.66318,34,-1.6737,140,0.50281,100,-0.0394,75,-0.4799,35,-1.6236,64,-0.7864
ENSG00000162517,PEF1,1,-6.1328,204,1.59631,65,-0.7203,140,0.47671,80,-0.4174,52,-1.0771,96,-0.1361,51,-1.1765
ENSG00000121753,ADGRB2,50,-2.4126,204,-0.3886,116,-1.1736,452,0.97767,346,0.52931,388,0.71840,301,0.29828,240,-0.0670
ENSG00000184007,PTP4A2,353,0.83561,204,-0.0762,239,0.19318,173,-0.3127,165,-0.3881,146,-0.5743,102,-1.1227,269,0.43692
ENSG00000121774,KHDRBS1,1,-6.6560,204,0.64657,275,0.99886,206,0.50737,105,-0.5487,173,0.22450,134,-0.1772,73,-1.1991
ENSG00000025800,KPNA6,27,-1.6789,204,2.53968,16,-2.4240,57,-0.5425,31,-1.4687,21,-2.0016,80,-0.0192,23,-2.0023
ENSG00000084623,EIF3I,22,-2.7252,204,0.90593,244,0.97883,139,0.04979,117,-0.2141,53,-1.4127,126,-0.1037,84,-0.7987
ENSG00000175130,MARCKSL1,1,-6.7798,204,0.45490,58,-1.5839,85,-1.0089,93,-0.8749,94,-0.8520,331,1.16902,263,0.89346
ENSG00000160058,BSDC1,41,-1.5384,204,1.33999,164,0.59320,104,-0.1399,29,-2.0596,61,-0.9663,75,-0.6464,83,-0.5312
ENSG00000162521,RBBP4,1,-6.2820,204,1.29502,220,1.06090,78,-0.6052,14,-3.1266,107,-0.1223,107,-0.1301,67,-0.9058
ENSG00000134684,YARS,71,-0.7021,204,1.38669,85,-0.4306,102,-0.1481,80,-0.5273,72,-0.6778,83,-0.4724,64,-0.9335
ENSG00000121905,HPCA,1,-6.8305,204,0.37892,0,-7.9135,336,1.13321,231,0.49833,304,0.96230,140,-0.2950,120,-0.5877
ENSG00000134686,PHC2,285,1.21923,204,0.85939,231,0.85208,123,-0.1706,51,-1.5166,51,-1.5098,49,-1.5695,54,-1.5295
ENSG00000116544,DLGAP3,5,-4.9511,204,0.68637,21,-2.8865,146,-0.0122,289,1.11284,171,0.23368,138,-0.1042,121,-0.3469
ENSG00000116560,SFPQ,14,-3.5923,204,0.58209,283,0.99705,138,-0.1715,105,-0.5984,187,0.30580,157,0.02979,101,-0.7085
ENSG00000146463,ZMYM4,77,-0.3434,204,1.87011,19,-2.3999,25,-2.0396,55,-0.8608,157,0.80092,31,-1.7079,40,-1.4312
ENSG00000142687,KIAA0319L,128,0.22295,204,1.39872,101,-0.1533,113,0.02592,32,-1.8902,98,-0.2097,42,-1.4923,51,-1.2915
ENSG00000020129,NCDN,218,-0.9746,204,-1.2563,216,-0.9896,1124,1.73017,614,0.65503,648,0.74667,372,-0.1515,353,-0.2601
ENSG00000126067,PSMB2,1,-6.5062,204,0.89176,190,0.54897,178,0.44459,121,-0.1707,122,-0.1593,125,-0.1223,69,-1.1114
ENSG00000142686,C1orf216,72,-0.7149,204,1.34652,17,-2.8506,181,0.76130,133,0.25181,105,-0.1184,53,-1.1762,39,-1.7317
ENSG00000092847,AGO1,45,-1.1868,204,1.82319,56,-0.8379,33,-1.6264,134,0.51964,84,-0.2359,38,-1.4127,34,-1.7134
ENSG00000054116,TRAPPC3,59,-0.8540,204,1.65108,75,-0.4858,102,-0.0074,109,0.09097,45,-1.2643,53,-1.0204,37,-1.6429
ENSG00000116871,MAP7D1,180,-0.2661,204,-0.0937,290,0.49213,272,0.38619,260,0.31277,255,0.28606,207,-0.0489,137,-0.7460
ENSG00000054118,THRAP3,1,-6.1163,204,1.63155,47,-1.1923,116,0.18959,73,-0.5408,96,-0.1117,64,-0.7305,63,-0.8323
ENSG00000163875,MEAF6,1,-6.2127,204,1.43097,25,-2.2339,203,1.00200,78,-0.5395,75,-0.6038,88,-0.3572,66,-0.8508
ENSG00000197982,C1orf122,283,0.34728,204,-0.2194,154,-0.6134,164,-0.5163,212,-0.1183,252,0.15600,352,0.70648,241,0.09607
ENSG00000116954,RRAGC,1,-5.8978,204,2.15301,48,-0.9266,78,-0.2082,68,-0.4062,60,-0.5917,36,-1.3703,36,-1.4778
ENSG00000174574,AKIRIN1,1,-6.3150,204,1.06791,171,0.49370,140,0.16987,154,0.32452,119,-0.0868,98,-0.3916,45,-1.6555
ENSG00000168653,NDUFS5,141,-1.3191,204,-0.9107,383,0.21858,453,0.48858,583,0.91288,471,0.55291,420,0.36561,308,-0.1446
ENSG00000127603,MACF1,1415,2.69383,204,-0.8724,231,-0.5410,141,-1.2854,240,-0.4814,239,-0.4886,322,-0.0263,199,-0.8368
ENSG00000090621,PABPC4,94,-0.4905,204,1.00752,243,1.04421,117,-0.1563,82,-0.6992,53,-1.3652,70,-0.9312,74,-0.9186
ENSG00000116983,HPCAL4,4,-6.3814,204,-1.0445,64,-2.5978,563,0.72247,730,1.16790,747,1.20789,413,0.21382,422,0.27622
ENSG00000168389,MFSD2A,1,-6.2644,204,1.32862,419,2.31452,40,-1.6118,53,-1.1654,28,-2.1142,51,-1.2421,27,-2.2721
ENSG00000131236,CAP1,188,0.22131,204,0.45540,224,0.50880,206,0.37028,80,-1.0936,153,-0.1065,120,-0.4826,108,-0.6983
ENSG00000131238,PPT1,224,0.53217,204,0.48933,164,0.03357,156,-0.0454,60,-1.5013,217,0.48407,200,0.35065,68,-1.3996
ENSG00000084073,ZMPSTE24,1,-6.0521,204,1.77408,156,0.74042,46,-1.1542,34,-1.6120,123,0.35595,34,-1.5988,39,-1.4892
ENSG00000084070,SMAP2,153,0.14641,204,0.82068,85,-0.7612,180,0.41149,107,-0.4112,189,0.49175,64,-1.1813,71,-1.1097
ENSG00000117016,RIMS3,1,-6.2295,204,1.39753,26,-2.2028,129,0.23714,89,-0.3527,65,-0.8300,108,-0.0471,99,-0.2128
ENSG00000066136,NFYC,1,-5.7885,204,2.46463,6,-3.8660,70,-0.2589,71,-0.2241,35,-1.3140,47,-0.8501,31,-1.5637
ENSG00000198815,FOXJ3,189,0.81963,204,1.32531,77,-0.6153,163,0.57444,47,-1.3490,46,-1.3895,63,-0.9249,31,-2.0760
ENSG00000065978,YBX1,303,1.20342,204,0.69677,280,1.06460,50,-1.6283,38,-2.0292,61,-1.3399,54,-1.5149,109,-0.5130
ENSG00000117394,SLC2A1,61,-2.7463,204,-1.1192,3050,4.78020,22,-4.2095,7,-5.8316,23,-4.1578,127,-1.6603,128,-1.7601
ENSG00000142949,PTPRF,15,-3.5619,204,0.35720,59,-1.6153,246,0.58927,227,0.45374,245,0.57821,173,0.02095,153,-0.1983
ENSG00000126091,ST3GAL3,1,-6.0497,204,1.77946,80,-0.3311,86,-0.2124,62,-0.7046,40,-1.3836,37,-1.5000,83,-0.2908
ENSG00000117408,IPO13,1,-6.2344,204,1.38763,102,-0.1531,88,-0.3725,113,0.00920,69,-0.7556,103,-0.1366,73,-0.7254
ENSG00000117410,ATP6V0B,1,-7.3547,204,-0.3446,151,-0.7399,565,1.41377,324,0.45955,208,-0.2487,259,0.09836,281,0.25245
ENSG00000117411,B4GALT2,90,-0.5761,204,0.96843,10,-3.7109,66,-1.0457,86,-0.6532,132,0.01407,111,-0.2594,167,0.43921
ENSG00000117419,ERI3,51,-1.7360,204,0.51488,146,-0.1322,268,0.85241,95,-0.7982,107,-0.6134,204,0.39846,134,-0.2963
ENSG00000187147,RNF220,157,0.30313,204,0.99642,66,-1.0279,104,-0.3401,147,0.20372,82,-0.7020,67,-1.0075,95,-0.5262
ENSG00000142937,RPS8,607,0.25500,204,-1.6396,1443,1.76124,330,-0.7005,529,0.03444,406,-0.3815,557,0.11729,606,0.28254
ENSG00000126088,UROD,46,-1.1255,204,1.86665,31,-1.6850,48,-1.0601,48,-1.0716,97,0.01511,95,-0.0152,39,-1.4465
ENSG00000117450,PRDX1,154,-1.1019,204,-0.8056,545,0.89996,285,-0.1560,355,0.19114,326,0.05377,635,1.16738,276,-0.2297
ENSG00000085998,POMGNT1,1,-6.1830,204,1.49127,112,0.06205,86,-0.3628,106,-0.0293,74,-0.5772,55,-1.0462,71,-0.6977
ENSG00000132128,LRRC41,1,-6.0521,204,1.77389,2,-5.5852,108,0.14814,109,0.15525,93,-0.0895,65,-0.6389,48,-1.1975
ENSG00000173660,UQCRH,47,-2.5768,204,-0.4564,228,-0.1995,349,0.47913,540,1.22379,318,0.32877,290,0.18269,233,-0.1842
ENSG00000123472,ATPAF1,1,-6.4993,204,0.90363,4,-5.0985,85,-0.7103,187,0.53344,133,-0.0238,195,0.59620,132,-0.0296
ENSG00000159658,EFCAB14,20,-2.7259,204,1.04456,178,0.54061,70,-0.9171,75,-0.8136,102,-0.3508,114,-0.1682,114,-0.1860
ENSG00000162368,CMPK1,1,-6.4257,204,1.03090,191,0.64768,111,-0.2173,68,-0.9807,110,-0.2390,91,-0.5345,112,-0.2283
ENSG00000162374,ELAVL4,1,-6.8848,204,0.29893,26,-2.8370,263,0.65179,434,1.52740,173,-0.0262,124,-0.5406,151,-0.2616
ENSG00000123091,RNF11,163,-1.1679,204,-0.9788,286,-0.3058,649,1.02870,470,0.48548,528,0.67904,374,0.11527,372,0.12153
ENSG00000085832,EPS15,1,-6.6225,204,0.69885,38,-2.0494,145,-0.0132,201,0.50747,134,-0.1403,183,0.35594,150,0.03783
ENSG00000078618,NRDC,1,-6.1869,204,1.48312,68,-0.7212,127,0.24819,134,0.34375,46,-1.2906,55,-1.0392,74,-0.6348
ENSG00000169213,RAB3B,1,-6.7556,204,0.49162,0,-7.8499,188,0.25149,280,0.90650,306,1.06087,78,-1.1087,152,-0.0948
ENSG00000134717,BTF3L4,1,-6.0610,204,1.75387,88,-0.1876,102,0.04844,40,-1.3876,89,-0.1685,72,-0.4918,44,-1.3397
ENSG00000162378,ZYG11B,117,-0.6097,204,0.33602,52,-1.8164,317,0.99978,245,0.56602,211,0.31606,147,-0.2510,100,-0.9094
ENSG00000116171,SCP2,41,-1.7711,204,0.94609,152,0.22300,146,0.15706,131,-0.0164,66,-1.0597,184,0.52797,62,-1.2492
ENSG00000157193,LRP8,1,-5.9386,204,2.04714,99,0.12565,41,-1.2373,67,-0.4777,24,-2.0138,55,-0.7651,52,-0.9251
