"q","loglik","seed","task"
15,-2629457.90765608,20240907,3
16,-2626858.04581505,20240907,3
17,-2624597.9486882,20240907,3
18,-2629450.16983023,20240907,3
19,-2631249.44515438,20240907,3
20,-2633562.65098702,20240907,3
21,-2632827.37039432,20240907,3
22,-2630780.89418642,20240907,3
23,-2636682.49615672,20240907,3
24,-2629454.84441166,20240907,3
25,-2635381.60978238,20240907,3
26,-2627749.31205815,20240907,3
27,-2632603.61972624,20240907,3
28,-2630373.40036398,20240907,3
2,-2716338.91444437,20240908,4
3,-2681870.64867589,20240908,4
4,-2660427.4796043,20240908,4
5,-2635960.54562007,20240908,4
6,-2627614.93418119,20240908,4
7,-2614630.92433162,20240908,4
8,-2621802.44193261,20240908,4
9,-2617313.6701424,20240908,4
10,-2615223.41201726,20240908,4
11,-2631775.14600462,20240908,4
12,-2629944.92154717,20240908,4
13,-2630695.11196847,20240908,4
14,-2627439.63068525,20240908,4
15,-2629457.90765608,20240908,4
16,-2626858.04581505,20240908,4
17,-2624597.9486882,20240908,4
18,-2629450.16983023,20240908,4
19,-2631249.44515438,20240908,4
20,-2633562.65098702,20240908,4
21,-2632827.37039432,20240908,4
22,-2630780.89418642,20240908,4
23,-2636682.49615672,20240908,4
24,-2629454.84441166,20240908,4
25,-2635381.60978238,20240908,4
26,-2627749.31205815,20240908,4
27,-2632603.61972624,20240908,4
28,-2630373.40036398,20240908,4
2,-2716338.91444437,20240909,5
3,-2681870.64867589,20240909,5
4,-2660427.4796043,20240909,5
5,-2635960.54562007,20240909,5
6,-2627614.93418119,20240909,5
7,-2614630.92433162,20240909,5
8,-2621802.44193261,20240909,5
9,-2617313.6701424,20240909,5
10,-2615223.41201726,20240909,5
11,-2631775.14600462,20240909,5
12,-2629944.92154717,20240909,5
13,-2630695.11196847,20240909,5
14,-2627439.63068525,20240909,5
15,-2629457.90765608,20240909,5
16,-2626858.04581505,20240909,5
17,-2624597.9486882,20240909,5
18,-2629450.16983023,20240909,5
19,-2631249.44515438,20240909,5
20,-2633562.65098702,20240909,5
21,-2632827.37039432,20240909,5
22,-2630780.89418642,20240909,5
23,-2636682.49615672,20240909,5
24,-2629454.84441166,20240909,5
25,-2635381.60978238,20240909,5
26,-2627749.31205815,20240909,5
27,-2632603.61972624,20240909,5
28,-2630373.40036398,20240909,5
2,-2716338.91444437,20240910,6
3,-2681870.64867589,20240910,6
4,-2660427.4796043,20240910,6
5,-2635960.54562007,20240910,6
6,-2627614.93418119,20240910,6
7,-2614630.92433162,20240910,6
8,-2621802.44193261,20240910,6
9,-2617313.6701424,20240910,6
10,-2615223.41201726,20240910,6
11,-2631775.14600462,20240910,6
12,-2629944.92154717,20240910,6
13,-2630695.11196847,20240910,6
14,-2627439.63068525,20240910,6
15,-2629457.90765608,20240910,6
16,-2626858.04581505,20240910,6
17,-2624597.9486882,20240910,6
18,-2629450.16983023,20240910,6
19,-2631249.44515438,20240910,6
20,-2633562.65098702,20240910,6
21,-2632827.37039432,20240910,6
22,-2630780.89418642,20240910,6
23,-2636682.49615672,20240910,6
24,-2629454.84441166,20240910,6
25,-2635381.60978238,20240910,6
26,-2627749.31205815,20240910,6
27,-2632603.61972624,20240910,6
28,-2630373.40036398,20240910,6
2,-2716338.91444437,20240913,9
3,-2681870.64867589,20240913,9
4,-2660427.4796043,20240913,9
5,-2635960.54562007,20240913,9
6,-2627614.93418119,20240913,9
7,-2614630.92433162,20240913,9
8,-2621802.44193261,20240913,9
9,-2617313.6701424,20240913,9
10,-2615223.41201726,20240913,9
11,-2631775.14600462,20240913,9
12,-2629944.92154717,20240913,9
13,-2630695.11196847,20240913,9
14,-2627439.63068525,20240913,9
15,-2629457.90765608,20240913,9
16,-2626858.04581505,20240913,9
17,-2624597.9486882,20240913,9
18,-2629450.16983023,20240913,9
19,-2631249.44515438,20240913,9
20,-2633562.65098702,20240913,9
21,-2632827.37039432,20240913,9
22,-2630780.89418642,20240913,9
23,-2636682.49615672,20240913,9
24,-2629454.84441166,20240913,9
25,-2635381.60978238,20240913,9
26,-2627749.31205815,20240913,9
27,-2632603.61972624,20240913,9
28,-2630373.40036398,20240913,9
2,-2716338.91444437,20240914,10
3,-2681870.64867589,20240914,10
4,-2660427.4796043,20240914,10
5,-2635960.54562007,20240914,10
6,-2627614.93418119,20240914,10
7,-2614630.92433162,20240914,10
8,-2621802.44193261,20240914,10
9,-2617313.6701424,20240914,10
10,-2615223.41201726,20240914,10
11,-2631775.14600462,20240914,10
12,-2629944.92154717,20240914,10
13,-2630695.11196847,20240914,10
14,-2627439.63068525,20240914,10
15,-2629457.90765608,20240914,10
16,-2626858.04581505,20240914,10
17,-2624597.9486882,20240914,10
18,-2629450.16983023,20240914,10
19,-2631249.44515438,20240914,10
20,-2633562.65098702,20240914,10
21,-2632827.37039432,20240914,10
22,-2630780.89418642,20240914,10
23,-2636682.49615672,20240914,10
24,-2629454.84441166,20240914,10
25,-2635381.60978238,20240914,10
26,-2627749.31205815,20240914,10
27,-2632603.61972624,20240914,10
28,-2630373.40036398,20240914,10
