Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000070831,CDC42,359,0.77181,332,0.63909,87,-1.6562,224,0.00261,410,1.16348,156,-0.6798
ENSG00000125944,HNRNPR,164,1.00903,68,-0.4079,47,-1.1438,19,-2.2730,136,0.78900,104,0.32476
ENSG00000117318,ID3,274,2.05232,4,-4.4370,49,-0.9915,60,-0.5350,39,-1.2546,122,0.79270
ENSG00000142676,RPL11,1052,-0.1116,226,-2.4260,357,-1.9873,980,-0.2225,1455,0.46130,2059,1.40003
ENSG00000057757,PITHD1,321,1.84347,151,0.50991,47,-1.5069,66,-0.7873,183,0.95956,56,-1.2259
ENSG00000189266,PNRC2,259,1.90970,44,-1.0401,40,-1.3659,119,0.52689,102,0.30585,67,-0.4785
ENSG00000001461,NIPAL3,3,-4.6030,27,-1.7132,11,-3.3184,1,-5.6119,201,1.80817,150,1.35961
ENSG00000133226,SRRM1,3,-4.3663,85,0.28436,46,-0.8017,34,-1.1286,146,1.42149,76,0.14213
ENSG00000169504,CLIC4,3,-5.2439,1,-7.0143,45,-1.8536,226,0.90375,337,1.99486,131,0.01852
ENSG00000117614,SYF2,254,1.43267,44,-1.3607,67,-0.8821,133,0.33005,171,0.85362,72,-0.7462
ENSG00000117616,RSRP1,277,1.92875,132,0.59800,30,-1.9042,42,-1.1743,152,0.96251,52,-1.0084
ENSG00000183726,TMEM50A,3,-4.7930,125,0.43643,60,-0.8477,149,0.72839,222,1.72292,48,-1.2100
ENSG00000162430,SELENON,521,3.28280,94,-0.0300,42,-1.4422,1,-5.8161,81,-0.2824,49,-1.2031
ENSG00000117640,MTFR1L,3,-3.4623,107,1.77189,44,0.31193,1,-4.4816,55,0.67872,21,-1.0654
ENSG00000117632,STMN1,6,-6.2459,890,1.03510,112,-2.4497,54,-3.2429,1422,2.42313,366,-0.4950
ENSG00000142669,SH3BGRL3,586,1.29288,172,-0.6992,131,-1.2947,392,0.60077,336,0.39166,253,-0.1303
ENSG00000198830,HMGN2,259,0.77923,62,-1.4432,88,-1.0874,97,-0.7809,300,1.20740,162,0.00865
ENSG00000117713,ARID1A,3,-3.9281,97,1.01104,34,-0.7609,1,-4.9456,139,2.06385,30,-0.9806
ENSG00000090273,NUDC,1049,3.29941,216,0.19094,71,-1.7286,2,-6.3858,130,-0.6613,123,-0.8179
ENSG00000186501,TMEM222,3,-4.4901,200,1.62320,52,-0.7420,2,-5.1862,166,1.52680,52,-0.7356
ENSG00000158195,WASF2,3,-4.5330,5,-3.9961,39,-1.2743,78,-0.0360,227,2.27019,72,-0.1774
ENSG00000126709,IFI6,1406,2.25618,178,-1.2257,162,-1.5689,474,0.29046,165,-1.4355,491,0.44910
ENSG00000117758,STX12,238,1.79779,94,0.19005,56,-0.7270,1,-5.6210,114,0.56439,63,-0.5355
ENSG00000126698,DNAJC8,388,2.03083,191,0.73581,68,-1.0562,117,-0.0505,107,-0.2117,73,-0.9209
ENSG00000130770,ATP5IF1,718,2.13593,278,0.42753,105,-1.2739,97,-1.2062,267,0.40799,135,-0.8458
ENSG00000116350,SRSF4,3,-3.5219,61,0.70424,38,-0.0478,1,-4.5411,61,0.80723,43,0.19821
ENSG00000162512,SDC3,3,-4.4176,191,1.62703,89,0.40329,75,0.03349,35,-1.2034,66,-0.1932
ENSG00000134644,PUM1,271,1.86907,237,1.61354,48,-1.1459,50,-0.9361,52,-0.9380,67,-0.5883
ENSG00000121766,ZCCHC17,3,-4.4991,257,2.10195,53,-0.7205,121,0.71590,31,-1.4902,84,0.16143
ENSG00000121769,FABP3,3,-3.7957,376,4.63102,30,-0.8480,1,-4.8134,12,-2.1568,10,-2.6341
ENSG00000162517,PEF1,3,-3.8719,154,1.94307,25,-1.2676,12,-2.0808,105,1.46420,32,-0.7967
ENSG00000084636,COL16A1,316,2.65849,77,0.06454,23,-2.0204,1,-5.3839,139,1.22035,24,-1.9199
ENSG00000121753,ADGRB2,3,-4.5420,411,3.12249,90,0.23789,1,-5.5579,42,-1.0552,36,-1.3938
ENSG00000184007,PTP4A2,3,-6.7596,80,-2.3279,101,-2.2178,54,-2.8948,577,0.81814,833,2.06142
ENSG00000121774,KHDRBS1,479,2.36320,219,0.88275,57,-1.4197,104,-0.3306,153,0.32430,42,-1.9170
ENSG00000084623,EIF3I,3,-4.0445,135,1.45862,46,-0.3970,1,-5.0616,110,1.29416,42,-0.5759
ENSG00000175130,MARCKSL1,3,-7.2369,161,-1.7757,215,-1.5552,65,-3.0979,1842,3.03398,382,-0.5773
ENSG00000160058,BSDC1,3,-3.6551,130,1.90034,37,-0.2868,1,-4.6736,52,0.33691,41,-0.0781
ENSG00000162521,RBBP4,315,2.23326,87,-0.0298,54,-0.9041,87,-0.0427,124,0.60399,27,-2.0495
ENSG00000134684,YARS,3,-3.7824,145,1.93857,43,-0.1846,82,0.90585,61,0.47978,12,-2.2471
ENSG00000121905,HPCA,3,-4.7646,681,4.28404,74,-0.4442,46,-1.0953,4,-4.5824,22,-2.4181
ENSG00000121900,TMEM54,3,-3.4725,28,-0.4811,53,0.72018,1,-4.4919,56,0.72739,37,-0.0274
ENSG00000134686,PHC2,3,-4.5107,78,-0.0070,44,-1.0539,151,1.08727,148,1.23100,67,-0.2950
ENSG00000116544,DLGAP3,3,-2.9270,152,3.44878,33,0.49628,1,-3.9491,0,-6.1683,10,-1.6074
ENSG00000116560,SFPQ,3,-5.5187,105,-0.6315,73,-1.3743,455,1.82870,284,1.13493,127,-0.4046
ENSG00000020129,NCDN,3,-5.3042,835,3.65760,96,-0.6450,58,-1.3104,100,-0.5184,36,-2.2497
ENSG00000126067,PSMB2,3,-4.3608,123,0.90617,52,-0.5641,42,-0.7940,162,1.67935,42,-0.9275
ENSG00000116871,MAP7D1,3,-5.5803,273,0.83183,63,-1.6786,69,-1.3250,474,2.30856,108,-0.7767
ENSG00000054118,THRAP3,431,3.16725,110,0.46282,24,-2.1208,1,-5.6025,72,-0.2438,50,-0.9115
ENSG00000163875,MEAF6,3,-4.0107,185,2.11442,29,-1.1695,143,1.60469,79,0.65801,11,-2.6615
ENSG00000197982,C1orf122,3,-6.3191,179,-0.6644,180,-0.7812,180,-0.6525,538,1.31892,346,0.48248
ENSG00000174574,AKIRIN1,49,-0.2258,67,0.27654,39,-0.6795,1,-5.0522,130,1.70229,41,-0.5777
ENSG00000168653,NDUFS5,449,0.45333,385,0.20439,250,-0.5739,123,-1.5480,467,0.58874,362,0.13353
ENSG00000127603,MACF1,245,0.80030,146,-0.0413,126,-0.3336,138,-0.1342,195,0.47484,118,-0.4591
ENSG00000090621,PABPC4,3,-4.0952,79,0.47010,32,-1.1006,134,1.38521,81,0.60094,57,-0.0605
ENSG00000116983,HPCAL4,3,-4.9205,568,3.29338,95,-0.1683,91,-0.2137,33,-1.8248,43,-1.5569
ENSG00000131236,CAP1,3,-4.7212,80,-0.1950,76,-0.3305,110,0.31145,160,1.08115,85,-0.1242
ENSG00000131238,PPT1,464,2.58304,161,0.58511,81,-0.6114,22,-2.4632,114,0.03211,39,-1.8399
ENSG00000049089,COL9A2,13,-2.3901,0,-8.7617,17,-2.2058,1,-5.2548,203,2.55796,80,0.43505
ENSG00000065978,YBX1,478,1.02178,58,-2.2503,100,-1.6572,895,2.20643,169,-0.7155,254,-0.0242
ENSG00000117394,SLC2A1,33,-2.8220,20,-3.5841,158,-0.6261,443,1.16089,54,-2.2387,448,1.73146
ENSG00000066322,ELOVL1,3,-5.5827,25,-2.7870,29,-2.8691,16,-3.4803,640,3.43238,133,-0.4097
ENSG00000142949,PTPRF,75,-0.4988,328,2.01569,104,0.00672,1,-5.9264,123,0.31867,58,-1.0463
ENSG00000126091,ST3GAL3,3,-2.8396,64,1.63275,36,0.79737,1,-3.8615,11,-1.2724,24,-0.0650
ENSG00000117408,IPO13,136,0.19936,85,-0.5328,37,-2.0178,40,-1.6814,322,2.08921,102,-0.3171
ENSG00000117410,ATP6V0B,27,-3.3713,1009,2.47639,145,-1.0352,172,-0.6213,493,1.27393,63,-2.3698
ENSG00000117411,B4GALT2,3,-3.9436,86,0.79024,64,0.39270,1,-4.9611,113,1.52029,24,-1.4094
ENSG00000117419,ERI3,3,-4.8453,291,1.86509,94,-0.1045,123,0.34613,116,0.29667,52,-1.1598
ENSG00000187147,RNF220,196,0.84102,128,0.13775,31,-2.2297,4,-4.9234,256,1.56099,118,0.02106
ENSG00000142937,RPS8,2168,0.26037,650,-1.5926,581,-1.9929,2271,0.33598,2213,0.33055,3002,1.09259
ENSG00000126088,UROD,3,-3.3098,37,0.12401,43,0.50247,2,-3.6851,82,1.78821,12,-1.7095
ENSG00000117450,PRDX1,1272,1.84908,414,-0.0831,342,-0.4640,283,-0.6740,642,0.71791,173,-1.6236
ENSG00000085998,POMGNT1,235,1.56839,131,0.54980,52,-1.0414,52,-0.8930,149,0.87108,51,-1.0945
ENSG00000173660,UQCRH,1083,2.07905,548,0.82321,187,-1.0424,148,-1.2319,243,-0.5306,272,-0.3737
ENSG00000123472,ATPAF1,326,2.24214,114,0.33913,89,-0.0658,59,-0.6763,59,-0.7484,43,-1.3651
ENSG00000159658,EFCAB14,36,-1.7147,94,-0.2526,60,-1.1102,96,-0.2291,250,1.64371,104,-0.1196
ENSG00000162368,CMPK1,480,2.21619,80,-0.8273,68,-1.2625,90,-0.6614,153,0.19586,117,-0.3130
ENSG00000162374,ELAVL4,3,-4.1788,434,4.09618,69,0.21460,1,-5.1956,0,-7.4118,12,-2.6536
ENSG00000123091,RNF11,3,-5.5604,699,2.68291,121,-0.5571,115,-0.5321,97,-0.8553,136,-0.3308
ENSG00000085832,EPS15,11,-3.0383,146,0.79522,71,-0.4291,1,-5.7170,165,1.17532,94,0.09655
ENSG00000078618,NRDC,3,-3.3673,156,2.71864,28,-0.4682,1,-4.3875,32,-0.1832,27,-0.4812
ENSG00000169213,RAB3B,3,-4.0027,242,2.72776,114,1.79395,1,-5.0198,0,-7.2364,5,-3.8410
ENSG00000134717,BTF3L4,3,-3.9384,91,0.89298,24,-1.3812,124,1.43801,111,1.47146,22,-1.5064
ENSG00000162378,ZYG11B,3,-4.4034,394,3.26630,55,-0.5065,1,-5.4171,55,-0.4804,41,-1.0166
ENSG00000116171,SCP2,373,1.74149,87,-0.6734,75,-1.0642,215,0.75422,182,0.54931,73,-1.1031
ENSG00000162384,CZIB,3,-4.0969,39,-0.6405,40,-0.7201,158,1.68904,100,1.01121,42,-0.6276
ENSG00000116209,TMEM59,191,-0.4186,258,0.05399,114,-1.3917,195,-0.3823,656,2.04224,148,-0.9542
ENSG00000157216,SSBP3,243,1.53656,233,1.45975,47,-1.3020,74,-0.4265,116,0.30130,51,-1.1661
ENSG00000116133,DHCR24,3,-5.7022,323,0.97061,46,-2.3019,47,-2.0086,566,2.60267,108,-0.9255
ENSG00000162407,PLPP3,242,0.62078,106,-0.6854,382,2.18005,79,-1.1284,62,-1.5844,39,-2.4100
ENSG00000177606,JUN,1174,4.03452,109,-0.7007,53,-2.0192,76,-1.2396,91,-1.0522,62,-1.7722
ENSG00000162599,NFIA,386,0.96624,34,-2.7692,142,-0.7692,363,0.86047,265,0.38429,207,-0.0695
ENSG00000162434,JAK1,179,1.81829,107,0.88662,45,-0.5828,1,-5.1950,67,0.13877,42,-0.7365
ENSG00000162433,AK4,120,1.86764,100,1.52571,62,0.92970,1,-4.5845,0,-6.3763,12,-2.0025
ENSG00000116675,DNAJC6,3,-5.3992,665,2.83262,57,-1.6190,1,-6.4135,242,0.96734,89,-0.8852
ENSG00000213625,LEPROT,225,2.30495,37,-0.7909,60,-0.0372,1,-5.1695,61,-0.0197,37,-0.9301
ENSG00000184588,PDE4B,3,-4.2048,85,0.47346,57,-0.1969,31,-1.0864,162,1.96743,27,-1.5115
ENSG00000142864,SERBP1,341,1.58135,142,0.08429,73,-1.0929,148,0.15612,183,0.56531,87,-0.8061
ENSG00000116729,WLS,902,3.79708,75,-0.9591,113,-0.4202,1,-6.3693,22,-2.8953,62,-1.4543
ENSG00000116754,SRSF11,199,0.55629,303,1.27209,72,-1.2078,159,0.18918,187,0.51236,101,-0.6343
ENSG00000132485,ZRANB2,298,2.28465,114,0.52497,44,-1.1333,2,-5.4869,103,0.40849,51,-0.8663
ENSG00000172260,NEGR1,3,-3.5789,180,2.71619,29,-0.6377,1,-4.5977,26,-0.7510,42,0.05387
ENSG00000154027,AK5,3,-4.9888,417,2.40861,35,-1.9571,111,0.03258,137,0.40894,96,-0.2372
ENSG00000077254,USP33,107,1.37525,140,1.87746,42,-0.2304,37,-0.3696,13,-2.0515,27,-0.9731
ENSG00000180488,MIGA1,3,-4.0883,115,1.12737,20,-1.8674,1,-5.1051,169,2.30411,42,-0.6255
ENSG00000137941,TTLL7,3,-5.3254,199,0.59766,27,-2.7042,83,-0.7883,351,1.95106,149,0.15664
ENSG00000142875,PRKACB,3,-5.9305,448,1.26821,97,-1.3762,117,-0.9043,452,1.53323,181,-0.2806
ENSG00000174021,GNG5,499,2.75151,54,-1.1105,115,0.05202,11,-3.3729,80,-0.5748,55,-1.2771
ENSG00000117155,SSX2IP,3,-3.1971,164,3.14349,26,-0.3227,1,-4.2180,22,-0.5873,18,-1.0291
ENSG00000153904,DDAH1,3,-5.2824,247,1.01445,296,2.01293,6,-4.5668,86,-0.7345,51,-1.6734
ENSG00000097033,SH3GLB1,82,0.43807,45,-0.5044,31,-1.2218,78,0.35439,162,2.00470,21,-1.8953
ENSG00000183291,SELENOF,369,1.68831,122,-0.1851,94,-0.7074,121,-0.1910,243,1.09564,43,-1.9923
ENSG00000143013,LMO4,3,-5.8489,983,3.03679,168,-0.3132,296,0.65508,53,-2.0984,94,-1.3235
ENSG00000197147,LRRC8B,3,-3.6273,125,1.86800,35,-0.3653,47,0.16806,77,1.15436,10,-2.3813
ENSG00000162664,ZNF326,3,-3.8104,17,-1.5301,25,-1.1432,1,-4.8236,34,-0.5950,121,2.51943
ENSG00000122406,RPL5,2255,1.86486,349,-1.2108,238,-2.0167,670,-0.2134,758,-0.0220,979,0.50818
ENSG00000117528,ABCD3,3,-3.8018,73,0.68433,38,-0.4315,32,-0.6237,72,0.76953,53,0.20078
ENSG00000117525,F3,3,-3.9257,1,-5.1929,106,1.71813,183,2.21548,17,-1.7968,11,-2.5254
ENSG00000117519,CNN3,1155,2.95520,72,-1.8297,209,-0.2696,204,-0.2535,141,-0.8927,100,-1.5390
ENSG00000117569,PTBP2,3,-3.5694,109,1.66723,29,-0.6495,28,-0.5967,76,1.21266,23,-1.0239
ENSG00000156875,MFSD14A,3,-3.5459,89,1.33427,25,-0.8714,4,-3.1603,98,1.84287,24,-0.9200
ENSG00000170989,S1PR1,3,-4.1211,30,-1.0277,142,2.27824,104,0.91374,0,-7.3540,31,-1.1756
ENSG00000134186,PRPF38B,3,-4.1281,38,-0.7209,31,-1.1738,107,0.94817,105,1.07380,69,0.28866
ENSG00000116266,STXBP3,114,0.78749,60,-0.2465,25,-1.7977,1,-5.3731,221,2.57185,27,-1.6596
ENSG00000085433,WDR47,3,-3.1980,180,3.39911,25,-0.4552,1,-4.2186,19,-0.8171,16,-1.1596
ENSG00000197780,TAF13,3,-4.3078,62,-0.1404,42,-0.8812,71,0.06024,69,0.02641,116,1.20501
ENSG00000215717,TMEM167B,188,2.23248,81,0.69361,38,-0.6182,28,-0.9852,44,-0.3263,28,-1.1319
ENSG00000031698,SARS,3,-4.4808,196,1.59478,77,0.00449,134,0.91638,76,-0.0076,42,-1.0827
ENSG00000143126,CELSR2,3,-4.4477,217,1.83520,46,-0.8723,26,-1.5756,168,1.62964,33,-1.4252
ENSG00000134243,SORT1,33,-3.0245,360,0.61268,83,-1.8835,209,-0.2626,668,2.11971,176,-0.6329
ENSG00000134201,GSTM5,446,3.16413,0,-9.1593,90,0.10988,1,-5.6429,38,-1.3281,49,-1.0234
ENSG00000134202,GSTM3,3,-5.1448,239,1.11763,218,1.34367,17,-2.9268,129,0.11341,55,-1.3994
ENSG00000168710,AHCYL1,424,1.42220,58,-1.7336,267,0.82475,90,-1.0922,112,-0.8204,136,-0.5512
ENSG00000197106,SLC6A17,3,-4.5355,607,4.47921,74,-0.1482,1,-5.5512,0,-7.7670,14,-2.8543
ENSG00000134248,LAMTOR5,146,0.54149,105,0.01778,107,0.04847,62,-0.8035,160,0.79260,65,-0.8782
ENSG00000177301,KCNA2,3,-3.1661,155,3.05281,35,0.25569,1,-4.1867,4,-3.0311,22,-0.6369
ENSG00000116459,ATP5PB,20,-2.1497,135,0.74634,83,-0.0645,64,-0.4361,182,1.50995,35,-1.5439
ENSG00000116473,RAP1A,3,-4.7522,28,-1.7930,36,-1.6352,67,-0.5079,230,1.88153,117,0.48788
ENSG00000171385,KCND3,3,-3.4099,246,3.94797,29,-0.3987,1,-4.4294,0,-6.6471,21,-1.0252
ENSG00000155366,RHOC,359,1.70644,21,-2.7511,114,-0.2813,265,1.15424,96,-0.5497,92,-0.6800
ENSG00000155380,SLC16A1,3,-4.0594,24,-1.3151,32,-1.0305,72,0.36713,162,2.24852,36,-0.8477
ENSG00000163349,HIPK1,1116,4.90006,43,-1.7420,47,-1.8097,1,-6.3114,31,-2.3310,40,-2.0758
ENSG00000009307,CSDE1,515,0.81676,384,0.32735,111,-1.7992,858,1.73043,223,-0.5752,301,-0.0749
ENSG00000163399,ATP1A1,224,0.62988,428,1.77621,75,-1.2677,214,0.55367,154,0.02683,91,-0.9399
ENSG00000198162,MAN1A2,3,-6.1142,111,-1.1691,154,-0.8062,305,0.39890,213,-0.1972,438,1.41823
ENSG00000092621,PHGDH,197,0.51358,47,-1.6953,153,0.12334,22,-2.7739,312,1.54805,77,-1.1237
ENSG00000134250,NOTCH2,3,-3.1080,0,-7.6402,75,2.53184,44,0.65451,3,-3.3031,16,-1.1377
ENSG00000265241,RBM8A,373,2.10715,84,-0.4586,51,-1.3969,70,-0.7232,134,0.32363,95,-0.3143
ENSG00000265972,TXNIP,457,1.04000,5,-5.6622,54,-2.5208,548,1.35913,375,0.80569,252,0.06829
ENSG00000178104,PDE4DIP,1010,3.51225,199,0.22981,90,-1.1618,1,-6.6599,125,-0.5384,53,-2.0153
ENSG00000159164,SV2A,3,-5.1239,732,3.63395,70,-0.9870,98,-0.3053,90,-0.4778,31,-2.2793
ENSG00000143401,ANP32E,469,3.32129,0,-9.1488,44,-1.1628,30,-1.5497,53,-0.7750,65,-0.5094
ENSG00000117362,APH1A,3,-3.4852,88,1.37874,45,0.34606,72,1.03183,12,-1.7977,33,-0.3107
ENSG00000266472,MRPS21,748,2.77713,249,0.64916,76,-1.3986,1,-6.6162,154,-0.1390,100,-0.9318
ENSG00000143384,MCL1,190,0.47438,21,-2.8295,80,-1.0255,380,1.68986,68,-1.2014,195,0.68758
ENSG00000143420,ENSA,126,-0.4471,754,2.77983,111,-0.7742,19,-3.2301,57,-1.7490,168,-0.0043
ENSG00000143418,CERS2,3,-5.4018,9,-4.0393,37,-2.3311,226,0.71752,459,2.59608,110,-0.5164
ENSG00000213190,MLLT11,3,-4.4605,473,3.70893,44,-0.9788,73,-0.0611,16,-2.4786,39,-1.1663
ENSG00000159352,PSMD4,3,-4.6586,104,0.29713,63,-0.6027,54,-0.7264,174,1.36605,85,-0.0389
ENSG00000143393,PI4KB,3,-4.4431,191,1.59272,51,-0.7057,80,0.11184,120,0.89799,51,-0.7109
ENSG00000143416,SELENBP1,189,2.11691,0,-8.5671,88,0.95964,149,1.64934,3,-4.3591,5,-3.8142
ENSG00000159377,PSMB4,35,-2.0524,250,0.97836,102,-0.5728,4,-5.0967,303,1.58031,105,-0.5105
ENSG00000143376,SNX27,3,-3.7892,109,1.38909,31,-0.7714,1,-4.8072,118,1.87500,26,-1.0591
ENSG00000159409,CELF3,3,-3.0261,148,3.18687,35,0.46770,17,-0.7561,12,-1.2983,3,-3.5511
ENSG00000197956,S100A6,1180,2.34844,148,-1.1741,115,-1.7708,853,1.68913,168,-1.0642,211,-0.7605
ENSG00000188643,S100A16,3,-4.1902,10,-2.6912,130,1.78606,71,0.19125,23,-1.5873,56,-0.2162
ENSG00000189171,S100A13,177,-0.3493,152,-0.5847,375,1.20251,113,-1.0287,185,-0.3089,164,-0.5612
ENSG00000160678,S100A1,3,-5.6136,124,-0.4740,347,1.77727,3,-5.8389,213,0.42569,84,-1.2433
ENSG00000160679,CHTOP,409,2.83763,103,0.22833,34,-1.6793,64,-0.5026,92,0.06484,38,-1.4740
ENSG00000143621,ILF2,3,-3.8161,60,0.34772,39,-0.3829,1,-4.8340,122,1.92773,34,-0.6296
ENSG00000143543,JTB,554,2.45980,178,0.36426,80,-1.0330,27,-2.4893,68,-1.2198,141,-0.0082
ENSG00000177954,RPS27,1028,-1.6750,915,-1.8483,1270,-1.5645,2851,-0.1221,3500,0.22866,6092,1.64258
