Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000197530,MIB2,39,-0.3518,46,-0.1240,43,-0.2368,70,0.55843,91,1.01366,45,-0.1801,31,-0.7020,41,-0.2802
ENSG00000189339,SLC35E2B,1,-4.0201,11,-0.8052,20,0.04288,17,-0.2153,37,1.05418,24,0.42742,22,0.18376,17,-0.1657
ENSG00000215790,SLC35E2A,37,0.55086,9,-1.6454,33,0.42128,21,-0.3486,29,0.13792,31,0.27705,31,0.25877,9,-1.5784
ENSG00000008130,NADK,45,0.33134,26,-0.5352,36,-0.0368,35,-0.0655,47,0.39799,39,0.13435,21,-0.8476,41,0.19766
ENSG00000078369,GNB1,651,0.30171,563,0.06500,576,0.11740,403,-0.4608,531,-0.0265,643,0.32127,493,-0.1468,323,-0.8047
ENSG00000187730,GABRD,132,-0.0289,244,0.98825,83,-0.8363,175,0.42296,160,0.27977,188,0.62700,46,-1.6312,49,-1.5447
ENSG00000067606,PRKCZ,167,-0.6163,256,0.05628,272,0.17698,305,0.34079,232,-0.0967,304,0.38281,216,-0.2145,142,-0.8572
ENSG00000162585,FAAP20,32,-1.2957,108,0.59190,54,-0.5780,69,-0.1314,35,-1.1546,93,0.39955,88,0.24536,125,0.83905
ENSG00000157933,SKI,21,-0.4631,24,-0.2971,23,-0.3791,50,0.89029,32,0.17689,30,0.06196,31,0.11181,24,-0.2633
ENSG00000157916,RER1,67,-0.3344,96,0.24677,116,0.63747,55,-0.6316,64,-0.4048,84,0.02676,67,-0.3156,77,-0.1117
ENSG00000157911,PEX10,9,-1.9644,47,0.53722,30,-0.2017,24,-0.5357,45,0.46521,39,0.25333,45,0.44312,30,-0.1695
ENSG00000149527,PLCH2,37,0.31842,6,-2.4316,62,1.48284,1,-4.6927,43,0.57132,16,-1.0509,35,0.26465,23,-0.4467
ENSG00000197921,HES5,4,-2.1308,6,-1.3703,12,-0.4909,16,-0.0109,26,0.78167,14,-0.1869,40,1.54471,16,-0.0248
ENSG00000157870,PRXL2B,76,0.41104,39,-0.6576,57,-0.0712,83,0.54997,57,-0.0486,75,0.44293,39,-0.6611,34,-0.8770
ENSG00000158109,TPRG1L,256,0.20339,178,-0.3756,288,0.45463,264,0.25200,258,0.21581,221,-0.0365,163,-0.5077,119,-0.9919
ENSG00000116213,WRAP73,2,-3.0810,27,0.90932,15,-0.0968,17,0.19208,12,-0.4302,16,0.12605,18,0.23694,16,0.09317
ENSG00000130764,LRRC47,111,0.37810,90,0.03787,103,0.28661,93,0.09327,68,-0.4051,87,-0.0232,60,-0.5938,78,-0.1969
ENSG00000196581,AJAP1,57,0.96204,52,0.82008,19,-0.8290,29,-0.1352,52,0.80397,24,-0.4723,18,-0.8716,22,-0.5523
ENSG00000069424,KCNAB2,255,-0.0352,280,0.11456,275,0.09606,249,-0.0762,301,0.22877,340,0.49194,183,-0.5566,112,-1.3052
ENSG00000116254,CHD5,169,0.30420,158,0.19741,104,-0.5194,219,0.73618,218,0.72986,126,-0.1872,101,-0.5141,75,-0.9653
ENSG00000116251,RPL22,501,-0.1718,385,-0.5865,374,-0.6948,570,0.03255,416,-0.4654,487,-0.2428,864,0.71809,1129,1.18854
ENSG00000116237,ICMT,36,-0.4450,56,0.25847,62,0.51185,19,-1.3712,58,0.32819,53,0.19629,35,-0.4619,39,-0.2858
ENSG00000158292,GPR153,3,-2.1395,31,1.17416,17,0.18413,0,-4.1455,23,0.71568,16,0.14392,16,0.07539,11,-0.5196
ENSG00000097021,ACOT7,427,0.36480,321,-0.0977,593,1.09392,220,-0.6834,294,-0.2328,334,-0.0354,176,-1.0260,115,-1.6637
ENSG00000215788,TNFRSF25,51,1.01883,24,-0.2139,16,-0.9512,53,1.08287,51,0.99403,14,-1.0907,21,-0.4280,17,-0.7677
ENSG00000171680,PLEKHG5,68,1.51371,37,0.45245,17,-0.7895,16,-0.8796,42,0.65766,28,-0.0175,19,-0.5862,7,-1.9606
ENSG00000162408,NOL9,24,-0.4924,19,-0.8802,40,0.36729,43,0.42286,39,0.26594,35,0.12666,35,0.09924,19,-0.8584
ENSG00000162413,KLHL21,27,-0.5542,55,0.55883,42,0.15898,32,-0.3107,56,0.60302,33,-0.2676,33,-0.2514,33,-0.2244
ENSG00000116273,PHF13,19,0.09151,27,0.59985,11,-0.8272,29,0.73970,30,0.82304,13,-0.6172,15,-0.2544,15,-0.3458
ENSG00000041988,THAP3,35,0.44162,22,-0.2951,22,-0.2931,15,-0.8591,48,0.97176,28,0.09964,26,-0.0542,19,-0.5224
ENSG00000007923,DNAJC11,57,0.37117,47,0.03920,33,-0.5722,72,0.76555,65,0.57652,46,0.01396,28,-0.7345,28,-0.7306
ENSG00000171735,CAMTA1,133,-0.4456,239,0.49191,112,-0.7813,275,0.72706,249,0.56411,161,-0.1669,181,0.04096,144,-0.3284
ENSG00000049245,VAMP3,17,-1.0506,24,-0.4883,8,-2.2774,19,-0.8842,33,-0.0060,17,-1.1526,47,0.56157,145,2.75328
ENSG00000049246,PER3,3,-2.6626,23,0.38085,8,-1.4170,21,0.17801,18,-0.0661,18,-0.0928,21,0.23439,48,1.64310
ENSG00000116288,PARK7,417,0.00669,301,-0.5043,452,0.15664,495,0.28584,400,-0.0608,444,0.12114,403,-0.0468,343,-0.3044
ENSG00000116285,ERRFI1,33,0.71776,23,0.13579,24,0.19101,37,0.93354,12,-0.9070,18,-0.2883,10,-1.0672,13,-0.7152
ENSG00000162426,SLC45A1,66,0.35815,65,0.34615,58,0.18418,68,0.41222,47,-0.1751,62,0.29840,31,-0.8380,9,-2.5764
ENSG00000142599,RERE,99,0.00431,133,0.48062,76,-0.4471,107,0.12614,85,-0.2455,103,0.07366,111,0.17976,96,-0.0549
ENSG00000074800,ENO1,1004,0.49544,684,-0.1280,993,0.54908,609,-0.3109,686,-0.1236,642,-0.2544,751,0.02169,408,-0.9306
ENSG00000171612,SLC25A33,14,-1.5491,30,-0.3807,38,-0.0252,16,-1.3043,34,-0.1787,65,0.99939,58,0.65705,28,-0.5007
ENSG00000188807,TMEM201,31,0.72638,14,-0.5542,15,-0.5278,18,-0.1456,21,0.07591,15,-0.5226,8,-1.2840,49,1.49601
ENSG00000171603,CLSTN1,1056,0.42615,1189,0.62450,952,0.29029,743,-0.1424,719,-0.1955,860,0.10248,448,-0.9279,349,-1.3054
ENSG00000178585,CTNNBIP1,18,-1.3068,42,-0.0651,50,0.26496,58,0.45542,48,0.17613,46,0.10016,50,0.21249,26,-0.7780
ENSG00000162441,LZIC,4,-2.9839,29,-0.2277,24,-0.5627,25,-0.4245,18,-0.9538,58,1.11233,33,0.00553,58,0.91111
ENSG00000130939,UBE4B,27,-0.6266,48,0.25988,50,0.38079,59,0.60223,48,0.24856,32,-0.4216,31,-0.4277,31,-0.4472
ENSG00000054523,KIF1B,260,-0.0152,240,-0.1410,236,-0.1855,274,0.07169,334,0.39539,310,0.31002,232,-0.1938,189,-0.5184
ENSG00000142657,PGD,67,0.05436,68,0.08815,70,0.14372,67,0.06395,65,0.00475,62,-0.0718,44,-0.6095,71,0.15533
ENSG00000241563,CORT,773,3.75195,34,-2.0076,52,-1.5015,26,-2.3890,40,-1.7674,85,-0.7016,82,-0.7065,55,-1.3024
ENSG00000160049,DFFA,9,-1.9025,33,0.10432,30,-0.0522,15,-1.1234,29,-0.1106,25,-0.3681,52,0.85637,62,1.15725
ENSG00000142655,PEX14,23,-0.4459,45,0.63498,38,0.43155,24,-0.3803,35,0.22450,34,0.21535,18,-0.8228,14,-1.1504
ENSG00000120948,TARDBP,78,0.14356,89,0.36309,57,-0.3845,96,0.49061,91,0.39649,59,-0.3197,56,-0.3665,68,-0.0642
ENSG00000116649,SRM,114,-0.3381,176,0.35866,202,0.67604,94,-0.6310,139,-0.0218,131,-0.1296,120,-0.2569,102,-0.5092
ENSG00000171824,EXOSC10,16,-0.7628,39,0.65688,26,-0.0121,20,-0.3796,17,-0.6782,20,-0.4063,29,0.16452,46,0.96041
ENSG00000198793,MTOR,36,-0.4020,58,0.34036,68,0.72639,25,-0.9580,40,-0.2279,48,0.05875,43,-0.1264,31,-0.6348
ENSG00000116661,FBXO2,289,-0.0029,263,-0.1521,326,0.22148,168,-0.8457,222,-0.4139,204,-0.6067,596,1.22166,294,0.02488
ENSG00000132879,FBXO44,273,0.60436,182,-0.0567,220,0.27859,178,-0.0890,253,0.47988,173,-0.1501,139,-0.4762,75,-1.4261
ENSG00000116670,MAD2L2,60,1.50296,18,-0.4898,19,-0.4518,18,-0.5113,31,0.35664,17,-0.6334,31,0.36841,18,-0.5277
ENSG00000011021,CLCN6,80,0.29624,81,0.30478,76,0.23267,74,0.16698,71,0.09846,51,-0.4721,68,0.02165,40,-0.7764
ENSG00000116685,KIAA2013,25,-0.9762,54,0.22958,64,0.59700,62,0.45284,47,0.00544,37,-0.4179,31,-0.6291,47,-0.0015
ENSG00000083444,PLOD1,19,-0.8650,27,-0.3464,21,-0.8176,25,-0.4370,41,0.32920,42,0.39781,38,0.19990,60,0.96886
ENSG00000116688,MFN2,103,0.17310,123,0.47000,106,0.24935,86,-0.1080,83,-0.1677,86,-0.1209,66,-0.5159,77,-0.2824
ENSG00000116691,MIIP,7,-1.8334,31,0.48396,12,-1.0561,46,1.15172,22,-0.0665,25,0.11881,17,-0.4685,34,0.62388
ENSG00000048707,VPS13D,38,-0.3367,80,0.85664,40,-0.3127,50,0.07667,50,0.07386,53,0.21835,36,-0.4229,34,-0.5043
ENSG00000162496,DHRS3,26,-0.2442,52,0.91774,11,-1.5964,43,0.57948,13,-1.2353,34,0.20675,47,0.73403,29,-0.0482
ENSG00000116731,PRDM2,76,0.12622,68,-0.0410,55,-0.4125,115,0.81764,91,0.43301,61,-0.2399,56,-0.3576,61,-0.2117
ENSG00000189337,KAZN,17,-1.5728,55,0.27076,60,0.45211,50,0.09774,29,-0.7614,55,0.28238,30,-0.6747,59,0.36163
ENSG00000142634,EFHD2,54,-0.9548,14,-2.9309,58,-0.9205,538,3.36754,41,-1.3848,44,-1.3842,83,-0.2968,69,-0.5749
ENSG00000116138,DNAJC16,37,0.51761,34,0.40221,31,0.27970,36,0.49543,16,-0.8257,17,-0.7866,19,-0.5189,29,0.13798
ENSG00000197312,DDI2,8,-1.3086,25,0.40685,17,-0.2139,39,1.17403,18,-0.1454,22,0.19750,13,-0.5498,13,-0.6469
ENSG00000116786,PLEKHM2,73,-0.4629,97,-0.0176,102,0.06337,101,0.03834,103,0.06558,121,0.38442,113,0.22544,51,-1.0248
ENSG00000065526,SPEN,30,0.04987,24,-0.2908,20,-0.6616,32,0.11003,54,1.00863,13,-1.3166,33,0.20399,54,1.00809
ENSG00000116809,ZBTB17,3,-2.5468,29,0.85820,9,-1.0660,12,-0.5453,10,-0.8238,21,0.36778,20,0.20714,39,1.34071
ENSG00000185519,FAM131C,14,-0.8721,47,1.08757,12,-1.2010,17,-0.5715,29,0.27144,26,0.13511,28,0.24019,33,0.48313
ENSG00000037637,FBXO42,28,0.22400,32,0.47420,30,0.43081,38,0.74631,10,-1.3511,26,0.11559,13,-0.9537,8,-1.6967
ENSG00000055070,SZRD1,10,-1.5568,24,-0.2970,26,-0.2124,21,-0.5189,36,0.29175,19,-0.7833,33,0.16984,82,1.76103
ENSG00000058453,CROCC,7,-1.4933,21,0.17008,22,0.31885,20,0.13600,17,-0.1234,13,-0.6276,19,0.00559,32,0.90485
ENSG00000238142,BX284668.5,20,0.26418,7,-1.2873,18,0.11580,12,-0.5692,11,-0.7029,21,0.43192,24,0.59743,16,-0.0671
ENSG00000159363,ATP13A2,174,-0.4159,371,0.81480,268,0.30584,124,-0.9349,177,-0.3912,323,0.67088,154,-0.6092,86,-1.4948
ENSG00000117118,SDHB,103,0.00382,135,0.43193,124,0.33982,95,-0.1319,108,0.06575,95,-0.1390,87,-0.2668,65,-0.7186
ENSG00000117115,PADI2,4,-3.2480,13,-1.5943,9,-2.1880,10,-1.8970,3,-3.7481,10,-2.0482,71,1.09582,228,3.84483
ENSG00000179051,RCC2,16,-0.6976,65,1.63717,23,-0.1325,18,-0.5334,19,-0.4550,21,-0.3204,34,0.49031,11,-1.2295
ENSG00000074964,ARHGEF10L,16,-0.0880,19,0.15491,17,-0.0702,9,-1.0375,7,-1.2418,23,0.51881,30,0.92665,12,-0.5927
ENSG00000117154,IGSF21,50,-0.7425,133,0.80568,56,-0.6303,227,1.79204,44,-0.9510,74,-0.1653,57,-0.5677,42,-1.0239
ENSG00000159423,ALDH4A1,28,-0.4834,25,-0.6180,19,-1.1230,42,0.17080,29,-0.3943,59,0.85598,66,0.93412,30,-0.3509
ENSG00000127463,EMC1,29,-0.1294,48,0.67525,34,0.14172,23,-0.4827,25,-0.3835,32,0.05421,24,-0.4347,34,0.10480
ENSG00000053372,MRTO4,28,-0.3918,41,0.24358,41,0.24291,43,0.29493,45,0.37373,35,-0.0170,24,-0.5965,23,-0.6768
ENSG00000053371,AKR7A2,54,0.66186,22,-0.7411,45,0.39742,23,-0.7153,24,-0.6386,20,-0.9695,70,1.10382,38,0.07014
ENSG00000077549,CAPZB,191,-0.1728,203,-0.0704,259,0.36274,206,-0.0532,199,-0.1026,224,0.09134,174,-0.3160,188,-0.1935
ENSG00000173436,MICOS10,385,-0.1107,351,-0.2556,426,0.05696,414,0.00577,331,-0.3491,469,0.23393,456,0.16289,399,-0.0530
ENSG00000158747,NBL1,211,-0.2235,281,0.23628,272,0.20964,381,0.74082,213,-0.2111,176,-0.5560,261,0.11804,184,-0.4340
ENSG00000169914,OTUD3,6,-1.6209,16,-0.1831,18,0.06873,21,0.27366,12,-0.5622,31,1.07558,15,-0.2719,9,-1.0620
ENSG00000162545,CAMK2N1,1078,-0.0642,1520,0.49583,1065,-0.0946,304,-1.9952,1672,0.65504,1500,0.54497,934,-0.2922,587,-1.0097
ENSG00000090432,MUL1,15,-0.9420,43,0.70612,24,-0.2656,33,0.24122,56,1.15738,21,-0.4792,22,-0.3593,20,-0.4914
ENSG00000183114,FAM43B,8,-1.3471,18,-0.1563,7,-1.7231,94,2.89902,6,-1.8267,15,-0.5214,17,-0.3085,17,-0.2981
ENSG00000158828,PINK1,453,-0.1284,485,-0.0165,701,0.67746,498,0.02514,467,-0.0769,458,-0.1225,447,-0.1488,237,-1.1272
ENSG00000244038,DDOST,49,0.48381,33,-0.1484,54,0.74967,23,-0.7006,28,-0.3947,40,0.19238,27,-0.4551,14,-1.4388
ENSG00000189410,SH2D5,68,1.02181,12,-1.6640,47,0.44572,30,-0.3122,60,0.79272,36,-0.0682,21,-0.8874,13,-1.6028
ENSG00000127483,HP1BP3,107,-0.3923,131,-0.0729,119,-0.2528,198,0.59863,170,0.34988,131,-0.0798,116,-0.2626,149,0.13665
ENSG00000075151,EIF4G3,130,0.08824,180,0.61602,133,0.13896,137,0.16573,96,-0.3907,136,0.18339,56,-1.2139,95,-0.4092
ENSG00000117298,ECE1,11,-1.1385,31,0.49743,10,-1.3638,19,-0.3223,37,0.80487,8,-1.6689,20,-0.1761,74,2.09070
ENSG00000076864,RAP1GAP,207,0.07008,228,0.22956,239,0.35074,311,0.74867,212,0.10913,164,-0.3253,133,-0.6264,80,-1.3881
ENSG00000090686,USP48,46,0.13939,43,0.01987,34,-0.3941,48,0.18183,40,-0.1002,42,-0.0202,26,-0.7377,70,0.81816
ENSG00000070831,CDC42,221,-0.2094,316,0.36797,344,0.58718,206,-0.3185,125,-1.0861,291,0.26013,160,-0.7099,223,-0.1977
ENSG00000173372,C1QA,11,-1.8555,12,-1.7354,20,-1.0846,19,-1.0703,36,-0.0926,27,-0.5744,75,1.12078,135,2.27365
ENSG00000159189,C1QC,10,-1.5309,11,-1.3152,12,-1.3148,10,-1.5030,13,-1.1268,23,-0.3398,67,1.50358,94,2.20176
ENSG00000173369,C1QB,53,-0.3875,40,-0.8338,12,-2.7018,33,-1.1298,59,-0.2300,52,-0.4516,118,0.91619,248,2.36042
ENSG00000004487,KDM1A,31,-0.9616,96,0.82647,80,0.60487,65,0.16763,69,0.27418,47,-0.3601,42,-0.4943,23,-1.3996
ENSG00000169641,LUZP1,31,-0.5948,79,0.90284,55,0.35964,62,0.51545,26,-0.8547,49,0.11830,27,-0.8133,22,-1.1168
ENSG00000125944,HNRNPR,116,0.29444,96,-0.0180,105,0.15420,144,0.65320,105,0.12888,80,-0.3291,75,-0.4067,61,-0.7207
ENSG00000117318,ID3,44,-0.6620,4,-4.0860,13,-2.5765,8,-3.1176,23,-1.6108,9,-3.1258,124,1.02447,422,3.92367
ENSG00000142676,RPL11,320,-0.9973,422,-0.5718,377,-0.8166,516,-0.2566,447,-0.4832,514,-0.2935,909,0.66561,1672,1.77462
ENSG00000011007,ELOA,14,-0.3605,18,-0.0368,13,-0.6038,45,1.55273,26,0.56471,13,-0.5358,13,-0.4993,13,-0.4664
ENSG00000057757,PITHD1,291,0.44948,202,-0.1408,263,0.32209,210,-0.0751,270,0.32830,233,0.10236,136,-0.7593,105,-1.1535
ENSG00000011009,LYPLA2,72,0.45470,54,-0.0057,54,-0.0183,51,-0.1018,67,0.32661,61,0.20914,32,-0.8183,38,-0.5479
ENSG00000117308,GALE,50,1.14212,37,0.62787,30,0.30136,11,-1.2391,11,-1.2316,27,0.14278,15,-0.7990,13,-0.9456
ENSG00000117305,HMGCL,12,-1.0839,11,-1.2057,30,0.44856,36,0.69220,22,-0.1431,24,-0.0048,24,-0.0014,25,0.10695
ENSG00000189266,PNRC2,59,0.53481,39,-0.1312,38,-0.1824,42,-0.0102,50,0.27190,39,-0.1541,33,-0.3861,47,0.14252
ENSG00000188529,SRSF10,50,-0.1399,58,0.09164,79,0.67503,51,-0.1272,43,-0.3732,35,-0.7820,38,-0.5603,82,0.65504
ENSG00000001461,NIPAL3,53,-0.3568,58,-0.2181,75,0.21457,85,0.39229,52,-0.4064,52,-0.4334,72,0.10742,94,0.55570
ENSG00000133226,SRRM1,29,-0.5497,39,-0.0945,32,-0.4071,44,0.11710,46,0.18139,37,-0.1776,40,-0.0399,73,0.96823
ENSG00000169504,CLIC4,3,-3.4047,21,-0.6275,4,-3.1997,35,0.12038,6,-2.4919,13,-1.5256,47,0.60815,177,3.42551
ENSG00000117614,SYF2,46,-0.3123,62,0.18419,62,0.19308,66,0.27367,47,-0.2639,37,-0.6767,59,0.08480,78,0.54781
ENSG00000117616,RSRP1,93,0.57892,56,-0.2519,49,-0.5038,80,0.32730,99,0.67858,37,-0.9522,50,-0.4193,103,0.75557
ENSG00000183726,TMEM50A,176,1.22842,61,-0.5303,99,0.26927,72,-0.2740,82,-0.0625,52,-0.8398,65,-0.4174,94,0.16503
ENSG00000204178,MACO1,24,-0.2355,36,0.38345,29,0.01989,30,0.11767,43,0.67763,17,-0.8200,19,-0.5834,38,0.47027
ENSG00000117643,MAN1C1,124,1.51925,88,0.88958,47,-0.1631,18,-1.5994,35,-0.5703,48,-0.1054,27,-0.9685,29,-0.8532
ENSG00000162430,SELENON,53,0.15301,55,0.21602,25,-1.0540,55,0.21531,46,-0.0510,34,-0.5705,68,0.57084,82,0.89670
ENSG00000117640,MTFR1L,68,-0.0364,95,0.50288,66,-0.0942,73,0.07152,97,0.52361,59,-0.2909,49,-0.5515,66,-0.0979
ENSG00000117632,STMN1,1820,0.57609,1578,0.33892,1670,0.49621,1317,0.04450,667,-1.0148,1300,0.02703,739,-0.8583,746,-0.8442
ENSG00000158008,EXTL1,54,0.11461,17,-1.6663,38,-0.4625,126,1.58135,67,0.46605,56,0.20305,33,-0.6366,16,-1.7273
ENSG00000142684,ZNF593,30,-0.3056,50,0.48365,32,-0.2561,38,0.02502,42,0.22045,42,0.22332,36,-0.0337,26,-0.5635
ENSG00000142669,SH3BGRL3,347,0.35052,155,-0.9172,297,0.10736,371,0.45795,213,-0.4284,267,-0.0819,280,-0.0007,304,0.13094
ENSG00000158062,UBXN11,18,-0.5676,28,0.14384,22,-0.3250,23,-0.1790,28,0.12286,34,0.51959,30,0.22786,20,-0.3876
ENSG00000117682,DHDDS,5,-2.0659,21,-0.1322,46,1.40996,8,-1.4786,28,0.35022,16,-0.5406,26,0.23042,13,-0.8370
ENSG00000198830,HMGN2,127,-0.2034,132,-0.1440,71,-1.2015,171,0.26937,119,-0.3053,127,-0.2304,176,0.31248,326,1.38626
ENSG00000117713,ARID1A,34,-0.5059,50,0.11054,39,-0.3122,58,0.33314,55,0.26012,43,-0.1646,66,0.54665,42,-0.1591
ENSG00000204160,ZDHHC18,47,0.20976,46,0.15353,62,0.77481,27,-0.6558,47,0.20326,25,-0.8482,35,-0.2714,38,-0.1498
ENSG00000142751,GPN2,16,-0.1874,19,0.09461,21,0.30133,25,0.53083,20,0.19477,19,0.10545,10,-0.8871,9,-1.0853
ENSG00000090273,NUDC,171,-0.0551,189,0.10574,138,-0.4352,218,0.34084,188,0.09971,180,0.03600,181,0.03578,185,0.07114
ENSG00000253368,TRNP1,57,-0.6569,119,0.53270,109,0.43263,50,-0.8393,83,-0.0528,124,0.69067,66,-0.4084,20,-2.2116
ENSG00000090020,SLC9A1,35,0.44984,14,-0.9397,46,1.05759,20,-0.4196,27,-0.0016,22,-0.3141,14,-1.0062,20,-0.4590
ENSG00000142784,WDTC1,41,0.32794,20,-0.8261,18,-1.0480,47,0.56121,23,-0.5984,47,0.65599,27,-0.3212,46,0.51804
ENSG00000186501,TMEM222,68,-0.3758,103,0.28998,79,-0.1496,92,0.10153,106,0.33769,100,0.26679,62,-0.5134,73,-0.2674
ENSG00000158195,WASF2,17,-0.7930,10,-1.6519,12,-1.4068,18,-0.7247,44,0.66655,12,-1.4991,40,0.50250,115,2.52007
ENSG00000126705,AHDC1,51,0.21893,65,0.61463,31,-0.6117,97,1.31301,59,0.45746,33,-0.5013,25,-0.8713,19,-1.2913
ENSG00000126709,IFI6,102,0.24763,36,-1.3492,98,0.21070,126,0.59889,76,-0.2129,68,-0.4413,71,-0.3327,131,0.65838
ENSG00000117758,STX12,82,-0.2631,102,0.08075,118,0.36275,143,0.64371,79,-0.3142,81,-0.3058,81,-0.2829,82,-0.2584
ENSG00000117751,PPP1R8,17,-0.6788,34,0.35693,18,-0.6525,58,1.25753,29,0.07589,25,-0.1146,18,-0.6342,28,0.06600
ENSG00000117748,RPA2,29,-0.9882,43,-0.3798,93,1.05431,57,0.08856,30,-0.9122,38,-0.6276,53,-0.0303,69,0.39833
ENSG00000126698,DNAJC8,94,-0.3567,105,-0.1911,110,-0.1323,94,-0.3640,178,0.67375,127,0.12997,96,-0.3222,141,0.28582
ENSG00000130770,ATP5IF1,696,0.14662,602,-0.0862,931,0.72881,470,-0.4756,609,-0.0676,669,0.09358,501,-0.3766,276,-1.2883
ENSG00000180098,TRNAU1AP,13,-0.8091,22,0.07308,18,-0.3152,34,0.78131,10,-1.1629,34,0.87535,16,-0.4646,15,-0.5213
ENSG00000120656,TAF12,2,-2.6870,17,0.02531,21,0.39648,9,-0.9209,11,-0.5635,25,0.76202,14,-0.2302,21,0.35242
ENSG00000198492,YTHDF2,86,0.10266,93,0.24376,116,0.70410,109,0.49102,107,0.47276,45,-0.9799,50,-0.7496,36,-1.2514
ENSG00000116350,SRSF4,68,0.58886,37,-0.3686,43,-0.1519,59,0.35415,44,-0.1044,48,0.03411,27,-0.8354,53,0.20354
ENSG00000116353,MECR,24,-0.5966,41,0.21725,44,0.37471,34,-0.0861,18,-1.0579,44,0.39621,40,0.18153,24,-0.6188
ENSG00000060656,PTPRU,3,-2.6627,5,-2.0904,8,-1.5303,136,4.17779,10,-0.9860,6,-1.8670,4,-2.4704,14,-0.4990
ENSG00000162511,LAPTM5,34,-0.7107,18,-1.7083,25,-1.2852,64,0.25666,23,-1.3052,39,-0.5678,89,0.82013,187,2.22568
ENSG00000162512,SDC3,176,-0.1522,241,0.35220,149,-0.4637,239,0.33683,236,0.32006,190,-0.0359,210,0.12985,159,-0.3126
