Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to9,Feature log2 fold change topic 6to9
ENSG00000067606,PRKCZ,309,0.10761,349,0.28065,224,-0.4375,287,-0.0637
ENSG00000162585,FAAP20,58,-0.3342,107,0.74463,61,-0.1820,68,-0.0048
ENSG00000157933,SKI,40,0.15813,49,0.48398,33,-0.1797,33,-0.3011
ENSG00000157916,RER1,83,0.85936,42,-0.5111,51,-0.2085,45,-0.5959
ENSG00000157911,PEX10,40,0.10533,37,-0.0457,35,-0.1050,37,-0.0370
ENSG00000149527,PLCH2,54,1.39602,14,-1.2160,12,-1.5083,24,-0.6436
ENSG00000157870,PRXL2B,121,0.68601,79,-0.2261,82,-0.1491,72,-0.5310
ENSG00000177133,PRDM16-DT,14,-0.9236,13,-0.7675,20,-0.1221,31,1.02801
ENSG00000158109,TPRG1L,245,0.35155,180,-0.2416,138,-0.6624,208,-0.0160
ENSG00000130764,LRRC47,100,0.79691,63,-0.2019,46,-0.6904,58,-0.4755
ENSG00000196581,AJAP1,43,0.76020,15,-1.1217,14,-1.2758,31,-0.0374
ENSG00000069424,KCNAB2,291,0.24953,225,-0.2356,170,-0.6737,268,0.08218
ENSG00000116254,CHD5,201,0.04102,253,0.41148,121,-0.7642,199,0.02784
ENSG00000116251,RPL22,306,-0.6867,714,0.85553,740,0.91721,375,-0.3381
ENSG00000116237,ICMT,65,1.21407,11,-1.8971,22,-0.9579,33,-0.4456
ENSG00000097021,ACOT7,468,0.87938,233,-0.5323,143,-1.2818,287,-0.3086
ENSG00000171680,PLEKHG5,33,0.06450,29,-0.1561,23,-0.4887,34,0.17174
ENSG00000162408,NOL9,41,0.49871,41,0.37995,20,-0.7558,28,-0.4016
ENSG00000162413,KLHL21,36,0.46488,30,0.02242,16,-0.9823,28,-0.1465
ENSG00000116273,PHF13,21,0.84579,10,-0.5251,20,0.52774,9,-0.9413
ENSG00000041988,THAP3,28,-0.1095,31,0.11110,17,-0.8814,33,0.32671
ENSG00000007923,DNAJC11,40,-0.1878,42,-0.0536,23,-0.9710,52,0.48086
ENSG00000171735,CAMTA1,130,-0.0620,180,0.49478,88,-0.6557,136,0.04922
ENSG00000049245,VAMP3,11,-1.5141,83,2.21992,41,0.86156,16,-0.9148
ENSG00000049246,PER3,29,0.40249,33,0.51478,28,0.24742,17,-0.7566
ENSG00000116288,PARK7,326,-0.0291,344,0.06274,296,-0.1756,339,0.06745
ENSG00000116285,ERRFI1,27,0.89368,14,-0.4088,13,-0.5517,15,-0.5471
ENSG00000162426,SLC45A1,66,1.22864,22,-0.9656,9,-2.2119,34,-0.4209
ENSG00000142599,RERE,102,0.25298,82,-0.1563,70,-0.4122,90,-0.0265
ENSG00000074800,ENO1,765,0.48065,654,0.08503,386,-0.7522,563,-0.2457
ENSG00000171612,SLC25A33,21,-0.2199,22,-0.0771,23,0.00038,25,0.22134
ENSG00000188807,TMEM201,21,0.01391,18,-0.1863,12,-0.8628,23,0.32899
ENSG00000171603,CLSTN1,898,0.96247,441,-0.5078,254,-1.3563,517,-0.3895
ENSG00000178585,CTNNBIP1,25,-0.6618,57,0.79775,34,-0.0588,38,0.17294
ENSG00000162441,LZIC,17,-0.5930,27,0.26603,32,0.59212,23,0.10119
ENSG00000130939,UBE4B,42,0.43251,27,-0.4019,20,-0.8247,34,0.00174
ENSG00000054523,KIF1B,274,0.15134,341,0.47500,189,-0.4854,238,-0.1854
ENSG00000142657,PGD,70,0.38796,64,0.14169,31,-1.0136,56,-0.1141
ENSG00000241563,CORT,51,-1.8247,188,0.50982,60,-1.2885,210,1.38653
ENSG00000160049,DFFA,30,0.31469,30,0.22336,19,-0.5183,24,-0.2093
ENSG00000142655,PEX14,39,0.95305,17,-0.6771,7,-1.9655,24,-0.2353
ENSG00000120948,TARDBP,87,0.48352,69,-0.0166,35,-1.0774,67,-0.1279
ENSG00000116649,SRM,118,0.08744,98,-0.2256,91,-0.3510,119,0.13255
ENSG00000171824,EXOSC10,24,0.50393,27,0.54359,16,-0.2840,15,-0.6484
ENSG00000198793,MTOR,29,-0.1385,40,0.41344,18,-0.8417,33,0.20494
ENSG00000116661,FBXO2,200,-0.2750,274,0.29893,245,0.11702,234,0.06123
ENSG00000132879,FBXO44,214,0.24338,198,0.04625,116,-0.8000,193,0.01425
ENSG00000116670,MAD2L2,24,0.39971,26,0.42964,16,-0.4086,17,-0.4311
ENSG00000011021,CLCN6,97,0.90058,58,-0.2204,55,-0.3067,50,-0.7092
ENSG00000116685,KIAA2013,48,0.67279,52,0.59057,26,-0.5253,26,-0.7778
ENSG00000083444,PLOD1,28,0.26478,24,-0.0286,13,-1.0177,25,0.07550
ENSG00000116688,MFN2,106,0.66188,75,-0.1028,61,-0.4445,67,-0.4463
ENSG00000116691,MIIP,22,-0.1470,51,1.28407,21,-0.1942,19,-0.5266
ENSG00000048707,VPS13D,58,0.35247,70,0.58135,37,-0.4339,41,-0.4576
ENSG00000162496,DHRS3,21,-0.8697,61,1.07178,33,0.01479,34,0.11937
ENSG00000116731,PRDM2,66,0.25549,60,0.01946,34,-0.8804,60,0.03353
ENSG00000189337,KAZN,40,-0.0870,41,-0.0328,37,-0.1981,45,0.16485
ENSG00000142634,EFHD2,76,-1.4721,404,1.56892,131,-0.3685,182,0.25554
ENSG00000116138,DNAJC16,29,0.98333,20,0.08817,12,-0.7417,13,-0.7918
ENSG00000197312,DDI2,23,0.01608,24,0.10263,9,-1.3152,25,0.31050
ENSG00000116786,PLEKHM2,88,0.17008,77,-0.1012,76,-0.1199,80,-0.0703
ENSG00000065526,SPEN,25,0.15186,27,0.25703,21,-0.1731,22,-0.1845
ENSG00000116809,ZBTB17,18,0.14049,24,0.54995,22,0.40997,13,-0.5866
ENSG00000185519,FAM131C,21,0.35770,24,0.44960,14,-0.4281,15,-0.3924
ENSG00000055070,SZRD1,19,-0.4974,55,1.37890,29,0.28204,20,-0.5007
ENSG00000058453,CROCC,21,0.56111,18,0.19059,10,-0.7568,14,-0.3736
ENSG00000159363,ATP13A2,237,0.68572,196,0.16289,113,-0.7144,144,-0.5037
ENSG00000117118,SDHB,75,0.16851,59,-0.2665,57,-0.3092,71,0.05835
ENSG00000117115,PADI2,11,-1.7002,128,2.87211,61,1.24575,10,-2.0688
ENSG00000179051,RCC2,18,0.35842,23,0.61685,14,-0.1258,12,-0.5982
ENSG00000074964,ARHGEF10L,20,0.18998,26,0.58499,12,-0.5884,16,-0.2501
ENSG00000117154,IGSF21,75,0.31584,85,0.43165,66,0.02077,53,-0.5108
ENSG00000159423,ALDH4A1,13,-1.5445,55,0.96077,37,0.31022,36,0.45937
ENSG00000127463,EMC1,34,0.53531,37,0.52851,11,-1.3914,23,-0.3746
ENSG00000053372,MRTO4,48,0.56839,43,0.20009,31,-0.3118,30,-0.5258
ENSG00000053371,AKR7A2,25,-0.1662,35,0.40645,30,0.14748,27,-0.0963
ENSG00000077549,CAPZB,232,0.51021,192,0.05504,144,-0.4072,160,-0.3660
ENSG00000173436,MICOS10,265,-0.2844,309,0.02815,404,0.47004,307,0.02255
ENSG00000158747,NBL1,231,-0.0547,338,0.58971,185,-0.3988,230,-0.0839
ENSG00000162545,CAMK2N1,1056,0.61331,384,-1.1720,627,-0.4138,783,-0.0948
ENSG00000090432,MUL1,36,0.63563,35,0.41321,14,-0.9933,22,-0.5017
ENSG00000183114,FAM43B,10,-1.7019,53,1.17999,19,-0.5164,34,0.70338
ENSG00000158828,PINK1,499,0.35577,340,-0.3608,317,-0.4726,421,-0.0349
ENSG00000244038,DDOST,30,0.80567,34,0.77213,10,-1.2022,14,-0.8582
ENSG00000117245,KIF17,27,-0.0625,23,-0.2595,18,-0.6402,32,0.36485
ENSG00000189410,SH2D5,49,0.59132,32,-0.2509,26,-0.5935,34,-0.2703
ENSG00000127483,HP1BP3,122,0.36577,131,0.38930,92,-0.1920,86,-0.4529
ENSG00000075151,EIF4G3,141,0.82031,71,-0.5430,65,-0.6838,86,-0.3850
ENSG00000117298,ECE1,17,-0.4825,53,1.54393,18,-0.3211,19,-0.3943
ENSG00000162551,ALPL,5,-2.3161,46,1.55350,23,0.31032,21,0.35735
ENSG00000076864,RAP1GAP,250,0.65620,200,0.09212,114,-0.8016,159,-0.4162
ENSG00000090686,USP48,37,0.52991,25,-0.2224,18,-0.7453,27,-0.1758
ENSG00000070831,CDC42,277,0.59947,233,0.13556,116,-0.9604,187,-0.3363
ENSG00000173372,C1QA,8,-1.5700,74,2.64444,23,0.40385,11,-1.0747
ENSG00000173369,C1QB,4,-2.3101,59,2.23601,52,1.98890,8,-1.6231
ENSG00000004487,KDM1A,109,0.98579,72,-0.0298,34,-1.1687,56,-0.6304
ENSG00000169641,LUZP1,39,0.11069,35,-0.0820,14,-1.4862,42,0.32814
ENSG00000125944,HNRNPR,86,0.00548,108,0.37414,72,-0.2844,84,-0.0651
ENSG00000125945,ZNF436,33,1.52977,5,-2.0186,8,-1.2302,13,-0.7082
ENSG00000142676,RPL11,277,-0.8681,739,0.91908,722,0.87656,393,-0.2202
ENSG00000057757,PITHD1,274,0.43057,160,-0.5572,114,-1.0694,236,0.10742
ENSG00000011009,LYPLA2,76,0.58199,71,0.30457,39,-0.6582,49,-0.4781
ENSG00000117305,HMGCL,15,-0.3815,27,0.63152,14,-0.4176,20,0.17661
ENSG00000189266,PNRC2,35,0.61299,18,-0.6342,21,-0.3426,24,-0.2485
ENSG00000188529,SRSF10,57,0.58120,37,-0.3038,17,-1.4262,44,-0.0513
ENSG00000001461,NIPAL3,65,0.33026,85,0.68730,72,0.41310,38,-0.8746
ENSG00000133226,SRRM1,31,0.18182,32,0.15628,28,-0.0601,26,-0.2105
ENSG00000169504,CLIC4,5,-2.1806,54,2.15190,48,1.89800,8,-1.4563
ENSG00000117614,SYF2,38,0.14176,41,0.20104,34,-0.0851,33,-0.1827
ENSG00000117616,RSRP1,54,0.44316,59,0.45000,39,-0.2039,35,-0.5612
ENSG00000183726,TMEM50A,69,0.70387,55,0.12531,27,-0.9724,42,-0.4380
ENSG00000204178,MACO1,20,-0.0978,28,0.49359,7,-1.6129,23,0.27949
ENSG00000117643,MAN1C1,40,1.34830,9,-1.5234,7,-1.8282,19,-0.4815
ENSG00000162430,SELENON,46,-0.0099,70,0.69229,40,-0.2205,42,-0.2433
ENSG00000117640,MTFR1L,75,0.07077,74,0.01656,45,-0.7625,78,0.17638
ENSG00000117632,STMN1,1165,0.21644,1135,0.11673,739,-0.5687,1035,-0.0526
ENSG00000158008,EXTL1,64,0.31900,99,0.96993,41,-0.4843,42,-0.6533
ENSG00000142684,ZNF593,55,-0.1098,83,0.57891,61,0.06383,54,-0.2003
ENSG00000142669,SH3BGRL3,252,-0.2608,364,0.40433,307,0.12350,285,-0.0039
ENSG00000158062,UBXN11,29,0.23145,24,-0.1134,34,0.42021,22,-0.3645
ENSG00000117682,DHDDS,21,0.07668,18,-0.2323,17,-0.3138,22,0.13239
ENSG00000198830,HMGN2,80,-0.5093,166,0.81432,139,0.50979,94,-0.2105
ENSG00000117713,ARID1A,56,0.62399,32,-0.4516,28,-0.6645,39,-0.2154
ENSG00000204160,ZDHHC18,45,0.70495,20,-0.8156,25,-0.4755,30,-0.2500
ENSG00000090273,NUDC,147,0.05507,166,0.23657,145,0.01645,135,-0.1584
ENSG00000253368,TRNP1,75,0.32701,40,-0.7712,54,-0.3030,66,0.05754
ENSG00000090020,SLC9A1,58,1.42171,18,-1.0016,14,-1.3600,24,-0.7506
ENSG00000142784,WDTC1,36,-0.3199,46,0.17298,38,-0.1645,46,0.26509
ENSG00000186501,TMEM222,99,0.41858,132,0.79346,75,-0.1494,59,-0.7651
ENSG00000158195,WASF2,10,-1.1011,69,2.41792,25,0.44985,11,-1.1522
ENSG00000126705,AHDC1,56,0.63073,46,0.12888,28,-0.6398,35,-0.4512
ENSG00000126709,IFI6,119,0.00687,174,0.62696,122,0.03545,104,-0.3219
ENSG00000117758,STX12,101,0.01574,124,0.33916,81,-0.3403,99,-0.0386
ENSG00000117751,PPP1R8,21,0.14616,23,0.27452,16,-0.3092,19,-0.1389
ENSG00000117748,RPA2,43,0.52127,42,0.34364,25,-0.5151,28,-0.4777
ENSG00000126698,DNAJC8,98,0.23217,106,0.28818,76,-0.2493,80,-0.2485
ENSG00000130770,ATP5IF1,492,0.18559,276,-0.7776,293,-0.6864,506,0.30727
ENSG00000180098,TRNAU1AP,19,0.40091,26,0.81457,17,0.13046,11,-0.8884
ENSG00000198492,YTHDF2,95,0.62306,69,-0.0775,33,-1.1993,66,-0.2186
ENSG00000116350,SRSF4,48,0.18617,71,0.79912,19,-1.2840,40,-0.2035
ENSG00000116353,MECR,46,0.38956,46,0.30954,37,-0.0672,31,-0.4862
ENSG00000060656,PTPRU,12,-1.4149,56,1.38604,24,-0.0795,28,0.26458
ENSG00000162511,LAPTM5,7,-1.9363,58,1.90931,49,1.55265,13,-0.9236
ENSG00000162512,SDC3,160,0.62084,103,-0.2723,111,-0.1532,102,-0.4428
ENSG00000134644,PUM1,149,0.33124,137,0.10407,88,-0.6045,121,-0.1469
ENSG00000060688,SNRNP40,23,0.03776,34,0.61961,19,-0.2667,21,-0.2294
ENSG00000121766,ZCCHC17,152,0.50417,83,-0.6214,88,-0.5206,118,-0.0859
ENSG00000121769,FABP3,363,0.63844,144,-1.0235,147,-0.9846,276,0.00314
ENSG00000162517,PEF1,115,0.50179,83,-0.1679,60,-0.6728,86,-0.1873
ENSG00000084636,COL16A1,31,-0.8572,122,1.60911,61,0.37314,40,-0.4564
ENSG00000121753,ADGRB2,400,0.44855,278,-0.2704,181,-0.9394,325,-0.0299
ENSG00000184007,PTP4A2,121,-0.4529,296,1.15046,258,0.90355,111,-0.7277
ENSG00000121774,KHDRBS1,114,0.57692,88,-0.0102,55,-0.7375,78,-0.3073
ENSG00000121775,TMEM39B,24,0.85064,35,1.26897,8,-1.0251,9,-1.3689
ENSG00000025800,KPNA6,44,1.03154,15,-1.0138,14,-1.0827,25,-0.3812
ENSG00000084652,TXLNA,42,0.85663,22,-0.4865,26,-0.1982,23,-0.6051
ENSG00000084623,EIF3I,163,0.55181,123,-0.0602,90,-0.5675,113,-0.3100
ENSG00000175130,MARCKSL1,135,-0.8652,541,1.68471,389,1.05496,137,-0.9571
ENSG00000160058,BSDC1,63,-0.0628,62,-0.0828,39,-0.8198,74,0.34833
ENSG00000176261,ZBTB8OS,40,0.30806,13,-1.5526,33,-0.0930,37,0.15951
ENSG00000162521,RBBP4,100,0.40528,108,0.42810,44,-1.0136,75,-0.2669
ENSG00000162522,KIAA1522,19,0.24164,11,-0.6742,17,-0.0698,17,0.02896
ENSG00000134684,YARS,124,0.69705,61,-0.6515,43,-1.1955,89,-0.1033
ENSG00000160097,FNDC5,17,-0.5040,26,0.31145,23,0.13210,23,0.23283
ENSG00000121905,HPCA,296,0.28778,237,-0.1519,189,-0.5129,257,-0.0301
ENSG00000121900,TMEM54,37,-0.0885,48,0.34322,44,0.22090,36,-0.1666
ENSG00000116514,RNF19B,24,0.77873,11,-0.7009,5,-1.8081,17,-0.0706
ENSG00000004455,AK2,13,-0.5775,30,0.83729,33,0.99097,15,-0.4616
ENSG00000142920,AZIN2,29,0.81840,27,0.46193,23,0.17581,12,-1.1810
ENSG00000160094,ZNF362,21,0.66684,22,0.51330,11,-0.5212,11,-0.7262
ENSG00000134686,PHC2,80,0.43333,72,0.13106,58,-0.2056,56,-0.3919
ENSG00000163866,SMIM12,65,0.41563,39,-0.4865,36,-0.6278,54,-0.0075
ENSG00000116544,DLGAP3,75,-0.0781,86,0.15964,76,-0.0329,78,0.01612
ENSG00000116560,SFPQ,128,0.24052,168,0.62739,100,-0.2328,96,-0.4418
ENSG00000146463,ZMYM4,41,0.96700,16,-0.8086,21,-0.4279,22,-0.5452
ENSG00000142687,KIAA0319L,62,0.41380,47,-0.1447,30,-0.8224,50,-0.0693
ENSG00000020129,NCDN,782,0.76567,454,-0.3578,228,-1.4193,520,-0.2211
ENSG00000126067,PSMB2,149,0.64516,142,0.36891,51,-1.2439,95,-0.4331
ENSG00000142686,C1orf216,150,0.52369,90,-0.4483,58,-1.1110,119,-0.0074
ENSG00000092847,AGO1,31,0.21538,40,0.59317,21,-0.4662,24,-0.3168
ENSG00000116863,ADPRHL2,30,0.60309,24,0.03700,7,-1.8862,22,-0.1320
ENSG00000054116,TRAPPC3,69,0.87594,24,-1.0546,30,-0.7363,43,-0.2935
ENSG00000116871,MAP7D1,213,0.38906,148,-0.3030,139,-0.4066,172,-0.1074
ENSG00000054118,THRAP3,59,0.10649,90,0.79899,46,-0.3080,48,-0.3860
ENSG00000181817,LSM10,39,-0.3291,31,-0.6357,23,-1.0322,60,0.80682
ENSG00000116885,OSCP1,36,1.39942,14,-0.6377,12,-0.8408,13,-0.9584
ENSG00000116898,MRPS15,49,0.12700,34,-0.4734,46,-0.0023,47,0.05154
ENSG00000163873,GRIK3,19,-1.0978,54,0.82988,15,-1.2216,43,0.77550
ENSG00000163875,MEAF6,109,0.34355,58,-0.7414,70,-0.4607,97,0.08482
ENSG00000183317,EPHA10,35,1.12279,7,-1.7950,6,-1.9440,21,-0.1882
ENSG00000185090,MANEAL,75,0.84407,29,-0.9340,15,-1.8557,51,-0.0717
ENSG00000197982,C1orf122,157,-0.5200,257,0.39785,284,0.56730,202,-0.0038
ENSG00000183431,SF3A3,43,0.38979,55,0.69493,8,-2.1747,33,-0.2093
ENSG00000183520,UTP11,31,0.36245,25,-0.0482,16,-0.7907,25,-0.0642
ENSG00000116954,RRAGC,59,1.21104,51,0.55535,22,-0.7659,19,-1.3423
ENSG00000174574,AKIRIN1,83,0.18304,70,-0.1418,40,-1.0040,82,0.19179
ENSG00000168653,NDUFS5,648,-0.0591,591,-0.1930,605,-0.1533,713,0.18394
ENSG00000127603,MACF1,94,-0.0187,151,0.79114,67,-0.5445,88,-0.1866
ENSG00000090621,PABPC4,53,-0.0382,65,0.30000,66,0.33519,49,-0.2452
ENSG00000116983,HPCAL4,390,0.24460,340,-0.0438,240,-0.6001,349,-0.0045
ENSG00000084072,PPIE,32,-0.3921,69,0.95244,39,-0.0138,37,-0.1486
ENSG00000168389,MFSD2A,20,-0.5658,55,1.24278,25,-0.0700,24,-0.1863
ENSG00000131236,CAP1,150,0.52810,125,0.07944,90,-0.4527,102,-0.3800
ENSG00000131238,PPT1,95,0.42350,41,-1.0115,38,-1.1259,87,0.24132
ENSG00000084073,ZMPSTE24,38,1.18480,19,-0.3679,19,-0.3423,15,-0.9700
ENSG00000049089,COL9A2,7,-1.2767,40,1.89440,37,1.74270,6,-1.5317
ENSG00000084070,SMAP2,183,0.40549,125,-0.3213,91,-0.8104,153,-0.0019
ENSG00000117016,RIMS3,75,0.32236,68,0.06775,38,-0.8498,63,-0.0575
ENSG00000066136,NFYC,45,0.87267,28,-0.1902,12,-1.4412,27,-0.3885
ENSG00000179862,CITED4,22,0.88719,10,-0.7017,7,-1.2507,14,-0.2734
ENSG00000127124,HIVEP3,21,0.31984,23,0.42398,18,-0.0021,14,-0.5009
ENSG00000198815,FOXJ3,78,0.74683,41,-0.5151,35,-0.7498,50,-0.2983
ENSG00000177181,RIMKLA,37,0.30341,22,-0.6059,11,-1.5620,36,0.33294
ENSG00000127125,PPCS,47,-0.1862,60,0.26453,47,-0.1336,53,0.10149
ENSG00000171960,PPIH,17,0.17011,19,0.32969,17,0.19689,13,-0.3911
ENSG00000065978,YBX1,42,-0.3094,76,0.75801,61,0.38686,43,-0.2779
ENSG00000164008,C1orf50,21,0.15020,18,-0.1057,16,-0.3403,20,0.02777
ENSG00000177868,SVBP,31,-0.0475,54,0.90218,24,-0.3988,28,-0.2752
ENSG00000117394,SLC2A1,37,-0.9140,154,1.68949,69,0.25858,50,-0.4281
ENSG00000117395,EBNA1BP2,65,0.05728,51,-0.3373,35,-0.9411,73,0.36020
ENSG00000066322,ELOVL1,3,-2.9619,122,3.72660,42,1.14329,4,-2.8477
ENSG00000159479,MED8,17,-0.2416,13,-0.5694,23,0.30469,22,0.27211
ENSG00000178922,HYI,12,-0.8556,45,1.56943,19,0.05903,16,-0.2769
ENSG00000142949,PTPRF,165,0.99620,77,-0.5573,44,-1.4321,93,-0.3960
ENSG00000066135,KDM4A,28,1.34970,16,-0.0672,8,-1.0274,10,-1.0742
ENSG00000126091,ST3GAL3,62,0.50242,34,-0.5834,38,-0.4098,47,-0.1296
ENSG00000117408,IPO13,55,-0.1501,104,0.94971,44,-0.4474,55,-0.1976
ENSG00000117410,ATP6V0B,756,0.82928,425,-0.3700,241,-1.2481,471,-0.3151
ENSG00000117411,B4GALT2,73,-0.2212,103,0.39520,95,0.26985,78,-0.0983
ENSG00000159214,CCDC24,19,0.31093,28,0.86246,16,-0.0987,12,-0.7162
ENSG00000178028,DMAP1,73,0.62092,83,0.65768,31,-0.9064,42,-0.6473
ENSG00000117419,ERI3,217,0.07038,238,0.20762,138,-0.6620,215,0.06959
ENSG00000187147,RNF220,124,0.16130,119,0.05167,83,-0.5266,116,0.01397
ENSG00000142937,RPS8,538,-0.5877,989,0.52958,1176,0.82888,673,-0.1685
ENSG00000070785,EIF2B3,47,1.25625,22,-0.3963,17,-0.8350,19,-0.8765
ENSG00000126107,HECTD3,20,0.17545,24,0.42564,12,-0.6151,17,-0.1442
ENSG00000126088,UROD,87,0.15476,84,0.06165,71,-0.2048,78,-0.0895
ENSG00000117450,PRDX1,268,-0.1238,390,0.52067,281,-0.0211,271,-0.1216
ENSG00000117448,AKR1A1,34,-0.0890,53,0.63760,24,-0.6416,36,-0.0069
ENSG00000132780,NASP,18,-0.4861,36,0.73783,32,0.57057,21,-0.2158
ENSG00000159592,GPBP1L1,35,0.13749,49,0.66335,28,-0.2873,29,-0.3416
ENSG00000086015,MAST2,21,-0.6780,56,1.11858,14,-1.1536,32,0.29442
ENSG00000085998,POMGNT1,71,0.46703,64,0.16562,69,0.30061,43,-0.6676
ENSG00000132128,LRRC41,63,0.63356,62,0.42611,25,-0.9999,39,-0.5048
ENSG00000173660,UQCRH,463,0.14931,268,-0.7561,324,-0.4591,478,0.27015
ENSG00000117480,FAAH,61,0.78149,61,0.54236,34,-0.4021,29,-0.9186
ENSG00000079277,MKNK1,33,1.15354,18,-0.1673,12,-0.8694,14,-0.8376
ENSG00000123472,ATPAF1,119,0.10547,80,-0.5520,100,-0.2044,121,0.17060
ENSG00000159658,EFCAB14,27,-0.6699,92,1.55465,52,0.50345,29,-0.6235
ENSG00000186377,CYP4X1,30,1.61436,5,-1.8053,5,-1.7921,12,-0.7275
ENSG00000162368,CMPK1,110,0.08110,118,0.17769,91,-0.2403,103,-0.0582
ENSG00000162373,BEND5,35,0.79377,16,-0.6575,11,-1.2182,23,-0.1956
ENSG00000162374,ELAVL4,182,0.83091,53,-1.3830,64,-1.0776,124,-0.0987
ENSG00000185104,FAF1,32,0.43978,34,0.40634,17,-0.7125,23,-0.3667
ENSG00000123091,RNF11,505,0.13586,331,-0.5712,294,-0.7589,533,0.31635
ENSG00000085832,EPS15,162,0.16375,149,-0.0139,120,-0.3519,149,-0.0164
ENSG00000078618,NRDC,91,0.71311,43,-0.6769,36,-0.9508,63,-0.1656
ENSG00000169213,RAB3B,133,0.28658,79,-0.6264,52,-1.2663,131,0.30383
ENSG00000117862,TXNDC12,22,0.41075,15,-0.2936,19,0.04832,16,-0.3009
ENSG00000134717,BTF3L4,67,0.35375,64,0.17226,45,-0.3804,52,-0.2685
ENSG00000157077,ZFYVE9,34,0.93756,23,-0.0245,13,-0.9126,17,-0.6407
ENSG00000162377,COA7,20,0.13476,13,-0.5738,15,-0.3647,20,0.20436
ENSG00000162378,ZYG11B,177,0.59947,107,-0.3850,71,-1.0286,130,-0.1208
ENSG00000116171,SCP2,64,0.18159,63,0.11286,61,0.05831,53,-0.2396
ENSG00000162384,CZIB,61,0.00984,71,0.27277,58,-0.0721,58,-0.0983
ENSG00000162385,MAGOH,29,0.12396,39,0.57244,8,-1.8773,29,0.07699
ENSG00000157193,LRP8,33,-0.8893,86,0.86415,28,-0.9241,63,0.55494
ENSG00000058799,YIPF1,37,0.91118,24,-0.0802,16,-0.7363,19,-0.6359
ENSG00000081870,HSPB11,32,0.29044,25,-0.1482,32,0.23561,24,-0.3180
ENSG00000116209,TMEM59,175,0.68071,143,0.14462,81,-0.7532,108,-0.4790
ENSG00000116221,MRPL37,81,0.64310,61,-0.0147,39,-0.7106,52,-0.3814
ENSG00000157216,SSBP3,194,0.22774,215,0.34000,145,-0.3041,158,-0.2499
ENSG00000116133,DHCR24,376,1.37995,203,-0.1396,147,-0.6504,129,-1.1955
ENSG00000162402,USP24,35,0.75295,32,0.36878,15,-0.7819,19,-0.6610
ENSG00000162407,PLPP3,21,-1.5379,150,2.07681,61,0.38721,40,-0.4624
ENSG00000162409,PRKAA2,47,0.87111,18,-0.9297,13,-1.3489,30,-0.1795
ENSG00000173406,DAB1,29,1.62909,0,-4.2158,5,-1.5927,12,-0.5952
