cutoff,APOE_carrier,Ancestry,include_APOE,min_PRS,median_PRS,max_PRS
p=0.7,E4+,AA,TRUE,-4.83989e-4,-4.62041e-4,-4.28225e-4
p=0.7,E4+,EA,FALSE,-5.32763e-4,-5.027085000000001e-4,-4.63973e-4
p=0.7,E4+,EA,TRUE,-5.16769e-4,-4.860005e-4,-4.49509e-4
p=0.8,E2+,AA,FALSE,-4.79477e-4,-4.658e-4,-4.46549e-4
p=0.8,E2+,AA,TRUE,-4.71103e-4,-4.5691199999999996e-4,-4.36657e-4
p=0.8,E2+,EA,FALSE,-5.04402e-4,-4.759155e-4,-4.61835e-4
p=0.8,E2+,EA,TRUE,-4.98727e-4,-4.685955e-4,-4.55497e-4
p=0.8,E4+,AA,FALSE,-4.80458e-4,-4.57259e-4,-4.24334e-4
p=0.8,E4+,AA,TRUE,-4.63975e-4,-4.42863e-4,-4.10673e-4
p=0.8,E4+,EA,FALSE,-5.09206e-4,-4.81511e-4,-4.44644e-4
p=0.8,E4+,EA,TRUE,-4.9403e-4,-4.6566749999999997e-4,-4.30917e-4
p=0.9,E2+,AA,FALSE,-4.60515e-4,-4.4758199999999997e-4,-4.29168e-4
p=0.9,E2+,AA,TRUE,-4.52481e-4,-4.39048e-4,-4.19679e-4
p=0.9,E2+,EA,FALSE,-4.84578e-4,-4.572135e-4,-4.43762e-4
p=0.9,E2+,EA,TRUE,-4.79131e-4,-4.5026e-4,-4.37679e-4
p=0.9,E4+,AA,FALSE,-4.61745e-4,-4.3970200000000004e-4,-4.07682e-4
p=0.9,E4+,AA,TRUE,-4.46252e-4,-4.258955e-4,-3.9458e-4
p=0.9,E4+,EA,FALSE,-4.89527e-4,-4.626205e-4,-4.27147e-4
p=0.9,E4+,EA,TRUE,-4.74974e-4,-4.474285e-4,-4.13968e-4
p=1,E2+,AA,FALSE,-4.45924e-4,-4.33485e-4,-4.15737e-4
p=1,E2+,AA,TRUE,-4.38159e-4,-4.2523699999999997e-4,-4.06563e-4
p=1,E2+,EA,FALSE,-4.69091e-4,-4.4278700000000004e-4,-4.2984e-4
p=1,E2+,EA,TRUE,-4.63831e-4,-4.36078e-4,-4.23963e-4
p=1,E4+,AA,FALSE,-4.47166e-4,-4.258145e-4,-3.94912e-4
p=1,E4+,AA,TRUE,-4.32237e-4,-4.124625e-4,-3.82241e-4
p=1,E4+,EA,FALSE,-4.74045e-4,-4.48023e-4,-4.13608e-4
p=1,E4+,EA,TRUE,-4.59962e-4,-4.3333e-4,-4.00864e-4
