Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to6,Feature log2 fold change topic 3to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000197785,ATAD3A,11,-0.6330,7,-1.1681,17,0.06217,21,0.44856,6,-1.4984,22,0.48696
ENSG00000205090,TMEM240,3,-4.4729,17,-1.9421,72,0.28133,73,0.26137,42,-0.6279,97,0.76602
ENSG00000160075,SSU72,53,-1.5217,83,-0.8453,140,-0.0709,169,0.30088,172,0.27055,181,0.39944
ENSG00000228594,FNDC10,0,-6.8020,8,-2.3517,50,0.53927,54,0.62197,15,-1.4985,46,0.23585
ENSG00000272106,AL691432.2,13,-1.8373,55,0.36553,38,-0.2943,33,-0.5040,107,1.48240,49,0.20978
ENSG00000197530,MIB2,0,-5.4026,23,-0.5978,38,0.25889,36,0.14364,30,-0.1715,45,0.52145
ENSG00000189339,SLC35E2B,9,-2.1665,22,-0.8726,35,-0.2777,55,0.65683,41,0.06880,50,0.40434
ENSG00000215790,SLC35E2A,24,-0.0874,18,-0.5460,24,-0.1257,30,0.35796,10,-1.3645,33,0.45261
ENSG00000008130,NADK,32,0.03533,24,-0.4305,26,-0.3632,32,0.04822,43,0.48662,38,0.34325
ENSG00000078369,GNB1,314,-0.2195,223,-0.7431,277,-0.5427,402,0.20967,614,0.85827,436,0.32928
ENSG00000187730,GABRD,0,-8.2786,2,-5.7615,82,-0.6238,141,0.46532,186,0.82197,201,1.09556
ENSG00000067606,PRKCZ,38,-2.1944,91,-0.8869,155,-0.1004,187,0.26738,262,0.76699,191,0.27926
ENSG00000162585,FAAP20,124,1.18607,80,0.45892,63,0.08320,68,0.23696,0,-7.6456,32,-1.0378
ENSG00000157933,SKI,93,0.80796,46,-0.3177,63,0.26584,46,-0.3625,69,0.31857,37,-0.6717
ENSG00000157916,RER1,96,0.48581,86,0.31655,46,-0.8568,71,0.02363,66,-0.1070,101,0.64388
ENSG00000157911,PEX10,0,-5.9827,33,0.60480,25,0.27099,25,0.18761,8,-1.4856,26,0.26907
ENSG00000149527,PLCH2,0,-6.2745,19,-0.5889,16,-1.0643,48,1.17963,2,-3.5312,52,1.17334
ENSG00000157881,PANK4,0,-5.7198,9,-1.0754,18,-0.1063,31,1.09846,21,0.22710,14,-0.4577
ENSG00000197921,HES5,0,-6.0103,3,-2.8941,24,0.11066,49,1.76886,2,-3.4292,13,-0.9178
ENSG00000157870,PRXL2B,14,-2.5770,25,-1.7582,96,0.44390,75,-0.1063,84,0.09801,109,0.56971
ENSG00000177133,PRDM16-DT,0,-5.9290,1,-4.3636,21,-0.0143,44,1.59323,20,-0.0756,10,-1.1602
ENSG00000158109,TPRG1L,63,-1.2500,50,-1.6109,122,-0.3434,152,0.10253,291,1.15675,190,0.49184
ENSG00000130764,LRRC47,31,-0.9991,42,-0.5447,49,-0.4398,72,0.35221,85,0.54232,78,0.43727
ENSG00000116198,CEP104,26,0.55676,30,0.79955,22,0.45602,6,-1.7811,2,-3.1307,26,0.65828
ENSG00000196581,AJAP1,0,-6.8637,13,-1.6906,26,-0.8956,46,0.17916,124,1.84362,60,0.65886
ENSG00000069424,KCNAB2,56,-2.1575,20,-3.6024,243,0.08691,240,0.04880,330,0.54881,354,0.75211
ENSG00000116254,CHD5,3,-6.0898,27,-3.0302,267,0.62790,220,0.14158,126,-0.7418,284,0.58990
ENSG00000116251,RPL22,1418,1.89571,1095,1.41462,310,-0.8160,368,-0.4447,262,-0.8879,245,-1.0620
ENSG00000116237,ICMT,28,-0.4130,12,-1.6617,34,-0.1889,41,0.21202,17,-1.1434,63,0.99631
ENSG00000158292,GPR153,22,0.64847,0,-4.8507,14,-0.0944,9,-0.7342,32,1.28127,18,0.36916
ENSG00000097021,ACOT7,14,-3.2100,44,-1.5689,83,-0.8183,129,0.04686,287,1.37106,221,1.05187
ENSG00000215788,TNFRSF25,57,0.92556,0,-6.6330,25,-0.4784,20,-0.7992,53,0.80491,56,1.02962
ENSG00000171680,PLEKHG5,0,-6.8827,7,-2.6561,38,-0.2247,35,-0.3269,78,0.99653,82,1.24686
ENSG00000162408,NOL9,0,-6.6240,12,-1.6170,43,0.44489,40,0.27612,24,-0.6105,47,0.50899
ENSG00000162413,KLHL21,32,-0.0551,36,0.11439,33,-0.0236,26,-0.4863,31,-0.1413,47,0.59398
ENSG00000116273,PHF13,0,-5.8510,13,-0.6447,17,-0.3275,32,0.93220,8,-1.3871,29,0.62867
ENSG00000041988,THAP3,0,-5.3615,19,0.41040,12,-0.3619,19,0.59863,3,-1.9925,22,0.75330
ENSG00000007923,DNAJC11,0,-6.3355,18,-0.8871,33,0.11764,30,-0.0870,49,0.69063,45,0.60726
ENSG00000171735,CAMTA1,150,-0.4100,81,-1.3376,202,0.07906,268,0.64709,91,-1.1597,203,0.07036
ENSG00000049245,VAMP3,101,1.52320,170,2.54814,22,-1.1204,36,-0.2263,0,-8.6693,8,-2.3903
ENSG00000049246,PER3,28,-0.0219,36,0.34326,25,-0.2690,36,0.46298,17,-0.8214,27,-0.0982
ENSG00000116288,PARK7,387,1.09239,227,0.21537,104,-1.2395,248,0.44675,337,0.85981,135,-0.6449
ENSG00000116285,ERRFI1,0,-5.7733,13,-0.5577,17,-0.2519,24,0.41313,15,-0.4250,32,0.91350
ENSG00000162426,SLC45A1,1,-4.7955,0,-8.5138,26,-0.1507,34,0.40764,16,-0.8390,56,1.30668
ENSG00000142599,RERE,61,-1.1362,79,-0.7461,102,-0.4763,155,0.37033,228,0.92400,152,0.28780
ENSG00000074800,ENO1,219,-1.1869,307,-0.6775,336,-0.7036,562,0.32716,992,1.20678,585,0.36317
ENSG00000171612,SLC25A33,0,-5.8766,15,-0.9505,16,-0.9816,51,1.36494,39,0.54679,28,0.05777
ENSG00000188807,TMEM201,0,-5.4912,14,-0.1631,17,0.18215,18,0.20479,0,-7.2395,27,0.97922
ENSG00000171608,PIK3CD,25,0.75449,5,-1.5583,23,0.93472,13,-0.3026,0,-7.2967,12,-0.3570
ENSG00000171603,CLSTN1,228,-1.3458,141,-2.0561,436,-0.4856,587,0.11906,1033,1.02248,859,0.80742
ENSG00000178585,CTNNBIP1,33,0.02649,38,0.22659,49,0.98059,28,-0.3149,2,-3.7863,20,-0.7758
ENSG00000162441,LZIC,0,-6.2898,73,1.61035,20,-0.6559,30,0.14381,27,-0.0239,32,0.22492
ENSG00000130939,UBE4B,61,0.39608,45,-0.0576,42,-0.2406,43,-0.1832,46,-0.0513,59,0.39194
ENSG00000054523,KIF1B,29,-3.4318,340,0.23491,296,0.01897,308,0.09861,365,0.34796,338,0.24866
ENSG00000142657,PGD,41,-0.4691,41,-0.4946,47,-0.3701,85,0.85923,5,-3.3629,72,0.43849
ENSG00000241563,CORT,0,-6.5590,10,-1.7364,19,-1.1043,89,2.53467,6,-2.3853,22,-0.7267
ENSG00000160049,DFFA,35,0.32479,41,0.58203,23,-0.4194,36,0.45644,22,-0.3702,22,-0.4681
ENSG00000142655,PEX14,0,-6.3331,0,-5.6036,29,0.01579,39,0.59777,12,-1.2381,50,1.02187
ENSG00000120948,TARDBP,17,-2.2179,95,0.40332,45,-0.9749,80,0.14539,172,1.40364,92,0.38833
ENSG00000116649,SRM,35,-1.5940,62,-0.7646,86,-0.3407,128,0.45073,150,0.61672,123,0.33618
ENSG00000171824,EXOSC10,20,-0.4714,35,0.44680,19,-0.6712,41,0.86600,23,-0.2150,22,-0.3126
ENSG00000198793,MTOR,0,-6.6032,15,-1.2577,30,-0.3003,29,-0.3528,80,1.38360,57,0.92303
ENSG00000116661,FBXO2,45,-2.1479,133,-0.5283,160,-0.3363,248,0.56383,321,0.86907,185,-0.0233
ENSG00000132879,FBXO44,0,-8.5863,52,-1.4739,157,0.27916,136,-0.0313,145,0.07316,214,0.79196
ENSG00000116670,MAD2L2,9,-1.4934,34,0.48638,15,-0.9729,30,0.39336,41,0.79943,32,0.42461
ENSG00000177000,MTHFR,41,1.01617,12,-0.9482,24,0.20157,20,-0.1671,10,-1.1824,22,0.00554
ENSG00000011021,CLCN6,0,-7.8879,43,-1.0403,100,0.35996,99,0.30045,37,-1.2424,122,0.64607
ENSG00000116685,KIAA2013,39,0.13251,53,0.63459,35,-0.0315,32,-0.2011,12,-1.6329,44,0.35734
ENSG00000083444,PLOD1,113,2.76979,19,-0.3699,17,-0.7019,22,-0.2034,0,-7.9467,13,-0.9882
ENSG00000116688,MFN2,37,-1.3363,84,-0.0869,93,0.09651,82,-0.1499,96,0.12489,115,0.46912
ENSG00000116691,MIIP,0,-5.4248,9,-0.6974,13,-0.3634,28,1.32436,1,-3.7707,18,0.35191
ENSG00000048707,VPS13D,0,-6.6886,37,-0.1463,41,0.03118,41,0.00562,19,-1.1643,72,1.06742
ENSG00000162496,DHRS3,32,0.23776,26,-0.0773,35,0.59627,33,0.35610,0,-8.1120,15,-0.9473
ENSG00000116731,PRDM2,35,-0.8737,47,-0.4111,66,0.17186,52,-0.2935,99,0.77264,66,0.13612
ENSG00000189337,KAZN,23,-0.9577,79,0.93767,46,0.10505,63,0.73536,13,-1.7926,19,-1.3063
ENSG00000142634,EFHD2,39,-1.3935,41,-1.3379,234,2.93577,23,-2.4058,1,-6.5005,46,-1.2237
ENSG00000116138,DNAJC16,0,-6.2780,33,0.30662,28,0.07299,27,-0.0617,6,-2.1748,48,1.03919
ENSG00000197312,DDI2,0,-4.6649,16,-0.4332,26,0.44062,18,-0.3481,25,0.22545,30,0.54175
ENSG00000116786,PLEKHM2,0,-7.5131,23,-1.5946,89,0.71273,79,0.38281,53,-0.3217,59,-0.1903
ENSG00000065526,SPEN,52,0.10973,58,0.30550,49,0.03484,48,0.00574,30,-0.6990,48,0.00521
ENSG00000116809,ZBTB17,0,-4.2829,25,0.65079,13,-0.4329,22,0.61125,17,0.01431,18,0.12143
ENSG00000037637,FBXO42,50,0.96761,9,-1.6631,19,-0.6741,32,0.29378,16,-0.8156,40,0.68543
ENSG00000055070,SZRD1,125,2.18840,62,0.89200,22,-0.9362,36,0.05379,5,-2.6883,18,-1.1146
ENSG00000157191,NECAP2,87,2.63111,43,1.26162,11,-1.1434,18,-0.1653,0,-7.6524,5,-2.0320
ENSG00000058453,CROCC,55,1.52114,14,-0.6647,24,0.25128,15,-0.7163,2,-3.2222,25,0.20576
ENSG00000159363,ATP13A2,23,-2.4697,45,-1.5186,118,-0.0710,146,0.35824,159,0.42950,162,0.51413
ENSG00000117118,SDHB,14,-2.4147,56,-0.3526,63,-0.2199,81,0.28123,54,-0.3898,111,0.83712
ENSG00000117115,PADI2,0,-7.0825,332,3.84224,21,-1.5159,40,-0.3434,27,-0.8750,8,-2.7287
ENSG00000179051,RCC2,37,0.52446,28,0.08346,23,-0.2425,30,0.28706,11,-1.2742,27,0.07555
ENSG00000074964,ARHGEF10L,64,2.12416,6,-1.6748,22,0.38822,11,-0.8410,0,-5.2608,15,-0.3740
ENSG00000117154,IGSF21,0,-7.7969,55,-0.5748,154,1.82898,55,-0.6742,13,-2.7124,55,-0.6112
ENSG00000159423,ALDH4A1,1,-4.0245,11,-0.6966,19,0.16696,34,1.50405,0,-4.7378,9,-0.9736
ENSG00000169991,IFFO2,0,-4.3514,10,-0.6081,16,0.25424,19,0.48465,1,-3.3275,21,0.64841
ENSG00000127463,EMC1,0,-6.6235,19,-0.9622,31,-0.2805,52,0.82294,28,-0.3726,48,0.54880
ENSG00000053372,MRTO4,0,-6.5779,23,-0.6213,37,0.18160,34,0.00878,37,0.13412,49,0.65519
ENSG00000053371,AKR7A2,69,0.95679,44,0.22275,22,-1.0288,41,0.14790,92,1.44732,20,-1.0352
ENSG00000077549,CAPZB,399,0.82394,137,-0.8540,211,-0.2641,239,-0.0045,233,-0.0414,272,0.22022
ENSG00000173436,MICOS10,277,0.29461,263,0.21051,204,-0.2600,262,0.25139,268,0.23694,178,-0.4317
ENSG00000158747,NBL1,386,1.01145,42,-2.3903,240,0.33072,223,0.13865,45,-2.2988,193,-0.1200
ENSG00000169914,OTUD3,0,-5.6020,10,-0.8294,20,0.36686,22,0.52170,2,-3.2445,23,0.53176
ENSG00000162545,CAMK2N1,56,-3.9874,478,-0.8427,527,-0.8853,909,0.18720,2559,1.93689,989,0.31945
ENSG00000090432,MUL1,0,-6.1205,20,-0.3547,20,-0.3882,32,0.49649,27,0.16093,36,0.68878
ENSG00000183114,FAM43B,0,-5.9612,5,-2.2026,42,1.79691,18,-0.3723,0,-7.8106,18,-0.3053
ENSG00000158828,PINK1,128,-1.1037,206,-0.3795,248,-0.1299,279,0.11549,225,-0.2467,386,0.69038
ENSG00000244038,DDOST,107,2.21758,23,-0.3505,20,-0.7345,19,-0.7843,31,0.07358,28,-0.1166
ENSG00000117245,KIF17,0,-5.3948,2,-2.6728,19,0.55932,5,-1.6685,0,-6.5702,42,2.11209
ENSG00000189410,SH2D5,35,0.18673,2,-3.5849,24,-0.5270,20,-0.8136,97,1.91812,42,0.54576
ENSG00000127483,HP1BP3,200,0.46666,119,-0.3504,127,-0.3393,164,0.18953,160,0.10742,156,0.07439
ENSG00000075151,EIF4G3,40,-1.4802,72,-0.5964,124,0.33405,115,0.14939,82,-0.4098,122,0.24083
ENSG00000117298,ECE1,201,3.85411,28,-0.0692,12,-1.6445,16,-1.0817,0,-8.2010,13,-1.2401
ENSG00000076864,RAP1GAP,11,-4.1303,71,-1.3978,247,0.77462,142,-0.4209,80,-1.2202,282,0.83954
ENSG00000090686,USP48,69,1.24678,36,0.20012,22,-0.7583,36,0.24022,27,-0.2433,28,-0.2261
ENSG00000070831,CDC42,200,-0.1953,228,0.00632,199,-0.2695,238,0.09775,121,-0.9653,330,0.67616
ENSG00000173372,C1QA,415,4.94404,21,-1.1654,12,-2.3413,22,-1.2591,0,-8.8725,3,-4.0317
ENSG00000173369,C1QB,422,4.55636,35,-0.5708,18,-1.8569,27,-1.1254,0,-9.0107,2,-4.8480
ENSG00000004487,KDM1A,43,-0.1380,18,-1.4516,40,-0.3212,61,0.51411,42,-0.1789,59,0.40057
ENSG00000169641,LUZP1,95,1.10375,0,-7.2970,57,0.38493,37,-0.4764,31,-0.6917,57,0.27105
ENSG00000125944,HNRNPR,96,-0.2753,139,0.29954,79,-0.7432,129,0.21597,184,0.75328,130,0.20671
ENSG00000125945,ZNF436,0,-5.8705,8,-1.3453,21,0.01975,15,-0.5554,54,1.58347,28,0.56671
ENSG00000117318,ID3,1134,6.17414,46,-1.2981,25,-2.5821,5,-4.8126,0,-10.085,5,-4.6917
ENSG00000142676,RPL11,2109,2.57515,1246,1.52715,262,-1.2406,326,-0.7752,238,-1.1368,190,-1.5571
ENSG00000011007,ELOA,5,-1.9073,20,0.18547,18,0.05281,22,0.47865,0,-4.5936,23,0.49772
ENSG00000057757,PITHD1,1,-6.2885,119,-0.2425,125,-0.2132,145,0.08902,239,0.88252,184,0.50320
ENSG00000011009,LYPLA2,0,-7.0190,17,-1.5028,43,-0.1671,57,0.42257,52,0.16703,72,0.80313
ENSG00000117308,GALE,0,-5.4103,4,-1.7860,16,0.11176,15,-0.0332,12,-0.3653,28,1.16619
ENSG00000117305,HMGCL,43,1.58330,18,0.13533,15,-0.1612,15,-0.1890,0,-7.3962,16,-0.0771
ENSG00000189266,PNRC2,100,0.81988,47,-0.3885,52,-0.2912,69,0.26983,40,-0.6077,59,-0.0307
ENSG00000188529,SRSF10,78,0.59832,62,0.21606,42,-0.4961,47,-0.2340,80,0.62897,57,0.11173
ENSG00000001461,NIPAL3,1,-5.2297,155,1.82873,46,-0.2764,44,-0.3179,38,-0.5039,60,0.23062
ENSG00000133226,SRRM1,109,1.30871,93,1.02643,36,-0.6077,39,-0.4462,31,-0.7049,48,-0.0331
ENSG00000169504,CLIC4,427,3.15848,317,2.45213,23,-2.1828,32,-1.5689,0,-9.6317,9,-3.3350
ENSG00000117614,SYF2,164,1.72705,72,0.31990,42,-0.6541,42,-0.5914,48,-0.3183,62,0.10013
ENSG00000117616,RSRP1,162,1.15656,115,0.58366,51,-0.8694,64,-0.3916,75,-0.0869,103,0.45583
ENSG00000183726,TMEM50A,282,1.50200,146,0.38985,58,-1.2963,100,-0.2567,181,0.73253,117,0.03736
ENSG00000204178,MACO1,45,1.07024,8,-1.4906,24,0.04123,17,-0.5220,30,0.40436,24,0.06345
ENSG00000117643,MAN1C1,47,-0.0149,22,-1.1399,30,-0.8983,58,0.42557,76,0.77098,63,0.51920
ENSG00000162430,SELENON,60,0.45722,57,0.36700,47,0.07534,30,-0.7478,27,-0.7673,61,0.51890
ENSG00000117640,MTFR1L,15,-2.0163,39,-0.5913,59,0.04096,56,-0.0381,66,0.20599,84,0.67047
ENSG00000117632,STMN1,119,-2.8976,1003,0.31411,696,-0.3475,745,-0.1877,1126,0.50177,1303,0.84168
ENSG00000158008,EXTL1,37,-0.5638,2,-4.5212,59,0.24876,42,-0.4445,78,0.60395,79,0.71605
ENSG00000175087,PDIK1L,0,-5.6810,15,-0.3178,16,-0.2820,37,1.61984,0,-7.5307,14,-0.3910
ENSG00000142684,ZNF593,36,0.67972,23,-0.0191,18,-0.5433,31,0.61781,1,-3.7325,26,0.22917
ENSG00000142669,SH3BGRL3,404,1.29750,201,0.13612,182,-0.0260,135,-0.5703,45,-2.1272,214,0.26237
ENSG00000158062,UBXN11,0,-5.5993,7,-1.2574,19,0.22821,23,0.63692,16,-0.1324,18,0.07654
ENSG00000117682,DHDDS,0,-5.6635,8,-1.2475,22,0.41828,10,-0.9938,17,-0.0861,37,1.35555
ENSG00000198830,HMGN2,325,1.96584,204,1.12211,56,-1.1798,114,0.19659,62,-0.7777,40,-1.5200
ENSG00000117713,ARID1A,0,-7.3532,61,0.07007,54,-0.1860,69,0.31510,55,-0.1038,83,0.62616
ENSG00000204160,ZDHHC18,42,0.13628,11,-1.8264,43,0.27291,39,0.03506,22,-0.8689,47,0.37155
ENSG00000142751,GPN2,7,-1.1904,14,-0.2405,14,-0.3626,19,0.20618,7,-1.3333,31,1.08365
ENSG00000090273,NUDC,47,-1.4622,156,0.36481,101,-0.4094,136,0.18293,246,1.12431,111,-0.1823
ENSG00000253368,TRNP1,21,-1.0537,4,-3.5050,35,-0.3860,57,0.64416,47,0.18432,60,0.63692
ENSG00000090020,SLC9A1,61,0.98724,5,-2.6350,37,0.28330,17,-1.1544,16,-1.0826,56,0.98203
ENSG00000142784,WDTC1,37,0.00135,42,0.20882,41,0.26378,32,-0.2456,42,0.22365,29,-0.4081
ENSG00000186501,TMEM222,10,-3.1058,64,-0.3976,86,0.08884,106,0.48874,60,-0.4842,98,0.30507
ENSG00000158195,WASF2,136,2.46279,113,2.07668,21,-0.9068,18,-1.0792,1,-4.4653,7,-2.3370
ENSG00000126705,AHDC1,0,-7.2132,11,-2.3455,61,0.31396,54,0.04287,28,-0.9671,95,1.08892
ENSG00000126709,IFI6,603,2.29066,110,-0.6013,156,-0.0964,127,-0.4568,18,-3.2417,109,-0.6647
ENSG00000009780,FAM76A,0,-5.4876,15,-0.1175,19,0.40827,20,0.50749,1,-3.6084,18,0.25680
ENSG00000117758,STX12,0,-7.5645,75,0.13553,74,0.14827,71,0.05679,69,-0.0068,88,0.42562
ENSG00000117751,PPP1R8,4,-3.0568,38,0.23388,32,-0.0586,39,0.35355,15,-1.1453,45,0.57934
ENSG00000117748,RPA2,12,-1.8774,31,-0.4382,35,-0.3309,59,0.71170,46,0.16899,46,0.16036
ENSG00000126698,DNAJC8,192,0.75582,82,-0.5880,101,-0.3513,95,-0.4336,186,0.70074,146,0.33660
ENSG00000130770,ATP5IF1,259,-0.2923,208,-0.6271,193,-0.9380,367,0.32321,560,0.95124,420,0.53396
ENSG00000180098,TRNAU1AP,0,-5.2666,17,0.38830,15,0.17851,14,0.03093,0,-7.1170,22,0.92511
ENSG00000197989,SNHG12,0,-5.4144,19,0.39635,14,-0.1510,23,0.84002,9,-0.7997,14,-0.1008
ENSG00000120656,TAF12,69,2.34114,27,0.65072,14,-0.5518,4,-2.4672,14,-0.4021,20,0.17490
ENSG00000198492,YTHDF2,25,-1.4083,44,-0.5452,56,-0.2735,64,0.02775,71,0.17738,102,0.87814
ENSG00000116350,SRSF4,87,1.23744,36,-0.1861,34,-0.3797,50,0.38013,12,-1.8241,35,-0.2461
ENSG00000116353,MECR,39,0.41377,29,-0.0637,30,0.04405,26,-0.2389,5,-2.4560,42,0.62117
ENSG00000060656,PTPRU,0,-6.2926,10,-1.5269,68,3.08666,12,-1.4406,0,-8.1417,8,-1.9525
ENSG00000162511,LAPTM5,187,2.56480,61,0.50522,33,-0.5544,40,-0.1661,1,-5.1639,13,-1.9138
ENSG00000162512,SDC3,145,-0.4752,129,-0.6543,199,0.02162,211,0.13818,151,-0.4067,253,0.45171
ENSG00000134644,PUM1,18,-2.9573,57,-1.3043,142,0.13197,126,-0.1112,112,-0.2794,236,1.05433
ENSG00000121766,ZCCHC17,38,-1.6143,74,-0.6298,107,-0.0791,102,-0.1593,142,0.38945,173,0.79903
ENSG00000121769,FABP3,47,-1.2045,25,-2.1251,91,-0.2795,111,0.11031,85,-0.3195,200,1.21709
ENSG00000162517,PEF1,232,1.46625,53,-0.9132,75,-0.5154,72,-0.5231,132,0.50664,110,0.24305
ENSG00000084636,COL16A1,19,-1.0276,71,1.02447,36,-0.1227,40,0.10187,20,-0.9530,40,0.11680
ENSG00000121753,ADGRB2,41,-2.4043,51,-2.0987,220,0.14685,176,-0.2906,364,0.92738,302,0.69393
ENSG00000184007,PTP4A2,86,-1.1388,842,2.78974,132,-0.6424,109,-0.9148,110,-0.7702,142,-0.4089
ENSG00000121774,KHDRBS1,81,-0.5438,111,-0.0540,90,-0.5059,157,0.62713,94,-0.3192,133,0.25420
ENSG00000121775,TMEM39B,28,0.86054,1,-3.4363,27,1.31436,3,-2.6396,0,-7.3859,24,0.69367
ENSG00000025800,KPNA6,0,-6.1981,10,-1.4700,24,-0.1445,25,-0.1052,55,1.20482,39,0.70385
ENSG00000084652,TXLNA,0,-5.9016,27,0.35912,23,0.14066,23,0.13957,4,-2.2127,32,0.74391
ENSG00000084623,EIF3I,112,0.11813,76,-0.4788,82,-0.4938,116,0.20094,104,-0.0060,142,0.55339
ENSG00000175130,MARCKSL1,44,-2.4830,1169,2.97228,142,-0.9756,276,0.32624,70,-1.8303,63,-2.0775
ENSG00000160058,BSDC1,0,-7.3200,38,-0.6296,63,0.22851,58,0.02329,69,0.29617,76,0.50492
ENSG00000176261,ZBTB8OS,26,-0.6325,54,0.49418,27,-0.7717,59,0.81822,41,0.07040,35,-0.2117
ENSG00000162521,RBBP4,146,0.80356,81,-0.1373,53,-1.0090,116,0.53187,106,0.28339,87,-0.0396
ENSG00000162522,KIAA1522,3,-2.9070,4,-2.2452,14,-0.7777,37,1.16165,35,0.80064,23,0.12985
ENSG00000134684,YARS,14,-2.8006,38,-1.3760,74,-0.4740,135,0.75376,79,-0.2637,146,0.80073
ENSG00000116497,S100PBP,0,-5.6365,25,0.57745,11,-0.8121,27,0.88859,20,0.22349,19,0.12944
ENSG00000160097,FNDC5,0,-5.7182,2,-3.1576,19,0.03694,36,1.49037,0,-5.6233,18,-0.0311
ENSG00000121905,HPCA,31,-3.3233,34,-3.2208,389,0.64695,241,-0.3741,226,-0.4136,485,0.91442
ENSG00000121900,TMEM54,0,-6.4543,47,0.65919,38,0.46959,41,0.56232,4,-2.8205,23,-0.5287
ENSG00000004455,AK2,32,0.42389,65,1.61831,21,-0.3631,26,0.14006,0,-6.4389,18,-0.5055
ENSG00000142920,AZIN2,18,-0.8331,32,-0.0079,27,-0.3303,44,0.65773,28,-0.2241,32,0.00527
ENSG00000160094,ZNF362,42,1.04398,23,0.08922,25,0.24612,21,-0.0833,0,-7.8172,19,-0.2733
ENSG00000134686,PHC2,118,0.98733,123,1.06090,50,-0.4996,53,-0.3561,54,-0.2623,57,-0.1855
ENSG00000163866,SMIM12,11,-1.9073,29,-0.5157,30,-0.6622,51,0.42693,44,0.09486,69,0.94871
ENSG00000116544,DLGAP3,30,-1.3106,7,-3.4224,75,0.11909,75,0.08986,118,0.80326,88,0.37135
ENSG00000163867,ZMYM6,0,-5.2784,14,0.06677,12,-0.2185,16,0.32541,2,-2.4409,25,1.09320
ENSG00000116560,SFPQ,179,0.32800,185,0.38065,124,-0.3342,175,0.35652,98,-0.6085,133,-0.1538
ENSG00000146463,ZMYM4,143,1.81962,27,-0.8907,45,-0.1928,47,-0.0633,16,-1.6816,40,-0.3383
ENSG00000142687,KIAA0319L,66,0.68398,36,-0.2991,35,-0.4423,54,0.43104,37,-0.2382,40,-0.1450
ENSG00000020129,NCDN,28,-4.0198,80,-2.5010,291,-0.7448,366,-0.2695,1297,1.91791,701,0.93426
ENSG00000126067,PSMB2,0,-8.0819,93,-0.2043,90,-0.3426,126,0.34217,142,0.47021,149,0.61791
ENSG00000142686,C1orf216,15,-2.8163,25,-2.0899,84,-0.3663,109,0.18078,154,0.70157,170,0.98681
