Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to8,Feature log2 fold change topic 6to8
ENSG00000054523,KIF1B,263,-0.0091,285,0.12633,289,0.17854,241,-0.2047
ENSG00000142657,PGD,39,-0.1950,55,0.38585,48,0.19726,40,-0.2155
ENSG00000241563,CORT,47,-1.7827,783,4.27113,65,-1.2512,19,-3.3677
ENSG00000160049,DFFA,31,0.35947,31,0.30337,22,-0.2541,23,-0.2707
ENSG00000142655,PEX14,18,-0.6255,16,-0.7352,24,-0.0723,33,0.75185
ENSG00000120948,TARDBP,51,-0.3853,50,-0.3569,62,-0.0194,75,0.44082
ENSG00000271895,AL109811.2,6,-1.0806,10,-0.2626,13,0.27626,15,0.56276
ENSG00000116649,SRM,97,-0.5171,134,0.06959,130,0.01630,147,0.32203
ENSG00000171824,EXOSC10,24,-0.1538,18,-0.6022,23,-0.1846,31,0.48626
ENSG00000198793,MTOR,31,-0.3955,25,-0.6365,34,-0.2352,50,0.69653
ENSG00000204624,DISP3,13,0.06901,6,-1.2220,5,-1.4709,20,1.17823
ENSG00000116661,FBXO2,453,0.79803,313,0.02580,253,-0.3696,248,-0.4783
ENSG00000132879,FBXO44,136,-0.4441,168,-0.0550,154,-0.2229,213,0.50659
ENSG00000116663,FBXO6,15,0.31332,23,1.00197,9,-0.6784,10,-0.4020
ENSG00000116670,MAD2L2,37,0.14004,32,-0.0901,18,-1.1334,44,0.62803
ENSG00000177674,AGTRAP,32,2.18316,7,-1.0246,11,-0.3605,4,-2.0561
ENSG00000177000,MTHFR,19,0.06909,14,-0.3789,24,0.57092,15,-0.4122
ENSG00000011021,CLCN6,42,-0.6882,67,0.14177,89,0.76586,54,-0.2802
ENSG00000116685,KIAA2013,36,0.12068,22,-0.6485,35,0.07894,35,0.09204
ENSG00000083444,PLOD1,27,0.49028,7,-1.6139,20,-0.1443,23,0.18073
ENSG00000116688,MFN2,67,-0.3421,83,0.04453,80,0.00125,89,0.23101
ENSG00000116691,MIIP,14,-0.0002,11,-0.4778,13,-0.1283,16,0.29087
ENSG00000048707,VPS13D,38,-0.2356,33,-0.4014,50,0.31709,44,0.08153
ENSG00000162496,DHRS3,62,1.84435,23,-0.3594,17,-0.8717,15,-1.2551
ENSG00000116731,PRDM2,45,-0.5634,71,0.24210,61,-0.0275,70,0.30073
ENSG00000189337,KAZN,32,-0.1775,37,0.08046,51,0.78109,26,-0.6475
ENSG00000142634,EFHD2,128,-0.0411,91,-0.5892,311,2.11940,27,-2.8461
ENSG00000132906,CASP9,16,1.03838,6,-0.7653,6,-0.8362,9,-0.1009
ENSG00000116138,DNAJC16,20,-0.2106,26,0.18904,21,-0.1701,25,0.19854
ENSG00000197312,DDI2,14,-0.6477,21,0.07231,28,0.71394,18,-0.2168
ENSG00000116786,PLEKHM2,79,-0.2285,96,0.11445,91,0.03565,93,0.09112
ENSG00000065526,SPEN,39,0.36310,27,-0.2700,45,0.64747,22,-0.8405
ENSG00000116809,ZBTB17,18,0.02171,12,-0.6692,15,-0.2911,22,0.45122
ENSG00000185519,FAM131C,21,0.00442,39,1.02759,26,0.36749,12,-1.0625
ENSG00000037637,FBXO42,16,0.05576,11,-0.5425,17,0.16521,16,0.03854
ENSG00000055070,SZRD1,43,0.88969,32,0.20204,18,-0.8223,24,-0.3607
ENSG00000157191,NECAP2,27,1.50077,12,-0.2640,12,-0.2514,7,-1.3594
ENSG00000219481,NBPF1,14,0.23741,9,-0.5230,15,0.35832,11,-0.2972
ENSG00000058453,CROCC,15,-0.3520,19,0.06605,27,0.72885,15,-0.4378
ENSG00000238142,BX284668.5,22,0.26610,31,0.79766,13,-0.6419,17,-0.2270
ENSG00000159363,ATP13A2,98,-0.7035,196,0.51515,191,0.56031,127,-0.2782
ENSG00000117118,SDHB,114,-0.2797,170,0.41502,112,-0.3153,146,0.23142
ENSG00000117115,PADI2,74,1.90915,33,0.00707,19,-0.9915,15,-1.5006
ENSG00000179051,RCC2,15,-0.2388,10,-0.8543,16,-0.1337,21,0.58386
ENSG00000074964,ARHGEF10L,16,0.00248,20,0.42938,22,0.64851,10,-0.8856
ENSG00000117154,IGSF21,73,0.02853,53,-0.4941,101,0.67496,59,-0.4386
ENSG00000159423,ALDH4A1,62,1.22006,29,-0.2923,21,-0.9195,29,-0.4267
ENSG00000169991,IFFO2,10,-0.1328,6,-0.9279,16,0.90067,9,-0.3942
ENSG00000127481,UBR4,7,-0.5436,8,-0.2295,10,0.10126,11,0.40008
ENSG00000127463,EMC1,26,-0.2658,37,0.37432,32,0.15533,28,-0.1183
ENSG00000053372,MRTO4,28,-0.6389,45,0.23212,40,0.01551,45,0.31842
ENSG00000053371,AKR7A2,64,0.65153,35,-0.4747,43,-0.1282,41,-0.2885
ENSG00000040487,SLC66A1,11,0.19246,6,-0.7563,8,-0.4028,12,0.41730
ENSG00000077549,CAPZB,154,-0.2909,163,-0.1632,209,0.29109,184,0.04929
ENSG00000173436,MICOS10,534,0.15008,744,0.69793,440,-0.2196,421,-0.3551
ENSG00000158747,NBL1,204,-0.1254,253,0.24980,264,0.37924,185,-0.3616
ENSG00000169914,OTUD3,16,-0.3091,18,-0.0496,24,0.54360,17,-0.2217
ENSG00000162545,CAMK2N1,1137,-0.6485,1677,0.05621,946,-0.9637,2375,1.02277
ENSG00000090432,MUL1,27,0.03585,16,-0.8241,28,0.08694,29,0.20696
ENSG00000183114,FAM43B,15,0.14376,28,1.21132,15,0.11090,8,-1.1092
ENSG00000158828,PINK1,352,-0.0408,357,-0.0125,399,0.20517,339,-0.1332
ENSG00000244038,DDOST,28,-0.2938,34,0.04599,29,-0.2098,38,0.35360
ENSG00000117245,KIF17,13,-0.7274,8,-1.4189,29,0.80690,22,0.23184
ENSG00000189410,SH2D5,21,-0.8845,22,-0.6720,43,0.46107,41,0.44887
ENSG00000127483,HP1BP3,165,0.20434,162,0.13795,149,0.00865,133,-0.2486
ENSG00000075151,EIF4G3,56,-0.9949,108,0.15540,119,0.37536,109,0.25699
ENSG00000117298,ECE1,33,0.89872,16,-0.4506,12,-1.0514,22,0.05230
ENSG00000162551,ALPL,13,0.05057,5,-1.5070,27,1.62806,6,-1.3733
ENSG00000076864,RAP1GAP,92,-1.0533,129,-0.4079,232,0.68299,184,0.24640
ENSG00000090686,USP48,30,-0.2227,31,-0.1041,29,-0.2384,39,0.39023
ENSG00000218510,LINC00339,10,-0.4451,10,-0.3436,14,0.20594,14,0.29749
ENSG00000070831,CDC42,151,-0.7062,186,-0.2906,308,0.66287,226,0.03273
ENSG00000173372,C1QA,69,1.32553,30,-0.3858,30,-0.3861,24,-0.9019
ENSG00000159189,C1QC,53,1.27065,37,0.39433,22,-0.5415,16,-1.1759
ENSG00000173369,C1QB,97,1.12970,65,0.20127,39,-0.7130,41,-0.7112
ENSG00000004487,KDM1A,33,-0.6287,34,-0.5048,58,0.42036,53,0.28729
ENSG00000169641,LUZP1,27,-0.2861,30,-0.0579,44,0.69377,26,-0.3881
ENSG00000125944,HNRNPR,106,-0.0858,93,-0.2976,105,-0.1071,125,0.27442
ENSG00000125945,ZNF436,11,-1.0790,13,-0.6769,20,0.00452,28,0.91670
ENSG00000249087,ZNF436-AS1,18,0.28692,14,-0.2368,16,0.01594,15,-0.1516
ENSG00000117318,ID3,82,4.43500,1,-4.2421,5,-2.3544,3,-3.4189
ENSG00000142676,RPL11,1108,1.13061,564,-0.2481,548,-0.3364,458,-0.7581
ENSG00000011007,ELOA,15,0.05199,8,-0.9589,18,0.50614,13,-0.1345
ENSG00000057757,PITHD1,150,-0.6700,192,-0.1902,220,0.03701,266,0.50953
ENSG00000011009,LYPLA2,32,-0.6822,45,-0.0523,49,0.10021,55,0.41046
ENSG00000117308,GALE,16,-0.2444,16,-0.1860,11,-0.8401,25,0.80548
ENSG00000117305,HMGCL,23,0.06427,13,-0.8545,20,-0.1984,26,0.40793
ENSG00000179163,FUCA1,8,-0.8154,11,-0.3054,15,0.24110,16,0.47371
ENSG00000189266,PNRC2,58,0.21865,47,-0.1783,54,0.06271,49,-0.1549
ENSG00000188529,SRSF10,41,-0.1886,25,-0.9624,43,-0.0979,57,0.55155
ENSG00000001461,NIPAL3,57,0.34738,50,0.08452,59,0.42501,33,-0.7609
ENSG00000133226,SRRM1,47,0.29230,41,0.02513,40,-0.0110,36,-0.2545
ENSG00000169504,CLIC4,46,3.01369,4,-2.0553,9,-0.8327,3,-2.7871
ENSG00000117614,SYF2,62,0.24874,69,0.40545,44,-0.3778,51,-0.1369
ENSG00000117616,RSRP1,56,-0.2268,36,-0.8883,60,-0.1060,79,0.56476
ENSG00000183726,TMEM50A,81,-0.2435,70,-0.4397,64,-0.6576,126,0.79799
ENSG00000204178,MACO1,14,-0.7629,13,-0.7975,31,0.70910,24,0.19487
ENSG00000117643,MAN1C1,23,-1.2803,24,-1.0859,19,-1.5919,94,2.07610
ENSG00000162430,SELENON,51,0.08536,56,0.22921,40,-0.3402,50,0.07272
ENSG00000117640,MTFR1L,55,-0.4082,97,0.58516,52,-0.5104,80,0.34873
ENSG00000117632,STMN1,1019,-0.9232,1551,-0.1550,2123,0.43934,1935,0.30382
ENSG00000158008,EXTL1,47,-0.0972,49,-0.0446,49,-0.0336,53,0.12261
ENSG00000175087,PDIK1L,6,-1.3769,9,-0.6154,24,1.33195,12,-0.1898
ENSG00000142684,ZNF593,46,0.08417,80,1.01053,46,0.05789,30,-0.7884
ENSG00000142669,SH3BGRL3,376,0.20065,414,0.33412,405,0.35021,246,-0.6817
ENSG00000158062,UBXN11,25,-0.3172,36,0.34743,37,0.47972,25,-0.3650
ENSG00000117682,DHDDS,14,-0.3692,15,-0.2848,19,0.15197,20,0.26926
ENSG00000198830,HMGN2,204,0.78467,127,-0.1557,92,-0.7499,133,-0.1173
ENSG00000117713,ARID1A,52,0.01667,39,-0.4245,53,0.04906,54,0.12307
ENSG00000060642,PIGV,13,0.36796,11,0.10831,15,0.59565,6,-0.9998
ENSG00000204160,ZDHHC18,20,-0.5028,21,-0.3631,33,0.46154,28,0.12186
ENSG00000142751,GPN2,11,-0.8402,13,-0.4318,21,0.32437,21,0.46382
ENSG00000198746,GPATCH3,9,-0.2245,11,0.09749,10,-0.0002,11,0.12481
ENSG00000090273,NUDC,162,-0.2890,222,0.26962,147,-0.4675,224,0.41535
ENSG00000253368,TRNP1,60,-0.1646,85,0.44592,74,0.23264,57,-0.3079
ENSG00000090020,SLC9A1,12,-1.1655,13,-0.9204,37,0.94179,26,0.21240
ENSG00000142784,WDTC1,37,0.36336,26,-0.2881,40,0.51359,22,-0.6781
ENSG00000186501,TMEM222,80,-0.2477,98,0.12471,94,0.06896,94,0.07316
ENSG00000158195,WASF2,61,1.92807,25,-0.1310,13,-1.2784,15,-1.2217
ENSG00000126705,AHDC1,38,-0.4960,36,-0.5317,84,1.08411,41,-0.4523
ENSG00000126709,IFI6,116,0.08457,112,0.00460,172,0.90911,68,-1.0183
ENSG00000009780,FAM76A,13,-0.2876,9,-0.7963,19,0.46081,16,0.12189
ENSG00000117758,STX12,83,-0.1800,102,0.17362,127,0.66714,70,-0.5703
ENSG00000117751,PPP1R8,31,-0.0182,26,-0.3122,38,0.36259,30,-0.1613
ENSG00000117748,RPA2,48,-0.3485,60,0.06811,49,-0.3232,70,0.45850
ENSG00000126698,DNAJC8,127,-0.1338,109,-0.3587,131,-0.0685,154,0.30416
ENSG00000130770,ATP5IF1,536,-0.5545,967,0.48802,484,-0.7315,929,0.62681
ENSG00000242125,SNHG3,19,0.02470,12,-0.6906,17,-0.1906,22,0.38565
ENSG00000180098,TRNAU1AP,29,0.55615,9,-1.3586,26,0.32248,19,-0.3232
ENSG00000197989,SNHG12,17,0.25019,16,0.09261,15,-0.0649,14,-0.2055
ENSG00000120656,TAF12,20,0.44997,13,-0.3661,17,0.03857,14,-0.2697
ENSG00000198492,YTHDF2,56,-0.3564,60,-0.1963,86,0.49427,65,-0.0740
ENSG00000116329,OPRD1,9,-0.5423,15,0.36896,11,-0.1186,13,0.28957
ENSG00000116350,SRSF4,47,0.12879,34,-0.3971,46,0.06737,44,0.00719
ENSG00000116353,MECR,31,-0.3265,52,0.60624,37,-0.0024,35,-0.0824
ENSG00000060656,PTPRU,18,-0.1435,14,-0.5206,42,1.79819,7,-1.8729
ENSG00000162511,LAPTM5,65,1.60174,30,-0.1054,17,-1.1269,21,-0.8676
ENSG00000162512,SDC3,144,0.10458,116,-0.2661,126,-0.1512,145,0.14673
ENSG00000134644,PUM1,97,-0.5958,91,-0.6222,207,0.90366,126,-0.1542
ENSG00000060688,SNRNP40,23,-0.1114,21,-0.2110,22,-0.1745,28,0.30876
ENSG00000121766,ZCCHC17,117,-0.3792,125,-0.2327,137,-0.0960,173,0.44678
ENSG00000121769,FABP3,144,-0.5780,258,0.44920,216,0.17357,201,0.03701
ENSG00000162517,PEF1,90,-0.4172,97,-0.2576,124,0.18123,127,0.26667
ENSG00000084636,COL16A1,41,0.25171,16,-1.2525,55,0.87439,27,-0.6254
ENSG00000121753,ADGRB2,172,-0.7979,235,-0.2089,283,0.10869,331,0.53310
ENSG00000184007,PTP4A2,185,0.73369,157,0.31419,122,-0.1150,89,-0.7931
ENSG00000121774,KHDRBS1,107,-0.0319,125,0.22404,94,-0.2809,115,0.12693
ENSG00000121775,TMEM39B,13,-0.7824,31,0.74181,20,0.06494,20,0.06912
ENSG00000025800,KPNA6,23,-0.7225,37,0.12295,45,0.58261,33,-0.0659
ENSG00000084652,TXLNA,25,0.31916,9,-1.2334,24,0.20935,21,-0.0257
ENSG00000160050,CCDC28B,30,0.42649,30,0.35847,17,-0.5966,23,-0.1233
ENSG00000084623,EIF3I,91,-0.2492,94,-0.1715,104,-0.0050,116,0.26583
ENSG00000116478,HDAC1,20,1.38878,8,-0.3457,6,-0.8417,8,-0.6538
ENSG00000175130,MARCKSL1,506,1.30652,300,0.11246,224,-0.4094,159,-1.1425
ENSG00000225828,FAM229A,18,0.97035,11,-0.0680,11,-0.1280,8,-0.8382
ENSG00000160058,BSDC1,62,-0.4092,58,-0.4510,87,0.23904,87,0.28554
ENSG00000176261,ZBTB8OS,55,-0.2708,72,0.20430,54,-0.2935,72,0.32083
ENSG00000162521,RBBP4,94,-0.0697,58,-0.8159,80,-0.3716,125,0.61597
ENSG00000162520,SYNC,12,-0.2716,18,0.49768,9,-0.7111,16,0.42767
ENSG00000162522,KIAA1522,23,-0.2751,41,0.73820,16,-0.9371,31,0.40844
ENSG00000134684,YARS,59,-0.8199,83,-0.1749,111,0.34690,107,0.33691
ENSG00000116497,S100PBP,21,1.13178,6,-1.1187,11,-0.2899,10,-0.4721
ENSG00000160097,FNDC5,10,-1.0694,16,-0.2835,22,0.29468,23,0.55025
ENSG00000121905,HPCA,182,-1.0107,224,-0.5780,450,0.69794,359,0.26987
ENSG00000121900,TMEM54,69,0.34862,46,-0.3869,66,0.25489,49,-0.3573
ENSG00000116514,RNF19B,14,-0.9150,25,0.09412,13,-1.0827,37,1.21145
ENSG00000004455,AK2,35,0.82648,21,-0.1688,22,-0.1047,18,-0.6320
ENSG00000142920,AZIN2,16,-0.8084,24,-0.1577,31,0.37168,30,0.30233
ENSG00000160094,ZNF362,18,-0.0201,8,-1.3019,24,0.48635,19,0.02777
ENSG00000134686,PHC2,59,-0.2570,51,-0.4680,95,0.68410,62,-0.2231
ENSG00000121904,CSMD2,10,0.13212,6,-0.7059,11,0.43778,8,-0.2144
ENSG00000163866,SMIM12,50,-0.3546,70,0.22739,58,-0.0834,66,0.21561
ENSG00000116544,DLGAP3,67,-0.3115,98,0.37131,57,-0.5753,94,0.44453
ENSG00000163867,ZMYM6,13,-0.2097,8,-1.0241,18,0.32828,16,0.24518
ENSG00000116560,SFPQ,173,-0.0108,176,0.01319,157,-0.1948,186,0.15122
ENSG00000146463,ZMYM4,30,-0.2864,40,0.25864,33,-0.0881,37,0.15609
ENSG00000142687,KIAA0319L,44,-0.3404,28,-0.9816,56,0.12086,65,0.49459
ENSG00000020129,NCDN,467,-0.8815,659,-0.2382,520,-0.6981,1156,1.13379
ENSG00000126067,PSMB2,94,-0.5896,150,0.24209,123,-0.1021,151,0.37244
ENSG00000142686,C1orf216,68,-0.8995,129,0.23358,105,-0.1338,141,0.57275
ENSG00000134698,AGO4,11,-0.5170,16,0.05601,15,-0.0305,18,0.36394
ENSG00000092847,AGO1,31,0.22274,28,0.02085,33,0.31129,22,-0.4801
ENSG00000126070,AGO3,18,0.36760,15,0.08856,16,0.14958,11,-0.5029
ENSG00000116863,ADPRHL2,19,0.04945,12,-0.6357,15,-0.3751,22,0.47574
ENSG00000054116,TRAPPC3,59,-0.3362,66,-0.1111,64,-0.1736,84,0.42520
ENSG00000116871,MAP7D1,156,-0.3474,192,0.04043,138,-0.5603,240,0.62109
ENSG00000054118,THRAP3,48,-0.2963,50,-0.2020,65,0.25557,59,0.10002
ENSG00000196182,STK40,18,-0.2052,13,-0.6174,25,0.44950,20,0.01672
ENSG00000181817,LSM10,66,0.11366,79,0.40285,52,-0.3369,61,-0.0477
ENSG00000116885,OSCP1,13,-0.7736,19,-0.0741,14,-0.5701,28,0.93346
ENSG00000116898,MRPS15,66,-0.0157,60,-0.1620,69,0.05347,68,0.04172
ENSG00000163873,GRIK3,23,-0.5477,52,0.89100,57,1.35306,12,-1.8231
ENSG00000163875,MEAF6,85,-0.6050,102,-0.2414,149,0.45488,126,0.14490
ENSG00000163877,SNIP1,12,-0.1410,12,-0.1761,16,0.38245,12,-0.1388
ENSG00000163879,DNALI1,10,0.18703,4,-1.2029,4,-1.3190,14,1.01848
ENSG00000134697,GNL2,13,0.19224,9,-0.4479,13,0.29008,10,-0.2209
