"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","adj.P.Val.SpD","contrast"
"L5_Sp09D03","CPNE4",-1.17065237171021,6.26061328458182,-5.62571454413067,6.41074038467934e-06,0.0740289159129254,3.4761242996425,-4.51236941780573,0.0838909486739138,"E2E2_E3E4"
"L5_Sp09D03","CCN2",3.02827424176391,4.86001311238795,5.80600914948531,1.00836640445972e-05,0.081128119070807,3.15276170084773,4.41537155443555,0.131944744023555,"E2E2_E3E4"
"L5_Sp09D03","ANKRD2",-1.98741812561798,1.87617582602929,-5.69685202867048,1.48508610246826e-05,0.0941213126495059,2.48320410707272,-4.33088888969848,0.194308665646947,"E2E2_E3E4"
"L6_Sp09D04","CLMP",2.57840774468903,3.00662512439365,5.58979028722553,6.90096164746679e-06,0.0740289159129254,3.53815263400873,4.49672047445275,0.0922382533800411,"E2E2_E3E4"
"L6_Sp09D04","CNTN6",-1.54762820818611,2.17254053657829,-5.75737804638754,1.3648498678334e-05,0.0941213126495059,2.67791730524226,-4.34944101671407,0.182398536337256,"E2E2_E3E4"
"L6_Sp09D04","C11orf87",-1.05580367276901,5.68512355443909,-5.71442488241192,7.96671517250546e-06,0.0769154483044712,3.32851174388964,-4.46607644865736,0.106475148280535,"E2E2_E3E4"
"LD_Sp09D02","EPHX4",-1.04326422211626,4.04015345827505,-6.47981520116743,3.45105500310304e-06,0.0478646729161627,3.48716313595509,-4.64196848905392,0.0492879675543176,"E2E2_E3E4"
"Vasc_Sp09D08","SSTR1",-1.76891709530161,4.36542792962709,-5.20451003070895,1.70821575495335e-05,0.097012587222192,2.7112696355634,-4.29996955440548,0.135393180737603,"E2E2_E3E4"
"Vasc_Sp09D08","ENC1",-1.47728950233402,9.1427513966658,-5.5117798223235,9.86700472427887e-06,0.081128119070807,3.19881806938579,-4.42006756343604,0.0782256134540829,"E2E2_E3E4"
"Vasc_Sp09D08","CIT",-1.08962356883357,5.347624397564,-5.65909037146803,3.47039453124043e-06,0.0478646729161627,4.24017417289664,-4.64081396635653,0.0275167582382054,"E2E2_E3E4"
"Vasc_Sp09D08","NOL4",-1.51269763220996,4.34558385357631,-5.12974956873813,1.55981708449039e-05,0.0941213126495059,2.91747280446926,-4.3200671792185,0.123646700287553,"E2E2_E3E4"
"Vasc_Sp09D08","LST1",1.72561160661302,4.33345624320164,5.92196066463683,1.65078125312937e-06,0.0478646729161627,4.97717397061956,4.79205925893443,0.0130906953373159,"E2E2_E3E4"
"Inhib_Sp09D09","SOCS2",-1.56271529273595,2.43115375008187,-5.70169302657793,1.58943654695381e-05,0.188860390921531,1.28059273360244,-4.31591427941522,0.18513756898918,"E2E2_E2E3"
"L1_Sp09D05","ESCO1",-1.23027888432956,2.9221322748512,-5.51153359178745,6.99464174544287e-06,0.188860390921531,-2.4435808306947,-4.49385149032656,0.0783679661159419,"E2E2_E2E3"
"LD_Sp09D02","EPHX4",-0.938043543731915,4.04015345827505,-6.1172930480582,7.414433114149e-06,0.188860390921531,2.73680388707151,-4.48143063707175,0.105892933736276,"E2E2_E2E3"
"LD_Sp09D02","SLC2A4RG",0.792003820334832,4.27769032276104,5.37257895463283,1.31209377743754e-05,0.188860390921531,2.5468180427358,4.35807841250202,0.187380112355855,"E2E2_E2E3"
"Vasc_Sp09D08","ELMOD1",-1.172952428997,5.89852875525205,-5.21260693697665,1.23255234172275e-05,0.188860390921531,3.11169016310048,-4.37174889596895,0.0977414006986139,"E2E2_E2E3"
"Vasc_Sp09D08","NOP53",1.1883803654168,6.97270968528866,5.37876453411063,1.37824001820128e-05,0.188860390921531,3.1340727892521,4.34729943715139,0.10928065104318,"E2E2_E2E3"
"Inhib_Sp09D09","LINC00622",-1.4231092998269,3.16273959814432,-5.42557021393998,1.05963176487141e-05,0.169672853635485,2.75341534888576,-4.404632873127,0.123415311654573,"E2E3_E3E4"
"Inhib_Sp09D09","OXA1L",0.763796089067772,5.21328583253125,5.5050370882953,8.61964320645058e-06,0.169672853635485,3.00811506005881,4.44918578551565,0.100401604068736,"E2E3_E3E4"
"L2.3_Sp09D01","TMEM163",1.29161897268954,4.53892715023439,5.78100442941859,6.26441203762037e-06,0.169672853635485,3.93772420301289,4.51726286448805,0.0797522296509449,"E2E3_E3E4"
"L2.3_Sp09D01","AC007952.4",-1.70385623968791,2.12111796310976,-5.74205373585691,1.47726072030822e-05,0.178279516878597,2.8309085776699,-4.33205195085934,0.188055289695237,"E2E3_E3E4"
"LD_Sp09D02","UNC13C",-0.668171545721495,4.64594828704164,-6.55651753519193,3.5463060253355e-06,0.169672853635485,4.03869100301834,-4.63634108617988,0.0506483426538417,"E2E3_E3E4"
"LD_Sp09D02","SLC2A4RG",-0.598045717986651,4.27769032276104,-5.41976655210782,1.23020112220951e-05,0.169672853635485,3.05881510550178,-4.37216567677049,0.17568502226274,"E2E3_E3E4"
"WM_Sp09D06","IER5",-1.30335492718106,3.77143983263641,-5.58552678329514,6.65026601917071e-06,0.169672853635485,-2.76213099071117,-4.50458536872331,0.0612090484404472,"E2E3_E3E4"
"WM.uf_Sp09D07","GPR37",1.9460384389812,5.85777830551873,5.35297909998553,1.10636395287737e-05,0.169672853635485,2.9750909109704,4.3952675585885,0.0342419643415546,"E2E3_E3E4"
"WM.uf_Sp09D07","CTSH",1.29556472416239,5.76461875888219,4.92014822550709,3.87957451493469e-05,0.201693526572155,2.07381946811087,4.11453692715781,0.120034035492079,"E2E3_E3E4"
"WM.uf_Sp09D07","CLNS1A",-1.05243870886853,5.99470509948494,-4.70445061997904,4.48240664015912e-05,0.99990732249819,0.504797525887902,-4.08109480219275,0.138730485512925,"E4E4_anyE2"
"Inhib_Sp09D09","CCN2",-1.35887982682216,4.73786168774256,-5.88952197076285,7.80052744989386e-06,0.0778399348383894,2.45085124543124,-4.47058680649702,0.0908527432089138,"anyE4_anyE2"
"Inhib_Sp09D09","LINC00622",1.45388159269794,3.16273959814432,5.79125592626214,4.1280664380581e-06,0.0778399348383894,3.19365825158629,4.60482813168456,0.0480837178705007,"anyE4_anyE2"
"L2.3_Sp09D01","SLCO3A1",-0.989716548917301,4.4449072733982,-6.75792070127732,1.33536523866494e-06,0.0778399348383894,5.04550962294164,-4.83441682282302,0.0170005348534434,"anyE4_anyE2"
"L2.3_Sp09D01","ARL4A",0.937359217021934,5.44455577426074,5.58101248410748,9.88675885773837e-06,0.0778399348383894,3.31573046400916,4.41963534023838,0.125858440259009,"anyE4_anyE2"
"L2.3_Sp09D01","ERBB3",-1.89731227390091,3.32885411065111,-5.40183091097625,1.07787405217516e-05,0.0778399348383894,3.21938014609017,-4.40093098819179,0.137202588101376,"anyE4_anyE2"
"L2.3_Sp09D01","FLRT1",-1.02971193185477,3.38789373288326,-5.38447956801254,1.12874597366794e-05,0.0778399348383894,3.18078296272069,-4.39091512469205,0.143666787528456,"anyE4_anyE2"
"L5_Sp09D03","BCAM",1.30341670224689,2.34702984181272,5.655054810313,1.39609744121231e-05,0.082878804778467,3.05604760917345,4.34447405109786,0.182665389208219,"anyE4_anyE2"
"L5_Sp09D03","LINC00622",1.20593332553345,3.30544485035171,5.49770923218884,8.58163637068709e-06,0.0778399348383894,3.40503677471887,4.45013491003904,0.112299293546811,"anyE4_anyE2"
"L5_Sp09D03","CPNE4",0.773856185791932,6.26061328458182,5.44642476539843,1.08989908293903e-05,0.0778399348383894,3.17542536800547,4.39852333767626,0.142613295002572,"anyE4_anyE2"
"L6_Sp09D04","AL365361.1",1.15010414825384,3.4787721912188,5.37083623277208,1.38223142948316e-05,0.082878804778467,2.9856179060947,4.34666490197144,0.184707585921835,"anyE4_anyE2"
"L6_Sp09D04","NWD2",1.28096422101482,2.87689680709921,5.723221698642,9.46538403935512e-06,0.0778399348383894,3.09065013430256,4.42903915216312,0.126504857685981,"anyE4_anyE2"
"L6_Sp09D04","CCDC85A",0.956182257148612,4.74037531626481,5.85007426397603,5.13738707937226e-06,0.0778399348383894,3.68425094465584,4.55909769154095,0.0686663157028896,"anyE4_anyE2"
"L6_Sp09D04","CPNE4",1.10986895721019,5.40887652152644,5.41422836557838,1.09509054003861e-05,0.0778399348383894,3.2051386843822,4.39749173393058,0.14634789977076,"anyE4_anyE2"
"LD_Sp09D02","AC020928.1",-0.875202010255136,1.58724931014708,-5.72273919799181,9.82870592844835e-06,0.0778399348383894,3.39267280124574,-4.42090790622463,0.140363749364171,"anyE4_anyE2"
"LD_Sp09D02","GAL3ST1",-0.93520162325509,2.95155031710469,-5.8659520063997,3.46855301031745e-06,0.0778399348383894,4.03799236490407,-4.64092363456201,0.0495378740933538,"anyE4_anyE2"
"Vasc_Sp09D08","CIT",0.730316412742264,5.347624397564,5.08853757575735,1.75362002470754e-05,0.0835381642421808,2.76970226292938,4.29415238435244,0.139062067959308,"anyE4_anyE2"
"Vasc_Sp09D08","CMTM5",-1.19241284164595,4.93317746604738,-5.01338744557382,2.17100803421737e-05,0.0911313659441525,2.56544274610151,-4.24653611096265,0.172139227033096,"anyE4_anyE2"
"WM.uf_Sp09D07","GPR37",-1.77757561234208,5.85777830551873,-5.3356115100827,9.97652992390539e-06,0.0778399348383894,2.5984732443316,-4.41768147101994,0.0308773601144872,"anyE4_anyE2"
"Inhib_Sp09D09","CCN2",1.5620911275685,4.73786168774256,6.00590861063335,6.01547456243735e-06,0.235511540503028,2.51205028438565,4.52584469450051,0.0700682477032702,"E2E2_anyE4"
"L1_Sp09D05","ESCO1",-1.05817648176007,2.9221322748512,-5.18484515664614,1.70041646039019e-05,0.235511540503028,0.672552916363935,-4.30098359995273,0.190514660222117,"E2E2_anyE4"
"Vasc_Sp09D08","LST1",1.29116744405601,4.33345624320164,4.99994387086904,2.25551226283323e-05,0.235511540503028,2.60669509764077,4.23796867782167,0.178839567320047,"E2E2_anyE4"
"Vasc_Sp09D08","CIT",-0.95630186141843,5.347624397564,-5.25584745984252,1.09002383263448e-05,0.235511540503028,3.08156752352268,-4.39849849347644,0.0864388899279146,"E2E2_anyE4"
"L6_Sp09D04","EME2",-0.655082535906714,4.35769308160511,-5.95791234422994,8.66199691095152e-06,0.393609252863787,2.79982132960419,-4.44813280935898,0.115776250711778,"E2E3_anyE4"
"WM.uf_Sp09D07","GPR37",1.71678595729121,5.85777830551873,5.42563934354882,1.00188821242377e-05,0.393609252863787,3.22851026980325,4.41676549749888,0.0310084401745157,"E2E3_anyE4"
