iter	run_hash	mediation_run	donor_key	n_donors	baselineDEGs	mediationCarrierDEGs	mediationMDEGs	medSigBaselineDEGs	mediated_n	pass_both	loss	gain	loss_file	gain_file	mediated_file
11	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000101333|PLCB4	80c146156f90daa41a2eef910b7d1c83	30	1022	379	0	0	0	FALSE	693	50	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000101333_PLCB4.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000101333_PLCB4.gain.txt	
12	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000104450|SPAG1	80c146156f90daa41a2eef910b7d1c83	30	1022	83	0	0	0	FALSE	951	12	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000104450_SPAG1.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000104450_SPAG1.gain.txt	
13	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000112309|B3GAT2	80c146156f90daa41a2eef910b7d1c83	30	1022	72	0	0	0	FALSE	960	10	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000112309_B3GAT2.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000112309_B3GAT2.gain.txt	
14	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000115461|IGFBP5	80c146156f90daa41a2eef910b7d1c83	30	1022	817	0	0	0	FALSE	458	253	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000115461_IGFBP5.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000115461_IGFBP5.gain.txt	
15	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000117643|MAN1C1	80c146156f90daa41a2eef910b7d1c83	30	1022	1336	0	0	0	FALSE	216	530	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000117643_MAN1C1.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000117643_MAN1C1.gain.txt	
16	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000119927|GPAM	80c146156f90daa41a2eef910b7d1c83	30	1022	0	0	0	0	FALSE	1022	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000119927_GPAM.loss.txt		
17	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000120162|MOB3B	80c146156f90daa41a2eef910b7d1c83	30	1022	8	0	0	0	FALSE	1014	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000120162_MOB3B.loss.txt		
18	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000121005|CRISPLD1	80c146156f90daa41a2eef910b7d1c83	30	1022	18	0	0	0	FALSE	1004	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000121005_CRISPLD1.loss.txt		
19	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000135821|GLUL	80c146156f90daa41a2eef910b7d1c83	30	1022	0	1	0	0	FALSE	1022	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000135821_GLUL.loss.txt		
20	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000136960|ENPP2	80c146156f90daa41a2eef910b7d1c83	30	1022	279	1	0	0	FALSE	758	15	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000136960_ENPP2.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000136960_ENPP2.gain.txt	
21	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000138193|PLCE1	80c146156f90daa41a2eef910b7d1c83	30	1022	668	0	0	0	FALSE	580	226	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000138193_PLCE1.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000138193_PLCE1.gain.txt	
22	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000140450|ARRDC4	80c146156f90daa41a2eef910b7d1c83	30	1022	142	0	0	0	FALSE	897	17	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000140450_ARRDC4.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000140450_ARRDC4.gain.txt	
23	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000141338|ABCA8	80c146156f90daa41a2eef910b7d1c83	30	1022	0	12	1	1	TRUE	1022	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000141338_ABCA8.loss.txt		/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000141338_ABCA8.mediated.lst
24	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000144290|SLC4A10	80c146156f90daa41a2eef910b7d1c83	30	1022	1	0	0	0	FALSE	1021	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000144290_SLC4A10.loss.txt		
25	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000146122|DAAM2	80c146156f90daa41a2eef910b7d1c83	30	1022	342	0	0	0	FALSE	759	79	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000146122_DAAM2.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000146122_DAAM2.gain.txt	
26	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000147044|CASK	80c146156f90daa41a2eef910b7d1c83	30	1022	561	0	0	0	FALSE	619	158	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000147044_CASK.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000147044_CASK.gain.txt	
27	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000147488|ST18	80c146156f90daa41a2eef910b7d1c83	30	1022	48	47	1	1	TRUE	981	7	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000147488_ST18.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000147488_ST18.gain.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000147488_ST18.mediated.lst
28	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000154153|RETREG1	80c146156f90daa41a2eef910b7d1c83	30	1022	186	0	0	0	FALSE	852	16	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000154153_RETREG1.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000154153_RETREG1.gain.txt	
29	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000154721|JAM2	80c146156f90daa41a2eef910b7d1c83	30	1022	35	0	0	0	FALSE	997	10	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000154721_JAM2.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000154721_JAM2.gain.txt	
30	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000154864|PIEZO2	80c146156f90daa41a2eef910b7d1c83	30	1022	37	0	0	0	FALSE	986	1	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000154864_PIEZO2.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000154864_PIEZO2.gain.txt	
31	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000160111|CPAMD8	80c146156f90daa41a2eef910b7d1c83	30	1022	0	0	0	0	FALSE	1022	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000160111_CPAMD8.loss.txt		
32	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000162804|SNED1	80c146156f90daa41a2eef910b7d1c83	30	1022	0	1	0	0	FALSE	1022	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000162804_SNED1.loss.txt		
33	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000162980|ARL5A	80c146156f90daa41a2eef910b7d1c83	30	1022	721	0	0	0	FALSE	356	55	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000162980_ARL5A.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000162980_ARL5A.gain.txt	
34	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000163492|CCDC141	80c146156f90daa41a2eef910b7d1c83	30	1022	1	2	0	0	FALSE	1021	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000163492_CCDC141.loss.txt		
35	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000163947|ARHGEF3	80c146156f90daa41a2eef910b7d1c83	30	1022	3	0	0	0	FALSE	1020	1	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000163947_ARHGEF3.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000163947_ARHGEF3.gain.txt	
36	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000164116|GUCY1A1	80c146156f90daa41a2eef910b7d1c83	30	1022	2443	3	0	0	FALSE	42	1463	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000164116_GUCY1A1.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000164116_GUCY1A1.gain.txt	
37	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000165084|C8orf34	80c146156f90daa41a2eef910b7d1c83	30	1022	1856	0	0	0	FALSE	95	929	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000165084_C8orf34.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000165084_C8orf34.gain.txt	
38	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000165434|PGM2L1	80c146156f90daa41a2eef910b7d1c83	30	1022	1	0	0	0	FALSE	1021	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000165434_PGM2L1.loss.txt		
39	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000166342|NETO1	80c146156f90daa41a2eef910b7d1c83	30	1022	0	140	61	61	TRUE	1022	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000166342_NETO1.loss.txt		/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000166342_NETO1.mediated.lst
40	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000168314|MOBP	80c146156f90daa41a2eef910b7d1c83	30	1022	113	0	0	0	FALSE	917	8	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000168314_MOBP.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000168314_MOBP.gain.txt	
41	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000169083|AR	80c146156f90daa41a2eef910b7d1c83	30	1022	1206	0	0	0	FALSE	306	490	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000169083_AR.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000169083_AR.gain.txt	
42	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000173068|BNC2	80c146156f90daa41a2eef910b7d1c83	30	1022	267	0	0	0	FALSE	792	37	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000173068_BNC2.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000173068_BNC2.gain.txt	
43	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000176463|SLCO3A1	80c146156f90daa41a2eef910b7d1c83	30	1022	920	0	0	0	FALSE	455	353	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000176463_SLCO3A1.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000176463_SLCO3A1.gain.txt	
44	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000177283|FZD8	80c146156f90daa41a2eef910b7d1c83	30	1022	0	411	125	125	TRUE	1022	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000177283_FZD8.loss.txt		/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000177283_FZD8.mediated.lst
45	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000178662|CSRNP3	80c146156f90daa41a2eef910b7d1c83	30	1022	186	0	0	0	FALSE	861	25	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000178662_CSRNP3.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000178662_CSRNP3.gain.txt	
46	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000179456|ZBTB18	80c146156f90daa41a2eef910b7d1c83	30	1022	15	0	0	0	FALSE	1008	1	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000179456_ZBTB18.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000179456_ZBTB18.gain.txt	
47	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000181938|GINS3	80c146156f90daa41a2eef910b7d1c83	30	1022	1072	0	0	0	FALSE	348	398	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000181938_GINS3.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000181938_GINS3.gain.txt	
48	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000183098|GPC6	80c146156f90daa41a2eef910b7d1c83	30	1022	487	0	0	0	FALSE	633	98	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000183098_GPC6.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000183098_GPC6.gain.txt	
49	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000185518|SV2B	80c146156f90daa41a2eef910b7d1c83	30	1022	11	566	200	199	TRUE	1011	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000185518_SV2B.loss.txt		/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000185518_SV2B.mediated.lst
50	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000186409|CCDC30	80c146156f90daa41a2eef910b7d1c83	30	1022	301	0	0	0	FALSE	724	3	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000186409_CCDC30.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000186409_CCDC30.gain.txt	
51	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000186529|CYP4F3	80c146156f90daa41a2eef910b7d1c83	30	1022	0	0	0	0	FALSE	1022	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000186529_CYP4F3.loss.txt		
52	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000187634|SAMD11	80c146156f90daa41a2eef910b7d1c83	30	1022	0	0	0	0	FALSE	1022	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000187634_SAMD11.loss.txt		
53	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000196569|LAMA2	80c146156f90daa41a2eef910b7d1c83	30	1022	24	0	0	0	FALSE	998	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000196569_LAMA2.loss.txt		
54	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000196782|MAML3	80c146156f90daa41a2eef910b7d1c83	30	1022	2030	2	0	0	FALSE	29	1037	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000196782_MAML3.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000196782_MAML3.gain.txt	
55	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000198597|ZNF536	80c146156f90daa41a2eef910b7d1c83	30	1022	1594	0	0	0	FALSE	120	692	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000198597_ZNF536.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000198597_ZNF536.gain.txt	
56	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000226419|SLC16A1-AS1	80c146156f90daa41a2eef910b7d1c83	30	1022	146	0	0	0	FALSE	887	11	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000226419_SLC16A1-AS1.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000226419_SLC16A1-AS1.gain.txt	
57	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000228408|ENSG00000228408	80c146156f90daa41a2eef910b7d1c83	30	1022	88	0	0	0	FALSE	939	5	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000228408_ENSG00000228408.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000228408_ENSG00000228408.gain.txt	
58	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000253853|ENSG00000253853	80c146156f90daa41a2eef910b7d1c83	30	1022	478	0	0	0	FALSE	617	73	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000253853_ENSG00000253853.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000253853_ENSG00000253853.gain.txt	
59	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000255571|MIR9-3HG	80c146156f90daa41a2eef910b7d1c83	30	1022	18	0	0	0	FALSE	1009	5	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000255571_MIR9-3HG.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000255571_MIR9-3HG.gain.txt	
60	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000255690|TRIL	80c146156f90daa41a2eef910b7d1c83	30	1022	3	0	0	0	FALSE	1020	1	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000255690_TRIL.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000255690_TRIL.gain.txt	
61	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000257585|LINC00609	80c146156f90daa41a2eef910b7d1c83	30	1022	604	0	0	0	FALSE	606	188	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000257585_LINC00609.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000257585_LINC00609.gain.txt	
62	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000258483|LINC02251	80c146156f90daa41a2eef910b7d1c83	30	1022	52	0	0	0	FALSE	972	2	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000258483_LINC02251.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000258483_LINC02251.gain.txt	
63	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000259255|ENSG00000259255	80c146156f90daa41a2eef910b7d1c83	30	1022	0	2	0	0	FALSE	1022	0	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000259255_ENSG00000259255.loss.txt		
64	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000281327|LINC01338	80c146156f90daa41a2eef910b7d1c83	30	1022	457	0	0	0	FALSE	676	111	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000281327_LINC01338.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000281327_LINC01338.gain.txt	
65	0d4f2dec005aebff128c2046639e6cc8	Astro.2|ENSG00000288696|ENSG00000288696	80c146156f90daa41a2eef910b7d1c83	30	1022	52	0	0	0	FALSE	971	1	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000288696_ENSG00000288696.loss.txt	/home/gpertea/work/R/LFF_spatial_ERC/code/22_Mediation/out-erc_astro/Astro.2_ENSG00000288696_ENSG00000288696.gain.txt	
