metric,name,value,form,SpD
Median,Residuals,0.7276396122845543,e4e4_i,L2.3_Sp09D01
Mean,APOE_E4E4,0.005312198820281379,e4e4_i,L2.3_Sp09D01
Mean,APOE_E4E4:Anc_Afr,0.003245436186441537,e4e4_i,L2.3_Sp09D01
Mean,APOE_E4E4:Sex,0.013142782628007547,e4e4_i,L2.3_Sp09D01
Mean,round,0.010852629989979002,e4e4_i,L2.3_Sp09D01
Mean,Sex,0.009024009857913044,e4e4_i,L2.3_Sp09D01
Mean,Visium_slide,0.05514977998287535,e4e4_i,L2.3_Sp09D01
Mean,Anc_Afr,0.03294201597929251,e4e4_i,L2.3_Sp09D01
Mean,Age,0.03681089740705002,e4e4_i,L2.3_Sp09D01
Mean,Rin,0.04986588866204231,e4e4_i,L2.3_Sp09D01
Mean,ncells,0.07816473714648786,e4e4_i,L2.3_Sp09D01
Mean,Residuals,0.7054896233396294,e4e4_i,L2.3_Sp09D01
3rd Qu.,APOE_E4E4,0,e4e4_i,L2.3_Sp09D01
3rd Qu.,APOE_E4E4:Anc_Afr,7.376836929084221e-11,e4e4_i,L2.3_Sp09D01
3rd Qu.,APOE_E4E4:Sex,0,e4e4_i,L2.3_Sp09D01
3rd Qu.,round,1.4414521615982971e-12,e4e4_i,L2.3_Sp09D01
3rd Qu.,Sex,0,e4e4_i,L2.3_Sp09D01
3rd Qu.,Visium_slide,0.08938997470626857,e4e4_i,L2.3_Sp09D01
3rd Qu.,Anc_Afr,0.04830819588181637,e4e4_i,L2.3_Sp09D01
3rd Qu.,Age,0.04967984797768189,e4e4_i,L2.3_Sp09D01
3rd Qu.,Rin,0.07086353937970152,e4e4_i,L2.3_Sp09D01
3rd Qu.,ncells,0.11373191195590374,e4e4_i,L2.3_Sp09D01
3rd Qu.,Residuals,0.8413971166294001,e4e4_i,L2.3_Sp09D01
Max.,APOE_E4E4,0.5705478302790421,e4e4_i,L2.3_Sp09D01
Max.,APOE_E4E4:Anc_Afr,0.9993576158689115,e4e4_i,L2.3_Sp09D01
Max.,APOE_E4E4:Sex,0.7518895354906996,e4e4_i,L2.3_Sp09D01
Max.,round,0.608986955192285,e4e4_i,L2.3_Sp09D01
Max.,Sex,0.8623020689934371,e4e4_i,L2.3_Sp09D01
Max.,Visium_slide,0.8660939662506929,e4e4_i,L2.3_Sp09D01
Max.,Anc_Afr,0.5184253105451023,e4e4_i,L2.3_Sp09D01
Max.,Age,0.5311565572835153,e4e4_i,L2.3_Sp09D01
Max.,Rin,0.5716741417239095,e4e4_i,L2.3_Sp09D01
Max.,ncells,0.7056203902608935,e4e4_i,L2.3_Sp09D01
Max.,Residuals,0.9993602387554399,e4e4_i,L2.3_Sp09D01
