metric,name,value,form,SpD
1st Qu.,APOE_E4E4,0,e4e4_i,WM_Sp09D06
1st Qu.,APOE_E4E4:Anc_Afr,7.179381470821632e-12,e4e4_i,WM_Sp09D06
1st Qu.,APOE_E4E4:Sex,2.912886980778321e-12,e4e4_i,WM_Sp09D06
1st Qu.,round,0,e4e4_i,WM_Sp09D06
1st Qu.,Sex,0,e4e4_i,WM_Sp09D06
1st Qu.,Visium_slide,0,e4e4_i,WM_Sp09D06
1st Qu.,Anc_Afr,0.003478003777728517,e4e4_i,WM_Sp09D06
1st Qu.,Age,0.0037855195765233644,e4e4_i,WM_Sp09D06
1st Qu.,Rin,0.0035895106487541686,e4e4_i,WM_Sp09D06
1st Qu.,ncells,0.00880385249740962,e4e4_i,WM_Sp09D06
1st Qu.,Residuals,0.5939535618729794,e4e4_i,WM_Sp09D06
Median,APOE_E4E4,0,e4e4_i,WM_Sp09D06
Median,APOE_E4E4:Anc_Afr,1.4611287619102618e-10,e4e4_i,WM_Sp09D06
Median,APOE_E4E4:Sex,6.775209127598434e-12,e4e4_i,WM_Sp09D06
Median,round,0,e4e4_i,WM_Sp09D06
Median,Sex,1.815521102766046e-11,e4e4_i,WM_Sp09D06
Median,Visium_slide,0,e4e4_i,WM_Sp09D06
Median,Anc_Afr,0.014212201626810859,e4e4_i,WM_Sp09D06
Median,Age,0.01460200498656436,e4e4_i,WM_Sp09D06
Median,Rin,0.015891340520071795,e4e4_i,WM_Sp09D06
Median,ncells,0.04431067859762953,e4e4_i,WM_Sp09D06
Median,Residuals,0.7490162051033991,e4e4_i,WM_Sp09D06
Mean,APOE_E4E4,0.00999534920569074,e4e4_i,WM_Sp09D06
Mean,APOE_E4E4:Anc_Afr,0.04078927307032876,e4e4_i,WM_Sp09D06
Mean,APOE_E4E4:Sex,7.54329457661156e-5,e4e4_i,WM_Sp09D06
Mean,round,0.010707181777593841,e4e4_i,WM_Sp09D06
Mean,Sex,8.533797980475106e-4,e4e4_i,WM_Sp09D06
Mean,Visium_slide,0.05273266118117848,e4e4_i,WM_Sp09D06
Mean,Anc_Afr,0.027456616947860214,e4e4_i,WM_Sp09D06
Mean,Age,0.030870801278493502,e4e4_i,WM_Sp09D06
Mean,Rin,0.03192308726341986,e4e4_i,WM_Sp09D06
Mean,ncells,0.09569366615824092,e4e4_i,WM_Sp09D06
Mean,Residuals,0.6989025503733801,e4e4_i,WM_Sp09D06
3rd Qu.,APOE_E4E4,0,e4e4_i,WM_Sp09D06
3rd Qu.,APOE_E4E4:Anc_Afr,2.004782148807043e-9,e4e4_i,WM_Sp09D06
3rd Qu.,APOE_E4E4:Sex,9.385907832767026e-12,e4e4_i,WM_Sp09D06
3rd Qu.,round,0,e4e4_i,WM_Sp09D06
