top,model_type,test,gene,stat,pval,fdr,gene_index,logFC,ensembl,HumanPilot_anno
2,enrichment,Sp09D02,MAP1A,6.490617046533714,3.905082829285179e-10,2.435990668908095e-6,8642,0.5007983495353605,ENSG00000166963,L3~Sp09D02
3,enrichment,Sp09D02,HOPX,6.0635165755287135,4.325336636302448e-9,1.7987633291503113e-5,2951,1.0424667276449942,ENSG00000171476,L3~Sp09D02
4,enrichment,Sp09D02,CCDC85B,5.999458485628412,6.141549943766581e-9,1.9155494274607966e-5,6905,0.31364292161945406,ENSG00000175602,L3~Sp09D02
5,enrichment,Sp09D02,C14orf132,5.952708371753073,7.918801459124821e-9,1.975899340080825e-5,8479,0.5597656374097694,ENSG00000227051,L3~Sp09D02
6,enrichment,Sp09D02,CAMK2N1,5.868880975507112,1.2445519391910468e-8,2.5878383322245834e-5,163,0.5129561250275801,ENSG00000162545,L3~Sp09D02
7,enrichment,Sp09D02,C9orf16,5.837144860642756,1.4750970303769525e-8,2.6290443644261224e-5,5877,0.39564802730885534,ENSG00000171159,L3~Sp09D02
8,enrichment,Sp09D02,DDN,5.769254178625748,2.1170332762056988e-8,3.301513394242787e-5,7443,0.7058384880103199,ENSG00000181418,L3~Sp09D02
9,enrichment,Sp09D02,COX8A,5.4052674478166685,1.3921719730185114e-7,1.9298597261532165e-4,6842,0.3127119244455196,ENSG00000176340,L3~Sp09D02
10,enrichment,Sp09D02,ERFE,5.282625252098005,2.572073081457188e-7,3.13134862949464e-4,2035,1.419527319808825,ENSG00000178752,L3~Sp09D02
11,enrichment,Sp09D02,COX5B,5.268333495250659,2.7608876983360887e-7,3.13134862949464e-4,1605,0.3015834276692554,ENSG00000135940,L3~Sp09D02
12,enrichment,Sp09D02,PIN1,5.247672174974615,3.057835400909904e-7,3.1791295384793304e-4,10610,0.40580172323710767,ENSG00000127445,L3~Sp09D02
13,enrichment,Sp09D02,MAP2,5.216770947259227,3.560577201752064e-7,3.417058551466058e-4,1926,0.503701342182039,ENSG00000078018,L3~Sp09D02
14,enrichment,Sp09D02,NCS1,5.192249514716997,4.0157572050829114e-7,3.5786133493296e-4,5920,0.4948482283472058,ENSG00000107130,L3~Sp09D02
15,enrichment,Sp09D02,GAP43,5.079613067493719,6.939770021183954e-7,5.522098126421791e-4,2479,0.5501386268649472,ENSG00000172020,L3~Sp09D02
16,enrichment,Sp09D02,SFXN5,5.065823368190283,7.415786430581478e-7,5.522098126421791e-4,1512,0.5305623852151921,ENSG00000144040,L3~Sp09D02
17,enrichment,Sp09D02,ENHO,5.054514318158953,7.82963526755874e-7,5.522098126421791e-4,5594,0.4328066193533766,ENSG00000168913,L3~Sp09D02
18,enrichment,Sp09D02,WIF1,5.050885207295025,7.96711816893173e-7,5.522098126421791e-4,7592,1.4138385884014368,ENSG00000156076,L3~Sp09D02
19,enrichment,Sp09D02,CNGB1,5.030966604016723,8.764339260927708e-7,5.754941927333373e-4,9299,1.422909795083023,ENSG00000070729,L3~Sp09D02
20,enrichment,Sp09D02,PKIG,4.996486733235422,1.0330426740663647e-6,6.256205950101446e-4,11454,0.3990201553965397,ENSG00000168734,L3~Sp09D02
21,enrichment,Sp09D02,BAALC,4.985980072266161,1.0859252063773797e-6,6.256205950101446e-4,5373,0.30536889442130316,ENSG00000164929,L3~Sp09D02
22,enrichment,Sp09D02,NDUFA4,4.9826530143391645,1.1032104112073726e-6,6.256205950101446e-4,4509,0.4211414629639793,ENSG00000189043,L3~Sp09D02
23,enrichment,Sp09D02,RUNDC3A,4.937770187917239,1.364067702342892e-6,7.279840548198413e-4,9904,0.4596027368953583,ENSG00000108309,L3~Sp09D02
24,enrichment,Sp09D02,CA11,4.930686160873489,1.4103469442551059e-6,7.279840548198413e-4,11079,0.35892878499740605,ENSG00000063180,L3~Sp09D02
25,enrichment,Sp09D02,LINC01007,4.923510781429627,1.4587689460160332e-6,7.279840548198413e-4,4837,1.5386148276355656,ENSG00000233123,L3~Sp09D02
26,enrichment,Sp09D02,MAPK3,4.870217359417328,1.8722263170737754e-6,8.983805973774009e-4,9194,0.36523862837591325,ENSG00000102882,L3~Sp09D02
27,enrichment,Sp09D02,CBX6,4.8461744979519645,2.093875785409596e-6,9.675257147692637e-4,11910,0.3457240957596401,ENSG00000183741,L3~Sp09D02
28,enrichment,Sp09D02,NAA38,4.832930926984115,2.2265772422460413e-6,9.920992026522003e-4,9627,0.3446080082498854,ENSG00000183011,L3~Sp09D02
29,enrichment,Sp09D02,TUBB2B,4.816646348717662,2.4009049687266242e-6,0.0010328858755114952,3828,0.4705764963423707,ENSG00000137285,L3~Sp09D02
30,enrichment,Sp09D02,COX7A2,4.776481636903762,2.8890336044649107e-6,0.0012014527749768075,4172,0.3638626688003436,ENSG00000112695,L3~Sp09D02
31,enrichment,Sp09D02,C1orf61,4.763230369635135,3.070127703930629e-6,0.001235577846265759,863,0.4082841544687872,ENSG00000125462,L3~Sp09D02
32,enrichment,Sp09D02,NAT8L,4.72241638419507,3.6993227611120012e-6,0.0014422734614885414,2809,0.337594168694441,ENSG00000185818,L3~Sp09D02
33,enrichment,Sp09D02,SNN,4.713446970714762,3.853389428062492e-6,0.001456814742560838,9082,0.3815814123913689,ENSG00000184602,L3~Sp09D02
34,enrichment,Sp09D02,PCSK1N,4.690535455832376,4.275526785584567e-6,0.0015688668287339134,12140,0.376373633846317,ENSG00000102109,L3~Sp09D02
35,enrichment,Sp09D02,SLC1A2,4.646306904302354,5.219827144465997e-6,0.0018606446701245078,6697,0.6403580986622163,ENSG00000110436,L3~Sp09D02
36,enrichment,Sp09D02,ATP5MD,4.637102852732709,5.4401525797729574e-6,0.001885315099590206,6401,0.3527568118668729,ENSG00000173915,L3~Sp09D02
37,enrichment,Sp09D02,TLE5,4.608015164746595,6.1968587953911976e-6,0.0020895137927378535,10501,0.22105445440401142,ENSG00000104964,L3~Sp09D02
38,enrichment,Sp09D02,CAMK2A,4.5953103348203745,6.558260595489872e-6,0.0021096231005104838,3665,0.591080542474121,ENSG00000070808,L3~Sp09D02
39,enrichment,Sp09D02,NDUFB9,4.592653794020998,6.636350390439356e-6,0.0021096231005104838,5422,0.29211777722698035,ENSG00000147684,L3~Sp09D02
40,enrichment,Sp09D02,ENSA,4.588382637545465,6.763780379963078e-6,0.0021096231005104838,755,0.3292214279104137,ENSG00000143420,L3~Sp09D02
41,enrichment,Sp09D02,NDUFA3,4.57265684567755,7.253548792593193e-6,0.0021723768833433895,11164,0.2602805041607392,ENSG00000170906,L3~Sp09D02
42,enrichment,Sp09D02,AC091938.1,4.570810885688056,7.313227725266301e-6,0.0021723768833433895,3287,1.098431718435532,ENSG00000286961,L3~Sp09D02
43,enrichment,Sp09D02,TGFBR3L,4.552857392981356,7.918818590055252e-6,0.0022975623425471937,10580,0.5726156417695746,ENSG00000260001,L3~Sp09D02
44,enrichment,Sp09D02,KCNAB2,4.538326049252061,8.443992476205422e-6,0.002394255684844065,60,0.48392427368722596,ENSG00000069424,L3~Sp09D02
45,enrichment,Sp09D02,PSD,4.522761492081875,9.043586036827155e-6,0.002413443255727904,6386,0.43404120279529923,ENSG00000059915,L3~Sp09D02
46,enrichment,Sp09D02,UQCR10,4.522031552148462,9.072686775051802e-6,0.002413443255727904,11822,0.2897411568964879,ENSG00000184076,L3~Sp09D02
47,enrichment,Sp09D02,FAM240C,4.5185605941651525,9.212299775803952e-6,0.002413443255727904,2067,1.0736328033891127,ENSG00000216921,L3~Sp09D02
48,enrichment,Sp09D02,TNNT1,4.512559984162626,9.458544936172243e-6,0.002413443255727904,11179,1.0981668209357187,ENSG00000105048,L3~Sp09D02
49,enrichment,Sp09D02,MT3,4.5083516616604,9.634999007255495e-6,0.002413443255727904,9275,0.3853652416709752,ENSG00000087250,L3~Sp09D02
50,enrichment,Sp09D02,CTXN1,4.503789427830617,9.829863028268667e-6,0.002413443255727904,10582,0.42021232027030064,ENSG00000178531,L3~Sp09D02
51,enrichment,Sp09D02,TMEM160,4.502957765666032,9.86579080170913e-6,0.002413443255727904,11050,0.27227999361413446,ENSG00000130748,L3~Sp09D02
52,enrichment,Sp09D02,UQCRQ,4.481641679045017,1.0830880464295801e-5,0.002563721782571526,3562,0.34323657132945895,ENSG00000164405,L3~Sp09D02
53,enrichment,Sp09D02,CALM1,4.4803729792154385,1.0891091253309625e-5,0.002563721782571526,8441,0.27968954588706346,ENSG00000198668,L3~Sp09D02
54,enrichment,Sp09D02,APOC1,4.454665903406289,1.218262456822232e-5,0.0028146374835766974,11010,0.762201802978457,ENSG00000130208,L3~Sp09D02
55,enrichment,Sp09D02,SLC26A4-AS1,4.441336942459485,1.2908894995377413e-5,0.0029229861249992608,4870,0.5499592214677047,ENSG00000233705,L3~Sp09D02
56,enrichment,Sp09D02,MEF2C,4.437594500358903,1.3120168563638875e-5,0.0029229861249992608,3461,0.7328092771440626,ENSG00000081189,L3~Sp09D02
57,enrichment,Sp09D02,OLFM1,4.427447406337821,1.3709825019123965e-5,0.0029734904621860946,5960,0.5282872173474499,ENSG00000130558,L3~Sp09D02
58,enrichment,Sp09D02,SPTBN2,4.425538841267065,1.3823536935459563e-5,0.0029734904621860946,6933,0.6071603778733577,ENSG00000173898,L3~Sp09D02
59,enrichment,Sp09D02,SNRNP25,4.417882216665907,1.4288875379057242e-5,0.0030104934915083465,8929,0.3285730323419034,ENSG00000161981,L3~Sp09D02
60,enrichment,Sp09D02,NEFM,4.414835847999788,1.447816683957204e-5,0.0030104934915083465,5130,0.7167605399750001,ENSG00000104722,L3~Sp09D02
61,enrichment,Sp09D02,ARPP19,4.405178605511312,1.509425841413989e-5,0.0030871470159804797,8693,0.4148865485648015,ENSG00000128989,L3~Sp09D02
62,enrichment,Sp09D02,BCR,4.390218893368771,1.6098504436850903e-5,0.003128706333013348,11775,0.41688915851115516,ENSG00000186716,L3~Sp09D02
63,enrichment,Sp09D02,PYDC1,4.3895418221712434,1.6145438407104025e-5,0.003128706333013348,9233,0.9870492703967428,ENSG00000169900,L3~Sp09D02
64,enrichment,Sp09D02,LINC00507,4.387949691611006,1.625632073674726e-5,0.003128706333013348,7874,1.3511120477360314,ENSG00000256193,L3~Sp09D02
65,enrichment,Sp09D02,UQCR11,4.387317230957436,1.630057002611956e-5,0.003128706333013348,10471,0.3174276410022676,ENSG00000127540,L3~Sp09D02
66,enrichment,Sp09D02,FBXL16,4.325692023945065,2.1212276250261086e-5,0.003975781677807471,8957,0.46551048956121466,ENSG00000127585,L3~Sp09D02
67,enrichment,Sp09D02,SNCG,4.324156041966767,2.135118406645564e-5,0.003975781677807471,6290,0.5009168653541924,ENSG00000173267,L3~Sp09D02
68,enrichment,Sp09D02,CUX2,4.320650714191722,2.1671459211811612e-5,0.00397607536950826,7752,1.38079266661378,ENSG00000111249,L3~Sp09D02
69,enrichment,Sp09D02,SLC13A5,4.315283371939229,2.217078865472111e-5,0.004008735641395661,9589,1.083163594182998,ENSG00000141485,L3~Sp09D02
