Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000188807,TMEM201,12,0.18592,11,0.06281,10,-0.0131,13,0.41906,8,-0.3450,7,-0.4640,13,0.42489,10,-0.0763,5,-1.1057
ENSG00000171608,PIK3CD,1,-2.5716,1,-3.5178,12,0.37210,15,0.77693,18,1.00727,9,-0.1183,16,1.01882,10,0.11493,4,-1.1320
ENSG00000171603,CLSTN1,155,-2.1875,848,0.46522,611,-0.1130,541,-0.3048,603,-0.1344,1126,0.88540,826,0.41659,437,-0.6332,400,-0.7675
ENSG00000178585,CTNNBIP1,51,0.46419,17,-1.3352,53,0.53510,45,0.26149,31,-0.3252,43,0.18682,43,0.21781,41,0.14648,35,-0.1420
ENSG00000162441,LZIC,72,1.36790,19,-0.8589,23,-0.4989,28,-0.1776,42,0.43797,31,-0.0339,27,-0.2592,29,-0.1494,32,-0.0019
ENSG00000130939,UBE4B,26,-0.5068,20,-0.9804,24,-0.6496,37,0.04062,56,0.71987,47,0.43873,47,0.48905,38,0.10317,33,-0.1189
ENSG00000054523,KIF1B,274,0.17076,175,-0.5802,248,0.01510,237,-0.0547,300,0.31747,374,0.68002,217,-0.2161,298,0.30676,190,-0.4038
ENSG00000142657,PGD,36,-0.4266,35,-0.4910,37,-0.3950,41,-0.2100,93,1.10920,86,0.97187,46,-0.0500,33,-0.5566,32,-0.5927
ENSG00000175279,CENPS,6,-0.6991,11,0.31322,15,0.78763,16,0.84166,5,-0.9160,6,-0.6081,8,-0.1448,8,-0.2130,7,-0.4603
ENSG00000241563,CORT,3,-5.1892,49,-1.4191,78,-0.6286,111,-0.0694,821,4.14368,6,-4.3361,35,-1.9105,26,-2.2393,67,-0.8476
ENSG00000160049,DFFA,60,0.92308,25,-0.4840,29,-0.2168,22,-0.6483,35,0.04542,37,0.13509,28,-0.3254,53,0.73089,29,-0.2245
ENSG00000142655,PEX14,24,0.06375,28,0.36229,13,-0.8071,20,-0.1861,25,0.10407,17,-0.4200,33,0.64337,14,-0.7932,17,-0.4205
ENSG00000120948,TARDBP,62,0.30005,61,0.30904,52,-0.0016,41,-0.3407,59,0.20306,40,-0.3849,55,0.12016,51,-0.0155,29,-0.8787
ENSG00000116649,SRM,47,-0.9849,101,0.22317,109,0.31989,100,0.18179,97,0.13232,65,-0.5062,91,0.02879,99,0.16319,82,-0.1432
ENSG00000171824,EXOSC10,24,0.27549,21,0.03989,21,0.00864,15,-0.4523,16,-0.3792,29,0.52581,18,-0.2134,23,0.18422,20,-0.0798
ENSG00000198793,MTOR,16,-1.2590,42,0.26597,22,-0.7371,29,-0.3645,50,0.50179,47,0.42279,43,0.31300,27,-0.4252,37,0.02701
ENSG00000120942,UBIAD1,27,1.60763,9,-0.1266,6,-0.6641,6,-0.7022,3,-1.8753,11,0.16309,9,-0.1597,15,0.59087,6,-0.7532
ENSG00000116661,FBXO2,172,-0.1915,252,0.47058,192,-0.0178,145,-0.4594,134,-0.5806,103,-0.9794,197,0.02706,279,0.58396,215,0.15894
ENSG00000132879,FBXO44,34,-1.9053,144,0.32693,136,0.20025,144,0.29523,109,-0.1510,119,-0.0087,167,0.60907,67,-0.9046,88,-0.4826
ENSG00000116670,MAD2L2,43,1.17504,34,0.89532,7,-1.5275,13,-0.7699,17,-0.3295,11,-0.9413,15,-0.5817,24,0.17421,19,-0.1912
ENSG00000177674,AGTRAP,30,2.15473,3,-1.4751,4,-1.2270,1,-2.3568,3,-1.2522,8,-0.0224,4,-1.3109,23,1.67748,10,0.20417
ENSG00000177000,MTHFR,11,-0.2876,14,0.11304,8,-0.7567,13,-0.0369,18,0.44740,12,-0.1117,17,0.44401,9,-0.6268,13,-0.0485
ENSG00000011021,CLCN6,26,-0.8602,41,-0.1909,43,-0.0929,71,0.71318,39,-0.2705,41,-0.1898,59,0.45712,42,-0.1496,43,-0.1126
ENSG00000175206,NPPA,2,-2.2642,31,2.22781,13,0.31067,10,-0.1056,0,-3.6801,5,-1.1388,8,-0.5741,3,-1.8557,8,-0.4949
ENSG00000116685,KIAA2013,47,0.59172,30,-0.1631,25,-0.3972,38,0.25135,39,0.27983,36,0.13748,35,0.09662,30,-0.1263,15,-1.1466
ENSG00000083444,PLOD1,29,0.60063,16,-0.3584,10,-1.0811,12,-0.8180,43,1.25249,22,0.15377,18,-0.2179,29,0.55015,9,-1.2212
ENSG00000116688,MFN2,59,-0.5243,84,0.03419,73,-0.1936,73,-0.1849,87,0.09100,123,0.64827,104,0.40775,67,-0.3173,49,-0.7909
ENSG00000116691,MIIP,17,0.20918,13,-0.1586,16,0.11651,13,-0.1569,15,0.01697,16,0.18346,17,0.23966,14,-0.1050,10,-0.5618
ENSG00000048707,VPS13D,41,-0.2941,44,-0.1978,65,0.44962,72,0.59871,33,-0.6226,46,-0.1022,67,0.56591,33,-0.6096,30,-0.7704
ENSG00000162496,DHRS3,20,0.80191,7,-0.8390,8,-0.6587,10,-0.3015,10,-0.3277,7,-0.7075,9,-0.4521,33,1.69658,12,-0.0087
ENSG00000116731,PRDM2,62,-0.3673,74,-0.0927,92,0.26905,71,-0.1577,78,0.00349,101,0.42005,100,0.45385,47,-0.7931,59,-0.4372
ENSG00000189337,KAZN,76,0.68853,32,-0.7366,37,-0.4467,31,-0.7491,85,0.86291,64,0.40590,54,0.12442,44,-0.2014,40,-0.3416
ENSG00000142634,EFHD2,24,-2.7353,29,-2.5564,129,-0.2006,82,-0.9045,406,1.74028,466,2.01291,148,0.00985,87,-0.8203,70,-1.1321
ENSG00000132906,CASP9,12,0.56699,8,-0.0049,5,-0.7237,7,-0.1680,4,-1.0560,10,0.30528,11,0.57746,7,-0.3264,6,-0.3642
ENSG00000116138,DNAJC16,16,-0.5569,23,-0.0616,23,-0.0335,19,-0.3244,24,0.04046,32,0.51503,26,0.21348,25,0.11704,20,-0.2646
ENSG00000197312,DDI2,14,-0.6050,19,-0.1614,15,-0.5017,32,0.64088,32,0.63797,22,0.03445,27,0.42448,13,-0.7287,13,-0.7130
ENSG00000116786,PLEKHM2,39,-0.7374,51,-0.3558,73,0.25287,57,-0.1487,52,-0.2815,70,0.19483,71,0.24759,69,0.15811,81,0.42534
ENSG00000065526,SPEN,61,0.97740,21,-0.7797,40,0.26393,47,0.55695,21,-0.7385,29,-0.2158,33,-0.0044,38,0.18093,24,-0.4906
ENSG00000116809,ZBTB17,23,0.73138,16,0.21568,9,-0.6224,15,0.07863,10,-0.4561,9,-0.7363,17,0.27093,15,0.03536,10,-0.4771
ENSG00000185519,FAM131C,3,-2.1960,8,-1.1071,29,1.04523,20,0.41562,28,0.96298,10,-0.7003,17,0.19256,15,-0.0101,14,-0.1549
ENSG00000037637,FBXO42,14,-0.5125,22,0.15173,13,-0.6602,19,-0.0201,25,0.37400,23,0.22256,22,0.20001,21,0.12191,14,-0.4888
ENSG00000055070,SZRD1,49,1.45927,21,0.01720,13,-0.6433,21,0.03214,16,-0.3671,21,0.04950,9,-1.3734,26,0.35928,20,-0.0271
ENSG00000157191,NECAP2,38,1.80281,6,-1.1099,13,-0.0058,7,-0.8496,19,0.59229,8,-0.6975,5,-1.4066,27,1.17241,8,-0.7951
ENSG00000219481,NBPF1,25,1.47369,4,-1.3365,16,0.69063,8,-0.3407,13,0.38945,10,-0.0985,4,-1.4006,18,0.90324,6,-0.8325
ENSG00000058453,CROCC,7,-0.5641,14,0.49238,14,0.35249,7,-0.5594,5,-1.1228,10,-0.1872,15,0.60533,10,-0.1890,7,-0.5537
ENSG00000238142,BX284668.5,8,-0.0776,8,-0.0743,4,-1.1418,4,-1.1472,11,0.39895,7,-0.3713,8,-0.1921,21,1.44097,8,-0.0515
ENSG00000159363,ATP13A2,39,-1.7192,107,-0.2117,134,0.15111,122,0.00358,157,0.40984,111,-0.1472,182,0.75346,93,-0.4246,102,-0.2714
ENSG00000117118,SDHB,68,-0.4823,93,-0.0142,109,0.24623,88,-0.0871,133,0.57458,81,-0.2300,106,0.21871,73,-0.3902,78,-0.2770
ENSG00000117115,PADI2,243,3.23351,18,-1.4963,32,-0.5204,21,-1.1530,26,-0.8446,25,-0.9089,7,-2.7589,67,0.63829,32,-0.5408
ENSG00000179051,RCC2,26,1.17346,15,0.29893,14,0.09783,20,0.69260,5,-1.2514,6,-1.0316,11,-0.2759,7,-0.9173,10,-0.3412
ENSG00000074964,ARHGEF10L,18,0.26425,13,-0.2721,17,0.17286,14,-0.1016,18,0.28653,18,0.28974,12,-0.3269,17,0.25012,12,-0.2743
ENSG00000117154,IGSF21,18,-2.2718,99,0.30112,68,-0.3201,60,-0.5122,166,1.13554,159,1.06495,71,-0.2881,65,-0.3910,43,-1.0157
ENSG00000159423,ALDH4A1,41,0.70985,16,-0.8493,23,-0.2009,22,-0.2412,37,0.53043,21,-0.3516,10,-1.4886,64,1.48635,29,0.15955
ENSG00000169991,IFFO2,10,0.10484,7,-0.5207,8,-0.1951,8,-0.2104,11,0.21441,15,0.72736,11,0.31582,11,0.22583,4,-1.2067
ENSG00000127463,EMC1,19,-0.7018,31,0.07927,27,-0.1305,26,-0.2213,35,0.28128,42,0.55187,37,0.38478,25,-0.2806,17,-0.8642
ENSG00000053372,MRTO4,21,-0.7892,32,-0.1496,28,-0.3219,44,0.37733,25,-0.4745,44,0.37783,47,0.56439,31,-0.1416,29,-0.2658
ENSG00000053371,AKR7A2,63,0.48856,43,-0.1538,39,-0.2589,44,-0.0823,50,0.11323,41,-0.2011,40,-0.2754,77,0.82536,32,-0.5539
ENSG00000040487,SLC66A1,6,-0.8242,8,-0.3920,5,-0.8446,4,-1.1203,22,1.30213,9,-0.1034,12,0.35808,14,0.51238,8,-0.2919
ENSG00000077549,CAPZB,136,-0.5710,207,0.09083,217,0.15452,196,-0.0014,200,0.02769,185,-0.0954,244,0.38734,186,-0.0842,141,-0.5225
ENSG00000173436,MICOS10,313,-0.0282,300,-0.1060,465,0.61093,328,0.04211,293,-0.1348,264,-0.3008,302,-0.0974,315,-0.0223,328,0.04532
ENSG00000158747,NBL1,74,-1.5115,222,0.19543,277,0.53466,161,-0.3341,213,0.10663,219,0.15531,212,0.11092,192,-0.0613,186,-0.1093
ENSG00000169914,OTUD3,10,-0.4296,12,-0.1169,9,-0.6251,13,-0.0739,9,-0.5179,24,0.99072,20,0.76797,5,-1.3650,10,-0.4051
ENSG00000162545,CAMK2N1,879,-0.5277,2345,1.25146,1138,-0.1246,1190,-0.0551,585,-1.1477,871,-0.5408,934,-0.4749,936,-0.4307,1394,0.19780
ENSG00000090432,MUL1,28,0.16978,31,0.32807,16,-0.7332,17,-0.6364,36,0.56809,30,0.28067,25,-0.0020,22,-0.1917,18,-0.5474
ENSG00000183114,FAM43B,3,-2.2109,4,-1.8178,21,0.55083,11,-0.5036,38,1.59413,27,0.97454,14,-0.0940,14,-0.0649,11,-0.4055
ENSG00000158828,PINK1,215,-0.8819,334,-0.2284,414,0.13258,398,0.07090,437,0.22108,461,0.30755,512,0.54387,255,-0.6236,314,-0.3009
ENSG00000244038,DDOST,22,-0.2138,31,0.38887,26,0.06469,18,-0.4865,24,-0.0609,23,-0.1595,27,0.11962,28,0.15740,19,-0.4218
ENSG00000117245,KIF17,3,-2.6733,13,-0.9094,34,0.70303,29,0.40437,12,-0.8554,28,0.37069,43,1.28951,10,-1.1932,15,-0.6193
ENSG00000189410,SH2D5,3,-3.6523,50,0.69132,24,-0.5796,29,-0.2701,27,-0.3513,45,0.42961,50,0.70840,21,-0.7241,28,-0.3257
ENSG00000127483,HP1BP3,174,0.26545,132,-0.1945,140,-0.0820,128,-0.2249,188,0.38536,172,0.24207,156,0.09764,151,0.03147,95,-0.6779
ENSG00000075151,EIF4G3,63,-0.9928,119,-0.0280,109,-0.1566,139,0.22269,115,-0.0771,126,0.07244,183,0.77265,92,-0.4249,80,-0.6434
ENSG00000117298,ECE1,35,1.38438,11,-0.4483,7,-1.1494,10,-0.6134,10,-0.5695,12,-0.3912,10,-0.7008,40,1.66821,9,-0.8365
ENSG00000162551,ALPL,4,-1.4165,5,-1.1979,11,-0.0708,4,-1.3422,4,-1.6087,13,0.21408,21,1.19374,21,1.02667,13,0.28720
ENSG00000076864,RAP1GAP,39,-1.9490,125,-0.2216,103,-0.4943,116,-0.3096,293,1.20913,244,0.89400,186,0.50127,64,-1.2147,76,-0.9670
ENSG00000090686,USP48,64,0.56736,41,-0.1697,43,-0.0654,30,-0.6045,50,0.16746,65,0.59650,46,0.01719,41,-0.1479,29,-0.6906
ENSG00000070831,CDC42,226,0.01393,217,-0.0568,215,-0.0643,189,-0.2709,254,0.19889,295,0.44404,266,0.31002,184,-0.3095,136,-0.7791
ENSG00000173372,C1QA,43,1.55021,15,-0.1622,7,-1.2477,13,-0.4079,9,-0.9120,3,-2.4270,5,-1.8314,49,1.77693,22,0.37189
ENSG00000159189,C1QC,39,1.47089,12,-0.4283,13,-0.3384,9,-0.9178,11,-0.5094,5,-1.6431,5,-1.8095,42,1.62887,22,0.51693
ENSG00000173369,C1QB,54,1.57889,15,-0.5219,20,-0.0477,14,-0.6517,9,-1.2093,6,-1.7391,7,-1.6779,49,1.39721,34,0.74970
ENSG00000133216,EPHB2,10,-0.3571,17,0.60507,15,0.29784,12,0.01105,3,-1.9340,16,0.44490,13,0.10678,10,-0.2610,8,-0.6861
ENSG00000004487,KDM1A,30,-0.4889,48,0.27265,28,-0.5868,33,-0.3619,46,0.14583,66,0.73640,44,0.11826,35,-0.2684,34,-0.3273
ENSG00000169641,LUZP1,10,-2.2607,38,-0.2535,73,0.80639,44,-0.0062,25,-0.8545,63,0.56713,68,0.78550,25,-0.8859,36,-0.3383
ENSG00000125944,HNRNPR,110,0.09806,103,-0.0173,117,0.18865,100,-0.0641,131,0.37665,134,0.41160,92,-0.2140,102,-0.0287,58,-0.8872
ENSG00000125945,ZNF436,10,-0.7624,20,0.31938,11,-0.5713,12,-0.4782,14,-0.2271,28,0.83715,25,0.79276,4,-1.9152,11,-0.5694
ENSG00000249087,ZNF436-AS1,5,-0.7509,12,0.45095,12,0.40441,11,0.30518,6,-0.5392,3,-1.5524,9,-0.0413,7,-0.3200,14,0.64167
ENSG00000204219,TCEA3,11,0.43138,3,-1.4417,8,-0.1282,7,-0.2000,4,-0.9471,10,0.35563,6,-0.5525,21,1.50181,12,0.53584
ENSG00000117318,ID3,80,3.37819,2,-2.6600,2,-2.6637,0,-4.7053,2,-2.5452,0,-4.1690,0,-4.2509,53,2.37921,9,-0.6271
ENSG00000142676,RPL11,914,1.55662,274,-0.4926,304,-0.2881,243,-0.6360,392,0.11356,288,-0.3723,215,-0.8931,525,0.58805,375,0.04061
ENSG00000011007,ELOA,25,0.59698,14,-0.2912,20,0.21890,20,0.23835,24,0.51475,17,-0.0007,15,-0.2207,14,-0.2566,9,-0.8699
ENSG00000057757,PITHD1,117,-0.7576,197,0.05271,178,-0.1094,164,-0.2346,194,0.02717,267,0.54089,262,0.57836,121,-0.7090,141,-0.4684
