Cluster,Description,geneID,p.adjust,GeneRatio,ONTOLOGY,n_valid,valid_genes,n_valid_anc,valid_genes_anc,GeneRatio_num
Oligo-3_up_AA,postsynaptic specialization,BAIAP2/ELFN2/ADD2/DBN1/EFNB3/DMTN/SORCS3/GRIP1/MAPK8IP2/GABRB3/PCLO/GRIN1/GRM5/NRCAM/NSF/ATP2B2/PAK3/SLC12A5/ADGRB1/SLC8A2/RNF112/LRP8/GRIP2/CAMK2A/CAMK2B/NETO1/KALRN/DCLK1/CABP1/CLSTN3,1.1578174727081568e-7,30/327,CC,0,,0,,0.09174311926605505
Oligo-3_up_AA,distal axon,TUBB3/OLFM1/CPLX2/CPLX1/CNR1/NRSN1/DBN1/TRAK1/FLNA/CBARP/GAD1/ERC2/GRIN1/HSP90AB1/KCNC1/MAP2/PTPRN/RTN4R/SLC8A2/SNAP25/SYP/CALM3/BRSK2/TSPOAP1,1.5773897922807147e-7,24/327,CC,1,GAD1,0,,0.07339449541284404
Oligo-3_up_AA,postsynaptic density,BAIAP2/ELFN2/ADD2/DBN1/EFNB3/DMTN/SORCS3/GRIP1/MAPK8IP2/PCLO/GRIN1/GRM5/NRCAM/NSF/ATP2B2/PAK3/ADGRB1/SLC8A2/RNF112/LRP8/GRIP2/CAMK2A/CAMK2B/NETO1/KALRN/DCLK1/CABP1/CLSTN3,1.9749689358004644e-7,28/327,CC,0,,0,,0.0856269113149847
Oligo-3_up_AA,neuron to neuron synapse,BAIAP2/RAPGEF4/ELFN2/ADD2/DBN1/EFNB3/DMTN/SORCS3/GRIP1/MAPK8IP2/PCLO/GRIN1/GRM5/NRCAM/NSF/ATP2B2/PAK3/ADGRB1/SLC8A2/RNF112/SLC30A3/LRP8/GRIP2/CAMK2A/CAMK2B/NETO1/KALRN/DCLK1/CABP1/CLSTN3,2.3082973844841663e-7,30/327,CC,0,,0,,0.09174311926605505
Oligo-3_up_AA,transport vesicle membrane,RAB3C/SYNPR/DMXL2/CBARP/RAB26/ICA1/SLC6A17/SLC17A7/SYT13/PTPRN/RAB3B/SORL1/STX1A/SYP/SYT4/SYT5/SLC30A3/MCTP1/DOC2A/SYNGR3/ECE2/SV2A,3.341093549033045e-7,22/327,CC,1,SLC17A7,0,,0.0672782874617737
Oligo-3_up_AA,asymmetric synapse,BAIAP2/ELFN2/ADD2/DBN1/EFNB3/DMTN/SORCS3/GRIP1/MAPK8IP2/PCLO/GRIN1/GRM5/NRCAM/NSF/ATP2B2/PAK3/ADGRB1/SLC8A2/RNF112/LRP8/GRIP2/CAMK2A/CAMK2B/NETO1/KALRN/DCLK1/CABP1/CLSTN3,3.864080119390731e-7,28/327,CC,0,,0,,0.0856269113149847
Oligo-3_up_AA,transport vesicle,RAB3C/SYNPR/NRSN1/DMXL2/CBARP/RAB26/GRIN1/ICA1/SLC6A17/SEPTIN5/SLC17A7/SYT13/PTPRN/RAB3B/SNAP25/SORL1/STX1A/SYP/SYT4/SYT5/VGF/RNF112/SLC30A3/MCTP1/DOC2A/SYNGR3/ECE2/SNAP91/SV2A,8.470600414105022e-7,29/327,CC,1,SLC17A7,0,,0.08868501529051988
Oligo-3_up_AA,presynaptic membrane,CNR1/DNM1/EFNB3/ERC2/KCNC1/ATP2B2/PDE2A/CACNA2D3/KCTD16/CADM3/SCN2A/SNAP25/STXBP1/SYP/ADAM23/RIMS3/SNAP91,7.277185727812609e-6,17/327,CC,0,,0,,0.05198776758409786
Oligo-3_up_AA,presynaptic active zone,GAD1/ERC2/PCLO/ATP2B2/CACNA2D3/SLC17A7/STXBP1/SYP/CNTNAP1/RIMS3/SV2A,4.9605496426588425e-5,11/327,CC,2,GAD1/SLC17A7,0,,0.03363914373088685
Oligo-3_up_AA,GABA-ergic synapse,CNR1/PLCB1/GAD1/ERC2/PCLO/NXPH1/SLC6A17/ATP2B2/CACNA2D3/BAIAP3/CLSTN3/SV2A,7.634503142288417e-5,12/327,CC,1,GAD1,0,,0.03669724770642202
Oligo-3_up_AA,neuron projection terminus,BAIAP2/CPLX2/CPLX1/GAD1/GRIN1/KCNC1/PTPRN/SLC8A2/SYP/UCHL1/CALM3/TSPOAP1,3.1116979941768583e-4,12/327,CC,1,GAD1,0,,0.03669724770642202
Oligo-3_up_AA,perikaryon,OLFM1/CPLX2/CPLX1/ENO2/NCDN/FLNA/GRIP1/ASTN1/SLC12A5/PTPRN/RTN4R/SLC8A2/RNF112,4.0972968458823317e-4,13/327,CC,0,,0,,0.039755351681957186
Oligo-3_up_AA,dendritic shaft,BAIAP2/FLNA/GRM5/MAP2/NSF/RTN4R/JPH4,4.393349416900198e-4,7/327,CC,0,,0,,0.021406727828746176
Oligo-3_up_AA,axonal growth cone,OLFM1/TRAK1/FLNA/HSP90AB1/RTN4R/SNAP25,4.904371416567396e-4,6/327,CC,0,,0,,0.01834862385321101
Oligo-3_up_AA,cation channel complex,UNC80/KCNC1/KCNQ2/CACNA2D3/SCN3B/KCNQ5/SCN2A/SCN3A/SCNN1D/SNAP25/STX1A/CACNA1B/CACNB1/KCNIP4/CALM3,8.670912798962858e-4,15/327,CC,0,,0,,0.045871559633027525
Oligo-3_up_AA,growth cone,TUBB3/OLFM1/CNR1/NRSN1/DBN1/TRAK1/FLNA/CBARP/ERC2/HSP90AB1/MAP2/RTN4R/SNAP25,9.343006782242922e-4,13/327,CC,0,,0,,0.039755351681957186
Oligo-3_up_AA,calyx of Held,CPLX2/CPLX1/KCNC1/CALM3/TSPOAP1,0.0011720669216219982,5/327,CC,0,,0,,0.01529051987767584
Oligo-3_up_AA,site of polarized growth,TUBB3/OLFM1/CNR1/NRSN1/DBN1/TRAK1/FLNA/CBARP/ERC2/HSP90AB1/MAP2/RTN4R/SNAP25,0.0011720669216219982,13/327,CC,0,,0,,0.039755351681957186
Oligo-3_up_AA,axon terminus,CPLX2/CPLX1/GAD1/GRIN1/KCNC1/PTPRN/SLC8A2/SYP/CALM3/TSPOAP1,0.0015813291138084718,10/327,CC,1,GAD1,0,,0.03058103975535168
Oligo-3_up_AA,postsynaptic specialization membrane,ELFN2/EFNB3/SORCS3/GABRB3/GRIN1/GRM5/NRCAM/ATP2B2/SLC12A5/LRP8/NETO1/CLSTN3,0.0019037332309662877,12/327,CC,0,,0,,0.03669724770642202
Oligo-3_up_AA,excitatory synapse,BAIAP2/GRIN1/ATP2B2/SUSD4/SLC17A7/STXBP1/SYP/NETO1,0.0019081471199894472,8/327,CC,1,SLC17A7,0,,0.024464831804281346
Oligo-3_up_AA,postsynaptic membrane,ELFN2/DBN1/EFNB3/SORCS3/GRIP1/GABRB3/GRIN1/GRM5/KCNC1/NRCAM/ATP2B2/SUSD4/SLC12A5/KCTD16/LRP8/GRIP2/NETO1/CLSTN3,0.002018350656473053,18/327,CC,0,,0,,0.05504587155963303
Oligo-3_up_AA,dense core granule,VPS13A/DMXL2/PLCB2/SYT13/SYT4/SYT5,0.002397276098068279,6/327,CC,0,,0,,0.01834862385321101
Oligo-3_up_AA,monoatomic ion channel complex,GABRB3/UNC80/GRIN1/KCNC1/KCNQ2/CACNA2D3/SCN3B/KCNQ5/SLC17A7/SCN2A/SCN3A/SCNN1D/SNAP25/STX1A/CACNA1B/CACNB1/KCNIP4/CALM3,0.003213623368210735,18/327,CC,1,SLC17A7,0,,0.05504587155963303
Oligo-3_up_AA,neuronal dense core vesicle,VPS13A/DMXL2/PLCB2/SYT4/SYT5,0.003213623368210735,5/327,CC,0,,0,,0.01529051987767584
Oligo-3_up_AA,postsynaptic density membrane,ELFN2/EFNB3/SORCS3/GRIN1/GRM5/NRCAM/ATP2B2/LRP8/NETO1/CLSTN3,0.00479364972580544,10/327,CC,0,,0,,0.03058103975535168
Oligo-3_up_AA,presynaptic active zone cytoplasmic component,ERC2/PCLO/STXBP1/RIMS3,0.004927183938349953,4/327,CC,0,,0,,0.012232415902140673
Oligo-3_up_AA,extrinsic component of presynaptic membrane,SNAP25/STXBP1/SNAP91,0.0060482070850174,3/327,CC,0,,0,,0.009174311926605505
Oligo-3_up_AA,main axon,KCNC1/KCNQ2/MAP2/NRCAM/SCN2A/CNTNAP1/LGI1,0.008809091015652724,7/327,CC,0,,0,,0.021406727828746176
Oligo-3_up_AA,sodium channel complex,SCN3B/SCN2A/SCN3A/SCNN1D,0.010607601448783649,4/327,CC,0,,0,,0.012232415902140673
Oligo-3_up_AA,cell cortex,CRIP2/DBN1/DMTN/TRAK1/FLNA/GAD1/ERC2/PCLO/SEPTIN5/FNBP1L/PDZD4/SNAP25/STXBP1/CAPN2/CABP1/RIMS3,0.011019722165291745,16/327,CC,1,GAD1,0,,0.04892966360856269
Oligo-3_up_AA,cytosolic region,BAIAP2/DBN1/PLCB1/STXBP1/CALM3,0.011765183696974522,5/327,CC,0,,0,,0.01529051987767584
Oligo-3_up_AA,axon initial segment,KCNQ2/MAP2/NRCAM/LGI1,0.011765183696974522,4/327,CC,0,,0,,0.012232415902140673
Oligo-3_up_AA,collagen trimer,COL4A3/COL6A1/COL9A1/COL24A1/COL5A3/COL20A1/COL21A1,0.01258946154805464,7/327,CC,0,,0,,0.021406727828746176
Oligo-3_up_AA,synaptic cleft,CBLN2/GRIN1/NXPH1/LGI1,0.018034545410583473,4/327,CC,0,,0,,0.012232415902140673
Oligo-3_up_AA,voltage-gated sodium channel complex,SCN3B/SCN2A/SCN3A,0.018034545410583473,3/327,CC,0,,0,,0.009174311926605505
Oligo-3_up_AA,voltage-gated potassium channel complex,KCNC1/KCNQ2/KCNQ5/SNAP25/STX1A/KCNIP4/CALM3,0.020953371234872113,7/327,CC,0,,0,,0.021406727828746176
Oligo-3_up_AA,neuron projection cytoplasm,BAIAP2/TRAK1/BLOC1S2/HSPB1/MAP2/UCHL1/NETO1,0.026675363707168977,7/327,CC,0,,0,,0.021406727828746176
Oligo-3_up_AA,sarcoplasm,POMT1/COL6A1/RASD1/JPH3/SCN3A/CAMK2B/JPH4,0.02909130382414583,7/327,CC,0,,0,,0.021406727828746176
Oligo-3_up_AA,transporter complex,ABCB6/GABRB3/UNC80/GRIN1/KCNC1/KCNQ2/CACNA2D3/SCN3B/KCNQ5/SLC17A7/ATP8B2/SCN2A/SCN3A/SCNN1D/SNAP25/STX1A/CACNA1B/CACNB1/KCNIP4/CALM3,0.02909130382414583,20/327,CC,1,SLC17A7,0,,0.06116207951070336
Oligo-3_up_AA,transmembrane transporter complex,ABCB6/GABRB3/UNC80/GRIN1/KCNC1/KCNQ2/CACNA2D3/SCN3B/KCNQ5/SLC17A7/SCN2A/SCN3A/SCNN1D/SNAP25/STX1A/CACNA1B/CACNB1/KCNIP4/CALM3,0.033675355765956115,19/327,CC,1,SLC17A7,0,,0.0581039755351682
Oligo-3_up_AA,calcium- and calmodulin-dependent protein kinase complex,CAMK2A/CAMK2B,0.035252304258986365,2/327,CC,0,,0,,0.0061162079510703364
Oligo-3_up_AA,synaptobrevin 2-SNAP-25-syntaxin-1a complex,SNAP25/STX1A,0.035252304258986365,2/327,CC,0,,0,,0.0061162079510703364
Oligo-3_up_AA,neuronal dense core vesicle membrane,SYT4/SYT5,0.035252304258986365,2/327,CC,0,,0,,0.0061162079510703364
Oligo-3_up_AA,potassium channel complex,KCNC1/KCNQ2/KCNQ5/SNAP25/STX1A/KCNIP4/CALM3,0.035252304258986365,7/327,CC,0,,0,,0.021406727828746176
Oligo-3_up_AA,sarcoplasmic reticulum,POMT1/COL6A1/RASD1/JPH3/CAMK2B/JPH4,0.0352815182022313,6/327,CC,0,,0,,0.01834862385321101
Oligo-3_up_AA,Schaffer collateral - CA1 synapse,BAIAP2/CPLX1/IQSEC2/GRM5/SYP/LRP8/NETO1,0.03802397893071465,7/327,CC,0,,0,,0.021406727828746176
Oligo-3_up_AA,cell cortex region,ERC2/PCLO/STXBP1/RIMS3,0.03943513004045906,4/327,CC,0,,0,,0.012232415902140673
Oligo-3_up_AA,junctional membrane complex,JPH3/JPH4,0.047636707966346156,2/327,CC,0,,0,,0.0061162079510703364
"Oligo-3_up_AA, Oligo-3_up_EA",actin-based cell projection,FARP1/OSBPL3/GPM6A/SLC7A5,0.011002354782292426,4/19,CC,1,GPM6A,0,,0.21052631578947367
"Oligo-3_up_AA, Oligo-3_up_EA",filopodium,FARP1/OSBPL3/GPM6A,0.012873581980019689,3/19,CC,1,GPM6A,0,,0.15789473684210525
Oligo-3_up_ALL,neuronal cell body,OLFM1/BAIAP2/ADCY8/LRRK2/CRMP1/EPHA4/INPP5F/FLNA/VPS13A/GRIP1/GAD2/GPM6A/GRM5/HCN1/ITGA4/KCND3/KCNN2/MAP2/ASTN1/ATP1A2/ATP2B2/PDE1B/PRKAA2/PLXDC1/SLC4A10/SLC12A5/CPNE5/BRINP2/PTPRN/CX3CL1/SLC1A1/RTN4R/SLC2A3/BMPR2/SNAP25/SYT4/TNFRSF1B/UCHL1/VGF/CACNA1B/CACNA1C/CACNA1E/LRP8/FZD3/RIN3/KCNIP4/GRIP2/CAPN2/ENC1/UNC5A/NRXN1/HOMER1,3.6300886343555636e-8,52/618,CC,4,LRRK2/GAD2/GPM6A/ENC1,0,,0.08414239482200647
Oligo-3_up_ALL,synaptic membrane,FARP1/BAIAP2/GNB5/CHRM1/ADCY8/CNR1/LRFN5/GSG1L/DGKB/DNM1/EPHA4/SORCS3/SYNE1/GRIP1/GABRB3/GAD2/ERC2/GPM6A/GRIK1/GRM5/GRM7/HCN1/KCND3/KCNJ3/NRCAM/ATP2B2/PALM/CACNA2D3/TENM2/SLC12A5/NLGN4X/KCTD16/CADM3/SCN2A/SLC1A2/SLC6A7/SNAP25/SNTA1/STXBP1/UTRN/CACNA1C/LRP8/FZD3/GRIP2/ADAM23/CACNA2D2/NRXN1/CLSTN3,6.301592485082044e-8,48/618,CC,3,GAD2/GPM6A/SNTA1,0,,0.07766990291262135
Oligo-3_up_ALL,cation channel complex,ABCC9/DPP6/UNC80/GRIK1/HCN1/KCND3/KCNJ3/KCNQ2/KCNQ3/ASPH/PDE4D/CACNA2D3/SCN3B/KCNQ5/DPP10/CACHD1/SCN2A/SCN3A/SCN9A/SNAP25/STX1A/TRPC3/CACNA1B/CACNA1C/CACNA1D/CACNA1E/CACNB2/CACNB4/KCNIP4/CALM3/CACNA2D2,6.301592485082044e-8,31/618,CC,0,,0,,0.05016181229773463
Oligo-3_up_ALL,receptor complex,CALCRL/RAMP1/MERTK/CSF2RA/PLA2R1/FLNA/GABRB3/GRIK1/GRM7/ITGA6/ITGA4/ITGA9/ITGAX/ITGB4/LRP1/BMAL1/LYN/SMAD3/NOTCH2/NTRK3/OLR1/NT5DC3/PDGFRB/PLXNA2/APBB1IP/PPARG/AXL/BMAL2/PLXDC1/KCTD16/PTPRN2/BMPR2/CAPRIN2/TFRC/TLR2/TNFRSF1B/LRP8/ADGRV1/SKAP1/OLFM2/CD44/ARNT2,9.83485954598617e-8,42/618,CC,1,NTRK3,1,NTRK3,0.06796116504854369
Oligo-3_up_ALL,filopodium,ARL4C/FARP1/BAIAP2/IQGAP2/EPHA4/OSBPL3/GPM6A/ITGA6/MAP2/KITLG/MYO1B/PALM/TENM2/SNAP25/UTRN/EZR/FZD3/RIPOR2,9.604964769794732e-6,18/618,CC,1,GPM6A,0,,0.02912621359223301
Oligo-3_up_ALL,neuron to neuron synapse,BAIAP2/RAPGEF4/CHRM1/ADCY8/LRFN5/GSG1L/DAPK1/EPHA4/SORCS3/WWC1/GRIP1/RNF19A/PCLO/GRIK1/GRM5/GRM7/NRCAM/NSF/ATP2B2/PAK3/PALM/PLEKHA5/ADGRB1/NLGN4X/BCR/SLC1A1/BMPR2/SYN2/YWHAH/CACNA1C/SLC30A3/LRP8/GRIP2/CAMK2A/CAMK2B/CAMK2G/KALRN/SYT12/DCLK1/HOMER1/CLSTN3,1.0341016803882341e-5,41/618,CC,0,,0,,0.06634304207119741
Oligo-3_up_ALL,monoatomic ion channel complex,ABCC9/DPP6/GABRB3/UNC80/GRIK1/HCN1/KCND3/KCNJ3/KCNQ2/KCNQ3/ASPH/PDE4D/CACNA2D3/SCN3B/KCNQ5/SLC17A7/DPP10/CACHD1/SCN2A/SCN3A/SCN9A/SNAP25/STX1A/TRPC3/CACNA1B/CACNA1C/CACNA1D/CACNA1E/CACNB2/CACNB4/KCNIP4/CALM3/KCNH7/CACNA2D2/OLFM2,1.1085206956165146e-5,35/618,CC,1,SLC17A7,0,,0.05663430420711974
Oligo-3_up_ALL,presynaptic membrane,GNB5/CHRM1/ADCY8/CNR1/DNM1/EPHA4/GAD2/ERC2/GPM6A/GRIK1/HCN1/KCNJ3/ATP2B2/CACNA2D3/KCTD16/CADM3/SCN2A/SLC1A2/SNAP25/STXBP1/FZD3/ADAM23/CACNA2D2/NRXN1,1.2859004843911342e-5,24/618,CC,2,GAD2/GPM6A,0,,0.038834951456310676
Oligo-3_up_ALL,dendritic shaft,BAIAP2/EPHA4/FLNA/GRM5/GRM7/HCN1/MAP2/NSF/SLC1A1/RTN4R/HOMER1,2.2424724874353115e-5,11/618,CC,0,,0,,0.01779935275080906
Oligo-3_up_ALL,asymmetric synapse,BAIAP2/CHRM1/ADCY8/LRFN5/GSG1L/DAPK1/EPHA4/SORCS3/WWC1/GRIP1/PCLO/GRIK1/GRM5/GRM7/NRCAM/NSF/ATP2B2/PAK3/PALM/PLEKHA5/ADGRB1/NLGN4X/BCR/SLC1A1/BMPR2/SYN2/YWHAH/CACNA1C/LRP8/GRIP2/CAMK2A/CAMK2B/CAMK2G/KALRN/DCLK1/HOMER1/CLSTN3,3.38019336228702e-5,37/618,CC,0,,0,,0.059870550161812294
Oligo-3_up_ALL,postsynaptic specialization,BAIAP2/CHRM1/ADCY8/LRFN5/GSG1L/DAPK1/EPHA4/SORCS3/WWC1/GRIP1/GABRB3/PCLO/GRIK1/GRM5/KCND3/LYN/NRCAM/NSF/ATP2B2/PAK3/PALM/PLEKHA5/SLC12A5/ADGRB1/NLGN4X/BCR/BMPR2/SYN2/CACNA1C/LRP8/GRIP2/CAMK2A/CAMK2B/CAMK2G/KALRN/DCLK1/HOMER1/CLSTN3,3.597790495044354e-5,38/618,CC,0,,0,,0.061488673139158574
Oligo-3_up_ALL,GABA-ergic synapse,CNR1/LRFN5/PLCB1/GAD1/GAD2/ERC2/PCLO/NXPH1/KCND3/SLC6A17/ATP2B2/CACNA2D3/SLC4A10/NLGN4X/CACNA2D2/NRXN1/CLSTN3,5.5292986121142336e-5,17/618,CC,2,GAD1/GAD2,0,,0.02750809061488673
Oligo-3_up_ALL,presynaptic active zone,ADCY8/GAD1/ERC2/PCLO/GPM6A/GRM7/HCN1/ATP2B2/CACNA2D3/SLC17A7/STXBP1/TRIO/FZD3/PPFIA3/CACNA2D2,5.5292986121142336e-5,15/618,CC,3,GAD1/GPM6A/SLC17A7,0,,0.024271844660194174
Oligo-3_up_ALL,actin-based cell projection,ARL4C/FARP1/BAIAP2/IQGAP2/LRRK2/EPHA4/OSBPL3/GPM6A/ITGA6/MAP2/KITLG/MYO1B/MYO1F/PALM/TENM2/SNAP25/UTRN/EZR/FZD3/SLC7A5/ADGRV1/SLC4A7/CD44/RIPOR2,1.0095858037493559e-4,24/618,CC,2,LRRK2/GPM6A,0,,0.038834951456310676
Oligo-3_up_ALL,synaptic vesicle membrane,RAB3C/LRRK2/DMXL2/GAD2/RAB26/AMPH/SLC6A17/SLC17A7/SYT13/PTPRN2/STX1A/SYN2/SYT4/WFS1/SLC30A3/MCTP1/SLC35G2/DOC2A/SYT12,1.0095858037493559e-4,19/618,CC,3,LRRK2/GAD2/SLC17A7,0,,0.030744336569579287
Oligo-3_up_ALL,exocytic vesicle membrane,RAB3C/LRRK2/DMXL2/GAD2/RAB26/AMPH/SLC6A17/SLC17A7/SYT13/PTPRN2/STX1A/SYN2/SYT4/WFS1/SLC30A3/MCTP1/SLC35G2/DOC2A/SYT12,1.0095858037493559e-4,19/618,CC,3,LRRK2/GAD2/SLC17A7,0,,0.030744336569579287
Oligo-3_up_ALL,voltage-gated calcium channel complex,PDE4D/CACNA2D3/CACHD1/CACNA1B/CACNA1C/CACNA1D/CACNA1E/CACNB2/CACNB4/CACNA2D2,1.0500918968064863e-4,10/618,CC,0,,0,,0.016181229773462782
Oligo-3_up_ALL,transport vesicle membrane,RAB3C/LRRK2/CPE/DMXL2/GAD2/RAB26/AMPH/HLA-E/SLC6A17/PAM/SLC17A7/SYT13/PTPRN/PTPRN2/STX1A/SYN2/SYT4/WFS1/SLC30A3/MCTP1/SLC35G2/NCALD/DOC2A/SYT12/SYTL4/CD59,1.2556535368960176e-4,26/618,CC,3,LRRK2/GAD2/SLC17A7,0,,0.042071197411003236
Oligo-3_up_ALL,postsynaptic density,BAIAP2/CHRM1/ADCY8/LRFN5/GSG1L/DAPK1/EPHA4/SORCS3/WWC1/GRIP1/PCLO/GRIK1/GRM5/NRCAM/NSF/ATP2B2/PAK3/PALM/PLEKHA5/ADGRB1/NLGN4X/BCR/BMPR2/SYN2/CACNA1C/LRP8/GRIP2/CAMK2A/CAMK2B/CAMK2G/KALRN/DCLK1/HOMER1/CLSTN3,1.2556535368960176e-4,34/618,CC,0,,0,,0.05501618122977346
Oligo-3_up_ALL,membrane raft,SORBS1/ADCY8/LRRK2/CNR1/STOM/RFTN1/HK1/INPP5D/LYN/ATP1A2/OLR1/FXYD1/PTPRC/SLC1A1/SLC1A2/RTN4R/BMPR2/STIM1/TLR2/TNFRSF1B/EZR/LRP8/AHNAK/CAPN2/CARD11/SKAP1/UNC5A/ENTPD1,1.6065782986505724e-4,28/618,CC,1,LRRK2,1,RFTN1,0.045307443365695796
Oligo-3_up_ALL,membrane microdomain,SORBS1/ADCY8/LRRK2/CNR1/STOM/RFTN1/HK1/INPP5D/LYN/ATP1A2/OLR1/FXYD1/PTPRC/SLC1A1/SLC1A2/RTN4R/BMPR2/STIM1/TLR2/TNFRSF1B/EZR/LRP8/AHNAK/CAPN2/CARD11/SKAP1/UNC5A/ENTPD1,1.761297863279407e-4,28/618,CC,1,LRRK2,1,RFTN1,0.045307443365695796
Oligo-3_up_ALL,axonal growth cone,OLFM1/EPHA4/TRAK1/FLNA/GPM6A/RTN4R/SNAP25/NRXN1,2.657086196002058e-4,8/618,CC,1,GPM6A,0,,0.012944983818770227
Oligo-3_up_ALL,neuron spine,FARP1/BAIAP2/PTCHD1/EPHA4/SYNE1/GABRB3/GPM6A/GRM5/KCND3/KCNN2/ATP1A2/ATP2B2/PALM/ASAP1/TENM2/ADGRB1/BCR/SLC1A1/GRIP2/CAMK2A/HOMER1,2.657086196002058e-4,21/618,CC,1,GPM6A,0,,0.03398058252427184
Oligo-3_up_ALL,calcium channel complex,ASPH/PDE4D/CACNA2D3/CACHD1/CACNA1B/CACNA1C/CACNA1D/CACNA1E/CACNB2/CACNB4/CALM3/CACNA2D2,3.290755705302963e-4,12/618,CC,0,,0,,0.019417475728155338
