Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to8,Feature log2 fold change topic 2to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000116688,MFN2,3,-4.6283,96,1.20971,50,-0.7390,71,-0.1778
ENSG00000116691,MIIP,3,-2.4161,18,0.33979,24,0.53381,16,-0.0987
ENSG00000048707,VPS13D,3,-3.9746,59,0.96300,55,0.12634,33,-0.6754
ENSG00000162496,DHRS3,53,0.67331,24,-1.3567,92,1.67344,39,0.16930
ENSG00000116731,PRDM2,100,0.47680,73,-0.0566,73,-0.0268,56,-0.4326
ENSG00000189337,KAZN,3,-3.6662,41,0.03331,49,0.27398,69,0.86241
ENSG00000142634,EFHD2,23,-1.9519,103,1.31444,49,-0.8558,52,-0.7685
ENSG00000116138,DNAJC16,3,-2.6860,24,0.74965,27,0.41567,12,-0.8765
ENSG00000197312,DDI2,3,-2.6233,23,0.73242,17,-0.2665,20,0.04418
ENSG00000116786,PLEKHM2,3,-4.5664,92,1.19135,86,0.19634,31,-1.3995
ENSG00000065526,SPEN,149,2.25039,27,-1.5279,28,-0.6629,61,0.56693
ENSG00000116809,ZBTB17,3,-2.4898,19,0.39239,18,-0.0231,23,0.40409
ENSG00000185519,FAM131C,3,-2.1696,16,0.51381,7,-0.9893,22,0.70952
ENSG00000037637,FBXO42,3,-2.3494,17,0.20310,30,0.97662,11,-0.5500
ENSG00000055070,SZRD1,72,1.31681,21,-1.5573,61,1.00122,53,0.76729
ENSG00000159363,ATP13A2,50,-1.6491,182,1.48984,111,-0.4375,32,-2.2806
ENSG00000117118,SDHB,3,-4.0676,60,0.58450,82,0.67476,35,-0.6754
ENSG00000117115,PADI2,4,-4.1291,23,-2.7610,141,1.33192,335,3.27993
ENSG00000179051,RCC2,46,1.19288,20,-0.3608,7,-1.7731,27,0.30834
ENSG00000074964,ARHGEF10L,3,-2.3876,19,0.64733,22,0.44666,10,-0.7361
ENSG00000117154,IGSF21,87,0.35144,82,0.94268,15,-2.3027,25,-1.5673
ENSG00000159423,ALDH4A1,3,-3.1541,23,-0.8823,87,1.96173,36,0.38807
ENSG00000169991,IFFO2,3,-1.9995,15,0.73775,6,-1.0018,16,0.36062
ENSG00000127463,EMC1,109,1.79331,34,-0.6056,28,-0.5150,17,-1.2530
ENSG00000053372,MRTO4,52,0.31983,48,0.62056,25,-0.8504,16,-1.4863
ENSG00000053371,AKR7A2,71,0.69103,34,-1.1179,76,0.82122,77,0.83805
ENSG00000077549,CAPZB,307,0.52963,225,0.06546,228,0.04072,110,-1.0851
ENSG00000173436,MICOS10,298,0.06628,273,-0.2089,285,-0.0050,364,0.39344
ENSG00000158747,NBL1,571,1.36116,227,-0.5180,355,0.53088,51,-2.4500
ENSG00000162545,CAMK2N1,394,-1.4252,1171,1.01318,747,-0.4513,599,-0.7929
ENSG00000090432,MUL1,35,0.52246,26,0.05127,22,-0.2581,18,-0.5630
ENSG00000183114,FAM43B,3,-2.3751,20,1.14269,11,-0.5697,12,-0.5194
ENSG00000158828,PINK1,38,-3.4005,439,1.15381,327,-0.1797,226,-0.7552
ENSG00000244038,DDOST,148,2.59108,26,-1.2324,24,-0.6804,13,-1.5779
ENSG00000117245,KIF17,3,-2.1979,17,0.96707,13,-0.2436,10,-0.5536
ENSG00000189410,SH2D5,78,1.38207,35,-0.0030,25,-0.5144,1,-4.9024
ENSG00000127483,HP1BP3,185,0.61920,123,-0.1283,109,-0.2389,111,-0.2186
ENSG00000075151,EIF4G3,235,1.22169,115,0.01822,41,-1.5477,62,-0.9346
ENSG00000117298,ECE1,54,1.32839,14,-1.7202,48,1.08897,44,0.94378
ENSG00000076864,RAP1GAP,3,-5.4997,194,2.45936,80,-0.9381,22,-2.8639
ENSG00000090686,USP48,3,-3.4961,39,0.36688,39,0.09693,49,0.47127
ENSG00000070831,CDC42,253,0.19338,240,0.35301,125,-0.9046,185,-0.3055
ENSG00000173372,C1QA,247,3.27830,9,-3.8412,143,1.94632,19,-1.3632
ENSG00000173369,C1QB,432,4.04295,11,-4.0715,136,1.21165,17,-2.0214
ENSG00000004487,KDM1A,149,1.34205,63,-0.3024,66,-0.0440,19,-1.9096
ENSG00000169641,LUZP1,3,-3.8352,61,2.32521,26,-0.8756,6,-2.9725
ENSG00000125944,HNRNPR,3,-4.5337,85,0.74190,75,-0.0038,74,-0.0087
ENSG00000125945,ZNF436,3,-2.2476,18,1.13249,5,-1.6442,16,0.09872
ENSG00000117318,ID3,221,2.07782,9,-4.4925,331,3.04325,75,0.13464
ENSG00000142676,RPL11,1601,1.57737,358,-1.8667,975,0.68705,1344,1.25042
ENSG00000057757,PITHD1,153,-0.1273,191,0.83020,89,-0.9675,80,-1.1356
ENSG00000011009,LYPLA2,3,-3.6989,50,1.13830,48,0.21673,16,-1.4102
ENSG00000117308,GALE,3,-2.2025,19,1.62734,5,-1.6765,9,-0.6845
ENSG00000117305,HMGCL,112,2.60849,15,-1.8152,33,0.32866,20,-0.4559
ENSG00000189266,PNRC2,22,-0.9132,36,-0.4933,78,1.08607,53,0.42383
ENSG00000188529,SRSF10,51,0.37482,38,-0.2956,46,0.18657,43,0.10176
ENSG00000001461,NIPAL3,3,-4.2602,58,-0.2613,59,-0.0719,148,1.49110
ENSG00000133226,SRRM1,3,-3.5576,37,-0.1707,45,0.25888,76,1.15840
ENSG00000169504,CLIC4,3,-3.6189,14,-2.8112,89,1.37426,207,3.27337
ENSG00000117614,SYF2,3,-3.8952,43,-0.4494,86,0.96089,89,1.02044
ENSG00000117616,RSRP1,3,-3.9009,48,-0.0585,73,0.68766,72,0.66078
ENSG00000183726,TMEM50A,43,-0.8481,72,-0.1132,103,0.54974,87,0.27779
ENSG00000204178,MACO1,3,-2.8273,27,1.04237,8,-1.5651,28,0.30416
ENSG00000117643,MAN1C1,33,-0.2087,39,0.18825,49,0.43999,20,-0.9431
ENSG00000162430,SELENON,126,1.34904,38,-1.3777,103,0.98125,72,0.38096
ENSG00000117640,MTFR1L,174,1.26967,75,-0.4149,72,-0.2121,53,-0.6809
ENSG00000117632,STMN1,180,-2.4500,1092,1.21709,508,-0.9020,720,-0.3613
ENSG00000158008,EXTL1,47,-0.1240,63,1.50444,12,-2.1813,7,-2.8867
ENSG00000142684,ZNF593,3,-3.3706,37,0.65368,51,0.69576,17,-1.0494
ENSG00000142669,SH3BGRL3,162,-0.3451,201,-0.0208,220,0.13942,229,0.20546
ENSG00000158062,UBXN11,3,-2.4407,21,1.11192,9,-0.9099,16,-0.1751
ENSG00000117682,DHDDS,3,-2.4914,21,0.98398,17,-0.1133,12,-0.6631
ENSG00000198830,HMGN2,3,-5.1280,94,-0.7487,235,1.23462,236,1.24294
ENSG00000117713,ARID1A,3,-3.8082,48,0.36040,66,0.63060,43,-0.0713
ENSG00000204160,ZDHHC18,3,-3.1506,36,1.30907,34,0.23145,5,-2.4664
ENSG00000090273,NUDC,120,-0.5064,177,0.33377,170,0.03113,132,-0.3681
ENSG00000253368,TRNP1,3,-4.1690,77,2.45972,28,-1.1081,10,-2.6733
ENSG00000090020,SLC9A1,3,-2.8071,27,1.24868,30,0.48104,0,-5.2516
ENSG00000142784,WDTC1,86,1.29059,34,-0.6458,41,0.06265,33,-0.2824
ENSG00000186501,TMEM222,21,-1.9273,85,0.72520,62,-0.3004,71,-0.0864
ENSG00000158195,WASF2,72,0.88581,18,-2.4636,73,0.91227,152,2.33640
ENSG00000126705,AHDC1,3,-3.5352,47,1.55975,16,-1.2637,27,-0.4923
ENSG00000126709,IFI6,352,1.59927,98,-1.2756,190,0.50653,169,0.30961
ENSG00000117758,STX12,3,-4.5250,84,0.73146,83,0.18499,65,-0.1996
ENSG00000117751,PPP1R8,3,-2.9329,24,-0.1379,36,0.62611,39,0.77468
ENSG00000117748,RPA2,3,-3.8297,53,0.90531,53,0.21843,29,-0.7008
ENSG00000126698,DNAJC8,3,-4.8666,105,0.60906,118,0.36889,85,-0.1666
ENSG00000130770,ATP5IF1,215,-0.8206,412,0.71617,360,-0.0180,177,-1.1138
ENSG00000180098,TRNAU1AP,3,-2.3642,17,0.14471,23,0.51320,20,0.31405
ENSG00000120656,TAF12,3,-2.1217,15,0.32100,11,-0.3599,21,0.67722
ENSG00000198492,YTHDF2,179,1.33484,79,-0.1476,42,-1.0250,42,-1.0408
ENSG00000116350,SRSF4,29,-0.2454,34,0.04304,32,-0.0744,38,0.19190
ENSG00000116353,MECR,3,-3.1862,34,0.89455,32,0.15459,19,-0.6713
ENSG00000060656,PTPRU,96,2.29902,20,-1.0619,18,-0.5793,13,-1.0932
ENSG00000162511,LAPTM5,64,1.53756,13,-2.0116,75,1.84433,27,0.06867
ENSG00000162512,SDC3,3,-5.5624,171,0.48927,208,0.46429,154,-0.0220
ENSG00000134644,PUM1,3,-4.8966,119,1.49267,57,-0.8112,66,-0.5864
ENSG00000060688,SNRNP40,3,-2.4887,19,0.13750,34,1.03927,13,-0.4533
ENSG00000121766,ZCCHC17,4,-4.4938,111,1.25282,51,-0.8944,83,-0.1483
ENSG00000121769,FABP3,271,0.62187,207,0.62021,98,-0.9907,35,-2.5157
ENSG00000162517,PEF1,8,-3.4042,94,1.25585,58,-0.4464,51,-0.6441
ENSG00000084636,COL16A1,3,-3.5325,32,-0.6110,80,1.28414,65,0.91419
ENSG00000121753,ADGRB2,121,-1.2136,322,1.28982,192,-0.5077,82,-1.7988
ENSG00000184007,PTP4A2,3,-5.8887,152,-0.8925,120,-0.7280,725,2.45357
ENSG00000121774,KHDRBS1,117,0.17549,104,-0.0368,103,-0.0290,100,-0.0704
ENSG00000025800,KPNA6,3,-3.0799,28,0.21936,31,0.22914,39,0.56140
ENSG00000084652,TXLNA,135,2.38643,24,-1.4006,31,-0.2684,29,-0.3749
ENSG00000160050,CCDC28B,61,1.75761,17,-0.8898,18,-0.3480,20,-0.1812
ENSG00000084623,EIF3I,186,0.72879,119,-0.0200,102,-0.2465,74,-0.7545
ENSG00000175130,MARCKSL1,3,-6.2602,166,-1.4902,406,0.75428,995,2.50632
ENSG00000160058,BSDC1,126,0.89391,73,-0.0639,34,-1.1831,67,-0.1399
ENSG00000176261,ZBTB8OS,3,-3.4133,37,0.35429,42,0.31871,41,0.28233
ENSG00000162521,RBBP4,51,-0.5246,71,-0.0188,86,0.29341,80,0.17134
ENSG00000162522,KIAA1522,3,-2.6587,23,0.85353,33,0.80342,2,-3.1933
ENSG00000134684,YARS,100,-0.1189,123,0.73276,74,-0.5985,47,-1.2770
ENSG00000160097,FNDC5,3,-2.9180,30,1.55083,22,-0.1682,5,-2.2298
ENSG00000121905,HPCA,142,-0.8437,304,1.57344,122,-1.0678,42,-2.6631
ENSG00000121900,TMEM54,3,-3.4997,37,0.09217,58,0.75079,44,0.28877
ENSG00000116514,RNF19B,3,-2.5272,22,1.08611,26,0.54603,1,-3.5391
ENSG00000004455,AK2,3,-2.9252,18,-1.1571,54,1.32957,63,1.63069
ENSG00000142920,AZIN2,3,-3.0073,28,0.49485,25,-0.0421,32,0.32490
ENSG00000160094,ZNF362,3,-2.4172,18,0.22515,26,0.69183,16,-0.0697
ENSG00000134686,PHC2,118,0.85110,61,-0.6015,52,-0.4742,108,0.70136
ENSG00000163866,SMIM12,74,0.56254,53,0.02331,53,0.01510,29,-0.9410
ENSG00000116544,DLGAP3,30,-1.0292,72,1.30171,53,-0.1508,3,-4.3295
ENSG00000116560,SFPQ,3,-5.4372,144,0.12640,261,1.04562,130,-0.1192
ENSG00000146463,ZMYM4,3,-2.9515,31,1.41981,20,-0.3474,11,-1.2856
ENSG00000142687,KIAA0319L,63,0.24935,57,0.27003,54,-0.0019,24,-1.2150
ENSG00000020129,NCDN,225,-1.0477,548,1.49972,283,-0.6988,73,-2.7243
ENSG00000126067,PSMB2,3,-4.8268,111,1.25457,77,-0.2726,59,-0.6970
ENSG00000142686,C1orf216,5,-4.0583,107,1.87085,63,-0.4552,19,-2.2198
ENSG00000092847,AGO1,3,-3.3612,36,0.46608,47,0.56731,28,-0.2633
ENSG00000116863,ADPRHL2,55,1.38096,21,-0.5917,14,-0.8327,27,0.14291
ENSG00000054116,TRAPPC3,3,-3.7977,54,1.14226,36,-0.3265,33,-0.4908
ENSG00000116871,MAP7D1,185,-0.1637,204,-0.0294,216,0.08286,223,0.13553
ENSG00000054118,THRAP3,161,1.23619,70,-0.4473,68,-0.2160,57,-0.4737
ENSG00000196182,STK40,69,1.75362,21,-0.6690,24,-0.0598,9,-1.5566
ENSG00000181817,LSM10,3,-3.5301,45,1.22677,29,-0.3768,25,-0.6430
ENSG00000116885,OSCP1,3,-2.1651,19,2.15725,3,-2.0383,5,-1.5261
ENSG00000116898,MRPS15,3,-3.6801,50,1.14976,31,-0.4557,32,-0.3863
ENSG00000163873,GRIK3,3,-2.5162,24,1.93191,4,-2.2147,11,-0.8372
ENSG00000163875,MEAF6,3,-4.6048,101,2.00111,35,-1.2322,37,-1.1717
ENSG00000134697,GNL2,45,1.43860,17,-0.5150,5,-1.8703,23,0.27997
ENSG00000183317,EPHA10,3,-2.2599,20,2.27863,9,-0.8522,0,-7.7780
ENSG00000185090,MANEAL,3,-3.2748,38,1.32569,32,0.06163,9,-1.8080
ENSG00000197982,C1orf122,81,-1.5154,195,-0.4800,269,0.34049,465,1.28770
ENSG00000183431,SF3A3,3,-3.0997,33,1.02290,29,0.09864,15,-0.9313
ENSG00000183520,UTP11,44,0.94560,26,0.17421,17,-0.5758,7,-1.8640
ENSG00000116954,RRAGC,3,-3.6132,44,0.67673,49,0.33390,31,-0.3618
ENSG00000174574,AKIRIN1,3,-4.2949,76,1.15760,39,-0.7613,59,-0.0987
ENSG00000168653,NDUFS5,151,-1.8313,564,0.70176,461,-0.1244,427,-0.2441
ENSG00000127603,MACF1,61,-0.9168,105,-0.2054,173,0.73987,131,0.27663
ENSG00000090621,PABPC4,3,-4.0352,52,-0.0918,80,0.67561,83,0.73514
ENSG00000116983,HPCAL4,51,-2.4898,334,1.68895,193,-0.5011,66,-2.1072
ENSG00000084072,PPIE,23,-0.3299,27,-0.3014,52,0.98410,24,-0.2729
ENSG00000168389,MFSD2A,3,-2.7844,16,-1.0724,81,2.33563,22,-0.0186
ENSG00000131236,CAP1,191,0.57080,133,-0.0549,118,-0.2166,107,-0.3708
ENSG00000131238,PPT1,254,1.17669,123,-0.1149,88,-0.5660,58,-1.1901
ENSG00000084073,ZMPSTE24,3,-3.2365,32,0.34299,31,0.03786,42,0.53314
ENSG00000049089,COL9A2,3,-2.8878,10,-2.5005,22,-0.1346,146,3.76302
ENSG00000084070,SMAP2,255,1.01004,146,0.22720,89,-0.6994,29,-2.3655
ENSG00000117016,RIMS3,15,-2.4309,100,2.19129,45,-0.8162,4,-4.1450
ENSG00000066136,NFYC,3,-3.3483,39,1.18415,38,0.22028,11,-1.6903
ENSG00000171793,CTPS1,3,-2.2708,20,1.65830,11,-0.5103,3,-2.1346
ENSG00000010803,SCMH1,3,-2.2597,18,0.82877,24,0.72269,2,-2.7044
ENSG00000127124,HIVEP3,3,-2.4227,20,1.05960,9,-0.9728,17,-0.0542
ENSG00000198815,FOXJ3,3,-3.8515,59,1.73821,37,-0.3739,12,-1.9890
ENSG00000177181,RIMKLA,59,0.81647,40,0.54192,15,-1.3464,7,-2.3108
ENSG00000127125,PPCS,3,-3.7339,46,0.41721,55,0.41271,45,0.09116
ENSG00000065978,YBX1,3,-4.2361,50,-0.7595,108,0.95757,145,1.48423
ENSG00000164008,C1orf50,3,-2.6005,21,0.50426,27,0.52170,15,-0.4240
ENSG00000177868,SVBP,3,-3.0885,29,0.26608,37,0.49597,31,0.21713
ENSG00000117394,SLC2A1,138,0.86439,40,-2.1782,355,2.77455,49,-0.8083
ENSG00000117395,EBNA1BP2,99,0.65758,69,0.22882,49,-0.4890,30,-1.2279
ENSG00000179178,TMEM125,3,-2.7317,6,-3.0255,12,-0.8207,153,4.40363
ENSG00000066322,ELOVL1,9,-1.9573,15,-2.3890,32,-0.1434,205,3.59192
ENSG00000159479,MED8,3,-2.6729,25,1.18168,16,-0.3357,12,-0.7776
ENSG00000178922,HYI,75,1.99052,12,-2.0981,43,0.93460,40,0.83889
ENSG00000142949,PTPRF,3,-5.2275,138,0.76859,160,0.44997,80,-0.6467
ENSG00000066135,KDM4A,58,1.35265,22,-0.7478,30,0.22237,21,-0.3011
ENSG00000126091,ST3GAL3,3,-3.5206,46,1.45139,31,-0.2760,15,-1.3471
ENSG00000117408,IPO13,79,-0.0152,73,-0.3610,51,-0.6998,153,1.09609
ENSG00000117410,ATP6V0B,373,-0.1718,469,0.68828,313,-0.4453,186,-1.2419
ENSG00000117411,B4GALT2,3,-4.4846,88,0.90877,66,-0.2143,71,-0.1071
ENSG00000159214,CCDC24,3,-2.4304,21,1.09401,19,0.13740,6,-1.4881
ENSG00000178028,DMAP1,3,-4.0807,61,0.62069,73,0.47636,42,-0.4021
ENSG00000117419,ERI3,25,-2.8305,199,1.25329,132,-0.3427,93,-0.8932
ENSG00000187147,RNF220,172,0.60531,111,-0.3031,67,-0.8883,172,0.60621
ENSG00000126106,TMEM53,3,-2.0927,15,0.38935,21,0.71445,9,-0.6309
ENSG00000142937,RPS8,2185,1.38916,588,-1.6605,1504,0.72516,1888,1.12207
ENSG00000070785,EIF2B3,3,-2.7125,26,1.46252,17,-0.3570,8,-1.4886
ENSG00000126107,HECTD3,49,1.41512,18,-0.5916,13,-0.7163,21,0.00778
ENSG00000126088,UROD,136,0.71136,91,0.16219,61,-0.5745,47,-0.9728
ENSG00000117450,PRDX1,309,-0.3618,335,-0.6196,745,1.09081,491,0.37693
ENSG00000117448,AKR1A1,155,1.70968,43,-1.1235,95,0.81749,30,-1.0020
ENSG00000132780,NASP,3,-3.2416,32,0.27217,34,0.18867,42,0.52591
ENSG00000159592,GPBP1L1,221,2.66470,32,-1.6820,44,-0.2748,43,-0.3237
ENSG00000086015,MAST2,3,-2.7315,25,0.80325,32,0.63397,7,-1.6740
ENSG00000085998,POMGNT1,3,-4.2652,69,0.53446,59,-0.0874,80,0.40054
ENSG00000132128,LRRC41,18,-1.5565,55,0.57812,51,0.04242,42,-0.2776
ENSG00000173660,UQCRH,244,-0.8845,496,0.84953,329,-0.4212,252,-0.8318
ENSG00000117480,FAAH,5,-2.7438,36,0.54342,35,0.12768,33,0.04228
ENSG00000079277,MKNK1,3,-2.7667,24,0.43778,33,0.66314,16,-0.4615
ENSG00000123472,ATPAF1,107,-0.1108,127,0.51861,67,-0.8477,91,-0.3767
ENSG00000159658,EFCAB14,3,-3.9378,41,-0.7116,86,0.90973,115,1.44713
ENSG00000186377,CYP4X1,3,-2.3937,22,1.86712,13,-0.3612,0,-4.5221
ENSG00000162368,CMPK1,3,-4.5627,82,0.41053,79,0.04863,104,0.50327
ENSG00000162373,BEND5,3,-2.4467,22,1.86346,13,-0.5031,2,-3.1109
ENSG00000162374,ELAVL4,3,-5.3464,181,3.54975,27,-2.4063,15,-3.1871
ENSG00000185104,FAF1,3,-3.3399,37,0.78923,38,0.23534,23,-0.5140
ENSG00000123091,RNF11,278,-0.3345,405,1.02370,144,-1.3437,175,-1.0426
ENSG00000085832,EPS15,26,-2.5749,163,0.80839,124,-0.2177,130,-0.1488
ENSG00000117859,OSBPL9,89,2.62087,11,-2.0426,33,0.71015,17,-0.3808
ENSG00000078618,NRDC,161,0.96590,94,0.22735,43,-1.1379,37,-1.3564
ENSG00000169213,RAB3B,3,-5.3919,184,2.95172,37,-1.9860,30,-2.2669
ENSG00000117862,TXNDC12,3,-3.0130,25,-0.1080,58,1.35789,21,-0.3397
ENSG00000134717,BTF3L4,5,-3.5582,65,1.12935,36,-0.6363,48,-0.2079
ENSG00000157077,ZFYVE9,68,1.27921,32,0.01591,13,-1.3039,13,-1.3335
ENSG00000134748,PRPF38A,3,-2.6868,18,-0.5186,26,0.38874,50,1.47873
ENSG00000134744,TUT4,65,1.66001,17,-1.3799,42,0.86371,25,-0.0127
