top,model_type,test,gene,stat,pval,fdr,gene_index,logFC,ensembl,in_rows,in_rows_top20,results
9,pairwise,Sp09D01-Sp09D05,VSNL1,11.762144155630118,5.442724941242509e-26,1.1490607096290965e-23,1288,1.2882421197713043,ENSG00000163032,,,
10,pairwise,Sp09D01-Sp09D05,CHN1,11.724481187515295,7.297188769911196e-26,1.5148963886335642e-23,1810,1.1491501302453102,ENSG00000128656,,,
1,pairwise,Sp09D01-Sp09D06,ENC1,21.962458598795635,1.1684849246904902e-61,7.660341169444603e-59,3402,2.6829790564707707,ENSG00000171617,,,
2,pairwise,Sp09D01-Sp09D06,NCDN,21.07052186208148,1.296380465715169e-58,5.5681776141200505e-56,314,1.7971254469578621,ENSG00000020129,,,
3,pairwise,Sp09D01-Sp09D06,NPTN,19.150017453212815,5.9815997802916245e-52,1.460917781633578e-49,8775,1.8453851873807157,ENSG00000156642,,,
4,pairwise,Sp09D01-Sp09D06,HOPX,19.132240042111526,6.90394791182802e-52,1.6225580224477325e-49,2943,2.7667590087199025,ENSG00000171476,,,
5,pairwise,Sp09D01-Sp09D06,TMEM130,18.89389386094584,4.7315624739259853e-51,9.822723695870345e-49,4767,1.7974592662444797,ENSG00000166448,,,
6,pairwise,Sp09D01-Sp09D06,MAPK1,18.829201855370584,7.983040021590553e-51,1.6038184920795472e-48,11746,1.620480050593521,ENSG00000100030,,,
7,pairwise,Sp09D01-Sp09D06,CHN1,18.797378081407306,1.0326642946556807e-50,2.0098228834736185e-48,1810,1.842385102167352,ENSG00000128656,,,
8,pairwise,Sp09D01-Sp09D06,NSF,18.548055652369023,7.775445464566984e-50,1.3640978691076952e-47,9913,1.8756309706010477,ENSG00000073969,,,
9,pairwise,Sp09D01-Sp09D06,ATP6V1H,18.172986774259787,1.6316660517881598e-48,2.6056451719324766e-46,5208,1.8799271201678938,ENSG00000047249,,,
10,pairwise,Sp09D01-Sp09D06,OLFM1,18.05912575874285,4.116865589542869e-48,6.330824417697035e-46,5951,1.7471857434681723,ENSG00000130558,,,
1,pairwise,Sp09D01-Sp09D07,ENC1,16.44148037542636,2.2258017333856733e-42,2.7724586391051944e-39,3402,2.008525015822366,ENSG00000171617,,,
2,pairwise,Sp09D01-Sp09D07,NCDN,15.647325840559027,1.4731702030401755e-39,1.2233205366045617e-36,314,1.3345757465796355,ENSG00000020129,,,
3,pairwise,Sp09D01-Sp09D07,FKBP1A,15.53330585068754,3.74130471958698e-39,2.716399681579042e-36,11242,1.4281065080198214,ENSG00000088832,,,
4,pairwise,Sp09D01-Sp09D07,NPTXR,15.505095012577485,4.711442376682048e-39,2.9342863121975792e-36,11889,2.1182907656463943,ENSG00000221890,,,
5,pairwise,Sp09D01-Sp09D07,MAPK1,15.450182575927832,7.379662577264892e-39,4.377194145829119e-36,11746,1.3296746635693175,ENSG00000100030,,,
6,pairwise,Sp09D01-Sp09D07,HOPX,15.410912431985146,1.0171523703102185e-38,5.7589317839018546e-36,2943,2.228608919286936,ENSG00000171476,,,
7,pairwise,Sp09D01-Sp09D07,ATP1A1,14.668925785422957,4.325665266866316e-36,1.9243030915745297e-33,692,1.2059134999644705,ENSG00000163399,,,
8,pairwise,Sp09D01-Sp09D07,YWHAZ,14.558462222616965,1.0628575910336741e-35,4.412984717971815e-33,5345,1.1047331170710422,ENSG00000164924,,,
9,pairwise,Sp09D01-Sp09D07,ATP6V1H,14.551557758360024,1.1242639734794562e-35,4.5173651786000344e-33,5208,1.5053039112633568,ENSG00000047249,,,
10,pairwise,Sp09D01-Sp09D07,NPTN,14.310419233338587,7.980072070950574e-35,3.106243053617511e-32,8775,1.3790188830339982,ENSG00000156642,,,
1,pairwise,Sp09D01-Sp09D08,MAPK1,15.325467626894127,2.0442112487714225e-38,9.793344351806477e-36,11746,1.318941437144094,ENSG00000100030,,,
2,pairwise,Sp09D01-Sp09D08,WASF1,15.298951490699034,2.5385252412646965e-38,1.129281085899752e-35,4252,1.4595635625742176,ENSG00000112290,,,
3,pairwise,Sp09D01-Sp09D08,PRNP,15.231595594644787,4.400069154345722e-38,1.8269087128843438e-35,11274,0.9108058116056608,ENSG00000171867,,,
4,pairwise,Sp09D01-Sp09D08,ATP6V1H,14.170952813192299,2.474622564795497e-34,6.700847536324503e-32,5208,1.4659317614137626,ENSG00000047249,,,
5,pairwise,Sp09D01-Sp09D08,NPTN,14.167847847717448,2.5377243234362e-34,6.725509398451342e-32,8775,1.365280037948743,ENSG00000156642,,,
6,pairwise,Sp09D01-Sp09D08,ARPP19,13.91814192481525,1.9178987907570207e-33,4.423953210679527e-31,8681,1.1259203694674405,ENSG00000128989,,,
7,pairwise,Sp09D01-Sp09D08,NCDN,13.838905604814949,3.639858539817725e-33,7.954048767012207e-31,314,1.1803338134314174,ENSG00000020129,,,
8,pairwise,Sp09D01-Sp09D08,ENC1,13.60866715249311,2.3346215416197275e-32,4.61588030514529e-30,3402,1.6624627335039293,ENSG00000171617,,,
9,pairwise,Sp09D01-Sp09D08,KLC1,13.125842762902108,1.1299978466210875e-30,1.9020612402043603e-28,8508,0.9198704637980519,ENSG00000126214,,,
10,pairwise,Sp09D01-Sp09D08,SNAP25,12.933067918895514,5.277584315223911e-30,8.321213953218865e-28,11290,1.127918344125531,ENSG00000132639,,,
1,pairwise,Sp09D01-Sp09D09,HPCAL1,8.56600670821659,8.846270864766632e-16,6.929588212879781e-12,1271,1.2102309382458234,ENSG00000115756,,,
2,pairwise,Sp09D01-Sp09D09,FKBP1A,7.458314038812398,1.2460754321830808e-12,3.3685374706434813e-9,11242,0.6918274416040209,ENSG00000088832,,,
3,pairwise,Sp09D01-Sp09D09,NPTX1,7.4452812621369,1.3521746430007552e-12,3.3685374706434813e-9,10161,1.0914209940191224,ENSG00000171246,,,
4,pairwise,Sp09D01-Sp09D09,LAMP5,7.1589861521252,7.956795528740062e-12,1.4158549300855172e-8,11288,1.6789047602623892,ENSG00000125869,,,
5,pairwise,Sp09D01-Sp09D09,PEA15,7.003700378692542,2.0423399950648667e-11,3.1799233723159974e-8,888,0.4684751756888783,ENSG00000162734,,,
6,pairwise,Sp09D01-Sp09D09,GNAL,6.700409998765837,1.2378209386913762e-10,1.4016634193036165e-7,10256,0.9287871930182092,ENSG00000141404,,,
7,pairwise,Sp09D01-Sp09D09,NPTX2,6.421159989593228,6.201309987824023e-10,5.517394086309715e-7,4766,1.2084843158020853,ENSG00000106236,,,
8,pairwise,Sp09D01-Sp09D09,NCAM2,6.407739810241704,6.692713270155508e-10,5.557629099537133e-7,11581,0.7607510696654769,ENSG00000154654,,,
9,pairwise,Sp09D01-Sp09D09,LMO3,6.247921534578161,1.6455569197185861e-9,1.2810660620009193e-6,7335,0.8351826808621459,ENSG00000048540,,,
10,pairwise,Sp09D01-Sp09D09,PSD3,5.61454473992297,4.9579487666130304e-8,2.8071004471332683e-5,5085,0.6271234740923823,ENSG00000156011,,,
1,pairwise,Sp09D02-Sp09D03,FAM107A,10.966220253658447,2.5028295381388115e-23,3.1175244727057036e-19,2376,0.7741856628440011,ENSG00000168309,,,
2,pairwise,Sp09D02-Sp09D03,CST3,9.57563832502766,7.510760027919309e-19,4.677701345388146e-15,11327,0.8638362791255361,ENSG00000101439,,,
3,pairwise,Sp09D02-Sp09D03,MT1F,9.345687417952592,3.890735729404381e-18,1.615433474848699e-14,9267,1.086276307615778,ENSG00000198417,,,
4,pairwise,Sp09D02-Sp09D03,MT3,9.231098418753538,8.767503602217938e-18,2.7302006217306658e-14,9262,0.7778300165073375,ENSG00000087250,,,
5,pairwise,Sp09D02-Sp09D03,C1orf61,9.114355873734644,1.9959091308502996e-17,4.972208826774266e-14,860,0.7632306400583015,ENSG00000125462,,,
6,pairwise,Sp09D02-Sp09D03,FTL,9.076909466808388,2.5957077422095295e-17,5.388689272826983e-14,11065,0.6437329456877876,ENSG00000087086,,,
7,pairwise,Sp09D02-Sp09D03,TTYH1,8.937970340629716,6.848216283118252e-17,1.218591171750299e-13,11150,0.6752902237587612,ENSG00000167614,,,
8,pairwise,Sp09D02-Sp09D03,METRN,8.660683541314794,4.637756492930345e-16,7.220986859492547e-13,8944,0.6912087573880283,ENSG00000103260,,,
