top,model_type,test,gene,stat,pval,fdr,gene_index,logFC,ensembl,anno,SpD
1,enrichment,Sp09D04,EFHD2,11.552707711545562,2.10906641535971e-25,2.6270531269720548e-21,129,1.8145057858485765,ENSG00000142634,L6,L6~Sp09D04
2,enrichment,Sp09D04,NNAT,11.119502683941654,6.101839434777703e-24,3.8002255999795534e-20,11403,1.253501010781675,ENSG00000053438,L6,L6~Sp09D04
3,enrichment,Sp09D04,IGSF21,10.126921511285286,1.1294211943968214e-20,4.6893567991356024e-17,151,0.999101681328553,ENSG00000117154,L6,L6~Sp09D04
4,enrichment,Sp09D04,HS3ST4,10.056004145852745,1.911722779748933e-20,5.953104736138178e-17,9138,2.471226638467775,ENSG00000182601,L6,L6~Sp09D04
5,enrichment,Sp09D04,CCN2,9.79130461350844,1.3433863962077864e-19,3.203917979850602e-16,4317,2.458037149288404,ENSG00000118523,L6,L6~Sp09D04
6,enrichment,Sp09D04,NCALD,9.770728314778712,1.5616845814214359e-19,3.203917979850602e-16,5348,1.1818689245034681,ENSG00000104490,L6,L6~Sp09D04
7,enrichment,Sp09D04,KRT17,9.741884835908392,1.9281995979382973e-19,3.203917979850602e-16,9833,3.39209601590657,ENSG00000128422,L6,L6~Sp09D04
8,enrichment,Sp09D04,DIRAS2,9.732980221585828,2.0577507898847796e-19,3.203917979850602e-16,5691,1.772877151323244,ENSG00000165023,L6,L6~Sp09D04
9,enrichment,Sp09D04,SEMA3E,9.58279743603781,6.135724026895379e-19,8.491842053223205e-16,4715,3.0222275994651704,ENSG00000170381,L6,L6~Sp09D04
10,enrichment,Sp09D04,LMO3,9.52939786433901,9.030809939122796e-19,1.1248776860171354e-15,7335,1.1254770927670017,ENSG00000048540,L6,L6~Sp09D04
1,enrichment,Sp09D05,CXCL14,12.914649201635774,4.186996218336451e-30,5.215322489559883e-26,3574,1.9894676203282216,ENSG00000145824,L1,L1~Sp09D05
2,enrichment,Sp09D05,CST3,12.000334184837412,6.2440554765150635e-27,3.8887977507735813e-23,11327,1.0185479126418562,ENSG00000101439,L1,L1~Sp09D05
3,enrichment,Sp09D05,MT1F,11.702155163156853,6.546950643129782e-26,2.7182939070274856e-22,9267,1.2369451556667994,ENSG00000198417,L1,L1~Sp09D05
4,enrichment,Sp09D05,FBXO2,11.40962806143753,6.445572151240955e-25,2.007151167896433e-21,110,0.7897202572560204,ENSG00000116661,L1,L1~Sp09D05
5,enrichment,Sp09D05,MLC1,11.038163239552205,1.142858491985308e-23,2.8470890752337994e-20,11974,1.1384561972263714,ENSG00000100427,L1,L1~Sp09D05
6,enrichment,Sp09D05,MT1E,10.893388624550104,3.472139497447014e-23,7.2081615967e-20,9264,1.0525190634009383,ENSG00000169715,L1,L1~Sp09D05
7,enrichment,Sp09D05,MT1G,10.783126108338731,8.063761242624549e-23,1.4348887148304482e-19,9268,1.820354352751893,ENSG00000125144,L1,L1~Sp09D05
8,enrichment,Sp09D05,GLUL,10.73961795763361,1.1234096255894212e-22,1.7491487870427288e-19,982,0.9203908612987065,ENSG00000135821,L1,L1~Sp09D05
9,enrichment,Sp09D05,ALDOC,10.671059651082844,1.8922829783592834e-22,2.6189196420492484e-19,9713,0.6978646194375031,ENSG00000109107,L1,L1~Sp09D05
10,enrichment,Sp09D05,FGFR3,10.596446916061542,3.3325721812988434e-22,4.151051909025839e-19,2799,1.008684062182301,ENSG00000068078,L1,L1~Sp09D05
1,enrichment,Sp09D06,CNP,17.319698856888422,7.449385369818089e-46,9.278954416645411e-42,9841,2.43286264566673,ENSG00000173786,WM,WM~Sp09D06
2,enrichment,Sp09D06,DBNDD2,17.20711225818807,1.8924988116463815e-45,1.1786482598933665e-41,11443,2.2133611169067926,ENSG00000244274,WM,WM~Sp09D06
3,enrichment,Sp09D06,FEZ1,17.006974903342737,9.933967246166494e-45,4.1245832006083286e-41,7195,1.196117107367643,ENSG00000149557,WM,WM~Sp09D06
4,enrichment,Sp09D06,SIRT2,16.93550088717875,1.796228701290291e-44,5.593456175817967e-41,10896,1.3095627473892943,ENSG00000068903,WM,WM~Sp09D06
5,enrichment,Sp09D06,SLAIN1,16.551171395016844,4.345684047915981e-43,1.0825968100168291e-39,8040,1.8506125998979506,ENSG00000139737,WM,WM~Sp09D06
6,enrichment,Sp09D06,CLDND1,16.367870628383198,1.9867199383217257e-42,4.1244305919559025e-39,2425,2.28683291088451,ENSG00000080822,WM,WM~Sp09D06
7,enrichment,Sp09D06,QDPR,16.031575148216618,3.2289157762396687e-41,5.74562498697733e-38,2862,1.5852374240092786,ENSG00000151552,WM,WM~Sp09D06
8,enrichment,Sp09D06,SOX2-OT,15.82424312569434,1.8003488087339804e-40,2.8031430951988075e-37,2690,2.2363729583349006,ENSG00000242808,WM,WM~Sp09D06
9,enrichment,Sp09D06,ABCA2,15.633827177484699,8.718947445937217e-40,1.2067023265177107e-36,5985,1.339767509341103,ENSG00000107331,WM,WM~Sp09D06
10,enrichment,Sp09D06,CNTN2,15.522279354352543,2.195992880311825e-39,2.735328731716409e-36,1059,2.1881899531893567,ENSG00000184144,WM,WM~Sp09D06
1,enrichment,Sp09D07,MBP,6.40953057193779,6.375915507789071e-10,1.1476647914020329e-8,10400,1.7069687357592942,ENSG00000197971,WMuf,WMuf~Sp09D07
2,enrichment,Sp09D07,MOBP,6.135832503706954,2.964647223532938e-9,4.009516375279726e-8,2203,1.7365372654823255,ENSG00000168314,WMuf,WMuf~Sp09D07
3,enrichment,Sp09D07,BCAS1,5.86301188580652,1.3077602857201287e-8,1.3619951604456458e-7,11489,1.4236881637700638,ENSG00000064787,WMuf,WMuf~Sp09D07
4,enrichment,Sp09D07,PAQR6,5.679395163743935,3.454023041020771e-8,3.014948212961088e-7,856,1.0574960715185886,ENSG00000160781,WMuf,WMuf~Sp09D07
5,enrichment,Sp09D07,TP53INP2,5.544331828622154,6.954659311117638e-8,5.314554379097012e-7,11368,1.059439505348352,ENSG00000078804,WMuf,WMuf~Sp09D07
6,enrichment,Sp09D07,AQP1,5.540979377637681,7.075407178062745e-8,5.386532311314535e-7,4557,1.8649251348081872,ENSG00000240583,WMuf,WMuf~Sp09D07
7,enrichment,Sp09D07,KIF1C,5.539244658857476,7.138687045627428e-8,5.425227934126616e-7,9557,1.0602588256905778,ENSG00000129250,WMuf,WMuf~Sp09D07
8,enrichment,Sp09D07,LPAR1,5.41615886913135,1.335637711259594e-7,9.066323341389374e-7,5771,1.3109186025928647,ENSG00000198121,WMuf,WMuf~Sp09D07
9,enrichment,Sp09D07,ERMN,5.394277341252193,1.4913437471390364e-7,9.933784873991358e-7,1748,1.511009612911876,ENSG00000136541,WMuf,WMuf~Sp09D07
10,enrichment,Sp09D07,CHST6,5.350293662456257,1.8595126950815512e-7,1.1871906781104973e-6,9405,1.3573062956016193,ENSG00000183196,WMuf,WMuf~Sp09D07
1,enrichment,Sp09D08,HBA1,25.738186618977796,5.375307846293024e-75,6.695483453342591e-71,8920,5.80565145425313,ENSG00000206172,Vasc,Vasc~Sp09D08
2,enrichment,Sp09D08,HBA2,24.35699170586776,1.9720227399064354e-70,1.228175762413728e-66,8919,5.989019345841204,ENSG00000188536,Vasc,Vasc~Sp09D08
3,enrichment,Sp09D08,HBB,23.745685327426838,2.2208595937198617e-68,9.221009033124866e-65,6560,6.036873240223378,ENSG00000244734,Vasc,Vasc~Sp09D08
4,enrichment,Sp09D08,TAGLN,15.615419505233913,1.0039465635901703e-39,3.12628959901979e-36,7131,3.778508965030867,ENSG00000149591,Vasc,Vasc~Sp09D08
5,enrichment,Sp09D08,FLNA,15.534170236920849,1.9677883933335568e-39,4.902154445472556e-36,12404,2.511396186969624,ENSG00000196924,Vasc,Vasc~Sp09D08
6,enrichment,Sp09D08,COL1A2,15.014137568837604,1.4531740445718275e-37,3.016789316531114e-34,4749,3.6383227001476652,ENSG00000164692,Vasc,Vasc~Sp09D08
7,enrichment,Sp09D08,CALD1,14.9024407290554,3.6556009370795124e-37,6.504880753180343e-34,4939,2.123091723392444,ENSG00000122786,Vasc,Vasc~Sp09D08
8,enrichment,Sp09D08,ACTA2,14.687572267930522,2.1520112565171458e-36,3.350681526397196e-33,6289,4.049274120313877,ENSG00000107796,Vasc,Vasc~Sp09D08
9,enrichment,Sp09D08,MYL9,14.083277084749497,3.0969742296450908e-34,4.286212333828805e-31,11392,3.4328960248657543,ENSG00000101335,Vasc,Vasc~Sp09D08
10,enrichment,Sp09D08,CLDN5,14.005753039602302,5.846402209986602e-34,7.28227859275931e-31,11713,2.065322021328421,ENSG00000184113,Vasc,Vasc~Sp09D08
1,enrichment,Sp09D09,ATP1B1,8.467161367851684,1.5652329914545955e-15,1.949654214155844e-11,941,0.7102314340745864,ENSG00000143153,LD,LD~Sp09D09
2,enrichment,Sp09D09,GABRA1,8.277774849431623,5.6249338809435926e-15,2.7520441521496003e-11,3705,1.1307101377882598,ENSG00000022355,LD,LD~Sp09D09
3,enrichment,Sp09D09,TUBB3,8.219974152927948,8.284007035786683e-15,2.7520441521496003e-11,9489,0.937460686342996,ENSG00000258947,LD,LD~Sp09D09
4,enrichment,Sp09D09,SERPINI1,8.210291856514457,8.837649814224792e-15,2.7520441521496003e-11,2655,0.9095722650692787,ENSG00000163536,LD,LD~Sp09D09
5,enrichment,Sp09D09,NTNG1,7.926534729813208,5.76943117373205e-14,1.4372806940001283e-10,620,2.1483597957035605,ENSG00000162631,LD,LD~Sp09D09
6,enrichment,Sp09D09,GPR6,7.670013804040516,3.0403472443954285e-13,6.31176087936491e-10,4251,2.087969833477079,ENSG00000146360,LD,LD~Sp09D09
7,enrichment,Sp09D09,ATP1A1,7.599336305032371,4.777924214595911e-13,8.50197485957238e-10,692,0.7524882653901539,ENSG00000163399,LD,LD~Sp09D09
8,enrichment,Sp09D09,ANKRD34B,7.466255661099161,1.1112672516301323e-12,1.6558218858690415e-9,3433,2.0051916677774053,ENSG00000189127,LD,LD~Sp09D09
9,enrichment,Sp09D09,OXR1,7.454546683362696,1.1964030967261862e-12,1.6558218858690415e-9,5363,0.8708898657358093,ENSG00000164830,LD,LD~Sp09D09
10,enrichment,Sp09D09,COL5A2,7.194739985039273,6.039139498908984e-12,6.268626799867525e-9,1842,2.2178554644449204,ENSG00000204262,LD,LD~Sp09D09
