top,model_type,test,gene,stat,pval,fdr,gene_index,logFC,ensembl,in_rows,in_rows_top20,results,anno,SpD
6,enrichment,Sp10D02,PIN1,6.090389352362864,3.3969456084062347e-9,6.771811070357829e-6,10188,0.45098331114663487,ENSG00000127445,,,,L3,L3~Sp10D02
7,enrichment,Sp10D02,GAP43,5.812387900300459,1.5552116667225514e-8,2.3503844125448138e-5,2383,0.6045592271615888,ENSG00000172020,,,,L3,L3~Sp10D02
8,enrichment,Sp10D02,TMEM200A,5.724406152439934,2.4893153493026018e-8,3.308300099223158e-5,4145,1.6052479442166119,ENSG00000164484,,,,L3,L3~Sp10D02
9,enrichment,Sp10D02,COX5B,5.682531624070227,3.1080460204039204e-8,3.515099069799671e-5,1547,0.3122630273860133,ENSG00000135940,,,,L3,L3~Sp10D02
10,enrichment,Sp10D02,NDUFA4,5.675090716285751,3.23268035848143e-8,3.515099069799671e-5,4328,0.4810514407191104,ENSG00000189043,,,,L3,L3~Sp10D02
1,enrichment,Sp10D03,DCLK1,8.292717120725305,3.622570325638057e-15,4.3329563664956795e-11,7648,0.7731853442755341,ENSG00000133083,,,,L5_LD,L5_LD~Sp10D03
2,enrichment,Sp10D03,SORL1,7.989816521199743,2.8252395018387938e-14,1.6896344840746907e-10,6897,0.5373477295640501,ENSG00000137642,,,,L5_LD,L5_LD~Sp10D03
3,enrichment,Sp10D03,PFKP,7.752382284385237,1.3669773807075691e-13,5.450138816881078e-10,5791,0.7623840847615062,ENSG00000067057,,,,L5_LD,L5_LD~Sp10D03
4,enrichment,Sp10D03,STMN2,7.649761855704263,2.676781773208496e-13,8.004246697336705e-10,5074,0.8967437199522323,ENSG00000104435,,,,L5_LD,L5_LD~Sp10D03
5,enrichment,Sp10D03,ELAVL4,7.493000873677206,7.38868858033619e-13,1.4729350684900195e-9,419,0.9196218281543594,ENSG00000162374,,,,L5_LD,L5_LD~Sp10D03
6,enrichment,Sp10D03,RTN3,7.3611654453705935,1.7169738557247043e-12,2.577517990589481e-9,6554,0.5402339482835764,ENSG00000133318,,,,L5_LD,L5_LD~Sp10D03
7,enrichment,Sp10D03,ATP6V1B2,7.360527872940344,1.723948158575023e-12,2.577517990589481e-9,4887,0.798047754910621,ENSG00000147416,,,,L5_LD,L5_LD~Sp10D03
8,enrichment,Sp10D03,ANXA6,7.32897500407087,2.1063185485239627e-12,2.7992973509883464e-9,3524,0.7004254165817341,ENSG00000197043,,,,L5_LD,L5_LD~Sp10D03
9,enrichment,Sp10D03,TUBB3,7.303740342502202,2.4712902072538475e-12,2.9559102168963267e-9,9127,0.7902083736538079,ENSG00000258947,,,,L5_LD,L5_LD~Sp10D03
10,enrichment,Sp10D03,SERPINI1,7.196537994355845,4.852445654803234e-12,5.27637295246377e-9,2557,0.777751306059652,ENSG00000163536,,,,L5_LD,L5_LD~Sp10D03
1,enrichment,Sp10D04,MAP1A,8.069147452981767,1.6568006665090625e-14,1.9816992772114897e-10,8310,0.6337571043159144,ENSG00000166963,,,,L6a,L6a~Sp10D04
2,enrichment,Sp10D04,PRKCB,7.641053318701078,2.832396998576639e-13,1.693915024998759e-9,8785,1.0529898624582927,ENSG00000166501,,,,L6a,L6a~Sp10D04
3,enrichment,Sp10D04,MAP2,7.27172882761078,3.0243922458062144e-12,1.2058251884029376e-8,1853,0.6694029412563064,ENSG00000078018,,,,L6a,L6a~Sp10D04
4,enrichment,Sp10D04,RAPGEF4,6.8922136781149375,3.174439135161569e-11,9.492366623916882e-8,1740,0.7051818954359161,ENSG00000091428,,,,L6a,L6a~Sp10D04
5,enrichment,Sp10D04,NCALD,6.795205306568839,5.709549934004352e-11,1.365838535212521e-7,5142,0.8583296555594743,ENSG00000104490,,,,L6a,L6a~Sp10D04
6,enrichment,Sp10D04,EFHD2,6.4549850543680165,4.270994937546832e-10,8.51422840799961e-7,124,1.148926556433442,ENSG00000142634,,,,L6a,L6a~Sp10D04
7,enrichment,Sp10D04,FOXP2,6.2771868265835336,1.1869753345053247e-9,2.0282017108597414e-6,4687,1.9660164415552661,ENSG00000128573,,,,L6a,L6a~Sp10D04
8,enrichment,Sp10D04,ST6GALNAC6,6.094839347839618,3.313843037677794e-9,4.954609571708012e-6,5633,0.4584267345556372,ENSG00000160408,,,,L6a,L6a~Sp10D04
9,enrichment,Sp10D04,MAPK8IP2,6.054469740652002,4.1470845945555836e-9,5.51147542616437e-6,11517,0.4360790145907359,ENSG00000008735,,,,L6a,L6a~Sp10D04
10,enrichment,Sp10D04,MAP1B,5.833531619561406,1.3878761012226497e-8,1.5258958937812727e-5,3258,0.5038657297640312,ENSG00000131711,,,,L6a,L6a~Sp10D04
1,enrichment,Sp10D05,DIRAS2,11.174893130728654,1.6095969347304253e-24,1.925238893631062e-20,5470,1.9612875460914048,ENSG00000165023,,,,L6b,L6b~Sp10D05
2,enrichment,Sp10D05,EFHD2,10.803422964672576,3.060201149604651e-23,1.8301532975210616e-19,124,1.742916997754971,ENSG00000142634,,,,L6b,L6b~Sp10D05
3,enrichment,Sp10D05,NPTX1,10.24503912045318,2.3585004408431332e-21,9.403341257641572e-18,9776,1.4971020713535617,ENSG00000171246,,,,L6b,L6b~Sp10D05
4,enrichment,Sp10D05,IGSF21,10.16185338331514,4.464698998353964e-21,1.3350566179827942e-17,145,1.1970267116265907,ENSG00000117154,,,,L6b,L6b~Sp10D05
5,enrichment,Sp10D05,MAP2K1,9.997507187143041,1.5637998227733507e-20,3.7044932916236946e-17,8419,1.1254922528958933,ENSG00000169032,,,,L6b,L6b~Sp10D05
6,enrichment,Sp10D05,SLIT1,9.974784065307103,1.8582860755574088e-20,3.7044932916236946e-17,6077,1.1963140486900399,ENSG00000187122,,,,L6b,L6b~Sp10D05
7,enrichment,Sp10D05,PNMA8B,9.843638131927447,5.0111760928203577e-20,8.562668178032042e-17,10593,0.8993992703526387,ENSG00000204851,,,,L6b,L6b~Sp10D05
8,enrichment,Sp10D05,NNAT,9.7952844577391,7.212277863098888e-20,9.758924835649339e-17,10955,1.1908892144245333,ENSG00000053438,,,,L6b,L6b~Sp10D05
9,enrichment,Sp10D05,LMO3,9.792894908517635,7.343058567080015e-20,9.758924835649339e-17,7050,1.1261216329798847,ENSG00000048540,,,,L6b,L6b~Sp10D05
10,enrichment,Sp10D05,CCN2,9.740388030037433,1.0892537782290393e-19,1.3028564441397539e-16,4149,2.4887640757860487,ENSG00000118523,,,,L6b,L6b~Sp10D05
1,enrichment,Sp10D06,FGFR3,12.305629634792338,1.633420834656907e-28,1.620317217511008e-24,2695,1.0598995655472945,ENSG00000068078,,,,L1,L1~Sp10D06
2,enrichment,Sp10D06,CST3,12.244372831760517,2.709334031453905e-28,1.620317217511008e-24,10881,1.0876623264236598,ENSG00000101439,,,,L1,L1~Sp10D06
3,enrichment,Sp10D06,FBXO2,11.689616724306026,2.546983139031682e-26,8.369386809234718e-23,106,0.8190083505952853,ENSG00000116661,,,,L1,L1~Sp10D06
4,enrichment,Sp10D06,MT1E,11.678003234138199,2.798892002085016e-26,8.369386809234718e-23,8910,1.1259800871776928,ENSG00000169715,,,,L1,L1~Sp10D06
5,enrichment,Sp10D06,GLUL,11.600598530465597,5.243295797253943e-26,1.254301220619088e-22,943,0.9928748645593697,ENSG00000135821,,,,L1,L1~Sp10D06
6,enrichment,Sp10D06,MT1F,11.571248088769051,6.64967025513613e-26,1.3256117653613875e-22,8913,1.2944443671139236,ENSG00000198417,,,,L1,L1~Sp10D06
7,enrichment,Sp10D06,MLC1,11.375530625614964,3.22406021828443e-25,5.508997752985725e-22,11498,1.2241185686971627,ENSG00000100427,,,,L1,L1~Sp10D06
8,enrichment,Sp10D06,MT1G,11.273111779209223,7.334552306522598e-25,1.0966072517289598e-21,8914,1.8356580395523956,ENSG00000125144,,,,L1,L1~Sp10D06
9,enrichment,Sp10D06,SLC1A3,11.22064998792921,1.116169215496424e-24,1.4833888873947475e-21,3174,1.125381909551383,ENSG00000079215,,,,L1,L1~Sp10D06
10,enrichment,Sp10D06,CLU,11.1368977929439,2.178437882941173e-24,2.605629551785937e-21,4928,0.7679166057481734,ENSG00000120885,,,,L1,L1~Sp10D06
1,enrichment,Sp10D07,DBNDD2,18.272337682836532,7.598032486678925e-51,9.08800665731666e-47,10993,2.2657623251840966,ENSG00000244274,,,,WMd,WMd~Sp10D07
2,enrichment,Sp10D07,SIRT2,17.93523749333414,1.444457680588557e-49,8.638579158759864e-46,10482,1.3833122698372409,ENSG00000068903,,,,WMd,WMd~Sp10D07
3,enrichment,Sp10D07,CNP,17.807622575595868,4.406891137266196e-49,1.757027496428032e-45,9469,2.4906421225042186,ENSG00000173786,,,,WMd,WMd~Sp10D07
4,enrichment,Sp10D07,FEZ1,17.480676828049923,7.684199171368241e-48,2.2977676572183885e-44,6917,1.2480024085179673,ENSG00000149557,,,,WMd,WMd~Sp10D07
5,enrichment,Sp10D07,CLDND1,16.835141666653513,2.172709404033855e-45,5.197555436329788e-42,2337,2.343325023367966,ENSG00000080822,,,,WMd,WMd~Sp10D07
6,enrichment,Sp10D07,SLAIN1,16.70456215048088,6.802505930718359e-45,1.356079557288705e-41,7738,1.8959922897382664,ENSG00000139737,,,,WMd,WMd~Sp10D07
7,enrichment,Sp10D07,SOX2-OT,16.48861891914247,4.48797694764301e-44,7.349943017632594e-41,2590,2.278696086421887,ENSG00000242808,,,,WMd,WMd~Sp10D07
8,enrichment,Sp10D07,QDPR,16.478191043192368,4.915938812896977e-44,7.349943017632594e-41,2756,1.5998695893676955,ENSG00000151552,,,,WMd,WMd~Sp10D07
9,enrichment,Sp10D07,ABCA2,16.121844856008515,1.102755360192901e-42,1.4655618736963654e-39,5754,1.4264409532958704,ENSG00000107331,,,,WMd,WMd~Sp10D07
10,enrichment,Sp10D07,EDIL3,16.108288307794798,1.2411762299834212e-42,1.48457088868317e-39,3308,1.6107511352490445,ENSG00000164176,,,,WMd,WMd~Sp10D07
1,enrichment,Sp10D08,MBP,6.8498417968993754,4.104048070573679e-11,1.8807861675146277e-9,10004,1.759615718123897,ENSG00000197971,,,,WMuf,WMuf~Sp10D08
2,enrichment,Sp10D08,MOBP,6.562733263393186,2.2756081910411112e-10,6.890772043808286e-9,2123,1.7898051604843963,ENSG00000168314,,,,WMuf,WMuf~Sp10D08
3,enrichment,Sp10D08,BCAS1,6.32483771704951,9.04195146332806e-10,2.075830738058866e-8,11038,1.5067111719371276,ENSG00000064787,,,,WMuf,WMuf~Sp10D08
4,enrichment,Sp10D08,PAQR6,6.1722363947452195,2.148662629795406e-9,4.131857510447403e-8,820,1.1458565631625508,ENSG00000160781,,,,WMuf,WMuf~Sp10D08
5,enrichment,Sp10D08,AQP1,5.926303250247894,8.390033303191994e-9,1.252847193427954e-7,4380,1.9798888564424537,ENSG00000240583,,,,WMuf,WMuf~Sp10D08
6,enrichment,Sp10D08,ERMN,5.882628919506925,1.06404017156435e-8,1.5278492787612472e-7,1690,1.5871784674249692,ENSG00000136541,,,,WMuf,WMuf~Sp10D08
7,enrichment,Sp10D08,SEPTIN4,5.819732357240314,1.4947551622879656e-8,2.0021015113243398e-7,9612,1.1118138551748877,ENSG00000108387,,,,WMuf,WMuf~Sp10D08
8,enrichment,Sp10D08,TP53INP2,5.817672779172815,1.5114146793667214e-8,2.0198917295983636e-7,10921,1.0795005818063863,ENSG00000078804,,,,WMuf,WMuf~Sp10D08
9,enrichment,Sp10D08,CHST6,5.75019675675592,2.169600008548975e-8,2.724539761471539e-7,9046,1.4981574024037296,ENSG00000183196,,,,WMuf,WMuf~Sp10D08
10,enrichment,Sp10D08,MYRF,5.66389791499736,3.428951993296982e-8,3.9588508486317765e-7,6514,1.5645783693643085,ENSG00000124920,,,,WMuf,WMuf~Sp10D08
1,enrichment,Sp10D09,HBA1,26.57501466881677,2.8668243619693865e-81,3.429008619351583e-77,8588,5.918341798191333,ENSG00000206172,,,,Vasc,Vasc~Sp10D09
2,enrichment,Sp10D09,HBA2,25.99037600846112,3.16115902862794e-79,1.8905311570709395e-75,8587,6.093916771397168,ENSG00000188536,,,,Vasc,Vasc~Sp10D09
3,enrichment,Sp10D09,HBB,24.218808961227683,6.23549228946567e-73,2.4860907758099624e-69,6301,6.2030511979892005,ENSG00000244734,,,,Vasc,Vasc~Sp10D09
4,enrichment,Sp10D09,TAGLN,15.048149096235612,1.2391002534134444e-38,3.7052195327695523e-35,6854,3.851301124195998,ENSG00000149591,,,,Vasc,Vasc~Sp10D09
5,enrichment,Sp10D09,FLNA,14.949538804720609,2.910052813965419e-38,6.961428341568075e-35,11912,2.621847208011293,ENSG00000196924,,,,Vasc,Vasc~Sp10D09
6,enrichment,Sp10D09,SLC13A4,14.433181774492425,2.5081184453574918e-36,4.99993412082016e-33,4755,4.311872908717547,ENSG00000164707,,,,Vasc,Vasc~Sp10D09
7,enrichment,Sp10D09,COL1A1,14.097709900188885,4.4707761438016087e-35,7.639279065144435e-32,9573,3.4720823019907976,ENSG00000108821,,,,Vasc,Vasc~Sp10D09
8,enrichment,Sp10D09,COL1A2,14.044801447678413,7.033415264283524e-35,1.0515834997011904e-31,4564,3.8193008598300384,ENSG00000164692,,,,Vasc,Vasc~Sp10D09
9,enrichment,Sp10D09,S100A6,13.784354439742534,6.510248672691874e-34,8.6521204860075e-31,753,1.479891633219695,ENSG00000197956,,,,Vasc,Vasc~Sp10D09
10,enrichment,Sp10D09,MYL9,13.751997097838329,8.57811123308583e-34,1.026027884589396e-30,10944,3.50046769630791,ENSG00000101335,,,,Vasc,Vasc~Sp10D09
1,enrichment,Sp10D10,GAD1,20.9762067832274,4.876924828421725e-61,5.833289787275225e-57,1728,2.809882673263793,ENSG00000128683,,,,Inhib,Inhib~Sp10D10
2,enrichment,Sp10D10,SLC6A1,17.965643547406614,1.0914990077307728e-49,6.527709815733887e-46,2029,1.6699498131758588,ENSG00000157103,,,,Inhib,Inhib~Sp10D10
3,enrichment,Sp10D10,SST,15.28913174736025,1.5334336388863813e-39,6.113799918240002e-36,2631,2.612911460111722,ENSG00000157005,,,,Inhib,Inhib~Sp10D10
4,enrichment,Sp10D10,DNER,14.891231650700862,4.82006654338267e-38,1.441320398135003e-34,1924,1.353198246935103,ENSG00000187957,,,,Inhib,Inhib~Sp10D10
5,enrichment,Sp10D10,CNR1,13.889557485886925,2.653046048521078e-34,6.346616757272122e-31,4033,2.768229738682899,ENSG00000118432,,,,Inhib,Inhib~Sp10D10
6,enrichment,Sp10D10,SCG2,13.815301104171915,5.000629052691114e-34,9.968754016539735e-31,1911,1.5063490783151765,ENSG00000171951,,,,Inhib,Inhib~Sp10D10
7,enrichment,Sp10D10,GAD2,13.326671405550613,3.1767179319063774e-32,5.428103311933169e-29,5864,2.5107108180300344,ENSG00000136750,,,,Inhib,Inhib~Sp10D10
8,enrichment,Sp10D10,NXPH1,12.667980751154845,8.04816580828679e-30,1.2033013904114787e-26,4327,2.515005333084133,ENSG00000122584,,,,Inhib,Inhib~Sp10D10
9,enrichment,Sp10D10,TAC1,12.476620817945948,3.957403124953859e-29,5.042684506469613e-26,4579,2.9214423980968265,ENSG00000006128,,,,Inhib,Inhib~Sp10D10
10,enrichment,Sp10D10,FXYD6,12.468998968569489,4.21593889011756e-29,5.042684506469613e-26,6860,0.9203359399785079,ENSG00000137726,,,,Inhib,Inhib~Sp10D10
1,pairwise,Sp10D01-Sp10D02,NPTN,8.280092913425003,4.308632844864451e-15,1.2883889364355924e-11,8450,0.6887702521747752,ENSG00000156642,,,,NA,NA
2,pairwise,Sp10D01-Sp10D02,PRNP,7.8676723045531896,6.863581442283888e-14,1.0261912203894699e-10,10830,0.429230178644028,ENSG00000171867,,,,NA,NA
3,pairwise,Sp10D01-Sp10D02,RTN4,6.964781928308817,2.1380702432555144e-11,7.521605346935061e-9,1383,0.4640904128820065,ENSG00000115310,,,,NA,NA
4,pairwise,Sp10D01-Sp10D02,KCNK1,6.8643593116508885,3.9334946567844046e-11,1.2063725535845708e-8,1144,0.7693272352762586,ENSG00000135750,,,,NA,NA
5,pairwise,Sp10D01-Sp10D02,ATP2B4,6.6870150852777135,1.1372301889937613e-10,2.7204820581108757e-8,1007,0.6497512007900532,ENSG00000058668,,,,NA,NA
6,pairwise,Sp10D01-Sp10D02,NCDN,6.6213922315172296,1.6762089690103444e-10,3.782855750628817e-8,301,0.5711611410243407,ENSG00000020129,,,,NA,NA
7,pairwise,Sp10D01-Sp10D02,MAPK1,6.609499459941401,1.7977822402668578e-10,3.98208766219109e-8,11279,0.5230831518122248,ENSG00000100030,,,,NA,NA
8,pairwise,Sp10D01-Sp10D02,ATP6V1H,6.392732857671124,6.341842289505479e-10,1.0391065154078772e-7,5006,0.5887656968536561,ENSG00000047249,,,,NA,NA
9,pairwise,Sp10D01-Sp10D02,GRIA2,6.315670120979088,9.856306083939394e-10,1.4736409633749885e-7,3038,0.5537891228564655,ENSG00000120251,,,,NA,NA
10,pairwise,Sp10D01-Sp10D02,NPTX1,6.257844181387189,1.3687197216095353e-9,1.9260301870790178e-7,9776,0.8789341071812053,ENSG00000171246,,,,NA,NA
1,pairwise,Sp10D01-Sp10D03,GNAL,11.13432616784849,2.804715963315108e-24,3.354720763721201e-20,9867,1.5510555066333325,ENSG00000141404,,,,NA,NA
2,pairwise,Sp10D01-Sp10D03,HPCAL1,9.657824827328872,2.3384631496225905e-19,1.3985178866317902e-15,1221,1.3366337796004322,ENSG00000115756,,,,NA,NA
3,pairwise,Sp10D01-Sp10D03,LAMP5,9.112160997999588,1.2617499426833073e-17,3.7729477661087596e-14,10843,2.2609534144977506,ENSG00000125869,,,,NA,NA
4,pairwise,Sp10D01-Sp10D03,HOPX,9.025897235343685,2.343657236014472e-17,5.6064968399938196e-14,2836,1.2385677922908531,ENSG00000171476,,,,NA,NA
5,pairwise,Sp10D01-Sp10D03,PEA15,8.453598841596198,1.3109684214236699e-15,1.9600616610810643e-12,850,0.5443473814811011,ENSG00000162734,,,,NA,NA
6,pairwise,Sp10D01-Sp10D03,BTBD3,8.344166936742358,2.7812980525588877e-15,3.6963451118507615e-12,10848,0.9119919401711982,ENSG00000132640,,,,NA,NA
7,pairwise,Sp10D01-Sp10D03,FKBP1A,8.119210719964434,1.2816227457516931e-14,1.393589969266909e-11,10798,0.7549502690156373,ENSG00000088832,,,,NA,NA
8,pairwise,Sp10D01-Sp10D03,PPP1R1A,7.437411433249818,1.1206978735207273e-12,9.574762332272442e-10,7210,1.0502747631899272,ENSG00000135447,,,,NA,NA
9,pairwise,Sp10D01-Sp10D03,CCK,6.97266283402768,2.037668828069723e-11,1.1605979453591407e-8,2132,1.0921448309811943,ENSG00000187094,,,,NA,NA
10,pairwise,Sp10D01-Sp10D03,ATP6V1H,6.792165465540294,6.074061262939654e-11,2.6908091394822668e-8,5006,0.63112012256531,ENSG00000047249,,,,NA,NA
1,pairwise,Sp10D01-Sp10D04,ATP6V1H,13.799107358872078,8.9748397909082375e-34,3.578268624635114e-30,5006,1.2708869963736404,ENSG00000047249,,,,NA,NA
2,pairwise,Sp10D01-Sp10D04,HOPX,12.906703747258113,1.576812183468765e-30,2.0955833918299886e-27,2836,1.7554841472926626,ENSG00000171476,,,,NA,NA
3,pairwise,Sp10D01-Sp10D04,NPTN,11.315629092581496,6.6596611624809115e-25,3.063700275555161e-22,8450,0.9412779282919548,ENSG00000156642,,,,NA,NA
4,pairwise,Sp10D01-Sp10D04,ATP1A1,11.304340612205815,7.285254130647926e-25,3.2273675798770312e-22,666,0.872551519478046,ENSG00000163399,,,,NA,NA
5,pairwise,Sp10D01-Sp10D04,RTN4,11.02954449350879,6.4115993799103184e-24,2.1911182909459234e-21,1383,0.7349412961642976,ENSG00000115310,,,,NA,NA
6,pairwise,Sp10D01-Sp10D04,MAPK1,10.496379080646067,4.0945746854560983e-22,9.99494036994702e-20,11279,0.8306951359020047,ENSG00000100030,,,,NA,NA
7,pairwise,Sp10D01-Sp10D04,ENC1,10.460690186322397,5.391063762601083e-22,1.240048339701376e-19,3267,1.233542041234914,ENSG00000171617,,,,NA,NA
8,pairwise,Sp10D01-Sp10D04,BTBD3,10.225125729149582,3.27812073930212e-21,6.76027623496425e-19,10848,1.107717062494605,ENSG00000132640,,,,NA,NA
9,pairwise,Sp10D01-Sp10D04,CCK,10.177698951285011,4.7040842026529494e-21,9.223860843923266e-19,2132,1.5800955227019653,ENSG00000187094,,,,NA,NA
10,pairwise,Sp10D01-Sp10D04,CBLN4,10.077360662209202,1.0073893083665813e-20,1.943448954414948e-18,11041,2.888857667185145,ENSG00000054803,,,,NA,NA
1,pairwise,Sp10D01-Sp10D05,HOPX,17.00928822936619,1.0361801242546747e-45,1.2393750466210165e-41,2836,2.3134904486924004,ENSG00000171476,,,,NA,NA
2,pairwise,Sp10D01-Sp10D05,LAMP5,12.920027403437219,1.4116670078827624e-30,1.8761054534761912e-27,10843,3.177502031311467,ENSG00000125869,,,,NA,NA
3,pairwise,Sp10D01-Sp10D05,MET,11.844188076947859,9.59014783749542e-27,1.0427978025843882e-23,4691,4.042586113995918,ENSG00000105976,,,,NA,NA
4,pairwise,Sp10D01-Sp10D05,CCK,11.808543387682807,1.2792551542216498e-26,1.2750975749704296e-23,2132,1.833285364974735,ENSG00000187094,,,,NA,NA
5,pairwise,Sp10D01-Sp10D05,NECAB2,11.678685577721144,3.645159604537087e-26,3.353827233066777e-23,9072,2.08089215640285,ENSG00000103154,,,,NA,NA
6,pairwise,Sp10D01-Sp10D05,CAMK2N1,11.567369581352489,8.915005924736355e-26,6.664524116610721e-23,157,1.0530257246088315,ENSG00000162545,,,,NA,NA
7,pairwise,Sp10D01-Sp10D05,PCDH8,11.264312503764392,1.0013584274469075e-24,5.444203704860209e-22,7720,2.9423578744616634,ENSG00000136099,,,,NA,NA
8,pairwise,Sp10D01-Sp10D05,CBLN4,11.242610532145386,1.189621093638353e-24,6.186546913481887e-22,11041,3.2228976141303116,ENSG00000054803,,,,NA,NA
9,pairwise,Sp10D01-Sp10D05,ATP6V1H,11.013580467130295,7.270338628444694e-24,3.344635397493346e-21,5006,1.014342148022445,ENSG00000047249,,,,NA,NA
10,pairwise,Sp10D01-Sp10D05,CALB1,10.849624711453382,2.632275151660076e-23,1.0856773478967644e-20,5099,2.9685596092240507,ENSG00000104327,,,,NA,NA
1,pairwise,Sp10D01-Sp10D06,NPTN,15.327522307832444,2.0046608315124682e-39,1.4986092628575395e-36,8450,1.275002770568352,ENSG00000156642,,,,NA,NA
2,pairwise,Sp10D01-Sp10D06,WASF1,14.108068995726994,6.587313235284317e-35,2.3173780472716386e-32,4086,1.3140819224710878,ENSG00000112290,,,,NA,NA
3,pairwise,Sp10D01-Sp10D06,YWHAZ,13.322833782369578,4.9108180270244123e-32,1.1747658884247799e-29,5139,0.9320774821938134,ENSG00000164924,,,,NA,NA
4,pairwise,Sp10D01-Sp10D06,ARPP19,13.30744106383643,5.58592444088307e-32,1.2606272120264603e-29,8359,0.9728612721968286,ENSG00000128989,,,,NA,NA
5,pairwise,Sp10D01-Sp10D06,MAPK1,13.069754663126858,4.06341920427449e-31,8.237721542767318e-29,11279,1.0343549468512307,ENSG00000100030,,,,NA,NA
6,pairwise,Sp10D01-Sp10D06,KCNK1,12.827994806930946,3.0293350334647516e-30,5.176268047895985e-28,1144,1.4377053022565196,ENSG00000135750,,,,NA,NA
7,pairwise,Sp10D01-Sp10D06,CHN1,12.79834197896171,3.873077075872169e-30,6.434149292292641e-28,1749,1.129129915280041,ENSG00000128656,,,,NA,NA
8,pairwise,Sp10D01-Sp10D06,ENC1,12.467324803796206,5.949726858810066e-29,7.570710953002894e-27,3267,1.470167743551169,ENSG00000171617,,,,NA,NA
9,pairwise,Sp10D01-Sp10D06,VSNL1,12.410916175029243,9.457359536521413e-29,1.1661801795498209e-26,1238,1.2572359409923486,ENSG00000163032,,,,NA,NA
10,pairwise,Sp10D01-Sp10D06,PPP3CA,12.100482481158506,1.1977576614370141e-27,1.2678211848184182e-25,2928,0.987820903864387,ENSG00000138814,,,,NA,NA
1,pairwise,Sp10D01-Sp10D07,ENC1,22.685243980161268,1.1237948074014616e-66,5.169888342818801e-64,3267,2.675081822209867,ENSG00000171617,,,,NA,NA
2,pairwise,Sp10D01-Sp10D07,NPTN,22.04116592981004,2.3909632734674302e-64,8.170946203983981e-62,8450,1.8334696934483672,ENSG00000156642,,,,NA,NA
3,pairwise,Sp10D01-Sp10D07,CHN1,20.858374480440496,4.9722096901998834e-60,1.2137265327445063e-57,1749,1.8402238859294666,ENSG00000128656,,,,NA,NA
4,pairwise,Sp10D01-Sp10D07,ATP6V1H,20.28891593466358,6.2114800528730185e-58,1.179293855752606e-55,5006,1.8685932909496206,ENSG00000047249,,,,NA,NA
5,pairwise,Sp10D01-Sp10D07,NCDN,20.177924013298092,1.5960525130207182e-57,2.892482440642547e-55,301,1.7405472595446865,ENSG00000020129,,,,NA,NA
6,pairwise,Sp10D01-Sp10D07,HOPX,19.810612715072196,3.647295875687605e-56,5.816707462546592e-54,2836,2.6945080053341846,ENSG00000171476,,,,NA,NA
