Feature ID,Feature Name,Feature count topic 1to6,Feature log2 fold change topic 1to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000197530,MIB2,63,0.17568,72,0.26850,40,-0.6957
ENSG00000189339,SLC35E2B,39,0.44191,25,-0.6165,33,-0.1826
ENSG00000215790,SLC35E2A,34,0.54336,19,-0.8392,28,-0.1767
ENSG00000008130,NADK,41,-0.0654,53,0.42670,32,-0.4029
ENSG00000078369,GNB1,519,0.36173,393,-0.3575,414,-0.2739
ENSG00000187730,GABRD,172,0.57026,159,0.01853,71,-1.2428
ENSG00000067606,PRKCZ,248,0.47891,184,-0.3590,171,-0.4820
ENSG00000162585,FAAP20,53,-0.1719,40,-0.4796,79,0.62043
ENSG00000157933,SKI,28,0.12773,14,-1.0789,37,0.52413
ENSG00000157916,RER1,82,-0.6411,190,1.25666,65,-0.5740
ENSG00000157911,PEX10,34,-0.7852,67,0.88874,50,0.36821
ENSG00000149527,PLCH2,45,0.54564,34,-0.3108,27,-0.6653
ENSG00000157881,PANK4,22,-0.2126,30,0.46375,21,-0.1502
ENSG00000197921,HES5,65,-1.5559,268,1.88888,115,0.29313
ENSG00000272449,AL139246.5,22,-1.0770,76,1.82177,17,-0.7693
ENSG00000157873,TNFRSF14,13,-1.0160,37,1.33552,19,0.16052
ENSG00000157870,PRXL2B,77,0.48951,43,-0.8157,67,-0.1112
ENSG00000177133,PRDM16-DT,25,-1.8937,136,2.17958,55,0.41936
ENSG00000158109,TPRG1L,236,0.47400,147,-0.6475,193,-0.2094
ENSG00000116213,WRAP73,16,-0.2261,22,0.42604,16,-0.0739
ENSG00000130764,LRRC47,99,0.81018,51,-0.8863,62,-0.5661
ENSG00000116198,CEP104,15,0.83901,7,-0.9015,9,-0.6018
ENSG00000198912,C1orf174,16,0.61829,11,-0.4344,9,-0.6621
ENSG00000196581,AJAP1,62,0.88664,46,-0.2725,20,-1.5345
ENSG00000069424,KCNAB2,327,0.11209,334,0.06636,271,-0.2749
ENSG00000116254,CHD5,198,0.35206,170,-0.1607,140,-0.4654
ENSG00000116251,RPL22,499,-0.4811,590,0.12008,804,0.65023
ENSG00000116237,ICMT,50,0.05352,51,0.05262,45,-0.1500
ENSG00000158292,GPR153,21,0.57033,13,-0.5642,15,-0.4407
ENSG00000097021,ACOT7,323,0.82829,198,-0.5986,165,-0.8838
ENSG00000215788,TNFRSF25,36,0.07837,41,0.20389,28,-0.3842
ENSG00000171680,PLEKHG5,40,0.00527,43,0.12513,36,-0.1435
ENSG00000162408,NOL9,37,0.36155,26,-0.4682,32,-0.1739
ENSG00000204859,ZBTB48,12,-0.6049,12,-0.2115,25,1.03621
ENSG00000162413,KLHL21,43,-0.5423,79,0.86364,46,-0.0603
ENSG00000116273,PHF13,24,0.14491,22,-0.1325,22,-0.1176
ENSG00000041988,THAP3,32,0.19700,39,0.39299,16,-0.9848
ENSG00000007923,DNAJC11,37,0.35132,29,-0.3236,29,-0.2886
ENSG00000171735,CAMTA1,177,-0.0901,185,0.04305,193,0.11028
ENSG00000049245,VAMP3,19,-1.0468,37,0.70553,43,0.97194
ENSG00000049246,PER3,36,-0.1396,48,0.43411,31,-0.2568
ENSG00000116288,PARK7,443,-0.0045,453,0.03640,435,-0.0291
ENSG00000116285,ERRFI1,22,0.40782,25,0.27566,9,-1.3415
ENSG00000162426,SLC45A1,38,0.39137,27,-0.4545,31,-0.2351
ENSG00000142599,RERE,123,0.21299,118,-0.0177,95,-0.3675
ENSG00000074800,ENO1,668,-0.4666,1112,0.71618,733,0.00381
ENSG00000171612,SLC25A33,41,-0.7230,78,0.82640,59,0.33641
ENSG00000188807,TMEM201,17,0.29300,6,-1.5271,21,0.48527
ENSG00000171603,CLSTN1,924,0.61933,711,-0.2769,491,-0.8628
ENSG00000178585,CTNNBIP1,40,-0.1866,45,0.11961,47,0.19648
ENSG00000162441,LZIC,32,-0.0106,23,-0.5447,42,0.43848
ENSG00000130939,UBE4B,44,1.10603,20,-0.9677,20,-1.0150
ENSG00000054523,KIF1B,297,0.32193,243,-0.2445,232,-0.3164
ENSG00000142657,PGD,52,0.36325,36,-0.4981,44,-0.1516
ENSG00000175279,CENPS,12,-0.2314,12,-0.0121,16,0.38461
ENSG00000241563,CORT,80,1.54933,12,-2.6351,43,-0.7207
ENSG00000160049,DFFA,25,-0.2667,25,-0.0537,35,0.47072
ENSG00000142655,PEX14,33,-0.0062,48,0.62131,19,-0.9101
ENSG00000120948,TARDBP,85,0.05316,83,-0.0271,81,-0.0644
ENSG00000116649,SRM,122,0.04014,118,-0.0344,118,-0.0344
ENSG00000171824,EXOSC10,24,-0.1631,30,0.35824,23,-0.1082
ENSG00000198793,MTOR,48,0.16384,49,0.06356,37,-0.3719
ENSG00000204624,DISP3,15,-0.5558,31,1.08808,13,-0.4294
ENSG00000116661,FBXO2,297,-0.8101,514,0.63780,529,0.68721
ENSG00000132879,FBXO44,192,0.55226,153,-0.2350,109,-0.7765
ENSG00000116670,MAD2L2,34,-0.0811,36,0.03804,37,0.10001
ENSG00000177674,AGTRAP,8,-2.1910,51,2.10375,29,1.00712
ENSG00000177000,MTHFR,18,0.13517,15,-0.2752,18,0.02965
ENSG00000011021,CLCN6,82,0.66872,40,-0.9525,62,-0.2903
ENSG00000116685,KIAA2013,39,0.26679,43,0.21898,22,-0.8300
ENSG00000083444,PLOD1,22,-0.3286,36,0.73409,19,-0.3138
ENSG00000116688,MFN2,112,0.31754,78,-0.5048,102,-0.0730
ENSG00000116691,MIIP,18,0.13356,13,-0.4097,19,0.13931
ENSG00000048707,VPS13D,54,0.37830,42,-0.2931,40,-0.3675
ENSG00000162496,DHRS3,11,-1.8499,45,1.61052,36,1.16054
ENSG00000116731,PRDM2,86,0.65169,58,-0.4816,51,-0.6731
ENSG00000189337,KAZN,41,0.34596,19,-1.0909,45,0.24657
ENSG00000142634,EFHD2,145,1.20765,46,-1.5530,79,-0.7221
ENSG00000116138,DNAJC16,26,-0.1322,33,0.32823,25,-0.1295
ENSG00000197312,DDI2,25,0.77769,13,-0.8329,16,-0.5564
ENSG00000116786,PLEKHM2,94,0.09705,78,-0.2865,98,0.09968
ENSG00000065526,SPEN,35,0.57320,13,-1.3356,33,0.05801
ENSG00000116809,ZBTB17,21,0.28569,23,0.23295,11,-0.9029
ENSG00000185519,FAM131C,16,-0.1606,29,0.95193,7,-1.2973
ENSG00000037637,FBXO42,22,0.03883,29,0.47824,14,-0.7357
ENSG00000055070,SZRD1,26,-0.5715,43,0.62285,36,0.31561
ENSG00000157191,NECAP2,11,-1.1476,23,0.78986,26,1.03732
ENSG00000058453,CROCC,20,0.14508,28,0.60283,8,-1.3420
ENSG00000238142,BX284668.5,13,-0.0290,11,-0.1845,15,0.21380
ENSG00000159363,ATP13A2,161,0.61055,98,-0.6534,113,-0.4289
ENSG00000117118,SDHB,98,0.41851,84,-0.1597,63,-0.5982
ENSG00000117115,PADI2,23,-1.2872,35,0.14350,81,1.66850
ENSG00000179051,RCC2,21,-0.0976,31,0.61378,14,-0.6486
ENSG00000074964,ARHGEF10L,15,-0.6416,34,1.21881,12,-0.4855
ENSG00000117154,IGSF21,80,0.75123,24,-1.7060,71,-0.0218
ENSG00000159423,ALDH4A1,25,-1.1135,67,1.24444,44,0.48008
ENSG00000169991,IFFO2,15,-0.7157,44,1.64057,6,-1.5794
ENSG00000127481,UBR4,16,0.31912,17,0.22473,8,-0.9740
ENSG00000127463,EMC1,33,-0.4319,56,0.76332,33,-0.1361
ENSG00000053372,MRTO4,45,0.30490,40,-0.1115,32,-0.4326
ENSG00000053371,AKR7A2,40,-0.6368,65,0.60561,59,0.44498
ENSG00000077549,CAPZB,217,0.15397,247,0.25942,143,-0.6302
ENSG00000173436,MICOS10,433,0.18263,305,-0.5177,458,0.14357
ENSG00000158747,NBL1,241,-0.4739,445,0.89907,224,-0.2674
ENSG00000169914,OTUD3,24,1.18913,6,-1.8215,15,-0.5536
ENSG00000162545,CAMK2N1,1603,0.28887,1369,-0.1819,1255,-0.3227
ENSG00000090432,MUL1,29,0.09762,26,-0.1999,29,0.02510
ENSG00000183114,FAM43B,12,-0.6695,20,0.63350,18,0.46889
ENSG00000158828,PINK1,457,0.47382,266,-0.7509,392,-0.1322
ENSG00000244038,DDOST,28,-0.1183,41,0.62803,19,-0.6236
ENSG00000117245,KIF17,20,1.70608,10,-0.7634,2,-3.2228
ENSG00000189410,SH2D5,44,0.19719,31,-0.4910,45,0.10260
ENSG00000127483,HP1BP3,138,0.22288,101,-0.4540,136,0.03566
ENSG00000075151,EIF4G3,113,0.77904,56,-0.9540,76,-0.4617
ENSG00000117298,ECE1,13,-1.7623,68,2.15265,25,0.21510
ENSG00000162551,ALPL,13,0.17662,13,0.03264,10,-0.3584
ENSG00000076864,RAP1GAP,274,0.96693,138,-0.8795,141,-0.8458
ENSG00000090686,USP48,38,0.18574,28,-0.4608,39,0.09790
ENSG00000070831,CDC42,270,0.58812,173,-0.5765,186,-0.4602
ENSG00000133216,EPHB2,14,0.66143,9,-0.5746,9,-0.5925
ENSG00000004487,KDM1A,58,0.33723,58,0.09239,33,-0.7843
ENSG00000169641,LUZP1,40,0.33659,37,-0.0660,27,-0.5524
ENSG00000125944,HNRNPR,104,0.21574,100,-0.0191,80,-0.3711
ENSG00000125945,ZNF436,36,0.96297,15,-1.1748,22,-0.5929
ENSG00000249087,ZNF436-AS1,17,-0.9232,46,1.40874,18,-0.1752
ENSG00000117318,ID3,7,-4.0517,106,2.04351,136,2.66972
ENSG00000142676,RPL11,479,-0.8426,831,0.62793,888,0.74600
ENSG00000011007,ELOA,18,-0.0207,21,0.25610,15,-0.2541
ENSG00000057757,PITHD1,271,0.75217,171,-0.5688,151,-0.7686
ENSG00000011009,LYPLA2,60,0.01939,77,0.43144,41,-0.6032
ENSG00000117308,GALE,23,-0.1134,31,0.50826,18,-0.4253
ENSG00000117305,HMGCL,20,-0.7459,35,0.64705,34,0.57787
ENSG00000179163,FUCA1,15,0.27009,11,-0.4558,14,-0.0368
ENSG00000189266,PNRC2,59,0.13807,65,0.18855,43,-0.4874
ENSG00000188529,SRSF10,55,0.43862,44,-0.2612,37,-0.5148
ENSG00000001460,STPG1,16,0.94090,8,-0.9158,9,-0.7647
ENSG00000001461,NIPAL3,60,0.36447,33,-0.8777,61,0.10935
ENSG00000133226,SRRM1,41,0.51659,22,-0.8350,35,-0.1390
ENSG00000169504,CLIC4,10,-1.7581,16,-0.0083,53,2.25599
ENSG00000117614,SYF2,54,-0.5631,72,0.29772,88,0.62568
ENSG00000117616,RSRP1,87,0.43829,68,-0.2823,60,-0.4902
ENSG00000183726,TMEM50A,111,0.28911,111,0.06392,72,-0.6319
ENSG00000204178,MACO1,30,0.08285,27,-0.1070,28,-0.0362
ENSG00000117643,MAN1C1,45,-0.0058,58,0.41932,32,-0.5242
ENSG00000162430,SELENON,41,-0.9403,89,0.96752,70,0.53769
ENSG00000117640,MTFR1L,76,0.15599,76,0.03721,60,-0.3240
ENSG00000117632,STMN1,1955,1.15985,845,-1.0950,905,-0.9890
ENSG00000158008,EXTL1,65,0.16399,59,-0.1222,58,-0.1613
ENSG00000142684,ZNF593,56,-0.0855,60,0.08634,59,0.05957
ENSG00000142669,SH3BGRL3,378,0.61558,197,-0.8969,297,-0.2472
ENSG00000158062,UBXN11,27,0.39706,23,-0.1455,18,-0.5728
ENSG00000117682,DHDDS,26,0.91725,8,-1.5222,19,-0.3206
ENSG00000198830,HMGN2,120,-0.7174,198,0.59403,197,0.58686
ENSG00000117713,ARID1A,45,-0.4189,78,0.80531,42,-0.2311
ENSG00000204160,ZDHHC18,36,-0.1477,45,0.33927,34,-0.1138
ENSG00000142751,GPN2,19,0.10014,7,-1.4763,29,0.70017
ENSG00000090273,NUDC,200,0.01877,213,0.11089,182,-0.1521
ENSG00000253368,TRNP1,73,0.63292,42,-0.7542,53,-0.3811
ENSG00000090020,SLC9A1,38,0.45939,44,0.34745,11,-1.7287
ENSG00000142784,WDTC1,32,-0.5036,49,0.51248,43,0.32333
ENSG00000186501,TMEM222,83,0.26530,63,-0.3902,76,-0.0830
ENSG00000158195,WASF2,19,-1.2421,45,0.93859,47,1.03071
ENSG00000126705,AHDC1,58,0.80068,34,-0.6662,32,-0.7550
ENSG00000126709,IFI6,72,-0.3129,86,0.19744,93,0.32824
ENSG00000009780,FAM76A,18,0.20919,17,0.03765,13,-0.4291
ENSG00000117758,STX12,104,0.44946,63,-0.6910,89,-0.1378
ENSG00000117751,PPP1R8,27,-0.1731,26,-0.0782,34,0.34954
ENSG00000117748,RPA2,63,0.16887,67,0.15544,44,-0.5054
ENSG00000126698,DNAJC8,159,0.38594,131,-0.2124,112,-0.4702
ENSG00000130770,ATP5IF1,932,0.64955,587,-0.5922,601,-0.5536
ENSG00000242125,SNHG3,16,-0.6744,36,1.21804,14,-0.3977
ENSG00000180098,TRNAU1AP,22,-0.6407,38,0.69423,31,0.35214
ENSG00000197989,SNHG12,12,-0.5069,10,-0.4441,24,1.03466
ENSG00000120656,TAF12,16,-0.3998,21,0.32466,21,0.34622
ENSG00000198492,YTHDF2,84,1.06636,36,-1.1088,44,-0.8131
ENSG00000116329,OPRD1,16,0.94571,9,-0.5885,6,-1.1427
ENSG00000116350,SRSF4,44,0.41082,29,-0.5736,37,-0.1668
ENSG00000116353,MECR,45,0.12920,53,0.30762,29,-0.6519
ENSG00000060656,PTPRU,17,-0.1707,22,0.36057,17,-0.0966
ENSG00000162511,LAPTM5,9,-2.1315,42,1.52849,43,1.59693
ENSG00000162512,SDC3,93,-0.6144,158,0.67570,129,0.32835
ENSG00000134644,PUM1,122,0.37166,91,-0.3798,97,-0.2699
ENSG00000060688,SNRNP40,19,0.66372,19,0.16031,5,-1.9286
ENSG00000121766,ZCCHC17,123,0.57763,76,-0.6312,88,-0.3927
ENSG00000121769,FABP3,234,1.30447,100,-1.0916,89,-1.2655
ENSG00000162517,PEF1,137,0.33354,124,-0.0787,94,-0.5298
ENSG00000084636,COL16A1,40,0.11550,40,0.01063,35,-0.2166
ENSG00000121753,ADGRB2,333,0.68596,220,-0.5044,193,-0.7133
ENSG00000184007,PTP4A2,128,-0.0308,88,-0.6073,173,0.50228
ENSG00000121774,KHDRBS1,103,-0.2435,134,0.37009,110,0.02763
ENSG00000121775,TMEM39B,22,0.42726,21,0.01593,12,-0.8713
ENSG00000025800,KPNA6,43,0.49511,29,-0.5096,32,-0.3613
ENSG00000084652,TXLNA,30,0.16730,17,-0.8314,36,0.35602
ENSG00000160050,CCDC28B,18,-0.4902,21,0.07508,30,0.69764
ENSG00000084623,EIF3I,120,0.04723,127,0.09783,106,-0.1898
ENSG00000175130,MARCKSL1,164,-0.9874,223,0.14311,428,1.31072
ENSG00000160058,BSDC1,82,0.31362,72,-0.1220,59,-0.4370
ENSG00000176261,ZBTB8OS,54,0.68560,24,-1.1276,43,-0.2044
ENSG00000162521,RBBP4,77,-0.1120,97,0.33528,71,-0.1777
ENSG00000162522,KIAA1522,37,0.67670,19,-0.8324,26,-0.3903
ENSG00000134684,YARS,124,0.46461,102,-0.2047,78,-0.6343
ENSG00000116497,S100PBP,14,-0.3521,20,0.40990,17,0.17603
ENSG00000160097,FNDC5,27,0.73367,23,-0.0796,9,-1.5056
ENSG00000121905,HPCA,353,0.51706,306,-0.1044,187,-0.8887
ENSG00000121900,TMEM54,64,0.25473,38,-0.7593,70,0.19496
ENSG00000116514,RNF19B,21,0.39570,17,-0.2854,15,-0.4074
ENSG00000004455,AK2,24,-0.4471,35,0.45256,32,0.29268
ENSG00000142920,AZIN2,32,0.11913,27,-0.2216,31,0.00920
ENSG00000160094,ZNF362,18,-0.0640,20,0.20786,17,-0.1114
ENSG00000134686,PHC2,72,-0.1379,92,0.35139,68,-0.1482
ENSG00000163866,SMIM12,76,0.44190,76,0.10021,36,-1.0572
ENSG00000116544,DLGAP3,68,-0.2153,70,-0.0253,89,0.37087
ENSG00000163867,ZMYM6,14,-0.3311,25,0.80965,11,-0.4412
ENSG00000116560,SFPQ,135,-0.2294,191,0.50256,127,-0.1701
ENSG00000146463,ZMYM4,32,-0.3753,27,-0.3679,56,0.82711
ENSG00000142687,KIAA0319L,68,0.24068,72,0.14389,44,-0.6448
ENSG00000020129,NCDN,902,0.44122,790,-0.1062,539,-0.7172
ENSG00000126067,PSMB2,140,0.34199,118,-0.1878,102,-0.4148
ENSG00000142686,C1orf216,141,0.42005,129,-0.0387,81,-0.7689
ENSG00000134698,AGO4,12,-0.5578,18,0.37235,20,0.55124
ENSG00000092847,AGO1,32,-0.1413,37,0.20338,33,0.03349
ENSG00000126070,AGO3,13,0.06523,9,-0.4866,15,0.29462
ENSG00000116863,ADPRHL2,22,-0.3719,30,0.34221,29,0.28256
ENSG00000054116,TRAPPC3,70,0.43223,61,-0.1169,42,-0.6832
ENSG00000116871,MAP7D1,201,-0.1782,266,0.41548,189,-0.1534
ENSG00000054118,THRAP3,54,-0.1689,67,0.31093,54,-0.0392
ENSG00000196182,STK40,24,0.15687,19,-0.3214,24,0.03368
ENSG00000181817,LSM10,63,0.22169,56,-0.1576,53,-0.2270
ENSG00000116885,OSCP1,25,0.60720,12,-0.9765,21,-0.1818
ENSG00000116898,MRPS15,67,0.25060,43,-0.6421,69,0.12763
ENSG00000163873,GRIK3,28,1.61605,3,-3.1183,15,-0.6795
ENSG00000163875,MEAF6,135,0.77505,70,-0.8685,87,-0.5222
ENSG00000134697,GNL2,14,-0.7039,30,1.01107,17,0.04382
ENSG00000116922,C1orf109,19,1.21298,6,-1.5416,10,-0.7371
ENSG00000183317,EPHA10,20,-0.5423,39,0.93632,20,-0.1780
ENSG00000185090,MANEAL,45,0.66133,22,-0.9576,35,-0.2756
ENSG00000196449,YRDC,18,0.44058,13,-0.3544,13,-0.4167
ENSG00000197982,C1orf122,254,-0.3353,292,0.12349,350,0.42986
ENSG00000183431,SF3A3,39,0.03929,40,0.07523,35,-0.1493
ENSG00000183520,UTP11,41,0.11025,45,0.16410,32,-0.3954
ENSG00000116954,RRAGC,40,0.44917,27,-0.4953,31,-0.2960
ENSG00000174574,AKIRIN1,91,0.84625,48,-0.8253,53,-0.6812
ENSG00000168653,NDUFS5,978,0.40643,764,-0.2977,711,-0.4139
ENSG00000127603,MACF1,120,-0.5039,186,0.56998,155,0.25919
ENSG00000090621,PABPC4,43,-0.3832,49,0.08200,64,0.53675
ENSG00000116983,HPCAL4,392,0.18579,357,-0.0992,331,-0.2242
ENSG00000084072,PPIE,45,0.16753,47,0.11957,33,-0.4527
ENSG00000168389,MFSD2A,15,-0.7452,23,0.39169,29,0.81295
ENSG00000131236,CAP1,145,0.21845,118,-0.2806,132,-0.1020
ENSG00000131238,PPT1,133,-0.0026,146,0.15312,121,-0.1613
ENSG00000259943,AL050341.2,19,0.25501,20,0.14570,12,-0.6799
ENSG00000084073,ZMPSTE24,31,0.22231,27,-0.1825,27,-0.2026
ENSG00000084070,SMAP2,169,0.53539,136,-0.2210,97,-0.7598
ENSG00000117016,RIMS3,136,0.73084,104,-0.2553,59,-1.1529
ENSG00000066136,NFYC,41,-0.0592,55,0.45408,31,-0.4596
ENSG00000179862,CITED4,21,0.05608,25,0.30866,15,-0.4879
ENSG00000171793,CTPS1,18,0.50430,9,-0.9180,16,-0.0671
ENSG00000010803,SCMH1,18,0.00334,11,-0.7079,24,0.51100
ENSG00000127124,HIVEP3,22,0.41238,16,-0.4091,17,-0.3125
ENSG00000198815,FOXJ3,73,1.09292,28,-1.2976,41,-0.7117
ENSG00000177181,RIMKLA,34,0.40233,30,-0.1064,21,-0.6346
ENSG00000127125,PPCS,56,-0.1371,54,-0.1096,70,0.31975
ENSG00000171960,PPIH,23,-0.0315,18,-0.3474,28,0.34048
ENSG00000065978,YBX1,51,-1.2983,117,0.87506,137,1.16703
ENSG00000164008,C1orf50,26,0.35272,17,-0.5464,23,-0.0959
ENSG00000177868,SVBP,53,0.47731,44,-0.1790,32,-0.6940
ENSG00000117394,SLC2A1,30,-1.8715,137,1.85279,84,0.88825
ENSG00000117395,EBNA1BP2,89,0.07599,117,0.48483,51,-0.8455
ENSG00000066322,ELOVL1,12,-0.9928,5,-1.6163,43,1.94141
ENSG00000159479,MED8,32,0.07527,45,0.58916,16,-1.0762
ENSG00000178922,HYI,20,-1.1743,59,1.38751,34,0.38541
ENSG00000142949,PTPRF,152,0.49590,120,-0.2527,95,-0.6373
ENSG00000066135,KDM4A,26,0.80246,12,-1.0605,18,-0.4219
ENSG00000126091,ST3GAL3,44,0.30142,40,-0.0793,32,-0.4650
ENSG00000117408,IPO13,63,-0.5268,98,0.56880,84,0.30031
ENSG00000132768,DPH2,15,0.04187,14,-0.0685,15,-0.0039
ENSG00000117410,ATP6V0B,572,0.54499,447,-0.2684,337,-0.7171
ENSG00000117411,B4GALT2,79,-0.2221,92,0.18203,93,0.19439
ENSG00000159214,CCDC24,33,0.10883,36,0.17071,25,-0.4015
ENSG00000178028,DMAP1,63,0.92161,36,-0.7122,31,-0.9368
ENSG00000117419,ERI3,207,0.42832,117,-0.8054,191,-0.0270
ENSG00000187147,RNF220,116,0.12671,87,-0.4219,125,0.15869
ENSG00000126106,TMEM53,18,0.15219,18,0.06780,14,-0.3543
ENSG00000142937,RPS8,928,-0.5650,1220,0.26783,1526,0.65378
ENSG00000070785,EIF2B3,34,0.87940,16,-0.9651,20,-0.6168
ENSG00000126107,HECTD3,16,0.61176,14,-0.1000,7,-1.1253
ENSG00000126088,UROD,94,-0.0020,104,0.17633,83,-0.1902
ENSG00000132763,MMACHC,11,-0.8287,16,0.33189,23,0.97689
ENSG00000117450,PRDX1,387,-0.1835,397,-0.0122,482,0.31092
ENSG00000117448,AKR1A1,50,-0.2216,65,0.38332,51,-0.0288
ENSG00000132780,NASP,27,-0.2495,30,0.09983,35,0.31666
ENSG00000159592,GPBP1L1,34,0.34328,19,-0.7785,33,0.08008
ENSG00000159596,TMEM69,19,-0.3857,39,1.10759,11,-0.9690
ENSG00000086015,MAST2,26,-0.1077,29,0.11405,28,0.06931
ENSG00000117461,PIK3R3,29,0.09473,33,0.23561,21,-0.4629
ENSG00000085998,POMGNT1,66,-0.3718,102,0.62609,68,-0.0575
ENSG00000132128,LRRC41,61,0.26745,52,-0.1931,49,-0.2719
ENSG00000173660,UQCRH,766,0.46630,541,-0.4479,568,-0.3693
ENSG00000117480,FAAH,44,0.58406,34,-0.3041,25,-0.7517
ENSG00000079277,MKNK1,35,0.24303,37,0.11570,23,-0.6075
ENSG00000123472,ATPAF1,127,0.14473,96,-0.4149,134,0.12617
ENSG00000159658,EFCAB14,42,-0.7324,53,0.14455,87,0.98184
ENSG00000186377,CYP4X1,37,1.43392,18,-0.9051,9,-1.8176
ENSG00000162368,CMPK1,99,0.13098,85,-0.2056,95,-0.0247
ENSG00000162373,BEND5,32,0.42942,36,0.34841,10,-1.6163
ENSG00000162374,ELAVL4,148,1.27932,69,-0.9541,52,-1.3787
ENSG00000185104,FAF1,42,1.11224,10,-1.9796,28,-0.3845
ENSG00000123091,RNF11,427,0.62962,271,-0.5833,281,-0.5267
ENSG00000085832,EPS15,185,0.54517,144,-0.2742,110,-0.7101
ENSG00000117859,OSBPL9,14,0.06747,16,0.16471,12,-0.3103
ENSG00000078618,NRDC,79,0.41016,45,-0.7848,73,-0.0135
ENSG00000169213,RAB3B,51,1.76381,7,-2.6038,22,-1.0056
ENSG00000117862,TXNDC12,34,-0.7200,81,1.25277,32,-0.3547
ENSG00000134717,BTF3L4,74,0.25781,73,0.05851,50,-0.5570
ENSG00000157077,ZFYVE9,31,-0.0499,44,0.55499,21,-0.6568
ENSG00000134748,PRPF38A,21,-0.2869,29,0.46632,22,-0.0096
ENSG00000134744,TUT4,16,-0.3689,19,0.10327,24,0.49811
ENSG00000162377,COA7,23,0.44023,22,0.02211,12,-0.9126
ENSG00000162378,ZYG11B,151,1.23700,55,-1.3367,73,-0.9163
ENSG00000116171,SCP2,78,-0.5452,127,0.63954,101,0.24990
ENSG00000162384,CZIB,71,-0.1767,90,0.33340,72,-0.0517
ENSG00000162385,MAGOH,47,0.27993,36,-0.3490,41,-0.1429
ENSG00000157193,LRP8,38,0.15888,29,-0.3987,39,0.09216
ENSG00000058804,NDC1,16,0.77295,7,-0.9432,10,-0.4601
ENSG00000058799,YIPF1,24,1.15538,11,-1.0147,11,-1.0597
ENSG00000081870,HSPB11,65,0.27235,49,-0.3673,58,-0.1142
ENSG00000116212,LRRC42,13,0.63611,9,-0.4868,8,-0.6378
ENSG00000116209,TMEM59,194,-0.0068,228,0.26514,162,-0.2938
ENSG00000116221,MRPL37,74,0.54283,57,-0.2747,43,-0.7047
ENSG00000157216,SSBP3,240,0.92160,119,-0.9163,134,-0.7305
ENSG00000243725,TTC4,22,0.50945,23,0.20857,7,-1.5010
ENSG00000116133,DHCR24,229,0.84841,166,-0.3259,87,-1.3262
ENSG00000162402,USP24,30,-0.5172,45,0.46683,43,0.39452
ENSG00000162407,PLPP3,66,-2.4627,531,2.64565,197,0.57607
ENSG00000162409,PRKAA2,53,0.42401,50,0.00960,29,-0.8533
ENSG00000173406,DAB1,20,0.39485,13,-0.5864,17,-0.1314
ENSG00000162601,MYSM1,25,0.08058,26,0.03951,22,-0.1848
ENSG00000177606,JUN,194,-0.9105,494,1.30005,237,-0.0001
ENSG00000172456,FGGY,13,-0.9341,31,1.07784,21,0.38701
ENSG00000134709,HOOK1,35,1.45562,11,-1.5377,14,-1.1251
ENSG00000162599,NFIA,32,-1.5829,69,0.60271,124,1.72904
