Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000126217,MCF2L,30,-1.5350,57,-0.5563,105,0.42001,118,0.91489,45,-0.9240,69,-0.2849
ENSG00000185896,LAMP1,535,1.86795,207,0.14580,98,-1.0222,184,-0.0560,66,-1.6343,122,-0.7670
ENSG00000183087,GAS6,30,-1.0246,138,1.51802,87,0.67090,49,-0.3454,55,-0.0871,32,-1.0021
ENSG00000130177,CDC16,30,-0.9739,102,1.02501,48,-0.2584,52,-0.1599,29,-1.0246,69,0.41400
ENSG00000169062,UPF3A,30,-0.6502,54,0.28329,48,0.10153,43,-0.1294,54,0.27403,47,0.07171
ENSG00000259001,AL355075.4,30,-0.5915,48,0.15080,19,-1.2703,10,-2.5898,52,0.29347,107,2.05461
ENSG00000129484,PARP2,30,-0.5081,22,-1.0061,59,0.58118,58,0.81160,35,-0.2835,26,-0.7813
ENSG00000100823,APEX1,361,2.70301,23,-2.0660,57,-0.6952,75,-0.3407,38,-1.3169,48,-1.0698
ENSG00000165782,PIP4P1,30,-0.8343,36,-0.5486,90,0.95573,65,0.54877,33,-0.6657,38,-0.5304
ENSG00000129538,RNASE1,30,-1.3402,390,3.61118,35,-1.1231,12,-2.9641,2,-5.1430,74,0.06890
ENSG00000165795,NDRG2,1114,0.48881,911,0.15287,624,-0.4552,379,-1.4733,906,0.14395,1386,1.04723
ENSG00000258441,LINC00641,30,-1.8163,47,-1.1516,151,0.72325,140,0.86741,59,-0.7970,87,-0.2176
ENSG00000092199,HNRNPC,36,-2.8338,278,0.27200,239,0.02601,283,0.41943,307,0.43471,205,-0.2523
ENSG00000092201,SUPT16H,31,-1.3713,103,0.51690,94,0.37276,91,0.43329,45,-0.8152,65,-0.2518
ENSG00000100888,CHD8,30,-1.0412,97,0.84559,67,0.22760,73,0.49540,31,-0.9777,42,-0.6009
ENSG00000092203,TOX4,44,-0.3120,45,-0.2643,68,0.40500,56,0.12211,68,0.39195,43,-0.3906
ENSG00000165821,SALL2,30,-0.1318,12,-1.5582,27,-0.2869,23,-0.6709,22,-0.5732,66,1.50299
ENSG00000129562,DAD1,30,-1.2954,73,0.09132,99,0.58804,63,-0.2004,72,0.06045,80,0.27823
ENSG00000155463,OXA1L,30,-0.7061,72,0.72241,35,-0.4770,53,0.27440,41,-0.1986,42,-0.1892
ENSG00000172590,MRPL52,30,-1.5442,113,0.53833,122,0.66204,76,-0.1549,71,-0.2294,86,0.09555
ENSG00000100804,PSMB5,66,-0.8933,66,-0.9091,157,0.48449,143,0.45669,125,0.10239,106,-0.1888
ENSG00000100813,ACIN1,30,-0.7029,90,1.10288,65,0.55219,34,-0.6344,90,1.10043,22,-1.2515
ENSG00000129473,BCL2L2,30,-2.1731,78,-0.7451,205,0.83792,174,0.79055,111,-0.1795,88,-0.6083
ENSG00000100836,PABPN1,30,-1.2304,84,0.38436,61,-0.1397,93,0.82311,36,-0.9697,53,-0.4011
ENSG00000092096,SLC22A17,1165,1.23767,231,-1.3995,726,0.40438,656,0.32374,405,-0.5393,309,-1.0530
ENSG00000092051,JPH4,30,-2.6660,82,-1.1760,148,-0.2566,245,0.81763,196,0.18817,189,0.14790
ENSG00000100884,CPNE6,30,-2.1862,27,-2.3181,98,-0.4009,212,1.35169,123,-0.0383,109,-0.2550
ENSG00000100897,DCAF11,335,2.29938,78,-0.3580,83,-0.2567,66,-0.7716,79,-0.3285,52,-1.0886
ENSG00000092010,PSME1,30,-0.7811,108,1.35745,61,0.34188,34,-0.7593,61,0.34747,42,-0.3071
ENSG00000254505,CHMP4A,37,-0.4501,94,1.11406,56,0.23205,28,-1.0998,43,-0.2058,64,0.50343
ENSG00000213920,MDP1,30,-0.4998,31,-0.4487,60,0.63735,46,0.27167,54,0.45536,27,-0.7021
ENSG00000129559,NEDD8,70,-1.8716,119,-1.0672,269,0.21216,249,0.11493,354,0.67728,283,0.34546
