Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000160075,SSU72,53,-1.5217,83,-0.8453,140,-0.0635,141,-0.0505,172,0.27089,167,0.25104,172,0.27055,181,0.39944
ENSG00000228594,FNDC10,0,-6.8020,8,-2.3517,48,0.32302,53,0.50192,22,-0.8894,70,1.04610,15,-1.4985,46,0.23585
ENSG00000272106,AL691432.2,13,-1.8373,55,0.36553,32,-0.5423,44,0.02284,40,-0.1349,30,-0.6384,107,1.48240,49,0.20978
ENSG00000197530,MIB2,0,-5.4026,23,-0.5978,29,-0.2405,47,0.57504,29,-0.2186,40,0.29168,30,-0.1715,45,0.52145
ENSG00000189339,SLC35E2B,9,-2.1665,22,-0.8726,32,-0.3408,37,-0.1177,59,0.63115,53,0.50495,41,0.06880,50,0.40434
ENSG00000215790,SLC35E2A,24,-0.0874,18,-0.5460,29,0.21210,19,-0.4702,22,-0.1962,34,0.54440,10,-1.3645,33,0.45261
ENSG00000008130,NADK,32,0.03533,24,-0.4305,27,-0.2665,26,-0.3290,40,0.37120,29,-0.1680,43,0.48662,38,0.34325
ENSG00000078369,GNB1,314,-0.2195,223,-0.7431,293,-0.3562,261,-0.5469,380,0.07767,414,0.23643,614,0.85827,436,0.32928
ENSG00000187730,GABRD,0,-8.2786,2,-5.7615,81,-0.5384,83,-0.4993,122,0.14495,150,0.52796,186,0.82197,201,1.09556
ENSG00000067606,PRKCZ,38,-2.1944,91,-0.8869,151,-0.1311,160,-0.0317,186,0.20932,187,0.24144,262,0.76699,191,0.27926
ENSG00000162585,FAAP20,124,1.18607,80,0.45892,61,0.00826,65,0.12259,55,-0.1467,75,0.37678,0,-7.6456,32,-1.0378
ENSG00000157933,SKI,93,0.80796,46,-0.3177,57,0.04270,69,0.36339,31,-0.9029,54,-0.0755,69,0.31857,37,-0.6717
ENSG00000157916,RER1,96,0.48581,86,0.31655,39,-0.9626,52,-0.5082,82,0.23910,66,-0.1117,66,-0.1070,101,0.64388
ENSG00000157911,PEX10,0,-5.9827,33,0.60480,21,-0.1438,30,0.52120,24,0.08997,25,0.20117,8,-1.4856,26,0.26907
ENSG00000149527,PLCH2,0,-6.2745,19,-0.5889,20,-0.4879,11,-1.4514,32,0.23809,55,1.32224,2,-3.5312,52,1.17334
ENSG00000157881,PANK4,0,-5.7198,9,-1.0754,15,-0.3688,20,0.16382,39,1.20385,27,0.68520,21,0.22710,14,-0.4577
ENSG00000197921,HES5,0,-6.0103,3,-2.8941,22,-0.0625,26,0.22866,97,2.56098,25,0.16025,2,-3.4292,13,-0.9178
ENSG00000157870,PRXL2B,14,-2.5770,25,-1.7582,92,0.26042,101,0.42387,91,0.21796,67,-0.2872,84,0.09801,109,0.56971
ENSG00000177133,PRDM16-DT,0,-5.9290,1,-4.3636,30,0.59768,13,-0.8675,104,2.85051,13,-0.7632,20,-0.0756,10,-1.1602
ENSG00000158109,TPRG1L,63,-1.2500,50,-1.6109,98,-0.6348,146,0.01976,162,0.18883,146,0.03095,291,1.15675,190,0.49184
ENSG00000130764,LRRC47,31,-0.9991,42,-0.5447,36,-0.8331,61,0.01784,73,0.29692,72,0.30410,85,0.54232,78,0.43727
ENSG00000116198,CEP104,26,0.55676,30,0.79955,19,0.10125,25,0.58027,11,-0.6787,3,-2.4773,2,-3.1307,26,0.65828
ENSG00000196581,AJAP1,0,-6.8637,13,-1.6906,31,-0.4756,21,-1.0862,40,-0.0660,48,0.26809,124,1.84362,60,0.65886
ENSG00000069424,KCNAB2,56,-2.1575,20,-3.6024,224,-0.0742,263,0.20370,270,0.22641,225,-0.0675,330,0.54881,354,0.75211
ENSG00000116254,CHD5,3,-6.0898,27,-3.0302,214,0.08246,320,0.82129,154,-0.4408,252,0.37614,126,-0.7418,284,0.58990
ENSG00000116251,RPL22,1418,1.89571,1095,1.41462,403,-0.2517,217,-1.2539,388,-0.2910,358,-0.4519,262,-0.8879,245,-1.0620
ENSG00000116237,ICMT,28,-0.4130,12,-1.6617,25,-0.6268,42,0.23207,36,-0.0309,43,0.29329,17,-1.1434,63,0.99631
ENSG00000158292,GPR153,22,0.64847,0,-4.8507,22,0.77693,5,-1.5553,3,-2.2881,13,-0.1958,32,1.28127,18,0.36916
ENSG00000097021,ACOT7,14,-3.2100,44,-1.5689,90,-0.5496,76,-0.8368,126,0.01005,130,0.05747,287,1.37106,221,1.05187
ENSG00000215788,TNFRSF25,57,0.92556,0,-6.6330,18,-0.9411,32,0.03193,23,-0.4861,19,-0.8510,53,0.80491,56,1.02962
ENSG00000171680,PLEKHG5,0,-6.8827,7,-2.6561,37,-0.2079,38,-0.1573,32,-0.4116,37,-0.2265,78,0.99653,82,1.24686
ENSG00000162408,NOL9,0,-6.6240,12,-1.6170,37,0.10544,48,0.56162,48,0.50014,37,0.07127,24,-0.6105,47,0.50899
ENSG00000162413,KLHL21,32,-0.0551,36,0.11439,25,-0.4572,41,0.34482,29,-0.1992,24,-0.5684,31,-0.1413,47,0.59398
ENSG00000116273,PHF13,0,-5.8510,13,-0.6447,12,-0.8794,23,0.20044,19,-0.0933,38,1.16931,8,-1.3871,29,0.62867
ENSG00000041988,THAP3,0,-5.3615,19,0.41040,12,-0.3302,12,-0.2631,14,-0.0816,22,0.78529,3,-1.9925,22,0.75330
ENSG00000007923,DNAJC11,0,-6.3355,18,-0.8871,31,-0.0505,36,0.22846,17,-0.8977,37,0.25176,49,0.69063,45,0.60726
ENSG00000171735,CAMTA1,150,-0.4100,81,-1.3376,182,-0.1218,223,0.23334,189,-0.0518,307,0.83045,91,-1.1597,203,0.07036
ENSG00000049245,VAMP3,101,1.52320,170,2.54814,21,-1.0879,24,-0.8323,43,0.10143,32,-0.3840,0,-8.6693,8,-2.3903
ENSG00000049246,PER3,28,-0.0219,36,0.34326,22,-0.4722,29,0.00603,61,1.23094,24,-0.3095,17,-0.8214,27,-0.0982
ENSG00000116288,PARK7,387,1.09239,227,0.21537,128,-0.7278,79,-1.4776,297,0.64999,223,0.20694,337,0.85981,135,-0.6449
ENSG00000116285,ERRFI1,0,-5.7733,13,-0.5577,12,-0.7262,22,0.20977,22,0.22659,25,0.42146,15,-0.4250,32,0.91350
ENSG00000162426,SLC45A1,1,-4.7955,0,-8.5138,19,-0.6454,33,0.29625,24,-0.2233,39,0.61397,16,-0.8390,56,1.30668
ENSG00000142599,RERE,61,-1.1362,79,-0.7461,110,-0.2681,94,-0.5259,97,-0.4320,184,0.64312,228,0.92400,152,0.28780
ENSG00000074800,ENO1,219,-1.1869,307,-0.6775,318,-0.6736,353,-0.5056,893,1.02588,396,-0.3129,992,1.20678,585,0.36317
ENSG00000171612,SLC25A33,0,-5.8766,15,-0.9505,27,-0.0219,6,-2.3607,86,1.92465,34,0.36984,39,0.54679,28,0.05777
ENSG00000188807,TMEM201,0,-5.4912,14,-0.1631,13,-0.3441,22,0.54466,19,0.24824,17,0.13520,0,-7.2395,27,0.97922
ENSG00000171608,PIK3CD,25,0.75449,5,-1.5583,17,0.14154,29,1.15373,2,-2.6955,18,0.31211,0,-7.2967,12,-0.3570
ENSG00000171603,CLSTN1,228,-1.3458,141,-2.0561,338,-0.8148,533,-0.0592,591,0.10668,585,0.10114,1033,1.02248,859,0.80742
ENSG00000178585,CTNNBIP1,33,0.02649,38,0.22659,39,0.30892,59,1.08628,18,-0.9318,32,-0.0085,2,-3.7863,20,-0.7758
ENSG00000162441,LZIC,0,-6.2898,73,1.61035,30,0.14331,10,-1.6485,32,0.23355,29,0.06066,27,-0.0239,32,0.22492
ENSG00000130939,UBE4B,61,0.39608,45,-0.0576,31,-0.7135,53,0.21715,21,-1.2169,54,0.22348,46,-0.0513,59,0.39194
ENSG00000054523,KIF1B,29,-3.4318,340,0.23491,272,-0.1257,319,0.14750,325,0.16366,300,0.04062,365,0.34796,338,0.24866
ENSG00000142657,PGD,41,-0.4691,41,-0.4946,37,-0.6963,57,0.02487,50,-0.1735,102,1.11486,5,-3.3629,72,0.43849
ENSG00000241563,CORT,0,-6.5590,10,-1.7364,26,-0.4129,11,-1.6975,40,0.27968,114,2.66685,6,-2.3853,22,-0.7267
ENSG00000160049,DFFA,35,0.32479,41,0.58203,28,-0.0370,19,-0.7091,33,0.21553,38,0.48214,22,-0.3702,22,-0.4681
ENSG00000142655,PEX14,0,-6.3331,0,-5.6036,27,-0.0867,30,0.10760,25,-0.1982,45,0.82707,12,-1.2381,50,1.02187
ENSG00000120948,TARDBP,17,-2.2179,95,0.40332,44,-0.8319,45,-0.8196,76,0.04531,81,0.16925,172,1.40364,92,0.38833
ENSG00000116649,SRM,35,-1.5940,62,-0.7646,81,-0.3936,92,-0.1700,98,-0.0554,142,0.59934,150,0.61672,123,0.33618
ENSG00000171824,EXOSC10,20,-0.4714,35,0.44680,20,-0.4549,18,-0.6705,35,0.43066,43,0.87799,23,-0.2150,22,-0.3126
ENSG00000198793,MTOR,0,-6.6032,15,-1.2577,31,-0.1781,29,-0.3142,41,0.27309,22,-0.7240,80,1.38360,57,0.92303
ENSG00000116661,FBXO2,45,-2.1479,133,-0.5283,205,0.15931,114,-0.8302,382,1.16686,181,-0.0642,321,0.86907,185,-0.0233
ENSG00000132879,FBXO44,0,-8.5863,52,-1.4739,104,-0.4895,211,0.75944,128,-0.1184,140,0.02074,145,0.07316,214,0.79196
ENSG00000116670,MAD2L2,9,-1.4934,34,0.48638,22,-0.2457,8,-1.6818,34,0.49622,29,0.23793,41,0.79943,32,0.42461
ENSG00000177000,MTHFR,41,1.01617,12,-0.9482,21,-0.0734,27,0.36973,1,-3.6079,29,0.50861,10,-1.1824,22,0.00554
ENSG00000011021,CLCN6,0,-7.8879,43,-1.0403,65,-0.4509,135,0.83707,74,-0.2086,111,0.47999,37,-1.2424,122,0.64607
ENSG00000116685,KIAA2013,39,0.13251,53,0.63459,28,-0.4124,43,0.30245,36,0.02598,30,-0.2962,12,-1.6329,44,0.35734
ENSG00000083444,PLOD1,113,2.76979,19,-0.3699,18,-0.4792,16,-0.6998,8,-1.6107,29,0.28191,0,-7.9467,13,-0.9882
ENSG00000116688,MFN2,37,-1.3363,84,-0.0869,82,-0.1343,103,0.26936,66,-0.4558,90,0.02276,96,0.12489,115,0.46912
ENSG00000116691,MIIP,0,-5.4248,9,-0.6974,12,-0.3709,13,-0.2270,14,-0.0704,34,1.58672,1,-3.7707,18,0.35191
ENSG00000048707,VPS13D,0,-6.6886,37,-0.1463,37,-0.1286,45,0.16831,44,0.11882,39,-0.0608,19,-1.1643,72,1.06742
ENSG00000162496,DHRS3,32,0.23776,26,-0.0773,39,0.64468,32,0.25140,46,0.85272,26,-0.0915,0,-8.1120,15,-0.9473
ENSG00000116731,PRDM2,35,-0.8737,47,-0.4111,44,-0.5703,89,0.67167,47,-0.4057,55,-0.1851,99,0.77264,66,0.13612
ENSG00000189337,KAZN,23,-0.9577,79,0.93767,37,-0.2910,55,0.40362,29,-0.6356,80,1.11057,13,-1.7926,19,-1.3063
ENSG00000142634,EFHD2,39,-1.3935,41,-1.3379,52,-1.0489,417,3.57633,17,-2.5640,26,-2.1181,1,-6.5005,46,-1.2237
ENSG00000116138,DNAJC16,0,-6.2780,33,0.30662,23,-0.2813,34,0.35202,25,-0.1202,27,-0.0186,6,-2.1748,48,1.03919
ENSG00000197312,DDI2,0,-4.6649,16,-0.4332,15,-0.5934,38,1.01064,16,-0.4582,19,-0.2326,25,0.22545,30,0.54175
ENSG00000116786,PLEKHM2,0,-7.5131,23,-1.5946,85,0.45499,93,0.62087,68,0.05518,85,0.46766,53,-0.3217,59,-0.1903
ENSG00000065526,SPEN,52,0.10973,58,0.30550,39,-0.3602,59,0.35700,55,0.21423,45,-0.1209,30,-0.6990,48,0.00521
ENSG00000116809,ZBTB17,0,-4.2829,25,0.65079,11,-0.6022,15,-0.1373,26,0.69056,21,0.40566,17,0.01431,18,0.12143
ENSG00000037637,FBXO42,50,0.96761,9,-1.6631,17,-0.7336,21,-0.4049,16,-0.7940,40,0.66105,16,-0.8156,40,0.68543
ENSG00000055070,SZRD1,125,2.18840,62,0.89200,25,-0.5994,19,-1.0062,32,-0.1641,39,0.15390,5,-2.6883,18,-1.1146
ENSG00000157191,NECAP2,87,2.63111,43,1.26162,8,-1.3211,13,-0.6877,31,0.71340,12,-0.8576,0,-7.6524,5,-2.0320
ENSG00000058453,CROCC,55,1.52114,14,-0.6647,14,-0.6645,34,0.82080,15,-0.5708,14,-0.6797,2,-3.2222,25,0.20576
ENSG00000159363,ATP13A2,23,-2.4697,45,-1.5186,101,-0.3071,134,0.16656,114,-0.0962,161,0.50428,159,0.42950,162,0.51413
ENSG00000117118,SDHB,14,-2.4147,56,-0.3526,53,-0.4799,74,0.08430,74,0.08388,84,0.32563,54,-0.3898,111,0.83712
ENSG00000117115,PADI2,0,-7.0825,332,3.84224,30,-0.7611,12,-2.1450,67,0.51729,27,-0.9652,27,-0.8750,8,-2.7287
ENSG00000179051,RCC2,37,0.52446,28,0.08346,19,-0.5093,27,0.07369,36,0.50637,28,0.08248,11,-1.2742,27,0.07555
ENSG00000074964,ARHGEF10L,64,2.12416,6,-1.6748,22,0.30567,22,0.29786,14,-0.4074,10,-0.9683,0,-5.2608,15,-0.3740
ENSG00000117154,IGSF21,0,-7.7969,55,-0.5748,61,-0.4629,247,2.39761,37,-1.1632,64,-0.3728,13,-2.7124,55,-0.6112
ENSG00000159423,ALDH4A1,1,-4.0245,11,-0.6966,25,0.60169,13,-0.4632,57,2.00333,23,0.48639,0,-4.7378,9,-0.9736
ENSG00000169991,IFFO2,0,-4.3514,10,-0.6081,11,-0.4258,21,0.69032,15,0.06242,20,0.58981,1,-3.3275,21,0.64841
ENSG00000127463,EMC1,0,-6.6235,19,-0.9622,24,-0.6149,37,0.09583,36,0.05758,60,0.99144,28,-0.3726,48,0.54880
ENSG00000053372,MRTO4,0,-6.5779,23,-0.6213,34,0.02389,39,0.25692,31,-0.1491,36,0.08860,37,0.13412,49,0.65519
ENSG00000053371,AKR7A2,69,0.95679,44,0.22275,27,-0.5481,17,-1.2716,52,0.49639,36,-0.1132,92,1.44732,20,-1.0352
ENSG00000077549,CAPZB,399,0.82394,137,-0.8540,177,-0.5100,245,0.04264,205,-0.2431,256,0.11548,233,-0.0414,272,0.22022
ENSG00000173436,MICOS10,277,0.29461,263,0.21051,232,0.00857,176,-0.4586,240,0.06212,273,0.29826,268,0.23694,178,-0.4317
ENSG00000158747,NBL1,386,1.01145,42,-2.3903,138,-0.6837,343,0.92581,129,-0.7267,269,0.46531,45,-2.2988,193,-0.1200
ENSG00000169914,OTUD3,0,-5.6020,10,-0.8294,16,-0.0971,24,0.61505,6,-1.5892,31,1.06039,2,-3.2445,23,0.53176
ENSG00000162545,CAMK2N1,56,-3.9874,478,-0.8427,786,-0.0846,269,-1.7992,1109,0.47105,808,-0.0363,2559,1.93689,989,0.31945
ENSG00000090432,MUL1,0,-6.1205,20,-0.3547,18,-0.5553,23,-0.1069,40,0.77852,27,0.18210,27,0.16093,36,0.68878
ENSG00000183114,FAM43B,0,-5.9612,5,-2.2026,9,-1.4687,76,2.71265,9,-1.3247,22,0.03186,0,-7.8106,18,-0.3053
ENSG00000158828,PINK1,128,-1.1037,206,-0.3795,224,-0.2719,271,0.04997,371,0.54928,233,-0.2045,225,-0.2467,386,0.69038
ENSG00000244038,DDOST,107,2.21758,23,-0.3505,13,-1.2888,28,-0.1203,19,-0.6705,19,-0.7222,31,0.07358,28,-0.1166
ENSG00000117245,KIF17,0,-5.3948,2,-2.6728,15,-0.0193,23,0.80852,4,-1.9408,6,-1.3710,0,-6.5702,42,2.11209
ENSG00000189410,SH2D5,35,0.18673,2,-3.5849,22,-0.5803,26,-0.3015,28,-0.1671,16,-1.1153,97,1.91812,42,0.54576
ENSG00000127483,HP1BP3,200,0.46666,119,-0.3504,111,-0.4968,142,-0.0799,124,-0.2924,185,0.37837,160,0.10742,156,0.07439
ENSG00000075151,EIF4G3,40,-1.4802,72,-0.5964,104,-0.0360,143,0.52421,59,-0.9110,143,0.52769,82,-0.4098,122,0.24083
ENSG00000117298,ECE1,201,3.85411,28,-0.0692,14,-1.2012,10,-1.7035,31,0.07813,8,-1.9725,0,-8.2010,13,-1.2401
ENSG00000076864,RAP1GAP,11,-4.1303,71,-1.3978,111,-0.7831,382,1.47245,130,-0.4872,148,-0.3157,80,-1.2202,282,0.83954
ENSG00000090686,USP48,69,1.24678,36,0.20012,20,-0.7556,23,-0.5221,28,-0.1924,40,0.40002,27,-0.2433,28,-0.2261
ENSG00000070831,CDC42,200,-0.1953,228,0.00632,158,-0.6002,240,0.10116,202,-0.1800,257,0.21717,121,-0.9653,330,0.67616
ENSG00000173372,C1QA,415,4.94404,21,-1.1654,12,-2.1400,13,-2.0392,22,-1.0999,22,-1.1715,0,-8.8725,3,-4.0317
ENSG00000173369,C1QB,422,4.55636,35,-0.5708,25,-1.1499,11,-2.3160,13,-2.0108,34,-0.6873,0,-9.0107,2,-4.8480
ENSG00000004487,KDM1A,43,-0.1380,18,-1.4516,32,-0.6474,49,0.06063,36,-0.4113,73,0.80185,42,-0.1789,59,0.40057
ENSG00000169641,LUZP1,95,1.10375,0,-7.2970,44,-0.1801,71,0.69797,48,-0.0013,32,-0.6941,31,-0.6917,57,0.27105
ENSG00000125944,HNRNPR,96,-0.2753,139,0.29954,64,-0.9568,94,-0.3382,92,-0.3542,147,0.43392,184,0.75328,130,0.20671
ENSG00000125945,ZNF436,0,-5.8705,8,-1.3453,8,-1.5125,34,0.89339,17,-0.2601,14,-0.6317,54,1.58347,28,0.56671
ENSG00000117318,ID3,1134,6.17414,46,-1.2981,31,-1.9942,19,-2.7301,9,-3.5954,2,-5.5477,0,-10.085,5,-4.6917
ENSG00000142676,RPL11,2109,2.57515,1246,1.52715,327,-0.7067,196,-1.5133,331,-0.6359,323,-0.7278,238,-1.1368,190,-1.5571
ENSG00000011007,ELOA,5,-1.9073,20,0.18547,17,-0.0050,18,0.08822,18,0.08150,24,0.57391,0,-4.5936,23,0.49772
ENSG00000057757,PITHD1,1,-6.2885,119,-0.2425,107,-0.4377,144,0.06145,97,-0.5499,169,0.35135,239,0.88252,184,0.50320
ENSG00000011009,LYPLA2,0,-7.0190,17,-1.5028,29,-0.7808,57,0.35622,45,-0.0482,64,0.56230,52,0.16703,72,0.80313
ENSG00000117308,GALE,0,-5.4103,4,-1.7860,14,-0.0841,17,0.24906,22,0.62166,11,-0.5120,12,-0.3653,28,1.16619
ENSG00000117305,HMGCL,43,1.58330,18,0.13533,15,-0.1649,15,-0.0964,25,0.65921,10,-0.8368,0,-7.3962,16,-0.0771
ENSG00000189266,PNRC2,100,0.81988,47,-0.3885,54,-0.1865,50,-0.2897,59,-0.0237,74,0.36301,40,-0.6077,59,-0.0307
ENSG00000188529,SRSF10,78,0.59832,62,0.21606,34,-0.7419,50,-0.1257,56,0.05817,43,-0.3657,80,0.62897,57,0.11173
ENSG00000001461,NIPAL3,1,-5.2297,155,1.82873,39,-0.5123,54,0.02626,30,-0.8402,51,-0.0420,38,-0.5039,60,0.23062
ENSG00000133226,SRRM1,109,1.30871,93,1.02643,41,-0.2881,31,-0.7494,44,-0.1729,36,-0.5261,31,-0.7049,48,-0.0331
ENSG00000169504,CLIC4,427,3.15848,317,2.45213,21,-2.0736,25,-1.8133,41,-1.0056,27,-1.7078,0,-9.6317,9,-3.3350
ENSG00000117614,SYF2,164,1.72705,72,0.31990,48,-0.3343,37,-0.7817,48,-0.3120,40,-0.6518,48,-0.3183,62,0.10013
ENSG00000117616,RSRP1,162,1.15656,115,0.58366,42,-1.0399,60,-0.4692,69,-0.2296,62,-0.4123,75,-0.0869,103,0.45583
ENSG00000183726,TMEM50A,282,1.50200,146,0.38985,53,-1.2358,62,-1.0006,106,-0.1191,97,-0.2863,181,0.73253,117,0.03736
ENSG00000204178,MACO1,45,1.07024,8,-1.4906,20,-0.2609,28,0.29183,15,-0.6698,19,-0.3659,30,0.40436,24,0.06345
ENSG00000117643,MAN1C1,47,-0.0149,22,-1.1399,33,-0.6036,27,-0.9266,42,-0.1767,67,0.61761,76,0.77098,63,0.51920
ENSG00000162430,SELENON,60,0.45722,57,0.36700,48,0.08240,46,0.03727,37,-0.3165,26,-0.8870,27,-0.7673,61,0.51890
ENSG00000117640,MTFR1L,15,-2.0163,39,-0.5913,61,0.11249,56,-0.0501,53,-0.1229,58,0.01406,66,0.20599,84,0.67047
ENSG00000117632,STMN1,119,-2.8976,1003,0.31411,493,-0.8485,899,0.15509,628,-0.4211,804,-0.0402,1126,0.50177,1303,0.84168
ENSG00000158008,EXTL1,37,-0.5638,2,-4.5212,36,-0.6488,83,0.80958,26,-1.0808,49,-0.1188,78,0.60395,79,0.71605
ENSG00000175087,PDIK1L,0,-5.6810,15,-0.3178,10,-0.9978,22,0.32510,8,-1.1714,51,2.13264,0,-7.5307,14,-0.3910
ENSG00000142684,ZNF593,36,0.67972,23,-0.0191,14,-0.7602,21,-0.1823,29,0.34691,33,0.61732,1,-3.7325,26,0.22917
ENSG00000142669,SH3BGRL3,404,1.29750,201,0.13612,126,-0.6336,238,0.45483,176,-0.0713,114,-0.7896,45,-2.1272,214,0.26237
ENSG00000158062,UBXN11,0,-5.5993,7,-1.2574,15,-0.2117,23,0.51353,21,0.31869,25,0.65538,16,-0.1324,18,0.07654
ENSG00000117682,DHDDS,0,-5.6635,8,-1.2475,18,0.00174,25,0.60872,13,-0.4268,8,-1.2009,17,-0.0861,37,1.35555
ENSG00000198830,HMGN2,325,1.96584,204,1.12211,60,-0.8762,51,-1.1524,112,0.13107,115,0.19094,62,-0.7777,40,-1.5200
ENSG00000117713,ARID1A,0,-7.3532,61,0.07007,54,-0.1366,53,-0.1649,51,-0.2270,78,0.50488,55,-0.1038,83,0.62616
ENSG00000204160,ZDHHC18,42,0.13628,11,-1.8264,25,-0.6842,61,0.85698,36,-0.0726,40,0.08509,22,-0.8689,47,0.37155
ENSG00000142751,GPN2,7,-1.1904,14,-0.2405,11,-0.6251,17,-0.0152,38,1.31823,9,-0.9648,7,-1.3333,31,1.08365
ENSG00000090273,NUDC,47,-1.4622,156,0.36481,108,-0.2311,95,-0.4473,154,0.35137,127,0.04041,246,1.12431,111,-0.1823
ENSG00000253368,TRNP1,21,-1.0537,4,-3.5050,37,-0.2014,32,-0.4389,43,0.06358,64,0.78088,47,0.18432,60,0.63692
ENSG00000090020,SLC9A1,61,0.98724,5,-2.6350,25,-0.4266,49,0.72748,8,-2.1512,22,-0.6916,16,-1.0826,56,0.98203
ENSG00000142784,WDTC1,37,0.00135,42,0.20882,38,0.06901,45,0.33725,33,-0.1548,32,-0.2500,42,0.22365,29,-0.4081
ENSG00000186501,TMEM222,10,-3.1058,64,-0.3976,68,-0.3334,104,0.41196,62,-0.4571,128,0.78710,60,-0.4842,98,0.30507
ENSG00000158195,WASF2,136,2.46279,113,2.07668,24,-0.5489,18,-1.0113,42,0.34958,6,-2.5761,1,-4.4653,7,-2.3370
ENSG00000126705,AHDC1,0,-7.2132,11,-2.3455,36,-0.6296,86,0.87851,25,-1.1521,69,0.46478,28,-0.9671,95,1.08892
ENSG00000126709,IFI6,603,2.29066,110,-0.6013,121,-0.5058,191,0.27816,60,-1.5220,161,-0.0202,18,-3.2417,109,-0.6647
ENSG00000009780,FAM76A,0,-5.4876,15,-0.1175,14,-0.1429,23,0.70229,23,0.57876,19,0.33955,1,-3.6084,18,0.25680
ENSG00000117758,STX12,0,-7.5645,75,0.13553,55,-0.3948,93,0.53369,74,0.10267,70,0.01916,69,-0.0068,88,0.42562
ENSG00000117751,PPP1R8,4,-3.0568,38,0.23388,27,-0.3266,37,0.20006,26,-0.3396,46,0.59222,15,-1.1453,45,0.57934
