"ensembl","fdr","top","logFC","cell_type_anno"
"ENSG00000287154",2.73758973179578e-77,4,3.89849908348105,"Excit.L2"
"DKK4",1.09369070453303e-76,5,2.10294049760233,"Excit.L2"
"PTPRD-DT",9.18852391029914e-61,1,5.06686527367217,"Excit.L2_5.1"
"RNF13",9.97812886701301e-57,2,3.51714264705753,"Excit.L2_5.1"
"ENSG00000288829",2.17311850081145e-54,3,2.73468053181594,"Excit.L2_5.1"
"FMO1",4.81423520856477e-54,4,3.59527468790367,"Excit.L2_5.1"
"BMT2",1.02435825112481e-48,5,3.07139165353224,"Excit.L2_5.1"
"SRP9",3.52381402423548e-75,1,4.38078464726169,"Excit.L2_5.2"
"GSK3B-DT",9.85399295404742e-54,2,3.68625849013516,"Excit.L2_5.2"
"FRG1",1.03725336597265e-51,3,3.42590935033441,"Excit.L2_5.2"
"ENSG00000291136",6.31069072030779e-47,4,3.37524001874733,"Excit.L2_5.2"
"PLK4",5.05905211923413e-46,5,6.12306700734854,"Excit.L2_5.2"
"LZTS1-AS1",1.0434118408409e-123,1,4.48457467601542,"Excit.L5.1"
"LINC01145",2.7207663267814e-106,2,3.85297481337528,"Excit.L5.1"
"ENSG00000273261",4.67603563462251e-92,3,3.69463561762189,"Excit.L5.1"
"LINC02802",3.66852751101091e-91,4,4.33275352433058,"Excit.L5.1"
"LINC01857",1.46223494252726e-87,5,4.75749987632976,"Excit.L5.1"
"SHPRH",1.54292197003477e-59,1,8.60353935652897,"Excit.L5.2"
"ENSG00000228613",1.84534493323882e-54,2,4.04654029075466,"Excit.L5.2"
"CRY2",5.18089042130102e-49,3,4.69377652313351,"Excit.L5.2"
"PCDHA10",5.18089042130102e-49,4,3.21114350364641,"Excit.L5.2"
"ETFRF1",1.43569898384992e-47,5,3.56918135855275,"Excit.L5.2"
"ENSG00000236109",1.4087359165167e-191,1,5.15235211895769,"Excit.L5_6_NP"
"ENSG00000231626",2.08422432075601e-157,2,4.71651517251864,"Excit.L5_6_NP"
"CCDC190",4.69418293329088e-51,3,4.18467806238396,"Excit.L5_6_NP"
"GLYATL2",5.35356876194688e-45,4,4.5203497138726,"Excit.L5_6_NP"
"ENSG00000287472",6.23356785232869e-43,5,5.82035049818803,"Excit.L5_6_NP"
"ENSG00000233029",1.0456069708593e-70,1,3.50014073947228,"Excit.L6_CT"
"ATP6V1B2",7.74739581605341e-69,2,3.25940509798914,"Excit.L6_CT"
"MUC2",2.95254123103544e-68,3,4.05594377392046,"Excit.L6_CT"
"SCAT2",2.01450984921152e-65,4,2.11948835366895,"Excit.L6_CT"
"TRBV15",7.19894699771358e-61,5,3.8731214982405,"Excit.L6_CT"
"ENSG00000227193",3.66260992603864e-142,1,3.78117828428076,"Excit.L6b"
"CYTOR",1.21352936955815e-121,2,4.5095671490974,"Excit.L6b"
"H4C6",2.41745082909351e-90,3,3.75728397761426,"Excit.L6b"
"OPRK1",9.51841530029664e-88,4,3.01612997662921,"Excit.L6b"
"LYPLA2",2.98507965638846e-84,5,3.43374490262965,"Excit.L6b"
"PRSS56",3.25247133917022e-172,1,4.09294466228788,"Inhib.Chandelier"
"ENSG00000229131",3.82238242661014e-169,2,3.293833525637,"Inhib.Chandelier"
"TOLLIP",3.2070480511925e-81,3,5.09865487477514,"Inhib.Chandelier"
"ENSG00000226939",1.51758407127851e-73,4,6.74259406697281,"Inhib.Chandelier"
"UGP2",1.56292817294155e-70,5,6.15339621311447,"Inhib.Chandelier"
"MIR378D2HG",1.65765752912828e-203,1,4.00521734993986,"Inhib.Lamp5_Lhx6"
"ENSG00000286154",1.75951435614012e-139,2,3.08303115981049,"Inhib.Lamp5_Lhx6"
"ARHGAP30",2.56698667421092e-107,3,3.31947720650304,"Inhib.Lamp5_Lhx6"
"PDP1",2.56698667421092e-107,4,4.69471149265365,"Inhib.Lamp5_Lhx6"
"RFLNA",1.04587544376709e-96,5,5.56264606211556,"Inhib.Lamp5_Lhx6"
"TMEM126B",1.5746418001062e-34,1,5.06176741568632,"Inhib.Pax6"
"ENSG00000287290",1.89806852042576e-22,2,7.11596164788124,"Inhib.Pax6"
"ENSG00000290114",3.48126119681028e-20,3,5.45880643429442,"Inhib.Pax6"
"PGM2",7.34557980670062e-19,4,4.62819401939629,"Inhib.Pax6"
"ENSG00000287520",2.20169947496536e-13,5,6.1022256817547,"Inhib.Pax6"
"ENSG00000250761",1.32991754264386e-131,1,3.7980870558615,"Inhib.Pvalb"
"CHRND",4.0989072734465e-129,2,5.46832818072838,"Inhib.Pvalb"
"CFAP90",4.3101450689108e-105,3,5.6434494279809,"Inhib.Pvalb"
"CFI",1.36422989783752e-82,4,2.42585599547541,"Inhib.Pvalb"
"MPPED2-AS1",7.7121970279026e-75,5,4.1893098867452,"Inhib.Pvalb"
"CCR5",5.65980046426679e-141,1,4.01649752657929,"Inhib.Sst"
"CYP27A1",8.052861444436e-104,2,5.10824137448394,"Inhib.Sst"
"TTLL4",1.1306666718375e-83,3,2.96882271890414,"Inhib.Sst"
"ENSG00000289296",2.62516757242835e-75,4,7.15857084673387,"Inhib.Sst"
"LINC00708",4.51179106942649e-74,5,5.4496991248854,"Inhib.Sst"
"FOXD1-AS1",1.11539721237488e-296,1,4.79497197028186,"Inhib.Vip"
"PGM2",5.3831672413207e-163,2,2.81695370381524,"Inhib.Vip"
"ENSG00000287520",1.17530230048434e-152,3,4.20969198851153,"Inhib.Vip"
"TRIM26",1.02494283630688e-145,4,5.90002559073301,"Inhib.Vip"
"ABCC5-AS1",1.63265139830783e-145,5,3.76526544346495,"Inhib.Vip"
"CLCC1",1.13772539496065e-107,1,5.1254666850332,"Macro"
"ENSG00000269968",1.13463904621976e-102,2,5.23893822879366,"Macro"
"H4C16",1.02484608758416e-101,3,6.45848160295329,"Macro"
"LINC01682",1.62911660035028e-100,4,6.78585370420023,"Macro"
"PPP1R9A",9.98058926684865e-93,5,4.16994605861056,"Macro"
"PODXL",1.22929463412366e-49,1,2.4528433405964,"Micro.1"
"ATXN7L1",2.09396143201051e-49,2,3.35903493521854,"Micro.1"
"RNF7",4.62650064138676e-45,3,3.06617438986174,"Micro.1"
"ENSG00000285963",2.51035988089646e-44,4,3.06020970613718,"Micro.1"
"SPDYE17",4.01479120537658e-44,5,3.05174486166682,"Micro.1"
"CKS1B",4.18952611388278e-39,1,4.64493407691502,"Micro.2"
"ENSG00000254649",5.58961937804195e-39,2,3.10704282803711,"Micro.2"
"PARP14",1.10174542735099e-38,3,5.24256674511712,"Micro.2"
"ACADM",1.98141707013689e-38,4,4.33895011409464,"Micro.2"
"ENSG00000255440",2.30053731499445e-38,5,5.06567414197419,"Micro.2"
"ZNF362",4.67467515033276e-37,1,2.49216272157518,"Micro.3"
"ANKRD28",1.77563426795681e-36,2,4.17218478431508,"Micro.3"
"HLA-V",6.31829065907505e-36,3,4.18487260201273,"Micro.3"
"HOXA4",1.93352896102126e-34,4,4.22627842858611,"Micro.3"
"ADRA2C",4.20507919820559e-34,5,4.64565354462472,"Micro.3"
"DARS1-AS1",1.88099169245814e-35,1,3.97227362893797,"Micro.4"
"LSP1",3.49296766101608e-35,2,3.78704317884148,"Micro.4"
"TIA1",2.21269925285934e-34,3,4.57680792987478,"Micro.4"
"SPATA42",2.67904400320296e-34,4,4.94416813023326,"Micro.4"
"ADRA2C",3.75650985440829e-34,5,4.56551816012178,"Micro.4"
"OR2Y1",2.18887323426868e-28,1,5.27774923557213,"Micro.5"
"ENSG00000248533",3.26556495198887e-26,2,5.4208696304875,"Micro.5"
"BCL7B",4.82394943380765e-26,3,6.89705358530802,"Micro.5"
"SNHG4",2.64031856006665e-25,4,3.58507263436727,"Micro.5"
"PCYOX1",3.05671861928633e-25,5,6.59077988689025,"Micro.5"
"ATP6V0D2",6.98916880843941e-44,1,3.57069796568643,"OPC.1"
"ENSG00000270504",2.07249067910734e-41,2,6.06905061635588,"OPC.1"
"ENSG00000274695",5.58248578425535e-41,3,3.55035204772191,"OPC.1"
"PRRC1",1.20295980836573e-40,4,3.57959827394585,"OPC.1"
"ENSG00000256389",7.19815361565055e-40,5,3.69644404757532,"OPC.1"
"ENSG00000274695",7.82722998244219e-39,1,3.48794159773163,"OPC.2"
"ENSG00000256389",4.02060686964429e-38,2,3.64521555417591,"OPC.2"
"PRRC1",7.15088028671648e-38,3,3.47777206203028,"OPC.2"
"ENSG00000270504",9.18169422438503e-38,4,5.8162244805484,"OPC.2"
"PCBP2-OT1",1.66322332653505e-36,5,5.64847283139439,"OPC.2"
"LINC02377",5.26150779453366e-55,1,2.61727377732422,"OPC.3"
"ATP6V0D2",5.95783522363055e-45,2,3.59677828127809,"OPC.3"
"ENSG00000270504",6.0069802548721e-42,3,6.09146272513384,"OPC.3"
"ENSG00000256389",4.39889370252181e-40,4,3.71183570887337,"OPC.3"
"GTF2IRD2B",2.53292429197448e-39,5,2.90998660354035,"OPC.3"
"PRRC1",2.60427834369465e-39,1,3.55183389130441,"OPC.4"
"ENSG00000270504",2.72130732771654e-39,2,5.93531958435053,"OPC.4"
"RASGRP3",1.33158311113661e-37,3,4.62806213813751,"OPC.4"
"ENSG00000274695",5.89759016305281e-37,4,3.39118366822146,"OPC.4"
"ENSG00000253154",5.89759016305281e-37,5,4.06030379553465,"OPC.4"
"ENSG00000255252",1.3151071042028e-15,1,0.580372737391549,"OPC.5"
"PCBP2-OT1",1.62355119484903e-11,2,4.67667704983565,"OPC.5"
"ZNF512",5.37416775674348e-11,3,4.44351404204618,"OPC.5"
"ENSG00000273447",5.9670885137849e-11,4,6.61382980371188,"OPC.5"
"NXNL2",8.26416182999808e-11,5,4.67987915373924,"OPC.5"
"LINC01498",1.90651582579208e-41,1,2.25136537930474,"Oligo.01"
"ABCB6",1.90651582579208e-41,2,2.35257537751411,"Oligo.01"
"CASP4LP",9.73510807066948e-40,3,2.96833115111837,"Oligo.01"
"PSORS1C2",1.4095461184868e-38,4,3.7479577682452,"Oligo.01"
"ENSG00000287630",2.38609722229325e-38,5,3.36620254626905,"Oligo.01"
"ENSG00000289941",1.38289490875838e-62,1,3.44146833850857,"Oligo.02"
"DHTKD1",1.12309789128797e-59,2,4.35992407423918,"Oligo.02"
"LINC02161",3.08519774820655e-52,3,2.90598577101871,"Oligo.02"
"ENSG00000286741",7.84673934341198e-52,4,3.92134634386175,"Oligo.02"
"MYT1L-AS1",7.67557012924385e-49,5,4.46529012875679,"Oligo.02"
"ATOH8",2.06158465114401e-26,1,2.95429781464199,"Oligo.03"
"SPACA9",7.99395501493392e-26,2,1.96254137678696,"Oligo.03"
"PCP4L1",7.99395501493392e-26,3,4.15643939818581,"Oligo.03"
"LRATD1",1.81643552613053e-25,4,5.10183593812099,"Oligo.03"
"LINC02547",2.82303937128918e-25,5,5.15960967472004,"Oligo.03"
"PTH",1.16110177086573e-34,1,3.41423750478592,"Oligo.04"
"ENSG00000225610",7.760858917551e-34,2,4.29530295707616,"Oligo.04"
"SEC13",7.760858917551e-34,3,4.1410985318817,"Oligo.04"
"ABCB6",2.25249796183176e-33,4,2.13448042152276,"Oligo.04"
"ENSG00000288760",5.80240881277829e-33,5,4.09857547981385,"Oligo.04"
"ENSG00000257962",8.84245251260082e-33,1,1.00013605382197,"Oligo.05"
"SEMA5A-AS1",4.62380489103956e-29,2,5.23375282538181,"Oligo.05"
"CD63-AS1",7.70198106454698e-29,3,4.24253601830772,"Oligo.05"
"ADD2",2.50901314059191e-28,4,5.06231089658677,"Oligo.05"
"B3GLCT",2.50901314059191e-28,5,1.83969699206689,"Oligo.05"
"ENSG00000225303",8.07474641140092e-274,1,5.51933490240055,"Vasc.Endo"
"SLC16A7",5.28892580546152e-247,2,5.20225143595345,"Vasc.Endo"
"INMT",4.06497576682777e-242,3,6.26565650922979,"Vasc.Endo"
"ENSG00000286401",5.89521810995053e-239,4,6.24928211125371,"Vasc.Endo"
"CNOT6L",6.97808120889065e-239,5,6.5754655492903,"Vasc.Endo"
"DMXL1-DT",2.83669348665992e-40,1,4.21676139111361,"Vasc.PC"
"PTHLH",4.98301577666274e-39,2,5.59442480058504,"Vasc.PC"
"ENSG00000275278",5.17598758508598e-36,3,5.19385765957399,"Vasc.PC"
"MRGPRG-AS1",7.47310671361756e-29,4,5.10916146629028,"Vasc.PC"
"TBP",1.47074851107996e-23,5,6.3999010575505,"Vasc.PC"
"LINC01138",0,1,5.7859893126964,"Vasc.VLMC"
"MZT2A",3.85434987683943e-224,2,4.68572950181578,"Vasc.VLMC"
"PIK3CD-AS1",5.10592065738289e-217,3,3.62922740333346,"Vasc.VLMC"
"CYP2C9",2.11133999029747e-212,4,5.42412948021278,"Vasc.VLMC"
"ARL9",2.07541710566709e-208,5,5.62179070372435,"Vasc.VLMC"
