Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000235098,ANKRD65,10,-0.1763,7,-0.7795,9,-0.3466,26,1.39875,12,0.09844,17,0.64780,14,0.32752,6,-0.9497
ENSG00000179403,VWA1,53,1.10010,9,-1.6171,11,-1.4307,121,2.75346,13,-1.0757,15,-0.8634,18,-0.6165,15,-1.0385
ENSG00000197785,ATAD3A,31,0.91739,8,-1.2119,26,0.77114,16,-0.1031,13,-0.4015,20,0.20453,9,-1.0042,14,-0.4242
ENSG00000205090,TMEM240,24,-0.7322,60,0.68932,53,0.56231,26,-0.6166,44,0.19212,52,0.44071,28,-0.5448,30,-0.4974
ENSG00000160075,SSU72,134,-0.0398,116,-0.2693,184,0.53512,102,-0.4579,135,-0.0258,145,0.08659,117,-0.2465,131,-0.0930
ENSG00000228594,FNDC10,24,-0.3140,53,0.97905,28,-0.1069,19,-0.6643,27,-0.1105,21,-0.4780,44,0.65289,26,-0.2254
ENSG00000272106,AL691432.2,31,0.81069,7,-1.4165,20,0.07386,16,-0.2505,16,-0.2519,24,0.40869,13,-0.5882,20,0.12702
ENSG00000197530,MIB2,46,0.29035,17,-1.2541,43,0.21791,42,0.14548,23,-0.7795,53,0.51585,31,-0.3169,41,0.13285
ENSG00000189339,SLC35E2B,19,0.06797,24,0.45261,12,-0.6491,12,-0.5800,30,0.82381,24,0.50592,10,-0.7946,17,-0.0295
ENSG00000215790,SLC35E2A,20,-0.3989,25,-0.0314,25,-0.0632,19,-0.4807,46,0.92749,36,0.51468,19,-0.4747,23,-0.1993
ENSG00000008130,NADK,30,0.20546,34,0.41395,22,-0.3196,18,-0.6055,26,-0.0278,26,-0.0262,26,0.02263,28,0.16001
ENSG00000078369,GNB1,432,0.07338,305,-0.4711,464,0.20898,283,-0.5883,496,0.29517,421,0.02935,421,0.03096,418,0.02505
ENSG00000187730,GABRD,113,-0.0061,155,0.49889,128,0.22026,29,-2.0463,137,0.29746,149,0.43220,69,-0.7768,114,0.00101
ENSG00000067606,PRKCZ,245,0.29430,167,-0.3107,234,0.24297,137,-0.6182,173,-0.2622,264,0.41570,176,-0.2347,205,0.00770
ENSG00000162585,FAAP20,35,-0.7099,65,0.25063,57,0.04678,93,0.85669,67,0.29846,19,-1.5963,72,0.42391,48,-0.2778
ENSG00000157933,SKI,15,-0.6936,15,-0.6799,17,-0.5471,22,-0.0501,23,-0.0189,57,1.51222,17,-0.4625,24,0.07745
ENSG00000157916,RER1,63,-0.0675,53,-0.3326,98,0.72972,53,-0.3539,79,0.28531,57,-0.2432,62,-0.0933,55,-0.3672
ENSG00000157911,PEX10,29,-0.2187,45,0.49605,30,-0.1383,42,0.40190,33,0.00190,13,-1.3580,24,-0.4927,38,0.31199
ENSG00000149527,PLCH2,6,-1.7160,46,1.35651,29,0.68514,16,-0.3478,15,-0.4708,24,0.24295,23,0.21913,11,-1.0524
ENSG00000197921,HES5,8,-0.7071,5,-1.3235,5,-1.4012,19,0.53005,11,-0.2457,18,0.41564,11,-0.2953,21,1.00408
ENSG00000157870,PRXL2B,68,0.49238,49,-0.0311,53,0.11980,32,-0.6883,34,-0.6132,65,0.41252,20,-1.3756,58,0.31871
ENSG00000177133,PRDM16-DT,9,-0.5758,2,-2.5017,7,-0.9717,13,-0.0526,8,-0.7714,5,-1.4945,17,0.39709,26,1.55415
ENSG00000158109,TPRG1L,178,0.34877,120,-0.2728,179,0.41072,92,-0.6804,177,0.34638,199,0.53198,124,-0.2157,107,-0.5366
ENSG00000116213,WRAP73,22,0.85465,18,0.48771,21,0.84172,8,-0.7313,13,0.05000,13,-0.0470,9,-0.5075,6,-1.2713
ENSG00000130764,LRRC47,90,0.44668,61,-0.1793,82,0.33713,46,-0.5914,63,-0.1113,87,0.38504,39,-0.8667,66,-0.0547
ENSG00000116198,CEP104,16,0.61373,1,-2.8696,12,0.16119,17,0.75572,12,0.19000,10,-0.0440,12,0.22514,8,-0.4547
ENSG00000196581,AJAP1,38,0.34374,27,-0.1782,39,0.44937,10,-1.6336,69,1.36834,39,0.41226,11,-1.5439,20,-0.7111
ENSG00000069424,KCNAB2,163,-0.0934,107,-0.7425,203,0.29395,92,-0.9736,209,0.30753,209,0.30436,195,0.19469,173,-0.0009
ENSG00000116254,CHD5,143,0.46467,133,0.34805,92,-0.2691,53,-1.0866,108,0.01780,170,0.75633,75,-0.5427,104,-0.0605
ENSG00000116251,RPL22,439,-0.0941,437,-0.1014,325,-0.6142,881,1.05120,388,-0.2874,383,-0.3079,433,-0.1151,506,0.16273
ENSG00000116237,ICMT,14,-1.3858,17,-1.0768,58,0.98937,30,-0.2265,59,0.86681,22,-0.6535,30,-0.2138,30,-0.2508
ENSG00000097021,ACOT7,263,-0.1244,366,0.40745,442,0.82635,125,-1.2649,281,-0.0168,228,-0.3460,188,-0.6450,264,-0.1448
ENSG00000215788,TNFRSF25,14,0.33708,13,0.24252,10,-0.1843,15,0.44935,10,-0.0844,15,0.43675,17,0.67801,6,-1.0315
ENSG00000171680,PLEKHG5,31,0.45006,16,-0.5589,25,0.11273,5,-2.3451,44,1.06284,35,0.66442,15,-0.6578,20,-0.2958
ENSG00000162408,NOL9,31,0.62244,25,0.32224,17,-0.3579,16,-0.3873,17,-0.3074,19,-0.1383,24,0.20245,21,0.01955
ENSG00000162413,KLHL21,30,0.84287,12,-0.6302,21,0.32351,27,0.64288,24,0.45973,14,-0.3569,17,-0.0646,10,-1.0427
ENSG00000116273,PHF13,11,-0.2915,9,-0.5656,19,0.62370,16,0.24895,18,0.46676,8,-0.8032,8,-0.7780,13,-0.0259
ENSG00000041988,THAP3,15,-0.3221,3,-2.5773,27,0.72794,17,-0.1260,30,0.84414,6,-1.5457,14,-0.3319,20,0.17588
ENSG00000007923,DNAJC11,21,-0.3966,8,-1.8461,25,-0.1560,29,0.10139,41,0.65408,28,0.04925,20,-0.4706,34,0.47181
ENSG00000171735,CAMTA1,113,-0.3678,212,0.63257,157,0.16258,145,0.02383,120,-0.2798,185,0.41263,111,-0.3921,125,-0.2637
ENSG00000049245,VAMP3,34,0.88417,11,-0.8300,7,-1.5572,83,2.58850,12,-0.7467,5,-2.0489,9,-1.1896,16,-0.3832
ENSG00000049246,PER3,10,-0.6435,11,-0.4823,15,0.02989,16,0.18102,11,-0.3956,16,0.14180,11,-0.4514,19,0.51012
ENSG00000116288,PARK7,390,0.13560,382,0.10531,385,0.13228,427,0.28325,227,-0.7082,357,-0.0032,246,-0.5862,379,0.11413
ENSG00000116285,ERRFI1,23,0.51047,15,-0.1543,19,0.25742,14,-0.2275,22,0.42996,17,0.06581,15,-0.1636,13,-0.5063
ENSG00000162426,SLC45A1,37,-0.0894,67,0.85475,66,0.94549,20,-1.0734,23,-0.8268,51,0.39877,33,-0.2770,25,-0.8747
ENSG00000142599,RERE,63,-0.0031,43,-0.5809,93,0.71309,66,0.06079,55,-0.2049,74,0.24937,59,-0.1042,49,-0.4623
ENSG00000074800,ENO1,604,0.00094,657,0.13694,782,0.47190,582,-0.0576,548,-0.1505,631,0.07240,434,-0.5126,538,-0.2209
ENSG00000171612,SLC25A33,32,-0.1799,37,0.06137,45,0.42428,37,0.04868,31,-0.2231,14,-1.3886,38,0.08780,38,0.11765
ENSG00000171608,PIK3CD,25,0.94542,18,0.42734,12,-0.1875,9,-0.6484,10,-0.4232,19,0.47799,9,-0.6763,12,-0.1992
ENSG00000171603,CLSTN1,700,0.34043,490,-0.2273,797,0.62909,243,-1.3011,615,0.13107,755,0.46358,382,-0.6123,483,-0.3050
ENSG00000178585,CTNNBIP1,31,-0.2980,40,0.08605,32,-0.2993,35,-0.1216,37,-0.0146,46,0.31545,47,0.34900,38,0.03784
ENSG00000162441,LZIC,26,-0.1913,29,-0.0456,29,-0.0061,45,0.66680,31,0.10151,16,-0.9081,26,-0.1725,31,0.08076
ENSG00000130939,UBE4B,41,0.48479,15,-1.0591,46,0.73749,24,-0.3848,28,-0.1643,36,0.24253,20,-0.6873,27,-0.2181
ENSG00000054523,KIF1B,245,0.37547,164,-0.2677,185,-0.0838,158,-0.3210,175,-0.1645,237,0.32017,171,-0.1995,205,0.10932
ENSG00000142657,PGD,66,0.66460,87,1.15303,60,0.60245,35,-0.3460,37,-0.2425,25,-0.8186,20,-1.1650,29,-0.7555
ENSG00000241563,CORT,72,-1.9199,2295,5.51399,52,-2.5051,92,-1.5517,31,-3.1464,23,-3.5365,93,-1.5328,28,-3.5984
ENSG00000160049,DFFA,24,-0.5426,47,0.55516,29,-0.2439,36,0.11957,32,-0.0880,47,0.55022,30,-0.1745,32,-0.1199
ENSG00000142655,PEX14,26,0.19189,39,0.84780,35,0.77391,11,-1.1103,23,-0.0332,23,-0.0166,16,-0.5635,15,-0.7436
ENSG00000120948,TARDBP,74,0.46910,70,0.39118,69,0.39883,41,-0.4438,43,-0.3906,59,0.10514,43,-0.3853,46,-0.3422
ENSG00000116649,SRM,114,-0.0494,218,1.00988,140,0.30809,88,-0.4612,119,0.01243,113,-0.0702,102,-0.2315,88,-0.5517
ENSG00000171824,EXOSC10,18,-0.2152,32,0.65484,29,0.57286,16,-0.4405,27,0.37918,23,0.11217,16,-0.4790,14,-0.6954
ENSG00000198793,MTOR,46,0.27481,41,0.10711,43,0.20330,25,-0.6518,34,-0.1813,41,0.11863,28,-0.4989,40,0.09660
ENSG00000116661,FBXO2,152,-0.6545,225,-0.0410,213,-0.1423,417,0.97179,163,-0.5427,185,-0.3521,254,0.14944,240,0.07659
ENSG00000132879,FBXO44,177,0.29275,124,-0.2752,193,0.48640,70,-1.1327,159,0.12492,223,0.67442,126,-0.2420,119,-0.4142
ENSG00000116670,MAD2L2,10,-1.1007,23,0.10439,25,0.24916,21,-0.0275,25,0.22689,19,-0.2227,17,-0.4059,25,0.23517
ENSG00000011021,CLCN6,47,0.16782,70,0.79810,43,0.02028,19,-1.2184,40,-0.0887,65,0.68767,32,-0.4449,36,-0.3066
ENSG00000116685,KIAA2013,50,0.66125,38,0.21603,41,0.39203,20,-0.7669,42,0.35892,22,-0.6389,29,-0.2372,27,-0.3618
ENSG00000083444,PLOD1,29,0.42375,44,1.10802,14,-0.7603,28,0.36189,15,-0.5443,23,0.06707,10,-1.2468,22,0.01730
ENSG00000116688,MFN2,87,0.35795,68,-0.0412,82,0.29814,51,-0.4863,62,-0.1746,99,0.57518,62,-0.1829,57,-0.3726
ENSG00000116691,MIIP,28,1.20195,6,-1.2197,18,0.46392,14,0.07281,4,-1.6249,21,0.67611,8,-0.7564,11,-0.4364
ENSG00000048707,VPS13D,40,0.27595,17,-1.0020,38,0.21332,29,-0.2329,31,-0.1176,31,-0.1189,22,-0.6656,41,0.41388
ENSG00000162496,DHRS3,19,-0.0900,5,-1.9671,26,0.38435,42,1.16997,10,-1.0882,9,-1.3035,12,-0.8610,26,0.48770
ENSG00000116731,PRDM2,96,0.94104,23,-1.2937,40,-0.5004,32,-0.8011,65,0.29902,98,0.97231,32,-0.8188,56,0.07021
ENSG00000189337,KAZN,112,1.25747,145,1.74026,49,-0.1188,38,-0.4926,30,-0.8745,25,-1.1071,31,-0.8057,33,-0.8705
ENSG00000142634,EFHD2,505,2.62351,124,0.05533,10,-3.8502,80,-0.6307,11,-3.5689,141,0.25070,13,-3.2451,143,0.35153
ENSG00000116138,DNAJC16,7,-1.6328,39,0.88939,31,0.59216,16,-0.4982,24,0.13753,17,-0.4678,12,-0.8904,23,0.03601
ENSG00000197312,DDI2,18,0.19410,3,-2.2615,20,0.33653,15,-0.0759,14,-0.2530,27,0.78384,14,-0.2405,16,-0.0286
ENSG00000116786,PLEKHM2,69,-0.0639,69,-0.0640,65,-0.1760,55,-0.4109,70,-0.0487,43,-0.7867,69,-0.0763,96,0.59429
ENSG00000065526,SPEN,30,0.43728,19,-0.2584,26,0.23197,21,-0.1253,20,-0.2130,51,1.35648,14,-0.7606,14,-0.8357
ENSG00000116809,ZBTB17,17,0.54688,5,-1.3356,12,-0.0644,15,0.32851,12,-0.0014,21,0.87625,12,0.00173,9,-0.4907
ENSG00000185519,FAM131C,4,-2.1481,53,1.72794,25,0.50730,20,0.08672,7,-1.3957,2,-3.4169,18,-0.0812,18,-0.0878
ENSG00000037637,FBXO42,13,-0.2232,29,1.05723,18,0.30378,5,-1.6574,20,0.44661,20,0.48427,13,-0.2372,10,-0.7531
ENSG00000055070,SZRD1,21,0.13988,15,-0.4046,9,-1.2863,41,1.23945,19,-0.0444,32,0.83910,19,0.02195,16,-0.3800
ENSG00000157191,NECAP2,10,-0.0435,9,-0.1234,8,-0.3802,27,1.63829,15,0.65858,2,-2.3872,11,0.19653,7,-0.7115
ENSG00000219481,NBPF1,10,-0.0788,12,0.18339,13,0.39283,19,1.02290,9,-0.2050,9,-0.2708,9,-0.2316,7,-0.7537
ENSG00000238142,BX284668.5,10,-0.6365,8,-0.9109,16,0.04276,25,0.76267,10,-0.6506,10,-0.7038,18,0.22053,19,0.43012
ENSG00000159363,ATP13A2,114,-0.5606,198,0.31383,247,0.77235,90,-0.9173,161,-0.0177,134,-0.3081,173,0.09863,143,-0.2544
ENSG00000117118,SDHB,87,-0.2152,104,0.06377,131,0.49828,91,-0.1527,89,-0.1869,74,-0.4655,81,-0.3220,103,0.06872
ENSG00000117115,PADI2,20,-0.0502,1,-4.4484,8,-1.4706,78,2.34381,16,-0.3974,10,-1.0847,18,-0.1811,23,0.19115
ENSG00000179051,RCC2,16,0.32125,0,-4.1702,27,1.39825,14,0.17453,16,0.39201,6,-0.9976,17,0.44018,6,-1.3344
ENSG00000074964,ARHGEF10L,8,-0.7689,18,0.48177,12,-0.2089,14,0.06037,23,0.82783,9,-0.5274,14,0.01983,13,-0.1039
ENSG00000117154,IGSF21,259,2.08292,57,-0.4938,67,-0.2693,24,-1.7777,27,-1.5962,104,0.43784,31,-1.3981,76,-0.0624
ENSG00000159423,ALDH4A1,20,-0.1572,7,-1.8094,9,-1.3843,37,0.80742,11,-1.0494,23,0.04420,31,0.49221,33,0.82826
ENSG00000127481,UBR4,17,0.57307,30,1.59987,15,0.53252,10,-0.2682,7,-0.7352,9,-0.4400,4,-1.6004,7,-0.9694
ENSG00000127463,EMC1,24,-0.1011,61,1.49254,30,0.33375,15,-0.7780,19,-0.4147,25,0.02120,15,-0.7389,19,-0.5598
ENSG00000053372,MRTO4,28,-0.1154,21,-0.5714,39,0.43398,15,-1.0876,25,-0.3316,41,0.49571,28,-0.1079,33,0.15469
ENSG00000053371,AKR7A2,45,0.14646,57,0.53776,36,-0.2349,63,0.69980,35,-0.2529,23,-0.8508,29,-0.5481,42,0.05992
ENSG00000077549,CAPZB,343,0.78075,252,0.27420,230,0.14495,144,-0.5998,186,-0.2121,227,0.10920,125,-0.8176,199,-0.1253
ENSG00000173436,MICOS10,306,-0.1011,328,0.01035,296,-0.1668,434,0.45834,259,-0.3627,288,-0.1959,328,0.00780,351,0.14687
ENSG00000158747,NBL1,423,1.39009,192,0.05624,182,-0.0278,134,-0.4986,44,-2.1767,142,-0.4175,131,-0.5375,202,0.17430
ENSG00000162545,CAMK2N1,216,-2.4152,875,-0.3154,1627,0.78306,619,-0.8468,1414,0.45025,717,-0.6237,1566,0.61945,1033,-0.0670
ENSG00000090432,MUL1,36,0.90783,6,-1.8867,37,1.12458,20,-0.0779,8,-1.4452,20,-0.0824,14,-0.5948,16,-0.4198
ENSG00000183114,FAM43B,148,2.72420,90,1.67645,7,-2.3078,11,-1.6674,5,-2.8137,18,-0.9477,11,-1.6389,23,-0.6581
ENSG00000158828,PINK1,593,0.53751,413,-0.0459,513,0.33813,309,-0.4962,319,-0.4494,310,-0.4930,335,-0.3720,457,0.14512
ENSG00000244038,DDOST,42,0.68949,17,-0.7214,44,0.87374,26,-0.0593,23,-0.2529,19,-0.5642,23,-0.2909,21,-0.4905
ENSG00000117245,KIF17,54,1.84480,5,-1.8376,22,0.34928,11,-0.7696,13,-0.5399,7,-1.3249,13,-0.5646,18,-0.0463
ENSG00000189410,SH2D5,21,-0.0656,22,0.02991,27,0.34880,12,-0.8829,17,-0.3806,38,0.86998,18,-0.3390,20,-0.1775
ENSG00000127483,HP1BP3,148,0.56973,88,-0.2638,119,0.23895,111,0.10054,95,-0.1396,117,0.18695,80,-0.4181,89,-0.2939
ENSG00000075151,EIF4G3,154,0.45136,135,0.23363,155,0.52342,63,-0.9367,128,0.14943,152,0.42462,86,-0.4744,84,-0.6080
ENSG00000117298,ECE1,10,-0.1943,12,0.00893,14,0.24150,26,1.30639,6,-0.9259,6,-1.0276,13,0.09933,10,-0.3417
ENSG00000162551,ALPL,22,0.35999,3,-2.5458,4,-2.2653,21,0.28714,8,-1.1271,40,1.35347,9,-1.0680,27,0.97103
ENSG00000076864,RAP1GAP,357,1.44384,157,0.05662,164,0.14016,62,-1.3515,176,0.24297,159,0.08307,82,-0.9439,114,-0.5271
ENSG00000090686,USP48,46,0.63637,31,0.01569,29,-0.1297,34,0.13535,38,0.31203,47,0.68442,13,-1.2942,25,-0.4294
ENSG00000070831,CDC42,313,0.58992,214,-0.0228,333,0.79727,155,-0.5262,194,-0.1758,150,-0.5718,150,-0.5733,182,-0.3387
ENSG00000173372,C1QA,54,0.12984,42,-0.2421,20,-1.4569,125,1.56361,27,-0.9317,57,0.21261,52,0.06875,49,-0.0067
ENSG00000159189,C1QC,34,-0.4503,41,-0.1921,13,-2.0318,76,0.81864,22,-1.1165,66,0.57962,50,0.13368,64,0.68965
ENSG00000173369,C1QB,49,-0.4796,47,-0.5390,28,-1.4108,180,1.68359,59,-0.1918,80,0.27202,62,-0.1217,68,0.02387
ENSG00000004487,KDM1A,58,0.60300,44,0.16211,63,0.84350,29,-0.4947,28,-0.5251,26,-0.6680,32,-0.3283,32,-0.4260
ENSG00000169641,LUZP1,28,-0.2328,30,-0.1339,44,0.55951,26,-0.3475,36,0.15376,24,-0.4770,19,-0.7850,35,0.16849
ENSG00000125944,HNRNPR,112,0.46549,67,-0.3524,86,0.05799,75,-0.1774,94,0.19345,114,0.50187,58,-0.5601,75,-0.1950
ENSG00000125945,ZNF436,22,0.63583,3,-2.1627,17,0.24604,9,-0.7351,23,0.77515,24,0.79773,9,-0.7654,12,-0.3392
ENSG00000117318,ID3,9,-0.7165,17,0.25712,2,-2.5939,110,4.41636,5,-1.5496,0,-4.8679,5,-1.4189,2,-2.9318
ENSG00000142676,RPL11,371,-0.2196,323,-0.4370,298,-0.6141,969,1.37672,346,-0.3287,437,0.03639,409,-0.0665,415,-0.0546
ENSG00000011007,ELOA,19,0.42766,13,-0.1413,13,-0.2027,19,0.40578,12,-0.3403,21,0.55538,6,-1.4000,15,0.06426
ENSG00000057757,PITHD1,201,0.25581,235,0.50927,205,0.31921,82,-1.1319,157,-0.1420,220,0.40276,135,-0.3734,149,-0.2756
ENSG00000011009,LYPLA2,79,0.95514,35,-0.3643,53,0.34901,29,-0.6563,32,-0.4698,79,0.95938,27,-0.7445,32,-0.5958
ENSG00000117308,GALE,8,-0.9072,24,0.80965,15,0.04177,4,-1.9816,20,0.46146,19,0.39042,6,-1.3415,17,0.29094
ENSG00000117305,HMGCL,19,0.29144,17,0.11483,13,-0.3439,24,0.71710,2,-2.7442,6,-1.3701,9,-0.7977,23,0.81040
ENSG00000179163,FUCA1,15,0.37359,16,0.43940,20,0.92860,6,-1.0180,7,-0.7505,19,0.72183,6,-0.9101,7,-0.8382
ENSG00000189266,PNRC2,49,0.58930,36,0.08783,35,0.06900,37,0.14564,29,-0.2576,51,0.66790,21,-0.7045,26,-0.4755
ENSG00000188529,SRSF10,65,0.54441,84,0.97310,45,-0.0506,36,-0.3862,45,-0.0488,40,-0.2218,32,-0.5696,39,-0.3229
ENSG00000001460,STPG1,23,1.06827,14,0.27087,19,0.82822,3,-1.7607,11,-0.1348,22,0.98669,8,-0.5021,4,-1.8778
ENSG00000001461,NIPAL3,96,1.13532,39,-0.3419,47,-0.0289,47,-0.0392,43,-0.1845,84,0.90748,27,-0.8778,33,-0.6882
ENSG00000133226,SRRM1,50,0.14767,30,-0.6360,47,0.06264,50,0.15266,42,-0.1181,77,0.85969,30,-0.6411,42,-0.1454
ENSG00000169504,CLIC4,14,-0.0884,5,-1.5557,4,-2.1394,88,3.44218,14,-0.0748,11,-0.5112,3,-2.3821,7,-1.1895
ENSG00000117614,SYF2,33,-0.5317,24,-0.9863,55,0.30582,75,0.76385,56,0.28011,37,-0.3536,35,-0.4504,47,0.03489
ENSG00000117616,RSRP1,51,0.70057,22,-0.5774,27,-0.3566,32,-0.0509,71,1.28795,42,0.40374,29,-0.1660,20,-0.9080
ENSG00000183726,TMEM50A,75,0.10850,74,0.10222,89,0.44473,59,-0.2604,94,0.48330,75,0.10535,38,-0.9248,58,-0.3555
ENSG00000204178,MACO1,19,0.03959,8,-1.2153,15,-0.4034,12,-0.6828,33,0.91056,22,0.25230,17,-0.1732,22,0.30693
ENSG00000117643,MAN1C1,29,-0.1137,15,-1.1359,53,0.97119,15,-1.1262,87,1.72180,25,-0.3539,25,-0.3484,15,-1.3122
ENSG00000162430,SELENON,59,0.93374,41,0.33165,19,-0.8976,41,0.33619,39,0.26974,59,0.93226,22,-0.6408,22,-0.7621
ENSG00000117640,MTFR1L,50,-0.1424,51,-0.1067,64,0.27463,48,-0.1998,58,0.09120,41,-0.4333,36,-0.6546,63,0.29460
ENSG00000117632,STMN1,1856,0.71037,1329,0.16363,1608,0.53570,792,-0.6466,965,-0.3409,925,-0.4080,636,-0.9809,1159,-0.0679
ENSG00000158008,EXTL1,108,1.59678,11,-2.0398,26,-0.7742,30,-0.5383,46,0.14347,58,0.50556,37,-0.1968,40,-0.0895
ENSG00000142684,ZNF593,44,0.25178,16,-1.2681,37,-0.0137,34,-0.1465,28,-0.4583,35,-0.1097,36,-0.0751,48,0.52909
ENSG00000142669,SH3BGRL3,452,0.73326,326,0.19553,239,-0.3236,302,0.07312,132,-1.2053,285,-0.0182,207,-0.5189,330,0.27462
ENSG00000158062,UBXN11,23,-0.1842,6,-2.1950,31,0.30357,18,-0.5317,34,0.41856,31,0.29492,23,-0.1865,30,0.25971
ENSG00000117682,DHDDS,23,0.51214,6,-1.5861,22,0.51003,18,0.11679,10,-0.7606,15,-0.1311,16,-0.0466,17,0.03135
ENSG00000198830,HMGN2,138,0.34185,143,0.40573,83,-0.4903,204,1.00156,106,-0.0799,66,-0.7976,77,-0.5746,107,-0.0686
ENSG00000117713,ARID1A,69,0.49552,31,-0.7287,53,0.09397,42,-0.2847,86,0.85997,80,0.73226,20,-1.4269,41,-0.4107
ENSG00000204160,ZDHHC18,44,0.73771,75,1.67361,28,-0.0229,14,-1.0564,24,-0.2421,24,-0.2363,18,-0.6802,18,-0.8226
ENSG00000142751,GPN2,20,0.60356,8,-0.9069,18,0.43981,7,-1.0843,11,-0.3524,6,-1.2101,8,-0.7490,19,0.65084
ENSG00000090273,NUDC,154,0.14729,167,0.27981,169,0.33271,119,-0.2522,126,-0.1703,158,0.18941,95,-0.6107,129,-0.1661
ENSG00000253368,TRNP1,45,-0.8451,111,0.58026,123,0.86576,31,-1.3742,87,0.18929,52,-0.6051,70,-0.1547,70,-0.2058
ENSG00000090020,SLC9A1,28,0.65476,17,-0.1111,34,1.11841,5,-1.9548,8,-1.2255,25,0.47273,7,-1.4483,16,-0.3247
ENSG00000142784,WDTC1,24,0.07838,24,0.09693,19,-0.2781,36,0.72546,13,-0.8096,32,0.55226,19,-0.2776,21,-0.1464
ENSG00000186501,TMEM222,86,0.43229,47,-0.5322,98,0.73424,49,-0.4665,58,-0.1979,86,0.42121,67,0.02001,45,-0.6890
ENSG00000158195,WASF2,25,0.13632,24,0.07842,3,-2.8066,70,1.91840,12,-1.0177,30,0.44531,7,-1.7636,26,0.22587
ENSG00000126705,AHDC1,83,1.10458,31,-0.4889,37,-0.2229,20,-1.1303,36,-0.2485,100,1.42596,20,-1.1519,34,-0.4077
ENSG00000126709,IFI6,115,0.89717,106,0.75407,62,-0.1293,83,0.35487,26,-1.4057,63,-0.0737,46,-0.5596,56,-0.3300
ENSG00000117758,STX12,197,1.34205,113,0.39488,83,-0.1063,67,-0.4200,54,-0.7473,73,-0.2990,55,-0.7186,81,-0.1528
ENSG00000117751,PPP1R8,39,0.85643,28,0.28539,20,-0.2182,18,-0.3732,8,-1.6204,37,0.75246,12,-1.0290,24,0.07823
ENSG00000117748,RPA2,66,0.56872,52,0.17354,58,0.40546,39,-0.2762,32,-0.5720,57,0.33785,29,-0.7046,40,-0.3057
ENSG00000126698,DNAJC8,114,0.03617,132,0.26322,121,0.13291,114,0.02837,74,-0.6328,129,0.23394,88,-0.3810,112,0.01097
